2#app#app25#app2550/b  0.594 2.131  0.453 1.990  0.347 1.835  0.347 1.636  0.347 1.437  0.239 1.283  0.100 1.141  0.100 0.942  0.100 0.742  0.024 0.575  -0.116 0.434  -0.146 0.247  -0.146 0.048  -0.208 -0.089  -0.393 -0.104  -0.393 -0.303  -0.510 -0.453  -0.640 -0.599  -0.640 -0.798  -0.807 -0.830  -0.887 -0.710  -0.835 -0.532  -0.695 -0.391  -0.518 -0.336  -0.393 -0.262  -0.367 -0.089  -0.167 -0.089  -0.146 0.089  -0.054 0.250  0.087 0.390  0.100 0.584  0.233 0.651  0.347 0.566  0.384 0.404  0.583 0.404  0.594 0.215  0.594 0.016  0.594 -0.183  0.594 -0.382  0.594 -0.581  0.594 -0.780  0.594 -0.980  0.522 -1.149  0.381 -1.290  0.211 -1.255  0.033 -1.166  -0.145 -1.077  -0.344 -1.076  -0.499 -1.182  -0.640 -1.323
2#app#app25#app2550/l  0.940 1.769  0.940 1.656  0.915 1.553  0.835 1.473  0.755 1.393  0.675 1.313  0.595 1.233  0.516 1.153  0.436 1.073  0.365 0.990  0.365 0.877  0.331 0.777  0.251 0.697  0.173 0.617  0.173 0.504  0.136 0.427  0.023 0.427  -0.019 0.356  -0.019 0.243  -0.019 0.130  -0.045 0.044  -0.158 0.044  -0.254 0.001  -0.334 -0.079  -0.414 -0.159  -0.493 -0.239  -0.573 -0.319  -0.678 -0.339  -0.786 -0.345  -0.786 -0.458  -0.786 -0.571  -0.786 -0.684  -0.786 -0.797  -0.786 -0.910  -0.677 -0.914  -0.573 -0.893  -0.493 -0.813  -0.413 -0.733  -0.304 -0.723  -0.191 -0.723  -0.078 -0.723  0.035 -0.723  0.148 -0.723  0.173 -0.811  0.183 -0.914  0.296 -0.914  0.365 -0.959  0.365 -1.072  0.286 -1.106  0.173 -1.106
2#app#app25#app2550/s  1.240 0.591  1.240 0.716  1.240 0.840  1.236 0.961  1.112 0.961  0.987 0.961  0.863 0.961  0.738 0.961  0.614 0.961  0.489 0.961  0.365 0.961  0.240 0.961  0.131 0.946  0.131 0.821  0.052 0.776  -0.073 0.776  -0.197 0.776  -0.239 0.693  -0.261 0.591  -0.386 0.591  -0.423 0.505  -0.423 0.380  -0.423 0.256  -0.423 0.131  -0.393 0.037  -0.269 0.037  -0.239 -0.057  -0.205 -0.148  -0.080 -0.148  -0.054 -0.246  -0.016 -0.333  0.108 -0.333  0.131 -0.435  0.131 -0.559  0.131 -0.683  0.131 -0.808  0.131 -0.932  0.131 -1.057  0.022 -1.072  -0.103 -1.072  -0.227 -1.072  -0.352 -1.072  -0.476 -1.072  -0.601 -1.072  -0.725 -1.072  -0.850 -1.072  -0.974 -1.072  -0.978 -0.951  -1.038 -0.887  -1.163 -0.887
2#app#app25#app2550/w  -0.816 0.963  -0.822 0.770  -1.009 0.758  -1.021 0.564  -1.162 0.424  -1.202 0.242  -1.350 0.191  -1.395 0.037  -1.395 -0.162  -1.395 -0.360  -1.395 -0.559  -1.217 -0.580  -1.019 -0.580  -0.820 -0.580  -0.623 -0.578  -0.615 -0.388  -0.430 -0.374  -0.411 -0.195  -0.212 -0.195  -0.044 -0.164  -0.007 -0.002  0.148 0.041  0.197 0.191  0.341 0.246  0.402 0.384  0.534 0.450  0.534 0.649  0.534 0.848  0.618 0.963  0.727 0.873  0.727 0.674  0.626 0.577  0.534 0.470  0.421 0.384  0.341 0.265  0.341 0.066  0.249 -0.094  0.148 -0.251  0.148 -0.450  0.217 -0.580  0.394 -0.633  0.534 -0.773  0.733 -0.773  0.920 -0.762  0.937 -0.580  1.129 -0.564  1.270 -0.423  1.410 -0.283  1.551 -0.142  1.691 -0.002
2#app#app25#app2550/a  0.888 0.868  0.657 0.868  0.426 0.868  0.195 0.868  -0.036 0.868  -0.268 0.868  -0.499 0.868  -0.730 0.868  -0.767 0.673  -0.916 0.592  -1.042 0.486  -1.103 0.316  -1.318 0.300  -1.318 0.069  -1.318 -0.162  -1.318 -0.394  -1.318 -0.625  -1.249 -0.787  -1.018 -0.787  -0.787 -0.787  -0.556 -0.787  -0.491 -0.621  -0.369 -0.511  -0.138 -0.511  0.061 -0.479  0.061 -0.248  0.279 -0.236  0.460 -0.113  0.612 0.055  0.612 0.287  0.612 0.518  0.769 0.592  0.968 0.671  1.131 0.835  1.033 0.737  0.870 0.574  0.706 0.410  0.543 0.247  0.380 0.083  0.337 -0.130  0.211 -0.236  0.061 -0.317  0.097 -0.511  0.329 -0.511  0.337 -0.734  0.515 -0.787  0.612 -0.921  0.702 -1.063  0.933 -1.063  1.164 -1.063
2#app#app25#app2550/x  -0.462 1.490  -0.657 1.490  -0.537 1.490  -0.462 1.370  -0.462 1.176  -0.462 0.982  -0.462 0.787  -0.462 0.593  -0.298 0.563  -0.230 0.436  -0.141 0.331  0.001 0.279  0.001 0.085  0.001 -0.109  0.001 -0.304  0.135 -0.365  0.233 -0.461  0.292 -0.596  0.465 -0.618  0.465 -0.812  0.643 -0.828  0.837 -0.828  1.032 -0.828  1.226 -0.828  1.376 -0.805  1.263 -0.647  1.150 -0.489  1.037 -0.331  0.924 -0.173  0.811 -0.015  0.698 0.143  0.585 0.302  0.472 0.460  0.359 0.618  0.246 0.776  0.112 0.673  -0.016 0.528  -0.103 0.354  -0.190 0.181  -0.303 0.026  -0.441 -0.111  -0.626 -0.133  -0.694 -0.259  -0.757 -0.428  -0.894 -0.565  -0.926 -0.746  -1.038 -0.828  -1.158 -0.903  -1.195 -1.060  -1.389 -1.060
2#app#app25#app2550/m  -0.470 1.183  -0.565 0.945  -0.613 0.688  -0.797 0.570  -0.993 0.375  -1.088 0.137  -1.184 -0.101  -1.325 -0.319  -1.475 -0.534  -1.610 -0.584  -1.390 -0.527  -1.276 -0.335  -1.180 -0.098  -0.984 0.098  -0.755 0.197  -0.613 0.332  -0.474 0.470  -0.340 0.613  -0.205 0.470  -0.185 0.213  -0.078 0.043  -0.142 -0.100  -0.185 -0.333  -0.328 -0.468  -0.470 -0.602  -0.423 -0.480  -0.227 -0.284  -0.031 -0.088  0.192 0.043  0.403 0.203  0.527 0.429  0.670 0.564  0.812 0.527  0.812 0.250  0.812 -0.027  0.670 -0.245  0.532 -0.385  0.398 -0.527  0.385 -0.506  0.527 -0.414  0.716 -0.242  0.851 -0.100  0.976 0.065  1.204 0.185  1.452 0.255  1.525 0.154  1.525 -0.123  1.509 -0.385  1.382 -0.535  1.525 -0.670
2#app#app25#app2550/e  -0.288 0.000  -0.125 0.000  0.038 0.000  0.201 0.000  0.364 0.000  0.528 0.000  0.685 0.014  0.800 0.129  0.863 0.266  0.909 0.384  1.055 0.401  1.055 0.564  1.055 0.727  1.055 0.890  0.962 0.960  0.798 0.960  0.635 0.960  0.472 0.960  0.309 0.960  0.146 0.960  0.016 0.880  -0.101 0.768  -0.264 0.768  -0.428 0.768  -0.480 0.658  -0.562 0.576  -0.710 0.539  -0.825 0.423  -0.941 0.308  -1.056 0.192  -1.056 0.029  -1.056 -0.134  -1.056 -0.297  -1.056 -0.460  -1.056 -0.623  -1.038 -0.768  -0.874 -0.768  -0.711 -0.768  -0.672 -0.892  -0.577 -0.960  -0.414 -0.960  -0.250 -0.960  -0.087 -0.960  0.076 -0.960  0.239 -0.960  0.402 -0.960  0.566 -0.960  0.729 -0.960  0.863 -0.931  0.863 -0.768
2#app#app25#app2550/r  0.215 0.965  0.215 0.800  0.179 0.670  0.014 0.670  -0.079 0.599  -0.079 0.433  -0.079 0.268  -0.079 0.103  -0.223 0.082  -0.388 0.082  -0.553 0.082  -0.668 0.031  -0.668 -0.134  -0.729 -0.274  -0.846 -0.390  -0.963 -0.507  -0.963 -0.672  -0.963 -0.837  -0.963 -1.003  -1.034 -1.096  -1.199 -1.096  -1.181 -1.020  -1.064 -0.903  -0.947 -0.786  -0.831 -0.670  -0.714 -0.553  -0.597 -0.436  -0.480 -0.319  -0.364 -0.203  -0.247 -0.086  -0.130 0.031  -0.079 0.175  -0.079 0.340  0.050 0.376  0.215 0.376  0.380 0.376  0.509 0.412  0.509 0.577  0.581 0.670  0.746 0.670  0.880 0.594  0.997 0.477  1.120 0.376  1.285 0.376  1.393 0.318  1.393 0.153  1.486 0.082  1.651 0.082  1.687 -0.048  1.687 -0.213
2#app#app25#app2550/c  1.523 0.873  1.401 0.873  1.279 0.873  1.157 0.873  1.035 0.873  0.912 0.873  0.790 0.873  0.668 0.873  0.546 0.873  0.424 0.873  0.302 0.873  0.201 0.822  0.114 0.736  0.023 0.661  -0.099 0.661  -0.172 0.612  -0.172 0.490  -0.254 0.449  -0.376 0.449  -0.384 0.335  -0.408 0.237  -0.530 0.237  -0.652 0.237  -0.774 0.237  -0.808 0.148  -0.808 0.026  -0.894 -0.060  -0.980 -0.147  -1.020 -0.252  -1.020 -0.375  -1.020 -0.497  -1.011 -0.610  -0.889 -0.610  -0.779 -0.639  -0.693 -0.726  -0.606 -0.812  -0.488 -0.822  -0.366 -0.822  -0.244 -0.822  -0.122 -0.822  0.000 -0.822  0.122 -0.822  0.244 -0.822  0.366 -0.822  0.489 -0.822  0.611 -0.822  0.733 -0.822  0.855 -0.822  0.887 -0.733  0.887 -0.610
2#app#app25#app2550/i  0.156 0.276  0.038 0.217  -0.081 0.158  -0.133 0.058  -0.194 -0.012  -0.326 -0.012  -0.421 -0.050  -0.421 -0.182  -0.430 -0.310  -0.524 -0.404  -0.565 -0.519  -0.627 -0.589  -0.709 -0.638  -0.709 -0.771  -0.709 -0.903  -0.709 -1.035  -0.708 -1.166  -0.615 -1.260  -0.503 -1.309  -0.386 -1.274  -0.292 -1.181  -0.167 -1.165  -0.035 -1.165  0.029 -1.081  0.056 -0.952  0.084 -0.823  0.111 -0.694  0.138 -0.565  0.165 -0.435  0.192 -0.306  0.220 -0.177  0.247 -0.048  0.274 0.081  0.301 0.211  0.328 0.340  0.356 0.469  0.383 0.598  0.410 0.728  0.437 0.857  0.464 0.986  0.492 1.115  0.519 1.244  0.546 1.374  0.573 1.503  0.528 1.573  0.444 1.525  0.444 1.393  0.444 1.309  0.444 1.441  0.444 1.573
2#app#app25#app2550/f  1.342 1.310  1.191 1.310  1.040 1.310  0.890 1.310  0.739 1.310  0.588 1.310  0.471 1.276  0.461 1.136  0.310 1.136  0.297 0.998  0.183 0.962  0.123 0.871  0.123 0.720  0.123 0.569  0.123 0.419  0.123 0.268  0.123 0.117  0.123 -0.034  0.123 -0.184  0.123 -0.335  0.123 -0.486  0.123 -0.637  0.123 -0.787  0.123 -0.938  -0.012 -0.954  -0.051 -1.065  -0.139 -1.128  -0.271 -1.174  -0.378 -1.280  -0.520 -1.302  -0.670 -1.302  -0.748 -1.229  -0.748 -1.079  -0.748 -0.928  -0.748 -0.777  -0.748 -0.626  -0.748 -0.476  -0.748 -0.325  -0.748 -0.174  -0.748 -0.023  -0.712 0.091  -0.561 0.091  -0.410 0.091  -0.259 0.091  -0.109 0.091  0.042 0.091  0.193 0.091  0.344 0.091  0.494 0.091  0.645 0.091
2#app#app25#app2550/u  -0.254 1.312  -0.391 1.176  -0.548 1.088  -0.702 1.049  -0.709 0.858  -0.845 0.721  -0.926 0.562  -0.975 0.417  -1.150 0.399  -1.150 0.205  -1.278 0.065  -1.374 -0.089  -1.374 -0.282  -1.374 -0.475  -1.184 -0.479  -0.991 -0.479  -0.798 -0.479  -0.604 -0.479  -0.411 -0.479  -0.218 -0.479  -0.026 -0.475  0.111 -0.338  0.247 -0.201  0.384 -0.064  0.521 0.072  0.641 0.216  0.641 0.409  0.827 0.417  0.865 0.572  0.865 0.765  0.771 0.864  0.641 0.801  0.641 0.607  0.639 0.415  0.503 0.278  0.417 0.120  0.417 -0.073  0.409 -0.263  0.272 -0.400  0.193 -0.561  0.193 -0.754  0.193 -0.906  0.193 -0.713  0.377 -0.703  0.570 -0.703  0.763 -0.703  0.957 -0.703  1.150 -0.703  1.344 -0.703  1.537 -0.703
2#app#app25#app2550/l  1.053 1.707  0.968 1.621  0.882 1.535  0.796 1.449  0.710 1.363  0.624 1.277  0.567 1.179  0.567 1.058  0.526 0.978  0.405 0.978  0.324 0.937  0.324 0.815  0.295 0.706  0.209 0.620  0.124 0.534  0.038 0.448  -0.048 0.362  -0.134 0.276  -0.220 0.190  -0.306 0.104  -0.392 0.018  -0.508 0.005  -0.629 0.005  -0.648 -0.097  -0.648 -0.219  -0.721 -0.310  -0.806 -0.396  -0.891 -0.483  -0.891 -0.604  -0.890 -0.724  -0.768 -0.724  -0.647 -0.724  -0.525 -0.724  -0.405 -0.723  -0.405 -0.601  -0.405 -0.482  -0.405 -0.603  -0.404 -0.724  -0.283 -0.724  -0.161 -0.724  -0.040 -0.724  0.082 -0.724  0.203 -0.724  0.324 -0.724  0.324 -0.846  0.324 -0.967  0.446 -0.967  0.567 -0.967  0.689 -0.967  0.810 -0.967
