2#tos#t2#t2024062/!  0.658 1.568  0.658 1.496  0.614 1.439  0.569 1.382  0.524 1.326  0.509 1.259  0.509 1.187  0.506 1.115  0.470 1.053  0.434 0.990  0.398 0.927  0.362 0.865  0.320 0.806  0.276 0.749  0.243 0.686  0.229 0.615  0.215 0.545  0.184 0.480  0.147 0.418  0.110 0.356  0.099 0.287  0.077 0.220  0.045 0.155  0.012 0.091  -0.024 0.029  -0.075 -0.022  -0.087 -0.089  -0.087 -0.161  -0.093 -0.232  -0.125 -0.297  -0.158 -0.362  -0.207 -0.414  -0.236 -0.474  -0.236 -0.546  -0.293 -0.584  -0.327 -0.642  -0.350 -0.711  -0.373 -0.779  -0.396 -0.848  -0.419 -0.916  -0.441 -0.985  -0.460 -1.054  -0.465 -1.125  -0.497 -1.190  -0.497 -1.262  -0.497 -1.334  -0.483 -1.403  -0.460 -1.470  -0.460 -1.542  -0.423 -1.599
2#tos#t2#t2024062/>  -0.198 0.996  -0.308 0.996  -0.419 0.996  -0.530 0.996  -0.641 0.996  -0.747 1.001  -0.817 1.042  -0.749 1.042  -0.690 0.968  -0.591 0.918  -0.494 0.880  -0.415 0.802  -0.325 0.740  -0.223 0.699  -0.116 0.676  -0.021 0.636  0.057 0.558  0.160 0.538  0.260 0.493  0.360 0.444  0.465 0.409  0.549 0.341  0.647 0.310  0.749 0.271  0.858 0.264  0.923 0.218  0.904 0.172  0.849 0.093  0.761 0.028  0.726 -0.077  0.658 -0.162  0.580 -0.240  0.501 -0.318  0.427 -0.400  0.366 -0.492  0.313 -0.590  0.228 -0.657  0.137 -0.720  0.048 -0.787  -0.035 -0.859  -0.104 -0.946  -0.173 -1.032  -0.248 -1.114  -0.327 -1.192  -0.405 -1.270  -0.483 -1.349  -0.541 -1.441  -0.582 -1.544  -0.643 -1.629  -0.701 -1.703
2#tos#t2#t2024062/]  -0.286 0.951  -0.389 0.951  -0.492 0.951  -0.595 0.951  -0.597 0.951  -0.494 0.951  -0.391 0.951  -0.288 0.951  -0.187 0.966  -0.087 0.991  0.016 0.991  0.119 0.991  0.222 0.991  0.325 0.991  0.428 0.991  0.490 1.032  0.517 0.955  0.436 0.932  0.428 0.830  0.408 0.729  0.366 0.640  0.316 0.558  0.316 0.455  0.303 0.353  0.286 0.252  0.258 0.154  0.223 0.058  0.198 -0.042  0.196 -0.145  0.196 -0.248  0.196 -0.351  0.183 -0.452  0.155 -0.550  0.155 -0.653  0.155 -0.756  0.155 -0.859  0.155 -0.962  0.155 -1.065  0.155 -1.168  0.141 -1.256  0.078 -1.296  -0.025 -1.296  -0.128 -1.296  -0.230 -1.296  -0.333 -1.296  -0.436 -1.296  -0.539 -1.296  -0.642 -1.296  -0.745 -1.296  -0.848 -1.296
2#tos#t2#t2024062/_  -1.072 0.061  -1.147 0.061  -1.221 0.061  -1.293 0.049  -1.360 0.015  -1.434 0.011  -1.425 0.011  -1.350 0.011  -1.278 -0.003  -1.207 -0.026  -1.134 -0.038  -1.059 -0.038  -0.984 -0.038  -0.909 -0.038  -0.834 -0.038  -0.759 -0.038  -0.685 -0.038  -0.610 -0.038  -0.535 -0.038  -0.460 -0.038  -0.385 -0.038  -0.310 -0.038  -0.235 -0.038  -0.161 -0.038  -0.086 -0.038  -0.011 -0.038  0.064 -0.038  0.139 -0.038  0.214 -0.038  0.289 -0.038  0.363 -0.038  0.438 -0.038  0.513 -0.038  0.588 -0.038  0.663 -0.038  0.738 -0.038  0.813 -0.038  0.887 -0.038  0.962 -0.038  1.034 -0.024  1.101 0.010  1.174 0.025  1.247 0.040  1.321 0.055  1.395 0.061  1.462 0.092  1.529 0.125  1.596 0.159  1.671 0.159  1.746 0.159
2#tos#t2#t2024062/`  -0.427 1.492  -0.427 1.351  -0.517 1.247  -0.582 1.133  -0.582 0.992  -0.582 0.851  -0.591 0.718  -0.732 0.718  -0.873 0.718  -0.892 0.596  -0.892 0.454  -0.892 0.313  -0.892 0.172  -0.892 0.031  -0.892 -0.110  -0.892 -0.252  -0.892 -0.393  -0.892 -0.534  -0.892 -0.675  -0.752 -0.676  -0.635 -0.602  -0.520 -0.519  -0.406 -0.436  -0.292 -0.353  -0.178 -0.270  -0.064 -0.187  0.050 -0.103  0.165 -0.020  0.279 0.063  0.393 0.146  0.507 0.229  0.621 0.312  0.736 0.395  0.850 0.478  0.964 0.561  0.905 0.440  0.842 0.314  0.812 0.180  0.812 0.038  0.812 -0.103  0.812 -0.244  0.812 -0.385  0.812 -0.526  0.812 -0.668  0.812 -0.809  0.812 -0.950  0.812 -1.091  0.812 -1.232  0.867 -1.351  0.967 -1.451
2#tos#t2#t2024062/{  0.259 1.753  0.164 1.753  0.142 1.679  0.142 1.584  0.142 1.488  0.115 1.397  0.103 1.304  0.103 1.209  0.119 1.116  0.142 1.024  0.142 0.929  0.142 0.833  0.142 0.738  0.142 0.642  0.142 0.547  0.142 0.451  0.142 0.356  0.142 0.261  0.126 0.172  0.043 0.129  -0.015 0.075  -0.060 0.020  -0.093 -0.067  -0.166 -0.069  -0.231 -0.006  -0.250 0.085  -0.218 0.149  -0.162 0.110  -0.093 0.083  -0.093 -0.013  -0.093 -0.108  -0.093 -0.204  -0.093 -0.299  -0.093 -0.394  -0.093 -0.490  -0.093 -0.585  -0.093 -0.681  -0.093 -0.776  -0.109 -0.870  -0.128 -0.964  -0.132 -1.059  -0.132 -1.154  -0.132 -1.249  -0.118 -1.342  -0.093 -1.434  -0.068 -1.519  0.013 -1.567  0.024 -1.656  0.085 -1.690  0.181 -1.690
2#tos#t2#t2024062/|  0.071 1.599  -0.004 1.599  -0.079 1.599  -0.057 1.539  -0.048 1.466  -0.048 1.390  -0.048 1.315  -0.048 1.239  -0.048 1.164  -0.048 1.089  -0.048 1.013  -0.048 0.938  -0.048 0.863  -0.048 0.787  -0.048 0.712  -0.048 0.636  -0.048 0.561  -0.048 0.486  -0.048 0.410  -0.048 0.335  -0.048 0.259  -0.048 0.184  -0.048 0.109  -0.032 0.049  0.034 0.037  0.049 -0.036  0.064 -0.110  0.071 -0.185  0.000 -0.189  -0.008 -0.256  -0.008 -0.332  -0.008 -0.407  -0.008 -0.482  -0.008 -0.558  -0.008 -0.633  -0.008 -0.709  -0.008 -0.784  -0.008 -0.859  -0.008 -0.935  0.004 -1.007  0.032 -1.076  0.032 -1.152  0.033 -1.227  0.057 -1.298  0.071 -1.371  0.071 -1.447  0.111 -1.482  0.119 -1.556  0.151 -1.624  0.191 -1.659
2#tos#t2#t2024062/3  -0.229 0.962  -0.382 0.962  -0.487 1.011  -0.453 1.150  -0.370 1.271  -0.218 1.284  -0.067 1.314  0.085 1.323  0.239 1.323  0.392 1.323  0.530 1.285  0.596 1.159  0.629 1.015  0.699 0.883  0.699 0.730  0.688 0.579  0.620 0.441  0.506 0.349  0.379 0.270  0.289 0.151  0.166 0.059  0.025 0.011  -0.117 -0.046  -0.251 -0.119  -0.386 -0.191  -0.534 -0.225  -0.687 -0.225  -0.751 -0.225  -0.598 -0.225  -0.444 -0.225  -0.291 -0.225  -0.141 -0.242  -0.004 -0.311  0.145 -0.332  0.290 -0.381  0.418 -0.467  0.545 -0.534  0.545 -0.688  0.545 -0.842  0.393 -0.843  0.300 -0.964  0.191 -1.064  0.048 -1.118  -0.092 -1.181  -0.235 -1.238  -0.385 -1.256  -0.530 -1.305  -0.659 -1.388  -0.751 -1.482  -0.899 -1.514
2#tos#t2#t2024062/5  -0.342 0.797  -0.464 0.920  -0.475 0.923  -0.374 0.762  -0.342 0.568  -0.342 0.368  -0.342 0.168  -0.342 -0.031  -0.342 -0.231  -0.277 -0.248  -0.087 -0.224  0.113 -0.224  0.291 -0.291  0.413 -0.446  0.457 -0.627  0.457 -0.827  0.369 -0.971  0.358 -1.166  0.217 -1.308  0.067 -1.434  -0.039 -1.555  -0.238 -1.555  -0.434 -1.548  -0.564 -1.447  -0.582 -1.263  -0.512 -1.076  -0.442 -0.889  -0.373 -0.702  -0.303 -0.515  -0.234 -0.328  -0.164 -0.141  -0.094 0.046  -0.025 0.234  0.045 0.421  0.067 0.575  -0.132 0.575  -0.297 0.610  -0.446 0.711  -0.564 0.851  -0.418 0.933  -0.222 0.972  -0.023 0.975  0.177 0.975  0.377 0.975  0.576 0.975  0.776 0.975  0.972 0.951  1.168 0.930  1.367 0.930  1.567 0.930
2#tos#t2#t2024062/7  -0.533 0.925  -0.666 0.925  -0.648 0.849  -0.642 0.718  -0.609 0.591  -0.575 0.473  -0.571 0.342  -0.571 0.210  -0.501 0.310  -0.427 0.420  -0.500 0.470  -0.632 0.470  -0.765 0.470  -0.837 0.552  -0.736 0.584  -0.607 0.610  -0.477 0.622  -0.350 0.649  -0.227 0.697  -0.094 0.697  0.038 0.697  0.171 0.697  0.303 0.697  0.435 0.697  0.568 0.697  0.700 0.697  0.832 0.697  0.832 0.565  0.832 0.432  0.816 0.310  0.756 0.214  0.750 0.084  0.657 -0.009  0.586 -0.117  0.535 -0.239  0.491 -0.361  0.491 -0.493  0.414 -0.594  0.331 -0.694  0.289 -0.820  0.240 -0.943  0.181 -1.061  0.122 -1.179  0.112 -1.309  0.040 -1.420  -0.033 -1.530  -0.078 -1.655  -0.095 -1.777  -0.154 -1.873  -0.192 -1.996
2#tos#t2#t2024062/8  0.605 0.190  0.474 0.112  0.512 0.284  0.643 0.418  0.643 0.617  0.643 0.816  0.643 1.015  0.594 1.175  0.413 1.251  0.239 1.318  0.040 1.318  -0.159 1.318  -0.358 1.318  -0.525 1.240  -0.601 1.088  -0.679 0.937  -0.672 0.738  -0.615 0.553  -0.487 0.401  -0.374 0.237  -0.230 0.101  -0.080 -0.012  0.043 -0.157  0.202 -0.277  0.287 -0.446  0.450 -0.524  0.488 -0.703  0.478 -0.900  0.413 -1.087  0.305 -1.204  0.151 -1.275  -0.006 -1.388  -0.170 -1.483  -0.369 -1.483  -0.568 -1.483  -0.651 -1.366  -0.718 -1.235  -0.718 -1.036  -0.706 -0.840  -0.604 -0.670  -0.477 -0.520  -0.408 -0.337  -0.262 -0.207  -0.146 -0.046  -0.017 0.103  0.144 0.220  0.313 0.326  0.481 0.432  0.639 0.540  0.760 0.618
2#tos#t2#t2024062/A  0.339 1.573  0.348 1.447  0.172 1.237  0.048 0.990  -0.076 0.742  -0.182 0.488  -0.276 0.232  -0.453 0.019  -0.539 -0.241  -0.679 -0.475  -0.807 -0.720  -0.920 -0.970  -0.927 -1.246  -0.965 -1.518  -0.891 -1.461  -0.776 -1.210  -0.660 -0.959  -0.544 -0.708  -0.428 -0.457  -0.312 -0.206  -0.196 0.045  -0.080 0.296  0.036 0.548  0.152 0.799  0.267 1.050  0.383 1.301  0.290 1.483  0.403 1.329  0.483 1.079  0.564 0.825  0.564 0.548  0.564 0.271  0.580 -0.003  0.724 -0.234  0.789 -0.488  0.789 -0.764  0.857 -1.013  0.924 -1.262  0.786 -1.117  0.623 -0.894  0.459 -0.671  0.296 -0.448  0.132 -0.225  -0.032 -0.002  -0.274 0.089  -0.551 0.089  -0.663 0.224  -0.386 0.224  -0.117 0.181  0.160 0.179
2#tos#t2#t2024062/B  -0.385 1.280  -0.286 1.060  -0.286 0.784  -0.286 0.508  -0.286 0.232  -0.286 -0.044  -0.286 -0.320  -0.286 -0.596  -0.286 -0.872  -0.286 -1.148  -0.286 -1.424  -0.236 -1.692  -0.222 -1.435  -0.208 -1.159  -0.194 -0.883  -0.180 -0.608  -0.166 -0.332  -0.152 -0.056  -0.138 0.219  -0.284 0.385  -0.534 0.412  -0.534 0.688  -0.584 0.943  -0.521 1.193  -0.323 1.382  -0.051 1.429  0.225 1.429  0.501 1.429  0.736 1.330  0.924 1.163  0.956 0.900  0.807 0.731  0.716 0.493  0.460 0.402  0.274 0.206  0.012 0.147  -0.184 -0.012  -0.410 -0.012  -0.134 -0.012  0.134 -0.062  0.410 -0.062  0.648 -0.170  0.758 -0.394  0.750 -0.666  0.589 -0.876  0.350 -0.996  0.121 -1.146  -0.081 -1.254  -0.358 -1.254  -0.634 -1.254
2#tos#t2#t2024062/C  0.387 1.149  0.442 1.195  0.502 1.195  0.402 1.195  0.301 1.195  0.200 1.195  0.102 1.186  0.018 1.130  -0.072 1.098  -0.143 1.027  -0.215 0.956  -0.286 0.885  -0.365 0.832  -0.466 0.832  -0.474 0.740  -0.522 0.665  -0.605 0.609  -0.610 0.511  -0.625 0.424  -0.655 0.354  -0.655 0.254  -0.655 0.153  -0.655 0.052  -0.647 -0.046  -0.610 -0.139  -0.610 -0.239  -0.572 -0.331  -0.565 -0.430  -0.530 -0.516  -0.468 -0.596  -0.408 -0.676  -0.371 -0.763  -0.291 -0.823  -0.210 -0.884  -0.111 -0.889  -0.011 -0.889  0.090 -0.889  0.191 -0.889  0.292 -0.889  0.392 -0.889  0.493 -0.889  0.594 -0.889  0.695 -0.889  0.795 -0.889  0.896 -0.889  0.960 -0.830  1.035 -0.769  1.125 -0.724  1.203 -0.663  1.293 -0.618
2#tos#t2#t2024062/E  -0.430 0.699  -0.586 0.893  -0.698 1.066  -0.698 0.816  -0.698 0.565  -0.704 0.316  -0.736 0.068  -0.736 -0.182  -0.784 -0.425  -0.813 -0.671  -0.813 -0.921  -0.813 -1.171  -0.813 -1.422  -0.600 -1.481  -0.350 -1.481  -0.138 -1.443  0.088 -1.358  0.323 -1.279  0.560 -1.208  0.792 -1.139  0.911 -1.049  0.817 -0.817  0.724 -0.585  0.630 -0.353  0.537 -0.121  0.443 0.111  0.349 0.343  0.256 0.575  0.162 0.807  0.069 1.038  -0.178 1.043  -0.429 1.043  -0.339 1.010  -0.089 1.005  0.155 0.966  0.382 0.890  0.620 0.828  0.868 0.813  0.968 0.690  0.744 0.578  0.521 0.467  0.297 0.355  0.073 0.243  -0.156 0.146  -0.390 0.063  -0.359 -0.063  -0.110 -0.066  0.140 -0.066  0.390 -0.066  0.641 -0.066
2#tos#t2#t2024062/G  0.357 1.120  0.324 1.323  0.214 1.482  0.083 1.572  -0.131 1.548  -0.315 1.426  -0.455 1.259  -0.574 1.075  -0.692 0.893  -0.755 0.686  -0.864 0.510  -0.909 0.335  -0.909 0.114  -0.909 -0.107  -0.909 -0.329  -0.888 -0.547  -0.777 -0.729  -0.635 -0.885  -0.478 -1.017  -0.267 -1.079  -0.048 -1.095  0.171 -1.082  0.384 -1.037  0.394 -0.865  0.314 -0.659  0.234 -0.453  0.154 -0.247  0.074 -0.041  -0.005 0.165  -0.085 0.371  -0.289 0.397  -0.313 0.395  -0.098 0.352  0.123 0.352  0.344 0.352  0.566 0.352  0.787 0.352  0.973 0.353  0.753 0.378  0.583 0.347  0.448 0.261  0.448 0.040  0.448 -0.181  0.448 -0.402  0.448 -0.623  0.448 -0.844  0.448 -1.065  0.448 -1.286  0.448 -1.507  0.448 -1.728
2#tos#t2#t2024062/H  -0.547 1.086  -0.734 1.086  -0.804 1.202  -0.804 1.041  -0.804 0.855  -0.804 0.668  -0.804 0.482  -0.804 0.296  -0.804 0.110  -0.804 -0.076  -0.804 -0.262  -0.804 -0.448  -0.804 -0.635  -0.804 -0.821  -0.764 -1.000  -0.705 -0.842  -0.647 -0.665  -0.588 -0.489  -0.529 -0.312  -0.582 -0.162  -0.712 -0.069  -0.884 -0.007  -0.886 0.017  -0.700 0.017  -0.513 0.017  -0.328 0.018  -0.146 0.060  0.040 0.060  0.226 0.060  0.412 0.060  0.598 0.060  0.783 0.064  0.935 0.145  0.984 0.274  0.972 0.460  0.961 0.645  0.947 0.829  0.864 0.812  0.864 0.626  0.864 0.440  0.864 0.254  0.864 0.068  0.864 -0.118  0.920 -0.294  0.949 -0.474  0.949 -0.660  0.972 -0.845  1.012 -1.026  1.035 -1.208  1.035 -1.394
2#tos#t2#t2024062/J  -0.895 0.638  -0.992 0.589  -1.118 0.559  -1.072 0.539  -0.940 0.539  -0.809 0.539  -0.677 0.539  -0.545 0.539  -0.416 0.562  -0.285 0.572  -0.154 0.580  -0.024 0.602  0.107 0.605  0.239 0.605  0.367 0.632  0.498 0.638  0.630 0.638  0.761 0.638  0.893 0.638  1.025 0.638  1.007 0.638  0.875 0.638  0.744 0.638  0.612 0.638  0.480 0.638  0.349 0.638  0.217 0.638  0.085 0.638  0.067 0.532  0.089 0.402  0.126 0.276  0.126 0.144  0.126 0.013  0.158 -0.115  0.159 -0.247  0.159 -0.378  0.159 -0.510  0.132 -0.635  0.120 -0.765  0.082 -0.891  0.060 -1.020  0.000 -1.133  -0.022 -1.256  -0.115 -1.350  -0.205 -1.444  -0.267 -1.552  -0.367 -1.635  -0.399 -1.742  -0.519 -1.787  -0.632 -1.833
2#tos#t2#t2024062/K  -0.779 1.542  -0.739 1.656  -0.723 1.406  -0.698 1.157  -0.698 0.905  -0.698 0.654  -0.657 0.407  -0.647 0.156  -0.617 -0.094  -0.617 -0.345  -0.617 -0.597  -0.617 -0.848  -0.617 -1.100  -0.617 -1.351  -0.617 -1.603  -0.563 -1.668  -0.429 -1.455  -0.296 -1.241  -0.162 -1.028  -0.028 -0.815  0.105 -0.602  0.239 -0.389  0.372 -0.176  0.506 0.037  0.640 0.250  0.773 0.464  0.907 0.677  1.040 0.890  0.947 0.932  0.798 0.764  0.561 0.720  0.432 0.547  0.258 0.403  0.035 0.322  -0.160 0.165  -0.352 0.006  -0.549 -0.114  -0.598 -0.170  -0.385 -0.036  -0.172 0.098  0.041 0.232  0.254 0.366  0.413 0.475  0.343 0.371  0.518 0.202  0.648 -0.012  0.755 -0.236  0.886 -0.443  1.046 -0.622  1.133 -0.858
