2#apb#apb05#app0588/R  0.164 0.672  0.047 0.455  -0.052 0.228  -0.152 0.002  -0.255 -0.223  -0.369 -0.442  -0.491 -0.658  -0.628 -0.864  -0.781 -1.056  -0.975 -1.208  -1.133 -1.097  -1.132 -0.854  -1.075 -0.616  -0.971 -0.392  -0.856 -0.173  -0.723 0.036  -0.590 0.244  -0.435 0.435  -0.260 0.610  -0.085 0.785  0.100 0.949  0.298 1.098  0.496 1.246  0.721 1.345  0.954 1.428  1.198 1.385  1.303 1.178  1.248 0.943  1.163 0.712  1.016 0.513  0.868 0.314  0.681 0.153  0.490 -0.004  0.286 -0.143  0.069 -0.262  -0.155 -0.359  -0.399 -0.401  -0.643 -0.444  -0.837 -0.348  -0.705 -0.150  -0.495 -0.024  -0.252 0.024  -0.010 -0.011  0.220 -0.095  0.410 -0.246  0.533 -0.454  0.591 -0.694  0.591 -0.942  0.552 -1.185  0.459 -1.414
2#apb#apb05#app0588/i  0.325 0.333  0.283 0.227  0.240 0.121  0.193 0.017  0.146 -0.087  0.099 -0.191  0.048 -0.293  -0.013 -0.389  -0.074 -0.485  -0.135 -0.582  -0.192 -0.680  -0.246 -0.781  -0.299 -0.882  -0.353 -0.982  -0.413 -1.080  -0.473 -1.177  -0.526 -1.277  -0.558 -1.381  -0.508 -1.375  -0.471 -1.267  -0.434 -1.159  -0.398 -1.051  -0.361 -0.943  -0.324 -0.835  -0.288 -0.727  -0.251 -0.619  -0.214 -0.511  -0.178 -0.403  -0.141 -0.295  -0.104 -0.187  -0.068 -0.078  -0.031 0.030  0.005 0.138  0.042 0.246  0.079 0.354  0.115 0.462  0.152 0.570  0.189 0.678  0.225 0.786  0.262 0.894  0.299 1.002  0.335 1.110  0.372 1.218  0.409 1.326  0.445 1.434  0.482 1.542  0.518 1.650  0.555 1.758  0.592 1.866  0.642 1.955
2#apb#apb05#app0588/c  0.539 0.985  0.500 0.848  0.454 0.713  0.406 0.579  0.370 0.442  0.342 0.302  0.307 0.164  0.375 0.103  0.502 0.166  0.598 0.270  0.681 0.385  0.737 0.516  0.743 0.657  0.717 0.791  0.631 0.905  0.524 0.993  0.397 1.057  0.268 1.055  0.140 0.994  0.011 0.933  -0.118 0.872  -0.243 0.804  -0.368 0.734  -0.492 0.664  -0.595 0.571  -0.679 0.455  -0.762 0.340  -0.846 0.224  -0.907 0.098  -0.950 -0.038  -0.993 -0.174  -1.036 -0.310  -1.001 -0.449  -0.967 -0.587  -0.928 -0.722  -0.813 -0.806  -0.698 -0.891  -0.583 -0.975  -0.451 -1.026  -0.314 -1.065  -0.177 -1.104  -0.040 -1.143  0.101 -1.133  0.242 -1.113  0.383 -1.094  0.524 -1.075  0.662 -1.038  0.799 -0.999  0.936 -0.959  1.073 -0.920
2#apb#apb05#app0588/h  0.280 1.834  0.212 1.702  0.158 1.549  0.105 1.396  0.052 1.243  -0.001 1.090  -0.054 0.937  -0.106 0.784  -0.157 0.630  -0.208 0.476  -0.259 0.323  -0.309 0.168  -0.356 0.014  -0.404 -0.141  -0.451 -0.296  -0.527 -0.439  -0.605 -0.581  -0.683 -0.722  -0.782 -0.850  -0.885 -0.975  -1.009 -1.066  -0.985 -0.916  -0.928 -0.765  -0.863 -0.616  -0.790 -0.473  -0.702 -0.337  -0.614 -0.201  -0.517 -0.071  -0.417 0.056  -0.317 0.183  -0.200 0.292  -0.061 0.376  0.077 0.460  0.228 0.512  0.386 0.544  0.540 0.521  0.689 0.459  0.809 0.353  0.899 0.224  0.938 0.067  0.971 -0.090  0.954 -0.251  0.937 -0.412  0.909 -0.572  0.874 -0.730  0.833 -0.885  0.744 -1.020  0.649 -1.151  0.535 -1.266  0.410 -1.368
2#apb#apb05#app0588/e  -0.826 0.442  -0.732 0.302  -0.625 0.173  -0.503 0.061  -0.358 -0.026  -0.205 -0.090  -0.043 -0.135  0.120 -0.119  0.284 -0.078  0.439 -0.015  0.592 0.055  0.733 0.144  0.859 0.254  0.964 0.385  1.038 0.533  1.074 0.697  1.035 0.859  0.958 1.007  0.872 1.151  0.712 1.166  0.543 1.166  0.387 1.110  0.233 1.042  0.079 0.974  -0.058 0.877  -0.195 0.780  -0.333 0.683  -0.451 0.564  -0.563 0.438  -0.674 0.312  -0.781 0.183  -0.852 0.031  -0.924 -0.121  -0.991 -0.275  -1.029 -0.439  -1.067 -0.603  -0.965 -0.736  -0.862 -0.869  -0.736 -0.963  -0.570 -0.993  -0.405 -1.024  -0.239 -1.054  -0.072 -1.054  0.096 -1.047  0.264 -1.040  0.433 -1.033  0.595 -0.992  0.756 -0.943  0.916 -0.894  1.077 -0.845
2#apb#apb05#app0588/t  0.776 1.903  0.723 1.766  0.679 1.626  0.634 1.486  0.590 1.346  0.540 1.207  0.490 1.069  0.439 0.932  0.389 0.794  0.338 0.656  0.288 0.518  0.238 0.380  0.187 0.242  0.137 0.104  0.087 -0.034  0.037 -0.172  -0.025 -0.306  -0.086 -0.439  -0.147 -0.573  -0.208 -0.706  -0.262 -0.843  -0.314 -0.980  -0.365 -1.118  -0.448 -1.239  -0.532 -1.359  -0.614 -1.482  -0.634 -1.389  -0.638 -1.242  -0.642 -1.095  -0.646 -0.949  -0.651 -0.802  -0.655 -0.655  -0.659 -0.508  -0.663 -0.361  -0.668 -0.215  -0.672 -0.068  -0.676 0.079  -0.594 0.164  -0.454 0.206  -0.307 0.210  -0.160 0.210  -0.014 0.210  0.133 0.210  0.280 0.210  0.427 0.209  0.573 0.190  0.718 0.170  0.864 0.157  1.011 0.148  1.158 0.139
2#apb#apb05#app0588/t  0.888 1.346  0.810 1.211  0.731 1.076  0.652 0.940  0.585 0.799  0.522 0.656  0.458 0.512  0.395 0.369  0.330 0.227  0.263 0.085  0.197 -0.057  0.130 -0.198  0.063 -0.340  0.008 -0.487  -0.047 -0.633  -0.102 -0.780  -0.157 -0.926  -0.221 -1.070  -0.285 -1.213  -0.327 -1.363  -0.454 -1.444  -0.524 -1.331  -0.581 -1.185  -0.638 -1.039  -0.695 -0.894  -0.752 -0.748  -0.809 -0.602  -0.867 -0.456  -0.924 -0.310  -0.981 -0.164  -1.038 -0.019  -1.095 0.127  -1.047 0.229  -0.903 0.291  -0.759 0.353  -0.615 0.413  -0.458 0.413  -0.302 0.413  -0.145 0.413  0.011 0.415  0.167 0.432  0.323 0.449  0.478 0.467  0.634 0.484  0.790 0.495  0.946 0.505  1.103 0.515  1.259 0.528  1.415 0.542  1.571 0.556
2#apb#apb05#app0588/e  -1.075 0.073  -0.911 0.049  -0.744 0.049  -0.578 0.049  -0.412 0.049  -0.246 0.057  -0.086 0.100  0.075 0.142  0.236 0.186  0.395 0.236  0.553 0.286  0.704 0.354  0.853 0.429  0.985 0.529  1.080 0.658  1.080 0.809  0.978 0.940  0.845 1.031  0.691 1.095  0.530 1.103  0.365 1.082  0.206 1.044  0.065 0.956  -0.075 0.867  -0.216 0.778  -0.340 0.667  -0.461 0.553  -0.583 0.440  -0.681 0.306  -0.775 0.169  -0.869 0.032  -0.944 -0.115  -0.990 -0.275  -1.019 -0.436  -0.994 -0.600  -0.939 -0.746  -0.801 -0.838  -0.662 -0.930  -0.508 -0.978  -0.343 -0.993  -0.177 -1.007  -0.011 -1.017  0.154 -1.000  0.320 -0.982  0.485 -0.964  0.651 -0.947  0.810 -0.899  0.968 -0.848  1.127 -0.797  1.285 -0.746
2#apb#apb05#app0588/F  -0.081 0.637  -0.153 0.562  -0.231 0.426  -0.307 0.289  -0.384 0.152  -0.457 0.013  -0.529 -0.127  -0.601 -0.266  -0.671 -0.407  -0.737 -0.550  -0.802 -0.692  -0.867 -0.835  -0.932 -0.979  -0.997 -1.122  -1.062 -1.264  -1.014 -1.369  -0.914 -1.247  -0.815 -1.126  -0.715 -1.004  -0.616 -0.883  -0.516 -0.761  -0.417 -0.640  -0.317 -0.518  -0.218 -0.397  -0.119 -0.275  -0.024 -0.193  0.127 -0.201  0.284 -0.189  0.433 -0.141  0.581 -0.094  0.738 -0.094  0.895 -0.094  0.977 -0.063  0.865 0.047  0.753 0.157  0.641 0.267  0.529 0.377  0.417 0.487  0.305 0.598  0.193 0.708  0.081 0.818  0.160 0.915  0.290 1.002  0.431 1.072  0.581 1.119  0.732 1.160  0.887 1.187  1.043 1.197  1.199 1.192  1.351 1.151
2#apb#apb05#app0588/r  -0.118 0.511  -0.158 0.398  -0.198 0.286  -0.238 0.173  -0.286 0.064  -0.335 -0.045  -0.383 -0.154  -0.432 -0.263  -0.462 -0.379  -0.489 -0.495  -0.517 -0.611  -0.545 -0.727  -0.576 -0.842  -0.611 -0.956  -0.647 -1.070  -0.683 -1.184  -0.720 -1.298  -0.736 -1.317  -0.693 -1.206  -0.650 -1.094  -0.607 -0.983  -0.560 -0.873  -0.514 -0.763  -0.468 -0.653  -0.421 -0.543  -0.369 -0.435  -0.316 -0.328  -0.262 -0.222  -0.209 -0.115  -0.153 -0.009  -0.088 0.091  -0.023 0.191  0.043 0.291  0.108 0.391  0.173 0.491  0.246 0.585  0.326 0.674  0.405 0.763  0.485 0.852  0.565 0.941  0.653 1.019  0.759 1.072  0.866 1.126  0.978 1.136  1.095 1.110  1.198 1.055  1.294 0.984  1.367 0.893  1.424 0.788  1.481 0.683
2#apb#apb05#app0588/i  0.330 0.484  0.306 0.368  0.274 0.255  0.219 0.150  0.163 0.045  0.107 -0.060  0.051 -0.164  -0.006 -0.269  -0.063 -0.373  -0.120 -0.477  -0.177 -0.581  -0.234 -0.685  -0.292 -0.789  -0.349 -0.893  -0.420 -0.988  -0.493 -1.082  -0.561 -1.179  -0.609 -1.287  -0.632 -1.401  -0.551 -1.362  -0.477 -1.277  -0.437 -1.165  -0.397 -1.053  -0.357 -0.941  -0.317 -0.829  -0.277 -0.718  -0.236 -0.606  -0.196 -0.494  -0.156 -0.382  -0.116 -0.271  -0.076 -0.159  -0.036 -0.047  0.004 0.065  0.044 0.177  0.084 0.288  0.124 0.400  0.164 0.512  0.204 0.624  0.244 0.736  0.284 0.847  0.324 0.959  0.364 1.071  0.404 1.183  0.444 1.294  0.484 1.406  0.524 1.518  0.564 1.630  0.604 1.742  0.644 1.853  0.630 1.927
2#apb#apb05#app0588/t  0.849 1.568  0.810 1.425  0.755 1.288  0.685 1.157  0.614 1.027  0.544 0.896  0.473 0.766  0.402 0.635  0.331 0.505  0.260 0.375  0.189 0.245  0.117 0.114  0.046 -0.016  -0.025 -0.146  -0.097 -0.276  -0.166 -0.407  -0.228 -0.542  -0.290 -0.677  -0.352 -0.812  -0.410 -0.948  -0.464 -1.087  -0.517 -1.225  -0.564 -1.366  -0.604 -1.508  -0.625 -1.434  -0.644 -1.287  -0.663 -1.139  -0.682 -0.992  -0.700 -0.845  -0.719 -0.698  -0.738 -0.551  -0.757 -0.403  -0.776 -0.256  -0.795 -0.109  -0.729 -0.004  -0.598 0.064  -0.463 0.128  -0.329 0.191  -0.191 0.244  -0.051 0.294  0.089 0.344  0.229 0.394  0.363 0.456  0.498 0.518  0.633 0.581  0.767 0.643  0.912 0.674  1.058 0.703  1.203 0.732  1.349 0.761
2#apb#apb05#app0588/s  1.029 0.928  1.062 1.042  1.002 1.098  0.883 1.105  0.764 1.099  0.645 1.093  0.526 1.087  0.411 1.056  0.297 1.021  0.183 0.986  0.069 0.952  -0.045 0.915  -0.157 0.874  -0.269 0.832  -0.381 0.791  -0.488 0.741  -0.592 0.681  -0.695 0.621  -0.756 0.521  -0.744 0.417  -0.682 0.315  -0.604 0.230  -0.498 0.177  -0.391 0.124  -0.284 0.071  -0.176 0.020  -0.068 -0.030  0.040 -0.081  0.140 -0.146  0.238 -0.214  0.336 -0.282  0.412 -0.373  0.483 -0.469  0.555 -0.564  0.555 -0.684  0.546 -0.800  0.467 -0.888  0.387 -0.977  0.288 -1.036  0.174 -1.072  0.060 -1.108  -0.053 -1.144  -0.171 -1.152  -0.291 -1.152  -0.410 -1.152  -0.529 -1.145  -0.647 -1.129  -0.765 -1.112  -0.875 -1.070  -0.982 -1.016
2#apb#apb05#app0588/c  0.559 1.152  0.523 0.972  0.454 0.798  0.384 0.624  0.282 0.468  0.176 0.314  0.070 0.160  -0.015 -0.006  -0.095 -0.176  -0.175 -0.345  -0.266 -0.508  -0.248 -0.638  -0.082 -0.601  0.082 -0.511  0.225 -0.393  0.357 -0.261  0.493 -0.132  0.632 -0.006  0.758 0.128  0.842 0.295  0.926 0.463  0.972 0.642  1.000 0.827  0.980 1.008  0.858 1.120  0.678 1.174  0.502 1.130  0.325 1.067  0.149 1.005  0.000 0.892  -0.146 0.775  -0.292 0.659  -0.423 0.525  -0.551 0.388  -0.678 0.252  -0.784 0.100  -0.868 -0.068  -0.951 -0.235  -1.021 -0.407  -1.047 -0.592  -1.074 -0.778  -0.989 -0.943  -0.901 -1.108  -0.764 -1.221  -0.593 -1.296  -0.421 -1.371  -0.239 -1.372  -0.054 -1.347  0.132 -1.323  0.317 -1.299
2#apb#apb05#app0588/h  0.457 1.618  0.388 1.480  0.316 1.343  0.217 1.224  0.117 1.105  0.018 0.986  -0.071 0.860  -0.159 0.732  -0.246 0.604  -0.333 0.476  -0.416 0.345  -0.494 0.212  -0.573 0.078  -0.652 -0.055  -0.727 -0.191  -0.801 -0.327  -0.875 -0.463  -0.953 -0.596  -1.039 -0.725  -1.120 -0.857  -1.145 -0.943  -1.041 -0.829  -0.926 -0.725  -0.827 -0.607  -0.740 -0.479  -0.652 -0.352  -0.545 -0.240  -0.436 -0.130  -0.326 -0.021  -0.214 0.086  -0.098 0.189  0.018 0.292  0.135 0.392  0.282 0.441  0.429 0.490  0.582 0.491  0.736 0.480  0.845 0.380  0.943 0.260  0.976 0.113  0.993 -0.041  1.006 -0.195  1.006 -0.350  1.006 -0.505  0.979 -0.656  0.930 -0.803  0.881 -0.950  0.802 -1.083  0.719 -1.213  0.633 -1.342
2#apb#apb05#app0588/C  0.296 0.742  0.358 0.743  0.358 0.606  0.341 0.471  0.307 0.338  0.282 0.203  0.265 0.067  0.318 -0.017  0.444 0.029  0.564 0.095  0.676 0.175  0.784 0.258  0.856 0.375  0.930 0.491  1.009 0.603  0.984 0.738  0.946 0.867  0.849 0.964  0.729 1.006  0.592 1.006  0.458 0.988  0.333 0.933  0.207 0.878  0.085 0.817  -0.026 0.736  -0.137 0.655  -0.248 0.574  -0.347 0.480  -0.439 0.378  -0.530 0.276  -0.622 0.173  -0.708 0.067  -0.771 -0.055  -0.834 -0.177  -0.897 -0.299  -0.936 -0.428  -0.951 -0.564  -0.966 -0.701  -0.948 -0.832  -0.889 -0.956  -0.830 -1.080  -0.723 -1.161  -0.607 -1.233  -0.489 -1.304  -0.353 -1.318  -0.216 -1.333  -0.080 -1.347  0.056 -1.331  0.192 -1.309  0.327 -1.288
2#apb#apb05#app0588/o  0.655 1.044  0.557 1.117  0.434 1.072  0.310 1.027  0.202 0.955  0.097 0.875  -0.007 0.795  -0.111 0.715  -0.206 0.625  -0.289 0.523  -0.373 0.422  -0.457 0.321  -0.540 0.219  -0.621 0.116  -0.703 0.013  -0.784 -0.091  -0.866 -0.194  -0.943 -0.300  -0.998 -0.419  -1.053 -0.539  -1.092 -0.661  -1.092 -0.793  -1.083 -0.920  -0.978 -0.999  -0.871 -1.070  -0.747 -1.028  -0.622 -0.987  -0.497 -0.945  -0.374 -0.901  -0.253 -0.848  -0.132 -0.796  -0.012 -0.743  0.109 -0.691  0.224 -0.631  0.320 -0.541  0.415 -0.450  0.511 -0.360  0.606 -0.270  0.698 -0.176  0.774 -0.069  0.851 0.038  0.927 0.145  0.987 0.261  1.043 0.381  1.098 0.500  1.086 0.628  1.064 0.758  1.010 0.870  0.912 0.957  0.814 1.044
2#apb#apb05#app0588/h  0.698 1.949  0.611 1.804  0.528 1.657  0.450 1.508  0.372 1.359  0.294 1.209  0.212 1.062  0.130 0.915  0.049 0.767  -0.033 0.620  -0.115 0.473  -0.197 0.325  -0.279 0.178  -0.361 0.031  -0.443 -0.116  -0.525 -0.263  -0.608 -0.410  -0.693 -0.556  -0.784 -0.697  -0.872 -0.841  -0.940 -0.995  -0.977 -0.998  -0.886 -0.855  -0.790 -0.717  -0.695 -0.578  -0.603 -0.437  -0.511 -0.295  -0.419 -0.154  -0.306 -0.029  -0.193 0.096  -0.081 0.221  0.043 0.335  0.177 0.437  0.311 0.540  0.470 0.567  0.627 0.526  0.718 0.398  0.759 0.235  0.769 0.072  0.720 -0.089  0.672 -0.251  0.614 -0.409  0.552 -0.566  0.489 -0.722  0.408 -0.869  0.322 -1.014  0.234 -1.158  0.138 -1.297  0.036 -1.429  -0.092 -1.539
2#apb#apb05#app0588/e  -0.583 0.095  -0.459 0.017  -0.331 -0.055  -0.188 -0.091  -0.046 -0.126  0.101 -0.130  0.248 -0.130  0.394 -0.124  0.538 -0.097  0.683 -0.070  0.823 -0.029  0.956 0.033  1.089 0.094  1.194 0.197  1.217 0.335  1.184 0.472  1.105 0.596  1.020 0.715  0.911 0.814  0.803 0.913  0.674 0.978  0.536 1.028  0.397 1.064  0.256 1.023  0.115 0.982  -0.024 0.936  -0.152 0.865  -0.281 0.794  -0.409 0.722  -0.513 0.623  -0.603 0.506  -0.692 0.389  -0.781 0.273  -0.833 0.135  -0.883 -0.003  -0.934 -0.140  -0.953 -0.283  -0.945 -0.430  -0.937 -0.576  -0.895 -0.712  -0.813 -0.834  -0.732 -0.956  -0.631 -1.057  -0.501 -1.125  -0.371 -1.194  -0.241 -1.262  -0.098 -1.284  0.048 -1.291  0.195 -1.298  0.342 -1.304
