3#apb#apb22#app2208/S  0.763 1.422  0.677 1.386  0.592 1.351  0.507 1.312  0.427 1.266  0.346 1.220  0.265 1.174  0.188 1.122  0.113 1.069  0.037 1.015  -0.039 0.961  -0.114 0.906  -0.188 0.850  -0.262 0.793  -0.335 0.737  -0.408 0.680  -0.455 0.610  -0.402 0.533  -0.333 0.472  -0.260 0.414  -0.180 0.366  -0.101 0.319  -0.028 0.261  0.042 0.200  0.112 0.139  0.168 0.065  0.220 -0.011  0.273 -0.088  0.309 -0.171  0.327 -0.262  0.346 -0.353  0.346 -0.445  0.328 -0.536  0.310 -0.627  0.280 -0.713  0.236 -0.796  0.193 -0.878  0.141 -0.953  0.072 -1.015  0.002 -1.077  -0.067 -1.139  -0.145 -1.187  -0.229 -1.227  -0.313 -1.267  -0.398 -1.302  -0.490 -1.317  -0.582 -1.331  -0.673 -1.333  -0.764 -1.316  -0.856 -1.299
3#apb#apb22#app2208/8  0.757 1.005  0.687 1.165  0.547 1.265  0.371 1.290  0.201 1.234  0.034 1.171  -0.115 1.072  -0.264 0.972  -0.403 0.859  -0.541 0.745  -0.663 0.614  -0.777 0.477  -0.843 0.310  -0.766 0.157  -0.619 0.055  -0.455 -0.009  -0.280 -0.048  -0.107 -0.095  0.065 -0.144  0.225 -0.220  0.374 -0.319  0.481 -0.458  0.523 -0.626  0.523 -0.805  0.456 -0.968  0.376 -1.128  0.253 -1.256  0.115 -1.369  -0.049 -1.440  -0.219 -1.482  -0.398 -1.481  -0.530 -1.360  -0.622 -1.218  -0.649 -1.041  -0.642 -0.868  -0.571 -0.704  -0.499 -0.540  -0.406 -0.387  -0.308 -0.237  -0.210 -0.088  -0.111 0.062  0.017 0.187  0.146 0.311  0.275 0.435  0.411 0.552  0.553 0.660  0.696 0.768  0.840 0.874  0.988 0.975  1.135 1.077
3#apb#apb22#app2208/A  -1.318 -1.231  -1.398 -1.158  -1.307 -1.027  -1.211 -0.900  -1.114 -0.773  -1.016 -0.647  -0.919 -0.521  -0.821 -0.395  -0.720 -0.272  -0.620 -0.148  -0.519 -0.024  -0.416 0.097  -0.311 0.217  -0.205 0.336  -0.099 0.456  0.004 0.577  0.107 0.698  0.210 0.820  0.314 0.941  0.420 1.061  0.525 1.180  0.629 1.301  0.731 1.423  0.864 1.449  0.870 1.293  0.844 1.136  0.815 0.979  0.763 0.828  0.711 0.678  0.662 0.526  0.618 0.373  0.573 0.220  0.522 0.069  0.469 -0.081  0.416 -0.232  0.362 -0.382  0.307 -0.531  0.272 -0.687  0.241 -0.843  0.200 -0.997  0.206 -1.118  0.120 -0.983  0.034 -0.849  -0.052 -0.715  -0.138 -0.580  -0.223 -0.446  -0.321 -0.325  -0.185 -0.289  -0.027 -0.267  0.129 -0.238
3#apb#apb22#app2208/u  -0.604 1.057  -0.576 1.189  -0.622 1.046  -0.673 0.904  -0.716 0.759  -0.759 0.614  -0.803 0.470  -0.850 0.326  -0.902 0.185  -0.954 0.043  -1.007 -0.099  -1.048 -0.244  -1.085 -0.390  -1.121 -0.537  -1.161 -0.683  -1.148 -0.804  -1.015 -0.803  -0.882 -0.730  -0.754 -0.651  -0.628 -0.567  -0.503 -0.483  -0.377 -0.400  -0.250 -0.318  -0.123 -0.236  0.004 -0.154  0.128 -0.068  0.250 0.021  0.371 0.111  0.492 0.201  0.604 0.303  0.715 0.405  0.826 0.508  0.933 0.614  1.034 0.726  1.118 0.852  1.075 0.784  1.005 0.651  0.938 0.516  0.878 0.377  0.828 0.235  0.778 0.092  0.732 -0.051  0.712 -0.201  0.692 -0.351  0.682 -0.501  0.692 -0.652  0.702 -0.802  0.738 -0.947  0.792 -1.088  0.846 -1.229
3#apb#apb22#app2208/g  0.270 1.245  0.159 1.230  0.052 1.191  -0.040 1.122  -0.118 1.041  -0.191 0.952  -0.245 0.853  -0.289 0.747  -0.316 0.637  -0.325 0.524  -0.279 0.433  -0.173 0.396  -0.064 0.401  0.028 0.468  0.119 0.537  0.207 0.610  0.291 0.687  0.361 0.777  0.418 0.875  0.463 0.980  0.479 0.998  0.429 0.895  0.382 0.791  0.336 0.687  0.303 0.579  0.303 0.465  0.289 0.352  0.270 0.240  0.236 0.131  0.202 0.022  0.186 -0.091  0.181 -0.205  0.176 -0.319  0.161 -0.432  0.135 -0.543  0.110 -0.654  0.082 -0.765  0.048 -0.874  0.013 -0.983  -0.030 -1.088  -0.084 -1.188  -0.143 -1.286  -0.213 -1.376  -0.283 -1.466  -0.379 -1.527  -0.478 -1.582  -0.590 -1.605  -0.702 -1.627  -0.816 -1.627  -0.931 -1.627
3#apb#apb22#app2208/.  1.132 1.264  1.083 1.215  1.034 1.166  0.985 1.117  0.936 1.068  0.887 1.019  0.838 0.969  0.789 0.920  0.740 0.871  0.691 0.822  0.642 0.773  0.593 0.724  0.544 0.675  0.495 0.626  0.445 0.577  0.396 0.528  0.352 0.474  0.310 0.420  0.267 0.365  0.224 0.310  0.182 0.255  0.139 0.201  0.096 0.146  0.054 0.091  0.011 0.036  -0.031 -0.019  -0.074 -0.073  -0.117 -0.128  -0.159 -0.183  -0.202 -0.238  -0.244 -0.292  -0.287 -0.347  -0.330 -0.402  -0.372 -0.457  -0.415 -0.512  -0.457 -0.566  -0.500 -0.621  -0.543 -0.676  -0.585 -0.731  -0.628 -0.785  -0.671 -0.839  -0.720 -0.888  -0.770 -0.938  -0.819 -0.987  -0.868 -1.036  -0.917 -1.085  -0.966 -1.134  -1.015 -1.183  -1.064 -1.232  -1.113 -1.281
3#apb#apb22#app2208/9  0.246 0.291  0.309 0.459  0.340 0.634  0.413 0.796  0.441 0.968  0.439 1.147  0.319 1.241  0.145 1.208  -0.024 1.151  -0.171 1.050  -0.314 0.943  -0.469 0.854  -0.626 0.770  -0.743 0.637  -0.850 0.494  -0.957 0.351  -1.041 0.197  -1.069 0.022  -1.033 -0.152  -0.956 -0.312  -0.837 -0.437  -0.662 -0.402  -0.487 -0.365  -0.312 -0.328  -0.152 -0.253  0.003 -0.164  0.140 -0.052  0.261 0.080  0.389 0.203  0.534 0.308  0.665 0.427  0.781 0.564  0.898 0.679  0.782 0.561  0.703 0.401  0.623 0.241  0.543 0.081  0.472 -0.083  0.420 -0.254  0.368 -0.425  0.315 -0.596  0.255 -0.764  0.194 -0.932  0.134 -1.100  0.072 -1.268  0.008 -1.435  -0.055 -1.602  -0.110 -1.772  -0.151 -1.946  -0.192 -2.120
3#apb#apb22#app2208/M  -1.444 -1.356  -1.551 -1.308  -1.527 -1.156  -1.448 -1.023  -1.368 -0.890  -1.291 -0.757  -1.214 -0.622  -1.137 -0.488  -1.051 -0.360  -0.955 -0.239  -0.858 -0.118  -0.761 0.002  -0.652 0.112  -0.543 0.221  -0.433 0.330  -0.318 0.434  -0.200 0.534  -0.083 0.634  0.043 0.724  0.169 0.813  0.303 0.783  0.316 0.643  0.275 0.494  0.226 0.347  0.177 0.201  0.105 0.064  0.034 -0.074  -0.039 -0.210  -0.123 -0.339  -0.055 -0.278  0.036 -0.153  0.144 -0.043  0.255 0.065  0.367 0.172  0.472 0.286  0.577 0.399  0.685 0.509  0.806 0.606  0.932 0.692  1.080 0.732  1.167 0.632  1.165 0.478  1.132 0.327  1.091 0.178  1.041 0.032  0.989 -0.113  0.932 -0.258  0.879 -0.403  0.836 -0.551  0.818 -0.705
3#apb#apb22#app2208/a  -1.411 -1.343  -1.456 -1.301  -1.409 -1.151  -1.341 -1.005  -1.261 -0.866  -1.162 -0.739  -1.062 -0.613  -0.963 -0.486  -0.862 -0.361  -0.753 -0.243  -0.644 -0.124  -0.535 -0.006  -0.427 0.113  -0.311 0.224  -0.192 0.332  -0.073 0.441  0.046 0.549  0.169 0.653  0.295 0.754  0.420 0.854  0.546 0.955  0.688 1.029  0.832 1.101  0.979 1.167  1.082 1.097  1.108 0.947  1.082 0.789  1.057 0.630  1.002 0.479  0.939 0.331  0.877 0.183  0.814 0.035  0.752 -0.114  0.690 -0.262  0.636 -0.414  0.582 -0.565  0.511 -0.710  0.400 -0.691  0.270 -0.595  0.141 -0.499  0.012 -0.404  -0.118 -0.308  -0.247 -0.212  -0.377 -0.117  -0.506 -0.021  -0.475 0.016  -0.322 0.064  -0.165 0.100  -0.008 0.136  0.149 0.171
3#apb#apb22#app2208/y  -0.867 0.860  -0.883 0.713  -0.909 0.567  -0.939 0.421  -0.980 0.278  -1.027 0.137  -1.069 -0.004  -1.069 -0.153  -0.986 -0.264  -0.864 -0.323  -0.718 -0.292  -0.573 -0.262  -0.440 -0.200  -0.314 -0.122  -0.187 -0.043  -0.066 0.041  0.044 0.141  0.155 0.240  0.265 0.340  0.375 0.440  0.486 0.539  0.596 0.639  0.706 0.738  0.816 0.838  0.927 0.938  1.037 1.037  1.147 1.137  1.066 1.037  0.983 0.913  0.902 0.789  0.822 0.664  0.740 0.540  0.659 0.415  0.578 0.291  0.498 0.165  0.421 0.038  0.344 -0.089  0.267 -0.216  0.190 -0.343  0.126 -0.477  0.063 -0.611  -0.000 -0.746  -0.063 -0.880  -0.128 -1.014  -0.203 -1.142  -0.279 -1.270  -0.355 -1.398  -0.401 -1.537  -0.432 -1.682  -0.463 -1.828
3#apb#apb22#app2208/2  -0.942 0.700  -0.945 0.859  -0.819 0.954  -0.670 1.022  -0.511 1.069  -0.352 1.110  -0.188 1.136  -0.025 1.161  0.138 1.139  0.301 1.113  0.453 1.054  0.596 0.972  0.676 0.841  0.719 0.681  0.696 0.522  0.650 0.364  0.604 0.205  0.535 0.055  0.457 -0.090  0.379 -0.236  0.296 -0.378  0.173 -0.488  0.050 -0.598  -0.073 -0.709  -0.221 -0.783  -0.368 -0.857  -0.516 -0.931  -0.674 -0.977  -0.836 -1.011  -0.995 -1.014  -1.150 -0.957  -1.180 -0.802  -1.099 -0.667  -0.990 -0.544  -0.839 -0.477  -0.688 -0.410  -0.532 -0.356  -0.374 -0.308  -0.216 -0.259  -0.053 -0.235  0.111 -0.219  0.276 -0.202  0.440 -0.187  0.605 -0.187  0.771 -0.187  0.936 -0.187  1.101 -0.184  1.266 -0.179  1.431 -0.173  1.597 -0.167
3#apb#apb22#app2208/2  -0.647 1.392  -0.563 1.470  -0.433 1.500  -0.305 1.522  -0.177 1.486  -0.050 1.449  0.063 1.379  0.176 1.310  0.256 1.207  0.328 1.096  0.383 0.978  0.410 0.848  0.438 0.718  0.427 0.590  0.387 0.464  0.347 0.338  0.306 0.212  0.240 0.098  0.166 -0.011  0.091 -0.121  0.016 -0.230  -0.068 -0.333  -0.154 -0.433  -0.240 -0.534  -0.327 -0.634  -0.434 -0.712  -0.542 -0.789  -0.649 -0.867  -0.771 -0.917  -0.896 -0.961  -1.012 -0.934  -0.976 -0.806  -0.861 -0.742  -0.744 -0.680  -0.624 -0.626  -0.493 -0.609  -0.361 -0.591  -0.230 -0.574  -0.099 -0.556  0.033 -0.540  0.165 -0.525  0.296 -0.509  0.428 -0.494  0.559 -0.478  0.692 -0.475  0.824 -0.475  0.957 -0.475  1.089 -0.475  1.222 -0.475  1.354 -0.475
