3#app#app25#app2567/B  -0.043 1.128  -0.043 0.856  -0.088 0.603  -0.202 0.378  -0.202 0.107  -0.202 -0.165  -0.260 -0.423  -0.362 -0.671  -0.362 -0.943  -0.470 -1.107  -0.522 -1.327  -0.500 -1.255  -0.467 -0.986  -0.433 -0.716  -0.399 -0.446  -0.365 -0.177  -0.332 0.093  -0.298 0.363  -0.264 0.633  -0.231 0.902  -0.202 1.172  -0.202 1.444  0.067 1.447  0.338 1.447  0.450 1.287  0.722 1.287  0.915 1.208  0.915 0.937  0.915 0.665  0.659 0.649  0.547 0.489  0.275 0.489  0.037 0.409  -0.202 0.330  -0.474 0.330  -0.457 0.170  -0.185 0.170  0.087 0.170  0.277 0.088  0.414 -0.127  0.596 -0.323  0.596 -0.595  0.596 -0.867  0.564 -1.107  0.436 -1.251  0.180 -1.267  -0.092 -1.267  -0.316 -1.380  -0.569 -1.426  -0.841 -1.426
3#app#app25#app2567/O  0.457 0.631  0.287 0.631  0.117 0.631  -0.053 0.631  -0.222 0.631  -0.295 0.534  -0.374 0.443  -0.483 0.383  -0.525 0.255  -0.671 0.231  -0.677 0.067  -0.847 0.067  -1.016 0.067  -1.047 -0.072  -1.047 -0.241  -1.047 -0.411  -1.047 -0.581  -1.047 -0.751  -1.047 -0.921  -1.018 -1.061  -0.849 -1.061  -0.679 -1.061  -0.509 -1.061  -0.339 -1.061  -0.169 -1.061  0.000 -1.061  0.144 -0.998  0.264 -0.878  0.432 -0.873  0.457 -0.728  0.583 -0.685  0.645 -0.577  0.708 -0.433  0.829 -0.313  0.833 -0.145  0.833 0.024  0.833 0.194  0.910 0.332  1.021 0.456  1.021 0.626  1.021 0.795  0.875 0.819  0.833 0.947  0.723 1.007  0.554 1.007  0.384 1.007  0.214 1.007  0.081 0.971  0.062 0.819  -0.107 0.819
3#app#app25#app2567/U  -0.052 1.264  -0.226 1.177  -0.401 1.089  -0.452 0.926  -0.546 0.770  -0.652 0.619  -0.681 0.435  -0.819 0.297  -0.957 0.159  -1.052 0.004  -1.107 -0.136  -1.252 -0.186  -1.252 -0.381  -1.252 -0.576  -1.252 -0.772  -1.222 -0.936  -1.027 -0.936  -0.832 -0.936  -0.637 -0.936  -0.445 -0.929  -0.307 -0.791  -0.169 -0.653  -0.052 -0.506  -0.027 -0.336  0.148 -0.316  0.163 -0.136  0.355 -0.129  0.493 0.009  0.666 0.064  0.748 0.177  0.856 0.264  0.948 0.367  1.017 0.533  1.155 0.671  1.293 0.809  1.348 0.746  1.236 0.664  1.148 0.556  1.045 0.464  0.879 0.395  0.748 0.254  0.743 0.064  0.548 0.064  0.548 -0.131  0.413 -0.271  0.245 -0.336  0.148 -0.434  0.082 -0.602  -0.057 -0.736  -0.252 -0.736
3#app#app25#app2567/S  1.258 0.772  1.145 0.772  1.044 0.799  0.964 0.879  0.883 0.958  0.770 0.958  0.657 0.958  0.544 0.958  0.431 0.958  0.318 0.958  0.205 0.958  0.092 0.958  -0.021 0.958  -0.134 0.958  -0.248 0.958  -0.361 0.958  -0.423 0.908  -0.423 0.795  -0.423 0.682  -0.407 0.585  -0.294 0.585  -0.236 0.529  -0.236 0.416  -0.236 0.303  -0.222 0.196  -0.142 0.116  -0.062 0.036  -0.050 -0.072  -0.050 -0.185  -0.050 -0.298  0.012 -0.349  0.125 -0.349  0.137 -0.450  0.137 -0.563  0.137 -0.676  0.137 -0.789  0.137 -0.903  0.137 -1.016  0.105 -1.097  -0.008 -1.097  -0.100 -1.147  -0.180 -1.227  -0.270 -1.284  -0.383 -1.284  -0.496 -1.284  -0.609 -1.284  -0.689 -1.205  -0.769 -1.125  -0.871 -1.097  -0.984 -1.097
3#app#app25#app2567/S  1.188 1.080  1.077 1.080  0.966 1.080  0.854 1.080  0.743 1.080  0.632 1.080  0.521 1.080  0.410 1.080  0.298 1.080  0.187 1.080  0.076 1.080  0.037 1.007  0.037 0.896  -0.066 0.888  -0.155 0.866  -0.155 0.754  -0.155 0.643  -0.155 0.532  -0.071 0.505  0.037 0.501  0.037 0.390  0.037 0.279  0.037 0.167  0.037 0.056  0.037 -0.055  0.133 -0.071  0.229 -0.086  0.229 -0.197  0.229 -0.308  0.229 -0.419  0.229 -0.531  0.229 -0.642  0.229 -0.753  0.229 -0.864  0.229 -0.976  0.172 -1.030  0.061 -1.030  -0.050 -1.030  -0.161 -1.030  -0.273 -1.030  -0.384 -1.030  -0.495 -1.030  -0.606 -1.030  -0.718 -1.030  -0.800 -0.960  -0.879 -0.882  -0.972 -0.838  -1.083 -0.838  -1.194 -0.838  -1.306 -0.838
3#app#app25#app2567/T  0.542 0.558  0.542 0.736  0.542 0.618  0.424 0.558  0.334 0.470  0.276 0.351  0.126 0.322  0.126 0.144  0.126 -0.034  -0.020 -0.065  -0.081 -0.182  -0.143 -0.334  -0.269 -0.460  -0.289 -0.630  -0.408 -0.689  -0.560 -0.752  -0.686 -0.878  -0.705 -1.048  -0.705 -1.226  -0.796 -1.313  -0.913 -1.374  -0.913 -1.490  -0.913 -1.312  -0.852 -1.144  -0.791 -0.977  -0.730 -0.810  -0.669 -0.643  -0.609 -0.475  -0.548 -0.308  -0.487 -0.141  -0.426 0.026  -0.365 0.194  -0.305 0.361  -0.244 0.528  -0.183 0.696  -0.122 0.863  -0.081 0.915  -0.052 0.766  0.126 0.766  0.304 0.766  0.482 0.766  0.542 0.649  0.630 0.558  0.808 0.558  0.978 0.578  1.104 0.704  1.256 0.766  1.434 0.766  1.582 0.736  1.582 0.558
3#app#app25#app2567/I  0.805 1.494  0.805 1.419  0.805 1.344  0.805 1.268  0.792 1.198  0.739 1.145  0.685 1.092  0.632 1.038  0.579 0.985  0.525 0.931  0.523 0.857  0.523 0.782  0.523 0.706  0.512 0.635  0.459 0.582  0.405 0.529  0.352 0.475  0.298 0.422  0.245 0.369  0.240 0.295  0.240 0.220  0.240 0.144  0.232 0.072  0.178 0.019  0.125 -0.034  0.072 -0.088  0.018 -0.141  -0.035 -0.194  -0.088 -0.248  -0.142 -0.301  -0.195 -0.354  -0.248 -0.408  -0.302 -0.461  -0.355 -0.515  -0.408 -0.568  -0.462 -0.621  -0.515 -0.675  -0.568 -0.728  -0.609 -0.787  -0.609 -0.862  -0.609 -0.938  -0.609 -1.013  -0.646 -1.051  -0.722 -1.051  -0.797 -1.051  -0.873 -1.051  -0.891 -1.107  -0.891 -1.183  -0.891 -1.258  -0.891 -1.334
3#app#app25#app2567/C  1.432 0.951  1.315 0.951  1.197 0.951  1.079 0.951  0.962 0.951  0.844 0.951  0.726 0.951  0.609 0.951  0.503 0.939  0.503 0.821  0.488 0.719  0.370 0.719  0.258 0.706  0.175 0.622  0.091 0.539  -0.004 0.487  -0.122 0.487  -0.240 0.487  -0.357 0.487  -0.426 0.437  -0.426 0.319  -0.478 0.254  -0.596 0.254  -0.713 0.254  -0.831 0.254  -0.890 0.195  -0.890 0.078  -0.890 -0.040  -0.890 -0.157  -0.890 -0.275  -0.890 -0.393  -0.890 -0.510  -0.890 -0.628  -0.819 -0.675  -0.701 -0.675  -0.605 -0.727  -0.522 -0.810  -0.439 -0.894  -0.327 -0.907  -0.209 -0.907  -0.091 -0.907  0.026 -0.907  0.144 -0.907  0.262 -0.907  0.379 -0.907  0.497 -0.907  0.615 -0.907  0.732 -0.907  0.850 -0.907  0.968 -0.907
3#app#app25#app2567/K  -0.034 1.209  0.077 1.431  0.176 1.599  0.176 1.350  0.100 1.133  -0.034 0.941  -0.103 0.721  -0.243 0.531  -0.332 0.371  -0.452 0.244  -0.452 -0.005  -0.658 -0.047  -0.662 -0.292  -0.714 -0.518  -0.898 -0.675  -1.080 -0.741  -1.154 -0.958  -1.289 -1.150  -1.213 -1.244  -1.017 -1.093  -0.820 -0.942  -0.623 -0.790  -0.426 -0.639  -0.230 -0.488  -0.033 -0.336  0.164 -0.185  0.361 -0.033  0.557 0.118  0.754 0.269  0.951 0.421  1.148 0.572  1.345 0.723  1.292 0.790  1.096 0.664  0.883 0.581  0.803 0.412  0.595 0.371  0.347 0.371  0.099 0.371  -0.149 0.371  -0.243 0.217  -0.243 -0.031  -0.220 -0.256  0.028 -0.256  0.176 -0.358  0.275 -0.565  0.385 -0.767  0.385 -1.016  0.555 -1.093  0.594 -1.303
3#app#app25#app2567/Y  -0.105 1.324  -0.105 1.143  -0.249 1.106  -0.323 0.999  -0.393 0.888  -0.541 0.855  -0.541 0.674  -0.541 0.493  -0.640 0.352  -0.759 0.221  -0.759 0.040  -0.759 -0.141  -0.640 -0.203  -0.459 -0.203  -0.278 -0.203  -0.099 -0.198  0.029 -0.070  0.175 0.015  0.356 0.015  0.537 0.015  0.550 0.183  0.681 0.233  0.862 0.233  0.986 0.290  1.006 0.451  1.187 0.451  1.368 0.451  1.423 0.578  1.350 0.617  1.203 0.512  1.055 0.407  0.908 0.302  0.760 0.196  0.613 0.091  0.466 -0.014  0.318 -0.119  0.171 -0.225  0.024 -0.330  -0.126 -0.432  -0.288 -0.513  -0.450 -0.594  -0.541 -0.719  -0.583 -0.858  -0.759 -0.863  -0.759 -1.044  -0.908 -1.076  -0.978 -1.188  -1.052 -1.295  -1.196 -1.332  -1.196 -1.513
3#app#app25#app2567/J  0.842 0.761  0.690 0.710  0.618 0.537  0.539 0.368  0.398 0.306  0.387 0.115  0.387 -0.088  0.387 -0.290  0.235 -0.341  0.235 -0.544  0.093 -0.604  0.042 -0.756  -0.160 -0.756  -0.220 -0.899  -0.371 -0.950  -0.437 -1.125  -0.604 -1.211  -0.807 -1.211  -0.978 -1.180  -0.978 -0.977  -0.978 -0.774  -0.978 -0.572  -1.061 -0.452  -0.996 -0.452  -0.793 -0.452  -0.615 -0.512  -0.451 -0.604  -0.249 -0.604  -0.068 -0.582  0.005 -0.452  0.038 -0.338  -0.037 -0.150  -0.113 0.038  -0.188 0.227  -0.263 0.415  -0.338 0.603  -0.414 0.791  -0.489 0.979  -0.445 0.987  -0.273 0.913  -0.071 0.913  0.132 0.913  0.334 0.913  0.537 0.913  0.740 0.913  0.942 0.913  1.145 0.913  1.347 0.913  1.550 0.913  1.752 0.913
3#app#app25#app2567/U  -0.060 1.232  -0.189 1.103  -0.318 0.974  -0.447 0.845  -0.576 0.716  -0.651 0.565  -0.695 0.400  -0.823 0.271  -0.952 0.143  -1.045 -0.002  -1.071 -0.173  -1.200 -0.302  -1.241 -0.467  -1.351 -0.540  -1.438 -0.635  -1.358 -0.737  -1.176 -0.737  -0.993 -0.737  -0.811 -0.737  -0.628 -0.737  -0.446 -0.737  -0.264 -0.737  -0.257 -0.562  -0.096 -0.540  0.044 -0.437  0.187 -0.343  0.334 -0.307  0.349 -0.131  0.478 -0.002  0.607 0.127  0.736 0.256  0.865 0.384  0.994 0.513  1.123 0.642  1.252 0.771  1.318 0.750  1.245 0.641  1.121 0.582  1.077 0.444  0.925 0.414  0.909 0.247  0.728 0.246  0.728 0.064  0.559 0.050  0.531 -0.104  0.432 -0.245  0.334 -0.387  0.334 -0.569  0.348 -0.737  0.531 -0.737
3#app#app25#app2567/I  0.930 1.338  0.843 1.338  0.756 1.338  0.692 1.316  0.692 1.230  0.692 1.143  0.648 1.100  0.562 1.100  0.475 1.100  0.454 1.035  0.454 0.948  0.453 0.862  0.392 0.801  0.331 0.739  0.270 0.678  0.216 0.614  0.216 0.527  0.216 0.441  0.216 0.354  0.216 0.268  0.216 0.181  0.162 0.149  0.075 0.149  -0.011 0.149  -0.022 0.073  -0.022 -0.014  -0.022 -0.100  -0.022 -0.187  -0.022 -0.273  -0.055 -0.327  -0.141 -0.327  -0.228 -0.327  -0.298 -0.366  -0.360 -0.427  -0.421 -0.488  -0.482 -0.549  -0.498 -0.629  -0.498 -0.716  -0.498 -0.802  -0.498 -0.889  -0.498 -0.976  -0.498 -1.062  -0.498 -1.149  -0.498 -1.235  -0.541 -1.279  -0.627 -1.279  -0.714 -1.279  -0.736 -1.344  -0.736 -1.430  -0.736 -1.517
3#app#app25#app2567/C  1.387 0.942  1.273 0.942  1.160 0.942  1.047 0.942  0.934 0.942  0.820 0.942  0.707 0.942  0.594 0.942  0.480 0.942  0.367 0.942  0.254 0.942  0.141 0.942  0.042 0.907  -0.038 0.827  -0.118 0.747  -0.199 0.666  -0.279 0.586  -0.298 0.481  -0.310 0.380  -0.423 0.380  -0.522 0.343  -0.602 0.263  -0.672 0.179  -0.672 0.066  -0.725 0.006  -0.838 0.006  -0.859 -0.087  -0.859 -0.200  -0.859 -0.313  -0.859 -0.427  -0.859 -0.540  -0.859 -0.653  -0.836 -0.743  -0.723 -0.743  -0.609 -0.743  -0.496 -0.743  -0.383 -0.743  -0.269 -0.743  -0.156 -0.743  -0.043 -0.743  0.070 -0.743  0.152 -0.819  0.232 -0.899  0.333 -0.930  0.446 -0.930  0.559 -0.930  0.673 -0.930  0.786 -0.930  0.899 -0.930  1.012 -0.930
3#app#app25#app2567/E  0.138 0.951  -0.055 0.874  -0.210 0.757  -0.277 0.536  -0.468 0.344  -0.637 0.143  -0.748 -0.018  -0.831 -0.206  -0.903 -0.406  -1.024 -0.555  -1.218 -0.633  -1.329 -0.793  -1.412 -0.981  -1.146 -0.987  -0.875 -0.987  -0.604 -0.987  -0.332 -0.987  -0.061 -0.987  0.210 -0.987  0.332 -1.136  0.514 -1.150  0.413 -0.898  0.312 -0.646  0.211 -0.394  0.111 -0.142  0.010 0.110  -0.091 0.362  -0.192 0.613  -0.249 0.874  -0.055 0.951  0.216 0.951  0.487 0.951  0.759 0.951  0.914 0.835  1.108 0.757  1.379 0.757  1.650 0.757  1.474 0.668  1.224 0.564  0.973 0.459  0.723 0.355  0.472 0.250  0.222 0.146  -0.029 0.042  -0.279 -0.063  -0.529 -0.167  -0.482 -0.212  -0.210 -0.212  0.061 -0.212  0.332 -0.212
