2#tos#t3#t3073065/#  -0.851 0.957  -1.032 0.596  -0.644 0.579  -0.228 0.579  0.188 0.579  0.603 0.579  1.019 0.579  0.914 0.512  0.521 0.376  0.129 0.240  -0.264 0.104  -0.593 -0.104  -0.880 -0.387  -1.007 -0.684  -0.592 -0.684  -0.176 -0.684  0.192 -0.524  0.595 -0.494  1.003 -0.431  0.929 -0.191  0.635 0.102  0.341 0.396  0.047 0.690  -0.247 0.984  -0.559 1.253  -0.716 1.245  -0.627 0.841  -0.599 0.427  -0.522 0.019  -0.472 -0.390  -0.472 -0.806  -0.472 -1.222  -0.409 -1.630  -0.255 -1.548  -0.200 -1.136  -0.145 -0.724  -0.090 -0.312  -0.035 0.100  0.020 0.512  0.074 0.924  0.096 1.338  0.222 1.336  0.328 0.934  0.434 0.533  0.527 0.128  0.538 -0.287  0.615 -0.693  0.664 -1.104  0.664 -1.520  0.790 -1.883
2#tos#t3#t3073065/@  0.487 -1.160  0.429 -1.293  0.237 -1.293  0.045 -1.293  -0.146 -1.293  -0.294 -1.338  -0.396 -1.249  -0.537 -1.164  -0.657 -1.040  -0.740 -0.891  -0.805 -0.734  -0.822 -0.546  -0.849 -0.361  -0.854 -0.170  -0.894 0.012  -0.894 0.204  -0.894 0.396  -0.838 0.567  -0.730 0.696  -0.607 0.832  -0.455 0.934  -0.305 0.984  -0.254 1.156  -0.123 1.227  0.030 1.290  0.221 1.290  0.413 1.290  0.550 1.201  0.621 1.046  0.710 0.943  0.754 0.770  0.799 0.589  0.799 0.397  0.799 0.205  0.799 0.014  0.799 -0.178  0.698 -0.269  0.647 -0.420  0.503 -0.536  0.398 -0.623  0.215 -0.600  0.055 -0.498  0.011 -0.327  -0.047 -0.160  -0.137 -0.023  -0.074 0.132  0.083 0.217  0.245 0.312  0.429 0.355  0.576 0.399
2#tos#t3#t3073065/[  -0.217 0.920  -0.340 0.878  -0.413 0.809  -0.495 0.857  -0.372 0.864  -0.242 0.864  -0.112 0.864  0.018 0.864  0.148 0.864  0.278 0.864  0.408 0.864  0.538 0.864  0.507 0.920  0.377 0.920  0.247 0.920  0.171 0.865  0.043 0.864  -0.087 0.864  -0.217 0.864  -0.328 0.845  -0.362 0.736  -0.439 0.653  -0.439 0.523  -0.439 0.393  -0.439 0.263  -0.468 0.137  -0.495 0.010  -0.495 -0.120  -0.517 -0.248  -0.543 -0.375  -0.550 -0.505  -0.550 -0.635  -0.550 -0.765  -0.495 -0.839  -0.439 -0.914  -0.419 -1.023  -0.289 -1.023  -0.159 -1.023  -0.029 -1.023  0.101 -1.023  0.231 -1.023  0.361 -1.023  0.489 -1.037  0.613 -1.078  0.743 -1.079  0.873 -1.079  1.003 -1.079  1.133 -1.079  1.263 -1.079  1.393 -1.079
2#tos#t3#t3073065/^  -0.680 -0.010  -0.680 -0.133  -0.680 -0.257  -0.760 -0.309  -0.816 -0.419  -0.871 -0.530  -0.926 -0.641  -1.005 -0.728  -1.097 -0.795  -1.045 -0.791  -0.958 -0.704  -0.902 -0.593  -0.847 -0.482  -0.807 -0.366  -0.783 -0.245  -0.759 -0.124  -0.707 -0.014  -0.638 0.089  -0.569 0.192  -0.501 0.294  -0.472 0.409  -0.472 0.533  -0.380 0.608  -0.277 0.676  -0.263 0.792  -0.198 0.889  -0.105 0.963  0.018 0.963  0.142 0.963  0.266 0.963  0.362 0.936  0.369 0.815  0.443 0.716  0.518 0.617  0.596 0.521  0.683 0.434  0.754 0.333  0.818 0.227  0.881 0.121  0.918 0.008  0.918 -0.116  0.959 -0.230  1.014 -0.340  1.076 -0.446  1.164 -0.533  1.196 -0.644  1.196 -0.767  1.238 -0.865  1.335 -0.929  1.335 -1.052
2#tos#t3#t3073065/_  -1.263 0.300  -1.335 0.300  -1.408 0.300  -1.480 0.300  -1.433 0.300  -1.361 0.300  -1.288 0.300  -1.224 0.274  -1.164 0.234  -1.103 0.194  -1.043 0.153  -0.983 0.113  -0.923 0.073  -0.851 0.070  -0.779 0.070  -0.706 0.070  -0.634 0.070  -0.561 0.070  -0.489 0.070  -0.419 0.057  -0.350 0.034  -0.281 0.011  -0.213 -0.012  -0.144 -0.035  -0.074 -0.052  -0.002 -0.064  0.069 -0.075  0.141 -0.087  0.212 -0.099  0.284 -0.111  0.355 -0.123  0.426 -0.135  0.498 -0.147  0.569 -0.159  0.642 -0.160  0.714 -0.160  0.786 -0.160  0.859 -0.160  0.931 -0.160  1.004 -0.160  1.076 -0.160  1.149 -0.160  1.221 -0.160  1.293 -0.160  1.366 -0.160  1.438 -0.160  1.511 -0.160  1.583 -0.160  1.655 -0.160  1.728 -0.160
2#tos#t3#t3073065/{  0.900 1.144  0.783 1.144  0.741 1.069  0.688 0.997  0.672 1.108  0.623 1.197  0.506 1.197  0.393 1.213  0.285 1.250  0.168 1.250  0.083 1.173  -0.014 1.110  -0.105 1.039  -0.210 1.027  -0.263 0.932  -0.316 0.837  -0.369 0.773  -0.369 0.656  -0.369 0.539  -0.369 0.422  -0.323 0.351  -0.267 0.253  -0.261 0.138  -0.170 0.067  -0.104 -0.010  0.001 -0.021  0.007 -0.136  0.054 -0.242  0.107 -0.337  0.107 -0.454  0.083 -0.547  -0.034 -0.547  -0.151 -0.547  -0.210 -0.605  -0.279 -0.653  -0.396 -0.653  -0.422 -0.744  -0.319 -0.759  -0.202 -0.759  -0.157 -0.725  -0.157 -0.842  -0.157 -0.959  -0.157 -1.076  -0.155 -1.192  -0.126 -1.306  -0.104 -1.420  -0.064 -1.527  0.035 -1.573  0.149 -1.602  0.213 -1.657
2#tos#t3#t3073065/}  -0.499 1.207  -0.601 1.207  -0.503 1.207  -0.422 1.260  -0.319 1.260  -0.217 1.260  -0.114 1.260  -0.012 1.260  0.091 1.260  0.187 1.249  0.233 1.158  0.304 1.084  0.339 0.996  0.339 0.894  0.339 0.791  0.305 0.702  0.286 0.608  0.234 0.527  0.161 0.454  0.089 0.382  0.039 0.293  0.025 0.194  0.008 0.108  -0.095 0.108  -0.132 0.043  -0.143 -0.049  -0.124 -0.049  -0.039 -0.090  0.038 -0.153  0.036 -0.153  0.025 -0.162  0.006 -0.262  -0.026 -0.359  -0.028 -0.461  -0.080 -0.512  -0.080 -0.614  -0.080 -0.717  -0.042 -0.781  -0.028 -0.869  -0.009 -0.966  0.048 -1.052  0.093 -1.143  0.125 -1.240  0.129 -1.342  0.129 -1.444  0.129 -1.547  0.055 -1.603  -0.037 -1.649  -0.080 -1.725  -0.080 -1.828
2#tos#t3#t3073065/~  -1.024 -0.495  -1.100 -0.571  -1.190 -0.610  -1.196 -0.509  -1.196 -0.402  -1.196 -0.296  -1.196 -0.189  -1.196 -0.082  -1.139 -0.033  -1.139 0.074  -1.107 0.176  -1.055 0.260  -0.954 0.294  -0.850 0.310  -0.775 0.386  -0.737 0.477  -0.737 0.584  -0.642 0.595  -0.535 0.595  -0.452 0.539  -0.403 0.481  -0.318 0.445  -0.262 0.358  -0.166 0.310  -0.106 0.229  -0.039 0.184  0.009 0.097  0.083 0.029  0.172 -0.030  0.277 -0.036  0.310 -0.121  0.362 -0.211  0.463 -0.245  0.548 -0.300  0.608 -0.389  0.688 -0.438  0.795 -0.438  0.902 -0.438  1.000 -0.401  1.102 -0.380  1.209 -0.380  1.272 -0.337  1.272 -0.230  1.331 -0.147  1.379 -0.052  1.387 0.053  1.387 0.160  1.387 0.267  1.387 0.374  1.387 0.481
2#tos#t3#t3073065/0  0.462 1.078  0.295 1.078  0.150 1.129  -0.013 1.118  -0.147 1.018  -0.269 0.906  -0.369 0.772  -0.480 0.648  -0.574 0.512  -0.660 0.369  -0.714 0.211  -0.716 0.045  -0.716 -0.122  -0.716 -0.289  -0.716 -0.456  -0.716 -0.622  -0.716 -0.789  -0.704 -0.954  -0.635 -1.102  -0.517 -1.220  -0.353 -1.227  -0.187 -1.227  -0.020 -1.227  0.147 -1.227  0.303 -1.168  0.457 -1.106  0.612 -1.044  0.743 -0.946  0.861 -0.828  0.979 -0.710  1.026 -0.562  1.026 -0.396  1.026 -0.229  1.026 -0.062  0.990 0.090  0.879 0.215  0.779 0.348  0.644 0.445  0.533 0.567  0.429 0.697  0.273 0.720  0.108 0.735  -0.053 0.771  -0.219 0.771  -0.386 0.771  -0.541 0.741  -0.676 0.644  -0.716 0.499  -0.659 0.355  -0.562 0.259
2#tos#t3#t3073065/3  -1.061 0.764  -0.980 0.887  -0.834 0.960  -0.703 1.053  -0.558 1.126  -0.401 1.152  -0.239 1.152  -0.076 1.152  0.087 1.152  0.249 1.152  0.412 1.152  0.567 1.134  0.660 1.010  0.660 0.847  0.660 0.684  0.615 0.537  0.517 0.406  0.425 0.272  0.311 0.161  0.182 0.063  0.066 -0.052  -0.064 -0.139  -0.222 -0.179  -0.385 -0.180  -0.477 -0.151  -0.338 -0.068  -0.210 0.022  -0.094 0.097  0.069 0.097  0.231 0.097  0.393 0.094  0.548 0.042  0.710 0.042  0.715 -0.116  0.715 -0.278  0.715 -0.441  0.628 -0.575  0.524 -0.698  0.394 -0.796  0.264 -0.894  0.133 -0.991  -0.001 -1.083  -0.136 -1.173  -0.279 -1.247  -0.437 -1.287  -0.584 -1.354  -0.739 -1.401  -0.902 -1.401  -0.946 -1.401  -0.783 -1.401
2#tos#t3#t3073065/7  -0.642 1.062  -0.756 1.038  -0.756 0.900  -0.756 0.762  -0.756 0.624  -0.756 0.487  -0.756 0.349  -0.756 0.211  -0.756 0.073  -0.756 -0.065  -0.756 -0.203  -0.756 -0.340  -0.685 -0.308  -0.651 -0.174  -0.618 -0.040  -0.584 0.093  -0.551 0.227  -0.569 0.321  -0.707 0.321  -0.813 0.353  -0.700 0.378  -0.602 0.474  -0.475 0.519  -0.341 0.552  -0.207 0.586  -0.072 0.606  0.066 0.606  0.204 0.606  0.342 0.606  0.479 0.606  0.615 0.591  0.749 0.557  0.841 0.470  0.841 0.332  0.841 0.194  0.841 0.057  0.841 -0.081  0.841 -0.219  0.841 -0.357  0.841 -0.495  0.797 -0.622  0.735 -0.746  0.727 -0.881  0.727 -1.019  0.727 -1.157  0.727 -1.295  0.727 -1.433  0.727 -1.570  0.727 -1.708  0.727 -1.846
2#tos#t3#t3073065/D  -0.240 0.411  -0.366 0.595  -0.526 0.755  -0.583 0.924  -0.583 1.149  -0.411 1.039  -0.400 0.814  -0.356 0.593  -0.354 0.367  -0.354 0.141  -0.354 -0.085  -0.354 -0.310  -0.241 -0.502  -0.240 -0.728  -0.240 -0.953  -0.183 -1.110  -0.190 -0.884  -0.196 -0.658  -0.203 -0.432  -0.210 -0.207  -0.216 0.019  -0.223 0.245  -0.230 0.471  -0.236 0.696  -0.293 0.869  -0.519 0.869  -0.421 0.983  -0.195 0.983  0.031 0.983  0.257 0.983  0.482 0.983  0.689 0.898  0.899 0.814  1.098 0.722  1.190 0.524  1.190 0.298  1.190 0.072  1.150 -0.135  0.974 -0.276  0.843 -0.454  0.701 -0.620  0.539 -0.773  0.398 -0.950  0.220 -1.088  0.020 -1.189  -0.187 -1.278  -0.392 -1.371  -0.612 -1.418  -0.838 -1.418  -0.926 -1.361
2#tos#t3#t3073065/E  -0.378 1.332  -0.493 1.225  -0.636 1.079  -0.706 1.012  -0.485 1.012  -0.264 1.012  -0.043 1.012  0.173 1.057  0.393 1.065  0.615 1.065  0.777 1.119  0.562 1.071  0.348 1.014  0.134 0.957  -0.079 0.898  -0.293 0.852  -0.459 0.718  -0.645 0.636  -0.591 0.437  -0.579 0.217  -0.502 0.016  -0.378 -0.154  -0.365 -0.374  -0.325 -0.590  -0.249 -0.793  -0.197 -1.002  -0.122 -1.206  0.086 -1.227  0.307 -1.227  0.528 -1.227  0.705 -1.095  0.910 -1.037  1.108 -0.938  1.314 -0.859  1.130 -0.797  0.918 -0.735  0.705 -0.674  0.493 -0.612  0.280 -0.551  0.068 -0.489  -0.145 -0.428  -0.357 -0.366  -0.570 -0.305  -0.698 -0.356  -0.858 -0.417  -0.658 -0.361  -0.445 -0.302  -0.229 -0.257  -0.013 -0.214  0.209 -0.214
2#tos#t3#t3073065/F  -0.276 0.977  -0.412 0.898  -0.565 0.832  -0.655 0.691  -0.471 0.691  -0.321 0.758  -0.199 0.882  -0.015 0.882  0.168 0.894  0.348 0.930  0.532 0.930  0.707 0.967  0.885 0.998  1.058 1.025  0.874 1.031  0.692 1.057  0.510 1.083  0.328 1.109  0.202 1.042  0.053 0.935  -0.091 0.820  -0.216 0.687  -0.318 0.534  -0.372 0.366  -0.372 0.182  -0.372 -0.002  -0.372 -0.186  -0.372 -0.370  -0.372 -0.554  -0.345 -0.735  -0.324 -0.917  -0.307 -1.094  -0.177 -1.224  -0.133 -1.389  -0.115 -1.555  -0.044 -1.543  -0.064 -1.361  -0.085 -1.178  -0.105 -0.995  -0.125 -0.812  -0.247 -0.742  -0.400 -0.835  -0.385 -0.831  -0.213 -0.790  -0.035 -0.757  0.140 -0.699  0.322 -0.689  0.503 -0.653  0.686 -0.647  0.870 -0.647
2#tos#t3#t3073065/G  0.195 1.024  0.379 1.024  0.389 1.197  0.277 1.274  0.104 1.315  -0.080 1.315  -0.251 1.262  -0.419 1.190  -0.582 1.113  -0.618 0.933  -0.719 0.788  -0.849 0.658  -0.901 0.487  -0.919 0.306  -0.919 0.122  -0.919 -0.061  -0.919 -0.244  -0.919 -0.428  -0.893 -0.608  -0.840 -0.782  -0.749 -0.940  -0.598 -1.031  -0.418 -1.060  -0.235 -1.060  -0.052 -1.060  0.132 -1.060  0.281 -0.959  0.432 -0.854  0.557 -0.726  0.583 -0.548  0.530 -0.382  0.373 -0.317  0.226 -0.208  0.049 -0.188  -0.134 -0.188  -0.315 -0.200  -0.483 -0.243  -0.342 -0.285  -0.168 -0.228  0.008 -0.177  0.188 -0.141  0.363 -0.091  0.546 -0.091  0.730 -0.091  0.910 -0.070  1.088 -0.025  1.262 0.030  1.428 0.103  1.611 0.103  1.601 0.103
2#tos#t3#t3073065/H  -0.872 1.180  -0.928 1.144  -0.928 0.941  -0.928 0.738  -0.928 0.534  -0.908 0.333  -0.875 0.132  -0.872 -0.071  -0.872 -0.274  -0.844 -0.473  -0.816 -0.672  -0.816 -0.875  -0.764 -1.057  -0.700 -1.213  -0.650 -1.016  -0.601 -0.818  -0.552 -0.621  -0.502 -0.424  -0.453 -0.227  -0.404 -0.029  -0.422 0.115  -0.625 0.115  -0.467 0.115  -0.264 0.115  -0.061 0.115  0.143 0.115  0.346 0.115  0.543 0.130  0.703 0.248  0.752 0.247  0.584 0.243  0.584 0.446  0.584 0.649  0.528 0.797  0.528 1.000  0.552 1.180  0.673 1.075  0.752 0.895  0.752 0.692  0.752 0.489  0.752 0.285  0.752 0.082  0.752 -0.121  0.752 -0.325  0.790 -0.519  0.864 -0.705  0.864 -0.908  0.898 -1.106  0.920 -1.305  0.920 -1.509
2#tos#t3#t3073065/I  -0.729 1.226  -0.820 1.118  -0.684 1.090  -0.520 1.090  -0.356 1.090  -0.192 1.090  -0.028 1.090  0.136 1.090  0.300 1.090  0.464 1.090  0.472 1.044  0.399 1.135  0.235 1.135  0.071 1.135  -0.093 1.135  -0.185 1.063  -0.185 0.899  -0.185 0.735  -0.185 0.571  -0.185 0.407  -0.185 0.243  -0.185 0.079  -0.185 -0.085  -0.185 -0.249  -0.185 -0.412  -0.170 -0.573  -0.071 -0.701  -0.049 -0.856  -0.049 -1.020  -0.007 -0.945  -0.098 -0.808  -0.189 -0.672  -0.276 -0.551  -0.310 -0.690  -0.464 -0.745  -0.616 -0.806  -0.653 -0.905  -0.489 -0.905  -0.325 -0.905  -0.161 -0.905  -0.006 -0.876  0.139 -0.814  0.303 -0.814  0.465 -0.789  0.627 -0.769  0.791 -0.769  0.955 -0.769  1.119 -0.769  1.283 -0.769  1.447 -0.769
2#tos#t3#t3073065/J  -0.690 0.837  -0.773 0.755  -0.847 0.646  -0.734 0.654  -0.602 0.675  -0.469 0.675  -0.336 0.675  -0.221 0.726  -0.117 0.809  0.000 0.870  0.124 0.919  0.255 0.945  0.385 0.974  0.515 0.999  0.648 0.999  0.781 0.999  0.810 0.895  0.735 0.837  0.602 0.837  0.469 0.837  0.335 0.837  0.283 0.756  0.202 0.704  0.202 0.571  0.202 0.438  0.202 0.305  0.207 0.172  0.254 0.049  0.326 -0.063  0.358 -0.193  0.364 -0.325  0.364 -0.458  0.364 -0.591  0.364 -0.725  0.346 -0.856  0.287 -0.959  0.178 -1.024  0.111 -1.139  0.047 -1.244  -0.077 -1.294  -0.160 -1.387  -0.289 -1.393  -0.422 -1.393  -0.556 -1.393  -0.609 -1.314  -0.658 -1.190  -0.690 -1.063  -0.690 -0.930  -0.690 -0.797  -0.690 -0.663
2#tos#t3#t3073065/L  -0.426 1.239  -0.523 1.239  -0.619 1.239  -0.677 1.166  -0.708 1.074  -0.764 0.999  -0.815 0.923  -0.815 0.827  -0.815 0.730  -0.815 0.634  -0.815 0.537  -0.815 0.441  -0.815 0.345  -0.815 0.248  -0.815 0.152  -0.815 0.055  -0.815 -0.041  -0.815 -0.138  -0.806 -0.231  -0.752 -0.312  -0.693 -0.387  -0.625 -0.456  -0.554 -0.521  -0.474 -0.574  -0.387 -0.606  -0.291 -0.606  -0.195 -0.606  -0.098 -0.606  -0.002 -0.606  0.095 -0.606  0.191 -0.606  0.288 -0.606  0.372 -0.564  0.455 -0.514  0.538 -0.465  0.633 -0.460  0.729 -0.460  0.817 -0.437  0.893 -0.376  0.968 -0.316  1.044 -0.257  1.124 -0.204  1.205 -0.150  1.285 -0.097  1.374 -0.072  1.419 -0.021  1.368 0.025  1.272 0.025  1.176 0.025  1.128 -0.023
