2#tos#f3#f3025059/\"  -0.775 1.256  -0.609 1.256  -0.519 1.181  -0.570 1.027  -0.644 0.879  -0.759 0.761  -0.775 0.602  -0.775 0.436  -0.775 0.270  -0.775 0.105  -0.775 -0.061  -0.775 -0.226  -0.775 -0.392  -0.775 -0.557  -0.775 -0.723  -0.775 -0.888  -0.775 -1.054  -0.748 -1.134  -0.652 -0.999  -0.557 -0.864  -0.461 -0.729  -0.366 -0.593  -0.270 -0.458  -0.175 -0.323  -0.079 -0.188  0.016 -0.052  0.111 0.083  0.207 0.218  0.302 0.353  0.398 0.489  0.493 0.624  0.589 0.759  0.684 0.894  0.759 1.036  0.759 1.055  0.759 0.889  0.759 0.724  0.759 0.558  0.759 0.393  0.759 0.227  0.759 0.062  0.759 -0.104  0.759 -0.269  0.759 -0.435  0.759 -0.601  0.759 -0.766  0.759 -0.932  0.759 -1.097  0.759 -1.263  0.759 -1.428
2#tos#f3#f3025059/~  -0.924 -0.340  -0.971 -0.435  -1.056 -0.468  -1.162 -0.468  -1.180 -0.380  -1.180 -0.274  -1.180 -0.168  -1.180 -0.063  -1.180 0.043  -1.180 0.149  -1.161 0.236  -1.089 0.290  -1.028 0.364  -0.959 0.422  -0.904 0.512  -0.816 0.555  -0.711 0.555  -0.623 0.600  -0.525 0.619  -0.420 0.619  -0.324 0.595  -0.249 0.520  -0.162 0.462  -0.065 0.427  -0.023 0.364  0.036 0.316  0.061 0.236  0.147 0.188  0.164 0.089  0.164 -0.017  0.266 -0.020  0.363 -0.056  0.419 -0.127  0.479 -0.208  0.583 -0.212  0.685 -0.222  0.768 -0.276  0.810 -0.340  0.916 -0.340  0.943 -0.428  0.990 -0.522  1.090 -0.532  1.195 -0.528  1.290 -0.481  1.325 -0.395  1.399 -0.320  1.443 -0.232  1.517 -0.193  1.564 -0.098  1.635 -0.020
2#tos#f3#f3025059/0  0.113 1.129  -0.041 1.129  -0.141 1.074  -0.214 0.993  -0.287 0.911  -0.378 0.815  -0.410 0.693  -0.505 0.583  -0.581 0.449  -0.655 0.353  -0.703 0.206  -0.705 0.052  -0.705 -0.103  -0.705 -0.257  -0.705 -0.412  -0.705 -0.566  -0.655 -0.671  -0.621 -0.809  -0.596 -0.953  -0.557 -1.091  -0.486 -1.216  -0.332 -1.216  -0.232 -1.271  -0.086 -1.308  0.063 -1.321  0.193 -1.258  0.284 -1.162  0.386 -1.110  0.429 -0.998  0.441 -0.855  0.520 -0.780  0.581 -0.663  0.604 -0.513  0.659 -0.413  0.668 -0.260  0.713 -0.113  0.713 0.041  0.713 0.196  0.713 0.350  0.713 0.505  0.644 0.599  0.573 0.724  0.495 0.846  0.460 0.965  0.332 0.992  0.222 1.037  0.160 1.129  0.005 1.129  -0.127 1.184  -0.268 1.238
2#tos#f3#f3025059/1  -0.130 0.645  -0.130 0.656  -0.130 0.766  -0.130 0.876  -0.130 0.986  -0.130 1.096  -0.130 1.207  -0.119 1.314  -0.080 1.415  -0.080 1.525  -0.049 1.562  -0.030 1.459  -0.030 1.349  -0.030 1.239  -0.030 1.129  -0.030 1.019  -0.030 0.909  -0.030 0.799  0.010 0.705  0.020 0.599  0.020 0.489  0.020 0.379  0.020 0.269  0.020 0.159  0.020 0.049  0.020 -0.062  0.020 -0.172  0.020 -0.282  0.020 -0.392  0.020 -0.502  0.020 -0.612  0.020 -0.722  0.020 -0.832  0.020 -0.943  0.020 -1.053  0.020 -1.163  -0.005 -1.148  -0.116 -1.148  -0.226 -1.148  -0.336 -1.148  -0.312 -1.148  -0.202 -1.148  -0.092 -1.148  0.018 -1.148  0.129 -1.148  0.237 -1.139  0.337 -1.098  0.447 -1.098  0.557 -1.098  0.667 -1.098
2#tos#f3#f3025059/2  -0.316 0.492  -0.464 0.492  -0.486 0.619  -0.527 0.726  -0.527 0.874  -0.485 0.981  -0.445 1.120  -0.372 1.238  -0.277 1.330  -0.133 1.337  0.016 1.337  0.164 1.337  0.276 1.275  0.401 1.252  0.412 1.107  0.445 0.966  0.445 0.818  0.445 0.670  0.445 0.521  0.414 0.392  0.321 0.286  0.269 0.147  0.182 0.060  0.065 -0.015  -0.016 -0.138  -0.078 -0.226  -0.201 -0.293  -0.304 -0.390  -0.415 -0.487  -0.516 -0.585  -0.569 -0.689  -0.696 -0.710  -0.755 -0.834  -0.833 -0.944  -0.833 -0.944  -0.684 -0.944  -0.544 -0.911  -0.397 -0.902  -0.249 -0.902  -0.100 -0.902  0.048 -0.902  0.196 -0.902  0.345 -0.902  0.483 -0.860  0.632 -0.860  0.780 -0.860  0.929 -0.860  1.035 -0.818  1.183 -0.818  1.290 -0.775
2#tos#f3#f3025059/7  -0.539 0.973  -0.646 0.936  -0.646 0.792  -0.646 0.648  -0.646 0.504  -0.646 0.360  -0.646 0.216  -0.646 0.072  -0.637 0.203  -0.627 0.347  -0.617 0.490  -0.608 0.634  -0.598 0.778  -0.647 0.866  -0.699 0.774  -0.623 0.706  -0.480 0.704  -0.343 0.659  -0.206 0.640  -0.100 0.546  0.044 0.546  0.187 0.546  0.331 0.546  0.475 0.546  0.619 0.546  0.763 0.546  0.905 0.542  1.008 0.472  1.008 0.435  0.967 0.333  0.862 0.239  0.773 0.128  0.671 0.043  0.566 -0.034  0.528 -0.172  0.524 -0.315  0.447 -0.432  0.328 -0.512  0.315 -0.649  0.214 -0.731  0.175 -0.867  0.127 -1.002  0.041 -1.115  -0.059 -1.217  -0.059 -1.361  -0.069 -1.503  -0.112 -1.636  -0.112 -1.780  -0.112 -1.924  -0.112 -2.068
2#tos#f3#f3025059/8  0.687 0.823  0.562 0.842  0.475 1.003  0.359 1.151  0.201 1.247  0.004 1.247  -0.193 1.247  -0.390 1.247  -0.587 1.247  -0.763 1.172  -0.794 0.988  -0.900 0.866  -0.866 0.683  -0.794 0.516  -0.639 0.420  -0.483 0.301  -0.289 0.295  -0.160 0.196  -0.003 0.085  0.181 0.030  0.307 -0.066  0.446 -0.206  0.609 -0.287  0.707 -0.433  0.792 -0.570  0.792 -0.767  0.792 -0.964  0.617 -1.036  0.528 -1.178  0.399 -1.282  0.221 -1.335  0.028 -1.345  -0.156 -1.398  -0.353 -1.398  -0.490 -1.312  -0.563 -1.154  -0.636 -0.987  -0.636 -0.790  -0.627 -0.596  -0.540 -0.425  -0.457 -0.257  -0.341 -0.099  -0.165 -0.026  -0.003 0.081  0.137 0.221  0.325 0.242  0.496 0.284  0.632 0.400  0.739 0.521  0.792 0.559
2#tos#f3#f3025059/A  -0.939 -0.912  -1.055 -1.045  -1.073 -0.962  -0.984 -0.810  -0.939 -0.631  -0.876 -0.461  -0.771 -0.303  -0.709 -0.125  -0.656 0.056  -0.571 0.226  -0.456 0.373  -0.343 0.520  -0.254 0.684  -0.156 0.845  -0.075 1.011  0.017 1.155  0.091 1.320  0.173 1.476  0.307 1.569  0.307 1.492  0.396 1.365  0.396 1.176  0.403 0.988  0.485 0.818  0.592 0.673  0.624 0.495  0.684 0.316  0.757 0.141  0.825 -0.035  0.850 -0.218  0.885 -0.399  0.930 -0.570  0.930 -0.760  1.019 -0.894  0.984 -0.941  0.810 -0.866  0.636 -0.790  0.462 -0.715  0.289 -0.640  0.115 -0.564  -0.059 -0.489  -0.233 -0.414  -0.370 -0.422  -0.559 -0.422  -0.749 -0.422  -0.807 -0.378  -0.617 -0.378  -0.428 -0.378  -0.239 -0.378  -0.049 -0.378
2#tos#f3#f3025059/B  -0.395 1.686  -0.369 1.400  -0.290 1.122  -0.290 0.832  -0.321 0.546  -0.342 0.259  -0.342 -0.031  -0.395 -0.309  -0.395 -0.600  -0.343 -0.878  -0.342 -1.168  -0.352 -1.348  -0.401 -1.062  -0.449 -0.776  -0.498 -0.489  -0.547 -0.203  -0.596 0.083  -0.644 0.370  -0.693 0.656  -0.742 0.942  -0.692 1.058  -0.402 1.058  -0.176 1.162  0.114 1.162  0.403 1.156  0.674 1.073  0.938 0.981  0.966 0.702  0.866 0.482  0.696 0.316  0.512 0.095  0.254 0.010  0.074 -0.121  -0.209 -0.154  -0.492 -0.199  -0.430 -0.176  -0.154 -0.105  0.134 -0.094  0.425 -0.094  0.715 -0.094  1.005 -0.094  1.071 -0.359  1.034 -0.641  0.914 -0.896  0.712 -0.984  0.518 -1.183  0.242 -1.246  -0.036 -1.299  -0.326 -1.299  -0.604 -1.246
2#tos#f3#f3025059/D  -0.242 1.260  -0.386 1.200  -0.386 0.995  -0.386 0.790  -0.386 0.585  -0.386 0.380  -0.386 0.176  -0.386 -0.029  -0.386 -0.234  -0.386 -0.439  -0.386 -0.644  -0.386 -0.849  -0.386 -1.054  -0.386 -1.258  -0.391 -1.216  -0.404 -1.012  -0.418 -0.807  -0.431 -0.603  -0.444 -0.398  -0.458 -0.194  -0.471 0.011  -0.484 0.215  -0.498 0.419  -0.511 0.624  -0.524 0.828  -0.544 1.020  -0.603 1.037  -0.402 1.068  -0.197 1.068  0.006 1.054  0.200 0.991  0.389 0.923  0.576 0.851  0.767 0.797  0.904 0.654  1.063 0.533  1.189 0.374  1.203 0.173  1.174 -0.020  1.107 -0.197  1.047 -0.384  0.882 -0.505  0.737 -0.650  0.618 -0.812  0.432 -0.871  0.291 -1.001  0.108 -1.093  -0.038 -1.221  -0.229 -1.243  -0.386 -1.291
2#tos#f3#f3025059/E  -0.591 1.156  -0.757 1.068  -0.575 1.040  -0.327 1.040  -0.079 1.040  0.169 1.040  0.416 1.040  0.655 1.002  0.903 1.002  0.994 1.004  0.782 1.030  0.534 1.018  0.286 1.007  0.039 0.995  -0.209 0.983  -0.457 0.971  -0.630 0.888  -0.589 0.650  -0.553 0.411  -0.553 0.163  -0.514 -0.076  -0.475 -0.315  -0.475 -0.563  -0.475 -0.811  -0.435 -0.920  -0.424 -0.672  -0.414 -0.424  -0.404 -0.177  -0.465 -0.114  -0.239 -0.119  0.009 -0.119  0.257 -0.119  0.442 -0.033  0.397 0.113  0.414 -0.105  0.414 -0.352  0.238 -0.505  0.030 -0.640  -0.178 -0.776  -0.385 -0.911  -0.597 -1.015  -0.560 -1.124  -0.312 -1.124  -0.064 -1.124  0.184 -1.124  0.428 -1.092  0.675 -1.086  0.923 -1.086  1.171 -1.086  1.380 -1.047
2#tos#f3#f3025059/I  -0.230 1.459  -0.319 1.440  -0.280 1.370  -0.182 1.326  -0.074 1.326  0.035 1.326  0.143 1.326  0.234 1.281  0.338 1.264  0.346 1.237  0.238 1.237  0.129 1.237  0.126 1.131  0.126 1.023  0.126 0.914  0.093 0.814  0.082 0.708  0.082 0.600  0.082 0.491  0.082 0.383  0.082 0.274  0.082 0.166  0.082 0.057  0.082 -0.051  0.048 -0.155  0.037 -0.261  0.037 -0.370  0.037 -0.478  0.037 -0.587  0.037 -0.695  0.037 -0.804  0.037 -0.912  -0.040 -0.944  -0.148 -0.944  -0.257 -0.944  -0.276 -1.033  -0.384 -1.033  -0.493 -1.033  -0.571 -1.033  -0.507 -0.989  -0.398 -0.989  -0.290 -0.989  -0.181 -0.989  -0.073 -0.989  0.034 -1.002  0.137 -1.033  0.246 -1.033  0.354 -1.033  0.463 -1.033  0.571 -1.033
2#tos#f3#f3025059/J  -0.462 1.115  -0.562 1.084  -0.588 0.971  -0.491 0.948  -0.377 0.927  -0.262 0.907  -0.143 0.907  -0.024 0.907  0.095 0.907  0.214 0.907  0.333 0.907  0.452 0.907  0.571 0.907  0.673 0.948  0.621 0.956  0.504 0.975  0.386 0.990  0.279 0.970  0.247 0.859  0.247 0.740  0.247 0.621  0.289 0.543  0.289 0.424  0.289 0.305  0.289 0.186  0.289 0.067  0.325 -0.030  0.373 -0.120  0.373 -0.239  0.373 -0.358  0.330 -0.451  0.289 -0.545  0.289 -0.664  0.283 -0.782  0.247 -0.895  0.188 -0.989  0.122 -1.081  0.060 -1.139  -0.030 -1.208  -0.133 -1.264  -0.252 -1.264  -0.372 -1.264  -0.491 -1.264  -0.610 -1.264  -0.687 -1.222  -0.755 -1.170  -0.758 -1.054  -0.838 -0.984  -0.855 -0.872  -0.880 -0.763
2#tos#f3#f3025059/M  -0.663 1.051  -0.782 0.925  -0.792 0.782  -0.792 0.571  -0.749 0.370  -0.749 0.159  -0.749 -0.052  -0.749 -0.263  -0.749 -0.475  -0.749 -0.686  -0.749 -0.897  -0.749 -1.108  -0.736 -0.961  -0.721 -0.751  -0.705 -0.540  -0.690 -0.330  -0.674 -0.119  -0.659 0.092  -0.644 0.302  -0.628 0.513  -0.620 0.724  -0.743 0.836  -0.651 0.683  -0.491 0.608  -0.441 0.433  -0.362 0.278  -0.293 0.088  -0.200 -0.095  -0.132 -0.267  0.023 -0.408  0.153 -0.490  0.287 -0.481  0.340 -0.278  0.416 -0.088  0.539 0.084  0.626 0.272  0.725 0.430  0.810 0.604  0.856 0.793  0.926 0.739  0.969 0.545  1.012 0.352  1.109 0.181  1.184 -0.007  1.231 -0.199  1.328 -0.383  1.399 -0.581  1.466 -0.782  1.485 -0.990  1.528 -1.183
2#tos#f3#f3025059/N  -0.409 1.259  -0.593 1.223  -0.593 1.004  -0.593 0.784  -0.593 0.565  -0.593 0.345  -0.593 0.126  -0.593 -0.094  -0.593 -0.313  -0.593 -0.533  -0.639 -0.742  -0.639 -0.961  -0.639 -1.181  -0.625 -1.043  -0.608 -0.824  -0.591 -0.605  -0.573 -0.386  -0.556 -0.167  -0.539 0.052  -0.522 0.271  -0.505 0.490  -0.488 0.708  -0.470 0.927  -0.480 1.121  -0.547 1.034  -0.452 0.844  -0.296 0.700  -0.251 0.494  -0.129 0.311  -0.082 0.107  0.093 -0.024  0.178 -0.219  0.288 -0.407  0.393 -0.597  0.497 -0.789  0.631 -0.960  0.680 -1.162  0.829 -1.267  0.831 -1.142  0.923 -0.987  0.923 -0.767  0.943 -0.550  0.969 -0.332  1.014 -0.120  1.015 0.100  1.015 0.319  1.015 0.539  1.017 0.758  1.061 0.967  1.061 1.121
2#tos#f3#f3025059/P  -0.014 1.456  -0.121 1.279  -0.121 1.058  -0.142 0.840  -0.174 0.623  -0.217 0.413  -0.281 0.207  -0.281 -0.014  -0.290 -0.234  -0.334 -0.449  -0.334 -0.670  -0.334 -0.890  -0.334 -1.111  -0.334 -1.332  -0.334 -1.553  -0.281 -1.752  -0.281 -1.825  -0.273 -1.605  -0.265 -1.384  -0.256 -1.163  -0.248 -0.943  -0.239 -0.722  -0.231 -0.502  -0.223 -0.281  -0.214 -0.060  -0.206 0.160  -0.197 0.381  -0.189 0.601  -0.180 0.822  -0.240 0.977  -0.461 0.977  -0.547 1.112  -0.351 1.136  -0.130 1.136  0.091 1.136  0.239 1.005  0.428 0.892  0.643 0.870  0.781 0.715  0.944 0.583  1.026 0.444  1.051 0.248  1.051 0.027  0.910 -0.118  0.759 -0.254  0.552 -0.320  0.370 -0.427  0.152 -0.461  -0.060 -0.514  -0.281 -0.514
2#tos#f3#f3025059/Q  0.014 -0.498  -0.002 -0.699  -0.218 -0.699  -0.433 -0.699  -0.623 -0.607  -0.748 -0.469  -0.862 -0.310  -0.989 -0.186  -0.989 0.030  -0.989 0.246  -0.989 0.462  -0.989 0.678  -0.909 0.847  -0.788 0.943  -0.776 1.146  -0.580 1.194  -0.404 1.307  -0.188 1.307  0.028 1.307  0.244 1.307  0.417 1.262  0.465 1.061  0.575 0.929  0.615 0.719  0.615 0.504  0.615 0.288  0.615 0.072  0.514 -0.109  0.414 -0.300  0.294 -0.473  0.168 -0.618  -0.032 -0.689  -0.233 -0.739  -0.449 -0.739  -0.625 -0.699  -0.628 -0.486  -0.523 -0.313  -0.354 -0.184  -0.197 -0.097  0.009 -0.057  0.219 -0.080  0.345 -0.203  0.496 -0.341  0.655 -0.458  0.774 -0.615  0.962 -0.711  1.109 -0.862  1.295 -0.959  1.480 -0.934  1.578 -0.779
2#tos#f3#f3025059/R  -0.352 1.711  -0.447 1.532  -0.399 1.265  -0.399 0.991  -0.363 0.720  -0.328 0.451  -0.304 0.181  -0.304 -0.094  -0.304 -0.368  -0.304 -0.642  -0.304 -0.917  -0.304 -1.191  -0.304 -1.465  -0.353 -1.639  -0.373 -1.365  -0.392 -1.091  -0.411 -0.818  -0.430 -0.544  -0.449 -0.270  -0.469 0.003  -0.488 0.277  -0.507 0.550  -0.526 0.824  -0.589 1.050  -0.377 1.140  -0.103 1.140  0.171 1.140  0.433 1.079  0.704 1.045  0.837 0.905  0.932 0.725  0.858 0.469  0.682 0.276  0.489 0.110  0.248 -0.019  0.034 -0.188  -0.197 -0.322  -0.416 -0.476  -0.632 -0.521  -0.400 -0.374  -0.168 -0.228  0.064 -0.081  0.267 0.012  0.415 -0.155  0.579 -0.313  0.722 -0.524  0.885 -0.719  0.989 -0.933  1.123 -1.106  1.265 -1.237
