2#apa#apa00#app0056/@  0.015 -0.349  0.199 -0.407  0.290 -0.555  0.424 -0.716  0.571 -0.619  0.657 -0.414  0.657 -0.173  0.565 0.029  0.459 0.229  0.315 0.384  0.166 0.476  -0.021 0.347  -0.168 0.167  -0.260 0.018  -0.260 -0.222  -0.260 -0.463  -0.089 -0.533  0.107 -0.488  0.301 -0.441  0.474 -0.373  0.653 -0.261  0.786 -0.129  0.840 0.089  0.814 0.319  0.692 0.476  0.576 0.648  0.565 0.884  0.474 1.033  0.474 1.274  0.387 1.478  0.149 1.484  -0.092 1.484  -0.260 1.411  -0.443 1.301  -0.584 1.110  -0.730 0.922  -0.810 0.714  -0.893 0.493  -0.901 0.255  -0.901 0.014  -0.901 -0.226  -0.901 -0.467  -0.823 -0.689  -0.743 -0.916  -0.687 -1.145  -0.617 -1.367  -0.413 -1.464  -0.191 -1.541  0.050 -1.541  0.290 -1.541
2#apa#apa00#app0056/u  -0.829 0.988  -0.932 0.988  -0.999 0.954  -0.999 0.851  -0.999 0.749  -0.999 0.646  -0.999 0.544  -0.999 0.441  -0.999 0.339  -0.999 0.237  -0.999 0.134  -0.999 0.032  -0.962 -0.033  -0.859 -0.033  -0.829 -0.105  -0.826 -0.207  -0.754 -0.279  -0.681 -0.351  -0.609 -0.424  -0.536 -0.496  -0.454 -0.544  -0.351 -0.544  -0.269 -0.593  -0.197 -0.666  -0.114 -0.714  -0.012 -0.714  0.091 -0.714  0.193 -0.714  0.295 -0.714  0.388 -0.689  0.460 -0.617  0.532 -0.544  0.635 -0.544  0.727 -0.520  0.800 -0.447  0.872 -0.375  0.873 -0.273  0.897 -0.180  0.969 -0.108  1.041 -0.035  1.044 0.066  1.044 0.169  1.044 0.271  1.044 0.374  1.044 0.476  1.044 0.579  1.044 0.681  1.044 0.783  1.044 0.886  1.044 0.988
2#apa#apa00#app0056/g  0.098 1.221  0.084 1.333  -0.034 1.314  -0.123 1.225  -0.212 1.136  -0.327 1.109  -0.423 1.037  -0.464 0.928  -0.546 0.884  -0.576 0.788  -0.576 0.662  -0.568 0.539  -0.479 0.450  -0.360 0.435  -0.234 0.435  -0.108 0.435  -0.014 0.467  0.032 0.547  0.098 0.607  0.172 0.659  0.210 0.747  0.282 0.843  0.323 0.816  0.323 0.690  0.323 0.564  0.323 0.438  0.323 0.312  0.340 0.193  0.429 0.104  0.435 -0.020  0.435 -0.146  0.435 -0.272  0.435 -0.398  0.435 -0.524  0.402 -0.642  0.346 -0.755  0.323 -0.875  0.323 -1.001  0.251 -1.098  0.210 -1.207  0.210 -1.333  0.114 -1.363  -0.012 -1.363  -0.025 -1.475  -0.151 -1.475  -0.277 -1.475  -0.403 -1.475  -0.510 -1.429  -0.599 -1.340  -0.688 -1.250
2#apa#apa00#app0056/g  -0.035 0.906  -0.035 1.043  -0.035 1.180  -0.111 1.241  -0.218 1.170  -0.338 1.130  -0.475 1.130  -0.574 1.038  -0.594 0.909  -0.706 0.884  -0.706 0.747  -0.706 0.611  -0.706 0.474  -0.698 0.340  -0.601 0.243  -0.472 0.226  -0.375 0.129  -0.240 0.124  -0.116 0.156  -0.012 0.236  0.110 0.270  0.215 0.348  0.300 0.400  0.300 0.537  0.372 0.644  0.412 0.764  0.412 0.688  0.426 0.557  0.522 0.460  0.523 0.324  0.523 0.187  0.523 0.050  0.523 -0.087  0.523 -0.223  0.523 -0.360  0.495 -0.490  0.434 -0.613  0.412 -0.744  0.412 -0.881  0.412 -1.018  0.376 -1.140  0.279 -1.237  0.188 -1.336  0.155 -1.439  0.035 -1.481  -0.073 -1.551  -0.203 -1.579  -0.325 -1.640  -0.457 -1.663  -0.594 -1.663
2#apa#apa00#app0056/l  0.264 1.597  0.232 1.532  0.199 1.467  0.167 1.402  0.114 1.371  0.041 1.371  0.038 1.301  0.038 1.228  0.038 1.156  -0.005 1.101  -0.057 1.050  -0.075 0.985  -0.075 0.912  -0.075 0.840  -0.075 0.767  -0.075 0.695  -0.075 0.622  -0.075 0.550  -0.075 0.477  -0.075 0.405  -0.075 0.332  -0.075 0.260  -0.075 0.187  -0.075 0.115  -0.075 0.042  -0.075 -0.031  -0.075 -0.103  -0.075 -0.176  -0.075 -0.248  -0.075 -0.321  -0.075 -0.393  -0.075 -0.466  -0.075 -0.538  -0.075 -0.611  -0.075 -0.683  -0.075 -0.756  -0.036 -0.813  0.015 -0.864  0.038 -0.927  0.038 -0.999  0.038 -1.072  0.038 -1.144  0.038 -1.217  0.038 -1.289  0.038 -1.362  0.038 -1.435  0.077 -1.491  0.129 -1.542  0.151 -1.605  0.151 -1.678
2#apa#apa00#app0056/e  -0.766 -0.616  -0.621 -0.594  -0.590 -0.440  -0.470 -0.327  -0.304 -0.327  -0.187 -0.277  -0.136 -0.131  -0.009 -0.037  0.142 0.002  0.259 0.120  0.377 0.238  0.536 0.254  0.560 0.397  0.681 0.443  0.729 0.589  0.825 0.716  0.825 0.882  0.825 1.049  0.729 1.120  0.681 1.237  0.541 1.264  0.374 1.264  0.212 1.247  0.063 1.172  -0.077 1.085  -0.198 0.975  -0.346 0.946  -0.421 0.797  -0.507 0.656  -0.624 0.538  -0.742 0.420  -0.766 0.263  -0.766 0.097  -0.766 -0.070  -0.766 -0.237  -0.766 -0.403  -0.766 -0.570  -0.680 -0.701  -0.562 -0.819  -0.432 -0.905  -0.285 -0.952  -0.158 -1.050  0.008 -1.050  0.154 -1.101  0.282 -1.194  0.448 -1.194  0.615 -1.194  0.781 -1.194  0.948 -1.194  1.114 -1.194
2#apa#apa00#app0056/r  -0.135 1.485  -0.271 1.485  -0.303 1.380  -0.303 1.243  -0.321 1.111  -0.383 0.989  -0.444 0.867  -0.471 0.736  -0.471 0.600  -0.471 0.463  -0.471 0.327  -0.471 0.190  -0.471 0.053  -0.471 -0.083  -0.471 -0.220  -0.471 -0.357  -0.471 -0.493  -0.471 -0.630  -0.426 -0.748  -0.329 -0.845  -0.303 -0.970  -0.303 -1.107  -0.287 -1.240  -0.226 -1.362  -0.165 -1.484  -0.135 -1.475  -0.135 -1.338  -0.135 -1.202  -0.135 -1.065  -0.135 -0.928  -0.078 -0.815  0.018 -0.718  0.034 -0.588  0.093 -0.476  0.189 -0.379  0.202 -0.248  0.202 -0.111  0.241 0.009  0.338 0.106  0.370 0.229  0.412 0.348  0.509 0.445  0.605 0.542  0.702 0.638  0.798 0.735  0.895 0.832  0.992 0.928  1.107 0.980  1.212 1.012  1.212 1.148
2#apa#apa00#app0056/s  0.674 1.087  0.674 1.190  0.599 1.217  0.497 1.217  0.394 1.217  0.292 1.217  0.190 1.217  0.087 1.217  -0.004 1.190  -0.076 1.118  -0.166 1.087  -0.259 1.065  -0.332 0.993  -0.367 0.905  -0.392 0.827  -0.494 0.827  -0.497 0.728  -0.497 0.625  -0.466 0.536  -0.394 0.463  -0.367 0.372  -0.341 0.281  -0.269 0.208  -0.196 0.136  -0.124 0.063  -0.052 -0.009  0.021 -0.081  0.093 -0.154  0.153 -0.231  0.153 -0.334  0.218 -0.409  0.291 -0.482  0.363 -0.554  0.414 -0.635  0.414 -0.738  0.414 -0.840  0.414 -0.943  0.414 -1.045  0.391 -1.125  0.289 -1.125  0.215 -1.193  0.138 -1.255  0.035 -1.255  -0.067 -1.255  -0.169 -1.255  -0.272 -1.255  -0.374 -1.255  -0.476 -1.255  -0.555 -1.197  -0.627 -1.125
2#apa#apa00#app0056/_  -1.241 -0.170  -1.313 -0.170  -1.386 -0.170  -1.427 -0.140  -1.427 -0.067  -1.427 0.005  -1.367 0.016  -1.294 0.016  -1.222 0.016  -1.150 0.016  -1.078 0.016  -1.005 0.016  -0.933 0.016  -0.861 0.016  -0.789 0.016  -0.716 0.016  -0.644 0.016  -0.572 0.016  -0.500 0.016  -0.427 0.016  -0.355 0.016  -0.283 0.016  -0.211 0.016  -0.138 0.016  -0.066 0.016  0.006 0.016  0.078 0.016  0.151 0.016  0.223 0.016  0.295 0.016  0.368 0.016  0.440 0.016  0.512 0.016  0.584 0.016  0.657 0.016  0.729 0.016  0.801 0.016  0.873 0.016  0.946 0.016  1.018 0.016  1.090 0.016  1.162 0.016  1.235 0.016  1.307 0.016  1.379 0.016  1.451 0.016  1.524 0.016  1.596 0.016  1.668 0.016  1.740 0.016
2#apa#apa00#app0056/_  -1.610 0.083  -1.537 0.083  -1.478 0.070  -1.478 -0.002  -1.452 -0.048  -1.379 -0.048  -1.307 -0.048  -1.234 -0.048  -1.162 -0.048  -1.090 -0.048  -1.017 -0.048  -0.945 -0.048  -0.873 -0.048  -0.800 -0.048  -0.728 -0.048  -0.656 -0.048  -0.583 -0.048  -0.511 -0.048  -0.439 -0.048  -0.384 -0.005  -0.333 0.046  -0.276 0.083  -0.204 0.083  -0.131 0.083  -0.059 0.083  0.014 0.083  0.086 0.083  0.158 0.083  0.231 0.083  0.303 0.083  0.375 0.083  0.448 0.083  0.520 0.083  0.592 0.083  0.663 0.070  0.731 0.047  0.800 0.025  0.869 0.002  0.937 -0.021  1.006 -0.044  1.078 -0.048  1.150 -0.048  1.222 -0.048  1.295 -0.048  1.367 -0.048  1.439 -0.048  1.512 -0.048  1.572 -0.077  1.623 -0.128  1.674 -0.179
2#apa#apa00#app0056/w  -1.388 0.778  -1.272 0.829  -1.272 0.792  -1.157 0.742  -1.157 0.576  -1.060 0.450  -1.042 0.292  -0.988 0.148  -0.927 0.008  -0.927 -0.158  -0.927 -0.324  -0.812 -0.374  -0.696 -0.492  -0.696 -0.658  -0.592 -0.720  -0.581 -0.565  -0.517 -0.426  -0.400 -0.309  -0.351 -0.163  -0.329 -0.007  -0.211 0.111  -0.104 0.235  -0.030 0.383  -0.005 0.543  -0.005 0.386  -0.005 0.221  -0.005 0.055  0.053 -0.087  0.110 -0.229  0.110 -0.395  0.110 -0.561  0.196 -0.691  0.314 -0.808  0.431 -0.925  0.582 -0.940  0.704 -0.835  0.802 -0.767  0.886 -0.636  0.917 -0.483  0.942 -0.323  1.017 -0.175  1.032 -0.012  1.032 0.153  1.033 0.319  1.147 0.437  1.147 0.603  1.147 0.769  1.217 0.918  1.262 1.073  1.262 1.239
2#apa#apa00#app0056/i  -0.243 0.257  -0.243 0.147  -0.243 0.038  -0.243 -0.072  -0.243 -0.182  -0.243 -0.292  -0.243 -0.402  -0.243 -0.512  -0.243 -0.622  -0.243 -0.732  -0.243 -0.842  -0.243 -0.952  -0.243 -1.061  -0.243 -1.171  -0.167 -1.250  -0.075 -1.293  0.035 -1.293  0.145 -1.293  0.249 -1.278  0.326 -1.200  0.353 -1.102  0.343 -0.993  0.325 -0.884  0.307 -0.776  0.289 -0.667  0.270 -0.559  0.252 -0.450  0.234 -0.342  0.216 -0.234  0.198 -0.125  0.180 -0.017  0.162 0.092  0.144 0.200  0.126 0.308  0.108 0.417  0.090 0.525  0.072 0.634  0.054 0.742  0.036 0.850  0.018 0.959  -0.001 1.067  -0.019 1.176  -0.037 1.284  -0.055 1.392  -0.073 1.501  -0.091 1.609  -0.109 1.718  -0.124 1.826  -0.133 1.927  -0.243 1.927
2#apa#apa00#app0056/l  -0.128 1.808  -0.128 1.729  -0.128 1.649  -0.128 1.570  -0.128 1.491  -0.128 1.411  -0.128 1.332  -0.128 1.252  -0.128 1.173  -0.128 1.093  -0.128 1.014  -0.128 0.934  -0.128 0.855  -0.128 0.775  -0.105 0.701  -0.070 0.630  -0.034 0.559  -0.022 0.482  -0.022 0.403  -0.022 0.323  -0.022 0.244  -0.022 0.164  -0.022 0.085  -0.022 0.005  -0.022 -0.074  -0.022 -0.154  -0.022 -0.233  -0.022 -0.312  -0.022 -0.392  -0.022 -0.471  -0.037 -0.545  -0.093 -0.601  -0.128 -0.666  -0.128 -0.745  -0.128 -0.825  -0.128 -0.904  -0.128 -0.984  -0.128 -1.063  -0.128 -1.143  -0.073 -1.167  0.007 -1.167  0.086 -1.167  0.166 -1.167  0.245 -1.167  0.325 -1.167  0.404 -1.167  0.484 -1.167  0.510 -1.113  0.536 -1.061  0.616 -1.061
2#apa#apa00#app0056/l  -0.087 1.758  -0.087 1.683  -0.087 1.609  -0.087 1.534  -0.087 1.460  -0.087 1.385  -0.087 1.311  -0.087 1.236  -0.087 1.162  -0.087 1.087  -0.087 1.013  -0.087 0.938  -0.087 0.864  -0.087 0.789  -0.087 0.715  -0.087 0.640  -0.087 0.566  -0.087 0.491  -0.087 0.417  -0.087 0.342  -0.087 0.268  -0.087 0.193  -0.087 0.119  -0.087 0.044  -0.087 -0.030  -0.087 -0.105  -0.087 -0.179  -0.087 -0.254  -0.087 -0.328  -0.087 -0.403  -0.087 -0.477  -0.087 -0.552  -0.087 -0.627  -0.087 -0.701  -0.087 -0.776  -0.087 -0.850  -0.080 -0.923  -0.047 -0.990  -0.013 -1.056  0.019 -1.123  0.019 -1.197  0.063 -1.228  0.138 -1.228  0.212 -1.228  0.287 -1.228  0.361 -1.228  0.436 -1.228  0.510 -1.228  0.585 -1.228  0.659 -1.228
2#apa#apa00#app0056/_  -0.692 -0.026  -0.775 -0.026  -0.858 -0.026  -0.941 -0.026  -1.024 -0.026  -1.107 -0.026  -1.190 -0.026  -1.273 -0.026  -1.333 -0.002  -1.333 0.081  -1.303 0.134  -1.220 0.134  -1.137 0.134  -1.053 0.134  -0.970 0.134  -0.887 0.134  -0.818 0.100  -0.759 0.042  -0.701 -0.017  -0.621 -0.026  -0.538 -0.026  -0.455 -0.026  -0.372 -0.026  -0.289 -0.026  -0.206 -0.026  -0.123 -0.026  -0.040 -0.026  0.043 -0.026  0.126 -0.026  0.210 -0.026  0.293 -0.026  0.376 -0.026  0.459 -0.026  0.542 -0.026  0.625 -0.026  0.708 -0.026  0.791 -0.026  0.874 -0.026  0.957 -0.026  1.040 -0.026  1.124 -0.026  1.207 -0.026  1.290 -0.026  1.373 -0.026  1.456 -0.026  1.539 -0.026  1.622 -0.026  1.705 -0.026  1.788 -0.026  1.871 -0.026
2#apa#apa00#app0056/_  -1.681 -0.221  -1.609 -0.221  -1.538 -0.221  -1.470 -0.205  -1.406 -0.173  -1.343 -0.141  -1.279 -0.109  -1.215 -0.077  -1.151 -0.045  -1.080 -0.044  -1.008 -0.044  -0.937 -0.044  -0.865 -0.044  -0.794 -0.044  -0.722 -0.044  -0.651 -0.044  -0.579 -0.044  -0.508 -0.044  -0.436 -0.043  -0.372 -0.011  -0.309 0.021  -0.245 0.053  -0.181 0.085  -0.117 0.117  -0.049 0.134  0.022 0.134  0.094 0.134  0.165 0.134  0.236 0.134  0.308 0.134  0.379 0.134  0.451 0.134  0.522 0.134  0.594 0.134  0.665 0.134  0.737 0.134  0.808 0.134  0.872 0.102  0.936 0.070  1.000 0.038  1.064 0.006  1.128 -0.026  1.195 -0.044  1.267 -0.044  1.338 -0.044  1.410 -0.044  1.481 -0.044  1.553 -0.044  1.624 -0.044  1.695 -0.044
2#apa#apa00#app0056/d  -0.118 -0.085  -0.228 0.006  -0.338 0.096  -0.501 0.135  -0.660 0.034  -0.779 -0.054  -0.931 -0.127  -0.999 -0.300  -1.085 -0.416  -1.110 -0.592  -1.110 -0.793  -0.999 -0.884  -0.881 -0.967  -0.680 -0.967  -0.479 -0.967  -0.296 -0.890  -0.139 -0.768  0.019 -0.692  0.113 -0.515  0.212 -0.355  0.280 -0.170  0.323 0.021  0.323 0.222  0.433 0.378  0.433 0.579  0.433 0.780  0.516 0.962  0.543 1.156  0.543 1.358  0.543 1.559  0.543 1.760  0.498 1.633  0.356 1.491  0.323 1.303  0.317 1.103  0.268 0.908  0.219 0.713  0.102 0.558  0.102 0.357  0.102 0.156  0.102 -0.045  0.102 -0.246  0.102 -0.448  0.189 -0.613  0.212 -0.804  0.318 -0.962  0.406 -1.077  0.589 -1.155  0.783 -1.187  0.984 -1.187
2#apa#apa00#app0056/e  -0.406 -0.267  -0.250 -0.267  -0.232 -0.130  -0.113 -0.092  0.043 -0.092  0.118 -0.012  0.180 0.082  0.293 0.125  0.317 0.257  0.472 0.261  0.582 0.371  0.643 0.502  0.679 0.643  0.789 0.754  0.818 0.898  0.818 1.054  0.739 1.132  0.583 1.132  0.427 1.132  0.271 1.132  0.115 1.132  -0.041 1.132  -0.057 0.992  -0.178 0.957  -0.304 0.884  -0.418 0.782  -0.574 0.782  -0.686 0.677  -0.756 0.550  -0.756 0.394  -0.756 0.238  -0.756 0.082  -0.756 -0.074  -0.756 -0.230  -0.756 -0.386  -0.711 -0.532  -0.642 -0.671  -0.566 -0.807  -0.456 -0.917  -0.320 -0.967  -0.184 -1.014  -0.074 -1.125  -0.057 -1.274  0.056 -1.317  0.212 -1.317  0.369 -1.317  0.525 -1.317  0.681 -1.317  0.837 -1.317  0.993 -1.317
2#apa#apa00#app0056/s  0.444 1.072  0.444 1.195  0.352 1.225  0.229 1.225  0.106 1.225  -0.016 1.225  -0.139 1.225  -0.235 1.161  -0.322 1.075  -0.409 0.988  -0.503 0.918  -0.625 0.918  -0.748 0.918  -0.786 0.833  -0.786 0.710  -0.786 0.587  -0.786 0.465  -0.671 0.457  -0.632 0.373  -0.579 0.303  -0.458 0.294  -0.349 0.239  -0.239 0.184  -0.124 0.150  -0.006 0.139  0.081 0.052  0.167 -0.035  0.254 -0.122  0.362 -0.158  0.473 -0.187  0.560 -0.274  0.597 -0.381  0.636 -0.465  0.751 -0.472  0.751 -0.595  0.751 -0.718  0.682 -0.772  0.597 -0.810  0.593 -0.931  0.506 -1.017  0.409 -1.080  0.290 -1.083  0.290 -1.206  0.194 -1.233  0.072 -1.233  -0.051 -1.233  -0.174 -1.233  -0.297 -1.233  -0.392 -1.300  -0.478 -1.387
