1a#aga#greghunt/1  0.049 1.705  0.049 1.635  0.049 1.565  0.049 1.495  0.049 1.425  0.049 1.355  0.049 1.285  0.049 1.215  0.049 1.144  0.049 1.074  0.049 1.004  0.042 0.935  0.028 0.866  0.015 0.797  0.001 0.729  -0.005 0.659  -0.005 0.589  -0.005 0.519  -0.005 0.449  -0.005 0.379  -0.005 0.309  -0.005 0.238  -0.005 0.168  -0.005 0.098  -0.005 0.028  -0.005 -0.042  -0.005 -0.112  -0.005 -0.182  -0.005 -0.252  -0.005 -0.322  -0.005 -0.392  -0.011 -0.462  -0.033 -0.528  -0.056 -0.595  -0.078 -0.661  -0.087 -0.730  -0.087 -0.800  -0.087 -0.870  -0.084 -0.940  -0.059 -1.005  -0.034 -1.071  -0.010 -1.136  -0.005 -1.206  -0.005 -1.276  0.003 -1.345  0.020 -1.413  0.022 -1.483  0.022 -1.553  0.022 -1.623  -0.005 -1.666
1a#aga#greghunt/6  0.361 2.044  0.433 1.916  0.373 1.779  0.305 1.643  0.204 1.528  0.107 1.409  0.015 1.287  -0.066 1.157  -0.153 1.031  -0.246 0.909  -0.333 0.783  -0.416 0.654  -0.477 0.515  -0.526 0.370  -0.574 0.224  -0.591 0.074  -0.591 -0.079  -0.591 -0.233  -0.581 -0.386  -0.563 -0.538  -0.532 -0.687  -0.491 -0.835  -0.418 -0.969  -0.332 -1.095  -0.230 -1.209  -0.100 -1.277  0.052 -1.273  0.179 -1.192  0.287 -1.084  0.385 -0.968  0.459 -0.833  0.527 -0.696  0.586 -0.555  0.641 -0.412  0.687 -0.266  0.701 -0.114  0.703 0.039  0.677 0.189  0.606 0.319  0.470 0.266  0.338 0.189  0.231 0.079  0.146 -0.048  0.043 -0.161  -0.047 -0.283  -0.131 -0.411  -0.231 -0.528  -0.329 -0.645  -0.430 -0.760  -0.537 -0.866
1a#aga#greghunt/9  0.220 0.597  0.220 0.724  0.220 0.851  0.217 0.977  0.183 1.096  0.126 1.205  0.027 1.280  -0.078 1.347  -0.202 1.362  -0.307 1.291  -0.394 1.208  -0.444 1.091  -0.493 0.974  -0.538 0.856  -0.544 0.730  -0.572 0.609  -0.618 0.492  -0.616 0.366  -0.586 0.243  -0.581 0.117  -0.516 0.013  -0.451 -0.096  -0.355 -0.167  -0.228 -0.167  -0.123 -0.097  -0.029 -0.015  0.061 0.073  0.160 0.153  0.262 0.228  0.368 0.298  0.444 0.302  0.444 0.175  0.426 0.050  0.407 -0.075  0.407 -0.202  0.404 -0.328  0.371 -0.451  0.338 -0.573  0.299 -0.694  0.259 -0.814  0.235 -0.938  0.226 -1.064  0.207 -1.189  0.176 -1.312  0.164 -1.437  0.164 -1.564  0.164 -1.691  0.164 -1.818  0.164 -1.945  0.146 -2.068
1a#aga#greghunt/0  -0.124 0.961  -0.026 1.017  0.083 1.047  0.192 1.077  0.304 1.087  0.417 1.087  0.526 1.062  0.629 1.019  0.702 0.933  0.765 0.839  0.807 0.735  0.839 0.627  0.870 0.518  0.884 0.407  0.884 0.294  0.874 0.182  0.847 0.072  0.819 -0.038  0.791 -0.147  0.762 -0.256  0.722 -0.361  0.662 -0.457  0.603 -0.553  0.543 -0.649  0.479 -0.741  0.388 -0.808  0.295 -0.872  0.199 -0.932  0.090 -0.959  -0.022 -0.970  -0.135 -0.970  -0.244 -0.942  -0.352 -0.910  -0.444 -0.844  -0.535 -0.777  -0.625 -0.708  -0.714 -0.639  -0.793 -0.559  -0.867 -0.473  -0.936 -0.384  -0.989 -0.284  -1.032 -0.181  -1.061 -0.071  -1.075 0.040  -1.075 0.153  -1.070 0.266  -1.062 0.379  -1.000 0.471  -0.933 0.562  -0.865 0.653
1a#aga#greghunt/3  -0.469 0.824  -0.469 0.924  -0.469 1.025  -0.418 1.098  -0.332 1.150  -0.244 1.197  -0.150 1.219  -0.051 1.234  0.049 1.236  0.147 1.228  0.234 1.176  0.319 1.123  0.396 1.059  0.467 0.988  0.494 0.899  0.528 0.806  0.513 0.710  0.463 0.623  0.401 0.544  0.325 0.479  0.260 0.403  0.181 0.341  0.100 0.281  0.015 0.228  -0.066 0.169  -0.154 0.121  -0.167 0.029  -0.228 -0.034  -0.228 -0.135  -0.222 -0.233  -0.167 -0.317  -0.103 -0.395  -0.040 -0.473  0.023 -0.551  0.088 -0.627  0.154 -0.703  0.220 -0.778  0.247 -0.875  0.241 -0.971  0.191 -1.058  0.139 -1.144  0.087 -1.230  0.018 -1.303  -0.053 -1.374  -0.136 -1.424  -0.233 -1.452  -0.329 -1.480  -0.425 -1.511  -0.525 -1.514  -0.623 -1.532
1a#aga#greghunt/5  0.916 1.369  0.960 1.335  0.881 1.286  0.805 1.233  0.726 1.185  0.639 1.152  0.554 1.115  0.470 1.074  0.389 1.028  0.302 0.998  0.213 0.969  0.126 0.938  0.042 0.898  -0.042 0.858  -0.125 0.816  -0.210 0.791  -0.269 0.734  -0.278 0.642  -0.285 0.551  -0.285 0.458  -0.285 0.364  -0.287 0.272  -0.320 0.185  -0.332 0.094  -0.389 0.023  -0.419 -0.065  -0.425 -0.157  -0.441 -0.235  -0.365 -0.280  -0.283 -0.323  -0.201 -0.365  -0.117 -0.407  -0.034 -0.449  0.035 -0.509  0.105 -0.569  0.133 -0.654  0.184 -0.731  0.199 -0.820  0.168 -0.907  0.132 -0.993  0.084 -1.073  0.033 -1.149  -0.044 -1.201  -0.125 -1.246  -0.205 -1.294  -0.290 -1.331  -0.378 -1.361  -0.465 -1.392  -0.555 -1.415  -0.644 -1.439
1a#aga#greghunt/6  0.711 1.849  0.602 1.758  0.480 1.661  0.353 1.569  0.233 1.468  0.106 1.375  -0.009 1.269  -0.117 1.155  -0.225 1.041  -0.318 0.915  -0.402 0.782  -0.482 0.647  -0.555 0.508  -0.616 0.363  -0.671 0.216  -0.729 0.070  -0.746 -0.086  -0.751 -0.243  -0.742 -0.399  -0.727 -0.556  -0.699 -0.709  -0.584 -0.807  -0.441 -0.874  -0.294 -0.926  -0.142 -0.964  0.009 -0.997  0.157 -0.946  0.298 -0.876  0.422 -0.780  0.539 -0.676  0.656 -0.571  0.767 -0.460  0.846 -0.326  0.913 -0.184  0.946 -0.035  0.910 0.115  0.800 0.224  0.647 0.205  0.514 0.125  0.393 0.025  0.270 -0.073  0.159 -0.184  0.052 -0.299  -0.054 -0.415  -0.165 -0.526  -0.269 -0.644  -0.363 -0.770  -0.452 -0.899  -0.551 -1.020  -0.678 -1.093
1a#aga#greghunt/7  -0.726 0.106  -0.765 0.200  -0.762 0.296  -0.774 0.396  -0.726 0.481  -0.693 0.568  -0.628 0.645  -0.582 0.734  -0.537 0.825  -0.478 0.907  -0.437 0.999  -0.388 1.087  -0.328 1.168  -0.258 1.241  -0.171 1.273  -0.133 1.190  -0.088 1.100  -0.049 1.007  -0.016 0.912  0.034 0.824  0.079 0.734  0.126 0.644  0.173 0.555  0.220 0.466  0.269 0.377  0.320 0.290  0.374 0.204  0.436 0.125  0.496 0.043  0.552 -0.041  0.602 -0.128  0.643 -0.220  0.652 -0.318  0.627 -0.416  0.600 -0.513  0.560 -0.606  0.500 -0.687  0.440 -0.768  0.379 -0.849  0.321 -0.932  0.264 -1.015  0.207 -1.098  0.147 -1.180  0.088 -1.262  0.038 -1.350  -0.018 -1.434  -0.080 -1.514  -0.114 -1.608  -0.164 -1.694  -0.234 -1.767
1a#aga#greghunt/9  0.174 0.478  0.229 0.599  0.206 0.736  0.174 0.871  0.137 0.998  0.075 1.121  0.022 1.249  -0.054 1.360  -0.148 1.441  -0.278 1.417  -0.366 1.312  -0.435 1.191  -0.495 1.067  -0.532 0.932  -0.555 0.794  -0.578 0.656  -0.607 0.520  -0.628 0.382  -0.628 0.242  -0.643 0.104  -0.664 -0.034  -0.656 -0.172  -0.628 -0.308  -0.553 -0.417  -0.420 -0.433  -0.304 -0.359  -0.186 -0.284  -0.072 -0.204  0.019 -0.098  0.131 -0.015  0.243 0.068  0.348 0.160  0.457 0.246  0.520 0.186  0.520 0.046  0.520 -0.093  0.504 -0.232  0.484 -0.370  0.484 -0.510  0.484 -0.650  0.484 -0.789  0.473 -0.929  0.461 -1.068  0.450 -1.207  0.420 -1.343  0.386 -1.479  0.350 -1.614  0.297 -1.743  0.224 -1.859  0.156 -1.964
1a#aga#greghunt/0  -0.108 0.815  -0.105 0.937  -0.032 1.028  0.049 1.089  0.141 1.154  0.254 1.161  0.364 1.105  0.474 1.048  0.572 0.974  0.664 0.893  0.733 0.791  0.793 0.683  0.833 0.566  0.868 0.448  0.898 0.328  0.901 0.205  0.901 0.082  0.873 -0.039  0.845 -0.159  0.814 -0.278  0.782 -0.398  0.725 -0.507  0.667 -0.616  0.604 -0.722  0.524 -0.813  0.424 -0.886  0.315 -0.941  0.200 -0.987  0.081 -1.019  -0.042 -1.021  -0.164 -1.012  -0.280 -0.969  -0.393 -0.920  -0.505 -0.867  -0.610 -0.802  -0.712 -0.734  -0.804 -0.651  -0.890 -0.563  -0.967 -0.467  -1.034 -0.363  -1.056 -0.246  -1.056 -0.123  -1.050 0.000  -1.026 0.121  -0.952 0.220  -0.880 0.320  -0.797 0.411  -0.710 0.499  -0.613 0.575  -0.514 0.649
1a#aga#greghunt/2  -0.605 1.007  -0.639 1.070  -0.578 1.138  -0.500 1.195  -0.411 1.235  -0.318 1.266  -0.225 1.295  -0.128 1.295  -0.032 1.312  0.063 1.326  0.145 1.273  0.192 1.188  0.223 1.096  0.244 1.001  0.244 0.903  0.241 0.806  0.221 0.710  0.200 0.614  0.180 0.519  0.159 0.423  0.136 0.329  0.098 0.238  0.060 0.148  0.023 0.058  -0.015 -0.032  -0.054 -0.122  -0.093 -0.211  -0.141 -0.296  -0.190 -0.381  -0.237 -0.467  -0.276 -0.557  -0.308 -0.649  -0.341 -0.741  -0.367 -0.834  -0.367 -0.931  -0.360 -1.028  -0.311 -1.112  -0.241 -1.177  -0.149 -1.211  -0.053 -1.218  0.044 -1.208  0.139 -1.186  0.233 -1.158  0.323 -1.121  0.411 -1.079  0.500 -1.037  0.588 -0.995  0.675 -0.951  0.759 -0.901  0.838 -0.844
1a#aga#greghunt/3  -0.590 1.305  -0.508 1.271  -0.409 1.259  -0.322 1.220  -0.219 1.207  -0.117 1.188  -0.015 1.170  0.083 1.137  0.184 1.115  0.284 1.087  0.375 1.039  0.458 0.977  0.541 0.915  0.588 0.826  0.614 0.728  0.574 0.633  0.550 0.533  0.481 0.465  0.398 0.403  0.317 0.338  0.227 0.293  0.126 0.267  0.028 0.237  -0.075 0.233  -0.172 0.195  -0.273 0.183  -0.319 0.114  -0.270 0.025  -0.217 -0.064  -0.156 -0.147  -0.083 -0.220  -0.010 -0.293  0.060 -0.369  0.106 -0.462  0.143 -0.559  0.156 -0.660  0.168 -0.762  0.184 -0.862  0.141 -0.956  0.100 -1.051  0.062 -1.146  -0.009 -1.221  -0.076 -1.301  -0.162 -1.355  -0.252 -1.406  -0.336 -1.465  -0.435 -1.496  -0.537 -1.516  -0.639 -1.527  -0.743 -1.527
1a#aga#greghunt/4  0.604 -0.286  0.462 -0.309  0.308 -0.355  0.154 -0.399  -0.004 -0.429  -0.159 -0.471  -0.314 -0.514  -0.472 -0.541  -0.629 -0.570  -0.782 -0.619  -0.936 -0.654  -0.988 -0.538  -0.938 -0.386  -0.872 -0.240  -0.795 -0.099  -0.716 0.041  -0.644 0.185  -0.558 0.320  -0.467 0.452  -0.380 0.587  -0.294 0.723  -0.215 0.863  -0.132 1.000  -0.030 1.124  0.072 1.249  0.171 1.375  0.271 1.501  0.408 1.575  0.464 1.445  0.510 1.295  0.534 1.139  0.534 0.978  0.534 0.818  0.534 0.657  0.516 0.499  0.469 0.345  0.445 0.187  0.423 0.028  0.400 -0.131  0.378 -0.290  0.356 -0.450  0.337 -0.609  0.311 -0.767  0.267 -0.922  0.236 -1.079  0.207 -1.237  0.164 -1.392  0.125 -1.547  0.089 -1.704  0.042 -1.848
1a#aga#greghunt/5  1.078 1.291  0.979 1.278  0.885 1.241  0.785 1.231  0.699 1.182  0.599 1.164  0.504 1.130  0.408 1.097  0.312 1.066  0.217 1.029  0.120 0.999  0.023 0.967  -0.069 0.925  -0.161 0.884  -0.224 0.844  -0.195 0.770  -0.258 0.697  -0.276 0.598  -0.298 0.502  -0.320 0.405  -0.366 0.322  -0.410 0.232  -0.461 0.144  -0.488 0.048  -0.457 -0.030  -0.363 -0.069  -0.269 -0.107  -0.182 -0.158  -0.094 -0.209  -0.009 -0.266  0.073 -0.324  0.139 -0.402  0.210 -0.474  0.246 -0.566  0.272 -0.664  0.304 -0.761  0.305 -0.862  0.261 -0.954  0.215 -1.045  0.136 -1.108  0.055 -1.169  -0.039 -1.209  -0.139 -1.223  -0.240 -1.237  -0.342 -1.238  -0.443 -1.238  -0.545 -1.238  -0.644 -1.218  -0.735 -1.172  -0.796 -1.104
1a#aga#greghunt/7  -0.389 0.353  -0.356 0.422  -0.356 0.525  -0.356 0.627  -0.421 0.702  -0.439 0.797  -0.448 0.899  -0.456 1.001  -0.456 1.103  -0.473 1.203  -0.431 1.266  -0.352 1.210  -0.278 1.142  -0.202 1.076  -0.134 1.000  -0.064 0.926  0.004 0.849  0.075 0.775  0.156 0.714  0.239 0.655  0.314 0.585  0.407 0.545  0.476 0.475  0.568 0.432  0.633 0.353  0.680 0.266  0.680 0.163  0.667 0.065  0.613 -0.022  0.576 -0.117  0.547 -0.215  0.493 -0.302  0.439 -0.389  0.379 -0.472  0.313 -0.550  0.247 -0.628  0.187 -0.711  0.128 -0.795  0.070 -0.878  0.007 -0.959  -0.056 -1.040  -0.118 -1.121  -0.181 -1.202  -0.238 -1.287  -0.293 -1.373  -0.360 -1.451  -0.415 -1.536  -0.483 -1.612  -0.537 -1.698  -0.607 -1.769
1a#aga#greghunt/0  -0.093 0.982  -0.004 1.028  0.079 1.103  0.192 1.122  0.305 1.097  0.407 1.039  0.497 0.966  0.570 0.873  0.635 0.775  0.691 0.671  0.744 0.565  0.770 0.450  0.793 0.335  0.804 0.217  0.815 0.100  0.845 -0.014  0.876 -0.128  0.862 -0.242  0.831 -0.356  0.801 -0.470  0.773 -0.584  0.744 -0.699  0.700 -0.803  0.604 -0.871  0.509 -0.941  0.404 -0.989  0.289 -1.018  0.172 -1.020  0.061 -0.985  -0.047 -0.937  -0.154 -0.889  -0.262 -0.840  -0.359 -0.777  -0.443 -0.694  -0.526 -0.610  -0.610 -0.527  -0.693 -0.443  -0.777 -0.360  -0.860 -0.276  -0.918 -0.176  -0.966 -0.068  -1.018 0.038  -1.071 0.144  -1.071 0.262  -1.060 0.379  -1.036 0.494  -1.011 0.609  -0.989 0.725  -0.945 0.829  -0.861 0.912
1a#aga#greghunt/3  -0.723 1.101  -0.639 1.126  -0.543 1.157  -0.439 1.157  -0.334 1.157  -0.229 1.157  -0.125 1.147  -0.022 1.130  0.078 1.102  0.173 1.061  0.277 1.048  0.373 1.010  0.472 0.976  0.566 0.943  0.630 0.875  0.651 0.789  0.598 0.699  0.546 0.608  0.479 0.528  0.405 0.454  0.331 0.380  0.253 0.311  0.169 0.248  0.088 0.182  0.003 0.122  -0.095 0.085  -0.186 0.035  -0.275 -0.020  -0.349 -0.079  -0.337 -0.181  -0.286 -0.270  -0.228 -0.356  -0.170 -0.442  -0.096 -0.516  -0.022 -0.590  0.035 -0.676  0.091 -0.764  0.156 -0.845  0.193 -0.943  0.211 -1.045  0.171 -1.138  0.149 -1.239  0.068 -1.304  -0.012 -1.369  -0.091 -1.427  -0.193 -1.450  -0.291 -1.487  -0.394 -1.495  -0.499 -1.495  -0.592 -1.457
1a#aga#greghunt/4  0.676 0.043  0.530 0.010  0.385 -0.048  0.229 -0.071  0.073 -0.102  -0.079 -0.148  -0.233 -0.188  -0.388 -0.224  -0.542 -0.259  -0.700 -0.271  -0.859 -0.271  -1.018 -0.271  -1.062 -0.166  -0.983 -0.029  -0.906 0.109  -0.797 0.225  -0.687 0.339  -0.584 0.459  -0.471 0.571  -0.365 0.689  -0.260 0.808  -0.155 0.928  -0.023 1.015  0.105 1.106  0.217 1.218  0.335 1.325  0.450 1.433  0.509 1.365  0.530 1.208  0.530 1.049  0.523 0.891  0.492 0.736  0.464 0.579  0.437 0.423  0.413 0.266  0.390 0.109  0.367 -0.048  0.334 -0.203  0.297 -0.358  0.274 -0.514  0.264 -0.673  0.242 -0.829  0.198 -0.982  0.163 -1.137  0.139 -1.293  0.132 -1.452  0.126 -1.610  0.090 -1.763  0.090 -1.922  0.111 -2.072
1a#aga#greghunt/7  -0.409 0.519  -0.463 0.592  -0.490 0.681  -0.493 0.776  -0.523 0.864  -0.526 0.958  -0.526 1.053  -0.526 1.149  -0.526 1.244  -0.456 1.284  -0.381 1.227  -0.312 1.164  -0.248 1.093  -0.184 1.023  -0.122 0.951  -0.055 0.883  0.016 0.820  0.086 0.756  0.146 0.682  0.205 0.607  0.261 0.530  0.318 0.454  0.378 0.380  0.439 0.307  0.497 0.232  0.556 0.157  0.603 0.075  0.627 -0.011  0.617 -0.104  0.574 -0.189  0.527 -0.271  0.466 -0.344  0.409 -0.419  0.363 -0.502  0.308 -0.580  0.244 -0.650  0.180 -0.720  0.127 -0.799  0.071 -0.876  0.009 -0.948  -0.049 -1.023  -0.106 -1.099  -0.149 -1.184  -0.175 -1.273  -0.184 -1.366  -0.237 -1.445  -0.242 -1.539  -0.242 -1.634  -0.242 -1.729  -0.158 -1.754
