1d#apa#apa02#app0272/!  0.178 1.338  0.258 1.338  0.277 1.338  0.197 1.338  0.178 1.398  0.178 1.455  0.178 1.376  0.178 1.296  0.178 1.217  0.178 1.137  0.178 1.058  0.178 0.978  0.141 0.914  0.084 0.858  0.050 0.793  0.050 0.714  0.050 0.634  0.050 0.555  0.050 0.475  0.050 0.396  0.050 0.316  0.050 0.237  0.034 0.164  -0.023 0.108  -0.079 0.052  -0.079 -0.028  -0.079 -0.107  -0.079 -0.187  -0.079 -0.266  -0.068 -0.335  0.011 -0.335  0.050 -0.376  0.050 -0.455  0.029 -0.532  0.006 -0.608  -0.017 -0.684  -0.040 -0.760  -0.062 -0.836  -0.085 -0.912  -0.108 -0.989  -0.131 -1.065  -0.154 -1.141  -0.177 -1.217  -0.199 -1.293  -0.222 -1.369  -0.245 -1.445  -0.268 -1.521  -0.291 -1.597  -0.314 -1.674  -0.336 -1.750
1d#apa#apa02#app0272/~  -1.383 -0.458  -1.383 -0.585  -1.383 -0.607  -1.383 -0.480  -1.383 -0.353  -1.361 -0.236  -1.272 -0.146  -1.182 -0.056  -1.182 0.070  -1.130 0.144  -1.003 0.144  -0.907 0.219  -0.817 0.308  -0.706 0.345  -0.579 0.345  -0.490 0.435  -0.400 0.524  -0.283 0.546  -0.178 0.524  -0.178 0.398  -0.178 0.271  -0.178 0.144  -0.178 0.018  -0.141 -0.094  -0.051 -0.183  0.023 -0.279  0.023 -0.406  0.076 -0.511  0.165 -0.600  0.267 -0.659  0.394 -0.659  0.425 -0.563  0.447 -0.458  0.573 -0.458  0.626 -0.384  0.626 -0.257  0.752 -0.257  0.827 -0.205  0.827 -0.078  0.931 -0.056  1.027 -0.026  1.027 0.101  1.086 0.203  1.176 0.293  1.228 0.398  1.228 0.524  1.302 0.620  1.392 0.710  1.429 0.821  1.429 0.948
1d#apa#apa02#app0272/  -1.306 -0.093  -1.306 -0.174  -1.306 -0.255  -1.306 -0.335  -1.306 -0.416  -1.306 -0.336  -1.306 -0.255  -1.306 -0.175  -1.306 -0.094  -1.227 -0.093  -1.146 -0.093  -1.066 -0.093  -0.985 -0.093  -0.904 -0.093  -0.824 -0.093  -0.743 -0.093  -0.663 -0.093  -0.582 -0.093  -0.502 -0.093  -0.421 -0.093  -0.341 -0.093  -0.268 -0.058  -0.196 -0.022  -0.124 0.014  -0.052 0.050  0.020 0.086  0.092 0.122  0.164 0.158  0.236 0.194  0.308 0.229  0.389 0.229  0.469 0.229  0.550 0.229  0.630 0.229  0.711 0.229  0.792 0.229  0.872 0.229  0.953 0.229  1.033 0.229  1.114 0.229  1.194 0.229  1.274 0.228  1.274 0.148  1.274 0.067  1.274 -0.013  1.275 -0.093  1.355 -0.093  1.436 -0.093  1.516 -0.093  1.597 -0.093
1d#apa#apa02#app0272/_  -1.365 -0.378  -1.365 -0.298  -1.365 -0.219  -1.365 -0.140  -1.365 -0.060  -1.364 0.018  -1.284 0.018  -1.205 0.018  -1.126 0.018  -1.046 0.018  -0.969 0.016  -0.969 -0.063  -0.969 -0.143  -0.927 -0.180  -0.847 -0.180  -0.768 -0.180  -0.689 -0.180  -0.609 -0.180  -0.530 -0.180  -0.451 -0.180  -0.372 -0.178  -0.301 -0.142  -0.230 -0.107  -0.159 -0.071  -0.088 -0.036  -0.017 -0.000  0.058 0.018  0.138 0.018  0.217 0.018  0.296 0.018  0.376 0.018  0.455 0.018  0.534 0.018  0.614 0.018  0.670 0.074  0.726 0.130  0.782 0.186  0.849 0.216  0.929 0.216  1.008 0.216  1.087 0.216  1.167 0.216  1.246 0.216  1.325 0.216  1.405 0.216  1.484 0.216  1.564 0.216  1.604 0.177  1.604 0.097  1.604 0.018
1d#apa#apa02#app0272/+  -0.182 1.444  -0.182 1.624  -0.182 1.529  -0.182 1.349  -0.182 1.169  -0.182 0.989  -0.182 0.809  -0.182 0.630  -0.182 0.450  -0.182 0.270  -0.182 0.090  -0.182 -0.090  -0.071 -0.224  0.040 -0.358  0.040 -0.538  0.040 -0.717  0.040 -0.897  0.040 -1.077  0.073 -1.225  0.252 -1.225  0.134 -1.114  -0.003 -0.997  -0.139 -0.880  -0.276 -0.763  -0.412 -0.646  -0.549 -0.529  -0.686 -0.412  -0.822 -0.295  -0.959 -0.178  -1.095 -0.061  -1.232 0.056  -1.196 0.110  -1.016 0.110  -0.836 0.110  -0.656 0.110  -0.477 0.110  -0.297 0.110  -0.117 0.110  0.063 0.110  0.243 0.110  0.423 0.110  0.603 0.110  0.783 0.110  0.963 0.110  1.142 0.110  1.322 0.110  1.502 0.110  1.682 0.110  1.819 0.067  1.819 -0.113
1d#apa#apa02#app0272/=  -1.110 0.734  -0.971 0.734  -0.832 0.734  -0.694 0.734  -0.555 0.734  -0.416 0.734  -0.277 0.734  -0.139 0.734  -0.025 0.795  0.073 0.893  0.193 0.938  0.331 0.938  0.470 0.938  0.609 0.938  0.732 0.922  0.732 0.784  0.821 0.734  0.959 0.734  1.098 0.734  1.067 0.674  0.958 0.587  0.850 0.501  0.741 0.414  0.633 0.327  0.525 0.241  0.416 0.154  0.308 0.067  0.200 -0.019  0.091 -0.106  -0.017 -0.193  -0.125 -0.279  -0.234 -0.366  -0.342 -0.453  -0.450 -0.539  -0.559 -0.626  -0.667 -0.713  -0.775 -0.799  -0.884 -0.886  -0.905 -1.014  -0.860 -1.108  -0.721 -1.108  -0.583 -1.108  -0.444 -1.108  -0.305 -1.108  -0.166 -1.108  -0.028 -1.108  0.111 -1.108  0.250 -1.108  0.388 -1.108  0.527 -1.108
1d#apa#apa02#app0272/[  0.866 1.144  0.778 1.144  0.690 1.144  0.602 1.144  0.514 1.144  0.426 1.144  0.338 1.144  0.249 1.144  0.184 1.090  0.117 1.040  0.029 1.040  0.029 1.128  0.029 1.073  0.029 0.985  0.029 0.896  0.029 0.808  0.023 0.726  -0.065 0.726  -0.076 0.649  -0.076 0.561  -0.076 0.473  -0.076 0.385  -0.076 0.297  -0.076 0.209  -0.134 0.145  -0.180 0.076  -0.180 -0.012  -0.180 -0.100  -0.180 -0.188  -0.180 -0.276  -0.180 -0.364  -0.180 -0.452  -0.180 -0.540  -0.180 -0.628  -0.263 -0.634  -0.285 -0.700  -0.285 -0.788  -0.285 -0.876  -0.285 -0.964  -0.285 -1.052  -0.285 -1.140  -0.285 -1.228  -0.285 -1.316  -0.258 -1.393  -0.196 -1.455  -0.114 -1.471  -0.026 -1.471  0.062 -1.471  0.150 -1.471  0.238 -1.471
1d#apa#apa02#app0272/]  -0.290 1.271  -0.201 1.271  -0.112 1.271  -0.023 1.271  0.065 1.271  0.154 1.271  0.243 1.271  0.332 1.271  0.420 1.271  0.424 1.186  0.424 1.097  0.424 1.009  0.424 0.920  0.424 0.831  0.405 0.762  0.322 0.756  0.322 0.667  0.322 0.578  0.274 0.510  0.220 0.443  0.220 0.354  0.220 0.266  0.167 0.199  0.118 0.130  0.118 0.042  0.118 -0.047  0.118 -0.136  0.069 -0.204  0.016 -0.271  0.016 -0.360  0.016 -0.449  0.016 -0.537  0.016 -0.626  -0.033 -0.665  -0.086 -0.702  -0.086 -0.790  -0.086 -0.879  -0.086 -0.968  -0.086 -1.057  -0.158 -1.073  -0.188 -1.132  -0.233 -1.175  -0.313 -1.198  -0.375 -1.261  -0.457 -1.277  -0.546 -1.277  -0.635 -1.277  -0.724 -1.277  -0.812 -1.277  -0.901 -1.277
1d#apa#apa02#app0272/{  0.705 1.500  0.583 1.500  0.467 1.484  0.381 1.397  0.262 1.388  0.143 1.382  0.056 1.295  0.038 1.180  -0.070 1.166  -0.079 1.049  -0.165 0.963  -0.089 0.944  -0.073 0.837  0.038 0.826  0.051 0.709  0.137 0.623  0.149 0.506  0.260 0.495  0.260 0.372  0.260 0.250  0.222 0.166  0.149 0.117  0.089 0.055  -0.012 0.004  -0.109 -0.056  -0.232 -0.056  -0.295 -0.115  -0.365 -0.168  -0.325 -0.168  -0.203 -0.168  -0.081 -0.168  0.038 -0.171  0.038 -0.293  0.038 -0.415  0.002 -0.501  -0.073 -0.549  -0.114 -0.654  -0.184 -0.747  -0.219 -0.834  -0.295 -0.880  -0.295 -1.003  -0.295 -1.125  -0.295 -1.247  -0.295 -1.369  -0.295 -1.492  -0.216 -1.581  -0.106 -1.612  0.016 -1.612  0.138 -1.612  0.260 -1.612
1d#apa#apa02#app0272/}  -0.092 1.609  0.008 1.604  0.019 1.509  0.124 1.509  0.230 1.509  0.308 1.482  0.308 1.376  0.308 1.271  0.308 1.165  0.308 1.059  0.270 0.970  0.208 0.890  0.191 0.791  0.117 0.716  0.042 0.641  0.008 0.550  -0.055 0.507  -0.092 0.439  -0.092 0.333  -0.148 0.251  -0.193 0.164  -0.193 0.058  -0.139 0.006  -0.092 -0.053  -0.028 -0.094  0.008 -0.164  0.083 -0.194  0.189 -0.194  0.208 -0.108  0.208 -0.186  0.111 -0.194  0.008 -0.197  0.008 -0.303  0.008 -0.408  -0.011 -0.495  -0.092 -0.519  -0.092 -0.625  -0.092 -0.731  -0.092 -0.836  -0.092 -0.942  -0.092 -1.047  -0.092 -1.153  -0.092 -1.259  -0.092 -1.364  -0.092 -1.470  -0.171 -1.497  -0.193 -1.581  -0.282 -1.597  -0.388 -1.597  -0.493 -1.597
1d#apa#apa02#app0272/\\  -0.643 1.095  -0.643 1.179  -0.675 1.250  -0.734 1.309  -0.740 1.315  -0.681 1.256  -0.621 1.196  -0.562 1.137  -0.503 1.078  -0.443 1.018  -0.384 0.959  -0.324 0.899  -0.272 0.837  -0.272 0.752  -0.217 0.724  -0.149 0.708  -0.149 0.624  -0.149 0.540  -0.128 0.476  -0.044 0.476  -0.025 0.411  -0.007 0.335  0.053 0.275  0.099 0.210  0.099 0.126  0.099 0.042  0.099 -0.042  0.099 -0.126  0.099 -0.210  0.099 -0.294  0.099 -0.378  0.172 -0.390  0.222 -0.423  0.222 -0.507  0.222 -0.591  0.250 -0.664  0.309 -0.723  0.346 -0.792  0.346 -0.876  0.346 -0.960  0.372 -1.034  0.431 -1.093  0.470 -1.161  0.470 -1.246  0.470 -1.330  0.505 -1.379  0.589 -1.379  0.593 -1.458  0.593 -1.542  0.593 -1.626
1d#apa#apa02#app0272/,  0.353 1.771  0.353 1.689  0.353 1.607  0.353 1.525  0.353 1.442  0.353 1.360  0.353 1.278  0.353 1.196  0.353 1.114  0.353 1.032  0.353 0.950  0.353 0.868  0.353 0.786  0.353 0.704  0.353 0.622  0.330 0.549  0.272 0.491  0.214 0.433  0.156 0.375  0.098 0.317  0.053 0.254  0.053 0.172  0.053 0.090  0.053 0.008  0.053 -0.074  0.053 -0.156  0.053 -0.238  0.053 -0.320  0.053 -0.402  0.053 -0.484  0.053 -0.566  0.031 -0.627  -0.051 -0.627  -0.133 -0.627  -0.215 -0.627  -0.247 -0.677  -0.247 -0.759  -0.247 -0.841  -0.247 -0.923  -0.325 -0.926  -0.407 -0.926  -0.489 -0.926  -0.546 -0.951  -0.546 -1.034  -0.546 -1.116  -0.546 -1.198  -0.546 -1.280  -0.546 -1.362  -0.546 -1.444  -0.546 -1.526
1d#apa#apa02#app0272/  0.762 1.198  0.762 1.275  0.762 1.308  0.762 1.231  0.718 1.198  0.641 1.198  0.629 1.132  0.622 1.058  0.567 1.003  0.513 0.949  0.497 0.878  0.497 0.801  0.420 0.801  0.365 0.779  0.365 0.702  0.334 0.638  0.280 0.583  0.225 0.529  0.170 0.474  0.116 0.420  0.100 0.349  0.100 0.272  0.100 0.195  0.085 0.124  0.030 0.069  -0.024 0.015  -0.079 -0.040  -0.133 -0.094  -0.179 -0.155  -0.214 -0.224  -0.248 -0.293  -0.283 -0.362  -0.297 -0.435  -0.297 -0.512  -0.297 -0.589  -0.305 -0.663  -0.360 -0.718  -0.414 -0.772  -0.430 -0.843  -0.430 -0.920  -0.484 -0.975  -0.539 -1.029  -0.593 -1.084  -0.648 -1.138  -0.694 -1.196  -0.694 -1.273  -0.694 -1.350  -0.694 -1.428  -0.694 -1.505  -0.694 -1.582
1d#apa#apa02#app0272/?  -0.473 1.172  -0.473 1.276  -0.371 1.279  -0.267 1.279  -0.163 1.279  -0.059 1.279  0.045 1.279  0.124 1.217  0.210 1.172  0.303 1.146  0.376 1.072  0.478 1.065  0.490 0.974  0.490 0.869  0.490 0.765  0.453 0.670  0.406 0.577  0.331 0.531  0.276 0.481  0.243 0.390  0.169 0.317  0.065 0.317  0.062 0.215  -0.007 0.140  -0.081 0.066  -0.156 -0.004  -0.259 -0.006  -0.259 -0.110  -0.259 -0.214  -0.359 -0.218  -0.366 -0.316  -0.271 -0.325  -0.259 -0.417  -0.170 -0.432  -0.091 -0.493  -0.045 -0.578  -0.045 -0.682  -0.045 -0.787  -0.045 -0.891  -0.045 -0.995  -0.045 -1.099  -0.045 -1.203  -0.045 -1.307  -0.045 -1.412  -0.045 -1.516  -0.045 -1.620  -0.045 -1.707  -0.045 -1.603  -0.045 -1.499  -0.045 -1.395
1d#apa#apa02#app0272/'  0.701 0.855  0.701 0.946  0.701 1.036  0.701 1.127  0.701 1.218  0.701 1.255  0.701 1.164  0.701 1.074  0.701 0.983  0.701 0.892  0.648 0.855  0.557 0.855  0.466 0.855  0.375 0.855  0.284 0.855  0.274 0.774  0.274 0.684  0.274 0.593  0.274 0.502  0.262 0.416  0.198 0.352  0.134 0.288  0.070 0.223  0.006 0.159  -0.059 0.095  -0.123 0.031  -0.153 -0.047  -0.153 -0.138  -0.153 -0.229  -0.153 -0.320  -0.153 -0.410  -0.228 -0.427  -0.318 -0.427  -0.409 -0.427  -0.500 -0.427  -0.580 -0.437  -0.580 -0.528  -0.580 -0.619  -0.580 -0.710  -0.580 -0.800  -0.580 -0.891  -0.580 -0.982  -0.580 -1.073  -0.580 -1.163  -0.580 -1.254  -0.580 -1.345  -0.580 -1.436  -0.580 -1.527  -0.580 -1.617  -0.580 -1.708
1d#apa#apa02#app0272/\"  -0.363 1.329  -0.167 1.329  -0.016 1.310  -0.155 1.171  -0.294 1.031  -0.363 0.863  -0.363 0.666  -0.363 0.470  -0.363 0.273  -0.517 0.230  -0.714 0.230  -0.730 0.049  -0.738 -0.144  -0.877 -0.284  -1.016 -0.423  -1.096 -0.586  -1.096 -0.783  -1.096 -0.980  -1.096 -1.177  -0.999 -1.139  -0.860 -1.000  -0.721 -0.861  -0.582 -0.721  -0.443 -0.582  -0.303 -0.443  -0.164 -0.304  -0.025 -0.165  0.114 -0.026  0.253 0.113  0.392 0.253  0.531 0.392  0.671 0.531  0.810 0.670  0.949 0.809  1.088 0.948  1.102 0.786  1.102 0.589  1.102 0.392  1.068 0.230  0.872 0.230  0.736 0.169  0.736 -0.028  0.736 -0.225  0.736 -0.422  0.620 -0.503  0.424 -0.503  0.369 -0.646  0.369 -0.842  0.369 -1.039  0.369 -1.236
1d#apa#apa02#app0272/<  0.925 1.027  1.030 1.027  1.066 1.094  1.036 1.168  0.932 1.168  0.925 1.070  0.864 1.027  0.767 1.010  0.694 0.936  0.610 0.886  0.506 0.886  0.431 0.815  0.358 0.741  0.284 0.668  0.206 0.604  0.102 0.604  0.022 0.546  -0.052 0.473  -0.142 0.423  -0.235 0.376  -0.328 0.329  -0.405 0.260  -0.479 0.186  -0.581 0.181  -0.625 0.121  -0.648 0.040  -0.752 0.040  -0.830 -0.024  -0.903 -0.097  -0.836 -0.171  -0.763 -0.245  -0.689 -0.318  -0.611 -0.382  -0.507 -0.382  -0.484 -0.463  -0.440 -0.523  -0.343 -0.531  -0.343 -0.635  -0.290 -0.717  -0.217 -0.791  -0.143 -0.864  -0.069 -0.938  -0.061 -1.039  -0.022 -1.126  0.052 -1.200  0.126 -1.274  0.199 -1.347  0.221 -1.442  0.221 -1.547  0.221 -1.651
1d#apa#apa02#app0272/|  0.369 1.562  0.296 1.562  0.223 1.562  0.207 1.505  0.207 1.432  0.207 1.359  0.207 1.286  0.207 1.213  0.207 1.140  0.207 1.067  0.207 0.994  0.207 0.921  0.207 0.848  0.207 0.775  0.207 0.702  0.207 0.629  0.192 0.560  0.159 0.494  0.126 0.429  0.094 0.364  0.061 0.298  0.045 0.229  0.045 0.156  0.045 0.083  0.045 0.010  0.042 -0.061  -0.010 -0.113  -0.061 -0.165  -0.113 -0.216  -0.118 -0.287  -0.118 -0.360  -0.118 -0.433  -0.118 -0.506  -0.118 -0.579  -0.118 -0.652  -0.118 -0.725  -0.118 -0.798  -0.119 -0.871  -0.170 -0.922  -0.222 -0.974  -0.274 -1.026  -0.280 -1.096  -0.280 -1.169  -0.280 -1.242  -0.280 -1.315  -0.280 -1.388  -0.280 -1.461  -0.280 -1.534  -0.280 -1.607  -0.280 -1.680
1d#apa#apa02#app0272/>  -0.649 1.215  -0.649 1.321  -0.649 1.300  -0.628 1.215  -0.522 1.215  -0.441 1.155  -0.367 1.081  -0.266 1.067  -0.174 1.036  -0.099 0.961  -0.024 0.886  0.051 0.811  0.126 0.737  0.200 0.662  0.290 0.622  0.388 0.615  0.388 0.509  0.459 0.474  0.537 0.446  0.537 0.340  0.628 0.326  0.720 0.291  0.794 0.216  0.833 0.126  0.833 0.021  0.833 -0.085  0.782 -0.170  0.708 -0.245  0.611 -0.267  0.514 -0.289  0.440 -0.364  0.365 -0.439  0.290 -0.514  0.205 -0.564  0.099 -0.564  -0.007 -0.564  -0.056 -0.620  -0.066 -0.722  -0.141 -0.796  -0.220 -0.860  -0.326 -0.860  -0.409 -0.916  -0.483 -0.991  -0.558 -1.066  -0.633 -1.140  -0.708 -1.215  -0.783 -1.290  -0.882 -1.305  -0.946 -1.347  -0.946 -1.453
