3#apb#apb14#app1422/k  -0.431 1.414  -0.415 1.598  -0.339 1.662  -0.291 1.475  -0.299 1.288  -0.339 1.098  -0.339 0.904  -0.339 0.710  -0.363 0.518  -0.396 0.327  -0.429 0.136  -0.463 -0.056  -0.496 -0.247  -0.524 -0.439  -0.534 -0.632  -0.544 -0.826  -0.562 -1.020  -0.551 -1.212  -0.492 -1.259  -0.541 -1.071  -0.590 -0.883  -0.639 -0.696  -0.688 -0.508  -0.737 -0.320  -0.731 -0.160  -0.602 -0.023  -0.447 0.094  -0.277 0.187  -0.105 0.277  0.070 0.360  0.251 0.431  0.432 0.502  0.605 0.589  0.787 0.652  0.976 0.697  0.959 0.600  0.805 0.482  0.670 0.344  0.511 0.266  0.368 0.178  0.308 -0.004  0.351 -0.190  0.407 -0.376  0.479 -0.555  0.576 -0.723  0.698 -0.873  0.830 -1.015  0.975 -1.144  1.130 -1.261  1.313 -1.294
3#apb#apb14#app1422/e  -1.000 -0.186  -0.855 -0.241  -0.697 -0.241  -0.540 -0.241  -0.382 -0.241  -0.226 -0.228  -0.074 -0.187  0.079 -0.147  0.229 -0.099  0.378 -0.046  0.526 0.007  0.644 0.111  0.761 0.218  0.873 0.328  0.975 0.448  1.040 0.589  1.088 0.739  1.072 0.896  1.031 1.041  0.919 1.153  0.773 1.167  0.616 1.153  0.463 1.115  0.311 1.072  0.163 1.021  0.023 0.946  -0.116 0.872  -0.249 0.790  -0.365 0.683  -0.481 0.576  -0.592 0.465  -0.665 0.325  -0.739 0.186  -0.813 0.047  -0.854 -0.104  -0.883 -0.259  -0.912 -0.414  -0.856 -0.558  -0.785 -0.699  -0.709 -0.835  -0.579 -0.925  -0.450 -1.014  -0.312 -1.086  -0.158 -1.117  -0.003 -1.148  0.152 -1.179  0.309 -1.188  0.466 -1.188  0.624 -1.188  0.782 -1.188
3#apb#apb14#app1422/w  -0.934 0.831  -0.922 0.801  -1.003 0.712  -1.080 0.619  -1.116 0.504  -1.151 0.389  -1.187 0.273  -1.222 0.158  -1.243 0.041  -1.233 -0.079  -1.210 -0.195  -1.146 -0.297  -1.058 -0.376  -0.956 -0.440  -0.836 -0.432  -0.716 -0.422  -0.608 -0.374  -0.506 -0.310  -0.404 -0.245  -0.315 -0.164  -0.226 -0.083  -0.151 0.010  -0.089 0.113  -0.015 0.207  0.046 0.303  0.046 0.279  0.046 0.159  0.046 0.038  0.056 -0.082  0.066 -0.202  0.102 -0.317  0.155 -0.422  0.246 -0.501  0.350 -0.545  0.471 -0.545  0.587 -0.520  0.699 -0.476  0.811 -0.431  0.900 -0.353  0.982 -0.265  1.064 -0.176  1.143 -0.085  1.218 0.010  1.292 0.105  1.366 0.200  1.440 0.295  1.498 0.399  1.533 0.514  1.569 0.629  1.588 0.747
3#apb#apb14#app1422/i  0.079 0.405  0.117 0.511  0.169 0.448  0.189 0.327  0.182 0.206  0.161 0.085  0.141 -0.036  0.121 -0.157  0.081 -0.273  0.037 -0.388  -0.007 -0.502  -0.051 -0.617  -0.091 -0.733  -0.127 -0.850  -0.162 -0.968  -0.195 -1.086  -0.210 -1.208  -0.226 -1.330  -0.219 -1.451  -0.195 -1.571  -0.181 -1.464  -0.168 -1.342  -0.155 -1.220  -0.142 -1.098  -0.129 -0.976  -0.116 -0.854  -0.104 -0.732  -0.091 -0.610  -0.078 -0.487  -0.065 -0.365  -0.052 -0.243  -0.039 -0.121  -0.026 0.001  -0.013 0.123  0.000 0.245  0.013 0.367  0.026 0.489  0.039 0.611  0.052 0.734  0.065 0.856  0.078 0.978  0.091 1.100  0.104 1.222  0.117 1.344  0.130 1.466  0.143 1.588  0.156 1.710  0.169 1.832  0.182 1.955  0.195 2.077
3#apb#apb14#app1422/t  0.629 1.602  0.609 1.795  0.577 1.834  0.546 1.643  0.446 1.476  0.362 1.302  0.294 1.120  0.218 0.941  0.120 0.773  0.023 0.605  -0.066 0.433  -0.143 0.254  -0.219 0.076  -0.292 -0.104  -0.360 -0.287  -0.427 -0.469  -0.456 -0.660  -0.470 -0.854  -0.436 -1.044  -0.317 -1.181  -0.135 -1.243  0.056 -1.252  0.248 -1.227  0.435 -1.180  0.617 -1.110  0.793 -1.029  0.904 -0.941  0.732 -0.852  0.559 -0.763  0.387 -0.673  0.214 -0.584  0.042 -0.494  -0.131 -0.405  -0.304 -0.316  -0.476 -0.226  -0.649 -0.137  -0.821 -0.047  -0.994 0.042  -1.166 0.131  -1.055 0.220  -0.861 0.234  -0.668 0.249  -0.475 0.272  -0.282 0.295  -0.087 0.297  0.107 0.297  0.301 0.297  0.496 0.297  0.690 0.297  0.884 0.297
3#apb#apb14#app1422/h  0.114 1.995  0.165 2.030  0.165 1.897  0.158 1.764  0.150 1.631  0.142 1.498  0.113 1.369  0.077 1.241  0.040 1.113  0.004 0.985  -0.027 0.856  -0.053 0.725  -0.079 0.595  -0.106 0.464  -0.132 0.334  -0.166 0.206  -0.205 0.078  -0.243 -0.049  -0.282 -0.176  -0.320 -0.304  -0.349 -0.434  -0.377 -0.564  -0.405 -0.694  -0.433 -0.824  -0.473 -0.950  -0.523 -1.074  -0.559 -1.201  -0.574 -1.247  -0.518 -1.127  -0.458 -1.009  -0.395 -0.891  -0.332 -0.774  -0.270 -0.657  -0.204 -0.541  -0.138 -0.426  -0.072 -0.310  0.003 -0.200  0.080 -0.091  0.172 0.002  0.292 0.053  0.413 0.012  0.499 -0.079  0.554 -0.201  0.603 -0.324  0.629 -0.454  0.649 -0.585  0.649 -0.718  0.649 -0.851  0.671 -0.982  0.700 -1.112
3#apb#apb14#app1422/f  0.636 0.229  0.764 0.323  0.844 0.462  0.929 0.598  0.988 0.747  0.996 0.906  0.996 1.066  0.961 1.219  0.840 1.323  0.706 1.411  0.558 1.466  0.410 1.431  0.282 1.333  0.162 1.228  0.077 1.094  0.000 0.952  -0.049 0.800  -0.098 0.647  -0.145 0.494  -0.178 0.337  -0.210 0.180  -0.243 0.023  -0.263 -0.137  -0.282 -0.296  -0.301 -0.455  -0.278 -0.614  -0.256 -0.773  -0.222 -0.929  -0.171 -1.081  -0.097 -1.220  0.013 -1.334  0.045 -1.323  -0.077 -1.219  -0.199 -1.114  -0.321 -1.010  -0.443 -0.906  -0.565 -0.802  -0.687 -0.698  -0.809 -0.593  -0.931 -0.489  -1.054 -0.410  -0.895 -0.391  -0.737 -0.368  -0.576 -0.359  -0.416 -0.349  -0.258 -0.327  -0.099 -0.304  0.060 -0.280  0.218 -0.255  0.377 -0.230
3#apb#apb14#app1422/r  -0.153 0.949  -0.153 1.080  -0.192 1.047  -0.247 0.929  -0.285 0.803  -0.322 0.678  -0.360 0.553  -0.386 0.425  -0.406 0.295  -0.426 0.166  -0.446 0.037  -0.466 -0.093  -0.487 -0.222  -0.509 -0.351  -0.530 -0.480  -0.553 -0.609  -0.578 -0.737  -0.604 -0.866  -0.630 -0.994  -0.608 -1.120  -0.573 -1.246  -0.548 -1.374  -0.530 -1.426  -0.471 -1.309  -0.427 -1.186  -0.385 -1.062  -0.344 -0.938  -0.291 -0.818  -0.233 -0.701  -0.174 -0.584  -0.116 -0.467  -0.066 -0.346  -0.018 -0.224  0.031 -0.103  0.085 0.016  0.152 0.128  0.220 0.240  0.287 0.353  0.368 0.452  0.473 0.531  0.578 0.609  0.682 0.688  0.791 0.760  0.900 0.833  1.016 0.893  1.136 0.944  1.257 0.991  1.384 0.959  1.514 0.949  1.644 0.949
3#apb#apb14#app1422/a  0.636 1.003  0.636 1.169  0.567 1.306  0.401 1.306  0.248 1.255  0.106 1.170  -0.033 1.078  -0.157 0.967  -0.282 0.857  -0.397 0.737  -0.510 0.614  -0.623 0.492  -0.730 0.365  -0.816 0.223  -0.901 0.080  -0.987 -0.063  -1.045 -0.217  -1.091 -0.378  -1.137 -0.538  -1.149 -0.702  -1.149 -0.869  -1.042 -0.991  -0.924 -1.109  -0.768 -1.078  -0.608 -1.032  -0.448 -0.987  -0.307 -0.898  -0.167 -0.808  -0.027 -0.718  0.108 -0.621  0.240 -0.520  0.372 -0.418  0.490 -0.305  0.571 -0.159  0.648 -0.012  0.706 0.144  0.746 0.305  0.764 0.470  0.771 0.636  0.771 0.664  0.766 0.498  0.743 0.333  0.715 0.169  0.685 0.005  0.656 -0.159  0.629 -0.323  0.602 -0.487  0.583 -0.653  0.569 -0.818  0.569 -0.985
3#apb#apb14#app1422/n  0.135 0.957  0.060 1.101  -0.050 1.109  -0.154 0.984  -0.237 0.844  -0.314 0.700  -0.392 0.557  -0.479 0.420  -0.573 0.287  -0.666 0.153  -0.753 0.015  -0.841 -0.122  -0.924 -0.262  -0.997 -0.408  -1.077 -0.549  -1.073 -0.506  -0.994 -0.364  -0.897 -0.234  -0.798 -0.104  -0.698 0.024  -0.598 0.153  -0.500 0.283  -0.402 0.413  -0.325 0.556  -0.384 0.506  -0.416 0.346  -0.448 0.186  -0.453 0.024  -0.453 -0.139  -0.430 -0.300  -0.398 -0.460  -0.326 -0.600  -0.222 -0.725  -0.075 -0.793  0.076 -0.853  0.230 -0.848  0.386 -0.800  0.541 -0.752  0.681 -0.672  0.815 -0.579  0.949 -0.487  1.077 -0.386  1.192 -0.271  1.307 -0.155  1.419 -0.038  1.527 0.085  1.631 0.209  1.712 0.351  1.774 0.499  1.831 0.646
3#apb#apb14#app1422/t  0.541 1.952  0.488 1.870  0.456 1.726  0.420 1.583  0.376 1.442  0.333 1.301  0.313 1.155  0.297 1.008  0.281 0.861  0.258 0.716  0.232 0.570  0.206 0.425  0.179 0.280  0.145 0.137  0.104 -0.005  0.063 -0.147  0.023 -0.289  -0.005 -0.434  -0.026 -0.580  -0.047 -0.726  -0.068 -0.872  -0.087 -1.018  -0.105 -1.165  -0.123 -1.311  -0.125 -1.459  -0.144 -1.532  -0.215 -1.403  -0.286 -1.274  -0.357 -1.144  -0.428 -1.015  -0.499 -0.886  -0.570 -0.756  -0.641 -0.627  -0.712 -0.497  -0.783 -0.368  -0.854 -0.239  -0.805 -0.119  -0.677 -0.045  -0.537 0.002  -0.397 0.048  -0.257 0.095  -0.117 0.142  0.023 0.188  0.165 0.227  0.308 0.265  0.450 0.305  0.588 0.355  0.727 0.405  0.874 0.419  1.021 0.432
3#apb#apb14#app1422/i  0.032 0.308  -0.002 0.227  -0.024 0.117  -0.073 0.017  -0.127 -0.081  -0.180 -0.179  -0.200 -0.289  -0.220 -0.399  -0.240 -0.509  -0.260 -0.619  -0.280 -0.729  -0.300 -0.839  -0.342 -0.943  -0.383 -1.047  -0.417 -1.151  -0.386 -1.258  -0.356 -1.366  -0.329 -1.465  -0.301 -1.357  -0.273 -1.249  -0.245 -1.140  -0.217 -1.032  -0.190 -0.924  -0.162 -0.816  -0.134 -0.707  -0.106 -0.599  -0.078 -0.491  -0.051 -0.382  -0.023 -0.274  0.005 -0.166  0.033 -0.057  0.061 0.051  0.088 0.159  0.116 0.268  0.144 0.376  0.172 0.484  0.200 0.593  0.227 0.701  0.255 0.809  0.283 0.918  0.311 1.026  0.339 1.134  0.366 1.243  0.394 1.351  0.422 1.459  0.450 1.567  0.478 1.676  0.505 1.784  0.533 1.892  0.484 1.905
3#apb#apb14#app1422/c  0.986 1.026  0.965 1.112  0.920 1.182  0.849 1.236  0.767 1.256  0.678 1.256  0.603 1.214  0.532 1.161  0.462 1.108  0.390 1.055  0.318 1.004  0.245 0.953  0.173 0.902  0.100 0.852  0.040 0.788  -0.011 0.716  -0.061 0.643  -0.111 0.570  -0.162 0.497  -0.212 0.424  -0.258 0.348  -0.301 0.271  -0.345 0.194  -0.388 0.116  -0.432 0.039  -0.475 -0.038  -0.519 -0.115  -0.536 -0.202  -0.552 -0.289  -0.568 -0.376  -0.584 -0.464  -0.587 -0.552  -0.587 -0.641  -0.587 -0.729  -0.587 -0.818  -0.565 -0.897  -0.503 -0.960  -0.440 -1.023  -0.372 -1.073  -0.283 -1.080  -0.195 -1.086  -0.107 -1.092  -0.018 -1.099  0.070 -1.104  0.157 -1.088  0.244 -1.072  0.331 -1.055  0.419 -1.039  0.506 -1.023  0.593 -1.006
3#apb#apb14#app1422/j  0.577 0.661  0.577 0.796  0.606 0.917  0.710 0.881  0.742 0.750  0.766 0.617  0.756 0.484  0.728 0.352  0.699 0.220  0.654 0.092  0.610 -0.035  0.562 -0.161  0.506 -0.285  0.450 -0.408  0.393 -0.530  0.314 -0.640  0.236 -0.750  0.157 -0.860  0.064 -0.956  -0.038 -1.045  -0.141 -1.133  -0.263 -1.190  -0.386 -1.248  -0.518 -1.259  -0.652 -1.253  -0.768 -1.184  -0.864 -1.093  -0.912 -0.973  -0.908 -0.839  -0.846 -0.719  -0.783 -0.599  -0.721 -0.479  -0.658 -0.360  -0.596 -0.240  -0.533 -0.120  -0.471 -0.000  -0.408 0.120  -0.346 0.240  -0.283 0.359  -0.221 0.479  -0.158 0.599  -0.096 0.719  -0.033 0.839  0.029 0.959  0.092 1.078  0.155 1.198  0.217 1.318  0.280 1.438  0.342 1.558  0.380 1.684
3#apb#apb14#app1422/o  0.424 0.951  0.309 0.997  0.190 1.018  0.076 0.986  -0.027 0.918  -0.122 0.839  -0.209 0.752  -0.298 0.667  -0.394 0.589  -0.489 0.510  -0.585 0.432  -0.680 0.353  -0.772 0.271  -0.865 0.190  -0.939 0.094  -0.994 -0.016  -1.049 -0.127  -1.077 -0.244  -1.077 -0.367  -1.077 -0.491  -1.030 -0.602  -0.970 -0.710  -0.910 -0.817  -0.794 -0.859  -0.678 -0.902  -0.562 -0.944  -0.442 -0.925  -0.323 -0.895  -0.203 -0.865  -0.083 -0.835  0.031 -0.791  0.136 -0.726  0.240 -0.660  0.345 -0.595  0.450 -0.530  0.550 -0.459  0.641 -0.375  0.732 -0.291  0.823 -0.207  0.913 -0.124  0.988 -0.027  1.047 0.081  1.106 0.189  1.158 0.300  1.158 0.423  1.158 0.547  1.134 0.667  1.100 0.786  1.020 0.874  0.924 0.951
3#apb#apb14#app1422/u  -0.374 1.122  -0.340 1.218  -0.435 1.126  -0.507 1.001  -0.581 0.876  -0.663 0.758  -0.745 0.639  -0.828 0.520  -0.894 0.392  -0.955 0.261  -1.016 0.130  -1.065 -0.006  -1.104 -0.145  -1.144 -0.284  -1.165 -0.424  -1.149 -0.568  -1.106 -0.700  -1.012 -0.810  -0.902 -0.882  -0.757 -0.872  -0.613 -0.863  -0.469 -0.853  -0.347 -0.776  -0.225 -0.699  -0.102 -0.621  0.020 -0.544  0.142 -0.467  0.258 -0.381  0.375 -0.296  0.492 -0.210  0.608 -0.125  0.711 -0.023  0.813 0.079  0.916 0.181  0.998 0.297  1.063 0.427  1.121 0.559  1.143 0.695  1.078 0.726  0.975 0.623  0.887 0.509  0.823 0.380  0.764 0.248  0.733 0.109  0.718 -0.035  0.715 -0.179  0.728 -0.323  0.741 -0.467  0.804 -0.596  0.869 -0.726
3#apb#apb14#app1422/r  0.207 1.031  0.186 1.154  0.058 1.162  -0.043 1.091  -0.104 0.969  -0.157 0.844  -0.203 0.716  -0.250 0.588  -0.297 0.460  -0.345 0.332  -0.393 0.205  -0.440 0.077  -0.488 -0.050  -0.518 -0.183  -0.538 -0.317  -0.559 -0.452  -0.579 -0.587  -0.587 -0.723  -0.596 -0.859  -0.604 -0.995  -0.613 -1.131  -0.616 -1.267  -0.616 -1.403  -0.571 -1.498  -0.500 -1.381  -0.421 -1.271  -0.346 -1.157  -0.296 -1.031  -0.245 -0.904  -0.195 -0.778  -0.146 -0.651  -0.097 -0.524  -0.048 -0.396  0.007 -0.272  0.073 -0.153  0.139 -0.034  0.188 0.092  0.221 0.224  0.271 0.347  0.367 0.443  0.464 0.539  0.560 0.636  0.656 0.732  0.768 0.806  0.890 0.867  1.014 0.916  1.149 0.896  1.280 0.896  1.398 0.963  1.517 1.031
3#apb#apb14#app1422/n  0.001 0.907  -0.087 0.939  -0.155 0.803  -0.244 0.680  -0.334 0.557  -0.435 0.445  -0.543 0.338  -0.650 0.230  -0.742 0.110  -0.831 -0.014  -0.919 -0.137  -1.006 -0.262  -1.092 -0.387  -1.172 -0.515  -1.216 -0.660  -1.094 -0.618  -1.012 -0.490  -0.930 -0.362  -0.836 -0.244  -0.723 -0.143  -0.613 -0.038  -0.537 0.093  -0.460 0.224  -0.361 0.338  -0.336 0.352  -0.336 0.200  -0.336 0.048  -0.336 -0.104  -0.316 -0.254  -0.293 -0.405  -0.224 -0.534  -0.124 -0.647  0.021 -0.691  0.168 -0.715  0.316 -0.683  0.465 -0.652  0.586 -0.565  0.701 -0.465  0.815 -0.366  0.927 -0.263  1.034 -0.156  1.142 -0.048  1.243 0.064  1.330 0.189  1.416 0.314  1.494 0.444  1.567 0.578  1.628 0.716  1.676 0.860  1.761 0.985
