3#app#app13#app1359/T  -1.286 0.533  -1.286 0.400  -1.400 0.382  -1.341 0.382  -1.208 0.382  -1.075 0.382  -0.955 0.411  -0.861 0.504  -0.740 0.533  -0.607 0.533  -0.474 0.533  -0.353 0.559  -0.259 0.653  -0.139 0.683  -0.006 0.683  0.126 0.683  0.259 0.683  0.392 0.683  0.524 0.683  0.657 0.683  0.790 0.683  0.922 0.683  1.055 0.683  1.084 0.648  0.980 0.567  0.875 0.485  0.770 0.404  0.665 0.322  0.561 0.241  0.456 0.159  0.351 0.078  0.247 -0.004  0.142 -0.085  0.037 -0.167  -0.068 -0.248  -0.172 -0.329  -0.168 -0.373  -0.078 -0.416  -0.061 -0.542  0.033 -0.635  0.073 -0.752  0.073 -0.884  0.073 -1.017  0.088 -1.143  0.182 -1.237  0.224 -1.352  0.224 -1.485  0.224 -1.618  0.224 -1.750  0.224 -1.883
3#app#app13#app1359/d  -0.156 0.188  -0.318 0.183  -0.326 0.026  -0.479 0.013  -0.497 -0.135  -0.641 -0.157  -0.641 -0.323  -0.662 -0.480  -0.780 -0.597  -0.803 -0.754  -0.803 -0.919  -0.803 -1.085  -0.803 -1.251  -0.803 -1.417  -0.648 -1.428  -0.482 -1.428  -0.364 -1.312  -0.217 -1.266  -0.156 -1.161  -0.107 -1.007  -0.033 -0.858  0.062 -0.725  0.167 -0.603  0.182 -0.443  0.300 -0.326  0.328 -0.172  0.328 -0.006  0.423 0.121  0.490 0.259  0.490 0.425  0.490 0.590  0.490 0.756  0.490 0.922  0.490 1.088  0.490 1.254  0.490 1.420  0.490 1.586  0.380 1.642  0.328 1.528  0.328 1.362  0.328 1.196  0.328 1.030  0.328 0.864  0.328 0.698  0.328 0.532  0.328 0.366  0.328 0.201  0.328 0.035  0.328 -0.131  0.328 -0.297
3#app#app13#app1359/p  -0.178 1.106  -0.215 0.951  -0.332 0.878  -0.332 0.688  -0.332 0.497  -0.332 0.306  -0.332 0.115  -0.332 -0.075  -0.332 -0.266  -0.318 -0.451  -0.183 -0.586  -0.178 -0.775  -0.178 -0.965  -0.178 -1.156  -0.178 -1.347  -0.178 -1.538  -0.178 -1.728  -0.197 -1.732  -0.234 -1.545  -0.272 -1.358  -0.309 -1.171  -0.346 -0.984  -0.384 -0.797  -0.421 -0.610  -0.459 -0.423  -0.496 -0.236  -0.533 -0.049  -0.571 0.138  -0.608 0.325  -0.641 0.513  -0.580 0.643  -0.418 0.712  -0.283 0.847  -0.136 0.951  0.047 0.987  0.217 1.072  0.400 1.106  0.591 1.106  0.726 0.972  0.901 0.944  0.945 0.797  1.056 0.717  1.056 0.526  1.056 0.336  1.056 0.145  0.984 0.026  0.793 0.026  0.602 0.026  0.465 0.154  0.284 0.180
3#app#app13#app1359/o  -0.085 0.907  -0.085 0.740  -0.191 0.679  -0.358 0.679  -0.526 0.679  -0.541 0.527  -0.605 0.387  -0.724 0.268  -0.770 0.120  -0.770 -0.047  -0.770 -0.214  -0.666 -0.338  -0.547 -0.457  -0.541 -0.621  -0.541 -0.789  -0.541 -0.956  -0.541 -1.123  -0.398 -1.147  -0.313 -1.229  -0.292 -1.376  -0.125 -1.376  0.042 -1.376  0.190 -1.329  0.308 -1.211  0.427 -1.092  0.545 -0.974  0.663 -0.856  0.781 -0.737  0.828 -0.590  0.828 -0.422  0.828 -0.255  0.828 -0.088  0.828 0.079  0.828 0.247  0.828 0.414  0.828 0.581  0.779 0.728  0.661 0.846  0.543 0.964  0.424 1.083  0.279 1.135  0.112 1.135  -0.056 1.135  -0.085 0.997  -0.162 0.907  -0.313 0.891  -0.313 0.724  -0.435 0.679  -0.541 0.618  -0.541 0.451
3#app#app13#app1359/s  0.014 1.480  0.014 1.386  0.014 1.291  -0.064 1.274  -0.158 1.274  -0.253 1.274  -0.348 1.274  -0.429 1.243  -0.496 1.176  -0.563 1.109  -0.605 1.032  -0.605 0.937  -0.605 0.842  -0.605 0.748  -0.605 0.653  -0.605 0.558  -0.605 0.464  -0.548 0.392  -0.481 0.325  -0.414 0.258  -0.348 0.192  -0.281 0.125  -0.214 0.058  -0.128 0.036  -0.033 0.036  0.048 0.003  0.115 -0.064  0.182 -0.131  0.248 -0.198  0.315 -0.265  0.382 -0.332  0.449 -0.399  0.516 -0.466  0.583 -0.533  0.633 -0.607  0.633 -0.702  0.633 -0.796  0.633 -0.891  0.633 -0.986  0.633 -1.080  0.633 -1.175  0.565 -1.202  0.471 -1.202  0.376 -1.202  0.281 -1.202  0.187 -1.202  0.092 -1.202  -0.003 -1.202  -0.097 -1.202  -0.192 -1.202
3#app#app13#app1359/e  -0.200 -0.317  -0.054 -0.317  0.090 -0.316  0.193 -0.213  0.296 -0.110  0.407 -0.028  0.552 -0.028  0.666 0.003  0.666 0.148  0.699 0.260  0.844 0.260  0.955 0.295  0.955 0.441  0.955 0.586  0.955 0.731  0.916 0.838  0.771 0.838  0.666 0.878  0.666 1.023  0.624 1.126  0.479 1.126  0.346 1.095  0.244 0.992  0.141 0.890  0.017 0.838  -0.128 0.838  -0.200 0.764  -0.200 0.619  -0.275 0.549  -0.420 0.549  -0.488 0.472  -0.488 0.327  -0.488 0.181  -0.488 0.036  -0.546 -0.085  -0.648 -0.188  -0.751 -0.291  -0.777 -0.425  -0.777 -0.570  -0.777 -0.716  -0.777 -0.861  -0.777 -1.006  -0.777 -1.151  -0.663 -1.183  -0.518 -1.183  -0.488 -1.298  -0.488 -1.444  -0.405 -1.554  -0.302 -1.657  -0.200 -1.760
3#app#app13#app1359/d  -0.599 0.292  -0.599 0.149  -0.732 0.140  -0.838 0.052  -0.903 -0.064  -0.903 -0.207  -0.903 -0.350  -0.903 -0.492  -0.903 -0.635  -0.903 -0.778  -0.903 -0.921  -0.903 -1.064  -0.813 -1.169  -0.695 -1.231  -0.553 -1.231  -0.410 -1.231  -0.267 -1.231  -0.142 -1.213  -0.136 -1.073  -0.035 -0.972  0.010 -0.848  0.059 -0.725  0.160 -0.624  0.163 -0.482  0.221 -0.353  0.285 -0.226  0.315 -0.090  0.315 0.053  0.315 0.196  0.336 0.333  0.400 0.461  0.463 0.589  0.467 0.731  0.467 0.874  0.467 1.016  0.467 1.159  0.467 1.302  0.467 1.445  0.467 1.432  0.467 1.289  0.467 1.146  0.467 1.003  0.495 0.872  0.596 0.771  0.619 0.638  0.619 0.495  0.684 0.379  0.772 0.273  0.772 0.130  0.772 -0.013
3#app#app13#app1359/a  -0.068 0.394  -0.068 0.582  -0.248 0.590  -0.263 0.762  -0.428 0.785  -0.616 0.785  -0.803 0.785  -0.850 0.643  -0.983 0.590  -1.045 0.463  -1.045 0.276  -1.045 0.088  -1.045 -0.100  -1.045 -0.287  -1.045 -0.475  -1.045 -0.663  -0.973 -0.778  -0.850 -0.843  -0.793 -0.974  -0.654 -1.023  -0.613 -1.169  -0.425 -1.169  -0.245 -1.150  -0.112 -1.018  0.057 -0.974  0.127 -0.856  0.205 -0.700  0.338 -0.568  0.470 -0.435  0.518 -0.267  0.518 -0.079  0.592 0.078  0.713 0.215  0.713 0.403  0.713 0.590  0.713 0.778  0.841 0.913  0.909 1.073  0.909 1.091  0.832 0.980  0.713 0.911  0.713 0.723  0.713 0.536  0.713 0.348  0.713 0.160  0.713 -0.027  0.713 -0.215  0.713 -0.403  0.713 -0.590  0.713 -0.778
3#app#app13#app1359/l  0.168 1.629  0.168 1.556  0.168 1.483  0.168 1.410  0.168 1.337  0.116 1.316  0.043 1.316  0.011 1.275  0.011 1.202  0.011 1.128  0.011 1.055  0.011 0.982  0.011 0.909  0.011 0.836  0.011 0.763  0.011 0.690  0.011 0.617  0.011 0.544  0.011 0.470  0.011 0.397  0.011 0.324  0.011 0.251  0.011 0.178  0.011 0.105  0.011 0.032  0.011 -0.041  0.011 -0.114  0.011 -0.187  0.011 -0.261  0.011 -0.334  0.011 -0.407  0.011 -0.480  0.011 -0.553  0.011 -0.626  0.011 -0.699  -0.023 -0.758  -0.074 -0.810  -0.126 -0.862  -0.146 -0.927  -0.146 -1.000  -0.146 -1.073  -0.146 -1.146  -0.146 -1.219  -0.146 -1.292  -0.136 -1.361  -0.085 -1.413  -0.033 -1.465  0.011 -1.520  0.011 -1.593  0.011 -1.666
3#app#app13#app1359/o  -0.473 0.626  -0.638 0.626  -0.740 0.563  -0.740 0.398  -0.740 0.234  -0.740 0.069  -0.740 -0.096  -0.740 -0.261  -0.740 -0.426  -0.740 -0.591  -0.740 -0.756  -0.740 -0.921  -0.740 -1.086  -0.734 -1.244  -0.569 -1.244  -0.404 -1.244  -0.239 -1.244  -0.074 -1.244  0.061 -1.215  0.061 -1.050  0.153 -0.977  0.318 -0.977  0.329 -0.823  0.366 -0.673  0.482 -0.556  0.599 -0.440  0.715 -0.323  0.832 -0.207  0.863 -0.055  0.863 0.110  0.863 0.275  0.863 0.440  0.863 0.605  0.863 0.770  0.863 0.935  0.863 1.100  0.759 1.160  0.594 1.160  0.429 1.160  0.329 1.096  0.329 0.931  0.201 0.893  0.036 0.893  -0.129 0.893  -0.206 0.805  -0.206 0.641  -0.312 0.520  -0.429 0.403  -0.473 0.256  -0.473 0.092
3#app#app13#app1359/n  -1.024 0.422  -1.024 0.294  -1.024 0.166  -1.024 0.039  -1.024 -0.089  -1.024 -0.217  -1.024 -0.345  -1.024 -0.473  -1.024 -0.600  -1.024 -0.728  -1.024 -0.856  -1.016 -0.975  -0.888 -0.975  -0.777 -0.947  -0.720 -0.833  -0.663 -0.719  -0.606 -0.604  -0.543 -0.494  -0.453 -0.404  -0.362 -0.313  -0.326 -0.201  -0.326 -0.073  -0.256 0.026  -0.165 0.117  -0.075 0.207  0.015 0.297  0.106 0.388  0.140 0.501  0.140 0.629  0.242 0.655  0.370 0.655  0.373 0.780  0.393 0.888  0.521 0.888  0.648 0.888  0.776 0.888  0.885 0.842  0.975 0.752  1.066 0.661  1.072 0.536  1.072 0.408  1.072 0.280  1.072 0.152  1.072 0.025  1.072 -0.103  1.072 -0.231  1.072 -0.359  1.072 -0.487  1.072 -0.615  1.072 -0.742
3#app#app13#app1359/g  0.118 1.530  0.118 1.388  -0.017 1.380  -0.122 1.290  -0.182 1.172  -0.205 1.035  -0.268 0.907  -0.332 0.780  -0.332 0.637  -0.332 0.495  -0.332 0.352  -0.332 0.209  -0.220 0.179  -0.077 0.179  0.066 0.179  0.118 0.269  0.201 0.329  0.268 0.404  0.316 0.527  0.417 0.628  0.418 0.770  0.418 0.913  0.544 0.930  0.569 0.812  0.569 0.669  0.569 0.527  0.569 0.384  0.569 0.242  0.569 0.099  0.569 -0.044  0.569 -0.186  0.528 -0.312  0.427 -0.413  0.418 -0.552  0.418 -0.694  0.337 -0.803  0.236 -0.904  0.135 -1.005  0.034 -1.106  -0.081 -1.172  -0.212 -1.201  -0.312 -1.302  -0.447 -1.322  -0.589 -1.322  -0.732 -1.322  -0.875 -1.322  -0.933 -1.237  -0.987 -1.117  -1.083 -1.014  -1.083 -0.871
3#app#app13#app1359/s  0.117 1.540  0.117 1.427  0.084 1.347  -0.028 1.347  -0.075 1.282  -0.075 1.170  -0.173 1.155  -0.280 1.142  -0.360 1.063  -0.440 0.983  -0.544 0.963  -0.652 0.959  -0.652 0.846  -0.652 0.734  -0.652 0.621  -0.652 0.509  -0.652 0.396  -0.652 0.284  -0.631 0.193  -0.518 0.193  -0.460 0.139  -0.460 0.026  -0.373 0.001  -0.261 0.001  -0.148 0.001  -0.036 0.001  0.077 0.001  0.168 -0.051  0.248 -0.130  0.335 -0.192  0.447 -0.192  0.502 -0.250  0.502 -0.362  0.592 -0.384  0.694 -0.395  0.694 -0.507  0.694 -0.620  0.694 -0.732  0.694 -0.845  0.694 -0.957  0.617 -1.038  0.538 -1.118  0.458 -1.197  0.379 -1.277  0.295 -1.346  0.182 -1.346  0.070 -1.346  -0.043 -1.346  -0.155 -1.346  -0.268 -1.346
3#app#app13#app1359/i  -0.095 0.299  -0.095 0.186  -0.095 0.074  -0.095 -0.039  -0.095 -0.152  -0.095 -0.265  -0.095 -0.377  -0.095 -0.490  -0.095 -0.603  -0.095 -0.716  -0.095 -0.828  -0.095 -0.941  -0.095 -1.054  -0.095 -1.166  -0.095 -1.279  -0.095 -1.392  -0.095 -1.505  -0.089 -1.461  -0.080 -1.348  -0.071 -1.236  -0.063 -1.123  -0.054 -1.011  -0.045 -0.899  -0.037 -0.786  -0.028 -0.674  -0.019 -0.561  -0.011 -0.449  -0.002 -0.337  0.007 -0.224  0.015 -0.112  0.024 0.001  0.032 0.113  0.041 0.225  0.050 0.338  0.058 0.450  0.067 0.563  0.076 0.675  0.084 0.787  0.093 0.900  0.102 1.012  0.110 1.124  0.119 1.237  0.128 1.349  0.136 1.462  0.145 1.574  0.154 1.686  0.162 1.799  0.168 1.837  0.168 1.724  0.168 1.612
3#app#app13#app1359/d  -0.446 0.169  -0.554 0.061  -0.598 -0.073  -0.662 -0.200  -0.751 -0.316  -0.751 -0.469  -0.751 -0.622  -0.751 -0.775  -0.751 -0.927  -0.751 -1.080  -0.751 -1.233  -0.722 -1.357  -0.569 -1.357  -0.417 -1.357  -0.272 -1.337  -0.164 -1.229  -0.021 -1.205  0.012 -1.085  0.097 -0.967  0.165 -0.843  0.205 -0.707  0.313 -0.599  0.318 -0.447  0.318 -0.295  0.318 -0.142  0.318 0.011  0.318 0.164  0.318 0.317  0.318 0.470  0.318 0.623  0.318 0.775  0.318 0.928  0.318 1.081  0.318 1.234  0.318 1.387  0.318 1.540  0.318 1.693  0.318 1.546  0.318 1.393  0.318 1.240  0.318 1.087  0.318 0.934  0.318 0.781  0.318 0.628  0.318 0.475  0.318 0.323  0.318 0.170  0.318 0.017  0.318 -0.136  0.318 -0.289
3#app#app13#app1359/e  -0.767 -0.594  -0.767 -0.754  -0.680 -0.829  -0.523 -0.837  -0.410 -0.951  -0.296 -1.064  -0.136 -1.064  0.025 -1.064  0.182 -1.055  0.295 -0.941  0.409 -0.829  0.570 -0.829  0.643 -0.741  0.643 -0.581  0.643 -0.420  0.643 -0.260  0.643 -0.099  0.643 0.061  0.643 0.222  0.643 0.382  0.643 0.543  0.643 0.703  0.643 0.864  0.643 1.024  0.548 1.145  0.434 1.259  0.408 1.408  0.359 1.520  0.198 1.520  0.077 1.424  -0.036 1.311  -0.150 1.197  -0.263 1.084  -0.297 0.937  -0.297 0.777  -0.297 0.616  -0.297 0.456  -0.347 0.346  -0.508 0.346  -0.532 0.209  -0.532 0.049  -0.532 -0.112  -0.532 -0.272  -0.532 -0.433  -0.532 -0.593  -0.532 -0.754  -0.471 -0.889  -0.358 -1.003  -0.297 -1.138  -0.297 -1.299
3#app#app13#app1359/a  0.481 1.019  0.342 1.019  0.202 1.019  0.063 1.019  -0.076 1.019  -0.215 1.019  -0.355 1.019  -0.494 1.019  -0.551 0.937  -0.566 0.813  -0.705 0.813  -0.757 0.725  -0.772 0.592  -0.870 0.494  -0.963 0.393  -0.963 0.254  -0.963 0.115  -0.963 -0.025  -0.963 -0.164  -0.963 -0.303  -0.963 -0.442  -0.963 -0.582  -0.900 -0.695  -0.802 -0.793  -0.681 -0.838  -0.542 -0.838  -0.402 -0.838  -0.263 -0.838  -0.124 -0.838  0.015 -0.838  0.068 -0.751  0.088 -0.631  0.227 -0.631  0.339 -0.567  0.438 -0.468  0.536 -0.370  0.635 -0.271  0.687 -0.154  0.687 -0.014  0.824 -0.012  0.893 0.058  0.896 0.194  1.036 0.194  1.100 0.119  1.100 -0.021  1.100 -0.160  1.157 -0.276  1.255 -0.374  1.306 -0.492  1.306 -0.631
