2#apa#apa00#app0029/B  -0.505 0.952  -0.409 0.748  -0.409 0.504  -0.314 0.283  -0.313 0.039  -0.217 -0.165  -0.217 -0.408  -0.185 -0.644  -0.122 -0.873  -0.122 -1.117  -0.127 -1.332  -0.207 -1.101  -0.287 -0.871  -0.367 -0.641  -0.447 -0.411  -0.527 -0.181  -0.607 0.050  -0.687 0.280  -0.767 0.510  -0.847 0.740  -0.792 0.881  -0.737 1.102  -0.606 1.239  -0.402 1.335  -0.159 1.335  0.085 1.335  0.329 1.335  0.453 1.159  0.427 0.926  0.255 0.754  0.060 0.612  -0.134 0.473  -0.313 0.353  -0.236 0.186  0.008 0.186  0.251 0.186  0.455 0.090  0.699 0.090  0.903 -0.005  1.084 -0.158  1.207 -0.365  1.219 -0.606  1.140 -0.771  1.030 -0.960  0.802 -0.996  0.592 -1.108  0.356 -1.154  0.128 -1.221  -0.109 -1.250  -0.313 -1.346
2#apa#apa00#app0029/U  -0.777 1.190  -0.658 1.190  -0.726 1.190  -0.777 1.122  -0.777 1.003  -0.777 0.885  -0.777 0.767  -0.777 0.648  -0.777 0.530  -0.777 0.412  -0.777 0.293  -0.777 0.175  -0.777 0.056  -0.777 -0.062  -0.722 -0.158  -0.639 -0.242  -0.633 -0.358  -0.595 -0.467  -0.542 -0.573  -0.489 -0.679  -0.405 -0.762  -0.321 -0.846  -0.238 -0.930  -0.154 -1.014  -0.070 -1.097  0.043 -1.109  0.161 -1.109  0.229 -1.059  0.255 -0.966  0.373 -0.966  0.457 -0.882  0.517 -0.788  0.517 -0.670  0.517 -0.552  0.562 -0.444  0.615 -0.338  0.660 -0.230  0.660 -0.112  0.660 0.006  0.660 0.125  0.702 0.226  0.786 0.309  0.804 0.420  0.804 0.539  0.804 0.657  0.816 0.771  0.900 0.854  0.948 0.953  0.973 1.046  1.091 1.046
2#apa#apa00#app0029/S  0.553 0.994  0.456 0.994  0.437 1.072  0.378 1.110  0.282 1.110  0.185 1.110  0.089 1.111  0.020 1.179  -0.057 1.226  -0.153 1.226  -0.250 1.226  -0.347 1.226  -0.374 1.157  -0.374 1.060  -0.374 0.963  -0.374 0.867  -0.374 0.770  -0.311 0.699  -0.258 0.625  -0.257 0.528  -0.214 0.442  -0.171 0.355  -0.119 0.275  -0.050 0.207  -0.027 0.120  0.005 0.036  0.073 -0.032  0.112 -0.118  0.143 -0.210  0.174 -0.302  0.204 -0.393  0.205 -0.490  0.205 -0.586  0.244 -0.667  0.313 -0.735  0.321 -0.828  0.321 -0.925  0.321 -1.022  0.321 -1.118  0.315 -1.213  0.247 -1.281  0.167 -1.323  0.071 -1.323  -0.026 -1.323  -0.123 -1.323  -0.219 -1.323  -0.316 -1.323  -0.413 -1.323  -0.490 -1.303  -0.490 -1.207
2#apa#apa00#app0029/S  0.903 1.034  0.770 1.034  0.636 1.034  0.502 1.034  0.369 1.034  0.235 1.034  0.102 1.034  0.004 0.949  -0.109 0.898  -0.242 0.898  -0.376 0.898  -0.509 0.898  -0.628 0.861  -0.722 0.767  -0.854 0.762  -0.987 0.762  -0.998 0.639  -0.998 0.506  -0.879 0.491  -0.779 0.408  -0.674 0.329  -0.555 0.269  -0.433 0.219  -0.301 0.211  -0.182 0.151  -0.063 0.091  0.069 0.084  0.169 0.003  0.264 -0.091  0.358 -0.186  0.491 -0.188  0.587 -0.279  0.663 -0.386  0.723 -0.506  0.767 -0.629  0.767 -0.762  0.767 -0.896  0.767 -1.029  0.743 -1.138  0.609 -1.138  0.476 -1.138  0.342 -1.138  0.209 -1.138  0.075 -1.138  -0.058 -1.138  -0.192 -1.138  -0.325 -1.138  -0.455 -1.134  -0.457 -1.002  -0.590 -1.002
2#apa#apa00#app0029/T  0.113 0.571  0.219 0.465  0.240 0.324  0.240 0.174  0.240 0.024  0.240 -0.126  0.240 -0.276  0.240 -0.426  0.240 -0.576  0.240 -0.727  0.240 -0.877  0.240 -1.027  0.240 -1.177  0.240 -1.327  0.240 -1.477  0.229 -1.583  0.156 -1.452  0.083 -1.321  0.011 -1.190  -0.062 -1.059  -0.135 -0.928  -0.208 -0.796  -0.281 -0.665  -0.354 -0.534  -0.427 -0.403  -0.499 -0.272  -0.572 -0.141  -0.645 -0.010  -0.718 0.122  -0.791 0.253  -0.864 0.384  -0.937 0.515  -1.009 0.646  -0.948 0.699  -0.798 0.699  -0.663 0.759  -0.528 0.826  -0.379 0.826  -0.229 0.826  -0.079 0.826  0.062 0.865  0.196 0.932  0.341 0.954  0.491 0.954  0.641 0.954  0.791 0.954  0.941 0.954  1.091 0.954  1.241 0.954  1.391 0.954
2#apa#apa00#app0029/I  0.295 1.261  0.295 1.019  0.295 0.778  0.295 0.536  0.295 0.294  0.295 0.053  0.295 -0.189  0.295 -0.430  0.295 -0.672  0.295 -0.914  0.295 -1.155  0.446 -1.334  0.446 -1.576  0.382 -1.436  0.302 -1.208  0.222 -0.980  0.142 -0.752  0.062 -0.524  -0.017 -0.296  -0.097 -0.068  -0.177 0.160  -0.257 0.388  -0.337 0.616  -0.416 0.844  -0.496 1.072  -0.576 1.300  -0.493 1.412  -0.313 1.262  -0.072 1.261  0.169 1.261  0.411 1.261  0.652 1.261  0.656 1.150  0.500 0.966  0.344 0.782  0.188 0.597  0.032 0.413  -0.124 0.228  -0.280 0.044  -0.436 -0.140  -0.592 -0.325  -0.748 -0.509  -0.904 -0.694  -0.919 -0.930  -0.762 -1.014  -0.520 -1.014  -0.278 -1.014  -0.037 -1.014  0.205 -1.014  0.446 -1.014
2#apa#apa00#app0029/C  0.977 1.176  0.884 1.176  0.791 1.176  0.698 1.176  0.605 1.176  0.512 1.176  0.444 1.115  0.379 1.050  0.298 1.019  0.205 1.019  0.121 0.984  0.038 0.942  -0.045 0.901  -0.128 0.858  -0.193 0.792  -0.259 0.727  -0.325 0.661  -0.390 0.595  -0.456 0.529  -0.522 0.464  -0.588 0.398  -0.595 0.308  -0.595 0.215  -0.595 0.122  -0.595 0.030  -0.595 -0.063  -0.595 -0.156  -0.595 -0.249  -0.595 -0.342  -0.556 -0.396  -0.463 -0.396  -0.438 -0.464  -0.436 -0.556  -0.370 -0.621  -0.304 -0.687  -0.239 -0.753  -0.173 -0.818  -0.107 -0.884  -0.041 -0.950  0.024 -1.016  0.113 -1.025  0.206 -1.025  0.299 -1.025  0.379 -1.056  0.445 -1.122  0.513 -1.182  0.606 -1.182  0.688 -1.208  0.754 -1.273  0.819 -1.339
2#apa#apa00#app0029/K  -0.701 0.865  -0.579 0.771  -0.701 0.605  -0.811 0.499  -0.823 0.295  -0.823 0.078  -0.823 -0.138  -0.738 -0.319  -0.701 -0.520  -0.701 -0.736  -0.652 -0.941  -0.579 -1.140  -0.514 -1.080  -0.417 -0.886  -0.320 -0.693  -0.223 -0.499  -0.127 -0.306  -0.030 -0.113  0.067 0.081  0.163 0.274  0.260 0.468  0.357 0.661  0.454 0.855  0.550 1.048  0.647 1.241  0.744 1.435  0.885 1.354  0.793 1.231  0.699 1.109  0.529 0.997  0.439 0.865  0.360 0.706  0.189 0.578  0.003 0.471  -0.149 0.318  -0.340 0.255  -0.556 0.255  -0.457 0.183  -0.383 -0.015  -0.258 -0.189  -0.077 -0.261  0.020 -0.454  0.166 -0.612  0.319 -0.765  0.472 -0.918  0.625 -1.071  0.728 -1.260  0.892 -1.344  0.989 -1.537  1.130 -1.698
2#apa#apa00#app0029/Y  -0.985 1.056  -0.985 0.900  -0.985 0.744  -0.958 0.599  -0.878 0.476  -0.878 0.320  -0.778 0.205  -0.668 0.094  -0.621 -0.018  -0.556 -0.109  -0.457 -0.224  -0.304 -0.233  -0.148 -0.233  -0.019 -0.206  0.057 -0.125  0.101 -0.006  0.211 0.104  0.322 0.215  0.411 0.334  0.489 0.412  0.532 0.533  0.643 0.644  0.733 0.762  0.768 0.910  0.838 1.050  0.946 1.162  1.030 1.125  0.943 0.995  0.857 0.865  0.770 0.735  0.683 0.605  0.597 0.475  0.510 0.345  0.423 0.216  0.337 0.086  0.250 -0.044  0.164 -0.174  0.077 -0.304  -0.010 -0.434  -0.096 -0.564  -0.183 -0.694  -0.233 -0.835  -0.233 -0.991  -0.273 -1.131  -0.341 -1.259  -0.418 -1.384  -0.448 -1.527  -0.448 -1.683  -0.448 -1.839  -0.341 -1.951
2#apa#apa00#app0029/J  0.391 0.833  0.331 0.732  0.276 0.618  0.190 0.494  0.190 0.333  0.149 0.190  0.090 0.055  0.090 -0.106  0.090 -0.266  0.090 -0.426  0.173 -0.552  0.190 -0.705  0.190 -0.865  0.290 -0.984  0.290 -1.144  0.290 -1.304  0.290 -1.464  0.137 -1.471  0.077 -1.371  -0.010 -1.297  -0.110 -1.237  -0.176 -1.104  -0.310 -1.059  -0.382 -0.970  -0.439 -0.856  -0.582 -0.784  -0.611 -0.642  -0.611 -0.482  -0.611 -0.321  -0.611 -0.161  -0.611 -0.001  -0.611 0.159  -0.611 0.319  -0.611 0.479  -0.611 0.640  -0.611 0.800  -0.611 0.960  -0.549 0.971  -0.405 0.933  -0.245 0.933  -0.087 0.944  0.056 1.016  0.212 1.033  0.372 1.033  0.533 1.033  0.693 1.033  0.853 1.033  1.013 1.033  1.173 1.033  1.292 0.933
2#apa#apa00#app0029/U  -0.740 1.109  -0.843 1.109  -0.862 1.024  -0.909 0.941  -0.981 0.868  -0.983 0.766  -0.983 0.663  -0.983 0.559  -0.983 0.456  -0.983 0.353  -0.983 0.250  -0.983 0.147  -0.941 0.054  -0.895 -0.038  -0.841 -0.125  -0.768 -0.198  -0.695 -0.270  -0.622 -0.343  -0.550 -0.416  -0.477 -0.489  -0.404 -0.562  -0.331 -0.635  -0.258 -0.708  -0.156 -0.711  -0.077 -0.768  -0.001 -0.832  0.102 -0.832  0.205 -0.832  0.309 -0.832  0.394 -0.790  0.467 -0.717  0.557 -0.669  0.650 -0.623  0.716 -0.560  0.723 -0.461  0.796 -0.388  0.869 -0.315  0.942 -0.242  0.958 -0.146  0.958 -0.043  0.958 0.060  0.958 0.163  0.958 0.267  0.958 0.370  0.958 0.473  0.958 0.576  0.958 0.679  0.958 0.782  0.958 0.885  0.958 0.988
2#apa#apa00#app0029/I  0.176 0.779  0.294 0.687  0.294 0.478  0.183 0.314  0.176 0.108  0.176 -0.102  0.176 -0.311  0.176 -0.521  0.176 -0.730  0.226 -0.919  0.294 -1.100  0.379 -1.024  0.301 -0.829  0.224 -0.635  0.146 -0.441  0.068 -0.246  -0.010 -0.052  -0.087 0.143  -0.165 0.337  -0.243 0.532  -0.321 0.726  -0.399 0.921  -0.476 1.115  -0.466 1.250  -0.257 1.250  -0.085 1.342  0.113 1.368  0.323 1.368  0.532 1.368  0.742 1.368  0.670 1.207  0.563 1.027  0.457 0.846  0.350 0.666  0.244 0.486  0.137 0.306  0.031 0.125  -0.076 -0.055  -0.182 -0.235  -0.289 -0.416  -0.395 -0.596  -0.502 -0.776  -0.609 -0.956  -0.715 -1.137  -0.766 -1.332  -0.706 -1.517  -0.521 -1.576  -0.312 -1.576  -0.102 -1.576  0.058 -1.458
2#apa#apa00#app0029/C  0.609 1.298  0.525 1.298  0.448 1.281  0.388 1.221  0.328 1.161  0.246 1.155  0.162 1.155  0.077 1.155  0.005 1.125  -0.055 1.066  -0.114 1.006  -0.174 0.946  -0.234 0.886  -0.294 0.827  -0.354 0.767  -0.413 0.707  -0.473 0.647  -0.533 0.588  -0.541 0.506  -0.541 0.422  -0.541 0.337  -0.541 0.253  -0.541 0.168  -0.541 0.084  -0.541 -0.001  -0.541 -0.085  -0.520 -0.161  -0.460 -0.221  -0.400 -0.280  -0.340 -0.340  -0.280 -0.400  -0.221 -0.460  -0.161 -0.519  -0.101 -0.579  -0.041 -0.639  0.018 -0.699  0.078 -0.758  0.138 -0.818  0.198 -0.878  0.257 -0.938  0.317 -0.997  0.377 -1.057  0.437 -1.117  0.496 -1.177  0.556 -1.236  0.619 -1.290  0.703 -1.290  0.778 -1.314  0.837 -1.374  0.897 -1.434
2#apa#apa00#app0029/E  -0.746 0.979  -0.746 0.744  -0.746 0.509  -0.746 0.275  -0.746 0.040  -0.746 -0.194  -0.746 -0.429  -0.746 -0.664  -0.746 -0.898  -0.746 -1.133  -0.610 -1.155  -0.473 -1.058  -0.238 -1.058  -0.004 -1.058  0.231 -1.058  0.466 -1.058  0.700 -1.058  0.935 -1.058  1.169 -1.058  1.195 -0.996  0.998 -0.870  0.800 -0.743  0.603 -0.616  0.406 -0.489  0.208 -0.362  0.011 -0.235  -0.186 -0.108  -0.384 0.019  -0.581 0.145  -0.410 0.164  -0.175 0.164  0.059 0.164  0.294 0.164  0.529 0.164  0.734 0.173  0.536 0.298  0.338 0.424  0.141 0.550  -0.057 0.676  -0.255 0.802  -0.453 0.928  -0.651 1.054  -0.623 1.114  -0.389 1.114  -0.154 1.114  0.081 1.114  0.315 1.114  0.550 1.114  0.784 1.114  1.019 1.114
