2#tos#t1#t1057066/#  -0.694 0.586  -0.758 0.213  -0.718 0.084  -0.385 0.271  0.031 0.285  0.438 0.335  0.673 0.296  0.289 0.129  -0.094 -0.039  -0.478 -0.207  -0.851 -0.385  -0.950 -0.774  -0.862 -0.869  -0.449 -0.819  -0.053 -0.724  0.353 -0.669  0.709 -0.568  1.120 -0.518  1.448 -0.448  1.191 -0.117  0.935 0.214  0.678 0.545  0.421 0.876  0.165 1.207  -0.092 1.538  -0.410 1.439  -0.393 1.104  -0.393 0.685  -0.393 0.266  -0.393 -0.152  -0.393 -0.571  -0.393 -0.990  -0.443 -1.401  -0.490 -1.812  -0.426 -1.623  -0.334 -1.215  -0.242 -0.806  -0.150 -0.398  -0.058 0.011  0.034 0.419  0.126 0.828  0.218 1.236  0.304 1.639  0.259 1.366  0.309 0.968  0.309 0.549  0.309 0.130  0.309 -0.289  0.309 -0.707  0.359 -1.120
2#tos#t1#t1057066/`  -0.689 1.347  -0.772 1.347  -0.855 1.347  -0.857 1.266  -0.857 1.184  -0.857 1.101  -0.857 1.018  -0.823 0.943  -0.786 0.869  -0.749 0.795  -0.712 0.721  -0.657 0.676  -0.574 0.676  -0.491 0.676  -0.408 0.676  -0.341 0.651  -0.304 0.577  -0.267 0.503  -0.230 0.429  -0.193 0.355  -0.156 0.281  -0.119 0.207  -0.082 0.133  -0.045 0.059  -0.008 -0.015  0.029 -0.089  0.066 -0.163  0.103 -0.237  0.140 -0.311  0.211 -0.330  0.294 -0.330  0.377 -0.330  0.459 -0.330  0.485 -0.387  0.485 -0.470  0.485 -0.553  0.485 -0.636  0.485 -0.718  0.485 -0.801  0.508 -0.879  0.545 -0.953  0.582 -1.027  0.619 -1.101  0.659 -1.169  0.742 -1.169  0.825 -1.169  0.908 -1.169  0.986 -1.169  0.903 -1.169  0.821 -1.169
2#tos#t1#t1057066/{  0.758 1.502  0.665 1.455  0.562 1.453  0.458 1.453  0.354 1.453  0.264 1.432  0.216 1.340  0.158 1.254  0.080 1.207  0.047 1.109  -0.009 1.025  -0.015 0.924  -0.015 0.820  -0.058 0.734  -0.063 0.632  -0.015 0.577  0.033 0.522  0.033 0.418  0.058 0.329  0.153 0.294  0.178 0.215  0.178 0.111  0.149 0.012  0.086 -0.045  0.011 -0.115  -0.062 -0.188  -0.165 -0.190  -0.269 -0.190  -0.373 -0.190  -0.402 -0.265  -0.484 -0.286  -0.409 -0.286  -0.306 -0.286  -0.298 -0.383  -0.208 -0.397  -0.208 -0.500  -0.208 -0.604  -0.208 -0.708  -0.208 -0.812  -0.208 -0.915  -0.208 -1.019  -0.208 -1.123  -0.193 -1.220  -0.119 -1.293  -0.080 -1.381  -0.041 -1.468  0.032 -1.542  0.116 -1.591  0.178 -1.632  0.275 -1.639
2#tos#t1#t1057066/0  0.357 0.932  0.207 0.932  0.058 0.932  -0.042 0.881  -0.176 0.814  -0.236 0.701  -0.330 0.591  -0.335 0.443  -0.472 0.392  -0.483 0.251  -0.483 0.102  -0.616 0.048  -0.631 -0.091  -0.708 -0.193  -0.730 -0.329  -0.730 -0.478  -0.730 -0.628  -0.730 -0.777  -0.730 -0.927  -0.693 -1.068  -0.582 -1.153  -0.524 -1.250  -0.401 -1.332  -0.253 -1.340  -0.104 -1.340  0.046 -1.340  0.168 -1.262  0.258 -1.158  0.318 -1.033  0.406 -0.920  0.406 -0.770  0.495 -0.658  0.517 -0.514  0.554 -0.371  0.554 -0.221  0.604 -0.083  0.604 0.066  0.604 0.216  0.604 0.365  0.604 0.515  0.604 0.664  0.604 0.814  0.604 0.963  0.580 1.103  0.505 1.221  0.362 1.228  0.212 1.228  0.112 1.278  -0.037 1.278  -0.187 1.278
2#tos#t1#t1057066/2  -0.303 0.861  -0.435 0.861  -0.567 0.861  -0.513 0.938  -0.484 1.063  -0.430 1.166  -0.348 1.254  -0.236 1.300  -0.107 1.311  0.025 1.311  0.157 1.311  0.282 1.304  0.326 1.199  0.417 1.141  0.472 1.031  0.507 0.914  0.507 0.782  0.507 0.650  0.507 0.518  0.507 0.386  0.507 0.254  0.479 0.129  0.462 0.001  0.371 -0.040  0.327 -0.128  0.219 -0.202  0.093 -0.220  -0.016 -0.263  -0.078 -0.376  -0.096 -0.491  -0.210 -0.549  -0.325 -0.614  -0.382 -0.726  -0.461 -0.828  -0.580 -0.868  -0.708 -0.896  -0.754 -0.982  -0.761 -1.031  -0.629 -1.031  -0.497 -1.031  -0.365 -1.031  -0.233 -1.031  -0.101 -1.031  0.031 -1.031  0.163 -1.031  0.295 -1.031  0.427 -1.031  0.559 -1.031  0.691 -1.031  0.778 -0.986
2#tos#t1#t1057066/3  -0.401 0.961  -0.562 0.961  -0.634 1.012  -0.503 1.095  -0.367 1.180  -0.213 1.214  -0.052 1.214  0.110 1.214  0.220 1.163  0.382 1.163  0.458 1.078  0.553 1.012  0.658 0.937  0.711 0.808  0.812 0.748  0.812 0.587  0.784 0.444  0.634 0.385  0.509 0.295  0.446 0.172  0.307 0.135  0.179 0.102  0.058 0.005  -0.097 -0.033  -0.255 -0.050  -0.385 -0.050  -0.223 -0.050  -0.062 -0.050  0.049 0.001  0.210 0.001  0.338 -0.081  0.458 -0.163  0.458 -0.324  0.458 -0.485  0.458 -0.647  0.413 -0.797  0.338 -0.928  0.256 -1.027  0.141 -1.111  -0.014 -1.151  -0.174 -1.161  -0.312 -1.237  -0.466 -1.262  -0.628 -1.262  -0.785 -1.247  -0.856 -1.129  -0.957 -1.069  -0.958 -0.908  -1.098 -0.858  -1.209 -0.808
2#tos#t1#t1057066/5  -0.192 1.159  -0.270 0.990  -0.282 0.802  -0.282 0.609  -0.282 0.416  -0.282 0.223  -0.282 0.030  -0.328 -0.118  -0.282 -0.131  -0.112 -0.108  0.043 -0.017  0.217 0.028  0.410 0.028  0.554 -0.040  0.622 -0.218  0.745 -0.288  0.758 -0.469  0.758 -0.662  0.758 -0.855  0.713 -1.037  0.615 -1.193  0.467 -1.238  0.319 -1.284  0.137 -1.329  -0.056 -1.329  -0.237 -1.341  -0.397 -1.374  -0.543 -1.317  -0.637 -1.198  -0.604 -1.008  -0.570 -0.818  -0.537 -0.628  -0.504 -0.437  -0.470 -0.247  -0.437 -0.057  -0.404 0.133  -0.370 0.323  -0.337 0.513  -0.304 0.703  -0.270 0.893  -0.237 1.083  -0.203 1.274  -0.282 1.305  -0.150 1.228  0.037 1.202  0.212 1.159  0.405 1.159  0.598 1.159  0.791 1.159  0.984 1.159
2#tos#t1#t1057066/7  -0.730 0.664  -0.864 0.615  -0.864 0.469  -0.819 0.342  -0.774 0.215  -0.774 0.069  -0.685 -0.021  -0.685 -0.167  -0.665 -0.058  -0.642 0.086  -0.620 0.230  -0.597 0.374  -0.574 0.518  -0.552 0.662  -0.695 0.664  -0.840 0.664  -0.742 0.664  -0.596 0.664  -0.450 0.664  -0.305 0.664  -0.159 0.664  -0.013 0.665  0.125 0.709  0.271 0.709  0.417 0.709  0.562 0.709  0.708 0.706  0.846 0.664  0.992 0.664  0.975 0.575  0.922 0.481  0.864 0.353  0.770 0.243  0.690 0.128  0.662 -0.015  0.636 -0.149  0.541 -0.246  0.487 -0.381  0.424 -0.512  0.387 -0.649  0.387 -0.795  0.345 -0.934  0.281 -1.065  0.253 -1.204  0.253 -1.349  0.253 -1.495  0.188 -1.601  0.126 -1.725  0.119 -1.870  0.163 -1.971
2#tos#t1#t1057066/9  0.550 0.414  0.600 0.556  0.651 0.699  0.651 0.891  0.600 1.075  0.449 1.117  0.277 1.167  0.085 1.167  -0.108 1.167  -0.250 1.117  -0.431 1.089  -0.567 0.953  -0.655 0.797  -0.766 0.715  -0.906 0.604  -0.953 0.440  -1.006 0.281  -1.030 0.092  -1.056 -0.096  -1.006 -0.268  -0.924 -0.434  -0.781 -0.514  -0.600 -0.540  -0.407 -0.540  -0.215 -0.540  -0.039 -0.513  0.108 -0.440  0.150 -0.289  0.199 -0.145  0.379 -0.093  0.400 0.083  0.450 0.255  0.487 0.439  0.500 0.628  0.550 0.660  0.550 0.467  0.550 0.274  0.550 0.082  0.450 -0.069  0.395 -0.249  0.349 -0.430  0.349 -0.623  0.349 -0.816  0.257 -0.980  0.242 -1.169  0.199 -1.357  0.199 -1.549  0.076 -1.676  0.048 -1.854  0.048 -2.046
2#tos#t1#t1057066/B  -0.124 1.211  -0.322 1.157  -0.256 0.910  -0.256 0.623  -0.256 0.336  -0.325 0.065  -0.400 -0.211  -0.431 -0.495  -0.431 -0.783  -0.475 -1.059  -0.563 -1.326  -0.514 -1.447  -0.487 -1.161  -0.461 -0.875  -0.434 -0.589  -0.408 -0.303  -0.382 -0.017  -0.355 0.269  -0.329 0.555  -0.302 0.841  -0.276 1.127  -0.300 1.317  -0.118 1.299  0.169 1.299  0.430 1.211  0.702 1.174  0.917 1.071  0.928 0.785  0.768 0.597  0.507 0.509  0.314 0.416  0.075 0.334  -0.212 0.334  -0.423 0.211  -0.420 0.115  -0.220 0.202  0.067 0.202  0.308 0.127  0.572 0.077  0.795 -0.015  0.928 -0.222  0.972 -0.465  0.884 -0.698  0.750 -0.939  0.514 -1.089  0.310 -1.289  0.030 -1.333  -0.243 -1.392  -0.479 -1.375  -0.739 -1.289
2#tos#t1#t1057066/C  0.755 0.626  0.674 0.546  0.674 0.662  0.674 0.778  0.674 0.894  0.656 0.992  0.581 1.033  0.552 1.120  0.487 1.195  0.371 1.195  0.255 1.195  0.149 1.156  0.037 1.132  -0.017 1.055  -0.087 0.988  -0.139 0.888  -0.237 0.870  -0.261 0.778  -0.333 0.700  -0.387 0.611  -0.415 0.499  -0.480 0.407  -0.531 0.306  -0.554 0.194  -0.593 0.084  -0.640 -0.022  -0.668 -0.133  -0.668 -0.249  -0.668 -0.365  -0.668 -0.481  -0.668 -0.597  -0.668 -0.713  -0.668 -0.829  -0.610 -0.919  -0.544 -1.001  -0.434 -1.037  -0.328 -1.081  -0.212 -1.081  -0.096 -1.081  0.009 -1.107  0.119 -1.122  0.235 -1.122  0.347 -1.096  0.420 -1.041  0.500 -0.983  0.552 -0.879  0.661 -0.842  0.715 -0.775  0.761 -0.675  0.715 -0.675
2#tos#t1#t1057066/D  -0.213 1.196  -0.339 1.116  -0.372 0.943  -0.372 0.738  -0.372 0.532  -0.390 0.329  -0.411 0.126  -0.422 -0.078  -0.478 -0.275  -0.530 -0.474  -0.530 -0.680  -0.574 -0.878  -0.610 -1.078  -0.610 -1.283  -0.610 -1.198  -0.593 -0.993  -0.570 -0.789  -0.547 -0.585  -0.525 -0.380  -0.502 -0.176  -0.479 0.028  -0.457 0.232  -0.434 0.437  -0.411 0.641  -0.388 0.845  -0.372 1.050  -0.253 1.160  -0.084 1.193  0.117 1.156  0.281 1.094  0.475 1.042  0.618 0.918  0.779 0.818  0.846 0.680  0.977 0.552  1.078 0.381  1.173 0.209  1.215 0.043  1.215 -0.162  1.176 -0.328  1.031 -0.442  0.854 -0.514  0.709 -0.659  0.543 -0.768  0.359 -0.848  0.206 -0.947  0.004 -0.967  -0.199 -0.986  -0.404 -0.986  -0.610 -0.986
2#tos#t1#t1057066/E  -0.600 1.120  -0.715 0.968  -0.522 1.004  -0.300 1.058  -0.072 1.082  0.146 1.108  0.347 1.169  0.574 1.197  0.808 1.197  0.920 1.193  0.686 1.177  0.453 1.161  0.219 1.145  -0.014 1.129  -0.171 1.043  -0.330 0.914  -0.330 0.679  -0.407 0.463  -0.407 0.229  -0.407 -0.005  -0.407 -0.239  -0.446 -0.464  -0.446 -0.698  -0.446 -0.933  -0.446 -1.167  -0.483 -1.102  -0.458 -0.869  -0.433 -0.636  -0.408 -0.403  -0.383 -0.171  -0.446 -0.059  -0.227 -0.075  -0.032 -0.037  0.202 -0.037  0.437 -0.037  0.502 -0.049  0.329 -0.207  0.156 -0.365  -0.017 -0.523  -0.190 -0.681  -0.375 -0.808  -0.407 -1.010  -0.241 -1.078  -0.006 -1.078  0.228 -1.078  0.462 -1.078  0.696 -1.078  0.930 -1.078  1.145 -1.030  1.328 -0.962
2#tos#t1#t1057066/F  -0.624 0.898  -0.696 0.713  -0.679 0.663  -0.477 0.663  -0.299 0.741  -0.097 0.741  0.105 0.741  0.307 0.741  0.509 0.741  0.697 0.813  0.889 0.859  1.091 0.859  1.293 0.859  1.102 0.864  0.900 0.869  0.698 0.874  0.496 0.879  0.294 0.885  0.093 0.890  -0.109 0.895  -0.310 0.897  -0.385 0.709  -0.432 0.594  -0.428 0.393  -0.428 0.191  -0.428 -0.011  -0.428 -0.213  -0.428 -0.415  -0.428 -0.617  -0.428 -0.819  -0.428 -1.021  -0.428 -1.223  -0.425 -1.424  -0.388 -1.620  -0.388 -1.638  -0.388 -1.436  -0.388 -1.234  -0.388 -1.032  -0.388 -0.830  -0.388 -0.628  -0.388 -0.426  -0.428 -0.530  -0.249 -0.553  -0.051 -0.538  0.131 -0.475  0.333 -0.475  0.535 -0.475  0.737 -0.475  0.939 -0.475  1.063 -0.396
2#tos#t1#t1057066/G  0.568 0.715  0.568 0.934  0.441 1.036  0.290 1.188  0.136 1.315  -0.077 1.352  -0.294 1.340  -0.500 1.296  -0.676 1.175  -0.816 1.017  -0.919 0.827  -1.003 0.626  -1.081 0.426  -1.081 0.207  -1.053 -0.007  -1.006 -0.218  -0.997 -0.435  -0.931 -0.640  -0.825 -0.815  -0.765 -1.016  -0.600 -1.120  -0.381 -1.120  -0.168 -1.083  0.043 -1.044  0.173 -0.933  0.228 -0.773  0.178 -0.560  0.128 -0.347  0.079 -0.134  0.029 0.079  -0.021 0.292  -0.158 0.286  -0.174 0.153  0.045 0.153  0.264 0.153  0.482 0.153  0.701 0.153  0.920 0.153  1.138 0.153  1.052 0.163  0.834 0.177  0.616 0.190  0.530 0.058  0.530 -0.161  0.567 -0.370  0.568 -0.589  0.568 -0.808  0.605 -1.020  0.605 -1.239  0.642 -1.345
2#tos#t1#t1057066/I  -0.241 1.147  -0.362 1.090  -0.486 1.040  -0.429 1.026  -0.362 0.959  -0.242 0.945  -0.108 0.945  0.026 0.945  0.160 0.945  0.253 1.020  0.362 1.066  0.490 1.106  0.509 1.113  0.376 1.127  0.243 1.142  0.109 1.147  0.001 1.121  0.001 0.987  0.001 0.853  0.001 0.719  0.001 0.585  0.042 0.461  0.042 0.327  0.042 0.193  0.042 0.060  0.042 -0.074  0.042 -0.208  0.042 -0.342  0.042 -0.476  0.026 -0.603  0.001 -0.727  -0.068 -0.807  -0.197 -0.839  -0.327 -0.872  -0.457 -0.904  -0.587 -0.936  -0.697 -1.004  -0.670 -1.072  -0.536 -1.072  -0.403 -1.072  -0.269 -1.072  -0.138 -1.092  -0.008 -1.112  0.126 -1.112  0.260 -1.112  0.394 -1.112  0.527 -1.112  0.661 -1.112  0.795 -1.112  0.929 -1.112
2#tos#t1#t1057066/K  -0.336 1.664  -0.510 1.620  -0.555 1.413  -0.555 1.195  -0.555 0.977  -0.555 0.759  -0.555 0.541  -0.555 0.322  -0.555 0.104  -0.581 -0.112  -0.599 -0.328  -0.599 -0.546  -0.599 -0.765  -0.599 -0.983  -0.599 -1.201  -0.636 -1.260  -0.532 -1.068  -0.427 -0.876  -0.323 -0.685  -0.219 -0.493  -0.115 -0.301  -0.011 -0.110  0.094 0.082  0.198 0.273  0.302 0.465  0.406 0.657  0.510 0.848  0.615 1.040  0.716 1.218  0.640 1.050  0.492 0.919  0.377 0.763  0.216 0.621  0.082 0.472  -0.029 0.316  -0.205 0.195  -0.379 0.065  -0.448 -0.089  -0.336 -0.196  -0.187 -0.265  0.006 -0.344  0.173 -0.467  0.309 -0.635  0.508 -0.670  0.662 -0.824  0.848 -0.925  0.974 -1.053  1.192 -1.053  1.373 -1.142  1.461 -1.185
