2#apa#apa01#app0165/o  -0.938 0.847  -0.938 0.693  -0.938 0.538  -0.938 0.384  -0.938 0.230  -0.938 0.075  -0.938 -0.079  -0.938 -0.233  -0.938 -0.388  -0.898 -0.502  -0.744 -0.503  -0.635 -0.612  -0.552 -0.733  -0.552 -0.887  -0.398 -0.888  -0.278 -0.969  -0.169 -1.078  -0.015 -1.080  0.139 -1.080  0.219 -1.005  0.255 -0.888  0.410 -0.888  0.564 -0.888  0.718 -0.888  0.797 -0.812  0.823 -0.668  0.932 -0.559  0.990 -0.429  0.990 -0.274  0.990 -0.120  0.990 0.034  0.877 0.076  0.797 0.150  0.797 0.305  0.797 0.459  0.645 0.462  0.604 0.575  0.529 0.654  0.412 0.691  0.412 0.845  0.259 0.847  0.219 0.961  0.143 1.040  -0.011 1.040  -0.166 1.040  -0.320 1.040  -0.475 1.040  -0.552 0.963  -0.552 0.809  -0.552 0.654
2#apa#apa01#app0165/P  -0.943 1.198  -0.792 1.047  -0.641 0.896  -0.584 0.706  -0.466 0.541  -0.404 0.352  -0.404 0.139  -0.404 -0.075  -0.404 -0.289  -0.345 -0.478  -0.225 -0.642  -0.225 -0.856  -0.225 -1.069  -0.122 -1.241  -0.045 -1.422  -0.045 -1.636  -0.092 -1.511  -0.151 -1.305  -0.210 -1.100  -0.268 -0.894  -0.327 -0.689  -0.386 -0.483  -0.445 -0.278  -0.503 -0.072  -0.562 0.133  -0.621 0.339  -0.680 0.544  -0.738 0.750  -0.642 0.839  -0.428 0.839  -0.270 0.973  -0.075 1.018  0.139 1.018  0.352 1.018  0.566 1.018  0.749 0.943  0.919 0.839  1.033 0.739  1.128 0.564  1.213 0.386  1.213 0.172  1.213 -0.042  1.075 -0.198  1.033 -0.395  0.844 -0.419  0.631 -0.419  0.417 -0.419  0.203 -0.419  -0.011 -0.419  -0.045 -0.240
2#apa#apa01#app0165/O  -0.145 0.919  -0.245 0.818  -0.306 0.701  -0.344 0.596  -0.487 0.596  -0.628 0.596  -0.628 0.453  -0.717 0.347  -0.790 0.235  -0.790 0.092  -0.791 -0.049  -0.934 -0.049  -0.951 -0.174  -0.951 -0.317  -0.951 -0.459  -0.902 -0.582  -0.801 -0.682  -0.790 -0.820  -0.682 -0.855  -0.539 -0.855  -0.417 -0.905  -0.317 -1.005  -0.178 -1.016  -0.036 -1.016  0.107 -1.016  0.249 -1.016  0.392 -1.016  0.500 -0.982  0.516 -0.855  0.658 -0.855  0.760 -0.757  0.823 -0.640  0.823 -0.498  0.823 -0.355  0.823 -0.213  0.823 -0.070  0.823 0.073  0.823 0.215  0.823 0.358  0.777 0.481  0.676 0.582  0.662 0.719  0.589 0.831  0.488 0.932  0.387 1.032  0.339 1.155  0.283 1.242  0.178 1.279  0.159 1.403  0.017 1.403
2#apa#apa01#app0165/W  -1.574 0.736  -1.443 0.707  -1.402 0.564  -1.289 0.451  -1.181 0.337  -1.156 0.187  -1.050 0.072  -1.050 -0.088  -0.983 -0.181  -0.919 -0.277  -0.795 -0.312  -0.788 -0.465  -0.752 -0.610  -0.657 -0.730  -0.603 -0.836  -0.526 -0.754  -0.447 -0.627  -0.395 -0.489  -0.395 -0.329  -0.294 -0.211  -0.264 -0.064  -0.253 0.091  -0.140 0.204  -0.115 0.343  -0.002 0.389  -0.002 0.399  0.102 0.343  0.129 0.210  0.129 0.051  0.171 -0.092  0.260 -0.215  0.260 -0.374  0.351 -0.443  0.391 -0.563  0.539 -0.574  0.699 -0.574  0.859 -0.574  0.915 -0.471  1.046 -0.442  1.046 -0.283  1.046 -0.123  1.108 0.011  1.177 0.142  1.177 0.302  1.177 0.461  1.177 0.621  1.177 0.781  1.177 0.941  1.177 1.100  1.177 1.260
2#apa#apa01#app0165/*  0.028 0.755  0.028 0.733  0.028 0.350  0.028 -0.032  0.028 -0.414  0.158 -0.766  0.209 -1.137  0.320 -1.407  0.301 -1.127  0.049 -0.839  -0.203 -0.551  -0.454 -0.264  -0.706 0.024  -0.742 0.214  -0.360 0.214  -0.052 0.034  0.330 0.034  0.638 -0.146  1.020 -0.146  1.290 -0.034  1.470 0.169  1.470 0.551  1.291 0.755  1.089 0.574  0.749 0.532  0.504 0.394  0.302 0.214  -0.005 0.034  -0.208 -0.146  -0.410 -0.326  -0.717 -0.507  -0.920 -0.687  -1.222 -0.618  -1.164 -0.240  -1.106 0.137  -1.048 0.515  -0.990 0.893  -0.932 1.271  -0.873 1.649  -0.607 1.390  -0.464 1.067  -0.316 0.755  -0.152 0.537  0.028 0.334  0.028 -0.048  0.209 -0.250  0.345 -0.600  0.389 -0.972  0.569 -1.280  0.749 -1.588
2#apa#apa01#app0165/,  -0.595 1.485  -0.595 1.400  -0.595 1.316  -0.595 1.231  -0.566 1.176  -0.481 1.176  -0.396 1.176  -0.311 1.176  -0.285 1.117  -0.285 1.032  -0.285 0.947  -0.282 0.866  -0.197 0.866  -0.112 0.866  -0.028 0.866  0.024 0.833  0.024 0.748  0.024 0.663  0.024 0.579  0.024 0.494  0.024 0.409  0.024 0.324  0.024 0.240  0.024 0.155  0.024 0.070  0.024 -0.015  0.050 -0.089  0.110 -0.149  0.170 -0.209  0.230 -0.269  0.290 -0.329  0.334 -0.395  0.334 -0.480  0.334 -0.565  0.334 -0.649  0.334 -0.734  0.334 -0.819  0.334 -0.904  0.334 -0.988  0.334 -1.073  0.334 -1.158  0.334 -1.243  0.308 -1.302  0.223 -1.302  0.138 -1.302  0.054 -1.302  0.024 -1.357  0.024 -1.442  0.024 -1.526  0.024 -1.611
2#apa#apa01#app0165/*  0.050 1.265  0.206 0.938  0.050 0.610  0.050 0.218  0.050 -0.174  0.050 -0.567  0.050 -0.959  0.182 -1.220  -0.011 -0.922  -0.241 -0.605  -0.472 -0.288  -0.703 0.029  -0.933 0.347  -0.976 0.333  -0.739 0.178  -0.347 0.178  -0.019 0.023  0.373 0.023  0.765 0.023  1.157 0.023  1.261 0.277  1.212 0.666  1.164 1.056  1.112 1.110  0.827 0.912  0.629 0.602  0.361 0.412  0.094 0.221  -0.098 -0.118  -0.416 -0.288  -0.653 -0.443  -0.981 -0.598  -1.192 -0.779  -1.160 -0.651  -1.045 -0.276  -0.930 0.098  -0.814 0.473  -0.699 0.848  -0.584 1.223  -0.389 1.084  -0.206 0.799  -0.105 0.509  0.050 0.272  0.152 -0.078  0.209 -0.447  0.377 -0.769  0.556 -1.064  0.757 -1.305  0.827 -1.668  1.138 -1.530
2#apa#apa01#app0165/K  -0.831 1.195  -0.672 1.125  -0.672 0.897  -0.672 0.668  -0.672 0.440  -0.696 0.221  -0.831 0.048  -0.831 -0.180  -0.831 -0.409  -0.742 -0.549  -0.672 -0.708  -0.672 -0.936  -0.672 -1.165  -0.514 -1.131  -0.514 -0.903  -0.442 -0.688  -0.358 -0.475  -0.273 -0.263  -0.188 -0.051  -0.103 0.161  -0.018 0.374  0.067 0.586  0.152 0.798  0.237 1.010  0.322 1.223  0.406 1.435  0.438 1.368  0.438 1.139  0.438 0.911  0.279 0.841  0.203 0.644  0.041 0.482  -0.120 0.320  -0.282 0.159  -0.355 -0.040  -0.477 -0.073  -0.249 -0.073  -0.020 -0.073  0.209 -0.073  0.437 -0.073  0.596 -0.143  0.736 -0.232  0.755 -0.441  0.876 -0.549  0.913 -0.740  1.016 -0.866  1.072 -1.039  1.131 -1.243  1.230 -1.430  1.389 -1.500
2#apa#apa01#app0165/E  -0.839 1.223  -0.684 1.133  -0.503 1.068  -0.258 1.068  -0.013 1.068  0.232 1.068  0.477 1.068  0.722 1.068  0.758 1.048  0.518 1.000  0.278 0.952  0.038 0.904  -0.203 0.856  -0.443 0.808  -0.683 0.759  -0.595 0.605  -0.530 0.425  -0.530 0.180  -0.530 -0.065  -0.672 -0.168  -0.684 -0.401  -0.684 -0.646  -0.684 -0.891  -0.490 -0.941  -0.245 -0.941  0.000 -0.941  0.091 -1.096  0.336 -1.096  0.581 -1.096  0.791 -1.180  1.007 -1.250  1.252 -1.250  1.311 -1.086  1.105 -0.954  0.899 -0.821  0.693 -0.689  0.486 -0.556  0.280 -0.424  0.074 -0.291  -0.132 -0.159  -0.338 -0.026  -0.544 0.106  -0.750 0.239  -0.740 0.197  -0.518 0.141  -0.375 0.039  -0.183 -0.014  0.062 -0.014  0.307 -0.014  0.552 -0.014
2#apa#apa01#app0165/R  -0.363 1.210  -0.363 0.950  -0.350 0.703  -0.194 0.601  -0.194 0.341  -0.194 0.082  -0.194 -0.177  -0.194 -0.436  -0.194 -0.696  -0.194 -0.955  -0.194 -1.214  -0.194 -1.473  -0.217 -1.250  -0.299 -1.005  -0.381 -0.759  -0.463 -0.513  -0.545 -0.267  -0.627 -0.021  -0.709 0.225  -0.791 0.471  -0.873 0.717  -0.955 0.963  -1.037 1.209  -0.779 1.210  -0.520 1.210  -0.260 1.210  -0.001 1.210  0.258 1.210  0.457 1.065  0.690 1.001  0.818 0.795  0.818 0.535  0.818 0.276  0.650 0.186  0.547 0.029  0.312 0.004  0.197 -0.140  -0.002 -0.285  -0.251 -0.309  -0.258 -0.204  -0.025 -0.140  0.234 -0.140  0.324 -0.309  0.553 -0.381  0.650 -0.601  0.801 -0.797  0.818 -1.049  0.818 -1.309  0.896 -1.490  1.156 -1.490
2#apa#apa01#app0165/P  -0.532 0.850  -0.490 0.685  -0.367 0.603  -0.367 0.397  -0.367 0.191  -0.367 -0.015  -0.367 -0.220  -0.367 -0.426  -0.366 -0.631  -0.221 -0.777  -0.203 -0.975  -0.203 -1.181  -0.203 -1.387  -0.203 -1.592  -0.039 -1.634  0.020 -1.781  0.126 -1.681  0.092 -1.479  0.042 -1.279  -0.008 -1.080  -0.058 -0.880  -0.108 -0.681  -0.158 -0.481  -0.208 -0.282  -0.258 -0.082  -0.308 0.118  -0.358 0.317  -0.407 0.517  -0.457 0.716  -0.507 0.916  -0.427 1.014  -0.221 1.014  -0.180 1.178  0.026 1.178  0.231 1.178  0.437 1.178  0.479 1.343  0.619 1.278  0.726 1.178  0.783 1.030  0.783 0.825  0.783 0.619  0.783 0.413  0.783 0.208  0.619 0.166  0.572 -0.020  0.414 -0.137  0.208 -0.137  0.003 -0.137  -0.203 -0.137
2#apa#apa01#app0165/L  -0.111 1.735  -0.111 1.640  -0.111 1.546  -0.111 1.451  -0.111 1.356  -0.111 1.262  -0.111 1.167  -0.111 1.072  -0.176 1.044  -0.271 1.044  -0.283 0.961  -0.283 0.867  -0.283 0.772  -0.283 0.677  -0.283 0.583  -0.283 0.488  -0.283 0.394  -0.337 0.352  -0.431 0.352  -0.456 0.282  -0.456 0.188  -0.456 0.093  -0.456 -0.001  -0.456 -0.096  -0.456 -0.191  -0.456 -0.285  -0.456 -0.380  -0.456 -0.475  -0.456 -0.569  -0.456 -0.664  -0.383 -0.685  -0.288 -0.685  -0.193 -0.685  -0.099 -0.685  -0.004 -0.685  0.091 -0.685  0.185 -0.685  0.267 -0.717  0.334 -0.784  0.401 -0.850  0.492 -0.858  0.587 -0.858  0.681 -0.858  0.770 -0.874  0.836 -0.941  0.903 -1.008  0.988 -1.031  1.083 -1.031  1.178 -1.031  1.272 -1.031
2#apa#apa01#app0165/U  -0.728 1.120  -0.728 0.999  -0.728 0.877  -0.728 0.756  -0.728 0.634  -0.728 0.513  -0.810 0.474  -0.890 0.431  -0.890 0.310  -0.890 0.189  -0.890 0.067  -0.890 -0.054  -0.890 -0.176  -0.890 -0.297  -0.890 -0.419  -0.890 -0.540  -0.885 -0.657  -0.764 -0.657  -0.728 -0.743  -0.683 -0.819  -0.561 -0.819  -0.440 -0.819  -0.318 -0.819  -0.197 -0.819  -0.075 -0.819  0.046 -0.819  0.167 -0.819  0.275 -0.786  0.361 -0.700  0.403 -0.596  0.425 -0.496  0.546 -0.496  0.565 -0.393  0.627 -0.334  0.726 -0.312  0.726 -0.190  0.726 -0.069  0.771 0.034  0.857 0.120  0.888 0.229  0.888 0.350  0.888 0.472  0.888 0.593  0.967 0.635  1.049 0.674  1.049 0.796  1.049 0.917  1.049 1.039  1.009 1.120  0.888 1.120
2#apa#apa01#app0165/N  -0.722 0.857  -0.722 0.645  -0.722 0.433  -0.722 0.221  -0.722 0.008  -0.722 -0.204  -0.722 -0.416  -0.722 -0.629  -0.722 -0.841  -0.672 -1.003  -0.579 -1.123  -0.591 -0.958  -0.604 -0.746  -0.617 -0.534  -0.630 -0.322  -0.644 -0.110  -0.657 0.101  -0.670 0.313  -0.683 0.525  -0.697 0.737  -0.710 0.949  -0.710 1.131  -0.552 1.001  -0.436 0.904  -0.319 0.740  -0.260 0.571  -0.150 0.470  -0.130 0.265  -0.006 0.104  0.100 -0.001  0.137 -0.177  0.209 -0.360  0.280 -0.543  0.423 -0.612  0.530 -0.717  0.599 -0.860  0.709 -0.962  0.881 -1.003  0.995 -0.906  0.995 -0.693  0.995 -0.481  0.995 -0.269  0.995 -0.056  1.139 0.013  1.139 0.225  1.139 0.438  1.139 0.650  1.139 0.862  1.139 1.075  1.139 1.287
2#apa#apa01#app0165/K  -0.920 1.342  -0.920 1.132  -0.825 0.961  -0.777 0.771  -0.777 0.561  -0.777 0.350  -0.777 0.140  -0.777 -0.070  -0.640 -0.224  -0.634 -0.431  -0.634 -0.641  -0.634 -0.852  -0.516 -0.944  -0.492 -1.044  -0.447 -0.843  -0.363 -0.651  -0.279 -0.458  -0.195 -0.265  -0.110 -0.073  -0.026 0.120  0.058 0.312  0.142 0.505  0.227 0.698  0.311 0.890  0.395 1.083  0.479 1.275  0.412 1.245  0.364 1.055  0.223 0.903  0.168 0.716  0.019 0.567  -0.157 0.485  -0.219 0.329  -0.368 0.180  -0.492 0.021  -0.389 -0.087  -0.229 0.033  -0.028 0.056  0.152 -0.016  0.333 -0.087  0.491 -0.212  0.640 -0.361  0.688 -0.551  0.836 -0.700  0.937 -0.868  1.033 -1.039  1.181 -1.188  1.366 -1.238  1.441 -1.372  1.509 -1.515
2#apa#apa01#app0165/*  -0.210 1.263  -0.308 1.062  -0.173 0.740  -0.060 0.394  -0.060 0.022  -0.060 -0.350  -0.060 -0.722  -0.060 -1.094  -0.031 -1.000  -0.280 -0.724  -0.529 -0.447  -0.778 -0.171  -1.027 0.106  -1.234 0.364  -0.924 0.214  -0.552 0.214  -0.329 0.064  0.043 0.064  0.415 0.064  0.787 0.064  1.159 0.064  1.439 -0.028  1.473 0.030  1.210 0.293  0.947 0.557  0.684 0.820  0.421 1.083  0.240 0.934  0.090 0.624  -0.060 0.402  -0.296 0.128  -0.579 -0.086  -0.659 -0.378  -0.962 -0.535  -1.096 -0.612  -1.029 -0.246  -0.962 0.121  -0.896 0.487  -0.829 0.853  -0.582 0.886  -0.360 0.606  -0.161 0.316  0.090 0.136  0.240 -0.174  0.460 -0.455  0.617 -0.762  0.840 -1.042  1.119 -1.135  1.282 -1.428  1.589 -1.585
2#apa#apa01#app0165/.  -0.694 1.559  -0.662 1.496  -0.631 1.434  -0.599 1.371  -0.568 1.308  -0.536 1.245  -0.505 1.182  -0.474 1.119  -0.442 1.056  -0.411 0.993  -0.379 0.930  -0.348 0.867  -0.316 0.805  -0.285 0.742  -0.253 0.679  -0.222 0.616  -0.190 0.553  -0.159 0.490  -0.128 0.427  -0.096 0.364  -0.065 0.301  -0.033 0.238  -0.002 0.175  0.030 0.113  0.061 0.050  0.093 -0.013  0.124 -0.076  0.156 -0.139  0.187 -0.202  0.218 -0.265  0.250 -0.328  0.281 -0.391  0.313 -0.454  0.344 -0.517  0.371 -0.581  0.371 -0.651  0.371 -0.721  0.371 -0.792  0.371 -0.862  0.371 -0.932  0.371 -1.003  0.371 -1.073  0.371 -1.143  0.371 -1.214  0.371 -1.284  0.371 -1.354  0.371 -1.425  0.371 -1.495  0.371 -1.565  0.371 -1.636
