3#apa#apa00#app0000/b  -0.431 1.963  -0.431 1.778  -0.431 1.593  -0.431 1.409  -0.431 1.224  -0.431 1.039  -0.431 0.854  -0.431 0.670  -0.431 0.485  -0.431 0.300  -0.431 0.115  -0.431 -0.070  -0.431 -0.254  -0.431 -0.439  -0.431 -0.624  -0.431 -0.809  -0.431 -0.993  -0.460 -1.166  -0.493 -1.184  -0.431 -1.061  -0.431 -0.877  -0.431 -0.692  -0.431 -0.507  -0.369 -0.384  -0.320 -0.220  -0.245 -0.066  -0.190 0.096  -0.121 0.252  -0.032 0.405  0.051 0.570  0.192 0.684  0.302 0.825  0.437 0.919  0.561 0.962  0.620 0.791  0.623 0.607  0.685 0.448  0.747 0.289  0.747 0.104  0.809 -0.066  0.862 -0.242  0.871 -0.425  0.871 -0.610  0.806 -0.768  0.712 -0.906  0.562 -1.011  0.414 -1.098  0.283 -1.229  0.119 -1.296  0.003 -1.385
3#apa#apa00#app0000/m  -0.577 1.300  -0.577 1.037  -0.648 0.803  -0.682 0.554  -0.720 0.306  -0.791 0.060  -0.827 -0.199  -0.915 -0.445  -0.969 -0.696  -1.076 -0.921  -1.147 -1.155  -1.089 -1.135  -1.004 -0.907  -0.933 -0.660  -0.832 -0.421  -0.711 -0.188  -0.626 0.040  -0.481 0.256  -0.363 0.470  -0.188 0.640  0.006 0.814  0.207 0.980  0.432 1.086  0.432 0.896  0.349 0.652  0.292 0.403  0.174 0.167  0.120 -0.083  0.021 -0.326  -0.102 -0.551  -0.150 -0.807  -0.207 -0.966  -0.078 -0.743  0.012 -0.514  0.167 -0.306  0.278 -0.076  0.411 0.143  0.593 0.333  0.752 0.538  0.923 0.735  1.109 0.921  1.204 0.784  1.174 0.528  1.132 0.275  1.066 0.027  1.026 -0.229  0.988 -0.486  0.919 -0.738  0.919 -1.001  0.990 -1.193
3#apa#apa00#app0000/n  -0.193 1.471  -0.277 1.299  -0.360 1.126  -0.420 0.933  -0.444 0.732  -0.455 0.528  -0.528 0.338  -0.528 0.131  -0.583 -0.063  -0.611 -0.264  -0.656 -0.465  -0.695 -0.667  -0.697 -0.874  -0.779 -1.047  -0.862 -1.219  -0.946 -1.342  -0.881 -1.225  -0.853 -1.030  -0.779 -0.853  -0.715 -0.661  -0.598 -0.496  -0.532 -0.300  -0.444 -0.128  -0.304 0.021  -0.201 0.199  -0.078 0.362  0.038 0.530  0.184 0.677  0.292 0.851  0.428 1.004  0.599 1.092  0.770 1.179  0.865 1.161  0.810 0.967  0.727 0.780  0.684 0.591  0.577 0.416  0.558 0.214  0.436 0.051  0.373 -0.138  0.309 -0.319  0.225 -0.491  0.225 -0.698  0.342 -0.621  0.528 -0.672  0.722 -0.704  0.929 -0.704  1.114 -0.652  1.285 -0.565  1.397 -0.453
3#apa#apa00#app0000/p  0.044 1.014  0.148 1.162  0.148 0.983  0.096 0.814  0.059 0.631  0.044 0.444  0.044 0.253  -0.007 0.070  -0.007 -0.121  -0.054 -0.306  -0.059 -0.497  -0.096 -0.683  -0.110 -0.873  -0.115 -1.063  -0.162 -1.246  -0.162 -1.438  -0.182 -1.625  -0.213 -1.811  -0.265 -1.898  -0.265 -1.707  -0.265 -1.516  -0.265 -1.325  -0.265 -1.134  -0.265 -0.943  -0.265 -0.752  -0.265 -0.560  -0.265 -0.369  -0.265 -0.178  -0.265 0.013  -0.265 0.204  -0.265 0.395  -0.265 0.586  -0.265 0.777  -0.265 0.968  -0.265 1.159  -0.126 1.271  0.051 1.329  0.223 1.374  0.408 1.347  0.553 1.227  0.611 1.060  0.663 0.881  0.663 0.690  0.663 0.499  0.611 0.359  0.487 0.219  0.322 0.157  0.142 0.131  -0.024 0.046  -0.162 -0.017
3#apa#apa00#app0000/q  0.035 0.793  0.114 0.928  0.204 1.092  0.204 1.294  0.087 1.411  -0.091 1.355  -0.246 1.242  -0.405 1.140  -0.507 0.981  -0.583 0.811  -0.633 0.630  -0.639 0.432  -0.583 0.254  -0.517 0.118  -0.345 0.188  -0.202 0.330  -0.077 0.480  0.003 0.648  0.122 0.767  0.204 0.934  0.256 0.957  0.193 0.782  0.104 0.607  0.091 0.408  0.035 0.220  0.016 0.023  -0.021 -0.170  -0.069 -0.363  -0.079 -0.563  -0.147 -0.752  -0.190 -0.943  -0.246 -1.135  -0.281 -1.322  -0.304 -1.514  -0.358 -1.693  -0.313 -1.849  -0.287 -1.665  -0.207 -1.489  -0.154 -1.307  -0.066 -1.129  -0.010 -0.938  0.133 -0.796  0.228 -0.620  0.339 -0.454  0.462 -0.298  0.628 -0.188  0.781 -0.059  0.937 0.065  1.113 0.128  1.271 0.231
3#apa#apa00#app0000/r  -0.215 1.333  -0.215 1.189  -0.215 1.045  -0.215 0.901  -0.215 0.757  -0.215 0.613  -0.215 0.469  -0.215 0.325  -0.215 0.181  -0.215 0.038  -0.215 -0.106  -0.215 -0.250  -0.254 -0.388  -0.299 -0.524  -0.299 -0.668  -0.299 -0.812  -0.299 -0.956  -0.299 -1.100  -0.299 -1.244  -0.299 -1.388  -0.299 -1.531  -0.299 -1.566  -0.350 -1.434  -0.383 -1.298  -0.383 -1.154  -0.383 -1.011  -0.383 -0.867  -0.383 -0.723  -0.383 -0.579  -0.383 -0.435  -0.383 -0.291  -0.299 -0.182  -0.299 -0.038  -0.299 0.106  -0.205 0.161  -0.103 0.263  -0.046 0.383  0.041 0.491  0.151 0.573  0.280 0.621  0.400 0.701  0.531 0.742  0.640 0.826  0.784 0.826  0.893 0.911  1.029 0.942  1.161 0.995  1.305 0.995  1.414 1.079  1.557 1.079
3#apa#apa00#app0000/s  0.561 1.011  0.659 1.030  0.659 1.146  0.603 1.206  0.488 1.206  0.372 1.206  0.256 1.206  0.149 1.184  0.064 1.109  -0.043 1.089  -0.126 1.009  -0.230 0.957  -0.330 0.900  -0.412 0.818  -0.511 0.800  -0.546 0.719  -0.608 0.666  -0.608 0.550  -0.518 0.524  -0.434 0.447  -0.327 0.427  -0.242 0.352  -0.160 0.270  -0.060 0.232  0.033 0.175  0.074 0.077  0.150 0.037  0.238 -0.030  0.301 -0.126  0.353 -0.229  0.427 -0.317  0.464 -0.418  0.464 -0.533  0.464 -0.649  0.464 -0.765  0.464 -0.881  0.464 -0.997  0.409 -1.090  0.311 -1.133  0.216 -1.185  0.119 -1.230  0.003 -1.230  -0.112 -1.230  -0.228 -1.230  -0.344 -1.230  -0.460 -1.230  -0.569 -1.201  -0.673 -1.149  -0.785 -1.133  -0.901 -1.133
3#apa#apa00#app0000/t  0.129 1.787  0.199 1.658  0.129 1.487  0.060 1.317  0.010 1.130  -0.010 0.936  -0.012 0.737  -0.080 0.554  -0.127 0.366  -0.216 0.188  -0.236 -0.007  -0.303 -0.194  -0.359 -0.380  -0.419 -0.565  -0.429 -0.762  -0.429 -0.961  -0.429 -1.160  -0.429 -1.359  -0.359 -1.359  -0.165 -1.353  -0.036 -1.284  0.163 -1.284  0.345 -1.214  0.516 -1.144  0.686 -1.074  0.815 -1.005  0.980 -0.922  0.997 -0.767  0.836 -0.650  0.675 -0.533  0.513 -0.416  0.352 -0.300  0.191 -0.183  0.030 -0.066  -0.131 0.050  -0.293 0.167  -0.454 0.284  -0.615 0.401  -0.776 0.517  -0.937 0.634  -0.920 0.600  -0.721 0.600  -0.522 0.600  -0.325 0.612  -0.135 0.670  0.064 0.670  0.263 0.670  0.446 0.740  0.642 0.752  0.827 0.810
3#apa#apa00#app0000/u  -1.053 0.212  -1.053 0.405  -0.988 0.571  -0.909 0.734  -0.794 0.861  -0.659 0.998  -0.522 1.134  -0.415 1.292  -0.288 1.434  -0.295 1.297  -0.368 1.124  -0.400 0.936  -0.400 0.743  -0.458 0.559  -0.530 0.383  -0.530 0.190  -0.557 0.002  -0.596 -0.185  -0.596 -0.378  -0.596 -0.571  -0.596 -0.763  -0.596 -0.956  -0.557 -1.133  -0.467 -1.289  -0.274 -1.290  -0.137 -1.157  -0.051 -0.985  0.060 -0.830  0.194 -0.692  0.280 -0.519  0.366 -0.347  0.492 -0.203  0.565 -0.028  0.670 0.130  0.756 0.303  0.835 0.467  0.841 0.657  0.841 0.750  0.755 0.627  0.691 0.453  0.645 0.279  0.603 0.104  0.580 -0.079  0.592 -0.269  0.645 -0.450  0.711 -0.615  0.729 -0.804  0.791 -0.979  0.937 -1.094  1.102 -1.029
3#apa#apa00#app0000/v  -1.071 -0.193  -1.071 -0.028  -1.054 0.130  -0.981 0.264  -0.864 0.381  -0.748 0.497  -0.626 0.603  -0.497 0.687  -0.373 0.786  -0.246 0.877  -0.153 0.968  -0.214 0.832  -0.286 0.694  -0.339 0.539  -0.398 0.398  -0.453 0.246  -0.472 0.086  -0.546 -0.061  -0.581 -0.218  -0.581 -0.383  -0.581 -0.547  -0.581 -0.712  -0.576 -0.876  -0.520 -1.028  -0.419 -1.150  -0.303 -1.267  -0.210 -1.355  -0.045 -1.355  0.101 -1.285  0.218 -1.168  0.275 -1.027  0.354 -0.892  0.445 -0.757  0.520 -0.612  0.543 -0.453  0.581 -0.297  0.581 -0.132  0.581 0.033  0.521 0.173  0.459 0.312  0.398 0.451  0.411 0.603  0.576 0.603  0.715 0.664  0.868 0.715  1.028 0.734  1.181 0.786  1.330 0.854  1.482 0.908  1.621 0.970
3#apa#apa00#app0000/w  -1.334 0.166  -1.305 0.323  -1.214 0.443  -1.083 0.574  -0.952 0.705  -0.866 0.856  -0.788 0.775  -0.788 0.589  -0.856 0.419  -0.866 0.236  -0.866 0.050  -0.866 -0.136  -0.866 -0.322  -0.844 -0.503  -0.788 -0.675  -0.710 -0.829  -0.631 -0.936  -0.553 -0.966  -0.427 -0.879  -0.304 -0.741  -0.209 -0.583  -0.163 -0.416  -0.085 -0.263  -0.036 -0.097  0.023 0.069  0.072 0.244  0.150 0.397  0.228 0.551  0.156 0.563  0.150 0.380  0.150 0.194  0.150 0.008  0.150 -0.178  0.193 -0.346  0.269 -0.500  0.366 -0.657  0.514 -0.758  0.697 -0.771  0.828 -0.639  0.960 -0.508  1.030 -0.349  1.133 -0.194  1.222 -0.031  1.271 0.143  1.321 0.317  1.321 0.503  1.321 0.689  1.317 0.873  1.243 1.028  1.165 1.182
3#apa#apa00#app0000/x  -1.255 0.123  -1.255 0.322  -1.195 0.496  -1.099 0.655  -0.969 0.800  -0.860 0.905  -0.675 0.871  -0.552 0.724  -0.504 0.544  -0.396 0.391  -0.389 0.195  -0.274 0.036  -0.201 -0.149  -0.109 -0.320  -0.005 -0.475  0.072 -0.656  0.156 -0.820  0.297 -0.960  0.438 -1.101  0.625 -1.128  0.707 -1.003  0.720 -0.804  0.732 -0.606  0.745 -0.408  0.758 -0.209  0.771 -0.011  0.784 0.188  0.796 0.386  0.809 0.584  0.822 0.783  0.835 0.981  0.848 1.180  0.777 1.291  0.666 1.184  0.595 1.010  0.485 0.847  0.389 0.675  0.295 0.501  0.182 0.340  0.073 0.175  -0.046 0.016  -0.126 -0.164  -0.201 -0.347  -0.319 -0.504  -0.424 -0.667  -0.504 -0.845  -0.639 -0.989  -0.728 -1.167  -0.786 -1.352  -0.865 -1.519
3#apa#apa00#app0000/y  -0.774 0.526  -0.830 0.623  -0.732 0.736  -0.624 0.844  -0.556 0.968  -0.448 1.077  -0.324 1.146  -0.268 1.125  -0.268 0.972  -0.324 0.842  -0.352 0.696  -0.380 0.549  -0.380 0.396  -0.380 0.243  -0.380 0.090  -0.297 0.021  -0.168 -0.035  -0.038 0.021  0.045 0.110  0.114 0.234  0.181 0.360  0.225 0.502  0.259 0.649  0.293 0.796  0.349 0.926  0.349 1.079  0.406 1.000  0.406 0.847  0.406 0.694  0.406 0.541  0.406 0.388  0.406 0.235  0.406 0.082  0.406 -0.071  0.364 -0.217  0.349 -0.368  0.349 -0.521  0.349 -0.674  0.349 -0.827  0.304 -0.969  0.293 -1.119  0.293 -1.272  0.244 -1.417  0.237 -1.569  0.196 -1.705  0.105 -1.776  -0.046 -1.773  -0.177 -1.720  -0.312 -1.676  -0.437 -1.608
3#apa#apa00#app0000/z  -1.084 0.885  -0.960 1.009  -0.770 1.113  -0.576 1.210  -0.381 1.307  -0.172 1.341  0.035 1.385  0.252 1.385  0.470 1.385  0.632 1.330  0.561 1.185  0.387 1.068  0.275 0.885  0.172 0.710  0.069 0.535  0.016 0.340  -0.011 0.134  -0.083 -0.054  -0.083 -0.271  -0.154 -0.459  -0.181 -0.670  -0.226 -0.877  -0.297 -1.065  -0.313 -1.276  -0.440 -1.440  -0.329 -1.403  -0.188 -1.313  -0.011 -1.232  0.154 -1.167  0.329 -1.064  0.509 -0.974  0.699 -0.908  0.895 -0.855  0.887 -0.786  0.688 -0.699  0.489 -0.611  0.290 -0.524  0.091 -0.436  -0.108 -0.349  -0.307 -0.261  -0.505 -0.173  -0.704 -0.086  -0.695 -0.014  -0.494 0.027  -0.313 0.126  -0.106 0.170  0.091 0.256  0.292 0.335  0.502 0.390  0.704 0.456
