2#apb#apb41#app4123/P  -0.747 0.101  -0.699 0.254  -0.608 0.239  -0.575 0.080  -0.567 -0.082  -0.572 -0.245  -0.584 -0.407  -0.601 -0.569  -0.621 -0.730  -0.642 -0.892  -0.667 -1.052  -0.690 -1.214  -0.709 -1.375  -0.693 -1.524  -0.641 -1.376  -0.611 -1.216  -0.579 -1.057  -0.550 -0.897  -0.523 -0.736  -0.494 -0.576  -0.455 -0.418  -0.417 -0.260  -0.368 -0.105  -0.314 0.048  -0.260 0.202  -0.194 0.350  -0.118 0.494  -0.042 0.638  0.051 0.770  0.161 0.890  0.271 1.010  0.404 1.103  0.538 1.196  0.684 1.266  0.838 1.301  0.967 1.235  1.029 1.087  1.060 0.927  1.067 0.765  1.067 0.602  1.044 0.442  1.008 0.284  0.940 0.138  0.853 0.000  0.736 -0.112  0.603 -0.203  0.453 -0.242  0.304 -0.184  0.215 -0.053  0.251 0.101
2#apb#apb41#app4123/r  -0.800 0.184  -0.754 0.170  -0.723 0.058  -0.701 -0.056  -0.682 -0.170  -0.675 -0.286  -0.675 -0.402  -0.680 -0.517  -0.689 -0.633  -0.696 -0.749  -0.696 -0.865  -0.700 -0.981  -0.714 -1.096  -0.717 -1.212  -0.706 -1.154  -0.679 -1.041  -0.653 -0.928  -0.624 -0.816  -0.585 -0.707  -0.546 -0.597  -0.508 -0.488  -0.462 -0.382  -0.415 -0.275  -0.369 -0.169  -0.323 -0.062  -0.278 0.045  -0.236 0.153  -0.194 0.261  -0.152 0.369  -0.109 0.477  -0.027 0.559  0.055 0.641  0.137 0.723  0.232 0.787  0.334 0.842  0.437 0.896  0.551 0.914  0.666 0.931  0.773 0.903  0.875 0.848  0.977 0.793  1.067 0.720  1.157 0.646  1.231 0.560  1.283 0.457  1.328 0.350  1.362 0.239  1.396 0.128  1.447 0.024  1.461 -0.088
2#apb#apb41#app4123/l  0.110 1.333  0.133 1.403  0.157 1.473  0.179 1.540  0.173 1.498  0.144 1.430  0.133 1.357  0.128 1.283  0.122 1.210  0.116 1.136  0.111 1.062  0.106 0.988  0.101 0.915  0.096 0.841  0.091 0.767  0.086 0.693  0.080 0.620  0.070 0.546  0.061 0.473  0.052 0.399  0.042 0.326  0.033 0.253  0.023 0.179  0.014 0.106  0.002 0.033  -0.010 -0.040  -0.022 -0.113  -0.034 -0.186  -0.046 -0.259  -0.059 -0.332  -0.071 -0.405  -0.078 -0.478  -0.085 -0.552  -0.093 -0.625  -0.100 -0.699  -0.107 -0.773  -0.113 -0.846  -0.117 -0.920  -0.120 -0.994  -0.123 -1.068  -0.126 -1.142  -0.126 -1.216  -0.126 -1.290  -0.126 -1.364  -0.126 -1.438  -0.126 -1.512  -0.112 -1.514  -0.111 -1.440  -0.105 -1.367  -0.098 -1.293
2#apb#apb41#app4123/e  -0.816 -0.192  -0.744 -0.278  -0.601 -0.310  -0.448 -0.271  -0.298 -0.218  -0.150 -0.156  -0.006 -0.088  0.139 -0.020  0.273 0.066  0.403 0.158  0.534 0.250  0.652 0.357  0.765 0.470  0.862 0.594  0.934 0.737  0.964 0.885  0.932 1.042  0.816 1.146  0.682 1.223  0.522 1.223  0.363 1.223  0.211 1.172  0.059 1.122  -0.084 1.058  -0.193 0.942  -0.303 0.826  -0.413 0.709  -0.512 0.585  -0.602 0.453  -0.692 0.321  -0.782 0.189  -0.837 0.042  -0.869 -0.115  -0.902 -0.271  -0.878 -0.425  -0.834 -0.579  -0.766 -0.722  -0.682 -0.858  -0.576 -0.966  -0.426 -1.023  -0.276 -1.079  -0.118 -1.095  0.041 -1.103  0.201 -1.111  0.358 -1.086  0.515 -1.056  0.672 -1.026  0.822 -0.974  0.970 -0.913  1.118 -0.853
2#apb#apb41#app4123/y  -0.356 0.883  -0.313 0.989  -0.283 1.016  -0.365 0.915  -0.433 0.802  -0.470 0.675  -0.504 0.548  -0.525 0.420  -0.499 0.292  -0.419 0.195  -0.295 0.155  -0.163 0.155  -0.038 0.195  0.085 0.241  0.200 0.306  0.312 0.375  0.411 0.462  0.499 0.558  0.570 0.669  0.613 0.792  0.647 0.920  0.697 1.041  0.762 1.153  0.716 1.030  0.665 0.908  0.605 0.791  0.543 0.675  0.481 0.558  0.415 0.445  0.348 0.331  0.281 0.217  0.214 0.104  0.152 -0.012  0.093 -0.130  0.034 -0.248  -0.025 -0.366  -0.083 -0.484  -0.134 -0.606  -0.182 -0.728  -0.230 -0.851  -0.278 -0.974  -0.320 -1.098  -0.361 -1.224  -0.402 -1.349  -0.438 -1.476  -0.460 -1.605  -0.482 -1.735  -0.479 -1.867  -0.452 -1.993  -0.356 -2.071
2#apb#apb41#app4123/Y  -1.039 0.393  -1.122 0.532  -1.145 0.644  -1.185 0.482  -1.194 0.317  -1.172 0.154  -1.122 -0.005  -1.008 -0.123  -0.878 -0.223  -0.726 -0.292  -0.569 -0.338  -0.403 -0.350  -0.239 -0.344  -0.079 -0.296  0.080 -0.248  0.225 -0.168  0.369 -0.083  0.508 0.008  0.642 0.107  0.769 0.212  0.873 0.342  0.964 0.478  1.004 0.640  1.007 0.803  0.984 0.968  0.933 1.126  0.879 1.284  0.893 1.235  0.852 1.084  0.767 0.941  0.682 0.798  0.596 0.655  0.511 0.512  0.426 0.369  0.340 0.227  0.255 0.084  0.170 -0.059  0.084 -0.202  -0.001 -0.345  -0.087 -0.488  -0.172 -0.631  -0.257 -0.774  -0.288 -0.718  -0.272 -0.753  -0.294 -0.918  -0.319 -1.083  -0.338 -1.248  -0.350 -1.413  -0.321 -1.577  -0.236 -1.718
2#apb#apb41#app4123/i  -0.131 -0.229  -0.148 -0.173  -0.153 -0.271  -0.166 -0.368  -0.179 -0.465  -0.186 -0.563  -0.192 -0.661  -0.197 -0.759  -0.203 -0.857  -0.209 -0.955  -0.214 -1.053  -0.216 -1.151  -0.216 -1.249  -0.216 -1.347  -0.214 -1.405  -0.176 -1.317  -0.160 -1.220  -0.145 -1.123  -0.130 -1.027  -0.115 -0.930  -0.099 -0.833  -0.084 -0.736  -0.069 -0.639  -0.054 -0.542  -0.038 -0.445  -0.023 -0.348  -0.008 -0.252  0.007 -0.155  0.023 -0.058  0.038 0.039  0.053 0.136  0.069 0.233  0.084 0.330  0.099 0.427  0.114 0.523  0.130 0.620  0.145 0.717  0.160 0.814  0.175 0.911  0.191 1.008  0.206 1.105  0.221 1.202  0.237 1.299  0.252 1.395  0.267 1.492  0.282 1.589  0.298 1.686  0.313 1.783  0.298 1.880  0.279 1.941
2#apb#apb41#app4123/Z  -0.718 0.816  -0.834 0.895  -0.675 0.923  -0.514 0.933  -0.353 0.939  -0.193 0.955  -0.034 0.980  0.126 0.999  0.287 1.005  0.449 1.009  0.610 1.009  0.771 1.000  0.909 0.926  0.922 0.769  0.831 0.636  0.729 0.512  0.615 0.398  0.501 0.284  0.373 0.186  0.243 0.091  0.112 -0.004  -0.024 -0.089  -0.165 -0.169  -0.305 -0.248  -0.445 -0.328  -0.587 -0.405  -0.730 -0.480  -0.873 -0.555  -1.015 -0.629  -1.155 -0.711  -1.292 -0.794  -1.278 -0.881  -1.122 -0.839  -0.967 -0.795  -0.812 -0.751  -0.657 -0.706  -0.506 -0.650  -0.354 -0.594  -0.201 -0.548  -0.042 -0.516  0.116 -0.485  0.275 -0.458  0.435 -0.447  0.596 -0.449  0.757 -0.458  0.918 -0.476  1.079 -0.481  1.239 -0.466  1.398 -0.441  1.556 -0.412
2#apb#apb41#app4123/a  0.068 0.315  0.151 0.480  0.230 0.634  0.199 0.803  0.029 0.819  -0.145 0.765  -0.310 0.682  -0.475 0.600  -0.628 0.498  -0.782 0.396  -0.933 0.290  -1.074 0.171  -1.215 0.052  -1.341 -0.080  -1.452 -0.228  -1.531 -0.386  -1.506 -0.560  -1.370 -0.677  -1.186 -0.677  -1.001 -0.677  -0.823 -0.640  -0.651 -0.576  -0.478 -0.512  -0.309 -0.438  -0.147 -0.350  0.015 -0.262  0.166 -0.158  0.300 -0.033  0.430 0.098  0.535 0.249  0.612 0.413  0.654 0.593  0.612 0.771  0.521 0.927  0.417 0.939  0.392 0.757  0.377 0.574  0.416 0.394  0.455 0.214  0.498 0.034  0.542 -0.144  0.587 -0.323  0.681 -0.480  0.786 -0.632  0.909 -0.768  1.053 -0.877  1.228 -0.908  1.400 -0.845  1.504 -0.700  1.586 -0.535
2#apb#apb41#app4123/c  0.796 0.603  0.746 0.702  0.678 0.787  0.594 0.858  0.495 0.908  0.396 0.957  0.290 0.990  0.184 1.022  0.077 1.038  -0.031 1.015  -0.139 0.992  -0.244 0.958  -0.344 0.911  -0.445 0.864  -0.540 0.811  -0.602 0.720  -0.665 0.628  -0.727 0.537  -0.790 0.445  -0.835 0.346  -0.865 0.239  -0.896 0.133  -0.926 0.026  -0.945 -0.080  -0.911 -0.186  -0.878 -0.291  -0.845 -0.397  -0.800 -0.494  -0.710 -0.559  -0.620 -0.624  -0.530 -0.689  -0.440 -0.753  -0.335 -0.776  -0.225 -0.787  -0.114 -0.799  -0.004 -0.810  0.106 -0.821  0.216 -0.832  0.324 -0.815  0.432 -0.789  0.540 -0.763  0.647 -0.737  0.755 -0.711  0.863 -0.685  0.964 -0.640  1.063 -0.590  1.162 -0.541  1.261 -0.491  1.360 -0.442  1.459 -0.392
2#apb#apb41#app4123/h  -0.277 1.753  -0.244 1.879  -0.175 1.837  -0.175 1.704  -0.184 1.572  -0.199 1.440  -0.214 1.308  -0.231 1.177  -0.252 1.046  -0.273 0.915  -0.294 0.784  -0.316 0.653  -0.340 0.523  -0.369 0.393  -0.399 0.264  -0.428 0.134  -0.457 0.005  -0.485 -0.125  -0.510 -0.255  -0.534 -0.386  -0.559 -0.516  -0.583 -0.647  -0.600 -0.778  -0.616 -0.910  -0.600 -1.041  -0.509 -1.058  -0.407 -0.978  -0.317 -0.880  -0.226 -0.784  -0.132 -0.690  -0.038 -0.596  0.040 -0.490  0.115 -0.380  0.190 -0.270  0.273 -0.168  0.370 -0.078  0.467 0.013  0.575 0.090  0.693 0.127  0.764 0.041  0.796 -0.088  0.782 -0.220  0.769 -0.352  0.747 -0.482  0.713 -0.611  0.680 -0.739  0.677 -0.871  0.686 -1.003  0.740 -1.120  0.864 -1.141
2#apb#apb41#app4123/a  0.025 0.452  0.091 0.612  0.020 0.763  -0.159 0.775  -0.332 0.726  -0.493 0.641  -0.652 0.552  -0.788 0.430  -0.923 0.308  -1.059 0.186  -1.182 0.051  -1.301 -0.086  -1.403 -0.235  -1.479 -0.402  -1.412 -0.550  -1.247 -0.600  -1.075 -0.540  -0.902 -0.480  -0.738 -0.402  -0.578 -0.315  -0.418 -0.227  -0.265 -0.128  -0.118 -0.020  0.023 0.095  0.152 0.224  0.270 0.361  0.356 0.522  0.421 0.690  0.462 0.868  0.499 1.047  0.472 1.147  0.468 0.966  0.468 0.784  0.468 0.601  0.468 0.419  0.468 0.236  0.468 0.054  0.468 -0.128  0.468 -0.311  0.468 -0.493  0.503 -0.672  0.545 -0.849  0.631 -1.007  0.748 -1.141  0.913 -1.161  1.062 -1.062  1.191 -0.933  1.258 -0.765  1.312 -0.591  1.356 -0.414
2#apb#apb41#app4123/r  -0.844 0.355  -0.755 0.412  -0.716 0.371  -0.705 0.266  -0.702 0.160  -0.702 0.053  -0.702 -0.053  -0.702 -0.159  -0.714 -0.264  -0.740 -0.367  -0.766 -0.470  -0.791 -0.573  -0.803 -0.678  -0.803 -0.784  -0.803 -0.890  -0.803 -0.996  -0.770 -1.095  -0.678 -1.090  -0.595 -1.025  -0.512 -0.958  -0.446 -0.875  -0.380 -0.792  -0.317 -0.707  -0.257 -0.619  -0.197 -0.532  -0.137 -0.444  -0.079 -0.355  -0.021 -0.266  0.036 -0.177  0.094 -0.087  0.148 0.004  0.202 0.096  0.256 0.187  0.310 0.278  0.367 0.368  0.440 0.445  0.513 0.522  0.586 0.599  0.659 0.676  0.738 0.747  0.825 0.807  0.913 0.868  1.001 0.926  1.093 0.980  1.185 1.020  1.286 0.987  1.362 0.913  1.435 0.837  1.475 0.738  1.514 0.640
2#apb#apb41#app4123/y  -0.536 0.814  -0.557 0.872  -0.619 0.764  -0.672 0.649  -0.725 0.533  -0.729 0.407  -0.674 0.303  -0.565 0.249  -0.441 0.224  -0.318 0.249  -0.195 0.281  -0.074 0.319  0.043 0.369  0.159 0.420  0.275 0.472  0.391 0.524  0.502 0.582  0.596 0.667  0.676 0.765  0.739 0.874  0.775 0.996  0.812 1.118  0.809 1.082  0.759 0.966  0.707 0.850  0.655 0.734  0.603 0.618  0.548 0.504  0.485 0.394  0.422 0.284  0.359 0.173  0.296 0.063  0.235 -0.048  0.174 -0.159  0.113 -0.270  0.051 -0.382  -0.010 -0.493  -0.068 -0.606  -0.126 -0.718  -0.185 -0.831  -0.242 -0.945  -0.293 -1.061  -0.344 -1.177  -0.394 -1.293  -0.441 -1.411  -0.488 -1.529  -0.541 -1.645  -0.605 -1.752  -0.670 -1.855  -0.674 -1.945
