3#apb#apb38#app3868/4  -0.459 0.388  -0.338 0.550  -0.213 0.708  -0.083 0.863  0.036 1.026  -0.076 0.979  -0.193 0.815  -0.301 0.644  -0.416 0.478  -0.533 0.314  -0.645 0.146  -0.756 -0.023  -0.847 -0.203  -0.941 -0.381  -0.924 -0.499  -0.725 -0.466  -0.526 -0.432  -0.327 -0.397  -0.126 -0.395  0.075 -0.410  0.273 -0.448  0.430 -0.353  0.497 -0.163  0.564 0.028  0.631 0.218  0.698 0.409  0.765 0.599  0.833 0.790  0.900 0.980  0.967 1.171  1.020 1.320  0.953 1.130  0.883 0.941  0.790 0.761  0.698 0.581  0.606 0.402  0.499 0.230  0.390 0.060  0.281 -0.110  0.172 -0.279  0.058 -0.446  -0.057 -0.613  -0.171 -0.779  -0.286 -0.945  -0.402 -1.111  -0.519 -1.275  -0.637 -1.439  -0.753 -1.604  -0.840 -1.787  -0.927 -1.969
3#apb#apb38#app3868/5  0.274 0.883  0.143 0.871  0.034 0.713  -0.072 0.554  -0.187 0.400  -0.304 0.248  -0.406 0.085  -0.511 -0.075  -0.389 -0.144  -0.198 -0.122  -0.008 -0.138  0.180 -0.170  0.350 -0.260  0.484 -0.392  0.562 -0.559  0.533 -0.742  0.438 -0.906  0.280 -1.015  0.115 -1.111  -0.054 -1.202  -0.232 -1.270  -0.419 -1.316  -0.607 -1.344  -0.799 -1.344  -0.987 -1.315  -1.023 -1.162  -0.924 -0.998  -0.825 -0.834  -0.725 -0.670  -0.626 -0.506  -0.526 -0.342  -0.427 -0.177  -0.327 -0.013  -0.228 0.151  -0.128 0.315  -0.029 0.479  0.071 0.643  0.170 0.807  0.270 0.971  0.305 1.073  0.135 0.994  -0.029 0.940  0.162 0.940  0.354 0.956  0.544 0.975  0.735 0.996  0.926 1.018  1.117 1.038  1.309 1.038  1.500 1.038
3#apb#apb38#app3868/7  -0.129 0.856  -0.108 0.934  -0.090 1.012  -0.089 1.062  -0.029 1.115  0.054 1.114  0.138 1.109  0.222 1.114  0.306 1.121  0.390 1.124  0.475 1.124  0.548 1.087  0.607 1.031  0.629 0.951  0.608 0.869  0.588 0.787  0.561 0.708  0.512 0.639  0.462 0.571  0.413 0.502  0.365 0.432  0.323 0.359  0.280 0.286  0.238 0.213  0.195 0.140  0.150 0.069  0.099 0.001  0.049 -0.067  -0.001 -0.135  -0.051 -0.202  -0.098 -0.272  -0.139 -0.346  -0.181 -0.420  -0.222 -0.494  -0.263 -0.568  -0.304 -0.642  -0.341 -0.718  -0.377 -0.794  -0.413 -0.870  -0.450 -0.947  -0.478 -1.025  -0.495 -1.108  -0.511 -1.191  -0.528 -1.274  -0.531 -1.358  -0.531 -1.443  -0.531 -1.527  -0.501 -1.605  -0.452 -1.662  -0.367 -1.662
3#apb#apb38#app3868/N  -0.037 0.904  -0.129 0.675  -0.285 0.470  -0.455 0.276  -0.651 0.109  -0.776 0.209  -0.619 0.412  -0.420 0.577  -0.218 0.737  -0.004 0.880  0.233 0.979  0.294 0.772  0.233 0.524  0.144 0.282  0.022 0.054  -0.100 -0.173  -0.221 -0.401  -0.342 -0.629  -0.476 -0.849  -0.631 -1.055  -0.807 -1.243  -0.904 -1.243  -0.775 -1.020  -0.635 -0.803  -0.484 -0.594  -0.322 -0.394  -0.167 -0.188  -0.018 0.023  0.131 0.234  0.283 0.442  0.436 0.650  0.590 0.857  0.744 1.064  0.909 1.262  1.106 1.428  1.109 1.260  0.998 1.028  0.883 0.797  0.764 0.568  0.641 0.341  0.519 0.114  0.397 -0.113  0.277 -0.342  0.158 -0.571  0.038 -0.800  -0.076 -1.031  -0.188 -1.263  -0.300 -1.496  -0.391 -1.737  -0.476 -1.980
3#apb#apb38#app3868/.  0.823 1.485  0.795 1.421  0.768 1.356  0.740 1.292  0.712 1.227  0.685 1.163  0.657 1.098  0.629 1.034  0.602 0.969  0.574 0.905  0.547 0.841  0.519 0.776  0.491 0.712  0.448 0.657  0.403 0.604  0.357 0.551  0.311 0.497  0.266 0.444  0.220 0.391  0.174 0.338  0.129 0.284  0.083 0.231  0.038 0.178  -0.008 0.125  -0.054 0.072  -0.099 0.018  -0.145 -0.035  -0.187 -0.090  -0.212 -0.156  -0.237 -0.221  -0.262 -0.287  -0.287 -0.352  -0.313 -0.418  -0.338 -0.483  -0.363 -0.548  -0.388 -0.614  -0.413 -0.679  -0.438 -0.745  -0.464 -0.810  -0.489 -0.876  -0.514 -0.941  -0.539 -1.006  -0.564 -1.072  -0.589 -1.137  -0.615 -1.203  -0.640 -1.268  -0.665 -1.334  -0.690 -1.399  -0.715 -1.464  -0.740 -1.530
3#apb#apb38#app3868/S  0.540 1.094  0.590 1.173  0.637 1.255  0.628 1.325  0.534 1.321  0.443 1.296  0.354 1.267  0.268 1.228  0.182 1.189  0.102 1.140  0.026 1.084  -0.050 1.028  -0.124 0.970  -0.191 0.903  -0.257 0.837  -0.324 0.770  -0.362 0.684  -0.396 0.596  -0.430 0.508  -0.430 0.414  -0.430 0.320  -0.419 0.228  -0.373 0.146  -0.326 0.064  -0.271 -0.012  -0.205 -0.078  -0.138 -0.145  -0.063 -0.203  0.014 -0.257  0.091 -0.312  0.164 -0.370  0.231 -0.437  0.298 -0.504  0.351 -0.581  0.398 -0.662  0.397 -0.753  0.377 -0.844  0.321 -0.920  0.264 -0.995  0.196 -1.060  0.125 -1.123  0.052 -1.181  -0.034 -1.220  -0.120 -1.259  -0.208 -1.290  -0.301 -1.303  -0.395 -1.316  -0.487 -1.334  -0.580 -1.350  -0.672 -1.329
3#apb#apb38#app3868/a  0.848 0.687  0.880 0.815  0.899 0.946  0.884 1.057  0.761 1.107  0.636 1.149  0.512 1.157  0.392 1.102  0.272 1.048  0.158 0.982  0.055 0.899  -0.048 0.816  -0.150 0.732  -0.253 0.649  -0.349 0.559  -0.430 0.454  -0.510 0.349  -0.590 0.244  -0.671 0.139  -0.751 0.034  -0.816 -0.081  -0.880 -0.196  -0.945 -0.312  -1.010 -0.427  -1.044 -0.550  -1.044 -0.682  -1.044 -0.815  -0.974 -0.918  -0.880 -1.011  -0.774 -1.075  -0.642 -1.075  -0.510 -1.075  -0.380 -1.067  -0.270 -0.994  -0.160 -0.920  -0.050 -0.847  0.060 -0.774  0.159 -0.687  0.253 -0.593  0.346 -0.500  0.440 -0.406  0.533 -0.313  0.621 -0.214  0.706 -0.113  0.791 -0.012  0.877 0.089  0.974 0.178  1.076 0.262  1.030 0.165  1.011 0.034
3#apb#apb38#app3868/l  -0.663 -1.284  -0.677 -1.426  -0.644 -1.522  -0.565 -1.409  -0.511 -1.276  -0.448 -1.148  -0.383 -1.021  -0.302 -0.903  -0.221 -0.785  -0.148 -0.663  -0.082 -0.536  -0.015 -0.410  0.048 -0.281  0.107 -0.151  0.167 -0.022  0.226 0.108  0.286 0.238  0.345 0.368  0.405 0.498  0.433 0.637  0.447 0.779  0.461 0.921  0.475 1.063  0.472 1.206  0.465 1.349  0.452 1.491  0.424 1.631  0.317 1.564  0.226 1.453  0.154 1.331  0.098 1.200  0.043 1.068  -0.013 0.937  -0.062 0.802  -0.109 0.668  -0.157 0.533  -0.205 0.398  -0.221 0.258  -0.221 0.115  -0.221 -0.028  -0.219 -0.171  -0.188 -0.310  -0.157 -0.450  -0.126 -0.589  -0.081 -0.724  -0.023 -0.854  0.036 -0.985  0.111 -1.106  0.193 -1.223  0.275 -1.339
3#apb#apb38#app3868/i  -1.119 -0.963  -1.116 -1.091  -1.028 -0.978  -0.932 -0.871  -0.837 -0.762  -0.743 -0.653  -0.650 -0.543  -0.563 -0.428  -0.479 -0.311  -0.395 -0.194  -0.335 -0.063  -0.274 0.068  -0.238 0.207  -0.213 0.348  -0.227 0.382  -0.329 0.280  -0.388 0.151  -0.437 0.015  -0.462 -0.124  -0.462 -0.269  -0.434 -0.408  -0.385 -0.543  -0.292 -0.649  -0.184 -0.745  -0.066 -0.827  0.057 -0.900  0.198 -0.931  0.340 -0.955  0.466 -0.910  0.579 -0.822  0.598 -0.689  0.593 -0.545  0.589 -0.401  0.584 -0.256  0.579 -0.112  0.574 0.032  0.570 0.176  0.565 0.320  0.560 0.464  0.555 0.608  0.550 0.752  0.546 0.896  0.541 1.040  0.536 1.184  0.531 1.329  0.527 1.473  0.522 1.617  0.517 1.761  0.512 1.905  0.398 1.936
3#apb#apb38#app3868/n  -0.817 0.466  -0.750 0.608  -0.742 0.665  -0.765 0.512  -0.743 0.357  -0.753 0.201  -0.779 0.047  -0.841 -0.097  -0.894 -0.169  -0.893 -0.103  -0.904 -0.243  -0.949 -0.394  -1.003 -0.541  -1.040 -0.693  -1.127 -0.771  -1.097 -0.680  -1.006 -0.552  -0.905 -0.432  -0.804 -0.312  -0.703 -0.192  -0.606 -0.068  -0.509 0.055  -0.410 0.177  -0.303 0.293  -0.197 0.408  -0.086 0.519  0.037 0.617  0.164 0.706  0.315 0.749  0.389 0.677  0.334 0.530  0.319 0.375  0.319 0.218  0.319 0.061  0.319 -0.096  0.338 -0.249  0.401 -0.393  0.488 -0.523  0.636 -0.541  0.793 -0.541  0.949 -0.537  1.092 -0.473  1.221 -0.388  1.332 -0.277  1.436 -0.160  1.526 -0.031  1.616 0.097  1.708 0.225  1.754 0.374  1.817 0.518
3#apb#apb38#app3868/a  0.689 0.645  0.689 0.783  0.723 0.914  0.757 1.045  0.756 1.183  0.620 1.206  0.483 1.209  0.345 1.193  0.212 1.162  0.091 1.095  -0.031 1.029  -0.152 0.962  -0.271 0.892  -0.391 0.822  -0.511 0.752  -0.606 0.652  -0.699 0.549  -0.791 0.446  -0.851 0.324  -0.891 0.192  -0.932 0.060  -0.959 -0.075  -0.959 -0.213  -0.959 -0.352  -0.959 -0.491  -0.901 -0.615  -0.839 -0.739  -0.763 -0.849  -0.639 -0.911  -0.511 -0.910  -0.379 -0.866  -0.252 -0.813  -0.137 -0.736  -0.022 -0.659  0.074 -0.561  0.161 -0.453  0.247 -0.345  0.340 -0.242  0.438 -0.144  0.518 -0.032  0.521 -0.162  0.535 -0.299  0.549 -0.437  0.583 -0.570  0.635 -0.699  0.686 -0.827  0.774 -0.934  0.864 -1.039  0.988 -1.071  1.127 -1.071
3#apb#apb38#app3868/S  0.369 1.279  0.329 1.365  0.253 1.417  0.158 1.428  0.062 1.422  -0.032 1.408  -0.115 1.360  -0.177 1.288  -0.235 1.211  -0.283 1.128  -0.291 1.034  -0.291 0.938  -0.277 0.845  -0.236 0.758  -0.195 0.671  -0.143 0.592  -0.075 0.524  -0.007 0.456  0.061 0.388  0.127 0.318  0.192 0.248  0.258 0.178  0.319 0.103  0.377 0.027  0.435 -0.049  0.489 -0.129  0.532 -0.215  0.575 -0.301  0.592 -0.395  0.607 -0.490  0.579 -0.579  0.542 -0.668  0.482 -0.742  0.417 -0.813  0.346 -0.875  0.257 -0.912  0.168 -0.948  0.078 -0.981  -0.013 -1.009  -0.105 -1.037  -0.197 -1.065  -0.292 -1.075  -0.388 -1.075  -0.484 -1.075  -0.580 -1.072  -0.674 -1.054  -0.769 -1.036  -0.854 -0.997  -0.928 -0.939  -0.965 -0.850
3#apb#apb38#app3868/t  0.364 1.296  0.479 1.450  0.524 1.571  0.383 1.451  0.261 1.302  0.147 1.148  0.061 0.976  0.003 0.793  -0.044 0.607  -0.093 0.421  -0.145 0.235  -0.198 0.050  -0.215 -0.141  -0.226 -0.333  -0.206 -0.524  -0.183 -0.715  -0.161 -0.906  -0.135 -1.096  -0.024 -1.254  0.119 -1.378  0.288 -1.467  0.469 -1.521  0.650 -1.459  0.787 -1.323  0.851 -1.144  0.759 -1.009  0.604 -0.894  0.450 -0.779  0.296 -0.664  0.141 -0.549  -0.013 -0.434  -0.168 -0.319  -0.322 -0.205  -0.476 -0.090  -0.631 0.025  -0.785 0.140  -0.943 0.246  -1.135 0.246  -1.144 0.266  -0.968 0.344  -0.790 0.417  -0.611 0.487  -0.419 0.503  -0.228 0.518  -0.036 0.536  0.154 0.568  0.343 0.600  0.533 0.633  0.722 0.669  0.911 0.705
3#apb#apb38#app3868/.  -0.648 1.407  -0.578 1.407  -0.507 1.407  -0.437 1.407  -0.369 1.404  -0.351 1.336  -0.332 1.268  -0.314 1.200  -0.295 1.133  -0.277 1.065  -0.258 0.997  -0.240 0.929  -0.221 0.861  -0.203 0.793  -0.184 0.726  -0.166 0.658  -0.147 0.590  -0.129 0.522  -0.110 0.454  -0.092 0.386  -0.073 0.319  -0.055 0.251  -0.036 0.183  -0.018 0.115  0.001 0.047  0.019 -0.021  0.038 -0.088  0.056 -0.156  0.075 -0.224  0.093 -0.292  0.112 -0.360  0.130 -0.428  0.149 -0.495  0.167 -0.563  0.186 -0.631  0.204 -0.699  0.223 -0.767  0.241 -0.835  0.260 -0.903  0.278 -0.970  0.297 -1.038  0.315 -1.106  0.334 -1.174  0.352 -1.242  0.371 -1.310  0.389 -1.377  0.408 -1.445  0.426 -1.513  0.445 -1.581  0.463 -1.649
3#apb#apb38#app3868/1  0.388 1.124  0.380 1.164  0.376 1.214  0.378 1.216  0.356 1.249  0.368 1.303  0.339 1.328  0.323 1.307  0.323 1.232  0.323 1.158  0.315 1.084  0.304 1.010  0.293 0.936  0.282 0.862  0.271 0.788  0.260 0.714  0.242 0.642  0.222 0.570  0.203 0.498  0.183 0.426  0.163 0.354  0.144 0.282  0.124 0.210  0.103 0.138  0.079 0.068  0.055 -0.003  0.031 -0.074  0.007 -0.144  -0.018 -0.215  -0.042 -0.286  -0.066 -0.356  -0.090 -0.427  -0.114 -0.498  -0.140 -0.568  -0.165 -0.638  -0.191 -0.708  -0.217 -0.778  -0.242 -0.848  -0.268 -0.918  -0.294 -0.988  -0.327 -1.055  -0.362 -1.121  -0.396 -1.187  -0.431 -1.254  -0.466 -1.320  -0.509 -1.380  -0.556 -1.438  -0.604 -1.496  -0.647 -1.556  -0.689 -1.618
3#apb#apb38#app3868/2  -0.706 1.186  -0.614 1.287  -0.475 1.334  -0.335 1.374  -0.190 1.392  -0.044 1.410  0.099 1.386  0.242 1.355  0.379 1.314  0.456 1.190  0.534 1.066  0.593 0.934  0.619 0.790  0.646 0.646  0.629 0.503  0.596 0.361  0.562 0.218  0.513 0.082  0.435 -0.042  0.357 -0.166  0.275 -0.287  0.180 -0.399  0.086 -0.511  -0.009 -0.622  -0.127 -0.709  -0.245 -0.795  -0.364 -0.881  -0.492 -0.949  -0.630 -1.000  -0.767 -1.051  -0.911 -1.065  -1.023 -1.015  -1.033 -0.883  -0.954 -0.760  -0.862 -0.647  -0.751 -0.552  -0.639 -0.458  -0.512 -0.386  -0.382 -0.318  -0.250 -0.256  -0.105 -0.240  0.041 -0.224  0.182 -0.242  0.318 -0.295  0.454 -0.351  0.579 -0.427  0.704 -0.502  0.840 -0.556  0.979 -0.602  1.121 -0.640
3#apb#apb38#app3868/B  -1.048 -1.284  -1.016 -1.304  -0.955 -1.146  -0.908 -0.983  -0.865 -0.819  -0.809 -0.659  -0.748 -0.500  -0.687 -0.342  -0.609 -0.192  -0.525 -0.044  -0.442 0.103  -0.356 0.250  -0.256 0.387  -0.156 0.524  -0.056 0.661  0.048 0.794  0.170 0.912  0.292 1.031  0.414 1.149  0.549 1.251  0.688 1.347  0.833 1.433  0.954 1.428  0.905 1.268  0.839 1.112  0.755 0.965  0.664 0.821  0.566 0.683  0.457 0.553  0.346 0.425  0.226 0.305  0.104 0.187  -0.023 0.075  -0.167 -0.013  -0.172 -0.107  -0.004 -0.127  0.164 -0.149  0.329 -0.179  0.472 -0.272  0.594 -0.387  0.591 -0.544  0.471 -0.664  0.339 -0.771  0.197 -0.862  0.045 -0.938  -0.115 -0.992  -0.278 -1.039  -0.440 -1.087  -0.608 -1.111  -0.769 -1.151
3#apb#apb38#app3868/i  0.263 1.659  0.231 1.595  0.199 1.531  0.167 1.467  0.135 1.403  0.103 1.339  0.071 1.275  0.039 1.211  0.007 1.147  -0.025 1.083  -0.057 1.018  -0.087 0.954  -0.076 0.883  -0.065 0.812  -0.055 0.741  -0.044 0.671  -0.034 0.600  -0.023 0.529  -0.012 0.458  -0.002 0.387  0.009 0.316  0.020 0.246  0.030 0.175  0.041 0.104  0.051 0.033  0.062 -0.038  0.073 -0.109  0.083 -0.180  0.085 -0.251  0.081 -0.322  0.076 -0.394  0.071 -0.465  0.066 -0.537  0.062 -0.608  0.057 -0.680  0.052 -0.751  0.047 -0.823  0.042 -0.894  0.038 -0.966  0.033 -1.037  0.016 -1.104  -0.028 -1.161  -0.072 -1.217  -0.116 -1.274  -0.160 -1.330  -0.204 -1.387  -0.248 -1.443  -0.291 -1.500  -0.335 -1.556  -0.379 -1.613
3#apb#apb38#app3868/g  0.014 1.414  -0.090 1.323  -0.164 1.207  -0.231 1.085  -0.296 0.963  -0.368 0.845  -0.443 0.728  -0.470 0.593  -0.371 0.537  -0.237 0.567  -0.117 0.636  -0.008 0.719  0.090 0.817  0.183 0.919  0.248 1.038  0.205 1.096  0.192 0.964  0.234 0.832  0.301 0.714  0.341 0.760  0.398 0.633  0.470 0.515  0.535 0.393  0.587 0.265  0.630 0.134  0.662 -0.001  0.688 -0.137  0.712 -0.273  0.729 -0.410  0.729 -0.549  0.705 -0.682  0.646 -0.807  0.576 -0.923  0.469 -1.011  0.362 -1.100  0.230 -1.139  0.096 -1.176  -0.039 -1.203  -0.177 -1.203  -0.316 -1.203  -0.451 -1.189  -0.581 -1.140  -0.710 -1.091  -0.803 -0.988  -0.894 -0.884  -0.935 -0.756  -0.953 -0.620  -0.896 -0.494  -0.795 -0.402  -0.686 -0.317
