2#app#app19#app1923/p  -0.776 0.272  -0.776 0.365  -0.699 0.272  -0.644 0.157  -0.575 0.002  -0.512 -0.153  -0.512 -0.324  -0.437 -0.463  -0.380 -0.610  -0.380 -0.780  -0.305 -0.933  -0.218 -1.078  -0.116 -1.206  -0.116 -1.376  -0.116 -1.547  -0.016 -1.676  0.016 -1.585  -0.056 -1.431  -0.116 -1.275  -0.116 -1.104  -0.116 -0.934  -0.131 -0.770  -0.248 -0.648  -0.248 -0.477  -0.248 -0.307  -0.248 -0.136  -0.248 0.034  -0.248 0.205  -0.248 0.375  -0.248 0.546  -0.248 0.716  -0.248 0.887  -0.159 1.020  -0.039 1.141  0.109 1.196  0.279 1.196  0.450 1.196  0.620 1.196  0.779 1.145  0.931 1.069  0.968 0.932  1.073 0.866  1.073 0.696  0.933 0.660  0.812 0.540  0.653 0.513  0.528 0.404  0.357 0.404  0.187 0.404  0.016 0.404
2#app#app19#app1923/(  0.696 0.913  0.696 0.995  0.696 1.076  0.696 1.158  0.656 1.200  0.575 1.200  0.493 1.200  0.412 1.200  0.409 1.120  0.392 1.057  0.310 1.057  0.240 1.030  0.182 0.972  0.124 0.915  0.123 0.834  0.110 0.757  0.053 0.700  -0.005 0.642  -0.063 0.584  -0.120 0.527  -0.163 0.463  -0.163 0.381  -0.192 0.312  -0.250 0.254  -0.307 0.196  -0.307 0.115  -0.307 0.033  -0.307 -0.049  -0.307 -0.130  -0.307 -0.212  -0.307 -0.293  -0.307 -0.375  -0.307 -0.456  -0.307 -0.538  -0.307 -0.619  -0.307 -0.701  -0.307 -0.782  -0.307 -0.864  -0.307 -0.946  -0.307 -1.027  -0.295 -1.104  -0.237 -1.161  -0.179 -1.219  -0.163 -1.294  -0.163 -1.375  -0.108 -1.434  -0.050 -1.492  0.008 -1.549  0.065 -1.607  0.123 -1.665
2#app#app19#app1923/2  -0.920 1.145  -0.821 1.145  -0.722 1.145  -0.623 1.145  -0.524 1.145  -0.425 1.145  -0.326 1.145  -0.228 1.145  -0.129 1.145  -0.030 1.145  0.069 1.145  0.132 1.108  0.132 1.009  0.191 0.969  0.290 0.969  0.307 0.887  0.307 0.788  0.307 0.690  0.307 0.591  0.307 0.492  0.271 0.407  0.201 0.338  0.132 0.267  0.132 0.168  0.115 0.076  0.045 0.006  -0.025 -0.064  -0.044 -0.155  -0.044 -0.254  -0.044 -0.353  -0.057 -0.446  -0.127 -0.516  -0.197 -0.586  -0.219 -0.676  -0.219 -0.775  -0.219 -0.874  -0.219 -0.973  -0.219 -1.072  -0.183 -1.135  -0.084 -1.135  -0.002 -1.176  0.068 -1.246  0.140 -1.310  0.239 -1.310  0.338 -1.310  0.437 -1.310  0.482 -1.256  0.482 -1.157  0.559 -1.135  0.658 -1.135
2#app#app19#app1923/3  -0.818 1.156  -0.734 1.240  -0.650 1.323  -0.532 1.325  -0.414 1.325  -0.295 1.325  -0.176 1.325  -0.057 1.325  0.052 1.303  0.136 1.219  0.199 1.126  0.199 1.007  0.199 0.889  0.199 0.770  0.199 0.651  0.199 0.532  0.135 0.477  0.029 0.464  0.029 0.346  -0.051 0.308  -0.161 0.287  -0.245 0.203  -0.329 0.119  -0.413 0.035  -0.479 -0.057  -0.479 -0.175  -0.386 -0.201  -0.267 -0.201  -0.148 -0.201  -0.062 -0.279  0.022 -0.363  0.138 -0.370  0.256 -0.370  0.369 -0.377  0.369 -0.496  0.443 -0.540  0.538 -0.564  0.538 -0.682  0.538 -0.801  0.538 -0.920  0.538 -1.038  0.461 -1.125  0.377 -1.209  0.293 -1.293  0.209 -1.377  0.095 -1.388  -0.008 -1.425  -0.092 -1.509  -0.191 -1.557  -0.310 -1.557
2#app#app19#app1923/4  -1.056 0.684  -1.056 0.524  -1.056 0.627  -1.056 0.581  -1.056 0.421  -1.056 0.262  -1.056 0.102  -1.056 -0.057  -0.907 -0.068  -0.869 -0.189  -0.776 -0.256  -0.635 -0.301  -0.523 -0.414  -0.375 -0.444  -0.216 -0.444  -0.056 -0.444  0.077 -0.412  0.108 -0.255  0.140 -0.099  0.171 0.058  0.202 0.214  0.233 0.371  0.265 0.527  0.296 0.683  0.327 0.840  0.359 0.996  0.390 1.153  0.421 1.309  0.446 1.404  0.446 1.244  0.446 1.085  0.446 0.925  0.446 0.766  0.446 0.606  0.446 0.447  0.446 0.287  0.446 0.127  0.446 -0.032  0.446 -0.192  0.446 -0.351  0.446 -0.511  0.446 -0.670  0.446 -0.830  0.446 -0.989  0.446 -1.149  0.446 -1.308  0.446 -1.468  0.446 -1.627  0.446 -1.787  0.446 -1.946
2#app#app19#app1923/)  -0.694 1.400  -0.694 1.323  -0.680 1.261  -0.603 1.261  -0.526 1.261  -0.449 1.261  -0.385 1.230  -0.330 1.176  -0.276 1.121  -0.221 1.067  -0.167 1.012  -0.113 0.958  -0.058 0.904  -0.004 0.849  0.002 0.775  0.007 0.699  0.061 0.645  0.115 0.591  0.142 0.525  0.142 0.448  0.180 0.387  0.235 0.332  0.281 0.274  0.281 0.198  0.281 0.121  0.281 0.044  0.281 -0.033  0.281 -0.110  0.281 -0.187  0.281 -0.264  0.281 -0.341  0.279 -0.418  0.255 -0.491  0.230 -0.564  0.206 -0.637  0.182 -0.710  0.157 -0.783  0.142 -0.857  0.142 -0.934  0.142 -1.011  0.142 -1.088  0.101 -1.148  0.047 -1.203  0.002 -1.261  0.002 -1.338  0.002 -1.415  0.002 -1.492  -0.028 -1.557  -0.083 -1.611  -0.137 -1.665
2#app#app19#app1923/5  -0.560 0.371  -0.375 0.371  -0.290 0.471  -0.425 0.491  -0.454 0.313  -0.537 0.147  -0.560 -0.032  -0.695 -0.082  -0.695 -0.267  -0.695 -0.452  -0.632 -0.574  -0.480 -0.494  -0.318 -0.439  -0.139 -0.423  -0.004 -0.304  0.181 -0.304  0.366 -0.304  0.385 -0.471  0.385 -0.656  0.385 -0.841  0.385 -1.026  0.288 -1.114  0.241 -1.257  0.109 -1.384  -0.020 -1.440  -0.126 -1.519  -0.148 -1.363  -0.139 -1.179  -0.130 -0.994  -0.121 -0.809  -0.113 -0.624  -0.104 -0.439  -0.095 -0.255  -0.086 -0.070  -0.077 0.115  -0.069 0.300  -0.060 0.484  -0.051 0.669  -0.042 0.854  -0.033 1.039  -0.025 1.224  0.045 1.250  0.201 1.181  0.251 1.317  0.417 1.399  0.590 1.451  0.775 1.451  0.960 1.451  1.145 1.451  1.195 1.316
2#app#app19#app1923/6  -0.604 1.763  -0.604 1.597  -0.604 1.431  -0.611 1.267  -0.728 1.149  -0.767 0.999  -0.767 0.833  -0.767 0.666  -0.767 0.500  -0.767 0.333  -0.767 0.167  -0.767 0.001  -0.767 -0.166  -0.767 -0.332  -0.767 -0.498  -0.703 -0.650  -0.628 -0.799  -0.604 -0.959  -0.489 -1.011  -0.323 -1.011  -0.156 -1.011  0.010 -1.011  0.176 -1.011  0.343 -1.011  0.470 -0.917  0.601 -0.817  0.749 -0.742  0.891 -0.658  1.009 -0.541  1.127 -0.423  1.191 -0.284  1.191 -0.117  1.191 0.049  1.132 0.191  1.028 0.314  1.005 0.458  0.839 0.458  0.673 0.458  0.506 0.458  0.340 0.458  0.212 0.419  0.170 0.295  0.004 0.295  -0.114 0.246  -0.166 0.131  -0.277 0.077  -0.277 -0.090  -0.234 -0.238  -0.116 -0.356  0.049 -0.358
2#app#app19#app1923/7  -1.214 1.052  -1.050 1.052  -0.943 1.110  -0.858 1.188  -0.808 1.302  -0.665 1.323  -0.501 1.323  -0.337 1.323  -0.173 1.323  -0.009 1.323  0.110 1.216  0.263 1.188  0.274 1.035  0.274 0.871  0.274 0.708  0.274 0.544  0.274 0.380  0.161 0.263  0.139 0.108  0.120 -0.048  0.005 -0.164  0.004 -0.328  0.004 -0.492  0.041 -0.647  0.115 -0.793  0.139 -0.952  0.139 -1.116  0.161 -1.270  0.274 -1.387  0.274 -1.551  0.255 -1.595  0.203 -1.439  0.151 -1.284  0.099 -1.128  0.047 -0.973  -0.005 -0.817  -0.056 -0.662  -0.108 -0.506  -0.160 -0.351  -0.212 -0.195  -0.264 -0.040  -0.249 -0.165  -0.085 -0.165  0.079 -0.165  0.213 -0.092  0.351 -0.030  0.515 -0.030  0.679 -0.030  0.835 -0.049  0.951 -0.165
2#app#app19#app1923/  -1.286 -0.376  -1.286 -0.282  -1.286 -0.188  -1.286 -0.094  -1.286 0.000  -1.286 0.094  -1.286 0.188  -1.286 0.282  -1.286 0.376  -1.207 0.392  -1.113 0.392  -1.019 0.392  -0.925 0.392  -0.831 0.392  -0.737 0.392  -0.643 0.392  -0.549 0.392  -0.455 0.392  -0.361 0.392  -0.267 0.392  -0.172 0.392  -0.078 0.392  0.016 0.392  0.110 0.392  0.204 0.392  0.251 0.345  0.251 0.251  0.251 0.157  0.251 0.063  0.251 -0.031  0.251 -0.125  0.251 -0.220  0.251 -0.314  0.282 -0.376  0.376 -0.376  0.470 -0.376  0.564 -0.376  0.659 -0.376  0.753 -0.376  0.847 -0.376  0.941 -0.376  1.035 -0.376  1.129 -0.376  1.223 -0.376  1.317 -0.376  1.411 -0.376  1.505 -0.376  1.599 -0.376  1.693 -0.376  1.787 -0.376
2#app#app19#app1923/8  0.648 0.724  0.648 0.909  0.648 1.094  0.500 1.139  0.364 1.257  0.179 1.257  -0.005 1.257  -0.186 1.240  -0.351 1.157  -0.528 1.124  -0.705 1.104  -0.842 0.991  -0.951 0.915  -0.951 0.730  -0.825 0.598  -0.694 0.467  -0.564 0.336  -0.384 0.324  -0.224 0.264  -0.094 0.133  0.037 0.002  0.168 -0.128  0.298 -0.259  0.449 -0.342  0.633 -0.342  0.781 -0.379  0.781 -0.563  0.781 -0.748  0.781 -0.933  0.781 -1.118  0.754 -1.275  0.569 -1.275  0.384 -1.275  0.200 -1.275  0.015 -1.275  -0.170 -1.275  -0.334 -1.226  -0.418 -1.076  -0.536 -1.008  -0.551 -0.839  -0.551 -0.655  -0.548 -0.472  -0.418 -0.340  -0.381 -0.171  -0.250 -0.041  -0.111 0.078  0.054 0.161  0.220 0.243  0.384 0.327  0.515 0.458
2#app#app19#app1923/9  0.166 -0.252  0.267 -0.150  0.331 -0.033  0.331 0.110  0.331 0.253  0.331 0.396  0.331 0.540  0.253 0.651  0.166 0.758  0.166 0.901  0.025 0.903  0.001 1.022  -0.097 1.068  -0.240 1.068  -0.383 1.068  -0.526 1.068  -0.670 1.068  -0.813 1.068  -0.824 0.936  -0.934 0.903  -0.989 0.814  -0.989 0.671  -0.957 0.541  -0.855 0.440  -0.824 0.310  -0.747 0.243  -0.620 0.204  -0.518 0.103  -0.385 0.078  -0.268 0.017  -0.166 -0.084  -0.164 -0.226  -0.046 -0.252  0.087 -0.295  0.215 -0.359  0.345 -0.416  0.488 -0.416  0.592 -0.512  0.706 -0.581  0.826 -0.605  0.824 -0.748  0.723 -0.849  0.661 -0.967  0.661 -1.110  0.652 -1.250  0.551 -1.351  0.496 -1.471  0.496 -1.614  0.496 -1.758  0.496 -1.901
2#app#app19#app1923/0  -0.098 0.965  -0.233 0.965  -0.368 0.965  -0.497 0.959  -0.497 0.824  -0.574 0.765  -0.705 0.757  -0.801 0.661  -0.896 0.566  -0.957 0.445  -1.018 0.324  -1.078 0.203  -1.097 0.073  -1.097 -0.062  -1.097 -0.198  -1.097 -0.333  -1.063 -0.434  -0.928 -0.434  -0.823 -0.508  -0.728 -0.603  -0.632 -0.699  -0.537 -0.794  -0.418 -0.834  -0.283 -0.834  -0.148 -0.834  -0.012 -0.834  0.123 -0.834  0.258 -0.834  0.366 -0.769  0.462 -0.674  0.580 -0.634  0.702 -0.620  0.702 -0.485  0.786 -0.434  0.921 -0.434  1.056 -0.434  1.101 -0.344  1.101 -0.209  1.101 -0.073  1.101 0.062  1.101 0.197  1.101 0.332  0.999 0.365  0.875 0.392  0.780 0.487  0.684 0.583  0.589 0.678  0.493 0.774  0.397 0.869  0.302 0.965
2#app#app19#app1923/1  0.187 1.484  0.114 1.484  0.041 1.484  -0.033 1.484  -0.102 1.480  -0.102 1.407  -0.102 1.334  -0.102 1.261  -0.102 1.187  -0.102 1.114  -0.102 1.041  -0.102 0.967  -0.102 0.894  -0.102 0.821  -0.102 0.748  -0.102 0.674  -0.102 0.601  -0.102 0.528  -0.102 0.454  -0.102 0.381  -0.102 0.308  -0.102 0.235  -0.102 0.161  -0.102 0.088  -0.102 0.015  -0.102 -0.059  -0.102 -0.132  -0.102 -0.205  -0.102 -0.278  -0.102 -0.352  -0.102 -0.425  -0.102 -0.498  -0.080 -0.562  -0.028 -0.614  0.024 -0.666  0.075 -0.718  0.127 -0.770  0.179 -0.822  0.187 -0.891  0.187 -0.965  0.187 -1.038  0.187 -1.111  0.187 -1.185  0.187 -1.258  0.187 -1.331  0.187 -1.404  0.187 -1.478  0.187 -1.551  0.187 -1.624  0.187 -1.698
2#app#app19#app1923/.  1.600 -0.548  1.512 -0.548  1.425 -0.548  1.337 -0.548  1.249 -0.548  1.161 -0.548  1.074 -0.548  0.986 -0.548  0.899 -0.548  0.811 -0.548  0.723 -0.548  0.636 -0.548  0.548 -0.548  0.460 -0.548  0.373 -0.548  0.285 -0.548  0.197 -0.548  0.110 -0.548  0.022 -0.548  -0.066 -0.548  -0.153 -0.548  -0.241 -0.548  -0.329 -0.548  -0.416 -0.548  -0.504 -0.548  -0.548 -0.504  -0.548 -0.416  -0.548 -0.329  -0.548 -0.241  -0.548 -0.153  -0.548 -0.066  -0.548 0.022  -0.548 0.110  -0.548 0.197  -0.548 0.285  -0.548 0.373  -0.548 0.460  -0.548 0.548  -0.548 0.636  -0.548 0.723  -0.548 0.811  -0.548 0.899  -0.548 0.986  -0.548 1.074  -0.548 1.162  -0.548 1.249  -0.548 1.337  -0.548 1.425  -0.548 1.512  -0.548 1.600
