1c#app#app08#app0868/f  0.111 1.240  0.111 1.083  0.124 0.930  0.171 0.791  0.222 0.655  0.230 0.555  0.230 0.713  0.230 0.870  0.230 1.028  0.201 1.179  0.111 1.305  0.065 1.452  -0.053 1.537  -0.203 1.520  -0.289 1.390  -0.307 1.236  -0.364 1.092  -0.364 0.934  -0.364 0.776  -0.364 0.618  -0.346 0.462  -0.324 0.306  -0.299 0.150  -0.261 -0.003  -0.204 -0.150  -0.149 -0.297  -0.099 -0.447  -0.026 -0.583  0.067 -0.706  0.119 -0.855  0.190 -0.996  0.278 -1.124  0.349 -1.263  0.349 -1.421  0.349 -1.579  0.260 -1.522  0.148 -1.410  0.037 -1.299  -0.075 -1.187  -0.187 -1.075  -0.298 -0.964  -0.410 -0.852  -0.309 -0.779  -0.221 -0.678  -0.126 -0.601  0.005 -0.535  0.146 -0.465  0.288 -0.394  0.434 -0.335  0.586 -0.304
1c#app#app08#app0868/d  0.137 -0.030  0.041 -0.114  -0.073 -0.248  -0.172 -0.398  -0.279 -0.541  -0.406 -0.668  -0.497 -0.820  -0.604 -0.962  -0.627 -1.132  -0.627 -1.311  -0.538 -1.454  -0.362 -1.461  -0.201 -1.417  -0.074 -1.290  0.053 -1.163  0.180 -1.036  0.232 -0.878  0.232 -0.699  0.232 -0.519  0.232 -0.340  0.232 -0.160  0.232 0.019  0.232 0.198  0.232 0.378  0.232 0.557  0.232 0.737  0.232 0.916  0.232 1.096  0.232 1.275  0.232 1.455  0.118 1.573  -0.032 1.672  -0.111 1.783  -0.213 1.657  -0.245 1.485  -0.245 1.306  -0.245 1.126  -0.245 0.947  -0.218 0.774  -0.141 0.612  -0.084 0.442  -0.027 0.271  0.029 0.101  0.105 -0.061  0.185 -0.222  0.265 -0.382  0.345 -0.543  0.427 -0.702  0.518 -0.844  0.614 -0.984
1c#app#app08#app0868/k  -0.533 2.247  -0.533 2.066  -0.533 1.885  -0.467 1.732  -0.421 1.570  -0.421 1.389  -0.421 1.208  -0.421 1.027  -0.404 0.849  -0.346 0.677  -0.309 0.502  -0.309 0.321  -0.309 0.140  -0.239 -0.024  -0.158 -0.186  -0.085 -0.350  -0.085 -0.531  -0.071 -0.710  -0.014 -0.881  0.027 -1.056  0.029 -1.224  0.080 -1.050  0.131 -0.877  0.182 -0.703  0.234 -0.529  0.285 -0.356  0.336 -0.182  0.387 -0.009  0.438 0.165  0.489 0.339  0.540 0.512  0.582 0.670  0.454 0.542  0.310 0.452  0.165 0.365  0.037 0.238  -0.091 0.110  -0.197 -0.028  -0.268 -0.179  -0.309 -0.343  -0.309 -0.524  -0.277 -0.685  -0.115 -0.766  -0.060 -0.918  0.082 -1.024  0.253 -1.081  0.428 -1.118  0.570 -1.212  0.744 -1.230  0.925 -1.230
1c#app#app08#app0868/n  -0.877 0.548  -0.877 0.398  -0.877 0.248  -0.779 0.139  -0.722 0.013  -0.722 -0.137  -0.722 -0.287  -0.699 -0.432  -0.632 -0.566  -0.566 -0.700  -0.566 -0.850  -0.566 -1.000  -0.566 -1.150  -0.566 -1.300  -0.436 -1.320  -0.410 -1.196  -0.410 -1.046  -0.410 -0.896  -0.410 -0.746  -0.410 -0.596  -0.410 -0.446  -0.370 -0.305  -0.303 -0.171  -0.255 -0.033  -0.255 0.117  -0.255 0.267  -0.255 0.417  -0.255 0.567  -0.255 0.717  -0.249 0.865  -0.143 0.971  -0.012 1.015  0.057 1.097  0.133 1.171  0.262 1.121  0.368 1.015  0.474 0.909  0.580 0.803  0.686 0.697  0.792 0.591  0.898 0.485  0.991 0.373  1.000 0.227  1.106 0.121  1.147 -0.012  1.208 -0.136  1.302 -0.247  1.314 -0.386  1.458 -0.392  1.458 -0.542
1c#app#app08#app0868/e  -0.545 -0.024  -0.545 -0.180  -0.540 -0.330  -0.385 -0.330  -0.230 -0.330  -0.074 -0.330  0.077 -0.320  0.187 -0.210  0.329 -0.177  0.484 -0.177  0.526 -0.063  0.642 -0.024  0.763 0.060  0.873 0.170  0.982 0.279  0.985 0.434  0.985 0.589  0.985 0.745  0.979 0.894  0.826 0.900  0.716 1.010  0.679 1.150  0.573 1.200  0.418 1.200  0.263 1.200  0.119 1.150  -0.020 1.080  -0.086 0.966  -0.161 0.856  -0.300 0.787  -0.409 0.691  -0.458 0.544  -0.507 0.396  -0.570 0.257  -0.680 0.147  -0.698 -0.000  -0.698 -0.156  -0.698 -0.311  -0.698 -0.467  -0.698 -0.622  -0.698 -0.777  -0.698 -0.933  -0.595 -1.045  -0.545 -1.180  -0.483 -1.310  -0.366 -1.401  -0.213 -1.414  -0.074 -1.484  0.065 -1.553  0.220 -1.554
1c#app#app08#app0868/w  -1.353 0.343  -1.353 0.219  -1.353 0.094  -1.353 -0.030  -1.353 -0.155  -1.329 -0.269  -1.241 -0.357  -1.153 -0.445  -1.117 -0.555  -1.037 -0.599  -0.912 -0.599  -0.788 -0.599  -0.663 -0.599  -0.539 -0.599  -0.447 -0.519  -0.359 -0.431  -0.263 -0.364  -0.149 -0.338  -0.061 -0.250  0.027 -0.162  0.061 -0.051  0.061 -0.094  0.061 -0.218  0.061 -0.343  0.061 -0.467  0.061 -0.592  0.178 -0.599  0.303 -0.599  0.427 -0.599  0.532 -0.580  0.551 -0.463  0.639 -0.375  0.759 -0.364  0.768 -0.248  0.770 -0.124  0.826 -0.013  0.881 0.098  0.886 0.222  0.886 0.346  0.886 0.471  0.886 0.596  0.876 0.718  0.820 0.829  0.768 0.941  0.768 1.066  0.753 1.184  0.664 1.272  0.650 1.391  0.539 1.404  0.415 1.404
1c#app#app08#app0868/t  0.110 2.163  0.088 2.003  -0.027 1.881  -0.027 1.712  -0.027 1.543  -0.027 1.374  -0.027 1.204  -0.027 1.035  -0.027 0.866  -0.027 0.697  -0.027 0.528  -0.027 0.358  -0.027 0.189  -0.027 0.020  -0.027 -0.149  -0.022 -0.317  0.054 -0.468  0.110 -0.624  0.110 -0.793  0.144 -0.957  0.198 -1.118  0.247 -1.279  0.219 -1.369  0.112 -1.238  0.005 -1.107  -0.102 -0.976  -0.209 -0.845  -0.316 -0.715  -0.423 -0.584  -0.531 -0.453  -0.638 -0.322  -0.745 -0.191  -0.852 -0.060  -0.959 0.071  -0.862 0.105  -0.830 -0.032  -0.661 -0.032  -0.516 -0.091  -0.379 -0.169  -0.210 -0.169  -0.041 -0.169  0.128 -0.169  0.298 -0.169  0.467 -0.169  0.636 -0.169  0.805 -0.169  0.974 -0.169  1.144 -0.169  1.313 -0.169  1.482 -0.169
1c#app#app08#app0868/h  -0.365 1.914  -0.465 1.872  -0.465 1.730  -0.465 1.588  -0.465 1.446  -0.515 1.316  -0.565 1.186  -0.565 1.044  -0.565 0.902  -0.565 0.760  -0.546 0.620  -0.519 0.480  -0.491 0.341  -0.465 0.202  -0.465 0.060  -0.465 -0.082  -0.465 -0.224  -0.465 -0.366  -0.449 -0.502  -0.365 -0.609  -0.365 -0.751  -0.362 -0.892  -0.299 -1.019  -0.265 -1.153  -0.165 -1.175  -0.113 -1.085  -0.065 -0.991  -0.065 -0.849  -0.065 -0.707  -0.012 -0.578  0.035 -0.447  0.035 -0.305  0.035 -0.163  0.063 -0.028  0.127 0.099  0.152 0.232  0.260 0.314  0.334 0.247  0.434 0.205  0.471 0.078  0.572 -0.023  0.682 -0.109  0.809 -0.173  0.844 -0.295  0.944 -0.395  1.034 -0.500  1.074 -0.626  1.134 -0.743  1.205 -0.856  1.234 -0.985
1c#app#app08#app0868/a  0.117 0.521  0.117 0.695  0.117 0.868  0.094 1.032  -0.028 1.154  -0.194 1.172  -0.368 1.172  -0.491 1.052  -0.534 0.896  -0.621 0.759  -0.744 0.637  -0.859 0.511  -0.859 0.338  -0.881 0.174  -1.004 0.051  -1.021 -0.114  -1.021 -0.288  -1.021 -0.461  -1.021 -0.634  -1.021 -0.807  -0.994 -0.969  -0.872 -1.092  -0.704 -1.105  -0.530 -1.105  -0.357 -1.105  -0.184 -1.105  -0.021 -1.080  0.102 -0.957  0.185 -0.806  0.262 -0.651  0.375 -0.522  0.442 -0.376  0.442 -0.203  0.442 -0.030  0.442 0.143  0.527 0.281  0.605 0.423  0.605 0.596  0.605 0.769  0.605 0.751  0.680 0.609  0.767 0.472  0.767 0.299  0.817 0.146  0.930 0.020  0.930 -0.154  0.955 -0.317  1.077 -0.439  1.092 -0.606  1.255 -0.617
1c#app#app08#app0868/t  -0.219 1.903  -0.219 2.019  -0.219 1.861  -0.219 1.703  -0.219 1.544  -0.219 1.386  -0.219 1.227  -0.219 1.069  -0.219 0.910  -0.219 0.752  -0.188 0.601  -0.117 0.459  -0.082 0.309  -0.082 0.151  -0.082 -0.008  -0.082 -0.166  -0.082 -0.325  -0.082 -0.483  -0.082 -0.641  -0.082 -0.800  -0.006 -0.927  0.056 -1.060  0.056 -1.218  0.168 -1.265  0.100 -1.171  -0.012 -1.059  -0.124 -0.947  -0.236 -0.835  -0.348 -0.723  -0.460 -0.611  -0.572 -0.499  -0.684 -0.387  -0.796 -0.275  -0.907 -0.163  -0.749 -0.163  -0.590 -0.163  -0.432 -0.163  -0.273 -0.163  -0.115 -0.163  0.043 -0.163  0.202 -0.163  0.360 -0.163  0.519 -0.163  0.677 -0.163  0.836 -0.163  0.994 -0.163  1.152 -0.163  1.306 -0.152  1.418 -0.040  1.571 -0.025
1c#app#app08#app0868/s  0.714 0.659  0.586 0.659  0.585 0.787  0.495 0.878  0.456 0.991  0.391 1.079  0.276 1.137  0.156 1.176  0.028 1.176  -0.101 1.176  -0.226 1.159  -0.341 1.102  -0.457 1.047  -0.584 1.043  -0.675 0.952  -0.766 0.861  -0.839 0.762  -0.839 0.634  -0.839 0.505  -0.828 0.379  -0.771 0.263  -0.713 0.148  -0.602 0.087  -0.486 0.029  -0.362 0.011  -0.243 -0.028  -0.127 -0.085  -0.023 -0.158  0.069 -0.247  0.198 -0.247  0.326 -0.248  0.417 -0.339  0.508 -0.430  0.605 -0.506  0.728 -0.520  0.819 -0.611  0.844 -0.730  0.778 -0.831  0.687 -0.922  0.596 -1.013  0.471 -1.024  0.343 -1.024  0.247 -1.103  0.139 -1.154  0.010 -1.154  -0.102 -1.193  -0.194 -1.283  -0.322 -1.283  -0.451 -1.283  -0.580 -1.283
1c#app#app08#app0868/o  -1.211 0.685  -1.071 0.685  -1.060 0.556  -0.942 0.534  -0.908 0.427  -0.908 0.287  -0.908 0.147  -0.908 0.007  -0.908 -0.133  -0.873 -0.258  -0.774 -0.357  -0.757 -0.490  -0.757 -0.631  -0.757 -0.771  -0.698 -0.886  -0.597 -0.979  -0.456 -0.979  -0.316 -0.979  -0.176 -0.979  -0.036 -0.979  0.073 -0.905  0.181 -0.828  0.316 -0.814  0.415 -0.715  0.539 -0.676  0.679 -0.676  0.756 -0.613  0.793 -0.488  0.892 -0.389  0.991 -0.290  1.058 -0.178  1.058 -0.038  1.058 0.102  1.058 0.242  1.058 0.382  1.058 0.522  1.001 0.649  0.938 0.774  0.837 0.837  0.697 0.837  0.557 0.837  0.417 0.837  0.276 0.837  0.136 0.837  -0.003 0.835  -0.129 0.773  -0.254 0.710  -0.363 0.625  -0.466 0.534  -0.606 0.534
1c#app#app08#app0868/m  -1.432 0.319  -1.392 0.173  -1.326 0.039  -1.238 -0.087  -1.219 -0.242  -1.181 -0.395  -1.106 -0.538  -1.007 -0.659  -1.007 -0.821  -0.912 -0.944  -0.795 -0.916  -0.795 -0.754  -0.688 -0.636  -0.688 -0.473  -0.688 -0.311  -0.688 -0.149  -0.688 0.013  -0.688 0.175  -0.633 0.324  -0.547 0.460  -0.433 0.575  -0.297 0.638  -0.157 0.615  -0.102 0.476  0.040 0.425  0.159 0.321  0.161 0.160  0.238 0.030  0.278 -0.116  0.374 -0.238  0.374 -0.400  0.405 -0.531  0.480 -0.443  0.497 -0.285  0.569 -0.140  0.594 0.016  0.667 0.161  0.767 0.287  0.799 0.436  0.799 0.598  0.815 0.744  0.977 0.744  1.102 0.653  1.180 0.512  1.223 0.360  1.309 0.234  1.423 0.119  1.436 -0.038  1.503 -0.173  1.542 -0.318
1c#app#app08#app0868/e  -0.737 0.042  -0.722 -0.126  -0.599 -0.250  -0.475 -0.373  -0.319 -0.418  -0.145 -0.418  0.030 -0.418  0.182 -0.396  0.226 -0.265  0.382 -0.219  0.512 -0.111  0.642 -0.067  0.688 0.088  0.796 0.218  0.796 0.393  0.796 0.568  0.796 0.742  0.796 0.917  0.704 1.053  0.580 1.177  0.444 1.268  0.269 1.268  0.095 1.268  -0.080 1.268  -0.241 1.210  -0.397 1.132  -0.507 1.001  -0.604 0.856  -0.700 0.711  -0.814 0.579  -0.891 0.436  -0.891 0.261  -0.891 0.087  -0.891 -0.088  -0.891 -0.262  -0.877 -0.431  -0.754 -0.555  -0.630 -0.678  -0.507 -0.802  -0.364 -0.878  -0.215 -0.940  -0.078 -1.031  0.097 -1.031  0.271 -1.031  0.446 -1.031  0.621 -1.031  0.795 -1.031  0.919 -0.908  1.081 -0.878  1.256 -0.878
