1d#app#app32#app3257/!  0.096 1.291  0.096 1.366  0.096 1.441  0.074 1.494  -0.000 1.494  -0.006 1.425  -0.006 1.350  -0.013 1.277  -0.046 1.210  -0.080 1.143  -0.107 1.075  -0.107 1.000  -0.107 0.926  -0.107 0.851  -0.107 0.776  -0.107 0.701  -0.107 0.627  -0.107 0.552  -0.107 0.477  -0.107 0.402  -0.107 0.328  -0.107 0.253  -0.107 0.178  -0.107 0.103  -0.075 0.042  -0.022 -0.011  -0.006 -0.079  -0.006 -0.153  -0.006 -0.228  0.000 -0.303  0.007 -0.377  0.013 -0.452  0.019 -0.526  0.025 -0.601  0.032 -0.675  0.038 -0.750  0.044 -0.824  0.050 -0.899  0.056 -0.973  0.063 -1.047  0.069 -1.122  0.075 -1.196  0.081 -1.271  0.087 -1.345  0.094 -1.420  0.129 -1.481  0.182 -1.534  0.144 -1.549  0.096 -1.522  0.096 -1.447
1d#app#app32#app3257/~  -1.498 0.308  -1.390 0.308  -1.296 0.323  -1.296 0.431  -1.267 0.511  -1.159 0.511  -1.093 0.554  -1.093 0.662  -1.036 0.713  -0.927 0.713  -0.819 0.713  -0.710 0.713  -0.602 0.713  -0.493 0.713  -0.485 0.612  -0.485 0.504  -0.485 0.395  -0.471 0.293  -0.394 0.216  -0.317 0.140  -0.283 0.045  -0.283 -0.063  -0.283 -0.172  -0.283 -0.280  -0.220 -0.363  -0.143 -0.439  -0.067 -0.516  0.010 -0.593  0.087 -0.669  0.181 -0.705  0.289 -0.705  0.398 -0.705  0.506 -0.705  0.615 -0.705  0.723 -0.705  0.832 -0.705  0.933 -0.697  0.933 -0.589  0.955 -0.502  1.063 -0.502  1.135 -0.466  1.135 -0.357  1.135 -0.249  1.135 -0.140  1.135 -0.032  1.135 0.077  1.135 0.185  1.135 0.294  1.135 0.402  1.135 0.511
1d#app#app32#app3257/  -1.477 0.234  -1.477 0.153  -1.477 0.072  -1.477 -0.010  -1.477 -0.091  -1.469 -0.164  -1.388 -0.164  -1.306 -0.164  -1.225 -0.164  -1.144 -0.164  -1.062 -0.164  -0.981 -0.164  -0.900 -0.164  -0.818 -0.164  -0.737 -0.164  -0.656 -0.164  -0.574 -0.164  -0.493 -0.164  -0.412 -0.164  -0.330 -0.164  -0.249 -0.164  -0.168 -0.164  -0.086 -0.164  -0.005 -0.164  0.076 -0.164  0.158 -0.164  0.239 -0.164  0.320 -0.164  0.402 -0.164  0.483 -0.164  0.516 -0.116  0.516 -0.034  0.516 0.047  0.516 0.129  0.516 0.210  0.573 0.234  0.654 0.234  0.735 0.234  0.817 0.234  0.898 0.234  0.979 0.234  1.061 0.234  1.142 0.234  1.223 0.234  1.305 0.234  1.386 0.234  1.467 0.234  1.549 0.234  1.630 0.234  1.711 0.234
1d#app#app32#app3257/_  -1.689 0.193  -1.616 0.193  -1.543 0.193  -1.477 0.175  -1.425 0.123  -1.373 0.072  -1.321 0.020  -1.257 -0.002  -1.184 -0.002  -1.111 -0.002  -1.038 -0.002  -0.964 -0.002  -0.891 -0.002  -0.818 -0.002  -0.745 -0.002  -0.672 -0.002  -0.598 -0.002  -0.525 -0.002  -0.452 -0.002  -0.379 -0.002  -0.306 -0.002  -0.232 -0.002  -0.159 -0.002  -0.086 -0.002  -0.013 -0.002  0.061 -0.002  0.134 -0.002  0.207 -0.002  0.280 -0.002  0.353 -0.002  0.427 -0.002  0.500 -0.002  0.573 -0.002  0.646 -0.002  0.719 -0.002  0.793 -0.002  0.866 -0.002  0.939 -0.002  1.012 -0.002  1.086 -0.002  1.159 -0.002  1.232 -0.002  1.305 -0.002  1.378 -0.002  1.428 -0.026  1.428 -0.099  1.428 -0.172  1.380 -0.197  1.306 -0.197  1.233 -0.197
1d#app#app32#app3257/+  0.896 1.621  0.896 1.454  0.892 1.292  0.724 1.292  0.567 1.282  0.567 1.115  0.567 0.948  0.567 0.781  0.567 0.614  0.567 0.447  0.550 0.287  0.432 0.169  0.314 0.051  0.238 -0.085  0.238 -0.252  0.238 -0.419  0.238 -0.586  0.288 -0.733  0.406 -0.851  0.524 -0.969  0.567 -1.118  0.567 -1.285  0.475 -1.280  0.336 -1.187  0.197 -1.094  0.058 -1.002  -0.081 -0.909  -0.220 -0.816  -0.359 -0.724  -0.498 -0.631  -0.637 -0.538  -0.776 -0.446  -0.915 -0.353  -1.054 -0.260  -1.193 -0.168  -1.332 -0.075  -1.332 -0.025  -1.165 -0.025  -1.021 0.033  -0.903 0.151  -0.785 0.269  -0.633 0.305  -0.466 0.305  -0.299 0.305  -0.132 0.305  -0.002 0.394  0.117 0.512  0.235 0.630  0.400 0.634  0.567 0.634
1d#app#app32#app3257/=  -0.773 0.638  -0.611 0.638  -0.449 0.638  -0.287 0.638  -0.125 0.638  0.037 0.638  0.199 0.638  0.345 0.679  0.459 0.793  0.574 0.907  0.736 0.907  0.898 0.907  1.060 0.907  1.222 0.907  1.378 0.906  1.239 0.822  1.100 0.739  0.961 0.656  0.822 0.572  0.683 0.489  0.545 0.406  0.406 0.322  0.267 0.239  0.128 0.156  -0.011 0.072  -0.150 -0.011  -0.289 -0.094  -0.428 -0.178  -0.567 -0.261  -0.706 -0.344  -0.845 -0.428  -0.984 -0.511  -1.122 -0.595  -1.261 -0.678  -1.207 -0.708  -1.045 -0.708  -1.042 -0.867  -0.990 -0.977  -0.828 -0.977  -0.666 -0.977  -0.504 -0.977  -0.389 -0.863  -0.275 -0.748  -0.130 -0.708  0.032 -0.708  0.194 -0.708  0.356 -0.708  0.518 -0.708  0.680 -0.708  0.842 -0.708
1d#app#app32#app3257/[  0.778 1.116  0.871 1.116  0.845 1.116  0.778 1.089  0.778 0.996  0.691 0.989  0.598 0.989  0.505 0.989  0.411 0.989  0.341 0.933  0.275 0.867  0.184 0.862  0.090 0.862  -0.003 0.862  -0.096 0.862  -0.190 0.862  -0.283 0.862  -0.364 0.849  -0.364 0.756  -0.364 0.663  -0.364 0.569  -0.360 0.478  -0.294 0.411  -0.237 0.342  -0.237 0.248  -0.237 0.155  -0.237 0.062  -0.237 -0.032  -0.237 -0.125  -0.237 -0.219  -0.237 -0.312  -0.237 -0.405  -0.237 -0.499  -0.279 -0.575  -0.345 -0.641  -0.364 -0.726  -0.364 -0.820  -0.364 -0.913  -0.364 -1.006  -0.322 -1.082  -0.256 -1.148  -0.190 -1.214  -0.124 -1.280  -0.110 -1.368  -0.070 -1.421  0.024 -1.421  0.117 -1.421  0.211 -1.421  0.304 -1.421  0.397 -1.421
1d#app#app32#app3257/]  -0.799 0.960  -0.799 0.865  -0.722 0.847  -0.686 0.906  -0.645 0.960  -0.550 0.960  -0.456 0.964  -0.389 1.031  -0.311 1.073  -0.216 1.073  -0.121 1.073  -0.026 1.073  0.069 1.073  0.165 1.073  0.260 1.073  0.331 1.049  0.331 0.954  0.331 0.859  0.331 0.764  0.331 0.669  0.331 0.573  0.331 0.478  0.331 0.383  0.331 0.288  0.331 0.193  0.331 0.098  0.331 0.003  0.306 -0.082  0.239 -0.150  0.218 -0.236  0.218 -0.331  0.218 -0.426  0.218 -0.521  0.218 -0.617  0.218 -0.712  0.218 -0.807  0.218 -0.902  0.193 -0.987  0.126 -1.054  0.105 -1.141  0.105 -1.236  0.075 -1.301  -0.008 -1.313  -0.008 -1.408  -0.098 -1.414  -0.193 -1.414  -0.234 -1.360  -0.270 -1.301  -0.365 -1.301  -0.460 -1.301
1d#app#app32#app3257/{  0.496 1.218  0.424 1.291  0.397 1.382  0.330 1.418  0.228 1.418  0.197 1.346  0.144 1.265  0.061 1.218  -0.030 1.191  -0.103 1.118  -0.175 1.046  -0.203 0.955  -0.203 0.852  -0.272 0.819  -0.302 0.747  -0.302 0.644  -0.302 0.542  -0.302 0.439  -0.302 0.337  -0.217 0.319  -0.203 0.232  -0.112 0.220  -0.103 0.126  -0.007 0.120  -0.101 0.120  -0.203 0.118  -0.199 0.020  -0.098 0.015  -0.025 -0.057  0.068 -0.080  0.097 -0.153  0.097 -0.256  0.153 -0.335  0.197 -0.419  0.197 -0.522  0.197 -0.625  0.197 -0.727  0.197 -0.830  0.197 -0.932  0.157 -1.018  0.097 -1.096  0.077 -1.179  -0.003 -1.201  -0.003 -1.304  -0.003 -1.406  -0.025 -1.500  -0.097 -1.572  -0.103 -1.672  -0.103 -1.775  -0.103 -1.878
1d#app#app32#app3257/}  -0.303 1.436  -0.293 1.539  -0.180 1.539  -0.067 1.539  0.046 1.539  0.109 1.489  0.109 1.376  0.109 1.263  0.109 1.150  0.109 1.037  0.039 0.953  0.006 0.854  -0.048 0.763  -0.128 0.683  -0.205 0.601  -0.255 0.500  -0.303 0.398  -0.303 0.285  -0.303 0.172  -0.303 0.059  -0.303 -0.054  -0.247 -0.110  -0.153 -0.064  -0.063 -0.007  0.050 -0.007  0.109 0.046  0.172 0.096  0.212 0.169  0.129 0.199  0.109 0.106  0.109 -0.007  0.109 -0.120  0.109 -0.233  0.109 -0.346  0.109 -0.459  0.144 -0.558  0.212 -0.642  0.212 -0.755  0.212 -0.868  0.212 -0.981  0.212 -1.094  0.212 -1.207  0.212 -1.321  0.212 -1.434  0.116 -1.450  0.106 -1.553  -0.003 -1.563  -0.083 -1.643  -0.190 -1.657  -0.303 -1.657
1d#app#app32#app3257/\\  -0.263 1.454  -0.339 1.454  -0.414 1.454  -0.469 1.434  -0.469 1.359  -0.469 1.284  -0.469 1.208  -0.469 1.133  -0.469 1.058  -0.469 0.983  -0.469 0.907  -0.469 0.832  -0.469 0.757  -0.469 0.682  -0.469 0.607  -0.469 0.531  -0.469 0.456  -0.439 0.394  -0.386 0.340  -0.332 0.287  -0.279 0.234  -0.226 0.181  -0.173 0.128  -0.120 0.074  -0.066 0.021  -0.058 -0.050  -0.058 -0.126  -0.053 -0.199  0.001 -0.252  0.054 -0.305  0.107 -0.358  0.148 -0.416  0.148 -0.492  0.148 -0.567  0.174 -0.631  0.227 -0.685  0.281 -0.738  0.334 -0.791  0.387 -0.844  0.440 -0.897  0.493 -0.951  0.547 -1.004  0.600 -1.057  0.653 -1.110  0.706 -1.163  0.759 -1.217  0.813 -1.270  0.866 -1.323  0.919 -1.376  0.972 -1.429
1d#app#app32#app3257/,  0.113 1.739  0.113 1.641  0.113 1.544  0.113 1.446  0.113 1.349  0.133 1.259  0.202 1.190  0.271 1.121  0.340 1.052  0.409 0.983  0.478 0.914  0.547 0.846  0.572 0.758  0.572 0.661  0.572 0.563  0.572 0.466  0.572 0.368  0.572 0.270  0.572 0.173  0.572 0.075  0.572 -0.022  0.550 -0.097  0.452 -0.097  0.354 -0.097  0.257 -0.097  0.159 -0.097  0.113 -0.149  0.113 -0.246  0.113 -0.344  0.113 -0.441  0.113 -0.539  0.033 -0.556  -0.065 -0.556  -0.162 -0.556  -0.260 -0.556  -0.346 -0.568  -0.346 -0.665  -0.346 -0.763  -0.346 -0.860  -0.346 -0.958  -0.386 -1.015  -0.484 -1.015  -0.581 -1.015  -0.679 -1.015  -0.776 -1.015  -0.874 -1.015  -0.971 -1.015  -1.069 -1.015  -1.166 -1.015  -1.264 -1.015
1d#app#app32#app3257/  0.958 1.342  0.958 1.266  0.953 1.196  0.877 1.196  0.807 1.186  0.774 1.119  0.740 1.051  0.706 0.983  0.672 0.916  0.604 0.904  0.529 0.904  0.473 0.856  0.419 0.803  0.369 0.747  0.335 0.679  0.301 0.612  0.267 0.544  0.233 0.476  0.183 0.421  0.130 0.367  0.076 0.314  0.023 0.260  -0.031 0.207  -0.064 0.145  -0.064 0.069  -0.064 -0.006  -0.064 -0.082  -0.092 -0.146  -0.145 -0.200  -0.198 -0.253  -0.252 -0.307  -0.305 -0.360  -0.356 -0.415  -0.356 -0.490  -0.356 -0.566  -0.356 -0.641  -0.366 -0.713  -0.420 -0.766  -0.473 -0.820  -0.527 -0.873  -0.580 -0.927  -0.634 -0.980  -0.648 -1.050  -0.648 -1.125  -0.648 -1.201  -0.648 -1.277  -0.713 -1.287  -0.789 -1.287  -0.794 -1.357  -0.794 -1.433
1d#app#app32#app3257/?  -0.383 0.976  -0.316 1.043  -0.239 1.084  -0.144 1.084  -0.050 1.084  0.045 1.084  0.139 1.084  0.234 1.084  0.328 1.084  0.423 1.084  0.506 1.057  0.573 0.990  0.662 0.976  0.695 0.914  0.695 0.820  0.695 0.725  0.679 0.637  0.613 0.570  0.546 0.503  0.479 0.437  0.412 0.370  0.334 0.329  0.253 0.308  0.211 0.223  0.168 0.139  0.090 0.114  0.011 0.076  -0.056 0.009  -0.060 -0.084  -0.136 -0.102  -0.168 -0.165  -0.168 -0.260  -0.176 -0.353  -0.199 -0.445  -0.222 -0.536  -0.245 -0.628  -0.268 -0.720  -0.291 -0.811  -0.314 -0.903  -0.337 -0.995  -0.360 -1.087  -0.383 -1.178  -0.383 -1.273  -0.383 -1.367  -0.449 -1.395  -0.491 -1.448  -0.531 -1.503  -0.625 -1.503  -0.706 -1.516  -0.706 -1.611
1d#app#app32#app3257/'  0.065 1.496  0.065 1.414  0.065 1.332  0.065 1.250  0.065 1.168  0.066 1.087  0.148 1.087  0.230 1.087  0.312 1.087  0.394 1.087  0.474 1.085  0.474 1.003  0.474 0.921  0.474 0.839  0.474 0.757  0.472 0.676  0.414 0.618  0.356 0.560  0.298 0.502  0.240 0.444  0.182 0.386  0.124 0.328  0.066 0.270  0.065 0.188  0.065 0.106  0.065 0.024  0.065 -0.058  0.065 -0.140  0.007 -0.198  -0.051 -0.256  -0.109 -0.314  -0.167 -0.372  -0.225 -0.430  -0.283 -0.488  -0.341 -0.545  -0.344 -0.626  -0.344 -0.708  -0.344 -0.790  -0.344 -0.872  -0.344 -0.954  -0.344 -1.036  -0.344 -1.118  -0.344 -1.200  -0.344 -1.282  -0.344 -1.364  -0.344 -1.446  -0.344 -1.528  -0.344 -1.611  -0.344 -1.693  -0.344 -1.775
1d#app#app32#app3257/\"  -0.580 1.627  -0.580 1.483  -0.580 1.338  -0.580 1.194  -0.580 1.050  -0.580 0.905  -0.618 0.799  -0.762 0.799  -0.856 0.748  -0.856 0.604  -0.856 0.460  -0.856 0.315  -0.856 0.171  -0.856 0.026  -0.856 -0.118  -0.856 -0.262  -0.856 -0.407  -0.856 -0.551  -0.761 -0.518  -0.641 -0.438  -0.520 -0.358  -0.400 -0.278  -0.280 -0.198  -0.160 -0.118  -0.040 -0.037  0.080 0.043  0.200 0.123  0.320 0.203  0.440 0.283  0.561 0.363  0.681 0.443  0.801 0.523  0.801 0.378  0.801 0.234  0.801 0.090  0.775 -0.029  0.631 -0.029  0.525 -0.067  0.525 -0.212  0.525 -0.356  0.525 -0.500  0.570 -0.626  0.672 -0.728  0.774 -0.830  0.801 -0.964  0.801 -1.108  0.801 -1.252  0.801 -1.397  0.932 -1.409  1.077 -1.409
1d#app#app32#app3257/<  0.947 1.466  0.947 1.353  0.904 1.257  0.824 1.177  0.744 1.096  0.663 1.016  0.612 0.923  0.612 0.810  0.511 0.798  0.397 0.798  0.283 0.798  0.278 0.690  0.226 0.613  0.118 0.577  0.011 0.542  -0.097 0.506  -0.205 0.470  -0.318 0.464  -0.419 0.435  -0.500 0.354  -0.589 0.296  -0.703 0.296  -0.790 0.232  -0.870 0.151  -0.950 0.071  -1.031 -0.009  -0.986 -0.038  -0.892 -0.058  -0.892 -0.171  -0.836 -0.262  -0.755 -0.342  -0.675 -0.422  -0.595 -0.503  -0.496 -0.539  -0.385 -0.545  -0.305 -0.625  -0.224 -0.706  -0.111 -0.707  -0.015 -0.748  0.066 -0.828  0.161 -0.874  0.274 -0.874  0.356 -0.951  0.436 -1.032  0.546 -1.041  0.612 -1.088  0.612 -1.201  0.719 -1.208  0.833 -1.208  0.947 -1.208
1d#app#app32#app3257/|  0.179 1.671  0.179 1.600  0.179 1.529  0.179 1.457  0.179 1.386  0.179 1.315  0.179 1.244  0.179 1.172  0.179 1.101  0.179 1.030  0.179 0.959  0.138 0.904  0.088 0.854  0.038 0.804  -0.013 0.753  -0.063 0.703  -0.063 0.632  -0.063 0.560  -0.063 0.489  -0.063 0.418  -0.063 0.347  -0.063 0.276  -0.063 0.204  -0.063 0.133  -0.063 0.062  -0.063 -0.009  -0.063 -0.081  -0.063 -0.152  -0.063 -0.223  -0.063 -0.294  -0.063 -0.366  -0.063 -0.437  -0.063 -0.508  -0.063 -0.579  -0.063 -0.650  -0.063 -0.722  -0.063 -0.793  -0.063 -0.864  -0.063 -0.935  -0.063 -1.007  -0.063 -1.078  -0.063 -1.149  -0.063 -1.220  -0.063 -1.291  -0.063 -1.363  -0.063 -1.434  -0.063 -1.505  -0.063 -1.576  -0.063 -1.648  -0.063 -1.719
1d#app#app32#app3257/>  -0.821 1.429  -0.720 1.429  -0.671 1.377  -0.668 1.276  -0.596 1.205  -0.524 1.133  -0.424 1.129  -0.337 1.095  -0.265 1.024  -0.221 0.941  -0.221 0.839  -0.129 0.829  -0.041 0.799  0.031 0.727  0.103 0.655  0.175 0.584  0.229 0.505  0.229 0.403  0.307 0.380  0.408 0.380  0.509 0.380  0.529 0.297  0.562 0.230  0.664 0.230  0.679 0.143  0.679 0.042  0.679 -0.060  0.679 -0.161  0.649 -0.250  0.577 -0.322  0.496 -0.370  0.394 -0.370  0.379 -0.456  0.352 -0.547  0.281 -0.619  0.201 -0.670  0.099 -0.670  0.079 -0.751  0.056 -0.843  -0.016 -0.915  -0.088 -0.987  -0.159 -1.059  -0.231 -1.130  -0.303 -1.202  -0.376 -1.270  -0.477 -1.270  -0.562 -1.311  -0.634 -1.383  -0.720 -1.420  -0.821 -1.420
