2#app#app12#app1264/R  -0.226 0.555  -0.138 0.436  -0.226 0.244  -0.226 0.016  -0.226 -0.212  -0.226 -0.440  -0.226 -0.668  -0.226 -0.896  -0.226 -1.124  -0.123 -1.249  -0.211 -1.153  -0.327 -0.957  -0.442 -0.760  -0.558 -0.563  -0.674 -0.367  -0.789 -0.170  -0.905 0.027  -1.021 0.223  -1.136 0.420  -1.052 0.540  -0.944 0.663  -0.783 0.824  -0.578 0.895  -0.386 1.014  -0.182 1.071  0.003 1.174  0.218 1.206  0.417 1.277  0.645 1.277  0.873 1.277  1.058 1.174  1.116 1.003  1.116 0.775  1.020 0.570  0.863 0.405  0.775 0.214  0.613 0.052  0.452 -0.109  0.291 -0.270  0.166 -0.374  -0.047 -0.439  -0.162 -0.581  -0.311 -0.684  -0.123 -0.724  0.042 -0.787  0.187 -0.871  0.395 -0.890  0.610 -0.947  0.827 -0.994  1.013 -1.097
2#app#app12#app1264/n  -1.141 1.128  -1.141 0.972  -1.077 0.842  -0.966 0.732  -0.919 0.595  -0.919 0.439  -0.919 0.283  -0.919 0.127  -0.919 -0.029  -0.919 -0.185  -0.821 -0.301  -0.710 -0.412  -0.697 -0.562  -0.697 -0.718  -0.697 -0.874  -0.697 -1.031  -0.601 -1.091  -0.475 -1.061  -0.475 -0.905  -0.390 -0.784  -0.279 -0.673  -0.253 -0.528  -0.253 -0.372  -0.253 -0.216  -0.151 -0.102  -0.041 0.009  -0.031 0.161  0.023 0.295  0.133 0.405  0.191 0.538  0.191 0.694  0.191 0.850  0.291 0.906  0.437 0.882  0.547 0.772  0.635 0.652  0.635 0.496  0.758 0.462  0.857 0.405  0.857 0.249  0.857 0.093  0.939 0.019  1.078 0.002  1.078 -0.154  1.078 -0.310  1.120 -0.425  1.276 -0.425  1.300 -0.557  1.366 -0.647  1.522 -0.647
2#app#app12#app1264/o  0.052 1.143  -0.083 1.143  -0.148 1.073  -0.153 0.943  -0.288 0.943  -0.347 0.867  -0.355 0.736  -0.451 0.640  -0.546 0.545  -0.547 0.410  -0.596 0.296  -0.691 0.200  -0.746 0.088  -0.746 -0.047  -0.836 -0.144  -0.932 -0.240  -0.945 -0.369  -0.945 -0.504  -0.945 -0.639  -0.945 -0.773  -0.905 -0.892  -0.810 -0.987  -0.701 -1.051  -0.567 -1.051  -0.432 -1.051  -0.297 -1.051  -0.162 -1.051  -0.062 -0.966  0.033 -0.870  0.160 -0.852  0.282 -0.820  0.378 -0.725  0.473 -0.630  0.568 -0.534  0.650 -0.433  0.650 -0.298  0.714 -0.190  0.809 -0.094  0.850 0.024  0.859 0.155  0.954 0.250  1.049 0.346  1.049 0.481  1.049 0.616  1.044 0.749  0.949 0.844  0.854 0.939  0.720 0.943  0.586 0.943  0.451 0.943
2#app#app12#app1264/n  -0.875 1.144  -0.875 0.965  -0.875 0.786  -0.820 0.630  -0.693 0.504  -0.646 0.345  -0.646 0.166  -0.646 -0.013  -0.646 -0.192  -0.646 -0.371  -0.646 -0.550  -0.646 -0.728  -0.646 -0.907  -0.646 -1.086  -0.646 -1.265  -0.579 -1.377  -0.417 -1.360  -0.417 -1.181  -0.417 -1.002  -0.417 -0.823  -0.417 -0.645  -0.417 -0.466  -0.244 -0.460  -0.188 -0.337  -0.188 -0.158  -0.188 0.020  -0.188 0.199  -0.188 0.378  -0.087 0.457  0.041 0.507  0.041 0.686  0.041 0.864  0.132 1.006  0.259 1.132  0.433 1.144  0.500 1.032  0.500 0.853  0.511 0.686  0.690 0.686  0.729 0.546  0.792 0.393  0.919 0.267  0.958 0.104  0.958 -0.075  0.980 -0.231  1.159 -0.231  1.187 -0.382  1.288 -0.460  1.416 -0.510  1.416 -0.689
2#app#app12#app1264/e  -0.511 -0.271  -0.356 -0.271  -0.288 -0.357  -0.276 -0.482  -0.167 -0.373  -0.058 -0.264  0.051 -0.155  0.161 -0.048  0.316 -0.048  0.381 0.040  0.381 0.195  0.381 0.349  0.487 0.398  0.604 0.434  0.604 0.589  0.604 0.743  0.642 0.881  0.751 0.990  0.827 1.113  0.827 1.267  0.695 1.289  0.540 1.289  0.386 1.289  0.381 1.140  0.324 1.009  0.215 0.900  0.085 0.843  -0.068 0.840  -0.177 0.731  -0.286 0.622  -0.288 0.468  -0.371 0.398  -0.511 0.383  -0.511 0.228  -0.511 0.074  -0.511 -0.080  -0.511 -0.234  -0.511 -0.389  -0.511 -0.543  -0.511 -0.697  -0.511 -0.851  -0.511 -1.005  -0.511 -1.160  -0.404 -1.270  -0.295 -1.379  -0.288 -1.530  -0.234 -1.662  -0.125 -1.771  0.004 -1.832  0.158 -1.832
2#app#app12#app1264/d  -0.190 1.774  -0.033 1.773  -0.033 1.614  -0.033 1.456  -0.029 1.302  0.125 1.297  0.125 1.138  0.125 0.980  0.125 0.822  0.131 0.666  0.243 0.554  0.355 0.442  0.439 0.319  0.468 0.172  0.580 0.060  0.597 -0.091  0.732 -0.114  0.618 -0.114  0.597 0.023  0.597 0.181  0.498 0.299  0.439 0.433  0.363 0.515  0.205 0.515  0.046 0.515  -0.112 0.515  -0.247 0.458  -0.359 0.346  -0.471 0.234  -0.505 0.090  -0.616 0.043  -0.662 -0.069  -0.662 -0.227  -0.662 -0.386  -0.662 -0.544  -0.662 -0.702  -0.662 -0.861  -0.662 -1.019  -0.543 -1.058  -0.505 -1.178  -0.383 -1.215  -0.347 -1.338  -0.224 -1.373  -0.066 -1.373  0.093 -1.373  0.125 -1.246  0.252 -1.215  0.373 -1.125  0.485 -1.013  0.597 -0.901
2#app#app12#app1264/i  -0.495 1.539  -0.495 1.457  -0.495 1.375  -0.495 1.293  -0.466 1.240  -0.384 1.240  -0.302 1.240  -0.220 1.240  -0.195 1.183  -0.195 1.101  -0.195 1.019  -0.195 0.936  -0.195 0.854  -0.195 0.772  -0.195 0.690  -0.195 0.608  -0.195 0.526  -0.195 0.444  -0.195 0.362  -0.135 0.340  -0.053 0.340  0.029 0.340  0.105 0.334  0.105 0.251  0.105 0.169  0.105 0.087  0.105 0.005  0.105 -0.077  0.105 -0.159  0.105 -0.241  0.105 -0.323  0.105 -0.405  0.105 -0.487  0.105 -0.569  0.105 -0.651  0.105 -0.733  0.105 -0.815  0.105 -0.897  0.105 -0.980  0.105 -1.062  0.105 -1.144  0.152 -1.206  0.210 -1.264  0.268 -1.322  0.326 -1.380  0.384 -1.438  0.458 -1.458  0.540 -1.458  0.622 -1.458  0.704 -1.458
2#app#app12#app1264/m  -1.315 0.870  -1.153 0.834  -1.153 0.636  -1.046 0.545  -0.990 0.402  -0.990 0.204  -0.954 0.020  -0.827 -0.125  -0.827 -0.324  -0.827 -0.522  -0.827 -0.720  -0.713 -0.871  -0.665 -1.050  -0.665 -0.917  -0.665 -0.718  -0.665 -0.520  -0.665 -0.322  -0.665 -0.124  -0.665 0.075  -0.627 0.257  -0.502 0.404  -0.502 0.602  -0.409 0.707  -0.339 0.578  -0.177 0.543  -0.177 0.344  -0.125 0.167  -0.014 0.015  0.063 -0.106  0.149 -0.219  0.254 -0.374  0.428 -0.432  0.474 -0.279  0.499 -0.106  0.637 -0.046  0.637 0.153  0.637 0.351  0.799 0.387  0.799 0.585  0.876 0.707  0.962 0.596  0.962 0.397  1.091 0.253  1.232 0.112  1.288 -0.063  1.288 -0.261  1.422 -0.404  1.450 -0.590  1.588 -0.732  1.613 -0.920
2#app#app12#app1264/c  0.281 1.550  0.173 1.550  0.104 1.511  0.104 1.403  0.026 1.373  -0.074 1.364  -0.074 1.255  -0.108 1.161  -0.184 1.085  -0.251 1.005  -0.251 0.896  -0.288 0.804  -0.364 0.727  -0.428 0.646  -0.428 0.537  -0.428 0.429  -0.428 0.321  -0.496 0.241  -0.573 0.165  -0.605 0.070  -0.605 -0.038  -0.605 -0.146  -0.605 -0.254  -0.605 -0.362  -0.605 -0.470  -0.605 -0.578  -0.605 -0.686  -0.564 -0.753  -0.456 -0.753  -0.428 -0.833  -0.417 -0.930  -0.309 -0.930  -0.200 -0.930  -0.092 -0.930  0.016 -0.930  0.124 -0.930  0.232 -0.930  0.323 -0.888  0.399 -0.812  0.476 -0.736  0.552 -0.659  0.628 -0.583  0.734 -0.576  0.833 -0.555  0.910 -0.479  0.986 -0.402  1.062 -0.326  1.139 -0.249  1.236 -0.222  1.344 -0.222
2#app#app12#app1264/o  -0.192 0.914  -0.289 0.817  -0.385 0.721  -0.512 0.695  -0.629 0.676  -0.629 0.540  -0.629 0.403  -0.629 0.266  -0.758 0.259  -0.847 0.211  -0.847 0.075  -0.847 -0.062  -0.847 -0.199  -0.847 -0.335  -0.847 -0.472  -0.847 -0.608  -0.847 -0.745  -0.847 -0.882  -0.847 -1.018  -0.744 -1.052  -0.607 -1.052  -0.471 -1.052  -0.334 -1.052  -0.198 -1.052  -0.099 -0.959  -0.003 -0.862  0.122 -0.833  0.254 -0.823  0.351 -0.727  0.448 -0.630  0.463 -0.500  0.496 -0.397  0.633 -0.397  0.681 -0.308  0.686 -0.174  0.782 -0.077  0.879 0.020  0.900 0.148  0.900 0.284  0.900 0.421  0.900 0.558  0.900 0.694  0.900 0.831  0.900 0.968  0.900 1.104  0.791 1.132  0.654 1.132  0.518 1.132  0.381 1.132  0.245 1.132
2#app#app12#app1264/r  -0.569 0.137  -0.471 0.038  -0.372 -0.060  -0.274 -0.159  -0.270 -0.296  -0.270 -0.436  -0.270 -0.575  -0.270 -0.715  -0.177 -0.760  -0.037 -0.760  0.029 -0.833  0.029 -0.973  0.029 -1.112  0.029 -1.251  0.061 -1.358  0.200 -1.358  0.328 -1.347  0.328 -1.207  0.328 -1.068  0.197 -1.059  0.058 -1.059  0.029 -0.949  0.029 -0.810  0.029 -0.670  0.029 -0.531  0.029 -0.392  0.029 -0.252  -0.021 -0.162  -0.160 -0.162  -0.270 -0.133  -0.270 0.006  -0.270 0.145  -0.270 0.285  -0.270 0.424  -0.270 0.564  -0.270 0.703  -0.270 0.842  -0.270 0.982  -0.184 1.034  -0.044 1.034  0.029 1.100  0.029 1.240  0.074 1.333  0.214 1.333  0.346 1.351  0.444 1.450  0.543 1.548  0.647 1.632  0.787 1.632  0.926 1.632
2#app#app12#app1264/n  -1.036 1.048  -0.913 0.924  -0.799 0.797  -0.799 0.622  -0.799 0.447  -0.799 0.273  -0.798 0.098  -0.623 0.098  -0.561 -0.014  -0.561 -0.189  -0.561 -0.364  -0.561 -0.539  -0.561 -0.713  -0.561 -0.888  -0.561 -1.063  -0.561 -1.237  -0.500 -1.265  -0.377 -1.141  -0.324 -0.988  -0.324 -0.813  -0.324 -0.639  -0.324 -0.464  -0.324 -0.289  -0.324 -0.115  -0.324 0.060  -0.324 0.235  -0.324 0.410  -0.324 0.584  -0.324 0.759  -0.201 0.811  -0.087 0.871  -0.087 1.046  0.086 1.048  0.229 0.970  0.352 0.846  0.476 0.723  0.599 0.599  0.625 0.435  0.701 0.336  0.863 0.323  0.863 0.149  0.987 0.098  1.100 0.036  1.100 -0.138  1.100 -0.313  1.179 -0.455  1.302 -0.579  1.337 -0.739  1.400 -0.851  1.575 -0.851
2#app#app12#app1264/e  -0.546 -0.290  -0.383 -0.290  -0.220 -0.290  -0.057 -0.290  0.084 -0.237  0.200 -0.122  0.224 0.031  0.323 0.095  0.466 0.144  0.581 0.259  0.609 0.410  0.609 0.573  0.673 0.673  0.802 0.707  0.802 0.870  0.802 1.033  0.664 1.058  0.609 1.166  0.530 1.250  0.367 1.250  0.204 1.250  0.041 1.250  0.032 1.096  -0.092 1.058  -0.228 0.991  -0.343 0.875  -0.458 0.760  -0.546 0.634  -0.546 0.471  -0.546 0.308  -0.647 0.186  -0.738 0.061  -0.738 -0.102  -0.738 -0.265  -0.738 -0.428  -0.738 -0.591  -0.738 -0.753  -0.689 -0.867  -0.546 -0.887  -0.546 -1.050  -0.438 -1.168  -0.310 -1.252  -0.147 -1.252  0.016 -1.252  0.179 -1.252  0.342 -1.252  0.505 -1.252  0.609 -1.193  0.639 -1.060  0.802 -1.060
2#app#app12#app1264/r  -0.954 0.278  -0.954 0.135  -0.939 0.007  -0.796 0.007  -0.682 -0.022  -0.682 -0.165  -0.682 -0.308  -0.682 -0.451  -0.682 -0.594  -0.682 -0.737  -0.631 -0.858  -0.529 -0.959  -0.428 -1.060  -0.411 -1.196  -0.411 -1.339  -0.278 -1.348  -0.140 -1.343  -0.140 -1.200  -0.140 -1.057  -0.140 -0.914  -0.140 -0.771  -0.140 -0.628  -0.140 -0.486  -0.140 -0.343  -0.140 -0.200  -0.140 -0.057  -0.140 0.086  -0.140 0.229  -0.140 0.372  -0.140 0.514  -0.140 0.657  -0.140 0.800  -0.140 0.943  -0.140 1.086  -0.043 0.994  0.058 0.893  0.171 0.820  0.313 0.820  0.456 0.820  0.599 0.820  0.673 0.751  0.673 0.608  0.757 0.549  0.900 0.549  1.042 0.549  1.185 0.549  1.328 0.549  1.471 0.549  1.614 0.549  1.757 0.549
