1c#app#app33#app3311/b  -1.055 1.648  -0.956 1.524  -0.892 1.386  -0.845 1.240  -0.758 1.111  -0.751 0.948  -0.659 0.821  -0.659 0.656  -0.629 0.498  -0.556 0.350  -0.504 0.193  -0.461 0.035  -0.461 -0.130  -0.362 -0.254  -0.362 -0.419  -0.362 -0.584  -0.384 -0.728  -0.461 -0.640  -0.461 -0.475  -0.451 -0.312  -0.377 -0.164  -0.340 -0.012  -0.223 0.105  -0.164 0.246  -0.129 0.396  0.009 0.460  0.133 0.560  0.250 0.676  0.382 0.757  0.547 0.757  0.687 0.698  0.804 0.581  0.921 0.464  0.925 0.301  0.925 0.136  0.925 -0.029  0.925 -0.195  0.925 -0.360  0.925 -0.525  0.897 -0.683  0.826 -0.832  0.762 -0.957  0.628 -1.040  0.570 -1.181  0.422 -1.222  0.257 -1.222  0.092 -1.222  -0.065 -1.215  -0.139 -1.123  -0.263 -1.024
1c#app#app33#app3311/i  0.103 0.290  0.103 0.174  0.043 0.083  -0.039 0.001  -0.044 -0.112  -0.121 -0.151  -0.192 -0.197  -0.202 -0.309  -0.284 -0.391  -0.339 -0.484  -0.339 -0.599  -0.339 -0.715  -0.339 -0.831  -0.339 -0.947  -0.339 -1.063  -0.339 -1.179  -0.339 -1.295  -0.281 -1.386  -0.199 -1.468  -0.173 -1.371  -0.154 -1.257  -0.134 -1.143  -0.114 -1.028  -0.094 -0.914  -0.074 -0.800  -0.054 -0.686  -0.034 -0.572  -0.015 -0.458  0.005 -0.344  0.025 -0.230  0.045 -0.115  0.065 -0.001  0.085 0.113  0.104 0.227  0.124 0.341  0.144 0.455  0.164 0.569  0.184 0.684  0.204 0.798  0.224 0.912  0.243 1.026  0.263 1.140  0.283 1.254  0.303 1.368  0.323 1.483  0.343 1.597  0.362 1.711  0.382 1.825  0.397 1.940  0.397 2.055
1c#app#app33#app3311/n  -0.401 1.029  -0.401 0.879  -0.401 0.728  -0.465 0.604  -0.521 0.477  -0.566 0.337  -0.634 0.202  -0.642 0.054  -0.672 -0.085  -0.762 -0.198  -0.786 -0.343  -0.853 -0.477  -0.883 -0.621  -0.883 -0.772  -0.883 -0.922  -0.937 -1.018  -0.943 -0.958  -0.883 -0.832  -0.815 -0.710  -0.762 -0.581  -0.715 -0.442  -0.648 -0.307  -0.580 -0.172  -0.508 -0.041  -0.401 0.065  -0.334 0.200  -0.267 0.334  -0.199 0.469  -0.104 0.576  0.031 0.643  0.148 0.735  0.268 0.822  0.403 0.889  0.549 0.909  0.695 0.897  0.801 0.791  0.823 0.649  0.924 0.540  0.941 0.394  1.008 0.259  1.093 0.137  1.165 0.016  1.165 -0.134  1.165 -0.285  1.165 -0.435  1.165 -0.586  1.165 -0.737  1.087 -0.855  1.044 -0.988  1.044 -1.138
1c#app#app33#app3311/c  0.722 1.074  0.722 1.157  0.692 1.210  0.609 1.210  0.527 1.210  0.444 1.210  0.361 1.210  0.289 1.183  0.231 1.124  0.172 1.066  0.114 1.007  0.055 0.949  -0.024 0.939  -0.102 0.927  -0.160 0.869  -0.219 0.810  -0.259 0.738  -0.296 0.664  -0.333 0.590  -0.361 0.513  -0.361 0.431  -0.361 0.348  -0.361 0.265  -0.361 0.182  -0.361 0.099  -0.361 0.017  -0.361 -0.066  -0.361 -0.149  -0.361 -0.232  -0.361 -0.315  -0.361 -0.398  -0.361 -0.480  -0.361 -0.563  -0.361 -0.646  -0.331 -0.717  -0.273 -0.775  -0.214 -0.834  -0.156 -0.892  -0.097 -0.951  -0.038 -1.009  0.020 -1.068  0.079 -1.126  0.137 -1.185  0.196 -1.244  0.254 -1.302  0.313 -1.361  0.395 -1.364  0.470 -1.382  0.528 -1.441  0.587 -1.499
1c#app#app33#app3311/e  -0.292 0.109  -0.160 0.109  -0.027 0.109  0.106 0.109  0.239 0.109  0.372 0.109  0.504 0.109  0.637 0.109  0.770 0.109  0.802 0.210  0.914 0.231  1.011 0.318  1.045 0.436  1.045 0.569  1.045 0.702  1.045 0.834  0.955 0.930  0.835 0.960  0.702 0.960  0.569 0.960  0.436 0.960  0.304 0.960  0.178 0.944  0.084 0.850  -0.032 0.787  -0.151 0.727  -0.249 0.639  -0.343 0.545  -0.437 0.451  -0.530 0.357  -0.624 0.264  -0.696 0.153  -0.755 0.035  -0.779 -0.093  -0.843 -0.199  -0.900 -0.308  -0.900 -0.440  -0.900 -0.573  -0.862 -0.697  -0.803 -0.816  -0.779 -0.943  -0.715 -1.049  -0.621 -1.143  -0.523 -1.228  -0.397 -1.245  -0.304 -1.339  -0.175 -1.350  -0.056 -1.407  0.063 -1.467  0.194 -1.472
1c#app#app33#app3311/w  -1.248 0.988  -1.119 0.958  -1.019 0.858  -0.951 0.745  -0.951 0.604  -0.951 0.462  -0.951 0.321  -0.951 0.180  -0.951 0.039  -0.951 -0.102  -0.951 -0.243  -0.951 -0.206  -0.853 -0.164  -0.777 -0.098  -0.735 0.001  -0.655 0.062  -0.609 0.193  -0.546 0.319  -0.482 0.445  -0.372 0.494  -0.359 0.366  -0.359 0.224  -0.359 0.083  -0.300 0.001  -0.260 -0.100  -0.260 -0.242  -0.199 -0.357  -0.162 -0.483  -0.069 -0.586  0.066 -0.607  0.193 -0.670  0.329 -0.690  0.430 -0.788  0.571 -0.789  0.712 -0.789  0.853 -0.789  0.974 -0.740  1.094 -0.690  1.202 -0.610  1.220 -0.476  1.220 -0.335  1.220 -0.194  1.220 -0.053  1.220 0.089  1.220 0.230  1.220 0.371  1.168 0.500  1.105 0.626  1.042 0.753  1.023 0.889
1c#app#app33#app3311/i  -0.030 0.402  0.099 0.402  0.135 0.308  0.093 0.196  0.001 0.104  -0.030 -0.013  -0.030 -0.142  -0.045 -0.258  -0.174 -0.258  -0.195 -0.366  -0.195 -0.496  -0.195 -0.626  -0.197 -0.755  -0.289 -0.846  -0.360 -0.946  -0.360 -1.076  -0.360 -1.206  -0.360 -1.335  -0.360 -1.465  -0.356 -1.561  -0.321 -1.436  -0.286 -1.311  -0.252 -1.186  -0.217 -1.061  -0.182 -0.936  -0.147 -0.811  -0.113 -0.687  -0.078 -0.562  -0.043 -0.437  -0.009 -0.312  0.026 -0.187  0.061 -0.062  0.095 0.063  0.130 0.188  0.165 0.313  0.200 0.438  0.234 0.563  0.269 0.688  0.304 0.813  0.338 0.938  0.373 1.063  0.408 1.188  0.442 1.312  0.418 1.392  0.300 1.404  0.300 1.533  0.300 1.663  0.229 1.722  0.135 1.757  0.135 1.887
1c#app#app33#app3311/n  -1.071 0.169  -1.071 0.058  -1.071 -0.054  -1.071 -0.166  -1.071 -0.278  -1.071 -0.390  -1.071 -0.502  -1.071 -0.614  -1.071 -0.726  -1.071 -0.838  -1.028 -0.845  -0.949 -0.766  -0.870 -0.687  -0.860 -0.579  -0.786 -0.497  -0.707 -0.418  -0.648 -0.331  -0.648 -0.219  -0.619 -0.119  -0.539 -0.041  -0.439 0.010  -0.339 0.060  -0.285 0.156  -0.235 0.256  -0.161 0.339  -0.082 0.418  -0.003 0.497  0.076 0.577  0.172 0.633  0.272 0.683  0.381 0.699  0.493 0.699  0.605 0.699  0.717 0.699  0.829 0.699  0.940 0.698  1.019 0.618  1.045 0.517  1.127 0.487  1.151 0.399  1.151 0.287  1.151 0.175  1.151 0.063  1.151 -0.049  1.151 -0.161  1.137 -0.267  1.058 -0.347  1.045 -0.453  1.045 -0.565  1.045 -0.677
1c#app#app33#app3311/d  0.748 1.573  0.748 1.596  0.715 1.448  0.655 1.311  0.617 1.165  0.524 1.034  0.470 0.885  0.421 0.734  0.378 0.582  0.378 0.420  0.378 0.258  0.378 0.096  0.378 -0.066  0.378 -0.228  0.378 -0.390  0.378 -0.552  0.470 -0.486  0.470 -0.324  0.563 -0.255  0.563 -0.093  0.563 0.069  0.563 0.231  0.563 0.393  0.498 0.528  0.347 0.556  0.185 0.556  0.023 0.556  -0.139 0.556  -0.288 0.501  -0.433 0.428  -0.578 0.356  -0.723 0.283  -0.800 0.143  -0.900 0.018  -1.014 -0.096  -1.129 -0.211  -1.194 -0.346  -1.194 -0.508  -1.112 -0.636  -0.998 -0.751  -0.883 -0.865  -0.754 -0.959  -0.609 -1.032  -0.464 -1.104  -0.311 -1.157  -0.156 -1.201  0.006 -1.201  0.161 -1.232  0.308 -1.294  0.470 -1.294
1c#app#app33#app3311/g  0.429 0.582  0.469 0.697  0.510 0.813  0.579 0.917  0.579 1.049  0.579 1.181  0.479 1.258  0.347 1.258  0.214 1.258  0.095 1.203  -0.023 1.144  -0.132 1.072  -0.235 0.990  -0.346 0.917  -0.447 0.832  -0.540 0.739  -0.634 0.645  -0.697 0.539  -0.697 0.407  -0.690 0.282  -0.558 0.282  -0.426 0.282  -0.293 0.282  -0.186 0.342  -0.060 0.357  0.067 0.343  0.174 0.282  0.223 0.187  0.279 0.078  0.304 -0.044  0.354 -0.156  0.354 -0.288  0.354 -0.420  0.354 -0.553  0.354 -0.685  0.354 -0.817  0.354 -0.950  0.354 -1.082  0.354 -1.214  0.318 -1.331  0.224 -1.425  0.100 -1.445  -0.029 -1.438  -0.130 -1.354  -0.248 -1.295  -0.380 -1.295  -0.479 -1.213  -0.583 -1.145  -0.640 -1.070  -0.697 -0.995
1c#app#app33#app3311/o  -0.212 1.020  -0.212 1.168  -0.358 1.168  -0.505 1.168  -0.508 1.024  -0.609 0.919  -0.656 0.791  -0.656 0.644  -0.656 0.497  -0.656 0.350  -0.656 0.203  -0.656 0.055  -0.656 -0.092  -0.602 -0.217  -0.508 -0.325  -0.508 -0.472  -0.500 -0.615  -0.396 -0.719  -0.292 -0.823  -0.212 -0.937  -0.178 -1.051  -0.035 -1.066  0.097 -1.131  0.228 -1.197  0.232 -1.342  0.374 -1.347  0.521 -1.347  0.528 -1.207  0.668 -1.199  0.676 -1.061  0.676 -0.913  0.676 -0.766  0.676 -0.619  0.633 -0.479  0.587 -0.340  0.540 -0.200  0.528 -0.055  0.528 0.092  0.528 0.239  0.453 0.355  0.380 0.472  0.380 0.619  0.350 0.754  0.246 0.858  0.232 0.999  0.143 1.110  0.020 1.168  -0.108 1.213  -0.213 1.316  -0.360 1.316
1c#app#app33#app3311/t  0.780 1.768  0.780 1.630  0.646 1.625  0.637 1.497  0.637 1.359  0.637 1.221  0.586 1.094  0.524 0.971  0.494 0.840  0.494 0.702  0.494 0.563  0.469 0.431  0.407 0.308  0.351 0.183  0.351 0.045  0.351 -0.094  0.351 -0.232  0.351 -0.370  0.351 -0.508  0.351 -0.646  0.351 -0.784  0.351 -0.923  0.351 -1.061  0.244 -1.092  0.208 -1.194  0.208 -1.332  0.146 -1.309  0.053 -1.206  -0.039 -1.104  -0.131 -1.001  -0.224 -0.898  -0.316 -0.796  -0.409 -0.693  -0.501 -0.590  -0.594 -0.487  -0.686 -0.385  -0.778 -0.282  -0.871 -0.179  -0.963 -0.077  -1.056 0.026  -1.079 0.155  -0.981 0.195  -0.870 0.261  -0.764 0.338  -0.626 0.338  -0.488 0.338  -0.350 0.338  -0.212 0.338  -0.073 0.338  0.065 0.338
1c#app#app33#app3311/d  0.872 2.006  0.848 1.842  0.772 1.690  0.755 1.525  0.755 1.355  0.701 1.198  0.618 1.051  0.521 0.922  0.521 0.752  0.459 0.597  0.404 0.440  0.404 0.270  0.297 0.145  0.217 -0.005  0.170 -0.163  0.170 -0.333  0.146 -0.497  0.070 -0.649  0.053 -0.815  0.053 -0.985  0.055 -0.915  0.170 -0.793  0.170 -0.623  0.250 -0.486  0.287 -0.332  0.287 -0.162  0.287 0.008  0.287 0.178  0.287 0.347  0.170 0.400  0.086 0.486  -0.083 0.486  -0.253 0.486  -0.386 0.397  -0.537 0.358  -0.613 0.206  -0.739 0.135  -0.784 -0.001  -0.882 -0.130  -0.882 -0.300  -0.882 -0.469  -0.882 -0.639  -0.879 -0.808  -0.803 -0.960  -0.679 -1.034  -0.626 -1.151  -0.532 -1.227  -0.403 -1.268  -0.234 -1.268  -0.064 -1.268
1c#app#app33#app3311/o  0.202 0.814  0.061 0.814  -0.081 0.814  -0.223 0.814  -0.225 0.674  -0.293 0.600  -0.434 0.600  -0.439 0.463  -0.485 0.340  -0.585 0.240  -0.653 0.126  -0.653 -0.016  -0.769 -0.042  -0.867 -0.085  -0.867 -0.227  -0.867 -0.369  -0.867 -0.511  -0.867 -0.652  -0.867 -0.794  -0.867 -0.936  -0.867 -1.077  -0.758 -1.111  -0.616 -1.111  -0.475 -1.111  -0.333 -1.111  -0.191 -1.111  -0.049 -1.111  0.062 -1.037  0.162 -0.937  0.262 -0.837  0.363 -0.736  0.463 -0.636  0.563 -0.536  0.630 -0.422  0.630 -0.280  0.630 -0.138  0.662 -0.010  0.762 0.090  0.844 0.198  0.844 0.340  0.844 0.482  0.844 0.623  0.844 0.765  0.844 0.907  0.823 1.027  0.681 1.027  0.630 1.118  0.617 1.255  0.516 1.355  0.416 1.455
1c#app#app33#app3311/w  -0.415 1.583  -0.415 1.398  -0.507 1.252  -0.638 1.121  -0.769 0.991  -0.893 0.858  -0.893 0.673  -0.991 0.529  -1.122 0.399  -1.131 0.218  -1.131 0.033  -1.131 -0.151  -1.122 -0.327  -0.937 -0.327  -0.893 -0.467  -0.807 -0.565  -0.631 -0.543  -0.501 -0.412  -0.352 -0.327  -0.170 -0.320  -0.039 -0.190  0.062 -0.047  0.062 0.138  0.234 0.151  0.301 0.268  0.238 0.389  0.056 0.383  -0.075 0.252  -0.176 0.110  -0.176 -0.075  -0.176 -0.260  -0.176 -0.444  -0.113 -0.565  0.062 -0.575  0.062 -0.759  0.202 -0.804  0.387 -0.804  0.571 -0.804  0.756 -0.804  0.778 -0.642  0.886 -0.565  1.017 -0.511  1.017 -0.327  1.202 -0.327  1.256 -0.196  1.310 -0.034  1.440 0.097  1.494 0.259  1.494 0.443  1.494 0.628
1c#app#app33#app3311/n  -0.707 0.372  -0.707 0.217  -0.707 0.062  -0.845 0.046  -1.000 0.046  -1.034 -0.076  -1.034 -0.231  -1.034 -0.386  -1.034 -0.541  -1.034 -0.520  -1.034 -0.365  -0.963 -0.281  -0.808 -0.281  -0.707 -0.227  -0.707 -0.072  -0.680 0.072  -0.571 0.182  -0.461 0.291  -0.380 0.413  -0.380 0.568  -0.357 0.699  -0.202 0.699  -0.049 0.704  0.061 0.814  0.171 0.923  0.283 1.026  0.438 1.026  0.593 1.026  0.748 1.026  0.903 1.026  0.927 0.895  0.927 0.740  0.927 0.585  0.927 0.430  0.927 0.275  0.927 0.120  0.927 -0.035  0.927 -0.190  0.881 -0.327  0.772 -0.436  0.662 -0.546  0.600 -0.675  0.600 -0.830  0.550 -0.935  0.395 -0.935  0.273 -0.968  0.273 -1.123  0.273 -1.278  0.273 -1.433  0.273 -1.588
