2#app#app07#app0769/T  0.129 0.294  0.129 0.430  0.129 0.377  0.129 0.241  0.129 0.106  0.129 -0.030  0.108 -0.162  0.069 -0.288  0.069 -0.424  0.069 -0.560  0.069 -0.696  0.069 -0.832  0.069 -0.968  0.069 -1.104  0.069 -1.240  0.129 -1.316  0.062 -1.310  -0.042 -1.223  -0.147 -1.136  -0.251 -1.049  -0.356 -0.962  -0.460 -0.875  -0.564 -0.788  -0.669 -0.701  -0.773 -0.614  -0.878 -0.527  -0.938 -0.420  -0.938 -0.284  -0.873 -0.175  -0.784 -0.073  -0.702 0.036  -0.617 0.141  -0.520 0.237  -0.424 0.333  -0.315 0.413  -0.205 0.493  -0.109 0.589  -0.013 0.685  0.085 0.778  0.198 0.854  0.316 0.921  0.438 0.982  0.559 1.042  0.681 1.103  0.808 1.152  0.932 1.205  1.045 1.280  1.164 1.345  1.296 1.360  1.432 1.360
2#app#app07#app0769/d  0.454 -0.162  0.255 -0.162  0.056 -0.162  -0.118 -0.223  -0.290 -0.289  -0.487 -0.305  -0.676 -0.368  -0.868 -0.417  -1.055 -0.469  -1.228 -0.566  -1.383 -0.673  -1.463 -0.792  -1.272 -0.801  -1.073 -0.798  -0.895 -0.708  -0.739 -0.588  -0.559 -0.540  -0.380 -0.451  -0.225 -0.330  -0.057 -0.226  0.127 -0.162  0.289 -0.071  0.430 0.070  0.571 0.211  0.712 0.352  0.838 0.499  0.904 0.671  0.966 0.845  0.966 1.044  0.966 1.244  0.966 1.443  0.823 1.500  0.649 1.439  0.478 1.372  0.330 1.248  0.239 1.070  0.122 0.912  0.071 0.734  -0.018 0.556  -0.057 0.365  -0.057 0.166  -0.057 -0.034  -0.057 -0.233  0.007 -0.417  0.071 -0.602  0.161 -0.763  0.218 -0.928  0.327 -1.019  0.441 -1.171  0.582 -1.312
2#app#app07#app0769/p  0.088 0.503  0.028 0.357  0.002 0.197  -0.089 0.063  -0.166 -0.090  -0.170 -0.260  -0.242 -0.413  -0.318 -0.566  -0.394 -0.719  -0.496 -0.853  -0.513 -1.017  -0.599 -1.153  -0.616 -1.316  -0.685 -1.459  -0.685 -1.629  -0.658 -1.487  -0.629 -1.319  -0.600 -1.150  -0.571 -0.982  -0.542 -0.814  -0.513 -0.645  -0.484 -0.477  -0.455 -0.309  -0.426 -0.140  -0.397 0.028  -0.368 0.196  -0.338 0.365  -0.309 0.533  -0.280 0.701  -0.239 0.863  -0.118 0.984  0.026 1.073  0.160 1.175  0.318 1.219  0.475 1.275  0.646 1.275  0.803 1.218  0.961 1.175  1.032 1.033  1.032 0.862  1.032 0.692  1.032 0.521  0.984 0.370  0.894 0.227  0.775 0.117  0.636 0.021  0.479 -0.012  0.319 -0.038  0.173 -0.098  0.002 -0.098
2#app#app07#app0769/o  0.510 0.641  0.340 0.641  0.292 0.763  0.240 0.808  0.120 0.687  -0.031 0.641  -0.146 0.585  -0.153 0.422  -0.323 0.422  -0.422 0.307  -0.498 0.155  -0.574 0.002  -0.734 -0.015  -0.874 -0.087  -0.994 -0.208  -1.020 -0.367  -1.020 -0.537  -1.020 -0.708  -1.020 -0.878  -1.020 -1.048  -0.911 -1.109  -0.741 -1.109  -0.570 -1.109  -0.400 -1.109  -0.230 -1.109  -0.060 -1.109  0.110 -1.109  0.281 -1.109  0.404 -0.996  0.525 -0.876  0.645 -0.755  0.765 -0.635  0.886 -0.515  0.948 -0.370  0.948 -0.200  0.948 -0.030  0.948 0.140  0.948 0.310  0.906 0.464  0.786 0.584  0.666 0.704  0.545 0.825  0.390 0.860  0.292 0.932  0.268 1.078  0.098 1.078  -0.072 1.078  -0.243 1.078  -0.364 1.030  -0.364 0.860
2#app#app07#app0769/s  1.282 1.104  1.156 1.104  1.029 1.104  0.902 1.104  0.775 1.104  0.649 1.104  0.522 1.104  0.395 1.104  0.291 1.050  0.201 0.961  0.111 0.871  -0.015 0.870  -0.142 0.870  -0.268 0.870  -0.359 0.834  -0.359 0.707  -0.414 0.635  -0.541 0.635  -0.594 0.561  -0.594 0.434  -0.594 0.308  -0.594 0.181  -0.515 0.087  -0.425 -0.003  -0.325 -0.068  -0.199 -0.068  -0.087 -0.106  0.002 -0.195  0.092 -0.285  0.211 -0.303  0.338 -0.303  0.429 -0.388  0.519 -0.478  0.579 -0.580  0.579 -0.706  0.518 -0.772  0.391 -0.772  0.288 -0.829  0.198 -0.918  0.108 -1.006  -0.019 -1.006  -0.146 -1.006  -0.273 -1.006  -0.399 -1.006  -0.526 -1.006  -0.636 -1.048  -0.725 -1.138  -0.815 -1.227  -0.936 -1.241  -1.063 -1.241
2#app#app07#app0769/e  -0.055 -0.606  0.056 -0.495  0.174 -0.401  0.331 -0.401  0.355 -0.268  0.415 -0.136  0.526 -0.025  0.669 0.010  0.766 0.070  0.777 0.216  0.935 0.216  0.972 0.336  0.972 0.493  0.972 0.650  0.972 0.807  0.972 0.964  0.888 1.038  0.731 1.038  0.574 1.038  0.417 1.038  0.260 1.038  0.117 1.004  0.006 0.893  -0.123 0.810  -0.272 0.760  -0.421 0.711  -0.570 0.661  -0.672 0.577  -0.673 0.421  -0.830 0.421  -0.955 0.344  -1.066 0.232  -1.083 0.082  -1.083 -0.075  -1.083 -0.232  -1.083 -0.389  -0.980 -0.504  -0.877 -0.618  -0.877 -0.775  -0.769 -0.866  -0.629 -0.936  -0.488 -1.006  -0.333 -1.017  -0.176 -1.017  -0.019 -1.017  0.138 -1.017  0.295 -1.017  0.452 -1.017  0.609 -1.017  0.766 -1.017
2#app#app07#app0769/d  -0.162 -0.278  -0.332 -0.278  -0.503 -0.278  -0.669 -0.296  -0.822 -0.372  -0.984 -0.407  -1.129 -0.493  -1.250 -0.614  -1.371 -0.734  -1.384 -0.899  -1.251 -0.936  -1.087 -0.921  -0.948 -0.842  -0.785 -0.819  -0.643 -0.724  -0.494 -0.654  -0.326 -0.642  -0.173 -0.566  -0.050 -0.449  0.082 -0.344  0.237 -0.278  0.312 -0.180  0.421 -0.052  0.498 0.100  0.619 0.221  0.709 0.360  0.763 0.522  0.833 0.677  0.873 0.838  0.873 1.009  0.873 1.180  0.873 1.350  0.798 1.490  0.650 1.474  0.529 1.353  0.409 1.233  0.372 1.072  0.308 0.916  0.304 0.747  0.227 0.594  0.214 0.427  0.214 0.256  0.214 0.086  0.214 -0.085  0.214 -0.255  0.214 -0.426  0.307 -0.558  0.308 -0.728  0.402 -0.860  0.497 -0.936
2#app#app07#app0769/a  0.989 1.039  0.921 1.178  0.713 1.178  0.506 1.178  0.299 1.178  0.152 1.032  0.006 0.885  -0.141 0.739  -0.287 0.592  -0.434 0.446  -0.563 0.287  -0.655 0.101  -0.825 -0.006  -0.947 -0.139  -1.046 -0.305  -1.095 -0.492  -1.224 -0.646  -1.224 -0.853  -1.199 -1.035  -1.085 -1.129  -0.923 -1.174  -0.716 -1.174  -0.556 -1.059  -0.362 -1.020  -0.177 -0.927  -0.018 -0.798  0.129 -0.651  0.275 -0.505  0.422 -0.358  0.436 -0.157  0.519 0.016  0.575 0.200  0.575 0.407  0.575 0.614  0.575 0.821  0.575 1.028  0.378 1.039  0.298 0.912  0.240 0.763  0.160 0.636  0.160 0.429  0.160 0.222  0.160 0.015  0.160 -0.192  0.199 -0.383  0.346 -0.530  0.492 -0.676  0.655 -0.799  0.841 -0.892  0.989 -1.035
2#app#app07#app0769/l  -0.938 -0.856  -0.988 -0.856  -0.865 -0.783  -0.756 -0.674  -0.647 -0.565  -0.538 -0.456  -0.416 -0.363  -0.293 -0.270  -0.170 -0.178  -0.055 -0.076  0.073 0.006  0.197 0.088  0.266 0.226  0.384 0.315  0.515 0.393  0.624 0.502  0.719 0.621  0.787 0.758  0.891 0.871  0.917 1.017  0.986 1.155  1.000 1.306  0.929 1.388  0.781 1.373  0.672 1.264  0.563 1.155  0.454 1.046  0.346 0.937  0.237 0.829  0.128 0.720  0.042 0.594  -0.031 0.459  -0.139 0.350  -0.245 0.238  -0.337 0.115  -0.429 -0.008  -0.522 -0.131  -0.593 -0.267  -0.632 -0.412  -0.632 -0.566  -0.632 -0.720  -0.632 -0.874  -0.583 -1.007  -0.474 -1.116  -0.365 -1.225  -0.228 -1.264  -0.074 -1.264  0.080 -1.264  0.234 -1.264  0.388 -1.264
2#app#app07#app0769/o  0.951 0.518  0.951 0.683  0.808 0.704  0.643 0.704  0.488 0.659  0.341 0.585  0.192 0.518  0.027 0.518  -0.139 0.518  -0.264 0.421  -0.380 0.305  -0.497 0.188  -0.644 0.145  -0.785 0.086  -0.902 -0.030  -1.018 -0.147  -1.099 -0.279  -1.099 -0.444  -1.099 -0.609  -1.099 -0.774  -1.099 -0.939  -0.969 -0.974  -0.836 -1.050  -0.716 -1.160  -0.551 -1.160  -0.386 -1.160  -0.260 -1.066  -0.133 -0.974  0.032 -0.974  0.197 -0.974  0.316 -0.863  0.449 -0.787  0.578 -0.751  0.589 -0.590  0.706 -0.474  0.765 -0.333  0.765 -0.168  0.765 -0.003  0.753 0.157  0.636 0.274  0.578 0.415  0.535 0.562  0.418 0.678  0.392 0.833  0.392 0.998  0.392 1.163  0.328 1.263  0.163 1.263  -0.002 1.263  -0.167 1.263
2#app#app07#app0769/n  -0.863 0.211  -0.763 0.110  -0.694 -0.003  -0.694 -0.145  -0.694 -0.286  -0.694 -0.428  -0.799 -0.464  -0.863 -0.542  -0.914 -0.633  -1.056 -0.633  -1.197 -0.633  -1.200 -0.772  -1.200 -0.690  -1.116 -0.633  -1.031 -0.575  -1.010 -0.443  -0.910 -0.343  -0.810 -0.242  -0.710 -0.142  -0.574 -0.127  -0.460 -0.061  -0.360 0.039  -0.259 0.139  -0.159 0.239  -0.059 0.339  -0.019 0.465  0.022 0.589  0.122 0.689  0.252 0.717  0.372 0.770  0.472 0.870  0.572 0.971  0.679 1.054  0.821 1.054  0.824 0.916  0.824 0.774  0.824 0.632  0.824 0.491  0.824 0.349  0.824 0.208  0.824 0.066  0.824 -0.076  0.888 -0.191  0.988 -0.291  0.993 -0.431  1.101 -0.464  1.161 -0.545  1.216 -0.633  1.357 -0.633  1.499 -0.633
2#app#app07#app0769/g  0.582 1.263  0.473 1.227  0.372 1.158  0.258 1.116  0.143 1.080  0.039 1.014  -0.066 0.969  -0.152 0.888  -0.152 0.764  -0.117 0.675  0.007 0.675  0.131 0.675  0.255 0.675  0.352 0.739  0.462 0.775  0.566 0.822  0.617 0.896  0.729 0.884  0.729 0.760  0.702 0.648  0.656 0.543  0.656 0.419  0.595 0.320  0.582 0.201  0.523 0.102  0.462 -0.005  0.407 -0.116  0.352 -0.227  0.296 -0.338  0.241 -0.449  0.178 -0.556  0.109 -0.659  0.033 -0.756  -0.055 -0.843  -0.143 -0.931  -0.230 -1.019  -0.323 -1.100  -0.434 -1.155  -0.526 -1.235  -0.650 -1.235  -0.774 -1.235  -0.898 -1.235  -0.960 -1.173  -0.960 -1.049  -0.960 -0.925  -0.960 -0.801  -0.887 -0.707  -0.842 -0.602  -0.754 -0.514  -0.666 -0.427
2#app#app07#app0769/s  0.929 1.387  0.815 1.387  0.700 1.387  0.694 1.278  0.694 1.163  0.591 1.152  0.476 1.152  0.371 1.108  0.268 1.057  0.165 1.005  0.063 0.954  -0.043 0.916  -0.158 0.916  -0.249 0.892  -0.249 0.777  -0.267 0.680  -0.382 0.680  -0.485 0.668  -0.485 0.553  -0.480 0.440  -0.399 0.359  -0.317 0.277  -0.249 0.191  -0.249 0.076  -0.237 -0.027  -0.122 -0.027  -0.013 -0.033  -0.013 -0.148  -0.013 -0.263  0.068 -0.344  0.150 -0.425  0.222 -0.510  0.222 -0.625  0.227 -0.738  0.308 -0.819  0.389 -0.901  0.440 -0.969  0.325 -0.969  0.214 -0.978  0.133 -1.059  0.051 -1.140  -0.037 -1.205  -0.152 -1.205  -0.267 -1.205  -0.381 -1.205  -0.496 -1.205  -0.611 -1.205  -0.720 -1.199  -0.720 -1.084  -0.720 -0.969
2#app#app07#app0769/i  -0.285 -0.190  -0.285 -0.288  -0.383 -0.288  -0.452 -0.357  -0.521 -0.426  -0.579 -0.500  -0.595 -0.583  -0.677 -0.598  -0.677 -0.696  -0.677 -0.794  -0.667 -0.887  -0.598 -0.956  -0.579 -1.047  -0.508 -1.073  -0.410 -1.073  -0.383 -1.144  -0.313 -1.172  -0.260 -1.106  -0.226 -1.014  -0.192 -0.923  -0.157 -0.831  -0.123 -0.739  -0.088 -0.648  -0.054 -0.556  -0.020 -0.464  0.015 -0.373  0.049 -0.281  0.083 -0.189  0.118 -0.098  0.152 -0.006  0.187 0.086  0.221 0.177  0.255 0.269  0.290 0.361  0.324 0.452  0.358 0.544  0.393 0.635  0.427 0.727  0.461 0.819  0.496 0.910  0.530 1.002  0.565 1.094  0.598 1.186  0.598 1.283  0.598 1.381  0.598 1.479  0.598 1.577  0.598 1.675  0.598 1.773  0.598 1.871
2#app#app07#app0769/d  -0.159 -0.156  -0.331 -0.156  -0.503 -0.156  -0.637 -0.248  -0.798 -0.292  -0.940 -0.386  -1.088 -0.442  -1.210 -0.564  -1.332 -0.685  -1.353 -0.849  -1.224 -0.891  -1.054 -0.879  -0.900 -0.802  -0.729 -0.799  -0.598 -0.697  -0.444 -0.620  -0.273 -0.615  -0.145 -0.509  -0.012 -0.404  0.137 -0.319  0.259 -0.198  0.380 -0.076  0.502 0.045  0.613 0.175  0.709 0.319  0.816 0.452  0.906 0.596  0.983 0.750  1.060 0.904  1.128 1.060  1.128 1.232  1.128 1.404  0.981 1.352  0.837 1.261  0.699 1.162  0.578 1.040  0.456 0.919  0.334 0.797  0.245 0.652  0.168 0.498  0.091 0.344  0.014 0.191  -0.063 0.037  -0.067 -0.134  -0.067 -0.306  -0.067 -0.478  -0.067 -0.650  -0.067 -0.822  -0.055 -0.983  0.025 -1.075
2#app#app07#app0769/e  -0.232 -0.114  -0.089 -0.114  0.013 -0.015  0.137 0.031  0.258 0.084  0.362 0.177  0.505 0.177  0.643 0.183  0.646 0.323  0.789 0.323  0.890 0.425  0.934 0.549  0.934 0.692  0.934 0.836  0.862 0.906  0.788 0.976  0.721 1.052  0.578 1.052  0.435 1.052  0.292 1.052  0.166 1.012  0.064 0.911  -0.062 0.845  -0.190 0.781  -0.300 0.692  -0.411 0.615  -0.545 0.593  -0.647 0.492  -0.748 0.391  -0.837 0.281  -0.901 0.153  -0.961 0.024  -0.961 -0.119  -0.961 -0.262  -0.961 -0.405  -0.961 -0.548  -0.863 -0.651  -0.761 -0.752  -0.660 -0.853  -0.559 -0.954  -0.440 -1.031  -0.312 -1.095  -0.179 -1.135  -0.036 -1.135  0.102 -1.157  0.230 -1.221  0.359 -1.281  0.502 -1.281  0.645 -1.281  0.788 -1.281
2#app#app07#app0769/a  0.742 0.537  0.584 0.560  0.462 0.673  0.295 0.673  0.135 0.639  -0.015 0.564  -0.177 0.537  -0.330 0.475  -0.481 0.402  -0.648 0.402  -0.809 0.371  -0.959 0.295  -1.089 0.193  -1.208 0.075  -1.343 -0.004  -1.485 -0.067  -1.557 -0.205  -1.557 -0.373  -1.557 -0.540  -1.393 -0.544  -1.225 -0.544  -1.057 -0.544  -0.890 -0.544  -0.723 -0.539  -0.560 -0.498  -0.397 -0.457  -0.234 -0.417  -0.068 -0.408  0.051 -0.289  0.169 -0.171  0.324 -0.139  0.471 -0.119  0.524 -0.004  0.667 0.057  0.786 0.175  0.877 0.305  0.877 0.473  0.877 0.641  0.876 0.537  0.742 0.504  0.742 0.336  0.742 0.168  0.742 0.000  0.858 -0.119  0.881 -0.278  0.999 -0.396  1.118 -0.515  1.274 -0.544  1.395 -0.657  1.553 -0.680
