1d#apa#apa03#app0390/!  0.209 1.533  0.282 1.533  0.342 1.521  0.342 1.448  0.325 1.382  0.273 1.330  0.221 1.279  0.209 1.211  0.209 1.138  0.209 1.065  0.209 0.992  0.209 0.919  0.195 0.852  0.143 0.800  0.091 0.748  0.076 0.682  0.076 0.609  0.076 0.536  0.076 0.463  0.076 0.390  0.071 0.318  0.048 0.248  0.024 0.179  0.001 0.110  -0.022 0.040  -0.045 -0.029  -0.058 -0.100  -0.058 -0.173  -0.089 -0.233  -0.141 -0.284  -0.191 -0.337  -0.191 -0.410  -0.191 -0.483  -0.191 -0.556  -0.191 -0.629  -0.191 -0.702  -0.191 -0.775  -0.191 -0.848  -0.191 -0.921  -0.191 -0.994  -0.191 -1.067  -0.191 -1.140  -0.191 -1.213  -0.191 -1.286  -0.191 -1.359  -0.191 -1.432  -0.191 -1.505  -0.161 -1.566  -0.109 -1.617  -0.058 -1.669
1d#apa#apa03#app0390/\\  -1.103 1.103  -1.028 1.103  -0.952 1.103  -0.916 1.064  -0.916 0.989  -0.913 0.916  -0.838 0.916  -0.762 0.916  -0.687 0.916  -0.611 0.916  -0.540 0.911  -0.540 0.835  -0.540 0.759  -0.509 0.697  -0.456 0.643  -0.403 0.590  -0.349 0.537  -0.296 0.483  -0.242 0.430  -0.189 0.376  -0.165 0.311  -0.165 0.235  -0.161 0.161  -0.108 0.108  -0.054 0.054  -0.001 0.001  0.052 -0.053  0.106 -0.106  0.159 -0.160  0.210 -0.214  0.210 -0.290  0.210 -0.365  0.240 -0.428  0.294 -0.482  0.347 -0.535  0.401 -0.589  0.454 -0.642  0.507 -0.695  0.561 -0.749  0.614 -0.802  0.668 -0.856  0.721 -0.909  0.775 -0.962  0.828 -1.016  0.881 -1.069  0.935 -1.123  0.988 -1.176  1.042 -1.230  1.095 -1.283  1.149 -1.336
1d#apa#apa03#app0390/,  0.450 1.710  0.450 1.629  0.450 1.548  0.450 1.467  0.450 1.386  0.450 1.305  0.450 1.224  0.450 1.143  0.450 1.062  0.450 0.981  0.450 0.900  0.450 0.819  0.450 0.738  0.450 0.657  0.450 0.576  0.450 0.495  0.450 0.414  0.430 0.342  0.372 0.284  0.315 0.227  0.258 0.170  0.201 0.113  0.143 0.055  0.086 -0.002  0.029 -0.059  0.000 -0.128  0.000 -0.209  0.000 -0.290  0.000 -0.371  0.000 -0.452  0.000 -0.533  -0.077 -0.537  -0.158 -0.537  -0.239 -0.537  -0.320 -0.537  -0.401 -0.537  -0.449 -0.570  -0.449 -0.650  -0.449 -0.731  -0.449 -0.812  -0.449 -0.893  -0.449 -0.974  -0.498 -1.035  -0.555 -1.092  -0.612 -1.150  -0.670 -1.207  -0.727 -1.264  -0.784 -1.322  -0.841 -1.379  -0.899 -1.436
1d#apa#apa03#app0390/  1.060 1.356  1.009 1.305  0.958 1.254  0.906 1.203  0.855 1.152  0.804 1.100  0.753 1.049  0.702 0.998  0.651 0.947  0.600 0.896  0.549 0.845  0.503 0.790  0.470 0.725  0.438 0.661  0.405 0.596  0.373 0.531  0.341 0.467  0.297 0.410  0.246 0.359  0.195 0.308  0.143 0.257  0.092 0.206  0.041 0.155  -0.010 0.103  -0.037 0.042  -0.037 -0.030  -0.037 -0.102  -0.085 -0.155  -0.136 -0.206  -0.187 -0.257  -0.239 -0.308  -0.290 -0.359  -0.341 -0.410  -0.392 -0.461  -0.403 -0.529  -0.403 -0.602  -0.416 -0.668  -0.467 -0.720  -0.518 -0.771  -0.570 -0.822  -0.621 -0.873  -0.672 -0.924  -0.723 -0.975  -0.769 -1.029  -0.769 -1.101  -0.769 -1.173  -0.798 -1.233  -0.849 -1.284  -0.900 -1.336  -0.952 -1.387
1d#apa#apa03#app0390/?  -0.312 1.101  -0.312 1.188  -0.270 1.233  -0.183 1.233  -0.120 1.175  -0.058 1.113  0.024 1.101  0.111 1.101  0.198 1.101  0.285 1.101  0.372 1.101  0.459 1.101  0.486 1.039  0.486 0.952  0.486 0.865  0.445 0.795  0.384 0.733  0.353 0.659  0.353 0.571  0.293 0.509  0.231 0.448  0.169 0.386  0.108 0.324  0.087 0.246  0.078 0.162  0.017 0.100  -0.045 0.039  -0.046 -0.048  -0.046 -0.135  -0.046 -0.222  -0.046 -0.310  -0.052 -0.396  -0.066 -0.482  -0.080 -0.568  -0.095 -0.654  -0.109 -0.740  -0.123 -0.826  -0.138 -0.912  -0.152 -0.998  -0.166 -1.084  -0.179 -1.170  -0.179 -1.258  -0.179 -1.345  -0.187 -1.424  -0.274 -1.424  -0.361 -1.424  -0.444 -1.428  -0.444 -1.515  -0.399 -1.556  -0.312 -1.556
1d#apa#apa03#app0390/'  0.464 1.693  0.464 1.611  0.464 1.529  0.464 1.448  0.464 1.366  0.464 1.284  0.464 1.203  0.464 1.121  0.464 1.039  0.464 0.957  0.464 0.876  0.464 0.794  0.464 0.712  0.464 0.631  0.464 0.549  0.464 0.467  0.464 0.386  0.464 0.304  0.434 0.235  0.376 0.177  0.318 0.119  0.260 0.062  0.203 0.004  0.145 -0.054  0.087 -0.112  0.029 -0.169  -0.035 -0.210  -0.117 -0.210  -0.199 -0.210  -0.281 -0.210  -0.362 -0.210  -0.444 -0.210  -0.487 -0.249  -0.487 -0.330  -0.487 -0.412  -0.487 -0.494  -0.487 -0.575  -0.487 -0.657  -0.487 -0.739  -0.487 -0.820  -0.487 -0.902  -0.487 -0.984  -0.487 -1.065  -0.487 -1.147  -0.487 -1.229  -0.487 -1.310  -0.487 -1.392  -0.487 -1.474  -0.487 -1.555  -0.487 -1.637
1d#apa#apa03#app0390/\"  0.050 1.290  -0.065 1.175  -0.180 1.060  -0.296 0.944  -0.411 0.829  -0.526 0.714  -0.641 0.598  -0.641 0.435  -0.641 0.272  -0.743 0.151  -0.859 0.036  -0.974 -0.079  -0.986 -0.238  -0.986 -0.401  -0.986 -0.564  -0.986 -0.727  -1.093 -0.782  -1.257 -0.782  -1.255 -0.739  -1.113 -0.658  -0.972 -0.577  -0.830 -0.496  -0.689 -0.415  -0.547 -0.334  -0.405 -0.253  -0.264 -0.172  -0.122 -0.091  0.019 -0.010  0.161 0.070  0.303 0.151  0.444 0.232  0.586 0.313  0.727 0.394  0.869 0.475  1.011 0.556  1.140 0.546  1.255 0.431  1.371 0.315  1.356 0.254  1.193 0.254  1.046 0.214  0.931 0.098  0.816 -0.017  0.741 -0.149  0.741 -0.312  0.741 -0.476  0.741 -0.639  0.741 -0.802  0.741 -0.965  0.741 -1.128
1d#apa#apa03#app0390/<  0.862 1.158  0.862 1.058  0.826 0.994  0.725 0.994  0.625 0.994  0.524 0.994  0.424 0.994  0.323 0.994  0.223 0.994  0.122 0.994  0.027 0.981  -0.044 0.910  -0.115 0.839  -0.212 0.830  -0.305 0.813  -0.376 0.742  -0.447 0.671  -0.452 0.572  -0.482 0.501  -0.582 0.501  -0.617 0.435  -0.618 0.335  -0.689 0.264  -0.760 0.193  -0.781 0.101  -0.781 0.001  -0.781 -0.100  -0.750 -0.187  -0.679 -0.258  -0.608 -0.329  -0.537 -0.400  -0.465 -0.472  -0.394 -0.543  -0.323 -0.614  -0.238 -0.649  -0.137 -0.649  -0.062 -0.711  0.009 -0.782  0.090 -0.838  0.180 -0.883  0.270 -0.928  0.360 -0.973  0.433 -1.041  0.504 -1.112  0.592 -1.142  0.693 -1.142  0.765 -1.209  0.836 -1.281  0.926 -1.306  1.027 -1.306
1d#apa#apa03#app0390/|  0.427 1.631  0.427 1.559  0.427 1.486  0.427 1.414  0.406 1.350  0.354 1.299  0.303 1.248  0.297 1.178  0.297 1.106  0.297 1.034  0.297 0.961  0.297 0.889  0.272 0.827  0.221 0.776  0.170 0.725  0.136 0.661  0.104 0.596  0.071 0.531  0.039 0.467  0.037 0.395  0.037 0.322  0.037 0.250  0.037 0.178  0.037 0.105  0.019 0.037  -0.013 -0.028  -0.045 -0.092  -0.078 -0.157  -0.105 -0.224  -0.128 -0.292  -0.151 -0.361  -0.174 -0.430  -0.197 -0.498  -0.220 -0.567  -0.223 -0.639  -0.223 -0.711  -0.223 -0.783  -0.223 -0.856  -0.223 -0.928  -0.223 -1.000  -0.223 -1.073  -0.257 -1.131  -0.308 -1.182  -0.353 -1.236  -0.353 -1.308  -0.353 -1.381  -0.353 -1.453  -0.325 -1.514  -0.274 -1.565  -0.223 -1.616
1d#apa#apa03#app0390/>  -1.182 1.056  -1.067 1.056  -0.951 1.056  -0.835 1.056  -0.817 0.958  -0.786 0.873  -0.670 0.873  -0.554 0.873  -0.438 0.873  -0.322 0.873  -0.207 0.873  -0.091 0.873  -0.008 0.795  0.074 0.713  0.181 0.691  0.279 0.673  0.279 0.557  0.346 0.508  0.462 0.508  0.578 0.508  0.645 0.459  0.645 0.343  0.742 0.325  0.827 0.294  0.827 0.178  0.827 0.063  0.827 -0.053  0.827 -0.169  0.827 -0.285  0.827 -0.401  0.716 -0.405  0.600 -0.405  0.484 -0.405  0.462 -0.499  0.435 -0.588  0.319 -0.588  0.226 -0.642  0.144 -0.723  0.048 -0.771  -0.068 -0.771  -0.155 -0.840  -0.237 -0.922  -0.340 -0.953  -0.455 -0.957  -0.537 -1.038  -0.619 -1.120  -0.700 -1.202  -0.782 -1.284  -0.817 -1.386  -0.817 -1.502
1d#apa#apa03#app0390/\"  -0.791 1.232  -0.791 1.077  -0.791 0.922  -0.791 0.767  -0.791 0.613  -0.879 0.546  -1.034 0.546  -1.134 0.491  -1.134 0.336  -1.134 0.181  -1.134 0.026  -1.134 -0.129  -1.134 -0.284  -1.134 -0.438  -1.036 -0.434  -0.897 -0.365  -0.759 -0.296  -0.620 -0.226  -0.482 -0.157  -0.343 -0.088  -0.204 -0.018  -0.066 0.051  0.073 0.120  0.211 0.189  0.350 0.259  0.488 0.328  0.627 0.397  0.765 0.466  0.904 0.536  1.056 0.546  1.211 0.546  1.267 0.447  1.267 0.292  1.202 0.203  1.047 0.203  0.924 0.171  0.924 0.016  0.924 -0.139  0.771 -0.140  0.616 -0.140  0.581 -0.261  0.581 -0.416  0.520 -0.545  0.410 -0.654  0.301 -0.764  0.238 -0.893  0.238 -1.048  0.238 -1.203  0.238 -1.358  0.238 -1.513
1d#apa#apa03#app0390/;  -0.039 1.583  0.049 1.583  0.133 1.575  0.195 1.512  0.257 1.450  0.288 1.375  0.288 1.288  0.288 1.200  0.288 1.112  0.288 1.024  0.288 0.937  0.288 0.849  0.288 0.761  0.288 0.673  0.288 0.586  0.288 0.498  0.288 0.410  0.288 0.322  0.288 0.235  0.288 0.147  0.341 0.112  0.428 0.112  0.451 0.047  0.451 -0.041  0.374 -0.052  0.288 -0.053  0.288 -0.141  0.274 -0.215  0.187 -0.215  0.113 -0.238  0.074 -0.316  0.034 -0.395  -0.005 -0.473  -0.047 -0.550  -0.109 -0.612  -0.171 -0.674  -0.203 -0.748  -0.203 -0.836  -0.242 -0.908  -0.304 -0.970  -0.366 -1.032  -0.428 -1.094  -0.490 -1.156  -0.561 -1.196  -0.649 -1.196  -0.737 -1.196  -0.824 -1.196  -0.896 -1.235  -0.958 -1.297  -1.020 -1.359
1d#apa#apa03#app0390/:  0.277 1.210  0.277 1.290  0.277 1.370  0.277 1.403  0.277 1.323  0.277 1.244  0.323 1.210  0.402 1.210  0.482 1.210  0.492 1.141  0.492 1.062  0.487 0.983  0.454 0.911  0.421 0.838  0.388 0.766  0.355 0.693  0.322 0.621  0.289 0.548  0.256 0.476  0.223 0.403  0.191 0.331  0.158 0.259  0.125 0.186  0.092 0.114  0.059 0.041  0.026 -0.031  -0.007 -0.104  -0.040 -0.176  -0.073 -0.249  -0.106 -0.321  -0.139 -0.394  -0.172 -0.466  -0.205 -0.539  -0.238 -0.611  -0.271 -0.683  -0.304 -0.756  -0.336 -0.828  -0.369 -0.901  -0.402 -0.973  -0.435 -1.046  -0.468 -1.118  -0.501 -1.191  -0.534 -1.263  -0.567 -1.336  -0.553 -1.378  -0.473 -1.378  -0.394 -1.378  -0.370 -1.321  -0.370 -1.242  -0.370 -1.162
1d#apa#apa03#app0390/.  1.044 -1.361  0.992 -1.309  0.941 -1.257  0.889 -1.205  0.837 -1.154  0.785 -1.102  0.734 -1.050  0.682 -0.998  0.630 -0.947  0.578 -0.895  0.527 -0.843  0.475 -0.791  0.423 -0.740  0.371 -0.688  0.320 -0.636  0.268 -0.584  0.216 -0.533  0.164 -0.481  0.113 -0.429  0.061 -0.377  0.009 -0.326  -0.043 -0.274  -0.094 -0.222  -0.146 -0.170  -0.198 -0.119  -0.250 -0.067  -0.301 -0.015  -0.353 0.037  -0.405 0.088  -0.441 0.147  -0.441 0.220  -0.441 0.293  -0.441 0.366  -0.441 0.439  -0.441 0.513  -0.441 0.586  -0.441 0.659  -0.441 0.732  -0.441 0.805  -0.441 0.879  -0.441 0.952  -0.441 1.025  -0.441 1.098  -0.441 1.171  -0.441 1.245  -0.441 1.318  -0.441 1.391  -0.441 1.464  -0.441 1.537  -0.441 1.610
