3#apa#apa09#app0959/A  -0.373 0.861  -0.373 0.974  -0.373 0.741  -0.429 0.517  -0.503 0.296  -0.546 0.070  -0.546 -0.163  -0.546 -0.396  -0.546 -0.629  -0.597 -0.854  -0.671 -1.075  -0.720 -1.300  -0.720 -1.254  -0.720 -1.021  -0.720 -0.788  -0.720 -0.555  -0.655 -0.332  -0.581 -0.111  -0.501 0.108  -0.414 0.324  -0.328 0.540  -0.241 0.757  -0.103 0.933  0.084 1.073  0.270 1.213  0.457 1.353  0.626 1.512  0.841 1.553  0.915 1.332  0.988 1.111  1.014 0.882  1.014 0.649  0.990 0.419  0.934 0.193  0.877 -0.033  0.804 -0.253  0.700 -0.461  0.596 -0.670  0.494 -0.879  0.494 -1.112  0.494 -1.095  0.350 -0.931  0.168 -0.786  -0.014 -0.640  -0.196 -0.495  -0.379 -0.353  -0.480 -0.353  -0.247 -0.353  -0.017 -0.344  0.147 -0.180
3#apa#apa09#app0959/L  0.426 1.143  0.384 1.227  0.342 1.310  0.300 1.394  0.259 1.477  0.208 1.504  0.142 1.438  0.076 1.372  0.030 1.294  0.007 1.204  -0.016 1.113  -0.038 1.023  -0.061 0.932  -0.084 0.841  -0.106 0.751  -0.129 0.660  -0.152 0.570  -0.174 0.479  -0.197 0.389  -0.220 0.298  -0.242 0.207  -0.265 0.117  -0.287 0.026  -0.310 -0.064  -0.333 -0.155  -0.374 -0.235  -0.440 -0.301  -0.506 -0.367  -0.539 -0.447  -0.539 -0.540  -0.539 -0.634  -0.539 -0.727  -0.514 -0.810  -0.448 -0.876  -0.382 -0.942  -0.303 -0.978  -0.210 -0.978  -0.116 -0.978  -0.023 -0.978  0.070 -0.978  0.164 -0.978  0.257 -0.978  0.351 -0.978  0.444 -0.978  0.537 -0.978  0.631 -0.978  0.724 -0.978  0.817 -0.978  0.911 -0.978  1.004 -0.978
3#apa#apa09#app0959/M  -0.829 0.138  -0.953 0.262  -1.006 0.214  -1.006 0.038  -1.006 -0.138  -1.036 -0.308  -1.092 -0.475  -1.147 -0.642  -1.183 -0.812  -1.155 -0.869  -1.076 -0.712  -1.001 -0.553  -0.959 -0.383  -0.916 -0.212  -0.873 -0.042  -0.831 0.129  -0.711 0.256  -0.586 0.380  -0.462 0.504  -0.338 0.628  -0.214 0.586  -0.120 0.449  -0.120 0.273  -0.120 0.097  -0.120 -0.079  -0.120 -0.254  -0.120 -0.430  -0.104 -0.539  -0.026 -0.382  0.053 -0.225  0.175 -0.099  0.299 0.026  0.421 0.152  0.518 0.298  0.616 0.444  0.713 0.591  0.838 0.705  0.995 0.784  1.156 0.846  1.297 0.811  1.297 0.635  1.297 0.459  1.297 0.284  1.289 0.109  1.247 -0.062  1.204 -0.232  1.161 -0.403  1.120 -0.573  1.120 -0.749  1.120 -0.925
3#apa#apa09#app0959/N  -0.554 0.476  -0.565 0.250  -0.637 0.034  -0.709 -0.182  -0.796 -0.393  -0.898 -0.596  -0.940 -0.814  -0.940 -1.042  -1.132 -1.053  -1.132 -0.825  -1.132 -0.597  -1.132 -0.369  -1.095 -0.146  -1.040 0.075  -0.985 0.296  -0.910 0.506  -0.749 0.667  -0.588 0.828  -0.473 0.700  -0.371 0.496  -0.270 0.292  -0.168 0.088  -0.096 -0.128  -0.024 -0.344  0.078 -0.542  0.239 -0.703  0.400 -0.864  0.562 -1.025  0.628 -0.896  0.662 -0.671  0.697 -0.446  0.732 -0.221  0.766 0.005  0.801 0.230  0.836 0.455  0.870 0.680  0.905 0.905  0.939 1.131  0.974 1.356  0.923 1.311  0.821 1.107  0.761 0.889  0.717 0.666  0.672 0.442  0.627 0.219  0.602 -0.007  0.602 -0.234  0.602 -0.462  0.511 -0.669  0.409 -0.873
3#apa#apa09#app0959/O  0.051 0.427  -0.101 0.427  -0.143 0.537  -0.211 0.621  -0.356 0.602  -0.463 0.494  -0.571 0.387  -0.678 0.279  -0.785 0.172  -0.893 0.065  -1.000 -0.043  -1.108 -0.150  -1.047 -0.285  -0.979 -0.421  -0.911 -0.557  -0.843 -0.693  -0.775 -0.829  -0.687 -0.942  -0.543 -0.990  -0.399 -1.038  -0.255 -1.086  -0.109 -1.123  0.043 -1.123  0.188 -1.078  0.332 -1.030  0.476 -0.982  0.620 -0.934  0.709 -0.814  0.794 -0.687  0.878 -0.561  0.962 -0.434  1.019 -0.300  1.019 -0.148  1.019 0.004  1.019 0.156  1.019 0.308  0.996 0.450  0.889 0.558  0.781 0.665  0.674 0.773  0.566 0.880  0.459 0.988  0.315 1.008  0.163 1.008  0.013 0.999  -0.135 0.962  -0.282 0.925  -0.430 0.888  -0.577 0.851  -0.724 0.814
3#apa#apa09#app0959/P  0.189 -0.127  0.016 -0.127  0.012 -0.296  -0.062 -0.452  -0.140 -0.607  -0.202 -0.768  -0.257 -0.933  -0.312 -1.097  -0.344 -1.266  -0.344 -1.439  -0.344 -1.612  -0.349 -1.667  -0.363 -1.494  -0.378 -1.321  -0.392 -1.149  -0.406 -0.976  -0.421 -0.803  -0.435 -0.630  -0.450 -0.457  -0.464 -0.285  -0.478 -0.112  -0.493 0.061  -0.507 0.234  -0.522 0.407  -0.599 0.562  -0.677 0.717  -0.699 0.885  -0.584 0.968  -0.416 1.010  -0.248 1.052  -0.079 1.094  0.090 1.102  0.260 1.068  0.430 1.034  0.600 1.000  0.770 0.966  0.941 0.939  1.094 0.907  1.172 0.752  1.249 0.597  1.143 0.472  1.001 0.381  0.837 0.326  0.672 0.271  0.506 0.221  0.336 0.187  0.166 0.153  -0.004 0.119  -0.174 0.085  -0.344 0.051
3#apa#apa09#app0959/Q  0.224 0.781  -0.007 0.792  -0.217 0.896  -0.421 0.973  -0.587 0.808  -0.702 0.606  -0.806 0.396  -0.824 0.166  -0.824 -0.068  -0.824 -0.302  -0.775 -0.509  -0.580 -0.639  -0.385 -0.769  -0.190 -0.898  0.032 -0.972  0.254 -1.046  0.466 -1.074  0.631 -0.908  0.797 -0.743  0.962 -0.577  1.063 -0.385  1.063 -0.151  1.063 0.083  1.063 0.317  1.063 0.551  1.059 0.783  0.849 0.887  0.640 0.992  0.418 1.066  0.196 1.140  -0.029 1.200  -0.263 1.200  -0.404 1.108  -0.404 0.874  -0.404 0.640  -0.457 0.414  -0.531 0.192  -0.605 -0.030  -0.759 0.087  -0.681 0.152  -0.614 -0.015  -0.479 -0.193  -0.313 -0.359  -0.158 -0.533  -0.028 -0.727  0.102 -0.922  0.224 -1.119  0.251 -1.342  0.417 -1.507  0.434 -1.315
3#apa#apa09#app0959/R  -0.301 0.301  -0.398 0.494  -0.453 0.510  -0.341 0.340  -0.301 0.140  -0.301 -0.076  -0.301 -0.292  -0.301 -0.509  -0.301 -0.725  -0.301 -0.941  -0.301 -1.158  -0.301 -1.374  -0.306 -1.448  -0.323 -1.232  -0.340 -1.016  -0.356 -0.801  -0.373 -0.585  -0.389 -0.369  -0.406 -0.154  -0.423 0.062  -0.439 0.278  -0.476 0.487  -0.596 0.667  -0.716 0.847  -0.692 1.036  -0.583 1.210  -0.370 1.231  -0.160 1.284  0.050 1.336  0.260 1.336  0.470 1.283  0.680 1.231  0.894 1.210  0.975 1.023  1.043 0.817  0.973 0.635  0.843 0.462  0.713 0.289  0.579 0.119  0.426 -0.034  0.265 -0.175  0.071 -0.271  -0.096 -0.404  -0.049 -0.557  0.066 -0.737  0.171 -0.924  0.351 -1.044  0.531 -1.164  0.719 -1.271  0.912 -1.367
3#apa#apa09#app0959/S  0.781 0.945  0.902 0.945  1.023 0.945  1.059 1.030  0.993 1.084  0.872 1.084  0.751 1.077  0.634 1.047  0.516 1.018  0.399 0.988  0.281 0.959  0.162 0.945  0.041 0.945  -0.077 0.933  -0.186 0.879  -0.294 0.825  -0.388 0.750  -0.471 0.664  -0.471 0.543  -0.471 0.422  -0.423 0.315  -0.356 0.215  -0.289 0.114  -0.222 0.013  -0.131 -0.061  -0.022 -0.115  0.086 -0.169  0.171 -0.255  0.257 -0.340  0.343 -0.426  0.428 -0.512  0.503 -0.602  0.503 -0.723  0.503 -0.844  0.405 -0.889  0.288 -0.918  0.170 -0.948  0.053 -0.977  -0.065 -1.004  -0.186 -1.004  -0.307 -1.004  -0.428 -1.004  -0.549 -1.004  -0.671 -1.004  -0.787 -0.985  -0.895 -0.931  -1.004 -0.877  -1.095 -0.798  -1.167 -0.707  -1.167 -0.586
3#apa#apa09#app0959/T  0.396 0.395  0.396 0.242  0.396 0.089  0.396 -0.064  0.396 -0.217  0.396 -0.371  0.383 -0.521  0.334 -0.667  0.286 -0.812  0.222 -0.947  0.113 -1.055  0.105 -1.205  0.103 -1.354  -0.005 -1.246  -0.098 -1.125  -0.183 -0.998  -0.268 -0.870  -0.353 -0.743  -0.437 -0.616  -0.522 -0.488  -0.607 -0.361  -0.692 -0.234  -0.777 -0.106  -0.862 0.021  -0.947 0.149  -1.032 0.276  -1.117 0.403  -1.202 0.531  -1.349 0.541  -1.206 0.541  -1.053 0.541  -0.900 0.541  -0.747 0.541  -0.594 0.541  -0.441 0.541  -0.288 0.541  -0.135 0.541  0.018 0.541  0.172 0.541  0.325 0.541  0.478 0.541  0.631 0.541  0.784 0.541  0.937 0.541  1.090 0.541  1.243 0.541  1.396 0.541  1.549 0.541  1.702 0.541  1.564 0.541
3#apa#apa09#app0959/U  -0.604 0.299  -0.655 0.401  -0.706 0.503  -0.757 0.604  -0.788 0.621  -0.788 0.507  -0.788 0.393  -0.788 0.280  -0.788 0.166  -0.788 0.052  -0.788 -0.061  -0.788 -0.175  -0.788 -0.289  -0.788 -0.403  -0.788 -0.516  -0.788 -0.630  -0.788 -0.744  -0.737 -0.826  -0.635 -0.877  -0.533 -0.928  -0.432 -0.979  -0.319 -0.984  -0.205 -0.984  -0.092 -0.984  0.022 -0.984  0.132 -0.978  0.183 -0.877  0.234 -0.775  0.285 -0.673  0.341 -0.575  0.404 -0.480  0.467 -0.385  0.530 -0.291  0.594 -0.196  0.657 -0.101  0.691 0.005  0.710 0.117  0.729 0.229  0.747 0.341  0.766 0.453  0.785 0.566  0.803 0.678  0.822 0.790  0.841 0.902  0.860 1.014  0.863 1.128  0.863 1.242  0.863 1.355  0.863 1.469  0.863 1.583
3#apa#apa09#app0959/V  -0.697 0.414  -0.697 0.530  -0.697 0.646  -0.697 0.762  -0.697 0.747  -0.697 0.630  -0.697 0.514  -0.697 0.398  -0.697 0.282  -0.697 0.166  -0.697 0.050  -0.697 -0.066  -0.697 -0.182  -0.697 -0.298  -0.689 -0.413  -0.661 -0.526  -0.633 -0.638  -0.605 -0.751  -0.577 -0.864  -0.549 -0.976  -0.520 -1.089  -0.476 -1.180  -0.360 -1.180  -0.260 -1.141  -0.178 -1.059  -0.097 -0.976  -0.045 -0.872  0.007 -0.768  0.059 -0.664  0.111 -0.561  0.163 -0.457  0.215 -0.353  0.266 -0.249  0.330 -0.153  0.412 -0.071  0.494 0.011  0.576 0.093  0.658 0.175  0.724 0.268  0.776 0.372  0.828 0.476  0.880 0.580  0.932 0.683  0.984 0.787  1.036 0.891  1.088 0.995  1.140 1.099  1.191 1.202  1.243 1.306  1.295 1.410
3#apa#apa09#app0959/W  -0.982 0.390  -1.039 0.504  -1.096 0.619  -1.129 0.738  -1.129 0.800  -1.129 0.672  -1.129 0.545  -1.129 0.417  -1.104 0.292  -1.074 0.169  -1.043 0.045  -1.012 -0.079  -0.980 -0.202  -0.923 -0.316  -0.866 -0.430  -0.778 -0.494  -0.661 -0.468  -0.571 -0.378  -0.493 -0.278  -0.422 -0.172  -0.352 -0.065  -0.281 0.041  -0.201 0.139  -0.111 0.229  0.011 0.243  0.050 0.155  0.072 0.031  0.112 -0.090  0.153 -0.211  0.193 -0.332  0.248 -0.447  0.305 -0.561  0.372 -0.668  0.462 -0.759  0.568 -0.751  0.682 -0.694  0.792 -0.633  0.849 -0.519  0.906 -0.405  0.963 -0.291  1.020 -0.176  1.077 -0.062  1.147 0.045  1.217 0.151  1.288 0.257  1.359 0.363  1.377 0.485  1.411 0.605  1.468 0.719  1.525 0.833
3#apa#apa09#app0959/X  -0.887 0.349  -1.012 0.475  -0.996 0.541  -0.839 0.493  -0.714 0.368  -0.612 0.224  -0.514 0.076  -0.416 -0.071  -0.317 -0.218  -0.194 -0.344  -0.069 -0.469  0.056 -0.594  0.181 -0.719  0.307 -0.844  0.432 -0.969  0.600 -0.991  0.644 -0.859  0.667 -0.684  0.702 -0.511  0.737 -0.337  0.772 -0.164  0.806 0.010  0.841 0.183  0.876 0.357  0.910 0.530  0.945 0.703  0.980 0.877  1.014 1.050  0.917 1.115  0.768 1.183  0.644 1.305  0.564 1.147  0.485 0.989  0.406 0.830  0.327 0.672  0.240 0.520  0.115 0.395  -0.010 0.269  -0.135 0.144  -0.260 0.019  -0.385 -0.106  -0.510 -0.231  -0.635 -0.356  -0.760 -0.481  -0.885 -0.606  -0.984 -0.753  -1.082 -0.900  -1.180 -1.047  -1.270 -1.197  -1.270 -1.374
3#apa#apa09#app0959/Y  -0.675 0.466  -0.675 0.622  -0.675 0.462  -0.675 0.302  -0.675 0.141  -0.671 -0.018  -0.599 -0.162  -0.528 -0.305  -0.517 -0.463  -0.379 -0.485  -0.218 -0.485  -0.099 -0.384  0.014 -0.271  0.125 -0.156  0.214 -0.022  0.303 0.111  0.392 0.245  0.494 0.367  0.607 0.481  0.721 0.594  0.834 0.708  0.948 0.821  1.061 0.934  1.174 1.048  1.226 1.187  1.168 1.190  1.064 1.069  0.959 0.947  0.855 0.825  0.751 0.703  0.646 0.582  0.542 0.460  0.438 0.338  0.333 0.216  0.229 0.094  0.124 -0.027  0.020 -0.149  -0.084 -0.271  -0.189 -0.393  -0.293 -0.514  -0.397 -0.636  -0.502 -0.758  -0.606 -0.880  -0.729 -0.960  -0.890 -0.960  -0.992 -1.018  -0.992 -1.179  -0.992 -1.339  -1.037 -1.481  -1.151 -1.594
3#apa#apa09#app0959/Z  -1.065 0.573  -1.180 0.688  -1.109 0.726  -0.947 0.726  -0.785 0.726  -0.622 0.726  -0.460 0.726  -0.298 0.726  -0.136 0.726  0.026 0.726  0.189 0.726  0.351 0.726  0.513 0.726  0.675 0.726  0.837 0.726  1.000 0.726  1.162 0.726  1.324 0.726  1.375 0.614  1.289 0.488  1.174 0.373  1.056 0.264  0.902 0.213  0.748 0.161  0.596 0.106  0.457 0.023  0.318 -0.061  0.179 -0.144  0.039 -0.228  -0.100 -0.311  -0.243 -0.388  -0.388 -0.460  -0.533 -0.533  -0.678 -0.605  -0.830 -0.646  -0.992 -0.646  -1.129 -0.710  -1.182 -0.799  -1.020 -0.799  -0.858 -0.799  -0.695 -0.799  -0.533 -0.799  -0.371 -0.799  -0.209 -0.799  -0.046 -0.799  0.116 -0.799  0.278 -0.799  0.440 -0.799  0.602 -0.799  0.765 -0.799
