2#app#app08#app0897/w  -1.221 0.758  -1.221 0.639  -1.221 0.519  -1.207 0.403  -1.153 0.296  -1.139 0.180  -1.108 0.073  -1.057 -0.026  -1.056 -0.145  -1.002 -0.252  -0.976 -0.365  -0.906 -0.456  -0.894 -0.571  -0.853 -0.673  -0.756 -0.741  -0.649 -0.795  -0.530 -0.795  -0.410 -0.795  -0.324 -0.716  -0.239 -0.631  -0.132 -0.578  -0.076 -0.493  -0.034 -0.383  0.038 -0.305  0.087 -0.235  0.087 -0.115  0.087 0.004  0.087 -0.079  0.087 -0.199  0.101 -0.305  0.221 -0.305  0.340 -0.305  0.460 -0.305  0.571 -0.267  0.674 -0.209  0.763 -0.130  0.870 -0.077  0.962 -0.003  1.024 0.098  1.068 0.207  1.095 0.320  1.148 0.427  1.150 0.547  1.150 0.666  1.150 0.786  1.121 0.898  1.067 1.005  0.987 1.091  0.943 1.167  0.823 1.167
2#app#app08#app0897/i  -0.200 0.179  -0.200 0.072  -0.200 -0.036  -0.200 -0.143  -0.200 -0.251  -0.200 -0.359  -0.200 -0.466  -0.200 -0.574  -0.200 -0.682  -0.184 -0.786  -0.136 -0.882  -0.084 -0.975  -0.008 -1.051  0.008 -1.152  0.008 -1.260  0.101 -1.274  0.112 -1.371  0.213 -1.378  0.206 -1.274  0.196 -1.167  0.187 -1.060  0.177 -0.953  0.167 -0.845  0.158 -0.738  0.148 -0.631  0.138 -0.524  0.128 -0.417  0.119 -0.309  0.109 -0.202  0.099 -0.095  0.089 0.012  0.080 0.119  0.070 0.226  0.060 0.334  0.050 0.441  0.041 0.548  0.031 0.655  0.021 0.762  0.011 0.869  0.002 0.977  -0.008 1.084  -0.018 1.191  -0.028 1.298  -0.037 1.405  -0.047 1.512  -0.057 1.620  -0.067 1.727  -0.076 1.834  -0.086 1.941  -0.096 2.048
2#app#app08#app0897/d  0.129 0.151  0.238 0.310  0.135 0.472  -0.041 0.417  -0.185 0.273  -0.364 0.177  -0.519 0.048  -0.612 -0.133  -0.744 -0.286  -0.874 -0.440  -0.959 -0.624  -0.959 -0.828  -0.959 -1.031  -0.815 -1.155  -0.649 -1.062  -0.473 -0.995  -0.329 -0.851  -0.188 -0.704  -0.075 -0.535  0.020 -0.360  0.029 -0.158  0.120 0.024  0.129 0.226  0.156 0.424  0.238 0.608  0.238 0.812  0.238 1.016  0.238 1.220  0.238 1.424  0.195 1.610  0.128 1.782  0.020 1.623  0.020 1.419  0.020 1.215  0.020 1.012  0.020 0.808  0.020 0.604  0.020 0.400  0.020 0.196  0.129 0.037  0.129 -0.167  0.216 -0.350  0.308 -0.532  0.399 -0.714  0.510 -0.882  0.577 -1.058  0.721 -1.203  0.865 -1.347  1.041 -1.414  1.217 -1.481
2#app#app08#app0897/f  0.716 1.214  0.713 1.350  0.649 1.462  0.583 1.533  0.517 1.604  0.388 1.613  0.258 1.583  0.184 1.491  0.131 1.387  0.030 1.303  -0.032 1.180  -0.081 1.054  -0.095 0.920  -0.148 0.795  -0.148 0.658  -0.148 0.520  -0.148 0.383  -0.148 0.245  -0.148 0.108  -0.096 -0.017  -0.081 -0.151  -0.063 -0.284  -0.015 -0.411  0.001 -0.544  0.062 -0.667  0.118 -0.792  0.156 -0.920  0.208 -1.047  0.251 -1.177  0.251 -1.315  0.244 -1.435  0.150 -1.335  0.056 -1.235  -0.038 -1.134  -0.132 -1.034  -0.226 -0.934  -0.320 -0.834  -0.414 -0.733  -0.508 -0.633  -0.602 -0.533  -0.696 -0.433  -0.680 -0.380  -0.543 -0.380  -0.427 -0.327  -0.295 -0.313  -0.158 -0.313  -0.020 -0.313  0.113 -0.281  0.246 -0.248  0.384 -0.247
2#app#app08#app0897/i  -0.129 0.504  -0.239 0.491  -0.239 0.369  -0.266 0.258  -0.348 0.170  -0.348 0.048  -0.348 -0.074  -0.348 -0.197  -0.348 -0.319  -0.348 -0.441  -0.291 -0.539  -0.239 -0.640  -0.195 -0.744  -0.129 -0.839  -0.129 -0.962  -0.129 -1.084  -0.129 -1.206  -0.050 -1.249  -0.020 -1.341  -0.020 -1.463  0.090 -1.460  0.095 -1.338  0.099 -1.215  0.103 -1.093  0.107 -0.971  0.111 -0.849  0.116 -0.727  0.120 -0.605  0.124 -0.482  0.128 -0.360  0.132 -0.238  0.137 -0.116  0.141 0.006  0.145 0.128  0.149 0.251  0.153 0.373  0.158 0.495  0.162 0.617  0.166 0.739  0.170 0.861  0.175 0.984  0.179 1.106  0.183 1.228  0.187 1.350  0.191 1.472  0.196 1.594  0.200 1.717  0.185 1.833  0.099 1.919  0.090 2.038
2#app#app08#app0897/g  0.247 1.071  0.161 1.157  0.072 1.236  -0.049 1.236  -0.088 1.152  -0.196 1.098  -0.294 1.027  -0.379 0.941  -0.415 0.835  -0.415 0.713  -0.415 0.592  -0.415 0.470  -0.415 0.349  -0.345 0.256  -0.229 0.243  -0.107 0.243  -0.073 0.337  -0.002 0.429  0.057 0.492  0.081 0.589  0.081 0.711  0.081 0.832  0.081 0.954  0.081 0.901  0.081 0.779  0.081 0.658  0.081 0.536  0.081 0.415  0.133 0.306  0.176 0.193  0.206 0.075  0.235 -0.043  0.247 -0.163  0.247 -0.284  0.247 -0.406  0.247 -0.527  0.247 -0.649  0.247 -0.770  0.247 -0.892  0.242 -1.013  0.203 -1.128  0.165 -1.243  0.111 -1.352  0.081 -1.466  0.039 -1.578  -0.002 -1.690  -0.051 -1.791  -0.137 -1.877  -0.222 -1.963  -0.333 -1.990
2#app#app08#app0897/u  -1.054 1.256  -1.054 1.119  -1.054 0.983  -1.054 0.847  -1.054 0.711  -1.054 0.574  -1.054 0.438  -1.054 0.302  -1.054 0.165  -1.054 0.029  -1.054 -0.107  -0.979 -0.212  -0.915 -0.322  -0.915 -0.458  -0.887 -0.583  -0.790 -0.679  -0.694 -0.776  -0.582 -0.833  -0.445 -0.833  -0.323 -0.798  -0.227 -0.702  -0.094 -0.694  0.006 -0.608  0.060 -0.494  0.086 -0.363  0.147 -0.242  0.213 -0.123  0.309 -0.027  0.338 0.097  0.367 0.229  0.410 0.358  0.453 0.487  0.520 0.602  0.617 0.698  0.617 0.835  0.617 0.705  0.617 0.569  0.617 0.432  0.704 0.332  0.756 0.217  0.799 0.099  0.895 0.002  0.895 -0.134  1.028 -0.137  1.034 -0.267  1.124 -0.366  1.174 -0.482  1.237 -0.555  1.356 -0.598  1.452 -0.694
2#app#app08#app0897/r  -0.364 0.536  -0.364 0.408  -0.364 0.280  -0.364 0.151  -0.364 0.023  -0.437 -0.075  -0.528 -0.166  -0.543 -0.288  -0.543 -0.417  -0.543 -0.545  -0.543 -0.673  -0.485 -0.778  -0.394 -0.868  -0.364 -0.984  -0.364 -1.113  -0.364 -1.241  -0.364 -1.369  -0.303 -1.437  -0.184 -1.427  -0.184 -1.299  -0.184 -1.170  -0.184 -1.042  -0.184 -0.914  -0.184 -0.785  -0.184 -0.657  -0.184 -0.528  -0.184 -0.400  -0.184 -0.272  -0.184 -0.143  -0.184 -0.015  -0.103 0.080  -0.012 0.171  -0.005 0.296  -0.005 0.425  0.012 0.536  0.140 0.536  0.175 0.630  0.205 0.746  0.296 0.837  0.354 0.941  0.354 1.070  0.477 1.074  0.585 1.126  0.675 1.217  0.788 1.254  0.917 1.254  1.045 1.254  1.173 1.254  1.302 1.254  1.430 1.254
2#app#app08#app0897/e  -0.656 0.826  -0.785 0.698  -0.935 0.659  -0.935 0.477  -0.935 0.295  -0.917 0.130  -0.753 0.087  -0.611 -0.009  -0.428 -0.009  -0.246 -0.009  -0.064 -0.009  0.095 0.046  0.242 0.130  0.424 0.130  0.563 0.235  0.597 0.403  0.736 0.446  0.736 0.628  0.736 0.810  0.717 0.985  0.585 1.105  0.409 1.080  0.246 0.999  0.072 0.966  -0.095 0.898  -0.238 0.805  -0.296 0.658  -0.459 0.577  -0.569 0.443  -0.651 0.280  -0.776 0.149  -0.795 -0.025  -0.795 -0.207  -0.795 -0.389  -0.792 -0.570  -0.663 -0.699  -0.534 -0.828  -0.405 -0.956  -0.235 -0.984  -0.052 -0.984  0.130 -0.984  0.312 -0.984  0.494 -0.984  0.676 -0.984  0.858 -0.984  1.033 -0.966  1.165 -0.845  1.347 -0.845  1.529 -0.845  1.711 -0.845
2#app#app08#app0897/l  0.110 1.245  0.056 1.298  0.003 1.351  -0.050 1.405  -0.109 1.443  -0.184 1.443  -0.188 1.372  -0.188 1.297  -0.188 1.222  -0.188 1.147  -0.188 1.072  -0.188 0.997  -0.188 0.922  -0.187 0.847  -0.153 0.780  -0.119 0.713  -0.089 0.645  -0.089 0.570  -0.089 0.495  -0.089 0.420  -0.089 0.345  -0.089 0.270  -0.089 0.195  -0.072 0.124  -0.039 0.057  -0.005 -0.010  0.010 -0.082  0.010 -0.157  0.010 -0.232  0.010 -0.307  0.010 -0.382  0.010 -0.457  0.010 -0.532  0.060 -0.587  0.110 -0.641  0.110 -0.716  0.110 -0.791  0.110 -0.866  0.110 -0.941  0.110 -1.016  0.110 -1.091  0.134 -1.156  0.187 -1.209  0.209 -1.275  0.209 -1.351  0.209 -1.426  0.209 -1.501  0.209 -1.576  0.209 -1.651  0.209 -1.726
2#app#app08#app0897/e  -0.783 0.414  -0.954 0.414  -1.047 0.336  -0.930 0.282  -0.891 0.150  -0.739 0.106  -0.609 -0.003  -0.456 -0.080  -0.293 -0.114  -0.121 -0.114  0.050 -0.114  0.221 -0.114  0.358 -0.031  0.509 0.018  0.548 0.150  0.705 0.184  0.803 0.314  0.874 0.414  0.935 0.524  0.935 0.695  0.910 0.861  0.834 1.014  0.731 1.148  0.584 1.208  0.413 1.208  0.242 1.208  0.092 1.157  -0.029 1.036  -0.150 0.915  -0.254 0.787  -0.289 0.626  -0.384 0.484  -0.479 0.341  -0.519 0.182  -0.519 0.011  -0.519 -0.160  -0.519 -0.332  -0.519 -0.503  -0.505 -0.671  -0.428 -0.824  -0.387 -0.985  -0.304 -1.122  -0.183 -1.243  -0.037 -1.304  0.134 -1.304  0.258 -1.419  0.422 -1.436  0.593 -1.436  0.764 -1.436  0.935 -1.436
2#app#app08#app0897/a  0.787 1.079  0.606 1.094  0.473 1.226  0.294 1.246  0.107 1.246  -0.071 1.222  -0.203 1.090  -0.336 0.957  -0.468 0.825  -0.623 0.745  -0.757 0.660  -0.841 0.492  -0.881 0.314  -0.965 0.161  -1.048 0.008  -1.048 -0.179  -1.048 -0.366  -1.048 -0.554  -1.048 -0.741  -0.926 -0.878  -0.881 -1.047  -0.737 -1.090  -0.550 -1.090  -0.368 -1.077  -0.235 -0.944  -0.057 -0.923  0.079 -0.797  0.211 -0.665  0.287 -0.509  0.358 -0.351  0.491 -0.218  0.620 -0.085  0.620 0.103  0.620 0.290  0.620 0.478  0.620 0.665  0.620 0.852  0.530 0.822  0.453 0.666  0.453 0.479  0.453 0.292  0.453 0.104  0.453 -0.083  0.453 -0.271  0.453 -0.458  0.453 -0.646  0.508 -0.811  0.620 -0.951  0.655 -1.124  0.787 -1.257
2#app#app08#app0897/n  -0.978 1.510  -0.959 1.342  -0.835 1.219  -0.825 1.046  -0.783 0.876  -0.740 0.706  -0.698 0.536  -0.682 0.363  -0.621 0.202  -0.543 0.046  -0.534 -0.127  -0.510 -0.293  -0.386 -0.416  -0.385 -0.591  -0.385 -0.766  -0.329 -0.918  -0.237 -1.055  -0.237 -1.231  -0.237 -1.406  -0.237 -1.327  -0.089 -1.300  -0.089 -1.125  -0.089 -0.950  -0.089 -0.775  -0.089 -0.600  -0.089 -0.425  -0.089 -0.250  -0.089 -0.074  -0.089 0.101  -0.089 0.276  -0.089 0.451  -0.089 0.626  -0.089 0.801  -0.029 0.917  0.059 1.003  0.140 0.985  0.207 0.838  0.282 0.694  0.356 0.549  0.454 0.472  0.593 0.383  0.716 0.260  0.840 0.136  0.964 0.012  1.088 -0.112  1.107 -0.279  1.231 -0.403  1.355 -0.527  1.393 -0.686  1.541 -0.713
2#app#app08#app0897/e  -0.517 0.686  -0.517 0.523  -0.657 0.501  -0.702 0.382  -0.702 0.220  -0.649 0.079  -0.534 -0.036  -0.379 -0.054  -0.216 -0.054  -0.053 -0.054  0.109 -0.054  0.258 -0.019  0.373 0.096  0.521 0.131  0.592 0.222  0.641 0.365  0.756 0.480  0.777 0.634  0.777 0.796  0.777 0.959  0.730 1.102  0.615 1.217  0.462 1.240  0.299 1.240  0.223 1.154  0.159 1.055  0.008 1.026  -0.107 0.911  -0.222 0.796  -0.332 0.678  -0.332 0.516  -0.398 0.369  -0.471 0.223  -0.517 0.071  -0.517 -0.091  -0.512 -0.253  -0.460 -0.408  -0.409 -0.562  -0.357 -0.716  -0.332 -0.875  -0.290 -1.020  -0.175 -1.135  -0.147 -1.286  -0.046 -1.348  0.094 -1.404  0.209 -1.519  0.324 -1.634  0.452 -1.717  0.614 -1.717  0.777 -1.717
2#app#app08#app0897/d  0.760 0.332  0.552 0.332  0.344 0.332  0.167 0.259  -0.028 0.228  -0.191 0.117  -0.377 0.024  -0.526 -0.121  -0.673 -0.268  -0.775 -0.447  -0.906 -0.606  -1.009 -0.771  -1.009 -0.979  -1.009 -1.186  -0.905 -1.290  -0.741 -1.333  -0.533 -1.333  -0.368 -1.229  -0.173 -1.175  -0.073 -1.029  -0.005 -0.849  0.140 -0.701  0.232 -0.515  0.279 -0.318  0.344 -0.126  0.344 0.082  0.344 0.290  0.344 0.498  0.344 0.706  0.344 0.914  0.344 1.122  0.344 1.329  0.344 1.537  0.301 1.728  0.136 1.773  0.098 1.571  0.032 1.374  0.031 1.166  0.031 0.958  0.031 0.750  0.031 0.542  0.123 0.356  0.136 0.151  0.136 -0.057  0.216 -0.245  0.309 -0.431  0.436 -0.593  0.448 -0.796  0.583 -0.948  0.656 -1.125
2#app#app08#app0897/o  0.111 0.623  -0.043 0.623  -0.187 0.598  -0.296 0.489  -0.309 0.340  -0.418 0.231  -0.527 0.122  -0.572 -0.014  -0.649 -0.137  -0.709 -0.266  -0.709 -0.421  -0.709 -0.575  -0.709 -0.729  -0.609 -0.842  -0.526 -0.971  -0.457 -1.109  -0.330 -1.152  -0.212 -1.240  -0.078 -1.289  0.077 -1.289  0.231 -1.289  0.384 -1.288  0.398 -1.139  0.507 -1.030  0.616 -0.921  0.657 -0.784  0.693 -0.635  0.742 -0.489  0.791 -0.342  0.794 -0.188  0.794 -0.034  0.794 0.120  0.794 0.275  0.794 0.429  0.794 0.583  0.794 0.738  0.701 0.853  0.591 0.963  0.466 1.033  0.312 1.033  0.158 1.033  0.003 1.033  -0.151 1.033  -0.305 1.033  -0.453 1.016  -0.562 0.907  -0.711 0.894  -0.820 0.785  -0.964 0.760  -0.982 0.623
2#app#app08#app0897/u  -1.016 0.870  -1.016 0.758  -1.110 0.741  -1.199 0.687  -1.274 0.606  -1.274 0.495  -1.274 0.383  -1.274 0.271  -1.274 0.160  -1.274 0.048  -1.252 -0.054  -1.173 -0.133  -1.094 -0.212  -1.015 -0.291  -0.904 -0.291  -0.792 -0.291  -0.681 -0.291  -0.569 -0.291  -0.458 -0.291  -0.346 -0.291  -0.235 -0.291  -0.123 -0.291  -0.041 -0.219  0.046 -0.162  0.154 -0.152  0.233 -0.073  0.312 0.005  0.391 0.084  0.470 0.163  0.548 0.242  0.627 0.321  0.706 0.400  0.785 0.479  0.789 0.588  0.789 0.524  0.789 0.413  0.789 0.301  0.789 0.189  0.789 0.078  0.790 -0.033  0.869 -0.112  0.918 -0.203  0.918 -0.315  0.923 -0.424  1.002 -0.503  1.081 -0.582  1.160 -0.661  1.239 -0.740  1.323 -0.806  1.434 -0.806
2#app#app08#app0897/t  0.261 1.991  0.120 1.945  0.079 1.768  -0.004 1.602  -0.020 1.419  -0.046 1.238  -0.129 1.072  -0.161 0.892  -0.161 0.706  -0.161 0.519  -0.161 0.333  -0.147 0.152  -0.020 0.018  -0.020 -0.168  -0.020 -0.355  0.082 -0.499  0.120 -0.670  0.120 -0.856  0.180 -1.018  0.261 -1.171  0.261 -1.358  0.120 -1.355  0.120 -1.169  0.120 -0.982  0.120 -0.796  0.072 -0.629  -0.076 -0.537  -0.233 -0.465  -0.391 -0.396  -0.578 -0.396  -0.745 -0.315  -0.912 -0.231  -1.079 -0.148  -1.257 -0.115  -1.126 -0.098  -0.940 -0.077  -0.755 -0.057  -0.570 -0.036  -0.384 -0.015  -0.199 0.005  -0.014 0.025  0.173 0.025  0.360 0.025  0.546 0.025  0.733 0.025  0.919 0.025  1.106 0.025  1.292 0.025  1.479 0.025  1.665 0.025
2#app#app08#app0897/,  -0.048 1.422  0.032 1.422  0.112 1.422  0.176 1.406  0.176 1.326  0.176 1.246  0.176 1.166  0.176 1.086  0.176 1.006  0.224 0.974  0.304 0.974  0.384 0.974  0.400 0.911  0.400 0.831  0.400 0.751  0.400 0.671  0.400 0.591  0.400 0.511  0.400 0.431  0.400 0.351  0.400 0.271  0.400 0.191  0.400 0.111  0.368 0.045  0.311 -0.011  0.255 -0.068  0.198 -0.124  0.176 -0.195  0.176 -0.275  0.176 -0.355  0.130 -0.416  0.074 -0.473  0.017 -0.529  -0.039 -0.586  -0.096 -0.642  -0.152 -0.699  -0.209 -0.755  -0.265 -0.812  -0.322 -0.868  -0.378 -0.925  -0.435 -0.981  -0.491 -1.038  -0.548 -1.094  -0.604 -1.151  -0.661 -1.207  -0.717 -1.264  -0.774 -1.320  -0.831 -1.377  -0.887 -1.434  -0.944 -1.490
