1c#apa#apa03#app0358/g  0.149 0.823  0.262 0.886  0.262 1.062  0.186 1.162  0.017 1.144  -0.120 1.049  -0.191 0.944  -0.343 0.897  -0.468 0.773  -0.530 0.622  -0.643 0.559  -0.643 0.383  -0.757 0.254  -0.690 0.144  -0.514 0.144  -0.337 0.144  -0.161 0.144  0.015 0.144  0.146 0.254  0.274 0.370  0.375 0.445  0.488 0.509  0.576 0.597  0.639 0.710  0.714 0.811  0.714 0.885  0.601 0.822  0.601 0.646  0.587 0.484  0.488 0.407  0.488 0.230  0.488 0.054  0.488 -0.122  0.488 -0.298  0.375 -0.428  0.375 -0.604  0.375 -0.780  0.375 -0.956  0.343 -1.101  0.262 -1.196  0.149 -1.259  0.041 -1.327  -0.136 -1.327  -0.312 -1.327  -0.488 -1.327  -0.664 -1.327  -0.841 -1.327  -1.017 -1.327  -1.165 -1.258  -1.322 -1.214
2#lav#lav2#mp_0005/g  0.691 0.679  0.742 0.845  0.734 1.019  0.682 1.185  0.603 1.336  0.448 1.382  0.277 1.391  0.133 1.297  0.016 1.168  -0.104 1.042  -0.225 0.917  -0.319 0.770  -0.377 0.610  -0.394 0.437  -0.296 0.295  -0.134 0.263  0.040 0.270  0.210 0.303  0.366 0.378  0.478 0.505  0.556 0.661  0.581 0.778  0.542 0.608  0.495 0.440  0.453 0.271  0.416 0.101  0.380 -0.069  0.330 -0.236  0.278 -0.402  0.217 -0.566  0.156 -0.729  0.087 -0.888  0.004 -1.042  -0.078 -1.195  -0.198 -1.320  -0.323 -1.441  -0.432 -1.577  -0.583 -1.659  -0.694 -1.549  -0.738 -1.381  -0.724 -1.207  -0.699 -1.035  -0.663 -0.864  -0.628 -0.694  -0.585 -0.525  -0.542 -0.356  -0.482 -0.194  -0.402 -0.040  -0.235 0.003  -0.061 0.012
2#apb#apb41#app4190/g  -0.105 0.779  -0.167 0.904  -0.230 1.029  -0.334 1.099  -0.469 1.082  -0.602 1.037  -0.735 0.993  -0.850 0.919  -0.955 0.826  -1.021 0.705  -1.072 0.575  -1.102 0.438  -1.071 0.311  -0.999 0.191  -0.879 0.132  -0.745 0.091  -0.608 0.065  -0.469 0.048  -0.330 0.036  -0.193 0.068  -0.058 0.101  0.059 0.178  0.167 0.266  0.258 0.372  0.207 0.492  0.132 0.610  0.027 0.691  0.094 0.572  0.174 0.457  0.258 0.345  0.349 0.239  0.455 0.148  0.563 0.058  0.664 -0.038  0.758 -0.142  0.842 -0.251  0.860 -0.389  0.879 -0.528  0.883 -0.668  0.883 -0.808  0.877 -0.947  0.825 -1.077  0.762 -1.201  0.685 -1.318  0.565 -1.376  0.430 -1.412  0.293 -1.436  0.153 -1.429  0.013 -1.422  -0.127 -1.416
2#app#app08#app0867/g  0.329 1.057  0.274 1.149  0.126 1.149  -0.021 1.149  -0.157 1.123  -0.262 1.019  -0.366 0.914  -0.470 0.810  -0.574 0.706  -0.613 0.575  -0.683 0.457  -0.683 0.309  -0.683 0.162  -0.662 0.024  -0.544 -0.047  -0.397 -0.047  -0.249 -0.047  -0.137 0.039  -0.033 0.143  0.064 0.252  0.130 0.383  0.226 0.494  0.237 0.636  0.304 0.756  0.329 0.893  0.329 1.040  0.237 1.018  0.237 0.871  0.237 0.724  0.237 0.576  0.237 0.429  0.237 0.282  0.237 0.135  0.237 -0.013  0.237 -0.160  0.237 -0.307  0.237 -0.455  0.237 -0.602  0.237 -0.749  0.237 -0.897  0.237 -1.044  0.237 -1.191  0.235 -1.338  0.145 -1.448  0.145 -1.595  0.145 -1.742  0.053 -1.798  0.012 -1.928  -0.114 -1.979  -0.223 -1.887
1c#apa#apa03#app0336/g  0.039 1.146  -0.065 1.282  -0.171 1.354  -0.350 1.354  -0.515 1.321  -0.664 1.250  -0.712 1.103  -0.792 0.943  -0.794 0.765  -0.767 0.597  -0.619 0.521  -0.441 0.521  -0.273 0.532  -0.212 0.686  -0.156 0.833  -0.065 0.921  -0.065 1.100  0.039 1.118  0.039 0.939  0.039 0.760  0.039 0.581  0.039 0.402  0.039 0.224  0.058 0.048  0.115 -0.122  0.144 -0.296  0.216 -0.458  0.251 -0.626  0.387 -0.695  0.456 -0.858  0.526 -1.008  0.561 -1.172  0.490 -1.322  0.363 -1.448  0.189 -1.459  0.019 -1.439  -0.125 -1.355  -0.264 -1.260  -0.377 -1.128  -0.377 -0.949  -0.258 -0.819  -0.169 -0.678  -0.045 -0.616  0.115 -0.536  0.289 -0.508  0.458 -0.451  0.611 -0.367  0.767 -0.313  0.903 -0.209  1.082 -0.209
2#app#app07#app0757/g  0.034 1.250  -0.103 1.228  -0.206 1.124  -0.309 1.021  -0.412 0.918  -0.435 0.781  -0.539 0.678  -0.652 0.645  -0.652 0.499  -0.555 0.450  -0.528 0.326  -0.424 0.222  -0.279 0.221  -0.133 0.221  -0.080 0.315  0.008 0.424  0.144 0.450  0.168 0.583  0.263 0.690  0.263 0.836  0.316 0.960  0.377 1.081  0.377 1.044  0.464 0.934  0.491 0.800  0.491 0.654  0.491 0.508  0.519 0.366  0.566 0.227  0.606 0.088  0.606 -0.058  0.606 -0.204  0.606 -0.350  0.606 -0.496  0.561 -0.624  0.491 -0.741  0.491 -0.887  0.413 -1.001  0.309 -1.104  0.191 -1.187  0.060 -1.252  -0.048 -1.348  -0.181 -1.379  -0.327 -1.379  -0.473 -1.379  -0.619 -1.379  -0.732 -1.299  -0.864 -1.265  -0.972 -1.173  -0.995 -1.036
3#kai#kai1#jhkim5/g  -0.491 0.113  -0.319 0.199  -0.153 0.297  0.006 0.405  0.147 0.533  0.266 0.683  0.391 0.829  0.475 1.000  0.570 1.166  0.586 1.354  0.510 1.471  0.334 1.423  0.178 1.309  0.050 1.177  -0.025 1.000  -0.099 0.823  -0.117 0.633  -0.162 0.446  -0.164 0.254  -0.132 0.066  -0.117 -0.124  -0.117 -0.317  -0.117 -0.509  -0.117 -0.702  -0.117 -0.895  -0.158 -1.082  -0.180 -1.269  -0.257 -1.439  -0.284 -1.625  -0.386 -1.737  -0.512 -1.604  -0.573 -1.421  -0.634 -1.239  -0.679 -1.053  -0.679 -0.860  -0.679 -0.668  -0.679 -0.475  -0.679 -0.282  -0.567 -0.159  -0.383 -0.121  -0.208 -0.049  -0.024 0.008  0.159 0.065  0.338 0.136  0.513 0.217  0.691 0.289  0.871 0.358  1.054 0.418  1.239 0.471  1.429 0.488
3#kai#kai1#jhkim5/g  -0.207 0.517  -0.074 0.583  0.059 0.650  0.186 0.727  0.291 0.828  0.382 0.943  0.505 1.026  0.510 1.172  0.510 1.320  0.510 1.469  0.389 1.530  0.242 1.541  0.126 1.464  0.049 1.347  0.041 1.199  0.005 1.055  -0.031 0.911  -0.053 0.765  -0.053 0.616  -0.053 0.468  -0.053 0.319  -0.053 0.171  0.023 0.045  0.049 -0.095  0.068 -0.242  0.097 -0.388  0.101 -0.536  0.131 -0.681  0.152 -0.827  0.152 -0.976  0.151 -1.124  0.104 -1.265  0.024 -1.390  -0.002 -1.531  -0.094 -1.613  -0.225 -1.587  -0.324 -1.486  -0.371 -1.345  -0.418 -1.204  -0.463 -1.063  -0.463 -0.914  -0.463 -0.765  -0.444 -0.619  -0.415 -0.473  -0.353 -0.339  -0.281 -0.209  -0.193 -0.092  -0.055 -0.037  0.079 0.025  0.203 0.107
3#kai#kai1#jhkim5/g  0.168 0.916  0.268 1.066  0.369 1.217  0.354 1.387  0.202 1.471  0.045 1.394  -0.060 1.248  -0.188 1.120  -0.288 0.970  -0.382 0.815  -0.462 0.655  -0.414 0.559  -0.239 0.593  -0.083 0.681  0.033 0.816  0.167 0.932  0.285 1.065  0.270 1.017  0.182 0.860  0.117 0.699  0.076 0.528  0.001 0.364  -0.036 0.189  -0.042 0.009  -0.067 -0.170  -0.087 -0.349  -0.087 -0.530  -0.087 -0.711  -0.087 -0.891  -0.087 -1.072  -0.045 -1.246  -0.036 -1.425  -0.036 -1.606  -0.085 -1.778  -0.231 -1.688  -0.342 -1.546  -0.416 -1.385  -0.443 -1.208  -0.443 -1.027  -0.443 -0.847  -0.416 -0.674  -0.305 -0.534  -0.160 -0.426  -0.007 -0.331  0.153 -0.256  0.333 -0.252  0.505 -0.199  0.682 -0.163  0.862 -0.154  1.034 -0.103
2#apb#apb33#app3354/g  0.831 0.782  0.672 0.873  0.462 0.900  0.250 0.855  0.056 0.852  -0.150 0.774  -0.304 0.627  -0.396 0.430  -0.405 0.219  -0.308 0.056  -0.089 0.059  0.116 0.126  0.325 0.196  0.531 0.277  0.715 0.395  0.864 0.542  0.831 0.676  0.718 0.582  0.572 0.420  0.439 0.244  0.290 0.082  0.191 -0.114  0.043 -0.268  -0.067 -0.460  -0.202 -0.631  -0.353 -0.791  -0.509 -0.947  -0.649 -1.117  -0.825 -1.247  -0.996 -1.384  -1.178 -1.459  -1.285 -1.377  -1.319 -1.170  -1.275 -0.957  -1.177 -0.761  -1.034 -0.592  -0.887 -0.428  -0.720 -0.286  -0.531 -0.171  -0.333 -0.077  -0.140 0.024  0.071 0.054  0.261 0.159  0.456 0.246  0.659 0.296  0.821 0.434  1.005 0.550  1.183 0.664  1.314 0.840  1.457 1.002
2#apb#apb14#app1430/g  0.193 1.400  0.054 1.496  -0.094 1.554  -0.250 1.514  -0.388 1.418  -0.505 1.299  -0.607 1.165  -0.706 1.029  -0.790 0.883  -0.863 0.732  -0.887 0.573  -0.783 0.463  -0.618 0.433  -0.450 0.421  -0.282 0.433  -0.114 0.444  0.054 0.456  0.223 0.458  0.375 0.415  0.500 0.302  0.567 0.151  0.623 -0.008  0.624 -0.174  0.609 -0.342  0.585 -0.507  0.503 -0.654  0.421 -0.802  0.306 -0.923  0.183 -1.038  0.052 -1.143  -0.088 -1.237  -0.238 -1.308  -0.403 -1.346  -0.563 -1.304  -0.690 -1.213  -0.673 -1.045  -0.576 -0.908  -0.478 -0.771  -0.343 -0.670  -0.208 -0.569  -0.074 -0.467  0.059 -0.364  0.192 -0.260  0.325 -0.156  0.475 -0.081  0.629 -0.012  0.786 0.047  0.950 0.086  1.112 0.092  1.270 0.035
2#apb#apb14#app1430/g  0.267 1.530  0.173 1.642  0.030 1.634  -0.106 1.561  -0.226 1.460  -0.345 1.359  -0.443 1.237  -0.537 1.112  -0.635 0.990  -0.709 0.855  -0.667 0.734  -0.510 0.734  -0.354 0.734  -0.200 0.715  -0.048 0.674  0.072 0.579  0.182 0.468  0.264 0.337  0.331 0.195  0.399 0.054  0.435 -0.095  0.445 -0.252  0.454 -0.408  0.430 -0.563  0.406 -0.718  0.375 -0.870  0.293 -1.004  0.211 -1.137  0.074 -1.201  -0.075 -1.251  -0.230 -1.269  -0.385 -1.262  -0.536 -1.224  -0.655 -1.122  -0.721 -0.987  -0.712 -0.837  -0.664 -0.689  -0.541 -0.592  -0.417 -0.495  -0.288 -0.409  -0.148 -0.338  -0.007 -0.268  0.141 -0.219  0.292 -0.179  0.445 -0.145  0.600 -0.121  0.747 -0.140  0.885 -0.215  1.029 -0.273  1.179 -0.318
1c#tos#f1#f1051061/g  0.289 0.494  0.130 0.526  0.097 0.712  0.049 0.896  0.010 1.081  -0.077 1.241  -0.228 1.337  -0.387 1.369  -0.579 1.369  -0.728 1.267  -0.820 1.101  -0.904 0.944  -0.944 0.769  -0.878 0.613  -0.696 0.574  -0.505 0.574  -0.313 0.574  -0.125 0.586  0.051 0.653  0.130 0.541  0.209 0.399  0.215 0.210  0.284 0.037  0.329 -0.147  0.329 -0.339  0.329 -0.530  0.329 -0.721  0.329 -0.913  0.329 -1.104  0.329 -1.295  0.249 -1.454  0.218 -1.614  0.027 -1.614  -0.148 -1.575  -0.213 -1.423  -0.318 -1.306  -0.348 -1.136  -0.348 -0.945  -0.275 -0.770  -0.228 -0.592  -0.169 -0.460  -0.004 -0.396  0.148 -0.301  0.274 -0.215  0.326 -0.031  0.492 0.059  0.664 0.145  0.843 0.209  1.026 0.264  1.204 0.335
1c#mot#mot1#bb2/g  0.181 0.856  0.284 0.996  0.351 1.162  0.292 1.311  0.128 1.258  -0.025 1.165  -0.158 1.044  -0.281 0.913  -0.369 0.760  -0.290 0.630  -0.117 0.633  0.046 0.705  0.198 0.801  0.322 0.925  0.280 0.820  0.237 0.646  0.187 0.473  0.149 0.298  0.119 0.121  0.094 -0.057  0.080 -0.236  0.065 -0.415  0.044 -0.593  0.023 -0.771  -0.005 -0.949  -0.036 -1.126  -0.073 -1.301  -0.116 -1.475  -0.189 -1.638  -0.321 -1.744  -0.486 -1.708  -0.612 -1.584  -0.659 -1.414  -0.672 -1.237  -0.647 -1.059  -0.602 -0.887  -0.528 -0.724  -0.449 -0.563  -0.345 -0.417  -0.240 -0.270  -0.132 -0.127  -0.022 0.015  0.091 0.154  0.214 0.285  0.337 0.415  0.468 0.539  0.599 0.661  0.737 0.776  0.857 0.908  0.993 1.022
1c#mot#mot1#bb2/g  0.058 0.717  0.152 0.867  0.269 0.999  0.348 1.155  0.303 1.296  0.135 1.278  -0.026 1.206  -0.170 1.103  -0.299 0.984  -0.410 0.845  -0.435 0.696  -0.274 0.652  -0.101 0.683  0.066 0.743  0.224 0.823  0.378 0.910  0.528 1.005  0.556 1.063  0.477 0.907  0.422 0.738  0.369 0.569  0.329 0.397  0.297 0.223  0.266 0.048  0.237 -0.127  0.208 -0.302  0.185 -0.477  0.163 -0.653  0.131 -0.827  0.082 -0.998  0.034 -1.168  -0.011 -1.340  -0.061 -1.509  -0.146 -1.665  -0.277 -1.776  -0.438 -1.727  -0.522 -1.576  -0.567 -1.404  -0.588 -1.231  -0.578 -1.054  -0.537 -0.883  -0.474 -0.718  -0.403 -0.556  -0.314 -0.402  -0.224 -0.250  -0.113 -0.112  -0.002 0.027  0.119 0.156  0.251 0.274  0.384 0.391
1c#mot#mot1#bb2/g  0.337 0.852  0.434 0.965  0.506 1.094  0.481 1.224  0.337 1.237  0.195 1.194  0.064 1.123  -0.064 1.045  -0.186 0.960  -0.292 0.854  -0.350 0.719  -0.293 0.601  -0.144 0.586  -0.005 0.640  0.131 0.702  0.263 0.773  0.383 0.862  0.492 0.963  0.567 1.082  0.474 0.965  0.420 0.827  0.378 0.683  0.344 0.538  0.312 0.392  0.285 0.244  0.258 0.097  0.233 -0.050  0.209 -0.198  0.183 -0.345  0.153 -0.492  0.122 -0.638  0.088 -0.784  0.047 -0.927  0.005 -1.071  -0.051 -1.210  -0.108 -1.348  -0.194 -1.470  -0.299 -1.573  -0.433 -1.611  -0.565 -1.559  -0.630 -1.429  -0.640 -1.280  -0.626 -1.132  -0.603 -0.984  -0.555 -0.844  -0.490 -0.709  -0.425 -0.574  -0.337 -0.453  -0.249 -0.332  -0.162 -0.211
1c#mot#mot1#bb2/g  0.309 0.814  0.442 0.895  0.554 0.994  0.615 1.138  0.580 1.267  0.438 1.265  0.295 1.205  0.164 1.121  0.055 1.013  -0.026 0.880  -0.022 0.737  0.111 0.694  0.245 0.773  0.378 0.853  0.501 0.949  0.579 1.083  0.547 0.938  0.506 0.787  0.464 0.637  0.424 0.486  0.384 0.335  0.345 0.184  0.306 0.033  0.268 -0.118  0.230 -0.270  0.188 -0.420  0.144 -0.570  0.100 -0.719  0.052 -0.868  0.004 -1.016  -0.072 -1.153  -0.148 -1.289  -0.247 -1.409  -0.369 -1.503  -0.515 -1.540  -0.665 -1.507  -0.770 -1.406  -0.813 -1.259  -0.823 -1.103  -0.787 -0.952  -0.746 -0.802  -0.686 -0.658  -0.619 -0.517  -0.551 -0.377  -0.463 -0.248  -0.376 -0.119  -0.287 0.009  -0.184 0.127  -0.081 0.244  0.022 0.362
1c#mot#mot1#bb2/g  0.057 1.029  0.234 1.057  0.383 1.154  0.481 1.287  0.315 1.267  0.151 1.192  -0.007 1.103  -0.145 0.991  -0.265 0.855  -0.358 0.709  -0.264 0.601  -0.088 0.629  0.080 0.695  0.238 0.781  0.388 0.882  0.498 0.959  0.446 0.786  0.396 0.612  0.348 0.438  0.300 0.263  0.252 0.089  0.203 -0.085  0.158 -0.260  0.115 -0.436  0.073 -0.611  0.020 -0.784  -0.033 -0.957  -0.092 -1.128  -0.154 -1.298  -0.238 -1.457  -0.336 -1.608  -0.484 -1.712  -0.656 -1.704  -0.754 -1.570  -0.748 -1.391  -0.711 -1.214  -0.647 -1.046  -0.574 -0.881  -0.488 -0.723  -0.383 -0.576  -0.277 -0.430  -0.169 -0.284  -0.061 -0.140  0.048 0.005  0.156 0.149  0.274 0.286  0.393 0.422  0.514 0.557  0.642 0.684  0.770 0.812
1c#mot#mot1#bb2/g  0.260 0.727  0.347 0.827  0.434 0.926  0.478 1.048  0.478 1.176  0.389 1.265  0.260 1.278  0.129 1.258  0.019 1.186  -0.086 1.107  -0.187 1.023  -0.255 0.910  -0.277 0.787  -0.218 0.688  -0.092 0.661  0.036 0.678  0.157 0.729  0.271 0.796  0.372 0.879  0.396 0.918  0.323 0.809  0.279 0.685  0.243 0.559  0.219 0.429  0.195 0.299  0.180 0.169  0.165 0.038  0.150 -0.093  0.134 -0.224  0.116 -0.354  0.098 -0.485  0.081 -0.616  0.067 -0.747  0.052 -0.878  0.028 -1.007  0.000 -1.136  -0.040 -1.260  -0.104 -1.375  -0.182 -1.479  -0.277 -1.569  -0.404 -1.585  -0.506 -1.507  -0.560 -1.387  -0.555 -1.256  -0.544 -1.125  -0.511 -0.998  -0.478 -0.870  -0.423 -0.751  -0.360 -0.635  -0.297 -0.520
