3#apa#apa01#app0145/Q  0.150 0.350  0.246 0.499  0.299 0.691  0.159 0.796  0.150 1.033  -0.034 1.094  -0.279 1.094  -0.524 1.094  -0.613 0.926  -0.786 0.753  -0.891 0.551  -1.028 0.362  -1.040 0.122  -1.040 -0.123  -1.040 -0.368  -1.040 -0.613  -0.891 -0.709  -0.891 -0.954  -0.699 -1.033  -0.497 -1.138  -0.401 -1.286  -0.156 -1.286  0.089 -1.286  0.280 -1.156  0.497 -1.088  0.671 -0.915  0.745 -0.700  0.745 -0.455  0.745 -0.210  0.745 0.035  0.689 0.257  0.596 0.464  0.448 0.647  0.351 0.796  0.268 0.976  0.072 1.094  -0.025 1.243  -0.126 1.122  -0.082 0.881  -0.038 0.640  0.006 0.399  0.050 0.157  0.094 -0.084  0.137 -0.325  0.299 -0.420  0.421 -0.543  0.518 -0.691  0.714 -0.809  0.894 -0.893  1.043 -0.989
3#apa#apa01#app0145/O  -0.317 1.071  -0.461 1.071  -0.487 0.953  -0.579 0.901  -0.658 0.835  -0.686 0.702  -0.788 0.600  -0.829 0.472  -0.890 0.389  -0.999 0.354  -0.999 0.209  -0.999 0.065  -0.999 -0.080  -0.999 -0.224  -0.999 -0.369  -0.951 -0.465  -0.813 -0.481  -0.710 -0.583  -0.588 -0.635  -0.487 -0.679  -0.469 -0.806  -0.325 -0.806  -0.180 -0.806  -0.146 -0.916  -0.062 -0.977  0.082 -0.977  0.195 -0.945  0.201 -0.806  0.345 -0.806  0.490 -0.806  0.606 -0.737  0.708 -0.635  0.852 -0.635  0.878 -0.516  0.944 -0.399  1.046 -0.297  1.049 -0.154  1.049 -0.009  1.049 0.135  1.049 0.280  1.024 0.414  0.921 0.516  0.878 0.643  0.821 0.730  0.686 0.752  0.583 0.854  0.458 0.901  0.314 0.901  0.169 0.901  0.025 0.901
3#apa#apa01#app0145/T  -0.142 0.494  -0.139 0.313  -0.010 0.184  0.035 0.020  0.159 -0.039  0.213 -0.167  0.307 -0.311  0.390 -0.458  0.439 -0.620  0.568 -0.750  0.568 -0.932  0.568 -1.115  0.583 -1.281  0.745 -1.302  0.728 -1.440  0.604 -1.306  0.481 -1.172  0.357 -1.038  0.233 -0.904  0.109 -0.770  -0.014 -0.636  -0.138 -0.502  -0.262 -0.368  -0.386 -0.234  -0.509 -0.100  -0.633 0.034  -0.757 0.168  -0.880 0.302  -1.004 0.436  -1.128 0.570  -1.252 0.704  -1.375 0.838  -1.385 0.681  -1.212 0.671  -1.030 0.671  -0.847 0.671  -0.665 0.671  -0.483 0.671  -0.300 0.671  -0.118 0.671  0.065 0.671  0.247 0.671  0.430 0.671  0.568 0.627  0.617 0.494  0.799 0.494  0.982 0.494  1.145 0.539  1.274 0.668  1.455 0.671
3#apa#apa01#app0145/H  -1.155 1.089  -0.976 1.037  -0.976 0.805  -0.976 0.574  -0.976 0.343  -0.976 0.112  -0.976 -0.119  -0.976 -0.351  -0.934 -0.564  -0.798 -0.739  -0.754 -0.799  -0.645 -0.596  -0.535 -0.392  -0.426 -0.188  -0.316 0.015  -0.206 0.219  -0.097 0.422  0.013 0.626  0.123 0.830  0.232 1.033  0.342 1.237  0.451 1.440  0.455 1.223  0.552 1.089  0.634 0.939  0.634 0.708  0.709 0.552  0.813 0.425  0.813 0.194  0.813 -0.038  0.813 -0.269  0.813 -0.500  0.813 -0.731  0.813 -0.963  0.813 -1.194  0.822 -1.416  0.948 -1.373  0.785 -1.209  0.621 -1.046  0.458 -0.882  0.294 -0.719  0.131 -0.555  -0.033 -0.392  -0.196 -0.228  -0.360 -0.065  -0.523 0.099  -0.522 0.194  -0.335 0.089  -0.134 0.015  0.097 0.015
3#apa#apa01#app0145/O  -0.670 0.963  -0.670 0.824  -0.670 0.686  -0.742 0.619  -0.842 0.581  -0.842 0.442  -0.842 0.304  -0.842 0.166  -0.842 0.027  -0.842 -0.111  -0.842 -0.250  -0.842 -0.388  -0.842 -0.526  -0.784 -0.641  -0.687 -0.739  -0.589 -0.837  -0.488 -0.927  -0.349 -0.927  -0.327 -1.043  -0.244 -1.098  -0.106 -1.098  0.033 -1.098  0.171 -1.098  0.274 -1.013  0.377 -0.927  0.515 -0.927  0.532 -0.805  0.532 -0.666  0.587 -0.583  0.704 -0.561  0.704 -0.423  0.793 -0.322  0.875 -0.217  0.875 -0.079  0.875 0.060  0.875 0.198  0.875 0.336  0.856 0.467  0.758 0.565  0.660 0.662  0.563 0.760  0.532 0.886  0.470 0.963  0.360 0.991  0.360 1.130  0.227 1.135  0.088 1.135  -0.050 1.135  -0.189 1.135  -0.327 1.135
3#apa#apa01#app0145/W  -1.415 0.714  -1.294 0.680  -1.294 0.524  -1.294 0.369  -1.172 0.335  -1.123 0.228  -1.051 0.145  -1.051 -0.010  -1.030 -0.157  -0.929 -0.271  -0.896 -0.413  -0.808 -0.532  -0.808 -0.687  -0.709 -0.744  -0.675 -0.865  -0.533 -0.833  -0.443 -0.715  -0.380 -0.622  -0.322 -0.525  -0.315 -0.372  -0.205 -0.262  -0.200 -0.109  -0.157 0.029  -0.079 0.152  0.001 0.228  0.043 0.341  0.164 0.324  0.164 0.168  0.164 0.013  0.255 -0.105  0.286 -0.248  0.389 -0.361  0.413 -0.506  0.523 -0.616  0.676 -0.622  0.831 -0.622  0.959 -0.556  1.015 -0.423  1.015 -0.268  1.015 -0.112  1.015 0.043  1.015 0.199  1.015 0.354  1.015 0.510  1.015 0.665  1.015 0.821  1.015 0.976  1.015 1.132  1.015 1.287  1.136 1.321
3#apa#apa01#app0145/T  -0.111 0.336  0.057 0.336  0.172 0.284  0.172 0.117  0.172 -0.050  0.172 -0.217  0.172 -0.384  0.172 -0.552  0.172 -0.719  0.172 -0.886  0.172 -1.053  0.172 -1.220  0.201 -1.357  0.313 -1.413  0.313 -1.417  0.249 -1.271  0.151 -1.136  0.052 -1.002  -0.047 -0.867  -0.146 -0.732  -0.245 -0.597  -0.343 -0.463  -0.442 -0.328  -0.541 -0.193  -0.640 -0.059  -0.739 0.076  -0.837 0.211  -0.936 0.346  -1.035 0.480  -1.134 0.615  -1.232 0.750  -1.084 0.759  -0.957 0.718  -0.891 0.618  -0.724 0.618  -0.557 0.618  -0.390 0.618  -0.223 0.618  -0.055 0.618  0.112 0.618  0.279 0.618  0.446 0.618  0.613 0.618  0.780 0.618  0.947 0.618  1.114 0.618  1.281 0.618  1.405 0.722  1.557 0.759  1.724 0.759
3#apa#apa01#app0145/O  -0.375 1.054  -0.375 0.910  -0.498 0.889  -0.540 0.787  -0.597 0.667  -0.699 0.565  -0.705 0.424  -0.819 0.394  -0.870 0.301  -0.870 0.157  -0.921 0.064  -1.035 0.034  -1.035 -0.110  -1.035 -0.253  -0.904 -0.266  -0.870 -0.376  -0.807 -0.494  -0.706 -0.596  -0.604 -0.698  -0.502 -0.799  -0.400 -0.901  -0.267 -0.927  -0.149 -0.988  -0.047 -1.090  0.096 -1.092  0.240 -1.092  0.285 -0.992  0.363 -0.927  0.450 -0.870  0.486 -0.761  0.626 -0.751  0.727 -0.649  0.780 -0.527  0.814 -0.397  0.916 -0.296  0.945 -0.164  0.945 -0.020  0.945 0.124  0.945 0.268  0.945 0.412  0.945 0.556  0.846 0.658  0.780 0.775  0.750 0.889  0.609 0.895  0.507 0.997  0.387 1.054  0.243 1.054  0.099 1.054  -0.045 1.054
3#apa#apa01#app0145/W  -1.392 1.011  -1.348 0.881  -1.262 0.793  -1.260 0.620  -1.131 0.575  -1.131 0.400  -1.001 0.356  -1.001 0.182  -1.001 0.007  -0.906 -0.128  -0.870 -0.287  -0.870 -0.462  -0.870 -0.636  -0.870 -0.810  -0.740 -0.777  -0.740 -0.603  -0.613 -0.555  -0.581 -0.396  -0.479 -0.264  -0.405 -0.163  -0.348 -0.046  -0.218 -0.002  -0.143 0.098  -0.087 0.216  0.043 0.260  0.119 0.359  0.174 0.479  0.304 0.456  0.304 0.282  0.304 0.107  0.339 -0.033  0.435 -0.111  0.435 -0.286  0.435 -0.460  0.491 -0.611  0.615 -0.734  0.755 -0.816  0.826 -0.712  0.843 -0.555  0.957 -0.494  0.957 -0.320  0.957 -0.145  1.019 -0.033  1.087 0.073  1.101 0.242  1.218 0.368  1.271 0.489  1.348 0.586  1.448 0.719  1.479 0.881
3#apa#apa01#app0145/A  -1.214 -1.302  -1.052 -1.247  -0.942 -1.140  -0.889 -0.976  -0.889 -0.758  -0.811 -0.574  -0.727 -0.391  -0.727 -0.174  -0.681 -0.003  -0.565 0.098  -0.565 0.315  -0.565 0.532  -0.565 0.749  -0.407 0.809  -0.402 1.021  -0.328 1.207  -0.240 1.388  -0.093 1.458  0.113 1.430  0.247 1.269  0.329 1.133  0.410 0.997  0.438 0.809  0.572 0.725  0.572 0.508  0.708 0.348  0.734 0.141  0.786 -0.055  0.897 -0.226  0.897 -0.443  0.897 -0.660  0.897 -0.877  1.014 -0.977  1.059 -1.131  1.005 -0.943  0.822 -0.826  0.639 -0.710  0.456 -0.593  0.272 -0.477  0.089 -0.360  -0.094 -0.244  -0.277 -0.127  -0.460 -0.011  -0.644 0.106  -0.609 0.159  -0.442 0.037  -0.242 -0.003  -0.025 -0.003  0.192 -0.003  0.410 -0.003
3#apa#apa01#app0145/L  -0.641 1.720  -0.641 1.618  -0.614 1.527  -0.542 1.455  -0.474 1.380  -0.474 1.278  -0.429 1.221  -0.327 1.221  -0.308 1.138  -0.308 1.036  -0.308 0.934  -0.268 0.848  -0.196 0.775  -0.141 0.696  -0.141 0.594  -0.141 0.491  -0.141 0.389  -0.212 0.316  -0.284 0.244  -0.308 0.151  -0.308 0.049  -0.308 -0.053  -0.308 -0.155  -0.308 -0.257  -0.308 -0.360  -0.308 -0.462  -0.308 -0.564  -0.308 -0.666  -0.308 -0.769  -0.308 -0.871  -0.280 -0.945  -0.177 -0.945  -0.094 -0.898  -0.022 -0.826  0.060 -0.779  0.163 -0.779  0.192 -0.706  0.201 -0.612  0.303 -0.612  0.405 -0.612  0.507 -0.612  0.609 -0.612  0.706 -0.626  0.778 -0.698  0.851 -0.770  0.949 -0.779  1.052 -0.779  1.154 -0.779  1.256 -0.779  1.358 -0.779
3#apa#apa01#app0145/T  0.032 0.247  0.143 0.135  0.254 0.024  0.310 -0.110  0.310 -0.267  0.310 -0.424  0.310 -0.581  0.310 -0.738  0.330 -0.888  0.441 -0.999  0.449 -1.152  0.449 -1.310  0.449 -1.467  0.509 -1.565  0.589 -1.487  0.536 -1.346  0.449 -1.215  0.362 -1.085  0.274 -0.954  0.187 -0.823  0.100 -0.692  0.013 -0.561  -0.074 -0.431  -0.162 -0.300  -0.249 -0.169  -0.336 -0.038  -0.423 0.093  -0.510 0.223  -0.598 0.354  -0.685 0.485  -0.772 0.616  -0.859 0.747  -0.946 0.877  -1.034 1.008  -1.083 1.014  -0.997 0.943  -0.840 0.943  -0.683 0.943  -0.566 0.844  -0.426 0.804  -0.269 0.804  -0.112 0.804  0.046 0.804  0.203 0.804  0.360 0.804  0.517 0.804  0.674 0.804  0.832 0.804  0.867 0.925  1.007 0.943
3#apa#apa01#app0145/Z  -1.132 1.235  -1.012 1.235  -0.918 1.171  -0.833 1.086  -0.714 1.085  -0.594 1.085  -0.474 1.085  -0.362 1.064  -0.277 0.979  -0.175 0.936  -0.055 0.936  0.065 0.936  0.185 0.936  0.305 0.936  0.364 0.875  0.343 0.764  0.258 0.679  0.215 0.577  0.194 0.466  0.109 0.381  0.065 0.279  0.036 0.187  -0.084 0.187  -0.084 0.068  -0.084 -0.052  -0.127 -0.154  -0.212 -0.239  -0.297 -0.324  -0.382 -0.409  -0.501 -0.411  -0.533 -0.498  -0.533 -0.619  -0.505 -0.710  -0.385 -0.710  -0.300 -0.794  -0.207 -0.860  -0.087 -0.860  0.033 -0.860  0.127 -0.922  0.212 -1.007  0.331 -1.010  0.451 -1.010  0.571 -1.010  0.691 -1.010  0.812 -1.010  0.932 -1.010  1.052 -1.010  1.113 -0.950  1.142 -0.860  1.262 -0.860
