3#app#app07#app0721/p  0.078 0.767  0.078 0.743  -0.010 0.579  -0.010 0.380  -0.010 0.180  -0.010 -0.019  -0.097 -0.198  -0.103 -0.397  -0.151 -0.591  -0.228 -0.768  -0.273 -0.949  -0.273 -1.149  -0.316 -1.338  -0.360 -1.527  -0.360 -1.727  -0.355 -1.804  -0.339 -1.605  -0.322 -1.406  -0.306 -1.208  -0.289 -1.009  -0.272 -0.810  -0.256 -0.611  -0.239 -0.412  -0.223 -0.213  -0.206 -0.014  -0.190 0.184  -0.273 0.348  -0.273 0.547  -0.273 0.747  -0.360 0.910  -0.360 1.109  -0.345 1.293  -0.244 1.409  -0.069 1.469  0.130 1.469  0.330 1.469  0.429 1.317  0.586 1.215  0.633 1.031  0.702 0.845  0.780 0.678  0.780 0.478  0.745 0.293  0.666 0.126  0.605 -0.048  0.504 -0.198  0.341 -0.286  0.178 -0.374  0.015 -0.461  -0.185 -0.461
3#app#app07#app0721/(  0.868 1.166  0.868 1.242  0.858 1.308  0.786 1.298  0.733 1.244  0.667 1.208  0.599 1.174  0.542 1.124  0.488 1.071  0.435 1.017  0.381 0.963  0.327 0.910  0.274 0.856  0.220 0.802  0.166 0.749  0.122 0.687  0.080 0.624  0.038 0.560  -0.004 0.497  -0.046 0.434  -0.088 0.371  -0.128 0.307  -0.152 0.235  -0.176 0.163  -0.203 0.092  -0.245 0.029  -0.287 -0.034  -0.329 -0.097  -0.339 -0.171  -0.339 -0.246  -0.339 -0.322  -0.372 -0.390  -0.406 -0.458  -0.410 -0.533  -0.410 -0.609  -0.410 -0.685  -0.410 -0.761  -0.410 -0.837  -0.410 -0.913  -0.410 -0.989  -0.396 -1.062  -0.362 -1.129  -0.322 -1.193  -0.268 -1.246  -0.264 -1.321  -0.211 -1.375  -0.141 -1.389  -0.126 -1.450  -0.060 -1.460  0.016 -1.460
3#app#app07#app0721/2  -0.571 0.564  -0.496 0.639  -0.420 0.715  -0.344 0.791  -0.268 0.867  -0.193 0.942  -0.117 1.018  -0.041 1.094  0.059 1.131  0.160 1.164  0.262 1.198  0.368 1.206  0.475 1.206  0.582 1.206  0.606 1.123  0.606 1.016  0.606 0.909  0.606 0.802  0.547 0.719  0.478 0.638  0.418 0.549  0.359 0.460  0.299 0.371  0.227 0.292  0.161 0.209  0.113 0.113  0.062 0.020  -0.013 -0.056  -0.070 -0.146  -0.118 -0.242  -0.178 -0.328  -0.254 -0.404  -0.330 -0.480  -0.357 -0.576  -0.406 -0.663  -0.464 -0.745  -0.464 -0.853  -0.464 -0.960  -0.464 -1.067  -0.464 -1.174  -0.440 -1.256  -0.357 -1.281  -0.332 -1.364  -0.225 -1.364  -0.118 -1.364  -0.011 -1.364  0.096 -1.364  0.201 -1.352  0.296 -1.304  0.392 -1.256
3#app#app07#app0721/3  -0.328 0.785  -0.254 0.858  -0.162 0.887  -0.124 0.953  -0.055 0.989  0.028 1.039  0.108 1.105  0.201 1.151  0.296 1.193  0.400 1.193  0.504 1.193  0.590 1.174  0.590 1.070  0.590 0.965  0.565 0.887  0.488 0.859  0.461 0.771  0.368 0.724  0.277 0.675  0.203 0.601  0.129 0.528  0.055 0.454  -0.018 0.380  -0.092 0.306  -0.166 0.233  -0.226 0.153  -0.241 0.055  -0.315 -0.018  -0.328 -0.117  -0.328 -0.222  -0.328 -0.326  -0.262 -0.403  -0.188 -0.477  -0.111 -0.541  -0.022 -0.557  -0.010 -0.656  0.064 -0.729  0.080 -0.827  0.080 -0.931  0.080 -1.036  0.080 -1.140  0.016 -1.218  -0.058 -1.291  -0.132 -1.365  -0.205 -1.439  -0.301 -1.459  -0.383 -1.514  -0.456 -1.588  -0.530 -1.662  -0.634 -1.663
3#app#app07#app0721/4  -0.506 1.111  -0.553 0.973  -0.710 0.906  -0.782 0.751  -0.874 0.604  -1.041 0.558  -1.177 0.440  -1.210 0.268  -1.335 0.135  -1.335 -0.050  -1.233 -0.133  -1.091 -0.239  -0.960 -0.370  -0.792 -0.410  -0.617 -0.436  -0.478 -0.548  -0.293 -0.548  -0.108 -0.548  0.074 -0.534  0.240 -0.452  0.415 -0.410  0.600 -0.410  0.785 -0.410  0.970 -0.410  1.114 -0.310  1.127 -0.143  1.091 0.038  1.055 0.220  1.018 0.401  0.982 0.583  0.946 0.764  0.909 0.946  0.877 1.094  0.812 0.973  0.660 0.894  0.600 0.734  0.593 0.551  0.462 0.420  0.331 0.289  0.324 0.107  0.265 -0.053  0.134 -0.184  0.003 -0.315  -0.091 -0.462  -0.091 -0.647  -0.194 -0.789  -0.229 -0.960  -0.229 -1.145  -0.229 -1.330  -0.229 -1.515
3#app#app07#app0721/)  -0.091 1.184  -0.022 1.218  0.047 1.253  0.121 1.262  0.198 1.262  0.275 1.262  0.352 1.262  0.378 1.211  0.428 1.184  0.457 1.136  0.457 1.059  0.457 0.982  0.457 0.905  0.457 0.828  0.457 0.751  0.447 0.675  0.428 0.600  0.409 0.526  0.391 0.451  0.367 0.378  0.332 0.310  0.297 0.242  0.242 0.187  0.200 0.124  0.166 0.055  0.132 -0.014  0.097 -0.083  0.063 -0.152  0.028 -0.220  -0.006 -0.289  -0.041 -0.358  -0.075 -0.427  -0.109 -0.496  -0.144 -0.565  -0.178 -0.634  -0.213 -0.702  -0.247 -0.771  -0.282 -0.840  -0.316 -0.909  -0.350 -0.978  -0.385 -1.047  -0.434 -1.100  -0.503 -1.135  -0.566 -1.175  -0.601 -1.244  -0.635 -1.313  -0.687 -1.369  -0.717 -1.433  -0.741 -1.500  -0.795 -1.555
3#app#app07#app0721/5  0.336 0.650  0.445 0.705  0.540 0.779  0.627 0.865  0.713 0.951  0.821 1.007  0.938 1.032  1.022 1.069  0.939 1.108  0.817 1.108  0.705 1.064  0.591 1.032  0.474 1.018  0.388 0.931  0.290 0.864  0.174 0.825  0.071 0.767  -0.016 0.680  -0.121 0.625  -0.237 0.586  -0.333 0.515  -0.419 0.429  -0.506 0.343  -0.592 0.256  -0.656 0.161  -0.711 0.061  -0.732 -0.052  -0.732 -0.174  -0.732 -0.296  -0.656 -0.342  -0.569 -0.428  -0.474 -0.494  -0.352 -0.494  -0.235 -0.514  -0.126 -0.568  -0.016 -0.623  0.100 -0.647  0.191 -0.723  0.259 -0.776  0.259 -0.898  0.211 -1.000  0.125 -1.087  0.012 -1.114  -0.097 -1.168  -0.189 -1.247  -0.307 -1.257  -0.406 -1.312  -0.492 -1.398  -0.610 -1.409  -0.732 -1.409
3#app#app07#app0721/6  1.065 1.799  1.041 1.669  0.942 1.570  0.840 1.476  0.714 1.413  0.601 1.334  0.502 1.235  0.403 1.136  0.313 1.030  0.251 0.905  0.167 0.795  0.068 0.696  -0.031 0.597  -0.130 0.498  -0.229 0.399  -0.328 0.300  -0.427 0.201  -0.521 0.099  -0.583 -0.027  -0.646 -0.152  -0.709 -0.277  -0.722 -0.414  -0.722 -0.554  -0.722 -0.694  -0.722 -0.834  -0.695 -0.962  -0.587 -1.040  -0.512 -1.105  -0.413 -1.146  -0.273 -1.146  -0.133 -1.146  0.007 -1.146  0.147 -1.146  0.269 -1.101  0.368 -1.002  0.434 -0.890  0.434 -0.750  0.434 -0.610  0.434 -0.470  0.434 -0.330  0.428 -0.193  0.329 -0.094  0.199 -0.069  0.100 0.030  -0.004 0.116  -0.144 0.116  -0.284 0.116  -0.388 0.030  -0.487 -0.069  -0.512 -0.199
3#app#app07#app0721/7  -0.405 0.807  -0.350 0.954  -0.230 1.073  -0.105 1.186  0.046 1.261  0.177 1.356  0.314 1.434  0.478 1.447  0.633 1.415  0.692 1.270  0.692 1.101  0.692 0.931  0.660 0.775  0.563 0.640  0.474 0.498  0.390 0.356  0.336 0.196  0.264 0.043  0.189 -0.109  0.113 -0.260  0.028 -0.405  -0.091 -0.525  -0.181 -0.666  -0.222 -0.826  -0.292 -0.978  -0.399 -1.107  -0.454 -1.253  -0.496 -1.405  -0.496 -1.575  -0.413 -1.661  -0.422 -1.501  -0.439 -1.333  -0.457 -1.165  -0.475 -0.996  -0.492 -0.828  -0.510 -0.660  -0.528 -0.491  -0.546 -0.323  -0.563 -0.155  -0.581 0.014  -0.485 0.087  -0.350 0.167  -0.180 0.167  -0.011 0.167  0.158 0.167  0.327 0.167  0.497 0.167  0.666 0.167  0.820 0.131  0.967 0.076
3#app#app07#app0721/  -1.684 -0.186  -1.613 -0.186  -1.543 -0.186  -1.472 -0.186  -1.402 -0.186  -1.331 -0.186  -1.261 -0.186  -1.190 -0.186  -1.120 -0.186  -1.049 -0.186  -0.979 -0.186  -0.908 -0.186  -0.838 -0.186  -0.774 -0.155  -0.711 -0.124  -0.648 -0.092  -0.585 -0.061  -0.522 -0.029  -0.459 0.002  -0.396 0.034  -0.333 0.065  -0.269 0.096  -0.199 0.096  -0.128 0.096  -0.058 0.096  0.013 0.096  0.083 0.096  0.154 0.096  0.224 0.096  0.295 0.096  0.365 0.096  0.436 0.096  0.506 0.096  0.577 0.096  0.647 0.096  0.718 0.096  0.788 0.096  0.859 0.096  0.929 0.096  1.000 0.096  1.070 0.096  1.141 0.096  1.211 0.096  1.282 0.096  1.353 0.096  1.423 0.096  1.494 0.096  1.564 0.096  1.635 0.096  1.705 0.096
3#app#app07#app0721/8  0.490 0.953  0.319 0.912  0.149 0.863  -0.023 0.812  -0.198 0.773  -0.362 0.731  -0.426 0.577  -0.500 0.426  -0.500 0.245  -0.500 0.064  -0.380 -0.067  -0.252 -0.196  -0.096 -0.285  -0.014 -0.415  0.130 -0.507  0.209 -0.656  0.310 -0.795  0.310 -0.976  0.219 -1.119  0.080 -1.233  -0.075 -1.323  -0.229 -1.388  -0.410 -1.388  -0.554 -1.478  -0.680 -1.423  -0.770 -1.332  -0.770 -1.151  -0.671 -1.009  -0.590 -0.847  -0.462 -0.719  -0.362 -0.571  -0.258 -0.425  -0.131 -0.296  -0.023 -0.151  0.086 -0.006  0.206 0.129  0.321 0.265  0.378 0.437  0.500 0.553  0.621 0.675  0.721 0.823  0.849 0.951  0.851 1.132  0.851 1.313  0.670 1.313  0.489 1.313  0.317 1.272  0.169 1.172  0.040 1.097  -0.050 0.953
3#app#app07#app0721/9  0.703 1.136  0.556 1.136  0.409 1.136  0.297 1.052  0.160 1.028  0.015 1.014  -0.125 0.967  -0.264 0.921  -0.396 0.855  -0.518 0.777  -0.590 0.659  -0.650 0.537  -0.698 0.410  -0.698 0.263  -0.649 0.165  -0.590 0.076  -0.462 0.058  -0.315 0.058  -0.197 0.127  -0.066 0.165  0.043 0.259  0.178 0.287  0.286 0.381  0.380 0.434  0.445 0.554  0.549 0.658  0.595 0.786  0.488 0.799  0.488 0.651  0.437 0.520  0.355 0.397  0.273 0.275  0.272 0.128  0.218 0.004  0.133 -0.114  0.067 -0.245  0.056 -0.390  0.056 -0.537  0.056 -0.684  -0.003 -0.817  -0.051 -0.953  -0.087 -1.091  -0.153 -1.223  -0.159 -1.368  -0.159 -1.515  -0.159 -1.663  -0.159 -1.810  -0.159 -1.957  -0.155 -2.102  -0.051 -2.206
3#app#app07#app0721/0  0.363 0.799  0.229 0.770  0.120 0.672  -0.001 0.591  -0.123 0.510  -0.233 0.413  -0.336 0.310  -0.440 0.206  -0.561 0.127  -0.691 0.060  -0.793 -0.044  -0.793 -0.190  -0.853 -0.312  -0.898 -0.440  -0.898 -0.586  -0.898 -0.733  -0.898 -0.879  -0.871 -1.015  -0.793 -1.129  -0.716 -1.198  -0.569 -1.198  -0.423 -1.198  -0.276 -1.198  -0.130 -1.198  -0.005 -1.146  0.099 -1.042  0.202 -0.938  0.306 -0.835  0.409 -0.731  0.513 -0.628  0.573 -0.506  0.573 -0.360  0.675 -0.255  0.679 -0.110  0.713 0.028  0.779 0.159  0.784 0.304  0.784 0.451  0.784 0.597  0.784 0.744  0.755 0.885  0.709 1.024  0.627 1.115  0.508 1.180  0.378 1.220  0.231 1.220  0.085 1.220  -0.030 1.142  -0.164 1.113  -0.267 1.009
3#app#app07#app0721/1  0.827 1.474  0.776 1.424  0.726 1.373  0.686 1.318  0.686 1.246  0.678 1.176  0.646 1.112  0.614 1.048  0.582 0.984  0.550 0.920  0.501 0.868  0.451 0.817  0.400 0.766  0.350 0.716  0.299 0.665  0.254 0.610  0.222 0.546  0.190 0.482  0.158 0.418  0.126 0.354  0.077 0.302  0.026 0.252  -0.023 0.200  -0.063 0.140  -0.102 0.081  -0.142 0.021  -0.182 -0.039  -0.221 -0.098  -0.261 -0.158  -0.300 -0.218  -0.332 -0.282  -0.364 -0.346  -0.396 -0.410  -0.428 -0.474  -0.438 -0.543  -0.438 -0.615  -0.438 -0.687  -0.438 -0.758  -0.438 -0.830  -0.438 -0.902  -0.438 -0.973  -0.438 -1.045  -0.438 -1.116  -0.438 -1.188  -0.438 -1.260  -0.438 -1.331  -0.438 -1.403  -0.438 -1.474  -0.438 -1.546  -0.438 -1.618
3#app#app07#app0721/.  1.029 -1.330  0.925 -1.227  0.822 -1.123  0.718 -1.020  0.615 -0.916  0.511 -0.813  0.408 -0.709  0.304 -0.606  0.201 -0.502  0.097 -0.399  -0.006 -0.295  -0.110 -0.192  -0.213 -0.088  -0.317 0.015  -0.420 0.119  -0.457 0.250  -0.457 0.396  -0.457 0.543  -0.457 0.689  -0.457 0.835  -0.457 0.982  -0.457 1.128  -0.457 1.275  -0.457 1.421  -0.457 1.567  -0.457 1.567  -0.457 1.421  -0.457 1.275  -0.457 1.128  -0.457 0.982  -0.457 0.835  -0.457 0.689  -0.457 0.543  -0.457 0.396  -0.457 0.250  -0.420 0.119  -0.317 0.015  -0.213 -0.088  -0.110 -0.192  -0.006 -0.295  0.097 -0.399  0.201 -0.502  0.304 -0.606  0.408 -0.709  0.511 -0.813  0.615 -0.916  0.718 -1.020  0.822 -1.123  0.925 -1.227  1.029 -1.330
