3#apa#apa04#app0411/1  0.790 1.478  0.790 1.406  0.790 1.334  0.747 1.280  0.696 1.229  0.645 1.178  0.633 1.111  0.633 1.039  0.603 0.979  0.552 0.928  0.501 0.877  0.450 0.826  0.399 0.775  0.348 0.724  0.321 0.663  0.321 0.591  0.305 0.525  0.254 0.475  0.204 0.424  0.157 0.369  0.125 0.305  0.092 0.240  0.060 0.176  0.028 0.111  -0.004 0.047  -0.036 -0.018  -0.069 -0.082  -0.101 -0.147  -0.133 -0.211  -0.165 -0.276  -0.198 -0.340  -0.230 -0.404  -0.262 -0.469  -0.294 -0.533  -0.340 -0.589  -0.391 -0.639  -0.442 -0.690  -0.460 -0.755  -0.460 -0.827  -0.484 -0.889  -0.535 -0.940  -0.586 -0.991  -0.617 -1.051  -0.617 -1.123  -0.617 -1.195  -0.617 -1.267  -0.620 -1.338  -0.671 -1.389  -0.722 -1.440  -0.773 -1.491
3#apa#apa04#app0411/a  0.871 0.345  0.871 0.544  0.855 0.737  0.715 0.878  0.528 0.909  0.329 0.909  0.130 0.909  -0.014 0.777  -0.190 0.721  -0.351 0.629  -0.511 0.533  -0.688 0.480  -0.829 0.339  -0.970 0.198  -1.111 0.057  -1.252 -0.084  -1.393 -0.224  -1.534 -0.365  -1.577 -0.547  -1.577 -0.746  -1.417 -0.785  -1.218 -0.785  -1.018 -0.785  -0.820 -0.783  -0.641 -0.694  -0.463 -0.605  -0.285 -0.516  -0.107 -0.427  0.071 -0.338  0.250 -0.249  0.442 -0.220  0.494 -0.073  0.652 -0.032  0.802 0.088  0.871 0.258  0.871 0.458  0.871 0.657  0.736 0.721  0.683 0.575  0.526 0.533  0.494 0.365  0.494 0.166  0.494 -0.033  0.494 -0.233  0.494 -0.432  0.528 -0.597  0.683 -0.642  0.739 -0.785  0.918 -0.833  1.059 -0.973
3#apa#apa04#app0411/r  -0.096 0.126  -0.096 0.010  -0.139 -0.088  -0.221 -0.170  -0.266 -0.267  -0.266 -0.383  -0.266 -0.499  -0.308 -0.598  -0.390 -0.680  -0.437 -0.776  -0.437 -0.892  -0.437 -1.008  -0.437 -1.124  -0.437 -1.240  -0.437 -1.355  -0.437 -1.346  -0.429 -1.238  -0.313 -1.238  -0.266 -1.169  -0.266 -1.053  -0.266 -0.937  -0.266 -0.821  -0.266 -0.705  -0.266 -0.589  -0.229 -0.482  -0.178 -0.379  -0.126 -0.275  -0.096 -0.166  -0.096 -0.050  -0.096 0.065  -0.096 0.181  -0.095 0.297  -0.013 0.379  0.069 0.461  0.075 0.574  0.075 0.690  0.075 0.806  0.155 0.888  0.237 0.970  0.245 1.083  0.281 1.184  0.363 1.266  0.457 1.319  0.573 1.319  0.688 1.319  0.804 1.319  0.920 1.319  1.036 1.319  1.152 1.319  1.268 1.319
3#apa#apa04#app0411/e  -0.499 0.371  -0.393 0.266  -0.259 0.229  -0.110 0.229  0.007 0.306  0.129 0.371  0.279 0.371  0.428 0.371  0.501 0.447  0.584 0.514  0.644 0.603  0.644 0.752  0.644 0.901  0.536 0.943  0.387 0.943  0.238 0.943  0.088 0.943  -0.061 0.943  -0.210 0.943  -0.358 0.940  -0.464 0.835  -0.569 0.729  -0.675 0.624  -0.781 0.518  -0.886 0.413  -0.992 0.307  -1.070 0.190  -1.070 0.041  -1.070 -0.108  -1.029 -0.241  -0.927 -0.348  -0.916 -0.486  -0.769 -0.494  -0.635 -0.560  -0.502 -0.627  -0.395 -0.732  -0.263 -0.771  -0.113 -0.771  0.025 -0.819  0.158 -0.886  0.301 -0.914  0.450 -0.914  0.599 -0.914  0.749 -0.914  0.898 -0.914  1.047 -0.914  1.196 -0.914  1.346 -0.914  1.495 -0.914  1.644 -0.914
3#apa#apa04#app0411/^  -1.235 -0.280  -1.235 -0.175  -1.235 -0.069  -1.235 0.036  -1.235 0.142  -1.229 0.241  -1.123 0.241  -1.017 0.241  -0.974 0.303  -0.974 0.409  -0.962 0.502  -0.856 0.502  -0.750 0.502  -0.665 0.550  -0.590 0.625  -0.516 0.700  -0.436 0.763  -0.331 0.763  -0.225 0.763  -0.120 0.763  -0.014 0.763  0.092 0.763  0.197 0.763  0.303 0.763  0.331 0.685  0.331 0.580  0.331 0.474  0.331 0.369  0.331 0.263  0.331 0.158  0.331 0.052  0.331 -0.054  0.331 -0.159  0.331 -0.265  0.331 -0.370  0.331 -0.476  0.359 -0.570  0.434 -0.644  0.508 -0.719  0.583 -0.794  0.685 -0.802  0.790 -0.802  0.896 -0.802  1.002 -0.802  1.107 -0.802  1.113 -0.902  1.113 -1.007  1.163 -1.063  1.269 -1.063  1.374 -1.063
3#apa#apa04#app0411/u  -0.669 1.193  -0.669 1.086  -0.669 0.980  -0.669 0.874  -0.669 0.767  -0.669 0.661  -0.669 0.554  -0.740 0.520  -0.847 0.520  -0.893 0.459  -0.893 0.353  -0.893 0.247  -0.893 0.140  -0.893 0.034  -0.893 -0.073  -0.893 -0.179  -0.893 -0.285  -0.893 -0.392  -0.893 -0.498  -0.890 -0.602  -0.784 -0.602  -0.677 -0.602  -0.571 -0.602  -0.464 -0.602  -0.358 -0.602  -0.252 -0.602  -0.145 -0.602  -0.039 -0.602  0.067 -0.602  0.174 -0.602  0.265 -0.565  0.340 -0.490  0.416 -0.415  0.507 -0.377  0.613 -0.377  0.707 -0.348  0.782 -0.272  0.857 -0.197  0.946 -0.153  1.052 -0.153  1.126 -0.121  1.126 -0.014  1.141 0.086  1.216 0.161  1.291 0.237  1.350 0.319  1.350 0.425  1.350 0.531  1.350 0.638  1.350 0.744
3#apa#apa04#app0411/n  -0.694 -0.079  -0.820 -0.079  -0.925 -0.128  -1.014 -0.217  -1.058 -0.325  -1.066 -0.442  -1.192 -0.442  -1.239 -0.520  -1.239 -0.646  -1.239 -0.771  -1.175 -0.741  -1.086 -0.652  -0.972 -0.624  -0.855 -0.603  -0.766 -0.514  -0.670 -0.442  -0.544 -0.442  -0.512 -0.348  -0.474 -0.260  -0.349 -0.260  -0.331 -0.153  -0.279 -0.079  -0.153 -0.079  -0.149 0.043  -0.149 0.169  -0.142 0.291  -0.053 0.380  0.036 0.469  0.124 0.558  0.213 0.647  0.339 0.648  0.396 0.716  0.408 0.830  0.534 0.830  0.660 0.830  0.785 0.830  0.911 0.830  1.009 0.762  1.098 0.673  1.123 0.558  1.123 0.432  1.123 0.307  1.123 0.181  1.123 0.055  1.123 -0.071  1.123 -0.196  1.123 -0.322  1.127 -0.446  1.216 -0.535  1.305 -0.624
3#apa#apa04#app0411/d  0.061 -0.970  0.203 -0.882  0.203 -0.652  0.203 -0.422  0.203 -0.192  0.190 0.025  0.061 0.126  -0.127 0.168  -0.357 0.168  -0.564 0.111  -0.727 -0.051  -0.929 -0.117  -1.094 -0.276  -1.219 -0.454  -1.219 -0.684  -1.219 -0.914  -1.077 -1.002  -0.957 -1.112  -0.727 -1.112  -0.500 -1.104  -0.330 -0.952  -0.124 -0.849  -0.042 -0.685  0.061 -0.558  0.203 -0.470  0.216 -0.245  0.345 -0.069  0.345 0.161  0.345 0.391  0.421 0.603  0.487 0.818  0.487 1.047  0.487 1.277  0.487 1.507  0.491 1.736  0.605 1.849  0.487 1.667  0.483 1.438  0.380 1.233  0.345 1.011  0.345 0.781  0.345 0.551  0.253 0.360  0.203 0.150  0.203 -0.080  0.239 -0.295  0.345 -0.481  0.363 -0.703  0.487 -0.882  0.629 -0.970
3#apa#apa04#app0411/e  -0.834 0.156  -0.672 0.156  -0.510 0.156  -0.347 0.156  -0.185 0.156  -0.023 0.156  0.139 0.156  0.302 0.156  0.332 0.287  0.432 0.350  0.594 0.350  0.721 0.385  0.723 0.547  0.838 0.661  0.915 0.792  0.915 0.954  0.915 1.116  0.765 1.128  0.602 1.128  0.440 1.128  0.294 1.089  0.179 0.974  0.034 0.933  -0.107 0.882  -0.222 0.768  -0.337 0.653  -0.452 0.538  -0.566 0.424  -0.640 0.292  -0.666 0.156  -0.828 0.156  -0.834 -0.001  -0.834 -0.163  -0.834 -0.325  -0.834 -0.487  -0.834 -0.650  -0.834 -0.812  -0.676 -0.816  -0.551 -0.905  -0.432 -1.011  -0.270 -1.011  -0.150 -1.112  -0.026 -1.205  0.136 -1.205  0.298 -1.205  0.461 -1.205  0.623 -1.205  0.785 -1.205  0.948 -1.205  1.110 -1.205
3#apa#apa04#app0411/f  1.137 1.158  1.259 1.190  1.195 1.280  1.070 1.347  0.940 1.401  0.786 1.401  0.633 1.401  0.495 1.366  0.377 1.280  0.243 1.235  0.134 1.127  0.033 1.014  -0.036 0.877  -0.120 0.751  -0.199 0.631  -0.199 0.478  -0.199 0.325  -0.199 0.172  -0.199 0.019  -0.199 -0.135  -0.199 -0.288  -0.199 -0.441  -0.199 -0.594  -0.199 -0.747  -0.085 -0.786  -0.078 -0.932  -0.078 -1.085  -0.078 -1.238  -0.078 -1.391  0.028 -1.368  -0.054 -1.239  -0.137 -1.110  -0.219 -0.981  -0.301 -0.851  -0.383 -0.722  -0.465 -0.593  -0.548 -0.464  -0.630 -0.335  -0.712 -0.205  -0.794 -0.076  -0.801 -0.184  -0.692 -0.293  -0.542 -0.300  -0.389 -0.300  -0.236 -0.300  -0.083 -0.300  0.070 -0.300  0.223 -0.300  0.377 -0.300  0.530 -0.300
3#apa#apa04#app0411/i  -0.273 -0.538  -0.337 -0.602  -0.401 -0.666  -0.466 -0.730  -0.530 -0.794  -0.594 -0.858  -0.629 -0.934  -0.629 -1.025  -0.629 -1.116  -0.629 -1.206  -0.582 -1.250  -0.492 -1.250  -0.434 -1.203  -0.403 -1.118  -0.372 -1.033  -0.341 -0.947  -0.310 -0.862  -0.279 -0.777  -0.248 -0.692  -0.217 -0.607  -0.186 -0.522  -0.155 -0.436  -0.124 -0.351  -0.093 -0.266  -0.062 -0.181  -0.031 -0.096  -0.000 -0.010  0.030 0.075  0.061 0.160  0.092 0.245  0.123 0.330  0.154 0.415  0.185 0.501  0.216 0.586  0.247 0.671  0.312 0.708  0.403 0.708  0.439 0.763  0.439 0.853  0.439 0.944  0.439 1.034  0.439 1.125  0.439 1.216  0.484 1.288  0.548 1.352  0.612 1.416  0.701 1.420  0.792 1.420  0.882 1.420  0.973 1.420
3#apa#apa04#app0411/n  -0.540 0.084  -0.540 -0.071  -0.540 -0.226  -0.666 -0.255  -0.789 -0.334  -0.906 -0.425  -1.050 -0.437  -1.050 -0.592  -1.050 -0.747  -1.187 -0.764  -1.219 -0.888  -1.111 -0.934  -0.956 -0.934  -0.880 -0.855  -0.815 -0.764  -0.710 -0.714  -0.674 -0.595  -0.525 -0.580  -0.416 -0.470  -0.371 -0.334  -0.371 -0.178  -0.327 -0.041  -0.217 0.068  -0.107 0.178  0.003 0.288  0.112 0.397  0.222 0.507  0.323 0.623  0.393 0.762  0.462 0.901  0.562 1.017  0.682 1.103  0.818 1.122  0.822 1.273  0.977 1.273  0.988 1.128  0.929 0.986  0.860 0.848  0.818 0.702  0.818 0.547  0.818 0.392  0.818 0.237  0.818 0.082  0.818 -0.074  0.717 -0.187  0.648 -0.314  0.648 -0.469  0.648 -0.624  0.648 -0.779  0.648 -0.934
3#apa#apa04#app0411/e  -0.155 0.280  -0.060 0.185  0.042 0.111  0.176 0.111  0.310 0.111  0.444 0.111  0.577 0.111  0.705 0.125  0.800 0.220  0.860 0.328  0.873 0.449  1.007 0.449  1.029 0.560  1.029 0.694  1.029 0.828  1.025 0.957  0.891 0.957  0.757 0.957  0.624 0.957  0.499 0.934  0.405 0.840  0.293 0.788  0.159 0.788  0.025 0.788  -0.073 0.701  -0.172 0.618  -0.306 0.618  -0.406 0.537  -0.493 0.439  -0.493 0.305  -0.570 0.203  -0.664 0.109  -0.759 0.014  -0.832 -0.089  -0.832 -0.223  -0.832 -0.357  -0.832 -0.490  -0.832 -0.624  -0.832 -0.758  -0.832 -0.892  -0.832 -1.025  -0.771 -1.134  -0.677 -1.228  -0.549 -1.243  -0.415 -1.243  -0.294 -1.273  -0.199 -1.367  -0.084 -1.412  0.050 -1.412  0.183 -1.412
3#apa#apa04#app0411/d  0.199 -0.821  0.199 -0.616  0.310 -0.456  0.270 -0.313  0.192 -0.186  -0.013 -0.186  -0.219 -0.186  -0.424 -0.186  -0.576 -0.313  -0.755 -0.379  -0.900 -0.524  -1.070 -0.584  -1.137 -0.761  -1.197 -0.942  -1.124 -1.075  -0.919 -1.075  -0.714 -1.075  -0.561 -0.947  -0.416 -0.802  -0.309 -0.641  -0.182 -0.563  -0.123 -0.382  -0.055 -0.205  0.029 -0.019  0.106 0.170  0.171 0.365  0.199 0.566  0.199 0.771  0.265 0.961  0.326 1.152  0.430 1.314  0.485 1.496  0.580 1.662  0.580 1.820  0.508 1.645  0.453 1.462  0.453 1.257  0.341 1.098  0.326 0.899  0.326 0.694  0.326 0.489  0.326 0.284  0.326 0.078  0.326 -0.127  0.326 -0.332  0.326 -0.537  0.326 -0.743  0.383 -0.934  0.501 -1.075  0.580 -1.201
3#apa#apa04#app0411/^  -1.182 -0.708  -1.182 -0.575  -1.182 -0.441  -1.182 -0.308  -1.182 -0.175  -1.114 -0.109  -0.981 -0.109  -0.883 -0.074  -0.883 0.060  -0.883 0.193  -0.883 0.326  -0.883 0.460  -0.779 0.489  -0.646 0.489  -0.533 0.540  -0.439 0.634  -0.345 0.728  -0.237 0.789  -0.103 0.789  0.026 0.799  0.120 0.894  0.214 0.988  0.309 1.082  0.440 1.088  0.573 1.088  0.614 0.996  0.614 0.862  0.614 0.729  0.614 0.596  0.614 0.462  0.614 0.329  0.614 0.196  0.614 0.062  0.614 -0.071  0.614 -0.204  0.614 -0.338  0.551 -0.409  0.418 -0.409  0.315 -0.438  0.315 -0.572  0.315 -0.705  0.315 -0.839  0.315 -0.972  0.413 -1.007  0.546 -1.007  0.614 -1.073  0.614 -1.206  0.647 -1.307  0.780 -1.307  0.913 -1.307
