2#apb#apb22#app2237/a  0.761 0.808  0.784 0.972  0.705 1.116  0.601 1.234  0.448 1.260  0.287 1.216  0.148 1.131  0.016 1.030  -0.110 0.923  -0.220 0.799  -0.331 0.676  -0.442 0.552  -0.543 0.421  -0.633 0.282  -0.724 0.143  -0.815 0.004  -0.901 -0.138  -0.981 -0.283  -1.061 -0.428  -1.141 -0.574  -1.190 -0.732  -1.239 -0.891  -1.170 -1.040  -1.038 -1.086  -0.873 -1.072  -0.732 -0.990  -0.596 -0.895  -0.460 -0.800  -0.327 -0.702  -0.203 -0.591  -0.079 -0.481  0.044 -0.370  0.165 -0.257  0.283 -0.139  0.400 -0.022  0.517 0.095  0.635 0.213  0.752 0.330  0.869 0.447  0.988 0.559  1.007 0.423  0.963 0.264  0.901 0.110  0.840 -0.044  0.777 -0.198  0.706 -0.348  0.635 -0.498  0.564 -0.648  0.526 -0.809  0.489 -0.971
2#apb#apb22#app2237/l  0.297 1.454  0.304 1.495  0.324 1.480  0.337 1.470  0.352 1.402  0.352 1.331  0.352 1.261  0.352 1.190  0.350 1.120  0.330 1.052  0.310 0.984  0.290 0.917  0.270 0.849  0.250 0.781  0.230 0.714  0.211 0.646  0.192 0.578  0.174 0.510  0.155 0.442  0.137 0.374  0.118 0.306  0.099 0.238  0.081 0.170  0.062 0.102  0.041 0.034  0.016 -0.031  -0.010 -0.097  -0.035 -0.163  -0.060 -0.229  -0.086 -0.295  -0.111 -0.361  -0.136 -0.426  -0.162 -0.492  -0.187 -0.558  -0.212 -0.624  -0.232 -0.692  -0.247 -0.760  -0.263 -0.829  -0.279 -0.898  -0.294 -0.967  -0.310 -1.036  -0.325 -1.104  -0.341 -1.173  -0.357 -1.242  -0.367 -1.312  -0.376 -1.382  -0.386 -1.451  -0.395 -1.521  -0.404 -1.591  -0.413 -1.661
2#apb#apb22#app2237/m  -0.512 0.846  -0.548 0.993  -0.567 1.029  -0.640 0.896  -0.711 0.763  -0.774 0.625  -0.836 0.487  -0.889 0.345  -0.942 0.203  -0.996 0.062  -1.060 -0.076  -1.123 -0.213  -1.167 -0.357  -1.197 -0.506  -1.203 -0.657  -1.116 -0.635  -1.008 -0.528  -0.895 -0.428  -0.777 -0.334  -0.662 -0.235  -0.555 -0.128  -0.448 -0.021  -0.340 0.086  -0.228 0.188  -0.116 0.290  0.005 0.380  0.135 0.458  0.265 0.536  0.369 0.523  0.437 0.399  0.384 0.257  0.342 0.112  0.304 -0.035  0.262 -0.181  0.221 -0.313  0.344 -0.347  0.465 -0.256  0.594 -0.179  0.740 -0.139  0.880 -0.087  1.007 -0.003  1.142 0.064  1.255 -0.013  1.364 -0.114  1.403 -0.256  1.403 -0.408  1.438 -0.554  1.470 -0.702  1.517 -0.845  1.562 -0.988
2#apb#apb22#app2237/n  -0.253 0.965  -0.231 0.935  -0.308 0.813  -0.392 0.696  -0.475 0.577  -0.555 0.457  -0.635 0.337  -0.717 0.218  -0.800 0.099  -0.883 -0.019  -0.968 -0.136  -1.055 -0.252  -1.140 -0.368  -1.199 -0.500  -1.258 -0.632  -1.286 -0.770  -1.221 -0.810  -1.100 -0.731  -0.980 -0.651  -0.859 -0.572  -0.734 -0.499  -0.609 -0.426  -0.484 -0.353  -0.371 -0.265  -0.265 -0.167  -0.159 -0.069  -0.052 0.029  0.055 0.126  0.171 0.211  0.288 0.297  0.405 0.382  0.521 0.468  0.635 0.557  0.744 0.652  0.852 0.747  0.984 0.781  1.123 0.757  1.149 0.628  1.149 0.484  1.135 0.341  1.106 0.199  1.078 0.057  1.054 -0.085  1.030 -0.228  1.006 -0.370  0.962 -0.507  0.913 -0.643  0.864 -0.779  0.870 -0.921  0.891 -1.064
2#apb#apb22#app2237/o  -0.323 0.312  -0.313 0.449  -0.243 0.569  -0.204 0.699  -0.239 0.824  -0.352 0.770  -0.451 0.673  -0.539 0.566  -0.625 0.456  -0.700 0.339  -0.776 0.222  -0.852 0.105  -0.913 -0.020  -0.969 -0.147  -1.024 -0.275  -1.046 -0.411  -1.056 -0.550  -1.048 -0.686  -1.004 -0.819  -0.946 -0.939  -0.823 -1.005  -0.701 -1.071  -0.573 -1.062  -0.444 -1.011  -0.314 -0.961  -0.184 -0.910  -0.060 -0.849  0.058 -0.774  0.175 -0.699  0.292 -0.624  0.410 -0.549  0.521 -0.466  0.622 -0.371  0.723 -0.275  0.824 -0.179  0.925 -0.083  1.010 0.027  1.084 0.145  1.157 0.263  1.208 0.389  1.219 0.528  1.198 0.656  1.108 0.762  0.990 0.833  0.864 0.891  0.735 0.923  0.599 0.892  0.463 0.861  0.332 0.813  0.201 0.766
2#apb#apb22#app2237/p  -0.236 0.724  -0.268 0.565  -0.324 0.411  -0.383 0.258  -0.440 0.105  -0.504 -0.046  -0.570 -0.196  -0.626 -0.350  -0.682 -0.504  -0.746 -0.655  -0.815 -0.803  -0.855 -0.962  -0.890 -1.122  -0.988 -1.253  -1.059 -1.364  -1.013 -1.207  -0.942 -1.059  -0.877 -0.909  -0.814 -0.758  -0.718 -0.626  -0.631 -0.487  -0.549 -0.345  -0.456 -0.211  -0.350 -0.087  -0.243 0.038  -0.134 0.160  -0.023 0.281  0.088 0.401  0.202 0.519  0.325 0.626  0.449 0.734  0.576 0.837  0.718 0.918  0.861 0.998  1.004 1.078  1.148 1.155  1.276 1.077  1.270 0.914  1.232 0.755  1.178 0.602  1.095 0.460  1.010 0.321  0.901 0.198  0.793 0.075  0.672 -0.035  0.548 -0.142  0.416 -0.239  0.277 -0.318  0.114 -0.315  -0.017 -0.217
2#apb#apb22#app2237/q  0.607 1.280  0.414 1.280  0.225 1.248  0.053 1.165  -0.109 1.060  -0.256 0.936  -0.387 0.794  -0.512 0.647  -0.599 0.476  -0.661 0.294  -0.625 0.123  -0.451 0.073  -0.268 0.114  -0.089 0.187  0.070 0.295  0.224 0.412  0.371 0.536  0.513 0.667  0.623 0.826  0.675 1.006  0.576 1.161  0.446 1.232  0.494 1.167  0.476 0.987  0.430 0.800  0.355 0.622  0.285 0.441  0.220 0.260  0.154 0.078  0.082 -0.101  0.010 -0.280  -0.065 -0.458  -0.141 -0.636  -0.218 -0.813  -0.298 -0.989  -0.331 -1.156  -0.183 -1.034  -0.016 -0.938  0.152 -0.842  0.319 -0.746  0.432 -0.687  0.280 -0.806  0.124 -0.921  -0.032 -1.034  -0.183 -1.155  -0.334 -1.275  -0.490 -1.389  -0.642 -1.508  -0.784 -1.639  -0.935 -1.759
2#apb#apb22#app2237/r  -0.140 0.243  -0.100 0.362  -0.083 0.400  -0.083 0.383  -0.138 0.337  -0.211 0.234  -0.258 0.118  -0.297 -0.001  -0.337 -0.120  -0.389 -0.235  -0.442 -0.349  -0.495 -0.463  -0.545 -0.579  -0.595 -0.694  -0.644 -0.810  -0.693 -0.926  -0.740 -1.043  -0.787 -1.160  -0.813 -1.282  -0.791 -1.315  -0.740 -1.200  -0.689 -1.085  -0.633 -0.972  -0.577 -0.859  -0.521 -0.747  -0.465 -0.634  -0.397 -0.528  -0.328 -0.423  -0.258 -0.319  -0.188 -0.214  -0.118 -0.109  -0.047 -0.005  0.024 0.098  0.095 0.202  0.166 0.306  0.237 0.410  0.318 0.506  0.403 0.598  0.489 0.691  0.574 0.783  0.669 0.865  0.769 0.942  0.868 1.019  0.968 1.095  1.085 1.141  1.203 1.184  1.329 1.184  1.409 1.109  1.451 0.991  1.486 0.870
2#apb#apb22#app2237/s  0.217 1.008  0.254 1.119  0.301 1.226  0.344 1.335  0.311 1.366  0.198 1.353  0.103 1.284  0.010 1.213  -0.077 1.135  -0.164 1.056  -0.253 0.980  -0.346 0.908  -0.438 0.836  -0.532 0.766  -0.625 0.696  -0.690 0.601  -0.750 0.502  -0.722 0.392  -0.648 0.313  -0.543 0.260  -0.442 0.201  -0.341 0.142  -0.239 0.085  -0.123 0.070  -0.007 0.056  0.110 0.041  0.222 0.011  0.330 -0.034  0.438 -0.079  0.536 -0.142  0.628 -0.214  0.714 -0.292  0.766 -0.397  0.763 -0.508  0.737 -0.623  0.683 -0.724  0.616 -0.820  0.547 -0.915  0.440 -0.963  0.333 -1.010  0.229 -1.065  0.126 -1.120  0.023 -1.176  -0.088 -1.209  -0.203 -1.229  -0.319 -1.249  -0.434 -1.270  -0.550 -1.288  -0.666 -1.306  -0.782 -1.323
2#apb#apb22#app2237/t  0.570 0.831  0.583 0.990  0.640 1.141  0.646 1.234  0.601 1.079  0.533 0.933  0.461 0.789  0.393 0.643  0.326 0.496  0.276 0.343  0.228 0.189  0.178 0.036  0.125 -0.116  0.072 -0.268  0.019 -0.420  -0.021 -0.576  -0.060 -0.733  -0.099 -0.889  -0.133 -1.047  -0.165 -1.205  -0.200 -1.362  -0.242 -1.517  -0.262 -1.676  -0.194 -1.673  -0.222 -1.519  -0.261 -1.363  -0.300 -1.206  -0.338 -1.050  -0.377 -0.894  -0.416 -0.737  -0.454 -0.581  -0.493 -0.424  -0.532 -0.268  -0.570 -0.111  -0.609 0.045  -0.648 0.202  -0.686 0.358  -0.725 0.515  -0.657 0.622  -0.511 0.691  -0.364 0.757  -0.209 0.795  -0.049 0.816  0.111 0.836  0.271 0.851  0.431 0.866  0.592 0.882  0.753 0.890  0.914 0.899  1.075 0.907
2#apb#apb22#app2237/u  -0.136 0.849  -0.026 0.959  -0.026 1.126  -0.160 1.105  -0.253 0.965  -0.364 0.840  -0.482 0.722  -0.577 0.584  -0.667 0.442  -0.757 0.300  -0.832 0.150  -0.907 0.000  -0.980 -0.150  -1.037 -0.308  -1.095 -0.465  -1.140 -0.626  -1.177 -0.790  -1.178 -0.955  -1.130 -1.056  -0.987 -0.975  -0.830 -0.917  -0.673 -0.858  -0.532 -0.767  -0.391 -0.677  -0.250 -0.586  -0.119 -0.483  -0.000 -0.364  0.118 -0.245  0.237 -0.127  0.352 -0.005  0.447 0.133  0.542 0.271  0.637 0.409  0.732 0.547  0.856 0.660  0.982 0.770  1.088 0.899  1.083 0.837  1.005 0.688  0.930 0.538  0.860 0.386  0.798 0.230  0.738 0.074  0.719 -0.093  0.704 -0.259  0.719 -0.426  0.734 -0.593  0.767 -0.757  0.808 -0.920  0.848 -1.083
2#apb#apb22#app2237/v  -0.768 0.528  -0.755 0.637  -0.753 0.746  -0.748 0.849  -0.793 0.877  -0.815 0.789  -0.815 0.680  -0.815 0.570  -0.815 0.460  -0.815 0.350  -0.808 0.241  -0.795 0.132  -0.783 0.023  -0.770 -0.087  -0.745 -0.193  -0.718 -0.300  -0.691 -0.406  -0.660 -0.511  -0.620 -0.614  -0.581 -0.716  -0.527 -0.811  -0.456 -0.894  -0.390 -0.981  -0.329 -1.073  -0.225 -1.047  -0.129 -0.999  -0.046 -0.927  0.035 -0.853  0.108 -0.771  0.182 -0.690  0.249 -0.603  0.302 -0.507  0.356 -0.411  0.409 -0.315  0.462 -0.219  0.527 -0.131  0.592 -0.042  0.657 0.046  0.722 0.135  0.787 0.223  0.856 0.309  0.925 0.395  0.993 0.480  1.062 0.566  1.132 0.650  1.203 0.734  1.274 0.818  1.351 0.895  1.443 0.956  1.534 1.017
2#apb#apb22#app2237/w  -0.796 0.467  -0.762 0.601  -0.701 0.719  -0.612 0.820  -0.605 0.913  -0.645 0.788  -0.692 0.658  -0.741 0.530  -0.791 0.401  -0.833 0.269  -0.874 0.138  -0.915 0.006  -0.951 -0.127  -0.984 -0.261  -1.018 -0.395  -1.054 -0.528  -1.069 -0.657  -0.961 -0.713  -0.853 -0.631  -0.746 -0.544  -0.642 -0.453  -0.550 -0.351  -0.457 -0.249  -0.364 -0.146  -0.273 -0.043  -0.179 0.058  -0.071 0.144  0.043 0.188  0.107 0.080  0.123 -0.057  0.123 -0.195  0.136 -0.332  0.157 -0.468  0.235 -0.576  0.356 -0.627  0.486 -0.583  0.617 -0.540  0.733 -0.467  0.845 -0.386  0.955 -0.303  1.058 -0.211  1.161 -0.120  1.245 -0.010  1.326 0.101  1.403 0.215  1.473 0.335  1.542 0.454  1.602 0.578  1.663 0.701  1.749 0.808
2#apb#apb22#app2237/x  -0.414 1.611  -0.343 1.703  -0.259 1.559  -0.184 1.410  -0.111 1.260  -0.041 1.108  0.033 0.959  0.118 0.815  0.202 0.671  0.275 0.522  0.337 0.367  0.399 0.212  0.459 0.056  0.517 -0.100  0.575 -0.257  0.656 -0.401  0.751 -0.538  0.848 -0.674  0.965 -0.765  0.799 -0.780  0.633 -0.794  0.466 -0.809  0.300 -0.824  0.134 -0.839  -0.032 -0.854  -0.199 -0.868  -0.365 -0.883  -0.531 -0.898  -0.697 -0.913  -0.863 -0.927  -1.030 -0.942  -1.176 -0.911  -1.203 -0.775  -1.119 -0.631  -1.021 -0.497  -0.908 -0.374  -0.794 -0.252  -0.656 -0.160  -0.512 -0.077  -0.367 0.006  -0.222 0.088  -0.077 0.172  0.066 0.257  0.210 0.342  0.353 0.427  0.497 0.512  0.650 0.579  0.805 0.641  0.960 0.703  1.114 0.765
2#apb#apb22#app2237/y  -0.319 1.179  -0.391 1.207  -0.391 1.091  -0.384 0.974  -0.363 0.860  -0.325 0.750  -0.277 0.643  -0.225 0.539  -0.171 0.435  -0.114 0.333  -0.030 0.254  0.079 0.224  0.157 0.311  0.234 0.398  0.312 0.486  0.389 0.573  0.466 0.661  0.544 0.748  0.621 0.835  0.699 0.923  0.776 1.010  0.753 0.929  0.691 0.830  0.630 0.731  0.569 0.631  0.512 0.529  0.454 0.427  0.397 0.326  0.340 0.224  0.286 0.120  0.233 0.016  0.179 -0.088  0.125 -0.191  0.071 -0.295  0.014 -0.396  -0.044 -0.498  -0.102 -0.600  -0.159 -0.701  -0.217 -0.803  -0.273 -0.905  -0.330 -1.007  -0.386 -1.109  -0.443 -1.212  -0.499 -1.314  -0.553 -1.418  -0.605 -1.522  -0.657 -1.627  -0.709 -1.731  -0.758 -1.837  -0.807 -1.943
2#apb#apb22#app2237/z  -0.513 0.921  -0.607 1.019  -0.700 1.038  -0.677 0.998  -0.538 0.985  -0.399 0.978  -0.259 0.991  -0.119 0.998  0.021 0.998  0.161 1.006  0.295 1.046  0.431 1.076  0.571 1.076  0.703 1.039  0.757 0.927  0.718 0.803  0.616 0.706  0.511 0.614  0.411 0.516  0.322 0.408  0.229 0.302  0.137 0.197  0.033 0.103  -0.071 0.009  -0.173 -0.088  -0.272 -0.187  -0.373 -0.284  -0.486 -0.368  -0.596 -0.455  -0.701 -0.547  -0.808 -0.638  -0.919 -0.724  -0.996 -0.830  -0.915 -0.913  -0.783 -0.942  -0.643 -0.932  -0.503 -0.923  -0.363 -0.911  -0.224 -0.898  -0.084 -0.884  0.056 -0.871  0.195 -0.852  0.333 -0.831  0.472 -0.810  0.611 -0.791  0.751 -0.791  0.891 -0.791  1.031 -0.795  1.166 -0.831  1.302 -0.868
