1c#app#app31#app3196/p  0.210 1.310  0.126 1.430  0.042 1.551  -0.031 1.419  -0.031 1.215  -0.031 1.010  -0.031 0.806  -0.031 0.601  -0.031 0.397  -0.031 0.192  -0.031 -0.012  -0.031 -0.217  -0.031 -0.421  -0.031 -0.626  -0.031 -0.830  -0.031 -1.035  -0.031 -1.239  -0.031 -1.444  -0.078 -1.629  -0.151 -1.803  -0.197 -1.896  -0.271 -1.723  -0.271 -1.518  -0.375 -1.357  -0.392 -1.159  -0.392 -0.954  -0.392 -0.750  -0.392 -0.545  -0.343 -0.349  -0.278 -0.155  -0.271 0.049  -0.252 0.245  -0.124 0.401  -0.032 0.584  0.090 0.668  0.206 0.824  0.331 0.977  0.443 1.069  0.598 1.189  0.692 1.079  0.692 0.875  0.581 0.716  0.521 0.537  0.377 0.392  0.268 0.221  0.157 0.052  -0.019 -0.015  -0.103 -0.136  -0.271 -0.099  -0.271 0.105
1c#app#app31#app3196/t  0.216 0.931  0.281 1.061  0.330 1.195  0.330 1.340  0.330 1.485  0.330 1.631  0.283 1.728  0.138 1.728  0.103 1.618  0.090 1.476  0.025 1.346  -0.011 1.209  -0.011 1.063  -0.011 0.918  -0.025 0.775  -0.071 0.637  -0.117 0.499  -0.125 0.355  -0.125 0.210  -0.125 0.065  -0.125 -0.081  -0.125 -0.226  -0.125 -0.371  -0.125 -0.517  -0.125 -0.662  -0.125 -0.807  -0.125 -0.953  -0.125 -1.098  -0.119 -1.241  -0.016 -1.344  0.014 -1.462  0.103 -1.518  0.095 -1.488  0.083 -1.344  0.071 -1.199  0.059 -1.054  0.047 -0.909  0.035 -0.764  0.023 -0.619  0.011 -0.475  -0.001 -0.330  -0.028 -0.226  -0.133 -0.323  -0.279 -0.323  -0.424 -0.323  -0.365 -0.323  -0.220 -0.323  -0.074 -0.323  0.071 -0.323  0.216 -0.323
1c#app#app31#app3196/e  -0.096 -0.058  -0.250 -0.058  -0.325 0.022  -0.319 0.171  -0.164 0.171  -0.010 0.171  0.134 0.183  0.134 0.338  0.226 0.401  0.381 0.401  0.536 0.401  0.691 0.401  0.846 0.401  1.001 0.401  1.156 0.401  1.282 0.430  1.282 0.584  1.173 0.631  1.028 0.655  0.919 0.764  0.804 0.860  0.649 0.860  0.494 0.860  0.339 0.860  0.184 0.860  0.029 0.860  -0.117 0.839  -0.227 0.729  -0.336 0.619  -0.446 0.510  -0.555 0.400  -0.555 0.245  -0.636 0.171  -0.784 0.165  -0.784 0.010  -0.784 -0.145  -0.784 -0.300  -0.784 -0.455  -0.784 -0.610  -0.784 -0.765  -0.784 -0.920  -0.715 -1.046  -0.605 -1.156  -0.555 -1.290  -0.546 -1.436  -0.391 -1.436  -0.236 -1.436  -0.085 -1.446  0.025 -1.556  0.134 -1.665
1c#app#app31#app3196/d  -0.023 -0.573  -0.074 -0.407  -0.236 -0.343  -0.309 -0.227  -0.493 -0.236  -0.600 -0.380  -0.678 -0.536  -0.715 -0.709  -0.715 -0.897  -0.715 -1.085  -0.600 -1.158  -0.519 -1.265  -0.446 -1.150  -0.369 -1.039  -0.300 -0.919  -0.235 -0.786  -0.138 -0.638  -0.134 -0.451  -0.050 -0.282  0.067 -0.138  0.092 0.040  0.127 0.222  0.187 0.401  0.208 0.585  0.233 0.769  0.292 0.948  0.363 1.122  0.445 1.291  0.504 1.469  0.554 1.649  0.554 1.838  0.439 1.787  0.378 1.613  0.323 1.438  0.316 1.251  0.257 1.072  0.208 0.892  0.208 0.704  0.178 0.518  0.147 0.333  0.116 0.147  0.092 -0.039  0.092 -0.227  0.092 -0.415  0.092 -0.603  0.092 -0.791  0.092 -0.980  0.092 -1.168  0.183 -1.265  0.323 -1.381
1c#app#app31#app3196/l  0.360 1.106  0.360 1.183  0.337 1.236  0.260 1.236  0.230 1.283  0.230 1.359  0.161 1.366  0.101 1.349  0.101 1.273  0.101 1.196  0.101 1.120  0.101 1.044  0.101 0.967  0.101 0.891  0.101 0.814  0.101 0.738  0.101 0.662  0.099 0.586  0.045 0.532  -0.009 0.478  -0.029 0.410  -0.029 0.333  -0.029 0.257  -0.029 0.181  -0.029 0.104  -0.029 0.028  -0.029 -0.049  -0.029 -0.125  -0.029 -0.201  -0.029 -0.278  -0.029 -0.354  -0.029 -0.431  -0.029 -0.507  -0.029 -0.583  -0.029 -0.660  -0.029 -0.736  -0.029 -0.813  -0.052 -0.884  -0.086 -0.952  -0.120 -1.020  -0.154 -1.089  -0.158 -1.164  -0.165 -1.239  -0.199 -1.307  -0.233 -1.376  -0.267 -1.444  -0.288 -1.515  -0.288 -1.592  -0.288 -1.668  -0.288 -1.745
1c#app#app31#app3196/e  -0.859 -0.124  -0.859 0.050  -0.709 0.073  -0.536 0.073  -0.393 0.146  -0.270 0.269  -0.097 0.269  0.060 0.336  0.215 0.413  0.376 0.466  0.549 0.466  0.722 0.466  0.896 0.466  1.069 0.466  1.242 0.466  1.303 0.578  1.214 0.663  1.060 0.709  0.937 0.832  0.775 0.859  0.602 0.859  0.429 0.859  0.275 0.813  0.152 0.691  -0.009 0.663  -0.183 0.663  -0.347 0.624  -0.502 0.546  -0.657 0.469  -0.780 0.348  -0.903 0.226  -1.025 0.103  -1.055 -0.058  -1.055 -0.231  -1.055 -0.404  -0.995 -0.517  -0.859 -0.554  -0.845 -0.713  -0.671 -0.713  -0.546 -0.829  -0.413 -0.936  -0.258 -1.014  -0.103 -1.091  0.067 -1.106  0.240 -1.106  0.413 -1.106  0.587 -1.106  0.760 -1.106  0.933 -1.106  1.106 -1.106
1c#app#app31#app3196/v  -0.494 0.543  -0.602 0.543  -0.710 0.543  -0.818 0.543  -0.925 0.543  -0.933 0.442  -0.933 0.335  -0.933 0.227  -0.933 0.119  -0.933 0.011  -0.933 -0.097  -0.933 -0.204  -0.933 -0.312  -0.933 -0.420  -0.933 -0.528  -0.933 -0.636  -0.933 -0.743  -0.856 -0.774  -0.748 -0.774  -0.640 -0.774  -0.533 -0.774  -0.425 -0.774  -0.317 -0.774  -0.228 -0.728  -0.152 -0.652  -0.076 -0.575  0.023 -0.555  0.131 -0.555  0.217 -0.502  0.293 -0.426  0.370 -0.349  0.446 -0.273  0.522 -0.197  0.598 -0.121  0.603 -0.015  0.603 0.093  0.672 0.172  0.748 0.249  0.825 0.323  0.933 0.323  1.040 0.323  1.042 0.429  1.042 0.537  1.114 0.615  1.191 0.691  1.261 0.770  1.261 0.878  1.261 0.985  1.261 1.093  1.261 1.201
1c#app#app31#app3196/e  0.155 -0.415  0.155 -0.249  0.155 -0.084  0.155 0.082  0.155 0.248  0.168 0.408  0.285 0.526  0.403 0.643  0.520 0.760  0.637 0.877  0.779 0.936  0.944 0.936  0.821 0.936  0.655 0.936  0.489 0.936  0.323 0.936  0.158 0.936  0.040 0.820  -0.078 0.703  -0.228 0.665  -0.394 0.665  -0.559 0.665  -0.705 0.616  -0.822 0.499  -0.945 0.395  -1.111 0.395  -1.196 0.314  -1.196 0.149  -1.196 -0.017  -1.169 -0.172  -1.052 -0.289  -0.934 -0.406  -0.772 -0.415  -0.655 -0.464  -0.655 -0.630  -0.545 -0.685  -0.379 -0.685  -0.214 -0.685  -0.048 -0.685  0.118 -0.685  0.155 -0.814  0.179 -0.955  0.345 -0.955  0.511 -0.955  0.677 -0.955  0.843 -0.955  1.008 -0.955  1.174 -0.955  1.340 -0.955  1.506 -0.955
1c#app#app31#app3196/r  -0.115 -0.192  -0.115 -0.306  -0.115 -0.419  -0.161 -0.486  -0.274 -0.486  -0.387 -0.486  -0.473 -0.551  -0.554 -0.631  -0.634 -0.711  -0.714 -0.791  -0.794 -0.871  -0.874 -0.951  -0.954 -1.031  -0.941 -1.073  -0.828 -1.073  -0.714 -1.073  -0.702 -0.972  -0.702 -0.859  -0.678 -0.756  -0.598 -0.676  -0.518 -0.596  -0.438 -0.515  -0.358 -0.435  -0.278 -0.355  -0.198 -0.275  -0.118 -0.195  -0.115 -0.083  -0.115 0.030  -0.073 0.101  0.040 0.101  0.154 0.101  0.179 0.189  0.179 0.303  0.194 0.410  0.274 0.490  0.354 0.570  0.434 0.650  0.514 0.730  0.594 0.810  0.674 0.890  0.754 0.970  0.766 1.078  0.766 1.192  0.795 1.276  0.909 1.276  1.022 1.276  1.113 1.222  1.193 1.142  1.273 1.062  1.353 0.982
1c#app#app31#app3196/h  -0.144 1.803  -0.152 1.924  -0.264 1.908  -0.264 1.779  -0.264 1.650  -0.264 1.522  -0.264 1.393  -0.264 1.265  -0.264 1.136  -0.264 1.008  -0.264 0.879  -0.264 0.751  -0.264 0.622  -0.312 0.505  -0.369 0.390  -0.385 0.265  -0.385 0.136  -0.385 0.008  -0.385 -0.121  -0.385 -0.249  -0.385 -0.378  -0.385 -0.506  -0.385 -0.635  -0.385 -0.763  -0.385 -0.892  -0.331 -0.966  -0.264 -0.904  -0.215 -0.796  -0.144 -0.696  -0.118 -0.579  -0.027 -0.488  -0.021 -0.362  0.070 -0.271  0.097 -0.153  0.166 -0.054  0.257 -0.043  0.338 -0.138  0.338 -0.266  0.338 -0.395  0.338 -0.524  0.338 -0.652  0.393 -0.725  0.458 -0.789  0.530 -0.846  0.578 -0.925  0.666 -0.966  0.795 -0.966  0.923 -0.966  1.052 -0.966  1.180 -0.966
1c#app#app31#app3196/e  -0.825 0.001  -0.825 0.156  -0.742 0.275  -0.633 0.383  -0.478 0.383  -0.324 0.383  -0.170 0.383  -0.029 0.415  0.080 0.524  0.213 0.575  0.367 0.575  0.512 0.584  0.512 0.738  0.639 0.766  0.703 0.855  0.650 0.957  0.496 0.957  0.342 0.957  0.188 0.957  0.034 0.957  -0.114 0.930  -0.252 0.861  -0.390 0.792  -0.510 0.698  -0.619 0.589  -0.634 0.441  -0.702 0.315  -0.811 0.206  -0.825 0.058  -0.825 -0.096  -0.825 -0.250  -0.825 -0.404  -0.825 -0.559  -0.725 -0.671  -0.609 -0.763  -0.455 -0.763  -0.316 -0.826  -0.178 -0.895  -0.037 -0.954  0.117 -0.954  0.271 -0.954  0.425 -0.954  0.579 -0.954  0.733 -0.954  0.888 -0.954  1.042 -0.954  1.196 -0.954  1.350 -0.954  1.504 -0.954  1.658 -0.954
