2#tos#t1#t1036060/!  0.420 1.534  0.420 1.613  0.420 1.575  0.394 1.507  0.347 1.446  0.322 1.371  0.321 1.292  0.321 1.213  0.315 1.135  0.302 1.057  0.289 0.979  0.244 0.916  0.194 0.854  0.155 0.789  0.155 0.710  0.151 0.632  0.110 0.564  0.070 0.497  0.056 0.422  0.056 0.343  0.050 0.266  0.006 0.200  -0.038 0.134  -0.076 0.067  -0.076 -0.012  -0.076 -0.091  -0.076 -0.170  -0.089 -0.246  -0.109 -0.320  -0.109 -0.399  -0.109 -0.478  -0.109 -0.557  -0.159 -0.586  -0.146 -0.619  -0.109 -0.577  -0.123 -0.606  -0.143 -0.682  -0.163 -0.758  -0.182 -0.835  -0.202 -0.911  -0.222 -0.988  -0.242 -1.064  -0.261 -1.141  -0.281 -1.217  -0.301 -1.293  -0.320 -1.370  -0.340 -1.446  -0.360 -1.523  -0.354 -1.579  -0.341 -1.646
2#tos#t1#t1036060/;  0.191 1.658  0.148 1.614  0.147 1.527  0.105 1.457  0.105 1.370  0.072 1.290  -0.002 1.269  -0.025 1.291  -0.025 1.203  -0.002 1.226  0.018 1.158  0.018 1.071  0.018 0.983  0.018 0.896  0.018 0.809  0.018 0.721  0.018 0.634  0.018 0.546  0.018 0.459  0.018 0.372  0.018 0.284  0.018 0.197  0.018 0.109  0.018 0.022  0.018 -0.065  0.018 -0.153  0.018 -0.240  0.018 -0.328  0.018 -0.415  0.018 -0.502  0.018 -0.590  0.018 -0.677  0.018 -0.764  -0.067 -0.785  -0.152 -0.807  -0.193 -0.883  -0.198 -0.819  -0.155 -0.775  -0.078 -0.764  -0.034 -0.807  -0.025 -0.886  -0.025 -0.973  -0.025 -1.061  -0.025 -1.148  -0.025 -1.235  -0.025 -1.323  -0.025 -1.410  -0.025 -1.498  -0.025 -1.585  -0.025 -1.672
2#tos#t1#t1036060/=  -0.787 1.018  -0.955 1.018  -1.031 0.870  -1.042 0.704  -0.900 0.678  -0.732 0.678  -0.564 0.678  -0.396 0.678  -0.228 0.678  -0.061 0.678  0.107 0.678  0.275 0.678  0.443 0.678  0.611 0.678  0.779 0.678  0.947 0.678  1.114 0.678  1.248 0.596  1.265 0.559  1.113 0.486  0.962 0.414  0.811 0.341  0.659 0.269  0.508 0.196  0.357 0.123  0.205 0.051  0.054 -0.022  -0.097 -0.095  -0.249 -0.167  -0.400 -0.240  -0.551 -0.313  -0.703 -0.385  -0.861 -0.426  -0.983 -0.537  -1.102 -0.656  -1.127 -0.813  -0.996 -0.850  -0.828 -0.850  -0.660 -0.850  -0.492 -0.850  -0.325 -0.850  -0.157 -0.850  0.011 -0.850  0.179 -0.850  0.347 -0.850  0.515 -0.850  0.683 -0.850  0.850 -0.850  1.016 -0.840  1.166 -0.765
2#tos#t1#t1036060/>  -0.611 1.260  -0.710 1.260  -0.808 1.260  -0.849 1.202  -0.849 1.103  -0.773 1.076  -0.679 1.045  -0.592 1.004  -0.523 0.934  -0.453 0.864  -0.384 0.795  -0.292 0.764  -0.196 0.741  -0.110 0.700  -0.041 0.630  0.029 0.560  0.098 0.491  0.196 0.488  0.279 0.473  0.328 0.405  0.418 0.369  0.516 0.369  0.588 0.333  0.619 0.239  0.683 0.191  0.772 0.152  0.813 0.079  0.790 -0.010  0.720 -0.079  0.675 -0.164  0.644 -0.257  0.585 -0.333  0.516 -0.403  0.472 -0.491  0.428 -0.579  0.372 -0.657  0.290 -0.711  0.210 -0.768  0.140 -0.838  0.070 -0.907  -0.005 -0.971  -0.083 -1.030  -0.162 -1.089  -0.236 -1.154  -0.305 -1.224  -0.375 -1.293  -0.444 -1.363  -0.514 -1.432  -0.584 -1.502  -0.671 -1.530
2#tos#t1#t1036060/?  -0.464 0.312  -0.504 0.200  -0.593 0.121  -0.695 0.059  -0.806 0.026  -0.872 0.091  -0.893 0.206  -0.893 0.326  -0.873 0.442  -0.821 0.544  -0.821 0.664  -0.738 0.747  -0.662 0.827  -0.584 0.884  -0.468 0.907  -0.358 0.955  -0.239 0.956  -0.119 0.956  0.001 0.956  0.120 0.956  0.240 0.956  0.352 0.923  0.459 0.891  0.528 0.795  0.617 0.751  0.669 0.645  0.680 0.530  0.680 0.411  0.661 0.303  0.608 0.216  0.564 0.111  0.491 0.016  0.430 -0.078  0.372 -0.174  0.287 -0.244  0.287 -0.363  0.240 -0.473  0.215 -0.588  0.179 -0.699  0.179 -0.819  0.215 -0.903  0.221 -1.022  0.236 -1.141  0.251 -1.260  0.266 -1.379  0.281 -1.497  0.287 -1.617  0.251 -1.701  0.251 -1.820  0.287 -1.904
2#tos#t1#t1036060/@  0.116 -0.857  0.116 -1.042  0.036 -1.171  -0.135 -1.216  -0.320 -1.216  -0.505 -1.216  -0.656 -1.115  -0.786 -1.017  -0.820 -0.851  -0.887 -0.678  -0.921 -0.499  -0.921 -0.314  -0.960 -0.138  -0.960 0.047  -0.949 0.225  -0.863 0.366  -0.841 0.549  -0.713 0.665  -0.604 0.814  -0.478 0.948  -0.371 1.056  -0.262 1.178  -0.109 1.255  0.056 1.322  0.237 1.335  0.422 1.335  0.506 1.206  0.646 1.123  0.749 0.981  0.753 0.797  0.791 0.621  0.833 0.446  0.833 0.261  0.833 0.076  0.780 -0.100  0.753 -0.281  0.705 -0.451  0.581 -0.576  0.474 -0.707  0.360 -0.777  0.195 -0.757  0.076 -0.691  0.036 -0.546  0.036 -0.361  0.036 -0.176  0.102 -0.007  0.231 0.059  0.416 0.059  0.599 0.054  0.753 -0.020
2#tos#t1#t1036060/`  0.183 0.535  0.081 0.535  -0.021 0.535  -0.123 0.535  -0.225 0.535  -0.327 0.535  -0.430 0.535  -0.532 0.535  -0.634 0.535  -0.660 0.611  -0.660 0.713  -0.660 0.815  -0.660 0.917  -0.660 1.020  -0.741 1.041  -0.828 1.026  -0.828 0.924  -0.787 0.844  -0.702 0.788  -0.617 0.731  -0.532 0.674  -0.447 0.618  -0.362 0.561  -0.298 0.486  -0.252 0.394  -0.207 0.303  -0.161 0.211  -0.127 0.115  -0.094 0.018  -0.062 -0.078  -0.030 -0.175  0.003 -0.272  0.060 -0.354  0.132 -0.426  0.204 -0.498  0.277 -0.570  0.349 -0.643  0.421 -0.715  0.493 -0.787  0.566 -0.859  0.638 -0.932  0.710 -1.004  0.782 -1.076  0.855 -1.148  0.939 -1.206  1.024 -1.262  1.109 -1.319  1.194 -1.376  1.279 -1.432  1.364 -1.489
2#tos#t1#t1036060/}  -0.443 1.294  -0.510 1.343  -0.466 1.395  -0.369 1.395  -0.272 1.395  -0.205 1.340  -0.135 1.289  -0.106 1.204  -0.046 1.132  -0.005 1.052  -0.005 0.955  -0.005 0.859  -0.005 0.762  0.058 0.692  0.096 0.604  0.104 0.511  0.129 0.425  0.197 0.370  0.264 0.340  0.331 0.311  0.364 0.253  0.331 0.342  0.244 0.351  0.147 0.351  0.055 0.331  0.005 0.261  -0.073 0.216  -0.073 0.119  -0.073 0.023  -0.073 -0.074  -0.046 -0.166  -0.021 -0.258  0.023 -0.344  0.028 -0.440  0.028 -0.536  0.028 -0.633  0.040 -0.728  0.062 -0.821  0.062 -0.918  0.096 -1.007  0.096 -1.103  0.096 -1.200  0.096 -1.297  0.096 -1.394  0.096 -1.490  0.082 -1.581  0.028 -1.656  -0.031 -1.728  -0.111 -1.770  -0.207 -1.770
2#tos#t1#t1036060/~  -1.120 0.221  -1.120 0.130  -1.141 0.044  -1.182 -0.037  -1.213 -0.123  -1.241 -0.210  -1.255 -0.202  -1.255 -0.111  -1.235 -0.028  -1.171 0.036  -1.120 0.106  -1.120 0.197  -1.055 0.238  -0.967 0.260  -0.878 0.282  -0.788 0.289  -0.697 0.289  -0.606 0.289  -0.515 0.289  -0.423 0.289  -0.332 0.289  -0.244 0.286  -0.217 0.221  -0.154 0.176  -0.113 0.095  -0.032 0.061  0.055 0.032  0.129 -0.017  0.160 -0.095  0.163 -0.185  0.227 -0.250  0.308 -0.291  0.393 -0.318  0.484 -0.318  0.575 -0.318  0.666 -0.318  0.757 -0.318  0.847 -0.311  0.929 -0.271  1.007 -0.225  1.083 -0.174  1.159 -0.124  1.247 -0.112  1.328 -0.071  1.410 -0.030  1.491 0.011  1.578 0.037  1.666 0.059  1.755 0.081  1.778 0.154
2#tos#t1#t1036060/0  0.034 0.824  -0.061 0.873  -0.104 1.004  -0.238 1.017  -0.351 0.987  -0.476 0.969  -0.564 0.867  -0.643 0.748  -0.704 0.621  -0.739 0.483  -0.792 0.350  -0.833 0.215  -0.833 0.073  -0.833 -0.070  -0.833 -0.213  -0.833 -0.356  -0.833 -0.499  -0.833 -0.642  -0.833 -0.784  -0.754 -0.894  -0.653 -0.995  -0.537 -1.069  -0.398 -1.103  -0.255 -1.103  -0.112 -1.103  0.030 -1.103  0.171 -1.090  0.306 -1.043  0.438 -0.990  0.558 -0.917  0.659 -0.816  0.741 -0.701  0.843 -0.605  0.950 -0.516  0.950 -0.373  0.950 -0.230  0.950 -0.088  0.950 0.055  0.950 0.198  0.922 0.331  0.836 0.446  0.729 0.538  0.611 0.617  0.516 0.709  0.489 0.824  0.346 0.824  0.212 0.869  0.082 0.924  -0.016 0.969  -0.159 0.969
2#tos#t1#t1036060/2  -0.498 1.112  -0.612 1.065  -0.737 1.065  -0.829 1.098  -0.765 1.160  -0.640 1.160  -0.515 1.160  -0.390 1.160  -0.265 1.160  -0.140 1.160  -0.017 1.154  0.087 1.085  0.183 1.027  0.272 0.958  0.394 0.934  0.448 0.852  0.448 0.727  0.448 0.602  0.448 0.477  0.446 0.353  0.407 0.234  0.327 0.141  0.238 0.052  0.157 -0.043  0.079 -0.140  -0.006 -0.230  -0.110 -0.299  -0.183 -0.400  -0.271 -0.485  -0.372 -0.558  -0.461 -0.647  -0.549 -0.735  -0.649 -0.807  -0.687 -0.909  -0.667 -0.920  -0.542 -0.920  -0.417 -0.920  -0.292 -0.920  -0.167 -0.920  -0.042 -0.920  0.083 -0.920  0.208 -0.920  0.333 -0.920  0.458 -0.920  0.583 -0.920  0.708 -0.920  0.833 -0.920  0.957 -0.914  1.080 -0.893  1.204 -0.873
2#tos#t1#t1036060/3  0.007 1.412  -0.061 1.464  -0.182 1.464  -0.097 1.464  0.023 1.464  0.119 1.404  0.204 1.319  0.290 1.233  0.371 1.146  0.371 1.025  0.404 0.923  0.504 0.856  0.526 0.747  0.526 0.626  0.526 0.505  0.485 0.394  0.442 0.290  0.351 0.218  0.234 0.202  0.122 0.166  0.001 0.166  -0.120 0.166  -0.240 0.166  -0.350 0.166  -0.282 0.115  -0.168 0.093  -0.067 0.026  -0.044 -0.083  0.014 -0.145  0.128 -0.161  0.213 -0.247  0.281 -0.343  0.320 -0.457  0.371 -0.557  0.371 -0.677  0.371 -0.798  0.297 -0.886  0.197 -0.953  0.087 -1.000  -0.023 -1.047  -0.123 -1.114  -0.239 -1.131  -0.360 -1.131  -0.478 -1.148  -0.595 -1.178  -0.705 -1.227  -0.824 -1.234  -0.945 -1.234  -1.065 -1.234  -1.186 -1.234
2#tos#t1#t1036060/5  -0.024 1.034  -0.087 1.162  -0.195 1.246  -0.281 1.315  -0.343 1.136  -0.366 0.949  -0.395 0.761  -0.447 0.577  -0.456 0.388  -0.495 0.213  -0.482 0.025  -0.327 -0.035  -0.191 -0.136  -0.004 -0.163  0.187 -0.163  0.345 -0.217  0.489 -0.336  0.532 -0.485  0.532 -0.676  0.482 -0.854  0.404 -1.013  0.303 -1.163  0.191 -1.317  0.105 -1.488  -0.030 -1.624  -0.110 -1.782  -0.152 -1.732  -0.152 -1.541  -0.152 -1.350  -0.152 -1.158  -0.152 -0.967  -0.152 -0.776  -0.152 -0.584  -0.152 -0.393  -0.152 -0.202  -0.152 -0.010  -0.152 0.181  -0.152 0.372  -0.152 0.564  -0.152 0.755  -0.193 0.906  -0.380 0.941  -0.248 0.949  -0.056 0.949  0.135 0.949  0.326 0.949  0.517 0.949  0.709 0.949  0.899 0.960  1.088 0.991
2#tos#t1#t1036060/6  0.463 1.306  0.508 1.443  0.508 1.598  0.377 1.621  0.228 1.594  0.121 1.486  0.024 1.365  -0.058 1.234  -0.132 1.098  -0.181 0.951  -0.237 0.807  -0.306 0.669  -0.375 0.530  -0.457 0.399  -0.543 0.270  -0.572 0.124  -0.572 -0.031  -0.572 -0.186  -0.572 -0.341  -0.572 -0.496  -0.572 -0.651  -0.572 -0.806  -0.535 -0.956  -0.441 -1.074  -0.307 -1.137  -0.154 -1.163  0.000 -1.168  0.155 -1.168  0.310 -1.168  0.458 -1.134  0.602 -1.075  0.731 -0.989  0.817 -0.861  0.827 -0.709  0.868 -0.563  0.868 -0.409  0.868 -0.254  0.797 -0.143  0.664 -0.065  0.537 0.002  0.382 0.008  0.230 0.033  0.076 0.047  -0.079 0.047  -0.234 0.047  -0.389 0.047  -0.544 0.047  -0.686 -0.010  -0.824 -0.079  -0.932 -0.133
2#tos#t1#t1036060/7  -0.431 0.762  -0.495 0.831  -0.571 0.773  -0.571 0.639  -0.571 0.505  -0.571 0.371  -0.571 0.237  -0.571 0.103  -0.548 -0.008  -0.573 0.109  -0.613 0.237  -0.653 0.365  -0.693 0.493  -0.783 0.552  -0.851 0.618  -0.778 0.727  -0.648 0.748  -0.516 0.762  -0.382 0.762  -0.248 0.762  -0.114 0.762  0.020 0.762  0.154 0.762  0.288 0.762  0.422 0.758  0.552 0.725  0.676 0.676  0.793 0.621  0.863 0.516  0.863 0.382  0.863 0.248  0.863 0.114  0.863 -0.020  0.776 -0.113  0.675 -0.200  0.595 -0.307  0.532 -0.425  0.474 -0.546  0.431 -0.673  0.368 -0.789  0.281 -0.891  0.197 -0.994  0.175 -1.126  0.131 -1.250  0.062 -1.365  0.034 -1.496  -0.022 -1.615  -0.047 -1.742  -0.047 -1.876  -0.082 -2.002
2#tos#t1#t1036060/8  0.499 0.131  0.543 0.147  0.628 0.270  0.683 0.426  0.691 0.598  0.720 0.766  0.720 0.939  0.687 1.108  0.590 1.247  0.442 1.336  0.280 1.381  0.107 1.381  -0.066 1.381  -0.236 1.363  -0.397 1.301  -0.538 1.205  -0.604 1.067  -0.604 0.894  -0.527 0.753  -0.448 0.604  -0.404 0.438  -0.308 0.295  -0.232 0.140  -0.162 -0.017  -0.126 -0.182  -0.065 -0.338  0.009 -0.493  0.063 -0.657  0.095 -0.824  0.095 -0.997  0.095 -1.170  0.095 -1.343  0.007 -1.449  -0.166 -1.449  -0.339 -1.449  -0.486 -1.372  -0.534 -1.223  -0.604 -1.071  -0.604 -0.898  -0.604 -0.725  -0.604 -0.553  -0.489 -0.436  -0.334 -0.359  -0.170 -0.310  0.003 -0.310  0.175 -0.310  0.348 -0.310  0.521 -0.310  0.694 -0.310  0.867 -0.310
2#tos#t1#t1036060/9  0.321 -0.254  0.383 -0.223  0.460 -0.115  0.502 0.009  0.567 0.129  0.630 0.256  0.700 0.378  0.719 0.512  0.719 0.653  0.719 0.795  0.719 0.937  0.690 1.049  0.551 1.060  0.415 1.085  0.273 1.085  0.131 1.085  -0.010 1.085  -0.148 1.054  -0.284 1.015  -0.411 0.954  -0.538 0.890  -0.662 0.823  -0.747 0.710  -0.858 0.624  -0.897 0.493  -0.909 0.353  -0.909 0.211  -0.882 0.080  -0.776 -0.013  -0.650 -0.076  -0.516 -0.109  -0.374 -0.109  -0.233 -0.109  -0.091 -0.109  0.051 -0.109  0.177 -0.125  0.213 -0.258  0.213 -0.400  0.197 -0.538  0.136 -0.666  0.104 -0.802  0.081 -0.940  0.036 -1.074  -0.004 -1.207  -0.004 -1.349  -0.004 -1.490  -0.004 -1.632  -0.004 -1.774  0.068 -1.885  0.140 -1.955
2#tos#t1#t1036060/A  0.272 1.201  0.272 1.473  0.111 1.260  -0.015 1.023  -0.132 0.779  -0.295 0.562  -0.422 0.322  -0.577 0.098  -0.694 -0.145  -0.794 -0.398  -0.894 -0.651  -1.013 -0.892  -1.133 -1.134  -1.140 -1.405  -1.058 -1.310  -0.895 -1.133  -0.773 -0.890  -0.652 -0.647  -0.530 -0.403  -0.408 -0.160  -0.287 0.083  -0.165 0.327  -0.043 0.570  0.079 0.813  0.200 1.057  0.272 1.312  0.452 1.155  0.589 0.920  0.697 0.671  0.819 0.432  0.901 0.178  1.018 -0.062  1.132 -0.286  1.226 -0.534  1.320 -0.783  1.249 -0.911  1.012 -0.779  0.774 -0.646  0.536 -0.513  0.299 -0.381  0.061 -0.248  -0.176 -0.116  -0.422 -0.016  -0.694 -0.016  -0.686 -0.016  -0.421 0.024  -0.148 0.024  0.120 0.063  0.392 0.063  0.665 0.063
2#tos#t1#t1036060/C  0.374 1.037  0.320 1.108  0.227 1.129  0.132 1.144  0.034 1.144  -0.064 1.144  -0.154 1.110  -0.236 1.056  -0.318 1.002  -0.402 0.951  -0.485 0.899  -0.563 0.840  -0.621 0.763  -0.672 0.679  -0.727 0.598  -0.786 0.519  -0.797 0.425  -0.797 0.327  -0.797 0.229  -0.797 0.131  -0.797 0.032  -0.797 -0.066  -0.788 -0.162  -0.754 -0.254  -0.703 -0.338  -0.651 -0.421  -0.573 -0.480  -0.492 -0.535  -0.404 -0.579  -0.316 -0.623  -0.222 -0.647  -0.126 -0.666  -0.037 -0.709  0.054 -0.738  0.152 -0.738  0.250 -0.738  0.348 -0.738  0.447 -0.738  0.545 -0.738  0.643 -0.738  0.739 -0.718  0.834 -0.694  0.929 -0.670  1.022 -0.640  1.115 -0.609  1.206 -0.571  1.297 -0.536  1.351 -0.471  1.420 -0.402  1.439 -0.312
