2#tos#t1#t1050062/#  -0.849 0.638  -1.264 0.638  -1.316 0.542  -0.901 0.542  -0.485 0.542  -0.069 0.542  0.324 0.638  0.728 0.685  0.902 0.608  0.564 0.367  0.226 0.125  -0.112 -0.116  -0.410 -0.397  -0.705 -0.680  -0.439 -0.792  -0.023 -0.792  0.392 -0.792  0.779 -0.697  1.153 -0.628  0.887 -0.318  0.602 -0.016  0.317 0.287  0.032 0.590  -0.253 0.892  -0.391 1.258  -0.658 1.483  -0.591 1.076  -0.559 0.663  -0.515 0.251  -0.420 -0.149  -0.420 -0.565  -0.386 -0.976  -0.297 -1.372  -0.229 -1.772  -0.175 -1.403  -0.118 -0.992  -0.061 -0.580  -0.004 -0.169  0.053 0.243  0.110 0.655  0.167 1.066  0.121 1.401  0.268 1.047  0.438 0.690  0.486 0.294  0.512 -0.120  0.534 -0.534  0.629 -0.920  0.657 -1.333  0.772 -1.650
2#tos#t1#t1050062/[  1.027 1.134  0.963 1.069  0.884 1.041  0.794 1.041  0.703 1.041  0.613 1.041  0.522 1.041  0.431 1.041  0.360 0.994  0.269 0.994  0.179 0.994  0.138 0.940  0.074 0.876  -0.008 0.855  -0.099 0.855  -0.189 0.855  -0.264 0.816  -0.351 0.809  -0.364 0.731  -0.364 0.641  -0.364 0.550  -0.364 0.459  -0.364 0.369  -0.364 0.278  -0.364 0.188  -0.364 0.097  -0.321 0.024  -0.271 -0.046  -0.271 -0.136  -0.271 -0.227  -0.271 -0.317  -0.271 -0.408  -0.271 -0.499  -0.271 -0.589  -0.271 -0.680  -0.271 -0.770  -0.271 -0.861  -0.271 -0.951  -0.271 -1.042  -0.271 -1.133  -0.271 -1.223  -0.245 -1.303  -0.163 -1.324  -0.073 -1.324  0.018 -1.324  0.108 -1.324  0.199 -1.324  0.289 -1.324  0.380 -1.324  0.471 -1.324
2#tos#t1#t1050062/]  -0.862 1.139  -0.775 1.139  -0.687 1.139  -0.600 1.139  -0.512 1.139  -0.425 1.139  -0.338 1.139  -0.250 1.139  -0.163 1.139  -0.076 1.139  0.012 1.139  0.099 1.139  0.152 1.104  0.152 1.017  0.152 0.929  0.152 0.842  0.152 0.754  0.152 0.667  0.152 0.580  0.152 0.492  0.152 0.405  0.152 0.318  0.152 0.230  0.183 0.163  0.258 0.122  0.258 0.034  0.258 -0.053  0.258 -0.141  0.258 -0.228  0.264 -0.314  0.304 -0.392  0.312 -0.477  0.312 -0.565  0.312 -0.652  0.320 -0.736  0.365 -0.805  0.362 -0.891  0.300 -0.953  0.246 -1.020  0.207 -1.098  0.130 -1.139  0.062 -1.191  0.000 -1.253  -0.084 -1.262  -0.140 -1.312  -0.192 -1.368  -0.280 -1.368  -0.367 -1.368  -0.455 -1.368  -0.542 -1.368
2#tos#t1#t1050062/_  -1.039 0.037  -1.114 0.037  -1.189 0.037  -1.265 0.037  -1.340 0.037  -1.415 0.037  -1.441 0.037  -1.366 0.037  -1.291 0.037  -1.216 0.037  -1.141 0.037  -1.066 0.037  -0.990 0.037  -0.915 0.037  -0.840 0.037  -0.765 0.037  -0.690 0.037  -0.615 0.037  -0.540 0.037  -0.465 0.037  -0.389 0.037  -0.314 0.037  -0.239 0.037  -0.164 0.037  -0.089 0.037  -0.014 0.037  0.061 0.037  0.133 0.016  0.204 -0.008  0.276 -0.032  0.348 -0.048  0.423 -0.048  0.498 -0.048  0.573 -0.048  0.649 -0.048  0.724 -0.048  0.799 -0.048  0.874 -0.048  0.949 -0.048  1.024 -0.048  1.099 -0.048  1.175 -0.048  1.250 -0.048  1.325 -0.048  1.400 -0.048  1.475 -0.048  1.550 -0.048  1.625 -0.048  1.701 -0.048  1.776 -0.048
2#tos#t1#t1050062/`  -0.871 1.173  -0.959 1.173  -1.046 1.173  -1.069 1.109  -1.069 1.022  -1.069 0.934  -1.069 0.847  -1.050 0.779  -0.963 0.779  -0.876 0.779  -0.813 0.720  -0.751 0.658  -0.689 0.597  -0.628 0.535  -0.566 0.473  -0.504 0.411  -0.443 0.350  -0.381 0.288  -0.319 0.226  -0.249 0.186  -0.161 0.186  -0.074 0.186  0.013 0.186  0.100 0.186  0.116 0.114  0.116 0.027  0.116 -0.060  0.116 -0.147  0.142 -0.209  0.229 -0.209  0.315 -0.211  0.377 -0.273  0.439 -0.334  0.500 -0.396  0.510 -0.479  0.510 -0.566  0.510 -0.654  0.510 -0.741  0.538 -0.801  0.625 -0.801  0.712 -0.801  0.799 -0.801  0.887 -0.801  0.905 -0.869  0.905 -0.957  0.951 -0.998  1.038 -0.998  1.126 -0.998  1.213 -0.998  1.300 -0.998
2#tos#t1#t1050062/{  0.288 1.666  0.185 1.666  0.083 1.666  -0.020 1.666  -0.031 1.575  -0.031 1.473  -0.031 1.370  -0.031 1.268  -0.031 1.165  0.001 1.070  0.004 0.968  0.004 0.866  0.004 0.763  0.013 0.664  0.040 0.573  0.040 0.470  0.062 0.390  0.075 0.301  0.075 0.198  0.043 0.109  -0.040 0.062  -0.102 -0.015  -0.180 -0.062  -0.266 -0.107  -0.351 -0.088  -0.421 -0.086  -0.375 -0.071  -0.308 -0.036  -0.206 -0.036  -0.173 -0.106  -0.138 -0.173  -0.075 -0.213  -0.031 -0.299  -0.031 -0.402  -0.031 -0.504  -0.031 -0.607  -0.031 -0.709  -0.031 -0.812  -0.031 -0.914  -0.031 -1.017  -0.031 -1.119  -0.016 -1.206  0.049 -1.257  0.111 -1.315  0.146 -1.403  0.217 -1.434  0.264 -1.490  0.366 -1.490  0.469 -1.490  0.572 -1.490
2#tos#t1#t1050062/}  -0.528 1.317  -0.528 1.419  -0.508 1.516  -0.430 1.555  -0.340 1.526  -0.268 1.454  -0.224 1.370  -0.169 1.314  -0.137 1.217  -0.130 1.116  -0.130 1.014  -0.130 0.912  -0.130 0.810  -0.130 0.707  -0.130 0.605  -0.130 0.503  -0.130 0.401  -0.102 0.306  -0.091 0.206  -0.021 0.133  0.078 0.124  0.170 0.101  0.265 0.084  0.368 0.084  0.466 0.088  0.400 0.124  0.303 0.116  0.252 0.029  0.179 -0.044  0.122 -0.127  0.045 -0.186  0.029 -0.278  0.010 -0.372  -0.011 -0.466  -0.011 -0.568  0.032 -0.657  0.068 -0.748  0.108 -0.834  0.108 -0.936  0.148 -1.022  0.193 -1.109  0.267 -1.137  0.267 -1.239  0.228 -1.301  0.211 -1.387  0.148 -1.449  0.103 -1.507  0.021 -1.554  -0.051 -1.603  -0.130 -1.626
2#tos#t1#t1050062/~  -1.187 -0.244  -1.301 -0.244  -1.376 -0.283  -1.376 -0.217  -1.376 -0.103  -1.311 -0.053  -1.260 0.049  -1.223 0.133  -1.124 0.149  -1.120 0.259  -1.006 0.259  -0.951 0.354  -0.856 0.385  -0.746 0.389  -0.691 0.448  -0.577 0.448  -0.494 0.417  -0.431 0.366  -0.431 0.252  -0.373 0.196  -0.305 0.114  -0.305 -0.000  -0.305 -0.114  -0.305 -0.228  -0.270 -0.307  -0.156 -0.307  -0.042 -0.307  0.072 -0.307  0.158 -0.352  0.222 -0.433  0.336 -0.433  0.450 -0.433  0.564 -0.433  0.678 -0.433  0.792 -0.433  0.906 -0.433  1.020 -0.433  1.080 -0.379  1.080 -0.265  1.173 -0.244  1.212 -0.164  1.248 -0.056  1.269 0.054  1.269 0.168  1.269 0.282  1.269 0.396  1.269 0.510  1.219 0.574  1.206 0.675  1.143 0.763
2#tos#t1#t1050062/0  -0.102 1.151  -0.239 1.104  -0.331 1.015  -0.407 0.880  -0.474 0.744  -0.502 0.597  -0.595 0.472  -0.613 0.324  -0.708 0.261  -0.746 0.110  -0.759 -0.045  -0.790 -0.198  -0.799 -0.353  -0.764 -0.474  -0.748 -0.614  -0.699 -0.726  -0.629 -0.846  -0.520 -0.947  -0.423 -1.035  -0.288 -1.081  -0.222 -1.171  -0.066 -1.171  0.037 -1.224  0.153 -1.264  0.282 -1.226  0.364 -1.124  0.409 -1.013  0.537 -0.985  0.611 -0.889  0.641 -0.738  0.663 -0.592  0.687 -0.446  0.734 -0.336  0.749 -0.196  0.780 -0.071  0.780 0.085  0.780 0.241  0.717 0.361  0.641 0.441  0.594 0.550  0.548 0.687  0.464 0.816  0.405 0.918  0.299 0.986  0.176 1.040  0.104 1.151  -0.009 1.194  -0.115 1.243  -0.271 1.243  -0.334 1.151
2#tos#t1#t1050062/1  -0.258 1.448  -0.332 1.448  -0.375 1.448  -0.308 1.432  -0.258 1.378  -0.258 1.304  -0.258 1.230  -0.258 1.156  -0.225 1.106  -0.155 1.082  -0.085 1.059  -0.059 1.004  -0.059 0.930  -0.059 0.856  -0.059 0.782  -0.059 0.708  -0.059 0.634  -0.059 0.560  -0.059 0.486  -0.059 0.412  -0.059 0.338  -0.059 0.264  -0.059 0.190  -0.059 0.116  -0.049 0.046  0.003 -0.006  0.056 -0.059  0.074 -0.125  0.074 -0.199  0.074 -0.273  0.091 -0.345  0.109 -0.417  0.127 -0.489  0.140 -0.561  0.140 -0.635  0.140 -0.709  0.140 -0.783  0.140 -0.857  0.140 -0.931  0.140 -1.005  0.163 -1.075  0.187 -1.145  0.206 -1.216  0.206 -1.290  0.206 -1.364  0.206 -1.438  0.206 -1.512  0.206 -1.586  0.206 -1.660  0.206 -1.734
2#tos#t1#t1050062/2  -0.412 0.709  -0.539 0.709  -0.666 0.709  -0.744 0.792  -0.744 0.919  -0.688 0.990  -0.654 1.109  -0.578 1.208  -0.504 1.261  -0.377 1.261  -0.250 1.261  -0.178 1.206  -0.137 1.120  -0.045 1.050  0.007 0.940  0.029 0.816  0.029 0.689  0.029 0.562  0.029 0.435  0.029 0.308  0.029 0.181  0.029 0.054  -0.017 -0.054  -0.101 -0.148  -0.171 -0.254  -0.232 -0.365  -0.313 -0.461  -0.403 -0.551  -0.526 -0.560  -0.612 -0.627  -0.688 -0.694  -0.648 -0.781  -0.521 -0.781  -0.394 -0.781  -0.267 -0.781  -0.140 -0.781  -0.013 -0.781  0.114 -0.781  0.241 -0.781  0.368 -0.781  0.495 -0.781  0.622 -0.781  0.749 -0.781  0.876 -0.781  1.003 -0.781  1.125 -0.747  1.248 -0.726  1.375 -0.726  1.502 -0.726  1.629 -0.726
2#tos#t1#t1050062/4  0.242 1.383  0.111 1.296  -0.049 1.152  -0.162 0.999  -0.306 0.842  -0.451 0.682  -0.514 0.475  -0.640 0.306  -0.741 0.129  -0.854 -0.053  -0.967 -0.210  -1.053 -0.341  -1.097 -0.515  -1.053 -0.603  -0.836 -0.603  -0.628 -0.563  -0.411 -0.560  -0.193 -0.560  0.024 -0.560  0.241 -0.560  0.452 -0.518  0.663 -0.477  0.870 -0.450  1.062 -0.387  0.951 -0.201  0.839 -0.015  0.727 0.172  0.616 0.358  0.504 0.545  0.392 0.731  0.280 0.918  0.168 1.104  0.056 1.291  -0.103 1.370  -0.086 1.185  -0.002 0.989  0.036 0.775  0.078 0.562  0.113 0.348  0.113 0.130  0.113 -0.087  0.113 -0.305  0.113 -0.522  0.113 -0.740  0.164 -0.947  0.199 -1.158  0.199 -1.375  0.199 -1.593  0.199 -1.810  0.199 -2.028
2#tos#t1#t1050062/6  0.024 2.010  0.024 1.854  -0.010 1.702  -0.032 1.549  -0.093 1.411  -0.201 1.306  -0.340 1.236  -0.370 1.099  -0.394 0.948  -0.464 0.809  -0.483 0.657  -0.513 0.504  -0.539 0.351  -0.539 0.195  -0.539 0.039  -0.539 -0.117  -0.539 -0.273  -0.539 -0.429  -0.539 -0.585  -0.507 -0.736  -0.483 -0.888  -0.380 -0.989  -0.260 -1.087  -0.185 -1.202  -0.029 -1.202  0.127 -1.202  0.283 -1.202  0.400 -1.108  0.522 -1.018  0.664 -0.957  0.765 -0.841  0.814 -0.693  0.852 -0.542  0.870 -0.388  0.870 -0.232  0.909 -0.093  0.926 0.056  0.873 0.200  0.721 0.207  0.565 0.207  0.410 0.204  0.258 0.166  0.107 0.129  -0.045 0.094  -0.173 0.046  -0.254 -0.088  -0.353 -0.188  -0.509 -0.188  -0.539 -0.314  -0.596 -0.413
2#tos#t1#t1050062/C  0.911 0.702  0.870 0.787  0.771 0.792  0.686 0.809  0.686 0.911  0.600 0.927  0.551 0.979  0.486 1.017  0.384 1.017  0.282 1.017  0.180 1.017  0.078 1.017  -0.023 1.017  -0.125 1.017  -0.170 0.959  -0.170 0.857  -0.247 0.811  -0.344 0.779  -0.440 0.746  -0.485 0.655  -0.530 0.563  -0.530 0.462  -0.549 0.368  -0.620 0.295  -0.620 0.193  -0.620 0.091  -0.620 -0.011  -0.620 -0.113  -0.620 -0.214  -0.620 -0.316  -0.602 -0.414  -0.556 -0.505  -0.530 -0.601  -0.470 -0.683  -0.409 -0.764  -0.342 -0.841  -0.285 -0.925  -0.207 -0.981  -0.109 -1.009  -0.015 -1.028  0.057 -1.100  0.140 -1.144  0.242 -1.144  0.344 -1.144  0.446 -1.144  0.548 -1.144  0.650 -1.144  0.752 -1.144  0.854 -1.144  0.956 -1.144
2#tos#t1#t1050062/G  0.102 1.183  -0.125 1.183  -0.353 1.183  -0.581 1.183  -0.804 1.174  -0.921 0.986  -1.099 0.855  -1.200 0.678  -1.249 0.456  -1.334 0.249  -1.334 0.022  -1.292 -0.199  -1.199 -0.389  -1.085 -0.580  -0.942 -0.735  -0.755 -0.849  -0.538 -0.882  -0.310 -0.882  -0.082 -0.882  0.145 -0.882  0.350 -0.814  0.513 -0.676  0.667 -0.516  0.686 -0.293  0.686 -0.065  0.523 0.058  0.339 0.192  0.156 0.327  -0.028 0.461  -0.235 0.375  -0.436 0.278  -0.246 0.240  -0.019 0.240  0.209 0.240  0.436 0.240  0.664 0.240  0.881 0.285  1.108 0.285  1.203 0.290  0.976 0.305  0.748 0.320  0.551 0.300  0.551 0.073  0.551 -0.155  0.551 -0.382  0.551 -0.610  0.596 -0.801  0.786 -0.880  0.820 -1.103  0.820 -1.331
2#tos#t1#t1050062/H  -0.826 1.048  -0.986 1.048  -1.032 0.934  -1.025 0.774  -0.991 0.619  -0.991 0.459  -0.991 0.299  -0.991 0.139  -0.991 -0.021  -0.991 -0.181  -0.991 -0.340  -0.991 -0.500  -0.956 -0.656  -0.909 -0.805  -0.861 -0.905  -0.819 -0.751  -0.776 -0.597  -0.733 -0.443  -0.690 -0.289  -0.662 -0.133  -0.703 -0.014  -0.577 0.020  -0.434 0.061  -0.274 0.061  -0.114 0.061  0.032 0.120  0.186 0.143  0.346 0.143  0.506 0.143  0.666 0.143  0.826 0.143  0.986 0.143  1.146 0.143  1.124 0.240  1.035 0.373  0.946 0.506  0.857 0.639  0.713 0.678  0.695 0.536  0.726 0.381  0.812 0.248  0.860 0.104  0.871 -0.054  0.901 -0.209  0.911 -0.366  0.990 -0.503  1.024 -0.659  1.024 -0.819  1.054 -0.974  1.065 -1.132
2#tos#t1#t1050062/J  -0.458 0.777  -0.578 0.777  -0.641 0.742  -0.520 0.742  -0.415 0.764  -0.354 0.846  -0.233 0.846  -0.112 0.846  0.000 0.881  0.117 0.910  0.236 0.915  0.357 0.915  0.475 0.940  0.595 0.950  0.715 0.950  0.680 0.946  0.559 0.939  0.439 0.932  0.318 0.926  0.197 0.919  0.098 0.894  0.098 0.773  0.116 0.654  0.133 0.535  0.133 0.414  0.133 0.294  0.198 0.193  0.202 0.073  0.216 -0.047  0.233 -0.166  0.237 -0.287  0.237 -0.408  0.237 -0.528  0.237 -0.649  0.222 -0.769  0.203 -0.888  0.167 -1.003  0.132 -1.112  0.060 -1.209  0.006 -1.317  -0.041 -1.421  -0.135 -1.465  -0.254 -1.481  -0.375 -1.481  -0.462 -1.403  -0.534 -1.310  -0.631 -1.238  -0.703 -1.141  -0.770 -1.046  -0.770 -0.925
2#tos#t1#t1050062/K  -0.278 1.529  -0.479 1.451  -0.488 1.231  -0.488 1.006  -0.488 0.782  -0.475 0.558  -0.446 0.336  -0.446 0.111  -0.446 -0.114  -0.446 -0.338  -0.446 -0.563  -0.446 -0.787  -0.446 -1.012  -0.446 -1.236  -0.446 -1.461  -0.446 -1.686  -0.373 -1.513  -0.293 -1.303  -0.212 -1.093  -0.132 -0.884  -0.052 -0.674  0.028 -0.464  0.108 -0.254  0.188 -0.044  0.268 0.165  0.348 0.375  0.428 0.585  0.508 0.795  0.588 1.005  0.668 1.215  0.748 1.424  0.772 1.329  0.659 1.169  0.465 1.056  0.271 0.943  0.112 0.784  -0.025 0.606  -0.096 0.394  -0.215 0.205  -0.371 0.045  -0.502 -0.137  -0.456 -0.302  -0.248 -0.385  -0.039 -0.463  0.174 -0.533  0.371 -0.639  0.581 -0.697  0.801 -0.736  0.932 -0.870  1.150 -0.907
2#tos#t1#t1050062/M  -1.123 -1.144  -1.159 -1.115  -1.150 -0.929  -1.099 -0.749  -1.042 -0.570  -0.991 -0.390  -0.936 -0.211  -0.902 -0.027  -0.875 0.158  -0.872 0.345  -0.821 0.519  -0.740 0.686  -0.661 0.856  -0.620 1.037  -0.521 1.152  -0.404 1.025  -0.369 0.844  -0.356 0.658  -0.311 0.477  -0.274 0.294  -0.261 0.107  -0.261 -0.080  -0.196 -0.240  -0.097 -0.397  0.007 -0.552  0.115 -0.642  0.133 -0.473  0.240 -0.321  0.241 -0.134  0.277 0.048  0.277 0.235  0.377 0.389  0.384 0.574  0.470 0.740  0.564 0.896  0.666 1.009  0.743 0.899  0.769 0.716  0.779 0.530  0.779 0.343  0.851 0.172  0.851 -0.015  0.851 -0.203  0.851 -0.390  0.918 -0.561  0.923 -0.748  0.952 -0.932  0.959 -1.119  0.998 -1.300  1.066 -1.467
