3#apa#apa13#app1313/A  -0.019 1.175  -0.019 0.921  -0.019 0.666  -0.019 0.412  -0.115 0.197  -0.151 -0.048  -0.211 -0.289  -0.293 -0.524  -0.407 -0.751  -0.498 -0.984  -0.577 -1.205  -0.594 -1.453  -0.679 -1.545  -0.631 -1.295  -0.584 -1.046  -0.537 -0.796  -0.490 -0.546  -0.442 -0.296  -0.395 -0.046  -0.348 0.204  -0.300 0.454  -0.253 0.704  -0.206 0.954  -0.159 1.203  -0.111 1.453  -0.064 1.703  -0.019 1.930  0.033 1.698  0.077 1.462  0.148 1.224  0.177 0.977  0.318 0.765  0.441 0.543  0.555 0.316  0.704 0.113  0.817 -0.114  0.940 -0.322  1.036 -0.554  0.875 -0.637  0.621 -0.621  0.367 -0.605  0.113 -0.589  -0.141 -0.573  -0.394 -0.558  -0.364 -0.589  -0.133 -0.647  0.121 -0.647  0.375 -0.647  0.608 -0.595  0.844 -0.551
3#apa#apa13#app1313/L  -0.907 1.491  -0.839 1.423  -0.804 1.341  -0.804 1.245  -0.804 1.149  -0.786 1.060  -0.717 0.992  -0.701 0.902  -0.654 0.826  -0.598 0.752  -0.598 0.656  -0.597 0.560  -0.553 0.474  -0.510 0.388  -0.495 0.295  -0.495 0.199  -0.495 0.103  -0.495 0.006  -0.495 -0.090  -0.495 -0.186  -0.495 -0.282  -0.495 -0.379  -0.495 -0.475  -0.494 -0.570  -0.398 -0.570  -0.392 -0.479  -0.333 -0.408  -0.265 -0.339  -0.196 -0.271  -0.105 -0.261  -0.008 -0.261  0.088 -0.261  0.184 -0.261  0.265 -0.299  0.334 -0.364  0.431 -0.364  0.527 -0.364  0.597 -0.426  0.677 -0.467  0.770 -0.481  0.856 -0.524  0.942 -0.567  1.038 -0.570  1.134 -0.570  1.230 -0.570  1.326 -0.570  1.404 -0.615  1.476 -0.673  1.573 -0.673  1.669 -0.673
3#apa#apa13#app1313/M  -0.802 1.029  -0.745 1.029  -0.711 0.824  -0.711 0.585  -0.711 0.345  -0.711 0.105  -0.711 -0.135  -0.711 -0.375  -0.711 -0.614  -0.711 -0.854  -0.711 -1.094  -0.711 -1.334  -0.711 -1.313  -0.711 -1.073  -0.711 -0.834  -0.711 -0.594  -0.711 -0.354  -0.711 -0.114  -0.711 0.125  -0.711 0.365  -0.711 0.605  -0.711 0.845  -0.619 0.828  -0.567 0.610  -0.436 0.425  -0.265 0.309  -0.134 0.178  -0.012 0.022  0.136 -0.070  0.338 0.037  0.526 0.187  0.618 0.251  0.448 0.082  0.252 -0.023  0.147 -0.219  0.244 -0.111  0.406 0.066  0.568 0.242  0.730 0.419  0.892 0.596  1.054 0.773  1.213 0.744  1.213 0.504  1.213 0.264  1.213 0.024  1.213 -0.215  1.213 -0.455  1.287 -0.677  1.382 -0.881  1.487 -1.077
3#apa#apa13#app1313/N  -0.829 0.968  -0.829 0.752  -0.829 0.537  -0.829 0.321  -0.909 0.124  -0.943 -0.083  -0.943 -0.299  -0.943 -0.514  -0.943 -0.730  -0.829 -0.898  -0.814 -0.826  -0.791 -0.612  -0.769 -0.398  -0.746 -0.183  -0.724 0.031  -0.701 0.246  -0.678 0.460  -0.656 0.675  -0.633 0.889  -0.611 1.103  -0.592 1.082  -0.487 0.972  -0.373 0.803  -0.265 0.632  -0.259 0.419  -0.172 0.224  -0.035 0.060  -0.031 -0.154  0.108 -0.311  0.261 -0.464  0.413 -0.616  0.555 -0.707  0.645 -0.512  0.735 -0.316  0.826 -0.120  0.916 0.076  1.007 0.271  1.097 0.467  1.187 0.663  1.130 0.647  1.058 0.461  0.995 0.272  0.995 0.057  0.950 -0.148  0.881 -0.348  0.881 -0.563  0.881 -0.779  0.881 -0.995  0.881 -1.210  0.881 -1.426
3#apa#apa13#app1313/O  0.080 0.588  0.034 0.691  -0.114 0.691  -0.263 0.691  -0.387 0.634  -0.517 0.588  -0.555 0.467  -0.659 0.362  -0.774 0.281  -0.843 0.201  -0.899 0.066  -0.946 -0.071  -0.946 -0.219  -0.946 -0.368  -0.946 -0.516  -0.930 -0.658  -0.843 -0.770  -0.793 -0.897  -0.688 -1.002  -0.560 -1.052  -0.412 -1.052  -0.263 -1.052  -0.115 -1.052  0.033 -1.052  0.152 -0.980  0.287 -0.950  0.422 -0.915  0.536 -0.824  0.669 -0.758  0.779 -0.660  0.884 -0.556  0.989 -0.451  1.021 -0.316  1.105 -0.202  1.105 -0.054  1.105 0.094  1.060 0.224  0.955 0.329  0.850 0.434  0.745 0.538  0.626 0.623  0.493 0.689  0.361 0.756  0.240 0.839  0.135 0.944  0.017 1.030  -0.116 1.096  -0.248 1.163  -0.387 1.204  -0.535 1.204
3#apa#apa13#app1313/P  -0.402 0.049  -0.360 -0.112  -0.282 -0.258  -0.282 -0.436  -0.282 -0.615  -0.282 -0.793  -0.282 -0.971  -0.282 -1.150  -0.282 -1.328  -0.282 -1.506  -0.320 -1.342  -0.360 -1.168  -0.399 -0.994  -0.439 -0.820  -0.478 -0.647  -0.518 -0.473  -0.557 -0.299  -0.597 -0.125  -0.636 0.049  -0.676 0.223  -0.715 0.397  -0.755 0.570  -0.794 0.744  -0.834 0.918  -0.873 1.092  -0.741 1.129  -0.562 1.129  -0.384 1.129  -0.214 1.095  -0.054 1.015  0.118 0.989  0.277 0.909  0.451 0.889  0.621 0.857  0.781 0.777  0.911 0.656  1.072 0.615  1.198 0.489  1.278 0.344  1.277 0.166  1.197 0.006  1.158 -0.163  1.017 -0.212  0.880 -0.311  0.712 -0.354  0.551 -0.431  0.373 -0.431  0.195 -0.431  0.017 -0.431  -0.162 -0.431
3#apa#apa13#app1313/Q  -0.668 1.070  -0.711 0.878  -0.815 0.709  -0.988 0.641  -1.056 0.468  -1.098 0.284  -1.098 0.083  -1.098 -0.119  -1.098 -0.320  -0.989 -0.489  -0.875 -0.655  -0.715 -0.754  -0.558 -0.862  -0.357 -0.862  -0.155 -0.862  0.046 -0.862  0.248 -0.862  0.444 -0.842  0.625 -0.754  0.827 -0.754  0.971 -0.617  1.131 -0.499  1.301 -0.395  1.371 -0.222  1.307 -0.047  1.240 0.127  1.098 0.270  0.931 0.378  0.756 0.478  0.589 0.590  0.414 0.690  0.234 0.780  0.054 0.870  -0.126 0.960  -0.278 1.089  -0.459 1.177  -0.520 1.087  -0.437 0.904  -0.353 0.720  -0.270 0.537  -0.187 0.354  -0.103 0.170  -0.014 -0.003  0.083 -0.108  0.083 -0.310  0.083 -0.511  0.129 -0.693  0.196 -0.867  0.355 -0.969  0.512 -1.076
3#apa#apa13#app1313/R  -0.720 0.930  -0.612 1.167  -0.463 1.062  -0.357 0.824  -0.335 0.552  -0.348 0.276  -0.463 0.042  -0.463 -0.240  -0.463 -0.522  -0.463 -0.803  -0.463 -1.085  -0.463 -1.367  -0.445 -1.370  -0.409 -1.091  -0.372 -0.812  -0.336 -0.532  -0.299 -0.253  -0.263 0.026  -0.227 0.306  -0.190 0.585  -0.154 0.864  -0.117 1.144  -0.081 1.423  0.183 1.444  0.456 1.423  0.693 1.315  0.820 1.162  0.900 0.899  0.949 0.628  0.820 0.400  0.779 0.160  0.625 0.032  0.367 -0.067  0.092 -0.097  -0.189 -0.097  -0.343 0.032  -0.592 0.064  -0.778 0.160  -0.644 0.109  -0.370 0.041  -0.206 -0.085  -0.078 -0.313  0.050 -0.467  0.276 -0.579  0.435 -0.795  0.592 -0.995  0.692 -1.177  0.820 -1.330  0.949 -1.484  1.206 -1.509
3#apa#apa13#app1313/S  0.448 0.956  0.448 1.092  0.388 1.168  0.252 1.168  0.116 1.168  -0.015 1.147  -0.137 1.086  -0.267 1.062  -0.297 0.956  -0.433 0.956  -0.549 0.909  -0.656 0.827  -0.777 0.766  -0.818 0.655  -0.924 0.625  -0.924 0.489  -0.849 0.429  -0.713 0.429  -0.577 0.429  -0.441 0.429  -0.332 0.364  -0.213 0.323  -0.077 0.323  0.056 0.308  0.177 0.248  0.286 0.169  0.398 0.112  0.509 0.051  0.554 -0.066  0.627 -0.172  0.723 -0.268  0.765 -0.386  0.840 -0.491  0.871 -0.614  0.871 -0.750  0.823 -0.838  0.765 -0.916  0.688 -1.021  0.564 -1.049  0.434 -1.063  0.336 -1.155  0.200 -1.155  0.064 -1.155  -0.072 -1.155  -0.207 -1.155  -0.338 -1.131  -0.459 -1.070  -0.590 -1.049  -0.722 -1.040  -0.818 -0.944
3#apa#apa13#app1313/T  0.236 0.288  0.236 0.133  0.236 -0.023  0.236 -0.178  0.236 -0.334  0.236 -0.489  0.236 -0.645  0.236 -0.800  0.236 -0.956  0.236 -1.111  0.328 -1.228  0.331 -1.383  0.261 -1.326  0.168 -1.201  0.076 -1.076  -0.016 -0.951  -0.109 -0.826  -0.201 -0.701  -0.294 -0.576  -0.386 -0.451  -0.479 -0.326  -0.571 -0.201  -0.663 -0.075  -0.756 0.050  -0.848 0.175  -0.941 0.300  -1.033 0.425  -1.125 0.550  -1.218 0.675  -1.250 0.730  -1.121 0.668  -0.975 0.645  -0.849 0.573  -0.694 0.573  -0.538 0.573  -0.383 0.573  -0.227 0.573  -0.072 0.573  0.084 0.573  0.239 0.573  0.395 0.573  0.550 0.573  0.706 0.573  0.861 0.573  1.017 0.573  1.172 0.573  1.327 0.573  1.483 0.573  1.638 0.573  1.755 0.478
3#apa#apa13#app1313/U  -1.312 0.632  -1.312 0.468  -1.312 0.304  -1.312 0.141  -1.312 -0.023  -1.312 -0.187  -1.256 -0.338  -1.171 -0.475  -1.055 -0.591  -0.939 -0.707  -0.824 -0.823  -0.680 -0.871  -0.516 -0.871  -0.352 -0.871  -0.189 -0.871  -0.056 -0.796  0.060 -0.680  0.176 -0.564  0.298 -0.514  0.298 -0.350  0.403 -0.230  0.406 -0.067  0.454 0.085  0.513 0.235  0.513 0.398  0.540 0.551  0.620 0.681  0.620 0.845  0.620 1.009  0.617 1.171  0.513 1.292  0.440 1.383  0.314 1.292  0.298 1.135  0.235 0.997  0.191 0.852  0.191 0.688  0.191 0.524  0.231 0.377  0.298 0.241  0.306 0.079  0.379 -0.067  0.406 -0.225  0.444 -0.372  0.513 -0.508  0.599 -0.635  0.639 -0.783  0.755 -0.898  0.886 -0.978  0.942 -1.086
3#apa#apa13#app1313/V  -0.944 1.778  -0.880 1.656  -0.822 1.527  -0.822 1.340  -0.822 1.153  -0.744 1.044  -0.700 0.902  -0.700 0.715  -0.594 0.572  -0.549 0.404  -0.455 0.256  -0.455 0.070  -0.455 -0.117  -0.367 -0.267  -0.333 -0.440  -0.275 -0.603  -0.211 -0.763  -0.184 -0.939  -0.088 -1.086  -0.088 -1.272  0.036 -1.395  0.098 -1.219  0.160 -1.042  0.221 -0.866  0.283 -0.690  0.345 -0.513  0.407 -0.337  0.468 -0.161  0.530 0.015  0.592 0.192  0.653 0.368  0.715 0.544  0.777 0.720  0.838 0.897  0.890 1.014  0.823 0.855  0.768 0.691  0.645 0.555  0.645 0.368  0.554 0.219  0.444 0.069  0.340 -0.086  0.225 -0.232  0.156 -0.390  0.048 -0.532  -0.041 -0.695  -0.145 -0.847  -0.211 -1.007  -0.323 -1.147  -0.455 -1.279
3#apa#apa13#app1313/W  -1.544 1.258  -1.439 1.041  -1.334 0.825  -1.289 0.583  -1.179 0.368  -1.089 0.139  -1.019 -0.105  -0.914 -0.322  -0.874 -0.566  -0.767 -0.689  -0.592 -0.495  -0.418 -0.302  -0.244 -0.108  -0.070 0.086  0.104 0.279  -0.035 0.209  -0.179 0.031  -0.341 -0.162  -0.525 -0.347  -0.704 -0.533  -0.809 -0.688  -0.843 -0.656  -0.670 -0.461  -0.497 -0.266  -0.324 -0.072  -0.151 0.123  -0.046 0.075  0.031 -0.154  0.135 -0.309  0.240 -0.526  0.350 -0.741  0.555 -0.855  0.682 -0.885  0.768 -0.639  0.854 -0.393  0.940 -0.148  1.026 0.098  1.112 0.344  1.198 0.590  1.284 0.836  1.370 1.081  1.290 1.074  1.199 0.852  1.063 0.672  0.935 0.483  0.870 0.249  0.674 0.110  0.551 -0.116  0.425 -0.342  0.240 -0.526
3#apa#apa13#app1313/X  1.420 1.038  1.361 0.905  1.287 0.789  1.155 0.731  1.084 0.569  0.949 0.434  0.814 0.300  0.679 0.165  0.544 0.030  0.493 -0.139  0.368 -0.279  0.233 -0.413  0.099 -0.548  -0.036 -0.683  -0.063 -0.867  -0.148 -1.038  -0.180 -1.214  -0.315 -1.147  -0.353 -0.960  -0.390 -0.773  -0.428 -0.586  -0.465 -0.399  -0.502 -0.212  -0.540 -0.025  -0.577 0.162  -0.615 0.349  -0.652 0.536  -0.689 0.723  -0.727 0.910  -0.764 1.097  -0.802 1.284  -0.832 1.398  -0.764 1.235  -0.699 1.071  -0.682 0.888  -0.567 0.745  -0.528 0.563  -0.443 0.393  -0.358 0.222  -0.255 0.064  -0.169 -0.091  -0.079 -0.244  -0.037 -0.418  0.097 -0.553  0.232 -0.688  0.360 -0.825  0.428 -0.949  0.581 -1.037  0.716 -1.172  0.758 -1.346
3#apa#apa13#app1313/Y  1.107 0.601  1.028 0.443  0.939 0.292  0.818 0.164  0.739 0.006  0.646 -0.143  0.521 -0.268  0.397 -0.394  0.318 -0.553  0.228 -0.703  0.103 -0.828  -0.022 -0.954  -0.147 -1.079  -0.234 -1.231  -0.310 -1.390  -0.352 -1.525  -0.452 -1.603  -0.443 -1.555  -0.428 -1.379  -0.414 -1.203  -0.399 -1.026  -0.384 -0.850  -0.369 -0.673  -0.355 -0.497  -0.340 -0.321  -0.325 -0.144  -0.311 0.032  -0.296 0.209  -0.281 0.385  -0.267 0.561  -0.252 0.738  -0.237 0.914  -0.222 1.090  -0.208 1.267  -0.193 1.443  -0.178 1.620  -0.169 1.675  -0.169 1.498  -0.076 1.359  -0.027 1.203  -0.027 1.026  -0.027 0.849  -0.027 0.672  -0.027 0.495  0.073 0.359  0.115 0.199  0.115 0.022  0.148 -0.141  0.273 -0.266  0.398 -0.391
3#apa#apa13#app1313/Z  -0.655 1.230  -0.529 1.230  -0.403 1.230  -0.278 1.230  -0.152 1.230  -0.027 1.230  0.099 1.230  0.224 1.230  0.350 1.230  0.464 1.202  0.553 1.113  0.618 1.014  0.666 0.909  0.709 0.801  0.700 0.684  0.599 0.645  0.542 0.533  0.527 0.412  0.411 0.387  0.313 0.321  0.207 0.273  0.118 0.185  0.030 0.096  -0.059 0.007  -0.148 -0.082  -0.237 -0.171  -0.326 -0.259  -0.414 -0.348  -0.503 -0.437  -0.592 -0.526  -0.655 -0.626  -0.705 -0.730  -0.814 -0.770  -0.836 -0.874  -0.836 -0.999  -0.754 -1.043  -0.629 -1.043  -0.503 -1.043  -0.406 -0.976  -0.290 -0.952  -0.175 -0.927  -0.076 -0.861  0.049 -0.861  0.175 -0.861  0.301 -0.861  0.426 -0.861  0.552 -0.861  0.677 -0.861  0.802 -0.863  0.891 -0.952
