2#apb#apb38#app3831/A  -0.829 -1.350  -0.891 -1.219  -0.897 -1.020  -0.851 -0.824  -0.775 -0.635  -0.729 -0.437  -0.677 -0.241  -0.592 -0.056  -0.518 0.132  -0.487 0.333  -0.433 0.527  -0.348 0.712  -0.293 0.905  -0.261 1.106  -0.203 1.300  -0.126 1.489  -0.037 1.672  0.052 1.761  0.139 1.599  0.148 1.396  0.188 1.197  0.231 0.998  0.296 0.805  0.360 0.612  0.375 0.409  0.399 0.208  0.448 0.011  0.498 -0.187  0.523 -0.389  0.548 -0.590  0.585 -0.790  0.609 -0.992  0.609 -1.195  0.642 -1.394  0.628 -1.376  0.506 -1.213  0.384 -1.051  0.262 -0.888  0.140 -0.725  0.018 -0.563  -0.104 -0.400  -0.226 -0.237  -0.348 -0.074  -0.441 0.048  -0.259 0.088  -0.056 0.088  0.147 0.098  0.349 0.121  0.551 0.143  0.747 0.088
2#apb#apb38#app3831/L  0.072 1.901  0.072 1.830  0.072 1.734  0.080 1.638  0.096 1.543  0.112 1.448  0.114 1.351  0.114 1.255  0.114 1.158  0.109 1.062  0.098 0.966  0.088 0.870  0.077 0.774  0.057 0.680  0.028 0.588  -0.001 0.496  -0.030 0.404  -0.059 0.312  -0.085 0.219  -0.111 0.126  -0.137 0.033  -0.162 -0.060  -0.211 -0.143  -0.261 -0.226  -0.311 -0.309  -0.359 -0.392  -0.400 -0.480  -0.440 -0.567  -0.481 -0.655  -0.536 -0.734  -0.592 -0.813  -0.650 -0.890  -0.610 -0.959  -0.515 -0.947  -0.422 -0.923  -0.331 -0.889  -0.238 -0.869  -0.141 -0.861  -0.045 -0.853  0.050 -0.838  0.145 -0.822  0.241 -0.808  0.337 -0.799  0.433 -0.790  0.529 -0.788  0.626 -0.788  0.723 -0.788  0.819 -0.788  0.915 -0.796  1.011 -0.810
2#apb#apb38#app3831/M  -1.003 -1.692  -1.024 -1.690  -0.950 -1.556  -0.899 -1.408  -0.840 -1.262  -0.804 -1.110  -0.790 -0.954  -0.754 -0.801  -0.714 -0.649  -0.675 -0.497  -0.639 -0.344  -0.603 -0.191  -0.559 -0.040  -0.513 0.110  -0.480 0.264  -0.451 0.418  -0.401 0.567  -0.347 0.715  -0.284 0.858  -0.269 0.731  -0.238 0.577  -0.197 0.425  -0.164 0.272  -0.140 0.117  -0.140 -0.040  -0.129 -0.171  -0.075 -0.026  -0.029 0.124  0.023 0.273  0.077 0.420  0.132 0.568  0.198 0.710  0.261 0.854  0.360 0.973  0.451 1.101  0.570 1.145  0.691 1.048  0.802 0.937  0.861 0.793  0.896 0.641  0.908 0.484  0.915 0.327  0.915 0.170  0.911 0.013  0.899 -0.144  0.884 -0.300  0.864 -0.456  0.843 -0.612  0.831 -0.769  0.819 -0.925
2#apb#apb38#app3831/N  -0.701 -1.355  -0.686 -1.306  -0.721 -1.146  -0.753 -0.987  -0.766 -0.823  -0.770 -0.660  -0.770 -0.496  -0.770 -0.332  -0.770 -0.169  -0.770 -0.005  -0.763 0.159  -0.750 0.322  -0.735 0.485  -0.700 0.642  -0.628 0.789  -0.570 0.943  -0.488 1.082  -0.439 1.149  -0.332 1.027  -0.251 0.886  -0.203 0.731  -0.173 0.570  -0.122 0.415  -0.096 0.254  -0.084 0.091  -0.068 -0.072  -0.043 -0.234  -0.013 -0.394  -0.005 -0.557  0.042 -0.713  0.108 -0.863  0.165 -1.016  0.278 -1.125  0.416 -1.063  0.525 -0.943  0.598 -0.796  0.639 -0.640  0.668 -0.480  0.698 -0.321  0.699 -0.157  0.731 0.003  0.754 0.165  0.777 0.327  0.809 0.488  0.859 0.644  0.907 0.800  0.959 0.955  1.029 1.102  1.097 1.248  1.179 1.374
2#apb#apb38#app3831/O  -0.018 1.311  -0.091 1.217  -0.164 1.124  -0.241 1.033  -0.318 0.942  -0.391 0.849  -0.455 0.749  -0.519 0.650  -0.584 0.550  -0.651 0.452  -0.719 0.355  -0.779 0.253  -0.826 0.144  -0.872 0.035  -0.904 -0.079  -0.933 -0.194  -0.955 -0.310  -0.937 -0.427  -0.919 -0.544  -0.870 -0.652  -0.820 -0.760  -0.758 -0.856  -0.655 -0.916  -0.553 -0.976  -0.435 -0.987  -0.317 -0.994  -0.202 -0.984  -0.094 -0.934  0.013 -0.883  0.119 -0.829  0.217 -0.762  0.315 -0.695  0.412 -0.628  0.502 -0.552  0.578 -0.461  0.655 -0.370  0.731 -0.279  0.805 -0.187  0.872 -0.089  0.939 0.009  1.004 0.108  1.046 0.219  1.087 0.330  1.117 0.444  1.117 0.562  1.080 0.673  1.001 0.752  0.895 0.805  0.791 0.862  0.687 0.919
2#apb#apb38#app3831/P  -0.429 0.725  -0.344 0.560  -0.299 0.379  -0.268 0.194  -0.242 0.009  -0.217 -0.177  -0.195 -0.363  -0.173 -0.549  -0.152 -0.734  -0.131 -0.920  -0.113 -1.107  -0.100 -1.293  -0.072 -1.478  -0.045 -1.662  -0.040 -1.711  -0.074 -1.527  -0.115 -1.345  -0.137 -1.159  -0.157 -0.973  -0.200 -0.792  -0.256 -0.613  -0.301 -0.432  -0.333 -0.247  -0.369 -0.064  -0.415 0.118  -0.475 0.295  -0.542 0.469  -0.532 0.654  -0.513 0.841  -0.481 1.024  -0.413 1.196  -0.280 1.327  -0.112 1.411  0.055 1.491  0.237 1.446  0.400 1.354  0.556 1.251  0.699 1.131  0.805 0.985  0.848 0.802  0.876 0.618  0.879 0.432  0.842 0.249  0.746 0.088  0.641 -0.066  0.525 -0.212  0.364 -0.309  0.197 -0.390  0.021 -0.452  -0.165 -0.473
2#apb#apb38#app3831/Q  0.452 1.241  0.252 1.232  0.063 1.164  -0.113 1.067  -0.276 0.950  -0.433 0.825  -0.561 0.669  -0.675 0.504  -0.779 0.332  -0.883 0.160  -0.986 -0.012  -1.054 -0.202  -1.089 -0.397  -1.086 -0.598  -1.056 -0.796  -0.966 -0.971  -0.832 -1.119  -0.658 -1.199  -0.457 -1.199  -0.263 -1.146  -0.076 -1.075  0.102 -0.980  0.282 -0.892  0.456 -0.795  0.597 -0.653  0.675 -0.474  0.687 -0.274  0.684 -0.073  0.628 0.120  0.576 0.314  0.528 0.510  0.488 0.707  0.451 0.904  0.411 1.102  0.355 1.295  0.389 1.295  0.337 1.101  0.285 0.907  0.233 0.713  0.180 0.518  0.128 0.324  0.076 0.130  0.024 -0.064  0.089 -0.239  0.171 -0.422  0.274 -0.595  0.383 -0.764  0.521 -0.907  0.671 -1.040  0.794 -1.199
2#apb#apb38#app3831/R  -0.302 -1.541  -0.355 -1.411  -0.415 -1.266  -0.460 -1.116  -0.500 -0.964  -0.537 -0.812  -0.556 -0.656  -0.574 -0.500  -0.579 -0.344  -0.579 -0.187  -0.574 -0.030  -0.564 0.127  -0.554 0.283  -0.543 0.440  -0.512 0.592  -0.459 0.740  -0.387 0.879  -0.309 1.015  -0.219 1.144  -0.135 1.276  -0.038 1.395  0.089 1.486  0.243 1.497  0.388 1.438  0.506 1.342  0.587 1.209  0.640 1.061  0.657 0.907  0.623 0.755  0.581 0.604  0.546 0.451  0.483 0.310  0.394 0.181  0.295 0.061  0.178 -0.045  0.061 -0.148  -0.061 -0.248  -0.181 -0.349  -0.299 -0.452  -0.362 -0.455  -0.219 -0.504  -0.077 -0.569  0.064 -0.638  0.191 -0.728  0.308 -0.833  0.444 -0.908  0.586 -0.975  0.716 -1.062  0.834 -1.165  0.934 -1.286
2#apb#apb38#app3831/S  0.428 1.213  0.324 1.213  0.232 1.247  0.138 1.251  0.038 1.221  -0.061 1.189  -0.159 1.156  -0.253 1.112  -0.340 1.056  -0.428 1.000  -0.515 0.944  -0.603 0.888  -0.690 0.831  -0.769 0.764  -0.817 0.682  -0.814 0.578  -0.785 0.478  -0.717 0.403  -0.639 0.334  -0.554 0.276  -0.463 0.226  -0.370 0.178  -0.277 0.132  -0.181 0.097  -0.077 0.089  0.025 0.075  0.116 0.024  0.208 -0.023  0.306 -0.059  0.394 -0.113  0.480 -0.170  0.568 -0.218  0.615 -0.311  0.679 -0.390  0.707 -0.490  0.711 -0.594  0.691 -0.695  0.659 -0.794  0.617 -0.888  0.557 -0.973  0.490 -1.052  0.420 -1.129  0.343 -1.196  0.248 -1.240  0.154 -1.284  0.063 -1.333  -0.027 -1.386  -0.119 -1.430  -0.223 -1.439  -0.327 -1.447
2#apb#apb38#app3831/T  0.379 0.715  0.367 0.569  0.347 0.415  0.340 0.259  0.351 0.103  0.358 -0.053  0.358 -0.209  0.369 -0.365  0.386 -0.520  0.400 -0.676  0.400 -0.832  0.394 -0.988  0.375 -1.143  0.355 -1.298  0.326 -1.451  0.265 -1.504  0.177 -1.375  0.089 -1.246  0.000 -1.117  -0.088 -0.989  -0.177 -0.860  -0.265 -0.731  -0.353 -0.602  -0.442 -0.473  -0.530 -0.344  -0.618 -0.215  -0.707 -0.086  -0.795 0.043  -0.884 0.171  -0.972 0.300  -1.060 0.429  -1.149 0.558  -1.214 0.694  -1.057 0.694  -0.902 0.704  -0.746 0.715  -0.589 0.715  -0.433 0.716  -0.277 0.726  -0.121 0.735  0.035 0.744  0.191 0.754  0.347 0.757  0.503 0.757  0.659 0.763  0.815 0.776  0.971 0.778  1.123 0.801  1.271 0.841  1.427 0.841
2#apb#apb38#app3831/U  -0.677 0.847  -0.779 0.885  -0.856 0.864  -0.933 0.816  -0.975 0.717  -0.990 0.610  -0.991 0.502  -0.991 0.394  -0.985 0.287  -0.926 0.197  -0.882 0.098  -0.842 -0.002  -0.794 -0.099  -0.746 -0.196  -0.706 -0.296  -0.663 -0.395  -0.610 -0.489  -0.549 -0.578  -0.485 -0.664  -0.442 -0.764  -0.369 -0.842  -0.290 -0.916  -0.197 -0.967  -0.095 -1.002  0.009 -1.030  0.115 -1.012  0.203 -0.949  0.293 -0.890  0.376 -0.822  0.446 -0.747  0.490 -0.648  0.538 -0.551  0.606 -0.467  0.648 -0.368  0.683 -0.265  0.709 -0.161  0.722 -0.054  0.734 0.054  0.747 0.161  0.760 0.269  0.771 0.376  0.786 0.483  0.810 0.589  0.830 0.695  0.849 0.801  0.872 0.907  0.897 1.012  0.923 1.117  0.942 1.222  1.017 1.271
2#apb#apb38#app3831/V  -0.900 1.345  -0.843 1.294  -0.788 1.184  -0.760 1.066  -0.743 0.945  -0.723 0.824  -0.699 0.703  -0.675 0.583  -0.643 0.464  -0.607 0.347  -0.570 0.230  -0.531 0.114  -0.490 -0.002  -0.449 -0.118  -0.412 -0.234  -0.377 -0.352  -0.342 -0.470  -0.308 -0.588  -0.275 -0.706  -0.241 -0.824  -0.199 -0.939  -0.157 -1.055  -0.118 -1.171  -0.082 -1.288  -0.062 -1.406  -0.071 -1.335  -0.061 -1.214  -0.027 -1.096  0.002 -0.977  0.032 -0.858  0.062 -0.738  0.092 -0.619  0.133 -0.504  0.177 -0.389  0.221 -0.275  0.272 -0.164  0.332 -0.056  0.391 0.051  0.451 0.158  0.521 0.259  0.594 0.358  0.667 0.457  0.741 0.554  0.817 0.651  0.893 0.747  0.975 0.838  1.061 0.925  1.148 1.012  1.240 1.094  1.332 1.175
2#apb#apb38#app3831/W  -0.811 1.513  -0.801 1.360  -0.786 1.208  -0.780 1.054  -0.756 0.901  -0.737 0.748  -0.737 0.593  -0.737 0.439  -0.737 0.284  -0.737 0.130  -0.734 -0.025  -0.706 -0.177  -0.688 -0.330  -0.688 -0.484  -0.674 -0.637  -0.644 -0.789  -0.654 -0.938  -0.586 -0.889  -0.510 -0.754  -0.435 -0.619  -0.374 -0.477  -0.315 -0.334  -0.246 -0.196  -0.206 -0.048  -0.150 -0.023  -0.054 -0.100  -0.069 -0.253  -0.043 -0.400  -0.003 -0.547  0.046 -0.690  0.072 -0.837  0.175 -0.941  0.312 -0.983  0.413 -0.899  0.542 -0.828  0.627 -0.699  0.664 -0.550  0.721 -0.407  0.769 -0.260  0.802 -0.109  0.826 0.043  0.850 0.196  0.883 0.347  0.918 0.498  0.961 0.646  1.006 0.794  1.085 0.923  1.179 1.044  1.233 1.189  1.318 1.317
2#apb#apb38#app3831/X  -0.674 -1.936  -0.680 -1.838  -0.618 -1.697  -0.555 -1.556  -0.482 -1.420  -0.409 -1.284  -0.364 -1.137  -0.329 -0.987  -0.291 -0.838  -0.222 -0.700  -0.153 -0.562  -0.086 -0.423  -0.021 -0.283  0.045 -0.144  0.118 -0.007  0.191 0.129  0.270 0.261  0.356 0.389  0.436 0.521  0.505 0.659  0.580 0.793  0.673 0.916  0.768 1.037  0.892 1.125  0.777 1.112  0.625 1.085  0.474 1.057  0.322 1.030  0.170 1.002  0.018 0.974  -0.134 0.947  -0.285 0.919  -0.437 0.892  -0.589 0.864  -0.722 0.832  -0.713 0.679  -0.666 0.533  -0.577 0.407  -0.482 0.287  -0.362 0.189  -0.243 0.091  -0.129 -0.013  -0.015 -0.116  0.095 -0.224  0.204 -0.333  0.314 -0.442  0.423 -0.552  0.535 -0.657  0.653 -0.756  0.791 -0.825
2#apb#apb38#app3831/Y  -0.136 -2.081  -0.136 -1.973  -0.100 -1.862  -0.064 -1.750  -0.056 -1.629  -0.056 -1.509  -0.056 -1.388  -0.056 -1.267  -0.037 -1.148  -0.016 -1.030  -0.016 -0.909  -0.016 -0.788  -0.016 -0.667  -0.016 -0.547  0.003 -0.428  0.028 -0.310  0.057 -0.192  0.087 -0.075  0.125 0.039  0.180 0.145  0.253 0.241  0.220 0.210  0.106 0.222  -0.006 0.267  -0.121 0.305  -0.233 0.348  -0.336 0.412  -0.441 0.469  -0.549 0.523  -0.657 0.578  -0.737 0.663  -0.752 0.779  -0.638 0.796  -0.518 0.789  -0.401 0.765  -0.306 0.691  -0.205 0.629  -0.088 0.599  0.025 0.558  0.141 0.527  0.261 0.516  0.378 0.533  0.464 0.609  0.484 0.724  0.554 0.822  0.592 0.935  0.625 1.051  0.668 1.164  0.726 1.269  0.784 1.375
2#apb#apb38#app3831/Z  -0.833 1.030  -0.731 1.093  -0.639 1.170  -0.525 1.198  -0.407 1.217  -0.289 1.241  -0.171 1.253  -0.052 1.242  0.061 1.209  0.171 1.162  0.291 1.162  0.402 1.129  0.507 1.070  0.585 0.987  0.605 0.869  0.613 0.751  0.575 0.637  0.523 0.530  0.464 0.426  0.404 0.322  0.342 0.220  0.280 0.118  0.217 0.016  0.140 -0.075  0.058 -0.163  -0.023 -0.250  -0.116 -0.325  -0.213 -0.396  -0.309 -0.467  -0.406 -0.537  -0.503 -0.607  -0.602 -0.675  -0.701 -0.741  -0.795 -0.816  -0.776 -0.874  -0.709 -0.965  -0.593 -0.936  -0.474 -0.938  -0.355 -0.948  -0.235 -0.948  -0.115 -0.948  0.004 -0.948  0.124 -0.945  0.243 -0.936  0.363 -0.932  0.482 -0.943  0.601 -0.948  0.721 -0.947  0.839 -0.928  0.957 -0.911
