2#tos#t2#t2064064/\"  -0.686 0.242  -0.814 0.051  -0.979 -0.071  -1.104 0.033  -1.313 0.055  -1.165 0.138  -0.935 0.138  -0.809 0.033  -0.790 -0.178  -0.919 -0.280  -1.104 -0.235  -1.104 -0.005  -1.016 0.138  -0.999 -0.076  -0.895 -0.201  -0.895 -0.129  -0.895 -0.244  -0.895 -0.474  -0.790 -0.661  -0.790 -0.891  -0.641 -0.962  -0.488 -0.790  -0.334 -0.619  -0.181 -0.447  -0.027 -0.276  0.126 -0.104  0.280 0.068  0.433 0.239  0.587 0.411  0.740 0.582  0.894 0.754  1.048 0.926  1.038 0.816  0.986 0.594  0.838 0.451  0.608 0.451  0.464 0.537  0.653 0.650  0.881 0.660  0.882 0.430  0.777 0.389  0.840 0.556  0.966 0.386  0.986 0.161  1.089 0.033  1.090 -0.195  1.090 -0.425  1.090 -0.656  1.090 -0.886  1.090 -1.116
2#tos#t2#t2064064/?  -0.487 0.933  -0.610 0.933  -0.734 0.933  -0.857 0.933  -0.903 0.933  -0.780 0.933  -0.656 0.933  -0.533 0.933  -0.409 0.933  -0.285 0.933  -0.162 0.933  -0.038 0.933  0.085 0.933  0.209 0.933  0.333 0.933  0.453 0.919  0.566 0.876  0.652 0.839  0.652 0.715  0.652 0.591  0.643 0.477  0.595 0.401  0.509 0.364  0.482 0.268  0.425 0.201  0.311 0.191  0.243 0.136  0.178 0.070  0.066 0.022  0.026 -0.062  -0.067 -0.092  -0.145 -0.171  -0.145 -0.295  -0.145 -0.419  -0.145 -0.542  -0.088 -0.609  -0.054 -0.724  0.006 -0.832  0.067 -0.940  0.127 -1.048  0.187 -1.156  0.164 -1.271  0.094 -1.345  0.026 -1.401  -0.096 -1.402  -0.070 -1.402  -0.031 -1.487  -0.031 -1.610  -0.135 -1.630  -0.145 -1.630
2#tos#t2#t2064064/@  0.609 0.511  0.441 0.466  0.318 0.511  0.128 0.555  -0.043 0.466  -0.152 0.339  -0.241 0.194  -0.331 0.048  -0.305 -0.161  -0.241 -0.332  -0.107 -0.459  0.068 -0.519  0.213 -0.609  0.448 -0.603  0.676 -0.564  0.833 -0.486  0.833 -0.251  0.833 -0.016  0.779 0.172  0.744 0.399  0.654 0.544  0.654 0.779  0.598 0.958  0.498 1.093  0.442 1.272  0.296 1.361  0.061 1.361  -0.155 1.317  -0.286 1.186  -0.465 1.130  -0.555 0.985  -0.644 0.813  -0.705 0.629  -0.776 0.424  -0.824 0.235  -0.824 -0.000  -0.913 -0.146  -0.913 -0.381  -0.913 -0.616  -0.824 -0.796  -0.779 -0.986  -0.623 -1.078  -0.488 -1.191  -0.286 -1.225  -0.107 -1.281  0.109 -1.325  0.344 -1.325  0.520 -1.266  0.654 -1.165  0.744 -0.967
2#tos#t2#t2064064/]  -0.376 1.187  -0.462 1.144  -0.549 1.101  -0.556 1.076  -0.460 1.076  -0.383 1.124  -0.289 1.131  -0.193 1.131  -0.096 1.131  0.000 1.131  0.097 1.131  0.193 1.131  0.290 1.131  0.345 1.090  0.345 0.994  0.345 0.897  0.345 0.801  0.345 0.704  0.345 0.607  0.345 0.511  0.345 0.414  0.319 0.329  0.290 0.244  0.290 0.148  0.290 0.051  0.234 0.010  0.234 -0.087  0.234 -0.183  0.234 -0.280  0.234 -0.376  0.234 -0.473  0.234 -0.569  0.234 -0.666  0.234 -0.763  0.185 -0.810  0.179 -0.900  0.179 -0.997  0.179 -1.093  0.179 -1.190  0.091 -1.198  -0.006 -1.198  -0.103 -1.198  -0.199 -1.198  -0.296 -1.198  -0.392 -1.198  -0.489 -1.198  -0.585 -1.198  -0.653 -1.169  -0.723 -1.143  -0.820 -1.143
2#tos#t2#t2064064/^  -1.382 -0.333  -1.440 -0.419  -1.498 -0.506  -1.477 -0.550  -1.448 -0.471  -1.371 -0.405  -1.267 -0.405  -1.185 -0.353  -1.111 -0.279  -1.037 -0.206  -1.013 -0.115  -0.909 -0.115  -0.825 -0.066  -0.752 0.007  -0.657 0.030  -0.584 0.061  -0.584 0.165  -0.495 0.205  -0.396 0.238  -0.366 0.320  -0.262 0.320  -0.222 0.384  -0.149 0.416  -0.095 0.465  -0.004 0.479  0.041 0.538  0.145 0.538  0.249 0.538  0.353 0.538  0.431 0.511  0.431 0.407  0.431 0.303  0.480 0.247  0.584 0.247  0.649 0.208  0.719 0.175  0.794 0.145  0.855 0.102  0.866 0.010  0.918 -0.043  1.011 -0.054  1.049 -0.134  1.142 -0.181  1.172 -0.260  1.229 -0.308  1.301 -0.339  1.339 -0.405  1.374 -0.475  1.445 -0.549  1.519 -0.623
2#tos#t2#t2064064/`  0.068 1.392  -0.019 1.392  -0.106 1.392  -0.186 1.361  -0.264 1.322  -0.341 1.283  -0.419 1.244  -0.497 1.205  -0.506 1.124  -0.506 1.037  -0.506 0.949  -0.506 0.862  -0.506 0.775  -0.506 0.688  -0.506 0.601  -0.506 0.514  -0.506 0.427  -0.506 0.340  -0.506 0.253  -0.427 0.244  -0.340 0.244  -0.253 0.244  -0.166 0.244  -0.123 0.200  -0.123 0.113  -0.123 0.026  -0.123 -0.061  -0.116 -0.145  -0.055 -0.207  0.007 -0.268  0.068 -0.330  0.107 -0.408  0.146 -0.486  0.185 -0.564  0.224 -0.642  0.268 -0.712  0.355 -0.712  0.442 -0.712  0.451 -0.790  0.451 -0.877  0.494 -0.947  0.555 -1.008  0.617 -1.070  0.642 -1.146  0.642 -1.234  0.642 -1.321  0.642 -1.408  0.659 -1.478  0.746 -1.478  0.833 -1.478
2#tos#t2#t2064064/~  -1.165 -0.225  -1.265 -0.225  -1.300 -0.290  -1.360 -0.330  -1.360 -0.280  -1.360 -0.180  -1.303 -0.104  -1.295 -0.007  -1.295 0.093  -1.202 0.100  -1.102 0.100  -1.067 0.165  -0.967 0.165  -0.905 0.203  -0.897 0.295  -0.797 0.295  -0.697 0.295  -0.597 0.295  -0.497 0.295  -0.397 0.295  -0.297 0.295  -0.197 0.295  -0.097 0.295  -0.061 0.231  0.038 0.230  0.073 0.165  0.173 0.165  0.208 0.100  0.264 0.055  0.343 0.035  0.394 -0.015  0.414 -0.095  0.514 -0.095  0.524 -0.185  0.584 -0.225  0.684 -0.225  0.784 -0.225  0.849 -0.260  0.919 -0.290  1.019 -0.290  1.119 -0.290  1.219 -0.290  1.254 -0.225  1.354 -0.225  1.389 -0.160  1.434 -0.105  1.434 -0.005  1.494 0.035  1.499 0.130  1.499 0.230
2#tos#t2#t2064064/0  0.392 0.998  0.262 1.030  0.197 1.128  0.099 1.193  -0.063 1.193  -0.193 1.160  -0.259 1.063  -0.324 0.965  -0.324 0.802  -0.422 0.737  -0.454 0.607  -0.552 0.542  -0.584 0.411  -0.584 0.249  -0.630 0.105  -0.649 -0.050  -0.649 -0.213  -0.649 -0.376  -0.649 -0.538  -0.649 -0.701  -0.649 -0.864  -0.584 -1.000  -0.506 -1.085  -0.404 -1.183  -0.326 -1.280  -0.191 -1.345  -0.038 -1.370  0.108 -1.410  0.262 -1.402  0.327 -1.304  0.392 -1.206  0.411 -1.048  0.516 -0.955  0.523 -0.799  0.523 -0.636  0.588 -0.538  0.588 -0.375  0.588 -0.213  0.588 -0.050  0.588 0.113  0.588 0.276  0.523 0.373  0.523 0.536  0.458 0.634  0.392 0.732  0.366 0.868  0.268 0.933  0.235 1.063  0.090 1.105  -0.063 1.128
2#tos#t2#t2064064/1  -0.411 0.928  -0.472 0.867  -0.534 0.806  -0.465 0.810  -0.401 0.864  -0.347 0.897  -0.297 0.953  -0.220 0.992  -0.180 1.068  -0.126 1.121  -0.054 1.157  0.021 1.186  0.039 1.246  0.039 1.159  0.039 1.072  0.039 0.985  0.039 0.899  0.039 0.812  0.050 0.736  0.103 0.703  0.103 0.616  0.103 0.529  0.103 0.442  0.103 0.356  0.103 0.269  0.103 0.182  0.103 0.095  0.103 0.009  0.103 -0.078  0.103 -0.165  0.103 -0.252  0.103 -0.338  0.103 -0.425  0.103 -0.512  0.103 -0.599  0.103 -0.685  0.103 -0.772  0.103 -0.859  0.103 -0.946  0.103 -1.032  0.103 -1.119  0.103 -1.206  0.103 -1.293  0.103 -1.379  0.103 -1.466  0.103 -1.553  0.103 -1.640  0.103 -1.726  0.103 -1.813  0.103 -1.900
2#tos#t2#t2064064/3  -0.448 0.924  -0.610 0.924  -0.601 1.055  -0.450 1.102  -0.351 1.180  -0.199 1.221  -0.037 1.221  0.126 1.221  0.288 1.221  0.331 1.100  0.485 1.048  0.587 0.983  0.621 0.855  0.584 0.708  0.469 0.594  0.383 0.467  0.239 0.449  0.136 0.390  0.007 0.310  -0.108 0.195  -0.252 0.152  -0.414 0.152  -0.577 0.152  -0.513 0.152  -0.375 0.211  -0.269 0.268  -0.110 0.271  0.045 0.253  0.179 0.165  0.324 0.138  0.382 0.033  0.472 -0.056  0.545 -0.188  0.562 -0.343  0.562 -0.505  0.479 -0.620  0.443 -0.746  0.383 -0.883  0.324 -0.986  0.270 -1.094  0.178 -1.197  0.019 -1.213  -0.032 -1.324  -0.151 -1.368  -0.289 -1.391  -0.448 -1.395  -0.554 -1.451  -0.717 -1.451  -0.879 -1.451  -1.041 -1.451
2#tos#t2#t2064064/6  0.207 1.839  0.131 1.755  0.117 1.603  -0.021 1.528  -0.021 1.368  -0.103 1.252  -0.236 1.163  -0.314 1.025  -0.344 0.871  -0.394 0.719  -0.401 0.560  -0.467 0.415  -0.477 0.257  -0.523 0.105  -0.554 -0.051  -0.554 -0.211  -0.589 -0.362  -0.630 -0.513  -0.630 -0.673  -0.630 -0.833  -0.630 -0.994  -0.554 -1.078  -0.520 -1.204  -0.359 -1.204  -0.199 -1.204  -0.039 -1.204  0.118 -1.183  0.270 -1.132  0.391 -1.030  0.524 -0.942  0.587 -0.815  0.653 -0.682  0.777 -0.595  0.924 -0.541  0.968 -0.408  0.968 -0.248  0.968 -0.087  0.926 0.055  0.856 0.165  0.695 0.165  0.535 0.165  0.408 0.219  0.309 0.317  0.149 0.317  -0.011 0.317  -0.171 0.317  -0.315 0.247  -0.466 0.194  -0.622 0.165  -0.706 0.089
2#tos#t2#t2064064/A  0.684 1.758  0.423 1.683  0.276 1.460  0.225 1.196  0.123 0.968  -0.025 0.722  -0.166 0.511  -0.258 0.250  -0.407 0.037  -0.483 -0.241  -0.634 -0.477  -0.734 -0.747  -0.840 -1.014  -0.978 -1.186  -0.868 -1.022  -0.734 -0.766  -0.601 -0.511  -0.468 -0.255  -0.335 0.001  -0.202 0.256  -0.069 0.512  0.065 0.768  0.198 1.024  0.331 1.279  0.303 1.377  0.185 1.202  0.334 0.994  0.401 0.723  0.441 0.449  0.598 0.219  0.687 -0.048  0.798 -0.296  0.961 -0.527  0.961 -0.815  1.072 -1.068  1.040 -1.189  0.784 -1.057  0.528 -0.925  0.271 -0.793  0.015 -0.660  -0.241 -0.528  -0.497 -0.396  -0.701 -0.421  -0.952 -0.459  -0.961 -0.403  -0.680 -0.359  -0.394 -0.348  -0.114 -0.292  0.174 -0.292  0.462 -0.292
2#tos#t2#t2064064/C  0.696 0.515  0.748 0.595  0.803 0.673  0.803 0.785  0.803 0.897  0.803 1.009  0.753 1.101  0.643 1.105  0.531 1.105  0.419 1.105  0.308 1.099  0.208 1.049  0.108 0.999  0.015 0.937  -0.080 0.878  -0.162 0.817  -0.233 0.748  -0.326 0.687  -0.416 0.620  -0.496 0.545  -0.538 0.443  -0.562 0.354  -0.674 0.354  -0.699 0.267  -0.699 0.155  -0.699 0.043  -0.720 -0.064  -0.752 -0.168  -0.752 -0.280  -0.752 -0.392  -0.752 -0.504  -0.699 -0.584  -0.622 -0.657  -0.561 -0.749  -0.502 -0.843  -0.466 -0.933  -0.354 -0.933  -0.250 -0.952  -0.171 -1.032  -0.062 -1.040  0.050 -1.040  0.162 -1.040  0.274 -1.040  0.386 -1.040  0.486 -1.001  0.580 -0.938  0.690 -0.933  0.802 -0.933  0.911 -0.914  1.017 -0.879
2#tos#t2#t2064064/D  -0.009 0.771  -0.064 0.924  -0.166 0.815  -0.260 0.628  -0.373 0.452  -0.419 0.254  -0.419 0.045  -0.557 -0.090  -0.619 -0.285  -0.624 -0.494  -0.668 -0.696  -0.675 -0.904  -0.717 -1.049  -0.641 -0.854  -0.566 -0.659  -0.490 -0.464  -0.415 -0.269  -0.339 -0.074  -0.264 0.121  -0.188 0.316  -0.113 0.511  -0.316 0.514  -0.483 0.617  -0.521 0.788  -0.500 0.976  -0.295 0.990  -0.113 1.078  0.096 1.078  0.305 1.078  0.514 1.078  0.720 1.050  0.914 0.975  1.062 0.827  1.170 0.654  1.170 0.445  1.170 0.236  1.170 0.027  1.076 -0.143  1.036 -0.336  0.905 -0.497  0.757 -0.641  0.597 -0.775  0.435 -0.903  0.242 -0.984  0.071 -1.096  -0.126 -1.125  -0.306 -1.221  -0.513 -1.228  -0.722 -1.228  -0.931 -1.228
2#tos#t2#t2064064/E  -0.404 0.991  -0.649 0.895  -0.493 0.951  -0.244 0.999  0.002 1.088  0.260 1.141  0.519 1.187  0.775 1.262  1.040 1.281  1.031 1.259  0.781 1.165  0.530 1.071  0.280 0.977  0.029 0.883  -0.232 0.847  -0.404 0.723  -0.501 0.496  -0.501 0.228  -0.597 -0.010  -0.633 -0.267  -0.693 -0.516  -0.693 -0.784  -0.742 -1.044  -0.708 -1.050  -0.602 -0.804  -0.497 -0.558  -0.392 -0.312  -0.363 -0.117  -0.612 -0.197  -0.560 -0.165  -0.305 -0.104  -0.055 -0.015  0.195 0.062  0.446 0.145  0.711 0.172  0.922 0.148  0.736 -0.045  0.550 -0.238  0.364 -0.430  0.179 -0.623  -0.007 -0.815  -0.193 -1.008  -0.389 -1.177  -0.448 -1.247  -0.187 -1.217  0.055 -1.129  0.322 -1.129  0.555 -1.064  0.778 -0.966  1.042 -0.936
2#tos#t2#t2064064/F  0.166 0.726  0.017 0.636  -0.177 0.606  -0.378 0.571  -0.531 0.571  -0.326 0.571  -0.178 0.675  -0.000 0.726  0.189 0.789  0.384 0.829  0.582 0.857  0.768 0.933  0.969 0.966  1.168 0.995  1.343 1.036  1.143 0.996  0.945 0.947  0.747 0.897  0.549 0.848  0.350 0.798  0.200 0.726  -0.001 0.705  -0.144 0.618  -0.210 0.439  -0.286 0.249  -0.299 0.047  -0.395 -0.125  -0.453 -0.310  -0.503 -0.506  -0.505 -0.711  -0.608 -0.884  -0.608 -1.088  -0.634 -1.286  -0.660 -1.485  -0.660 -1.689  -0.599 -1.515  -0.534 -1.322  -0.469 -1.128  -0.405 -0.934  -0.382 -0.770  -0.587 -0.770  -0.636 -0.745  -0.460 -0.646  -0.285 -0.548  -0.087 -0.498  0.108 -0.438  0.305 -0.409  0.494 -0.340  0.684 -0.306  0.888 -0.306
2#tos#t2#t2064064/I  -0.195 0.955  -0.319 0.924  -0.445 0.911  -0.360 0.945  -0.236 0.959  -0.144 1.047  -0.023 1.087  0.104 1.090  0.232 1.090  0.359 1.090  0.487 1.090  0.615 1.090  0.742 1.090  0.624 1.057  0.501 1.023  0.378 0.990  0.255 0.956  0.132 0.930  0.029 0.889  0.029 0.761  0.029 0.634  0.014 0.508  -0.016 0.385  -0.016 0.258  -0.016 0.130  -0.023 0.005  -0.094 -0.102  -0.106 -0.226  -0.106 -0.353  -0.106 -0.481  -0.133 -0.604  -0.150 -0.729  -0.234 -0.819  -0.330 -0.903  -0.426 -0.987  -0.526 -1.059  -0.624 -1.130  -0.726 -1.193  -0.611 -1.193  -0.486 -1.182  -0.366 -1.149  -0.239 -1.149  -0.111 -1.149  0.017 -1.149  0.140 -1.134  0.246 -1.063  0.373 -1.059  0.498 -1.049  0.617 -1.014  0.745 -1.014
2#tos#t2#t2064064/J  0.453 1.436  0.357 1.436  0.357 1.531  0.310 1.578  0.310 1.482  0.310 1.386  0.341 1.295  0.357 1.201  0.357 1.105  0.357 1.009  0.398 0.923  0.405 0.828  0.429 0.742  0.453 0.656  0.453 0.560  0.453 0.464  0.453 0.368  0.453 0.272  0.453 0.176  0.453 0.080  0.453 -0.016  0.453 -0.113  0.424 -0.202  0.405 -0.293  0.398 -0.382  0.352 -0.435  0.274 -0.478  0.262 -0.562  0.262 -0.658  0.186 -0.707  0.140 -0.765  0.118 -0.839  0.043 -0.861  -0.053 -0.861  -0.101 -0.909  -0.197 -0.909  -0.293 -0.909  -0.389 -0.909  -0.484 -0.899  -0.575 -0.869  -0.663 -0.845  -0.741 -0.790  -0.819 -0.737  -0.905 -0.708  -0.982 -0.660  -0.992 -0.574  -1.071 -0.532  -1.105 -0.451  -1.139 -0.369  -1.173 -0.287
2#tos#t2#t2064064/K  -0.502 1.339  -0.603 1.367  -0.603 1.132  -0.603 0.897  -0.603 0.662  -0.603 0.427  -0.603 0.192  -0.603 -0.043  -0.603 -0.278  -0.603 -0.514  -0.603 -0.749  -0.552 -0.963  -0.552 -1.198  -0.552 -1.433  -0.513 -1.629  -0.405 -1.428  -0.302 -1.216  -0.200 -1.004  -0.098 -0.793  0.004 -0.581  0.106 -0.369  0.209 -0.157  0.311 0.054  0.413 0.266  0.515 0.478  0.618 0.690  0.720 0.901  0.822 1.113  0.867 1.289  0.682 1.238  0.514 1.117  0.335 0.969  0.133 0.852  -0.021 0.687  -0.199 0.535  -0.351 0.421  -0.498 0.333  -0.603 0.203  -0.552 0.119  -0.375 0.031  -0.200 -0.029  -0.066 -0.162  0.144 -0.267  0.337 -0.372  0.560 -0.424  0.712 -0.573  0.927 -0.623  1.058 -0.757  1.225 -0.824  1.360 -0.925
