2#apa#apa10#app1000/@  0.231 0.117  0.280 0.291  0.308 0.291  0.085 0.291  -0.135 0.282  -0.335 0.183  -0.466 0.041  -0.466 -0.182  -0.293 -0.231  -0.078 -0.205  0.108 -0.081  0.293 0.042  0.467 0.179  0.579 0.356  0.500 0.386  0.405 0.202  0.405 -0.021  0.405 -0.244  0.466 -0.406  0.689 -0.406  0.865 -0.294  1.023 -0.136  1.152 0.042  1.251 0.241  1.276 0.458  1.242 0.663  1.057 0.786  0.871 0.910  0.672 0.988  0.449 0.988  0.226 0.988  0.004 0.988  -0.219 0.988  -0.398 0.882  -0.556 0.724  -0.702 0.557  -0.836 0.379  -0.969 0.201  -1.103 0.022  -1.163 -0.181  -1.163 -0.403  -1.163 -0.626  -1.163 -0.849  -1.163 -1.072  -1.027 -1.238  -0.822 -1.305  -0.603 -1.341  -0.383 -1.378  -0.163 -1.414  0.057 -1.451
2#apa#apa10#app1000/u  -0.755 0.596  -0.851 0.596  -0.948 0.596  -1.043 0.594  -1.043 0.497  -1.043 0.400  -1.042 0.304  -1.012 0.212  -0.981 0.120  -0.950 0.028  -0.920 -0.064  -0.889 -0.155  -0.859 -0.247  -0.828 -0.339  -0.797 -0.431  -0.767 -0.523  -0.714 -0.601  -0.645 -0.669  -0.577 -0.738  -0.508 -0.806  -0.429 -0.848  -0.332 -0.848  -0.235 -0.848  -0.150 -0.821  -0.081 -0.753  -0.013 -0.684  0.056 -0.616  0.124 -0.547  0.193 -0.479  0.261 -0.411  0.329 -0.342  0.398 -0.274  0.466 -0.205  0.535 -0.137  0.603 -0.068  0.672 0.000  0.729 0.078  0.783 0.158  0.837 0.239  0.890 0.319  0.944 0.400  0.998 0.480  1.051 0.561  1.105 0.641  1.159 0.722  1.213 0.803  1.266 0.883  1.267 0.980  1.267 1.076  1.267 1.173
2#apa#apa10#app1000/g  0.205 1.076  0.102 1.179  -0.014 1.202  -0.144 1.137  -0.270 1.068  -0.335 0.938  -0.400 0.808  -0.424 0.668  -0.424 0.523  -0.353 0.447  -0.214 0.473  -0.084 0.538  0.046 0.604  0.149 0.706  0.252 0.809  0.355 0.912  0.362 1.054  0.362 1.200  0.412 1.133  0.477 1.002  0.519 0.867  0.519 0.721  0.519 0.576  0.519 0.430  0.519 0.285  0.519 0.140  0.519 -0.006  0.519 -0.151  0.519 -0.297  0.494 -0.439  0.459 -0.580  0.423 -0.721  0.388 -0.863  0.335 -0.994  0.232 -1.096  0.129 -1.199  0.019 -1.290  -0.119 -1.336  -0.257 -1.382  -0.395 -1.428  -0.526 -1.387  -0.656 -1.322  -0.738 -1.226  -0.738 -1.081  -0.738 -0.935  -0.738 -0.790  -0.732 -0.647  -0.629 -0.544  -0.526 -0.441  -0.424 -0.338
2#apa#apa10#app1000/g  0.149 1.292  0.029 1.292  -0.091 1.292  -0.211 1.292  -0.285 1.247  -0.294 1.129  -0.348 1.022  -0.401 0.915  -0.429 0.802  -0.429 0.682  -0.422 0.570  -0.302 0.570  -0.182 0.570  -0.062 0.570  0.028 0.617  0.082 0.724  0.135 0.832  0.212 0.922  0.296 0.999  0.349 0.892  0.403 0.785  0.438 0.673  0.438 0.553  0.438 0.434  0.438 0.314  0.438 0.194  0.438 0.074  0.438 -0.046  0.438 -0.166  0.438 -0.285  0.438 -0.405  0.438 -0.525  0.412 -0.639  0.359 -0.746  0.305 -0.853  0.251 -0.960  0.198 -1.068  0.140 -1.171  0.040 -1.238  -0.059 -1.304  -0.159 -1.371  -0.259 -1.437  -0.373 -1.454  -0.474 -1.409  -0.559 -1.325  -0.574 -1.211  -0.574 -1.091  -0.574 -0.971  -0.574 -0.851  -0.574 -0.732
2#apa#apa10#app1000/l  0.196 0.657  0.196 0.739  0.196 0.822  0.196 0.904  0.196 0.987  0.196 1.069  0.196 1.152  0.196 1.234  0.196 1.317  0.196 1.400  0.177 1.324  0.157 1.244  0.137 1.164  0.117 1.083  0.097 1.003  0.077 0.923  0.057 0.843  0.037 0.763  0.017 0.683  -0.003 0.603  -0.023 0.523  -0.043 0.443  -0.052 0.361  -0.052 0.279  -0.052 0.196  -0.052 0.114  -0.052 0.031  -0.052 -0.052  -0.052 -0.134  -0.052 -0.217  -0.052 -0.299  -0.052 -0.382  -0.052 -0.464  -0.052 -0.547  -0.052 -0.629  -0.052 -0.712  -0.052 -0.795  -0.052 -0.877  -0.052 -0.960  -0.052 -1.042  -0.065 -1.123  -0.092 -1.201  -0.118 -1.279  -0.144 -1.358  -0.170 -1.436  -0.196 -1.514  -0.222 -1.593  -0.248 -1.671  -0.274 -1.749  -0.300 -1.828
2#apa#apa10#app1000/e  -0.318 0.053  -0.480 0.053  -0.579 0.053  -0.417 0.053  -0.255 0.053  -0.094 0.053  0.068 0.053  0.230 0.053  0.392 0.053  0.554 0.053  0.670 0.164  0.784 0.278  0.851 0.412  0.851 0.574  0.851 0.736  0.851 0.898  0.759 1.021  0.645 1.136  0.519 1.222  0.357 1.222  0.195 1.222  0.033 1.222  -0.099 1.149  -0.213 1.035  -0.327 0.920  -0.442 0.806  -0.556 0.691  -0.649 0.561  -0.721 0.416  -0.793 0.272  -0.866 0.127  -0.867 -0.018  -0.795 -0.163  -0.723 -0.307  -0.650 -0.452  -0.610 -0.605  -0.610 -0.766  -0.610 -0.928  -0.610 -1.090  -0.475 -1.116  -0.313 -1.116  -0.151 -1.116  0.011 -1.116  0.172 -1.116  0.334 -1.116  0.496 -1.116  0.658 -1.116  0.820 -1.116  0.981 -1.116  1.143 -1.116
2#apa#apa10#app1000/r  0.065 0.440  -0.066 0.440  -0.196 0.440  -0.250 0.363  -0.250 0.233  -0.250 0.102  -0.250 -0.029  -0.250 -0.160  -0.250 -0.291  -0.250 -0.421  -0.250 -0.552  -0.250 -0.683  -0.250 -0.814  -0.250 -0.944  -0.250 -1.075  -0.250 -1.206  -0.250 -1.337  -0.260 -1.444  -0.353 -1.352  -0.445 -1.259  -0.537 -1.167  -0.566 -1.048  -0.566 -0.917  -0.566 -0.786  -0.566 -0.656  -0.566 -0.525  -0.566 -0.394  -0.566 -0.263  -0.540 -0.139  -0.481 -0.022  -0.423 0.095  -0.364 0.212  -0.306 0.329  -0.244 0.443  -0.127 0.501  -0.010 0.560  0.107 0.618  0.223 0.677  0.340 0.735  0.441 0.816  0.534 0.909  0.626 1.001  0.728 1.071  0.859 1.071  0.990 1.071  1.120 1.071  1.251 1.071  1.382 1.071  1.513 1.071  1.643 1.071
2#apa#apa10#app1000/s  -1.498 -0.080  -1.628 -0.080  -1.758 -0.080  -1.677 -0.168  -1.585 -0.259  -1.491 -0.346  -1.362 -0.346  -1.232 -0.346  -1.116 -0.288  -1.000 -0.230  -0.884 -0.172  -0.768 -0.114  -0.655 -0.050  -0.547 0.022  -0.439 0.094  -0.331 0.166  -0.223 0.238  -0.115 0.310  -0.007 0.382  0.101 0.451  0.231 0.451  0.361 0.451  0.491 0.451  0.620 0.451  0.750 0.451  0.880 0.451  1.010 0.451  1.139 0.451  1.269 0.451  1.399 0.451  1.427 0.350  1.427 0.221  1.360 0.119  1.269 0.027  1.177 -0.065  1.065 -0.129  0.949 -0.187  0.833 -0.245  0.717 -0.303  0.597 -0.346  0.467 -0.346  0.338 -0.346  0.208 -0.346  0.078 -0.346  -0.052 -0.346  -0.181 -0.346  -0.311 -0.346  -0.434 -0.340  -0.434 -0.210  -0.434 -0.080
2#apa#apa10#app1000/_  -1.440 0.505  -1.440 0.431  -1.440 0.358  -1.440 0.285  -1.440 0.211  -1.396 0.183  -1.322 0.183  -1.249 0.183  -1.175 0.183  -1.103 0.177  -1.033 0.154  -0.964 0.131  -0.894 0.108  -0.824 0.085  -0.755 0.061  -0.685 0.038  -0.616 0.015  -0.546 -0.008  -0.476 -0.031  -0.407 -0.055  -0.337 -0.078  -0.268 -0.101  -0.198 -0.124  -0.127 -0.140  -0.054 -0.140  0.020 -0.140  0.093 -0.140  0.166 -0.140  0.240 -0.140  0.313 -0.140  0.387 -0.140  0.460 -0.140  0.533 -0.140  0.607 -0.140  0.680 -0.140  0.754 -0.140  0.827 -0.140  0.900 -0.140  0.974 -0.140  1.047 -0.140  1.120 -0.140  1.194 -0.140  1.267 -0.140  1.341 -0.140  1.414 -0.140  1.459 -0.111  1.459 -0.038  1.459 0.036  1.459 0.109  1.459 0.183
2#apa#apa10#app1000/_  -1.056 -0.327  -1.109 -0.274  -1.162 -0.221  -1.216 -0.167  -1.269 -0.114  -1.322 -0.061  -1.375 -0.008  -1.384 0.027  -1.309 0.027  -1.234 0.027  -1.158 0.027  -1.083 0.027  -1.008 0.027  -0.932 0.027  -0.857 0.027  -0.782 0.027  -0.706 0.027  -0.631 0.027  -0.555 0.027  -0.480 0.027  -0.405 0.027  -0.329 0.027  -0.254 0.027  -0.179 0.027  -0.103 0.027  -0.028 0.027  0.047 0.027  0.123 0.027  0.198 0.027  0.273 0.027  0.349 0.027  0.424 0.027  0.499 0.027  0.575 0.027  0.650 0.027  0.725 0.027  0.801 0.027  0.876 0.027  0.951 0.027  1.027 0.027  1.102 0.027  1.177 0.027  1.253 0.027  1.328 0.027  1.403 0.027  1.479 0.027  1.554 0.027  1.629 0.027  1.705 0.027  1.780 0.027
2#apa#apa10#app1000/w  -1.125 0.774  -1.172 0.681  -1.219 0.587  -1.266 0.493  -1.307 0.398  -1.307 0.294  -1.307 0.189  -1.307 0.084  -1.307 -0.020  -1.307 -0.125  -1.219 -0.176  -1.125 -0.222  -1.032 -0.269  -0.937 -0.313  -0.833 -0.313  -0.732 -0.297  -0.638 -0.250  -0.544 -0.204  -0.451 -0.157  -0.352 -0.132  -0.247 -0.132  -0.151 -0.097  -0.057 -0.051  0.037 -0.004  0.130 0.043  0.233 0.049  0.324 0.035  0.324 -0.069  0.324 -0.174  0.324 -0.279  0.374 -0.363  0.448 -0.437  0.529 -0.494  0.633 -0.494  0.738 -0.494  0.843 -0.494  0.924 -0.438  0.998 -0.364  1.057 -0.281  1.082 -0.179  1.107 -0.078  1.133 0.024  1.158 0.125  1.184 0.227  1.209 0.328  1.230 0.430  1.230 0.535  1.197 0.626  1.123 0.700  1.049 0.774
2#apa#apa10#app1000/i  -0.127 0.369  -0.127 0.256  -0.127 0.143  -0.127 0.031  -0.127 -0.082  -0.127 -0.195  -0.127 -0.308  -0.127 -0.420  -0.127 -0.533  -0.127 -0.646  -0.127 -0.759  -0.127 -0.871  -0.127 -0.984  -0.127 -1.097  -0.127 -1.210  -0.127 -1.322  -0.127 -1.435  -0.125 -1.510  -0.112 -1.398  -0.100 -1.286  -0.087 -1.174  -0.075 -1.062  -0.063 -0.950  -0.050 -0.838  -0.038 -0.726  -0.025 -0.614  -0.013 -0.502  -0.000 -0.390  0.012 -0.278  0.025 -0.166  0.037 -0.053  0.049 0.059  0.062 0.171  0.074 0.283  0.087 0.395  0.099 0.507  0.112 0.619  0.124 0.731  0.137 0.843  0.149 0.955  0.162 1.067  0.174 1.179  0.186 1.291  0.199 1.403  0.211 1.515  0.224 1.627  0.236 1.740  0.249 1.852  0.176 1.887  0.063 1.887
2#apa#apa10#app1000/l  0.303 1.654  0.272 1.591  0.240 1.529  0.209 1.467  0.178 1.404  0.147 1.342  0.115 1.279  0.093 1.215  0.093 1.145  0.093 1.075  0.093 1.005  0.093 0.935  0.093 0.866  0.093 0.796  0.093 0.726  0.093 0.656  0.089 0.587  0.076 0.518  0.062 0.450  0.048 0.381  0.035 0.313  0.021 0.244  0.007 0.176  -0.007 0.108  -0.020 0.039  -0.034 -0.029  -0.048 -0.098  -0.061 -0.166  -0.075 -0.235  -0.089 -0.303  -0.102 -0.372  -0.116 -0.440  -0.116 -0.510  -0.116 -0.580  -0.116 -0.649  -0.116 -0.719  -0.116 -0.789  -0.116 -0.859  -0.116 -0.929  -0.116 -0.999  -0.116 -1.068  -0.116 -1.138  -0.116 -1.208  -0.116 -1.278  -0.116 -1.348  -0.116 -1.417  -0.116 -1.487  -0.116 -1.557  -0.116 -1.627  -0.116 -1.697
2#apa#apa10#app1000/l  0.497 1.562  0.448 1.512  0.398 1.463  0.348 1.413  0.298 1.363  0.248 1.313  0.199 1.263  0.149 1.214  0.099 1.164  0.081 1.098  0.071 1.029  0.061 0.959  0.051 0.889  0.041 0.819  0.031 0.750  0.021 0.680  0.011 0.610  0.002 0.541  -0.008 0.471  -0.018 0.401  -0.028 0.332  -0.038 0.262  -0.048 0.192  -0.058 0.123  -0.068 0.053  -0.078 -0.017  -0.088 -0.086  -0.098 -0.156  -0.108 -0.226  -0.115 -0.296  -0.115 -0.366  -0.115 -0.436  -0.115 -0.507  -0.115 -0.577  -0.115 -0.648  -0.115 -0.718  -0.115 -0.788  -0.115 -0.859  -0.115 -0.929  -0.115 -1.000  -0.115 -1.070  -0.115 -1.140  -0.115 -1.211  -0.115 -1.281  -0.115 -1.352  -0.115 -1.422  -0.115 -1.492  -0.115 -1.563  -0.115 -1.633  -0.115 -1.704
2#apa#apa10#app1000/_  -0.070 0.039  -0.179 0.039  -0.287 0.039  -0.395 0.039  -0.503 0.039  -0.611 0.039  -0.720 0.039  -0.828 0.039  -0.936 0.039  -1.044 0.039  -1.089 0.103  -1.089 0.211  -1.089 0.319  -1.089 0.427  -1.089 0.535  -1.089 0.452  -1.089 0.344  -1.089 0.236  -1.089 0.128  -1.069 0.039  -0.961 0.039  -0.853 0.039  -0.745 0.039  -0.636 0.039  -0.528 0.039  -0.420 0.039  -0.312 0.039  -0.204 0.039  -0.095 0.039  0.013 0.039  0.121 0.039  0.229 0.039  0.337 0.039  0.446 0.039  0.554 0.039  0.662 0.039  0.770 0.039  0.878 0.039  0.975 0.011  1.052 -0.065  1.128 -0.142  1.205 -0.218  1.281 -0.295  1.358 -0.371  1.434 -0.448  1.533 -0.470  1.641 -0.470  1.750 -0.470  1.858 -0.470  1.966 -0.470
2#apa#apa10#app1000/_  -0.961 -0.029  -1.016 0.026  -1.072 0.081  -1.127 0.137  -1.182 0.192  -1.237 0.247  -1.270 0.247  -1.270 0.168  -1.270 0.090  -1.270 0.012  -1.233 -0.029  -1.155 -0.029  -1.076 -0.029  -0.998 -0.029  -0.920 -0.029  -0.842 -0.029  -0.764 -0.029  -0.686 -0.029  -0.607 -0.029  -0.529 -0.029  -0.451 -0.029  -0.373 -0.029  -0.295 -0.029  -0.216 -0.029  -0.138 -0.029  -0.060 -0.029  0.018 -0.029  0.096 -0.029  0.175 -0.029  0.253 -0.029  0.331 -0.029  0.409 -0.029  0.487 -0.029  0.566 -0.029  0.644 -0.029  0.722 -0.029  0.800 -0.029  0.878 -0.029  0.956 -0.029  1.035 -0.029  1.113 -0.029  1.191 -0.029  1.269 -0.029  1.347 -0.029  1.426 -0.029  1.504 -0.029  1.582 -0.029  1.660 -0.029  1.738 -0.029  1.817 -0.029
2#apa#apa10#app1000/d  0.055 -0.403  0.055 -0.219  -0.118 -0.209  -0.302 -0.209  -0.485 -0.209  -0.669 -0.209  -0.838 -0.268  -1.002 -0.350  -1.173 -0.403  -1.302 -0.458  -1.302 -0.641  -1.271 -0.806  -1.107 -0.888  -0.943 -0.970  -0.763 -0.984  -0.579 -0.984  -0.396 -0.984  -0.248 -0.899  -0.118 -0.769  0.012 -0.639  0.094 -0.480  0.152 -0.306  0.210 -0.132  0.282 0.035  0.384 0.188  0.486 0.340  0.587 0.493  0.636 0.662  0.636 0.845  0.636 1.029  0.636 1.212  0.636 1.396  0.636 1.579  0.636 1.696  0.636 1.513  0.631 1.330  0.549 1.166  0.466 1.002  0.421 0.826  0.391 0.645  0.361 0.464  0.331 0.283  0.300 0.102  0.270 -0.079  0.249 -0.260  0.249 -0.444  0.249 -0.627  0.249 -0.811  0.249 -0.994  0.249 -1.178
2#apa#apa10#app1000/e  -0.433 0.110  -0.288 0.110  -0.144 0.110  0.001 0.110  0.146 0.110  0.291 0.110  0.435 0.110  0.580 0.110  0.725 0.110  0.870 0.110  1.014 0.110  1.080 0.189  1.080 0.334  1.028 0.467  0.963 0.596  0.899 0.726  0.834 0.855  0.735 0.960  0.633 1.062  0.518 1.090  0.389 1.026  0.259 0.961  0.130 0.896  -0.004 0.842  -0.141 0.796  -0.279 0.750  -0.416 0.705  -0.553 0.659  -0.687 0.609  -0.722 0.469  -0.757 0.329  -0.792 0.188  -0.827 0.048  -0.862 -0.093  -0.897 -0.233  -0.933 -0.374  -0.938 -0.518  -0.926 -0.658  -0.824 -0.760  -0.722 -0.862  -0.619 -0.965  -0.517 -1.067  -0.407 -1.157  -0.267 -1.192  -0.127 -1.227  0.014 -1.263  0.154 -1.298  0.295 -1.333  0.435 -1.368  0.576 -1.403
2#apa#apa10#app1000/s  -1.425 -0.453  -1.551 -0.453  -1.677 -0.453  -1.638 -0.453  -1.513 -0.453  -1.387 -0.453  -1.261 -0.453  -1.136 -0.453  -1.045 -0.368  -0.956 -0.279  -0.868 -0.190  -0.779 -0.101  -0.690 -0.012  -0.601 0.077  -0.505 0.155  -0.392 0.211  -0.280 0.267  -0.168 0.324  -0.055 0.380  0.058 0.435  0.177 0.474  0.296 0.514  0.415 0.554  0.534 0.594  0.654 0.633  0.773 0.673  0.892 0.713  1.015 0.727  1.141 0.727  1.229 0.689  1.229 0.563  1.229 0.437  1.229 0.312  1.229 0.186  1.174 0.083  1.086 -0.006  0.997 -0.095  0.901 -0.174  0.789 -0.230  0.676 -0.287  0.564 -0.343  0.452 -0.399  0.339 -0.453  0.213 -0.453  0.087 -0.453  -0.038 -0.453  -0.164 -0.453  -0.289 -0.453  -0.415 -0.453  -0.541 -0.453
