2#apa#apa03#app0307/f  0.272 1.736  0.272 1.844  0.249 1.736  0.153 1.702  0.107 1.617  0.034 1.560  -0.035 1.499  -0.085 1.418  -0.150 1.315  -0.204 1.207  -0.204 1.077  -0.204 0.946  -0.204 0.816  -0.204 0.686  -0.125 0.588  -0.085 0.474  -0.085 0.344  -0.085 0.214  -0.037 0.095  0.022 -0.022  0.034 -0.149  0.034 -0.280  0.034 -0.410  0.034 -0.540  0.055 -0.662  0.147 -0.754  0.153 -0.882  0.153 -1.012  0.153 -1.143  0.153 -1.273  0.103 -1.354  -0.002 -1.304  -0.077 -1.198  -0.153 -1.092  -0.229 -0.986  -0.305 -0.880  -0.380 -0.774  -0.456 -0.668  -0.532 -0.561  -0.479 -0.522  -0.349 -0.522  -0.218 -0.522  -0.088 -0.522  0.041 -0.518  0.158 -0.460  0.275 -0.403  0.405 -0.403  0.535 -0.403  0.655 -0.376  0.747 -0.284
2#apa#apa03#app0307/d  -0.079 2.067  -0.079 1.896  0.091 1.896  0.092 1.726  0.092 1.555  0.092 1.384  0.168 1.231  0.244 1.079  0.263 0.912  0.263 0.742  0.263 0.571  0.263 0.400  0.263 0.229  0.263 0.058  0.263 -0.112  0.263 -0.283  0.263 -0.454  0.263 -0.625  0.387 -0.672  0.434 -0.548  0.434 -0.377  0.434 -0.206  0.348 -0.071  0.263 0.064  0.212 0.184  0.042 0.184  -0.129 0.184  -0.300 0.184  -0.471 0.184  -0.642 0.184  -0.764 0.136  -0.812 0.013  -0.935 -0.035  -0.935 -0.206  -0.935 -0.376  -0.935 -0.547  -0.902 -0.705  -0.781 -0.825  -0.618 -0.843  -0.490 -0.946  -0.347 -1.014  -0.176 -1.014  -0.006 -1.014  0.165 -1.014  0.315 -0.963  0.436 -0.843  0.607 -0.843  0.778 -0.843  0.948 -0.843  1.119 -0.843
2#apa#apa03#app0307/k  -0.997 1.277  -0.961 1.104  -0.824 1.032  -0.824 0.823  -0.824 0.614  -0.824 0.405  -0.824 0.195  -0.824 -0.014  -0.824 -0.223  -0.824 -0.432  -0.824 -0.641  -0.824 -0.850  -0.824 -1.059  -0.824 -1.268  -0.722 -1.202  -0.586 -1.043  -0.450 -0.885  -0.314 -0.726  -0.178 -0.567  -0.042 -0.408  0.094 -0.250  0.231 -0.091  0.367 0.068  0.503 0.227  0.639 0.385  0.775 0.544  0.911 0.703  1.047 0.862  1.183 1.020  1.254 1.004  1.119 0.930  0.960 0.809  0.773 0.757  0.564 0.757  0.528 0.584  0.339 0.535  0.181 0.411  0.042 0.341  -0.064 0.238  -0.231 0.137  -0.304 -0.042  -0.304 -0.251  -0.178 -0.408  -0.031 -0.555  0.137 -0.676  0.324 -0.769  0.526 -0.801  0.735 -0.801  0.933 -0.827  1.081 -0.974
2#apa#apa03#app0307/n  -0.948 0.852  -0.948 0.702  -0.832 0.666  -0.762 0.586  -0.762 0.436  -0.762 0.286  -0.762 0.136  -0.762 -0.015  -0.762 -0.165  -0.762 -0.315  -0.762 -0.465  -0.762 -0.616  -0.762 -0.766  -0.762 -0.916  -0.762 -1.066  -0.762 -1.157  -0.762 -1.007  -0.617 -1.001  -0.577 -0.891  -0.577 -0.741  -0.549 -0.603  -0.443 -0.496  -0.336 -0.390  -0.230 -0.284  -0.206 -0.143  -0.206 0.007  -0.173 0.143  -0.067 0.250  0.039 0.356  0.145 0.462  0.164 0.605  0.227 0.729  0.333 0.835  0.439 0.942  0.550 1.037  0.700 1.037  0.812 0.945  0.906 0.833  0.906 0.683  0.906 0.533  0.906 0.383  0.950 0.251  1.057 0.145  1.091 0.009  1.091 -0.142  1.113 -0.283  1.220 -0.389  1.276 -0.516  1.276 -0.666  1.276 -0.816
2#apa#apa03#app0307/e  -0.454 0.044  -0.296 0.044  -0.137 0.044  0.021 0.044  0.180 0.044  0.333 0.050  0.333 0.209  0.459 0.241  0.592 0.303  0.704 0.415  0.726 0.565  0.726 0.723  0.676 0.831  0.530 0.844  0.530 1.002  0.397 1.028  0.239 1.028  0.096 1.068  -0.016 1.180  -0.156 1.225  -0.257 1.168  -0.276 1.028  -0.434 1.028  -0.454 0.889  -0.525 0.760  -0.637 0.648  -0.651 0.495  -0.651 0.337  -0.651 0.178  -0.668 0.027  -0.781 -0.085  -0.848 -0.216  -0.848 -0.375  -0.848 -0.533  -0.745 -0.649  -0.651 -0.769  -0.651 -0.927  -0.504 -0.939  -0.346 -0.939  -0.187 -0.939  -0.038 -0.962  0.074 -1.074  0.207 -1.136  0.365 -1.136  0.524 -1.136  0.682 -1.136  0.841 -1.136  1.000 -1.136  1.158 -1.136  1.317 -1.136
2#apa#apa03#app0307/w  -1.137 0.641  -1.137 0.522  -1.240 0.507  -1.271 0.419  -1.271 0.300  -1.271 0.182  -1.271 0.063  -1.271 -0.055  -1.262 -0.164  -1.143 -0.164  -1.137 -0.277  -1.040 -0.298  -0.921 -0.298  -0.803 -0.298  -0.735 -0.248  -0.700 -0.164  -0.587 -0.151  -0.503 -0.067  -0.400 -0.030  -0.332 0.021  -0.307 0.129  -0.223 0.213  -0.139 0.297  -0.064 0.361  -0.064 0.242  -0.064 0.123  -0.064 0.005  0.020 -0.030  0.070 -0.098  0.108 -0.201  0.191 -0.285  0.275 -0.369  0.368 -0.433  0.486 -0.433  0.605 -0.433  0.723 -0.433  0.842 -0.433  0.960 -0.433  1.059 -0.383  1.142 -0.299  1.226 -0.216  1.278 -0.118  1.299 -0.009  1.383 0.075  1.412 0.182  1.412 0.300  1.412 0.419  1.412 0.538  1.396 0.641  1.278 0.641
2#apa#apa03#app0307/t  0.660 1.979  0.494 1.979  0.375 1.866  0.318 1.724  0.318 1.558  0.245 1.466  0.147 1.398  0.147 1.232  0.147 1.067  0.147 0.901  0.114 0.749  -0.003 0.632  -0.024 0.475  -0.024 0.310  -0.024 0.144  -0.024 -0.021  -0.024 -0.187  -0.024 -0.353  -0.024 -0.518  -0.024 -0.684  -0.024 -0.849  -0.024 -1.015  -0.024 -1.181  -0.024 -1.346  0.047 -1.441  0.213 -1.441  0.318 -1.380  0.282 -1.228  0.172 -1.104  0.063 -0.979  -0.046 -0.854  -0.155 -0.730  -0.264 -0.605  -0.373 -0.480  -0.482 -0.356  -0.591 -0.231  -0.700 -0.107  -0.809 0.018  -0.820 0.098  -0.654 0.098  -0.537 0.050  -0.494 -0.073  -0.328 -0.073  -0.163 -0.073  0.003 -0.073  0.168 -0.073  0.334 -0.073  0.500 -0.073  0.665 -0.073  0.831 -0.073
2#apa#apa03#app0307/h  -0.253 1.816  -0.120 1.816  -0.112 1.692  -0.228 1.675  -0.253 1.567  -0.253 1.435  -0.253 1.303  -0.253 1.170  -0.253 1.038  -0.300 0.925  -0.393 0.831  -0.393 0.699  -0.393 0.566  -0.393 0.434  -0.393 0.302  -0.393 0.169  -0.393 0.037  -0.393 -0.096  -0.447 -0.206  -0.534 -0.302  -0.534 -0.435  -0.534 -0.567  -0.534 -0.700  -0.534 -0.832  -0.534 -0.964  -0.534 -1.097  -0.469 -1.072  -0.375 -0.978  -0.282 -0.885  -0.253 -0.764  -0.169 -0.715  -0.059 -0.662  0.035 -0.568  0.128 -0.475  0.169 -0.359  0.216 -0.246  0.310 -0.153  0.442 -0.153  0.450 -0.028  0.566 -0.012  0.591 -0.120  0.691 -0.153  0.732 -0.244  0.790 -0.352  0.872 -0.451  0.878 -0.581  0.972 -0.674  1.066 -0.768  1.153 -0.864  1.153 -0.996
2#apa#apa03#app0307/a  0.422 0.499  0.422 0.671  0.353 0.815  0.232 0.937  0.083 0.994  -0.089 0.994  -0.261 0.994  -0.433 0.994  -0.594 0.968  -0.716 0.846  -0.816 0.716  -0.816 0.543  -0.944 0.499  -1.064 0.447  -1.064 0.275  -1.064 0.103  -1.064 -0.070  -1.064 -0.242  -1.064 -0.414  -1.064 -0.586  -1.044 -0.739  -0.872 -0.739  -0.816 -0.855  -0.775 -0.986  -0.603 -0.986  -0.431 -0.986  -0.259 -0.986  -0.087 -0.986  0.039 -0.874  0.160 -0.752  0.327 -0.739  0.422 -0.661  0.423 -0.490  0.545 -0.368  0.667 -0.246  0.669 -0.075  0.669 0.097  0.682 0.264  0.803 0.385  0.917 0.511  0.917 0.683  0.917 0.638  0.917 0.466  0.917 0.294  0.917 0.122  0.917 -0.050  0.917 -0.222  0.917 -0.394  0.917 -0.567  0.917 -0.739
2#apa#apa03#app0307/t  0.707 1.763  0.847 1.763  0.711 1.763  0.707 1.627  0.707 1.486  0.574 1.479  0.565 1.348  0.507 1.222  0.445 1.096  0.423 0.961  0.423 0.821  0.423 0.681  0.362 0.566  0.281 0.459  0.264 0.326  0.165 0.227  0.139 0.098  0.139 -0.043  0.139 -0.183  0.139 -0.323  0.071 -0.435  -0.003 -0.544  -0.003 -0.685  -0.003 -0.825  -0.024 -0.956  -0.123 -1.055  -0.145 -1.186  -0.145 -1.327  -0.145 -1.467  -0.178 -1.404  -0.222 -1.271  -0.266 -1.138  -0.311 -1.005  -0.355 -0.872  -0.399 -0.739  -0.444 -0.606  -0.488 -0.473  -0.532 -0.340  -0.577 -0.207  -0.621 -0.074  -0.665 0.059  -0.710 0.192  -0.713 0.071  -0.622 -0.032  -0.503 -0.083  -0.363 -0.083  -0.222 -0.083  -0.101 -0.127  -0.001 -0.225  0.139 -0.225
2#apa#apa03#app0307/s  0.106 1.104  0.026 1.184  -0.053 1.263  -0.164 1.267  -0.277 1.267  -0.389 1.267  -0.502 1.267  -0.614 1.267  -0.712 1.252  -0.712 1.140  -0.712 1.027  -0.694 0.922  -0.614 0.843  -0.534 0.763  -0.455 0.684  -0.385 0.600  -0.385 0.487  -0.310 0.450  -0.204 0.433  -0.125 0.353  -0.040 0.286  0.073 0.286  0.106 0.207  0.134 0.123  0.247 0.123  0.269 0.033  0.297 -0.068  0.377 -0.148  0.456 -0.227  0.536 -0.307  0.596 -0.394  0.596 -0.507  0.659 -0.594  0.738 -0.673  0.760 -0.777  0.728 -0.858  0.616 -0.858  0.596 -0.951  0.554 -1.021  0.442 -1.021  0.359 -1.095  0.280 -1.174  0.172 -1.185  0.059 -1.185  -0.053 -1.185  -0.166 -1.185  -0.278 -1.185  -0.389 -1.181  -0.469 -1.101  -0.548 -1.021
2#apa#apa03#app0307/o  -0.099 0.316  -0.120 0.481  -0.308 0.481  -0.476 0.436  -0.613 0.316  -0.761 0.277  -0.822 0.150  -0.927 0.068  -1.031 -0.015  -1.092 -0.141  -1.092 -0.328  -1.092 -0.515  -1.075 -0.695  -0.943 -0.827  -0.927 -1.008  -0.795 -1.140  -0.622 -1.174  -0.482 -1.288  -0.316 -1.340  -0.129 -1.340  0.012 -1.229  0.176 -1.174  0.232 -1.043  0.340 -0.901  0.472 -0.768  0.563 -0.619  0.563 -0.432  0.563 -0.245  0.563 -0.058  0.563 0.130  0.489 0.299  0.405 0.466  0.394 0.650  0.262 0.783  0.232 0.957  0.066 0.978  -0.122 0.978  -0.220 0.978  -0.033 0.978  0.128 0.916  0.272 0.812  0.398 0.751  0.481 0.647  0.668 0.647  0.729 0.520  0.877 0.481  1.014 0.361  1.182 0.316  1.225 0.460  1.225 0.647
2#apa#apa03#app0307/m  -1.241 0.623  -1.241 0.451  -1.241 0.279  -1.241 0.106  -1.241 -0.066  -1.241 -0.238  -1.241 -0.410  -1.241 -0.582  -1.212 -0.725  -1.055 -0.689  -0.933 -0.567  -0.812 -0.445  -0.792 -0.281  -0.674 -0.158  -0.552 -0.036  -0.492 0.111  -0.492 0.283  -0.360 0.323  -0.343 0.478  -0.316 0.623  -0.193 0.672  -0.193 0.701  -0.193 0.529  -0.193 0.357  -0.193 0.185  -0.193 0.013  -0.193 -0.160  -0.193 -0.332  -0.115 -0.426  0.058 -0.426  0.194 -0.339  0.340 -0.276  0.406 -0.170  0.534 -0.126  0.556 0.024  0.678 0.146  0.800 0.268  0.949 0.323  1.005 0.439  1.103 0.571  1.253 0.623  1.305 0.502  1.305 0.330  1.305 0.158  1.305 -0.014  1.305 -0.186  1.305 -0.358  1.305 -0.531  1.305 -0.703  1.305 -0.875
2#apa#apa03#app0307/e  -0.700 -0.048  -0.544 -0.048  -0.388 -0.048  -0.232 -0.048  -0.076 -0.048  0.080 -0.048  0.236 -0.048  0.383 -0.026  0.493 0.085  0.628 0.161  0.767 0.231  0.815 0.357  0.891 0.482  0.967 0.607  0.930 0.747  0.819 0.857  0.815 1.012  0.661 1.015  0.551 1.126  0.411 1.165  0.255 1.165  0.099 1.165  -0.023 1.084  -0.134 0.973  -0.244 0.863  -0.399 0.860  -0.509 0.750  -0.619 0.639  -0.719 0.521  -0.789 0.382  -0.852 0.240  -0.852 0.084  -0.852 -0.072  -0.852 -0.228  -0.852 -0.384  -0.825 -0.529  -0.715 -0.639  -0.605 -0.749  -0.549 -0.882  -0.468 -0.957  -0.337 -1.018  -0.218 -1.109  -0.062 -1.109  0.094 -1.109  0.238 -1.137  0.348 -1.248  0.499 -1.260  0.655 -1.260  0.811 -1.260  0.967 -1.260
