2#apb#apb22#app2240/E  -0.566 1.013  -0.621 0.794  -0.627 0.557  -0.648 0.322  -0.680 0.087  -0.719 -0.147  -0.755 -0.381  -0.789 -0.615  -0.806 -0.851  -0.805 -1.088  -0.728 -1.083  -0.731 -0.847  -0.735 -0.610  -0.738 -0.373  -0.742 -0.136  -0.745 0.101  -0.741 0.335  -0.568 0.494  -0.356 0.595  -0.139 0.690  0.073 0.796  0.291 0.887  0.512 0.972  0.723 1.080  0.935 1.175  1.171 1.180  1.294 1.195  1.120 1.034  0.947 0.873  0.773 0.712  0.600 0.550  0.426 0.389  0.253 0.228  0.079 0.067  -0.094 -0.095  0.114 -0.023  0.333 0.067  0.557 0.143  0.703 0.131  0.592 -0.079  0.481 -0.288  0.370 -0.497  0.259 -0.706  0.148 -0.916  0.037 -1.125  -0.074 -1.334  -0.150 -1.498  0.046 -1.369  0.253 -1.255  0.467 -1.154
2#apb#apb22#app2240/i  0.305 0.203  0.354 0.300  0.340 0.187  0.323 0.074  0.306 -0.038  0.274 -0.148  0.242 -0.258  0.209 -0.367  0.175 -0.476  0.129 -0.581  0.084 -0.685  0.038 -0.790  0.001 -0.897  -0.023 -1.009  -0.047 -1.121  -0.075 -1.231  -0.111 -1.340  -0.137 -1.450  -0.136 -1.468  -0.132 -1.354  -0.128 -1.240  -0.124 -1.126  -0.120 -1.012  -0.116 -0.898  -0.112 -0.783  -0.108 -0.669  -0.104 -0.555  -0.100 -0.441  -0.096 -0.327  -0.092 -0.213  -0.088 -0.099  -0.084 0.015  -0.080 0.130  -0.076 0.244  -0.073 0.358  -0.069 0.472  -0.065 0.586  -0.061 0.700  -0.057 0.814  -0.053 0.929  -0.049 1.043  -0.045 1.157  -0.041 1.271  -0.037 1.385  -0.033 1.499  -0.029 1.613  -0.025 1.727  -0.021 1.842  -0.017 1.956  -0.014 2.070
2#apb#apb22#app2240/t  0.624 1.835  0.612 1.690  0.584 1.547  0.554 1.404  0.521 1.262  0.488 1.120  0.451 0.979  0.412 0.838  0.373 0.698  0.335 0.557  0.295 0.417  0.253 0.277  0.211 0.138  0.170 -0.002  0.128 -0.142  0.093 -0.283  0.064 -0.426  0.034 -0.569  0.004 -0.712  -0.029 -0.853  -0.075 -0.992  -0.121 -1.130  -0.167 -1.268  -0.200 -1.410  -0.234 -1.552  -0.259 -1.676  -0.271 -1.537  -0.288 -1.392  -0.306 -1.248  -0.324 -1.103  -0.342 -0.958  -0.360 -0.814  -0.378 -0.669  -0.396 -0.524  -0.414 -0.379  -0.432 -0.235  -0.450 -0.090  -0.468 0.055  -0.486 0.199  -0.503 0.344  -0.521 0.489  -0.478 0.604  -0.343 0.652  -0.200 0.681  -0.056 0.703  0.090 0.710  0.235 0.718  0.380 0.708  0.523 0.683  0.667 0.657
2#apb#apb22#app2240/u  -0.416 1.354  -0.507 1.274  -0.582 1.143  -0.632 1.002  -0.668 0.855  -0.706 0.709  -0.756 0.567  -0.807 0.424  -0.858 0.282  -0.888 0.134  -0.916 -0.014  -0.944 -0.162  -0.969 -0.311  -0.990 -0.461  -1.012 -0.610  -1.009 -0.759  -0.976 -0.906  -0.919 -1.043  -0.787 -1.066  -0.637 -1.049  -0.510 -0.974  -0.388 -0.884  -0.266 -0.795  -0.144 -0.706  -0.041 -0.596  0.059 -0.482  0.158 -0.369  0.258 -0.256  0.358 -0.142  0.445 -0.019  0.533 0.104  0.621 0.227  0.712 0.347  0.808 0.464  0.903 0.581  0.998 0.698  1.090 0.817  1.075 0.870  0.959 0.775  0.902 0.634  0.846 0.494  0.803 0.350  0.764 0.204  0.725 0.058  0.699 -0.090  0.688 -0.241  0.678 -0.391  0.697 -0.538  0.748 -0.680  0.800 -0.822
2#apb#apb22#app2240/r  -0.374 0.335  -0.420 0.173  -0.502 0.028  -0.595 -0.112  -0.671 -0.261  -0.746 -0.412  -0.795 -0.572  -0.844 -0.733  -0.900 -0.891  -0.957 -1.049  -1.028 -1.201  -0.994 -1.156  -0.941 -0.997  -0.869 -0.847  -0.778 -0.705  -0.687 -0.564  -0.607 -0.417  -0.532 -0.266  -0.457 -0.116  -0.381 0.034  -0.284 0.171  -0.185 0.306  -0.085 0.441  0.014 0.576  0.123 0.705  0.232 0.832  0.341 0.960  0.462 1.076  0.587 1.189  0.714 1.298  0.851 1.396  0.995 1.354  1.041 1.193  1.012 1.032  0.963 0.871  0.895 0.717  0.828 0.563  0.759 0.411  0.662 0.273  0.566 0.135  0.469 -0.001  0.356 -0.121  0.309 -0.150  0.246 -0.304  0.237 -0.468  0.296 -0.625  0.338 -0.788  0.380 -0.950  0.444 -1.105  0.509 -1.260
2#apb#apb22#app2240/e  -0.195 -0.115  -0.079 -0.078  0.040 -0.050  0.153 0.000  0.265 0.052  0.375 0.107  0.486 0.162  0.588 0.229  0.680 0.311  0.773 0.392  0.871 0.467  0.969 0.541  1.021 0.650  1.061 0.766  1.059 0.889  0.982 0.985  0.872 1.022  0.750 1.033  0.628 1.026  0.509 0.994  0.391 0.961  0.282 0.903  0.173 0.845  0.064 0.787  -0.045 0.729  -0.135 0.645  -0.225 0.561  -0.315 0.476  -0.405 0.392  -0.477 0.293  -0.543 0.188  -0.608 0.084  -0.674 -0.020  -0.737 -0.126  -0.767 -0.246  -0.797 -0.365  -0.826 -0.485  -0.856 -0.605  -0.838 -0.724  -0.808 -0.844  -0.778 -0.963  -0.727 -1.071  -0.639 -1.158  -0.552 -1.245  -0.460 -1.324  -0.341 -1.354  -0.221 -1.384  -0.101 -1.414  0.018 -1.444  0.138 -1.474
2#apb#apb22#app2240/T  0.478 0.881  0.528 0.982  0.496 0.835  0.443 0.693  0.398 0.548  0.369 0.399  0.336 0.250  0.293 0.104  0.251 -0.042  0.209 -0.188  0.167 -0.335  0.125 -0.481  0.084 -0.628  0.046 -0.775  0.008 -0.922  -0.032 -1.069  -0.078 -1.214  -0.125 -1.359  -0.177 -1.502  -0.188 -1.625  -0.237 -1.481  -0.286 -1.337  -0.335 -1.193  -0.384 -1.049  -0.432 -0.904  -0.481 -0.760  -0.530 -0.616  -0.579 -0.472  -0.628 -0.328  -0.677 -0.184  -0.725 -0.040  -0.774 0.105  -0.823 0.249  -0.880 0.382  -0.825 0.486  -0.684 0.542  -0.545 0.605  -0.406 0.667  -0.265 0.725  -0.122 0.773  0.028 0.800  0.178 0.827  0.326 0.863  0.473 0.900  0.621 0.936  0.770 0.966  0.920 0.995  1.072 0.997  1.224 0.997  1.376 0.997
2#apb#apb22#app2240/o  -0.210 1.325  -0.223 1.285  -0.263 1.167  -0.308 1.052  -0.374 0.947  -0.440 0.842  -0.501 0.735  -0.538 0.617  -0.575 0.499  -0.612 0.380  -0.649 0.262  -0.686 0.144  -0.715 0.023  -0.740 -0.098  -0.764 -0.220  -0.788 -0.341  -0.813 -0.463  -0.823 -0.586  -0.823 -0.710  -0.823 -0.834  -0.799 -0.948  -0.711 -1.035  -0.609 -1.087  -0.485 -1.087  -0.361 -1.087  -0.240 -1.079  -0.139 -1.007  -0.038 -0.935  0.063 -0.863  0.164 -0.791  0.265 -0.719  0.360 -0.640  0.448 -0.552  0.535 -0.465  0.623 -0.377  0.711 -0.289  0.798 -0.202  0.870 -0.104  0.916 0.011  0.962 0.127  1.008 0.242  1.016 0.364  1.016 0.488  1.016 0.612  0.947 0.710  0.867 0.804  0.786 0.899  0.676 0.951  0.560 0.995  0.444 1.038
2#apb#apb22#app2240/w  -0.790 0.495  -0.764 0.623  -0.782 0.737  -0.861 0.650  -0.914 0.529  -0.959 0.405  -1.003 0.280  -1.052 0.157  -1.107 0.037  -1.163 -0.083  -1.212 -0.206  -1.254 -0.331  -1.262 -0.460  -1.214 -0.572  -1.100 -0.627  -0.977 -0.576  -0.855 -0.525  -0.735 -0.471  -0.617 -0.412  -0.498 -0.352  -0.380 -0.293  -0.278 -0.209  -0.180 -0.121  -0.083 -0.031  0.005 0.068  0.093 0.166  0.180 0.266  0.266 0.367  0.337 0.412  0.335 0.280  0.321 0.149  0.310 0.017  0.310 -0.115  0.317 -0.247  0.335 -0.378  0.437 -0.457  0.551 -0.475  0.672 -0.421  0.790 -0.361  0.903 -0.293  1.015 -0.223  1.105 -0.126  1.195 -0.028  1.284 0.069  1.368 0.171  1.446 0.278  1.524 0.385  1.588 0.500  1.647 0.618  1.707 0.737
2#apb#apb22#app2240/n  -0.178 1.030  -0.237 1.114  -0.279 0.967  -0.343 0.828  -0.420 0.694  -0.496 0.561  -0.568 0.425  -0.637 0.287  -0.705 0.149  -0.774 0.012  -0.843 -0.126  -0.912 -0.263  -0.981 -0.401  -1.054 -0.536  -1.127 -0.671  -1.188 -0.812  -1.198 -0.930  -1.072 -0.848  -0.964 -0.739  -0.855 -0.630  -0.751 -0.517  -0.649 -0.401  -0.548 -0.285  -0.447 -0.170  -0.336 -0.063  -0.220 0.037  -0.103 0.138  0.013 0.239  0.129 0.340  0.245 0.440  0.362 0.541  0.483 0.633  0.629 0.682  0.775 0.730  0.923 0.770  1.057 0.767  1.143 0.639  1.195 0.495  1.235 0.349  1.193 0.201  1.150 0.053  1.097 -0.090  1.025 -0.226  0.953 -0.362  0.881 -0.498  0.809 -0.634  0.737 -0.770  0.664 -0.905  0.611 -1.048  0.574 -1.198
2#apb#apb22#app2240/e  -0.120 -0.428  -0.058 -0.330  0.025 -0.246  0.121 -0.182  0.228 -0.134  0.336 -0.087  0.436 -0.027  0.527 0.048  0.618 0.122  0.709 0.196  0.800 0.271  0.888 0.348  0.977 0.426  1.065 0.503  1.119 0.603  1.157 0.715  1.161 0.825  1.048 0.858  0.935 0.890  0.819 0.889  0.702 0.879  0.584 0.870  0.467 0.859  0.364 0.803  0.260 0.748  0.157 0.692  0.053 0.636  -0.043 0.571  -0.130 0.491  -0.216 0.412  -0.303 0.332  -0.389 0.252  -0.475 0.172  -0.546 0.079  -0.615 -0.017  -0.683 -0.112  -0.751 -0.208  -0.820 -0.304  -0.865 -0.409  -0.884 -0.525  -0.904 -0.641  -0.923 -0.757  -0.942 -0.873  -0.962 -0.989  -0.933 -1.099  -0.888 -1.208  -0.843 -1.317  -0.798 -1.425  -0.754 -1.534  -0.709 -1.643
2#apb#apb22#app2240/J  0.632 0.802  0.632 0.693  0.632 0.557  0.628 0.422  0.604 0.289  0.578 0.156  0.552 0.023  0.529 -0.110  0.508 -0.244  0.473 -0.375  0.431 -0.503  0.380 -0.629  0.326 -0.753  0.263 -0.873  0.197 -0.991  0.117 -1.100  0.021 -1.193  -0.095 -1.258  -0.229 -1.282  -0.364 -1.286  -0.494 -1.255  -0.620 -1.206  -0.722 -1.118  -0.762 -1.005  -0.744 -0.870  -0.727 -0.736  -0.709 -0.602  -0.692 -0.467  -0.674 -0.333  -0.657 -0.199  -0.639 -0.065  -0.622 0.070  -0.604 0.204  -0.587 0.338  -0.569 0.473  -0.552 0.607  -0.534 0.741  -0.474 0.854  -0.354 0.910  -0.224 0.948  -0.092 0.975  0.043 0.992  0.177 1.010  0.312 1.021  0.447 1.031  0.582 1.041  0.717 1.052  0.852 1.067  0.986 1.081  1.121 1.095
2#apb#apb22#app2240/e  -0.708 -0.569  -0.624 -0.623  -0.520 -0.538  -0.415 -0.452  -0.303 -0.379  -0.182 -0.319  -0.061 -0.259  0.060 -0.198  0.180 -0.137  0.296 -0.068  0.412 0.000  0.528 0.069  0.645 0.138  0.759 0.209  0.854 0.305  0.949 0.400  1.045 0.496  1.140 0.591  1.236 0.686  1.331 0.782  1.328 0.914  1.193 0.914  1.058 0.914  0.930 0.874  0.804 0.827  0.677 0.780  0.550 0.734  0.428 0.677  0.306 0.619  0.184 0.561  0.062 0.503  -0.054 0.436  -0.160 0.352  -0.265 0.267  -0.370 0.183  -0.476 0.099  -0.576 0.009  -0.666 -0.092  -0.755 -0.193  -0.844 -0.294  -0.933 -0.396  -0.993 -0.516  -1.047 -0.640  -1.101 -0.763  -1.127 -0.892  -1.115 -1.026  -1.096 -1.155  -0.976 -1.216  -0.855 -1.276  -0.734 -1.337
2#apb#apb22#app2240/w  -0.679 0.794  -0.792 0.697  -0.882 0.582  -0.953 0.452  -1.018 0.318  -1.077 0.182  -1.137 0.046  -1.174 -0.098  -1.205 -0.244  -1.228 -0.390  -1.239 -0.538  -1.152 -0.617  -1.026 -0.538  -0.901 -0.459  -0.782 -0.369  -0.664 -0.278  -0.554 -0.179  -0.460 -0.064  -0.367 0.051  -0.272 0.166  -0.167 0.271  -0.062 0.377  0.056 0.466  0.183 0.543  0.173 0.454  0.117 0.316  0.055 0.181  -0.007 0.046  -0.073 -0.087  -0.138 -0.221  -0.149 -0.369  -0.161 -0.517  -0.060 -0.624  0.082 -0.630  0.230 -0.619  0.370 -0.573  0.508 -0.518  0.647 -0.463  0.773 -0.390  0.882 -0.288  0.990 -0.186  1.098 -0.084  1.202 0.022  1.304 0.131  1.406 0.239  1.503 0.351  1.588 0.474  1.672 0.596  1.750 0.722  1.790 0.865
2#apb#apb22#app2240/e  -0.383 -0.225  -0.511 -0.148  -0.561 -0.037  -0.411 -0.037  -0.262 -0.025  -0.113 -0.010  0.029 0.034  0.169 0.089  0.308 0.145  0.440 0.212  0.560 0.302  0.680 0.392  0.801 0.481  0.923 0.567  1.046 0.653  1.158 0.751  1.237 0.874  1.162 0.987  1.030 1.020  0.880 1.006  0.732 0.988  0.585 0.958  0.438 0.929  0.293 0.895  0.160 0.825  0.028 0.755  -0.105 0.685  -0.236 0.613  -0.351 0.517  -0.466 0.421  -0.581 0.325  -0.680 0.213  -0.774 0.097  -0.869 -0.019  -0.913 -0.160  -0.946 -0.306  -0.976 -0.452  -0.932 -0.596  -0.888 -0.739  -0.826 -0.868  -0.697 -0.945  -0.569 -1.022  -0.440 -1.099  -0.312 -1.176  -0.177 -1.238  -0.030 -1.267  0.117 -1.297  0.263 -1.326  0.410 -1.355  0.557 -1.385
2#apb#apb22#app2240/l  0.756 1.499  0.699 1.469  0.685 1.401  0.655 1.339  0.620 1.279  0.586 1.219  0.551 1.158  0.517 1.098  0.482 1.038  0.447 0.978  0.412 0.918  0.378 0.858  0.343 0.798  0.313 0.735  0.285 0.672  0.257 0.608  0.228 0.545  0.200 0.482  0.172 0.418  0.144 0.355  0.116 0.291  0.085 0.229  0.055 0.166  0.025 0.104  -0.005 0.041  -0.035 -0.021  -0.065 -0.084  -0.096 -0.146  -0.126 -0.209  -0.154 -0.272  -0.180 -0.337  -0.206 -0.401  -0.231 -0.466  -0.257 -0.530  -0.283 -0.595  -0.309 -0.659  -0.335 -0.724  -0.360 -0.788  -0.388 -0.852  -0.415 -0.915  -0.443 -0.979  -0.471 -1.043  -0.499 -1.106  -0.526 -1.170  -0.552 -1.234  -0.573 -1.301  -0.594 -1.367  -0.615 -1.433  -0.636 -1.499  -0.657 -1.565
2#apb#apb22#app2240/e  -0.290 -0.519  -0.197 -0.427  -0.087 -0.358  0.024 -0.288  0.128 -0.208  0.230 -0.127  0.332 -0.045  0.408 0.060  0.483 0.168  0.557 0.275  0.638 0.377  0.735 0.465  0.831 0.553  0.928 0.641  0.997 0.751  1.059 0.865  1.059 0.996  1.020 1.110  0.898 1.131  0.767 1.131  0.651 1.080  0.541 1.010  0.431 0.939  0.321 0.868  0.212 0.796  0.104 0.724  -0.005 0.651  -0.114 0.579  -0.210 0.491  -0.303 0.399  -0.395 0.306  -0.488 0.214  -0.565 0.110  -0.629 -0.004  -0.693 -0.118  -0.757 -0.232  -0.812 -0.350  -0.848 -0.475  -0.884 -0.601  -0.920 -0.727  -0.891 -0.854  -0.862 -0.982  -0.832 -1.109  -0.726 -1.179  -0.613 -1.245  -0.500 -1.311  -0.376 -1.346  -0.247 -1.370  -0.119 -1.395  0.010 -1.419
2#apb#apb22#app2240/r  -0.322 0.684  -0.348 0.530  -0.448 0.387  -0.547 0.243  -0.638 0.094  -0.730 -0.055  -0.813 -0.208  -0.896 -0.362  -0.982 -0.514  -1.068 -0.666  -1.151 -0.820  -1.230 -0.976  -1.256 -1.065  -1.128 -0.953  -1.017 -0.817  -0.905 -0.683  -0.791 -0.551  -0.677 -0.418  -0.565 -0.285  -0.452 -0.151  -0.340 -0.017  -0.228 0.117  -0.120 0.254  -0.011 0.391  0.097 0.528  0.217 0.654  0.345 0.774  0.473 0.893  0.605 1.007  0.740 1.118  0.888 1.207  1.054 1.249  1.103 1.088  1.070 0.922  1.010 0.758  0.937 0.600  0.864 0.441  0.771 0.293  0.677 0.146  0.581 -0.000  0.484 -0.145  0.335 -0.231  0.258 -0.248  0.374 -0.281  0.437 -0.444  0.487 -0.611  0.554 -0.772  0.627 -0.931  0.768 -1.034  0.909 -1.137
2#apb#apb22#app2240/s  0.393 1.180  0.461 1.274  0.529 1.368  0.559 1.416  0.475 1.337  0.376 1.277  0.277 1.217  0.179 1.155  0.081 1.093  -0.016 1.030  -0.112 0.965  -0.205 0.895  -0.297 0.825  -0.388 0.753  -0.474 0.676  -0.561 0.599  -0.627 0.504  -0.680 0.402  -0.714 0.291  -0.712 0.186  -0.616 0.122  -0.507 0.086  -0.394 0.062  -0.280 0.038  -0.170 0.003  -0.060 -0.034  0.050 -0.070  0.164 -0.088  0.279 -0.096  0.395 -0.104  0.497 -0.149  0.590 -0.219  0.658 -0.309  0.687 -0.413  0.644 -0.521  0.598 -0.627  0.520 -0.712  0.441 -0.797  0.363 -0.882  0.278 -0.961  0.187 -1.033  0.095 -1.104  0.004 -1.176  -0.101 -1.225  -0.207 -1.271  -0.313 -1.318  -0.421 -1.359  -0.531 -1.394  -0.642 -1.429  -0.753 -1.463
