2#app#app08#app0851/{  0.655 0.681  0.655 0.793  0.655 0.905  0.655 1.017  0.603 1.077  0.572 1.160  0.491 1.236  0.379 1.236  0.267 1.236  0.155 1.236  0.043 1.236  -0.068 1.231  -0.168 1.181  -0.274 1.157  -0.296 1.066  -0.296 0.954  -0.296 0.842  -0.296 0.730  -0.296 0.618  -0.284 0.511  -0.205 0.431  -0.137 0.347  -0.137 0.235  -0.079 0.147  0.000 0.068  0.079 -0.011  0.101 -0.114  0.126 -0.216  0.180 -0.306  0.228 -0.398  0.259 -0.497  0.259 -0.609  0.220 -0.705  0.141 -0.784  0.046 -0.825  -0.066 -0.825  -0.178 -0.825  -0.282 -0.792  -0.383 -0.746  -0.454 -0.787  -0.454 -0.899  -0.379 -0.980  -0.375 -1.090  -0.375 -1.202  -0.296 -1.235  -0.263 -1.333  -0.217 -1.426  -0.160 -1.515  -0.081 -1.594  0.021 -1.618
2#app#app08#app0851/e  -0.871 0.077  -0.713 0.066  -0.692 -0.081  -0.523 -0.081  -0.354 -0.081  -0.190 -0.057  -0.039 0.019  0.116 0.077  0.285 0.077  0.436 0.120  0.558 0.235  0.722 0.247  0.841 0.367  0.868 0.525  0.868 0.694  0.868 0.863  0.861 1.025  0.692 1.025  0.523 1.025  0.354 1.025  0.185 1.025  0.016 1.025  -0.153 1.025  -0.321 1.025  -0.463 0.960  -0.583 0.840  -0.702 0.721  -0.822 0.601  -0.871 0.453  -0.871 0.284  -0.871 0.115  -0.871 -0.054  -0.871 -0.223  -0.871 -0.392  -0.867 -0.560  -0.748 -0.679  -0.628 -0.799  -0.509 -0.918  -0.386 -1.030  -0.217 -1.030  -0.048 -1.030  0.121 -1.030  0.290 -1.030  0.459 -1.030  0.628 -1.030  0.797 -1.030  0.937 -0.960  1.069 -0.872  1.222 -0.833  1.342 -0.714
2#app#app08#app0851/l  0.039 1.529  0.039 1.600  0.039 1.582  0.039 1.511  0.039 1.441  0.039 1.370  0.039 1.300  0.039 1.229  0.039 1.158  0.039 1.088  0.039 1.017  0.039 0.947  0.039 0.876  0.039 0.806  0.039 0.735  0.039 0.664  0.039 0.594  0.039 0.523  0.039 0.453  0.039 0.382  0.039 0.311  0.039 0.241  0.039 0.170  0.039 0.100  0.039 0.029  0.039 -0.042  0.039 -0.112  0.012 -0.176  -0.020 -0.239  -0.052 -0.302  -0.058 -0.372  -0.058 -0.442  -0.058 -0.513  -0.058 -0.583  -0.058 -0.654  -0.058 -0.725  -0.058 -0.795  -0.058 -0.866  -0.058 -0.936  -0.058 -1.007  -0.058 -1.077  -0.058 -1.148  -0.058 -1.219  -0.058 -1.289  -0.058 -1.360  -0.058 -1.430  -0.058 -1.501  -0.058 -1.572  -0.010 -1.623  0.039 -1.673
2#app#app08#app0851/f  0.707 1.065  0.707 1.186  0.707 1.307  0.646 1.404  0.612 1.490  0.490 1.490  0.369 1.490  0.251 1.475  0.146 1.416  0.060 1.330  -0.025 1.244  -0.079 1.135  -0.084 1.015  -0.133 0.906  -0.187 0.797  -0.206 0.680  -0.206 0.559  -0.206 0.437  -0.206 0.316  -0.206 0.195  -0.206 0.073  -0.206 -0.048  -0.206 -0.170  -0.206 -0.291  -0.198 -0.410  -0.145 -0.519  -0.145 -0.641  -0.145 -0.762  -0.144 -0.883  -0.106 -0.998  -0.084 -1.116  -0.084 -1.237  -0.084 -1.359  -0.084 -1.480  -0.090 -1.500  -0.103 -1.380  -0.116 -1.259  -0.130 -1.139  -0.143 -1.018  -0.157 -0.897  -0.170 -0.777  -0.183 -0.656  -0.197 -0.535  -0.206 -0.415  -0.206 -0.293  -0.108 -0.255  0.003 -0.213  0.124 -0.213  0.220 -0.273  0.342 -0.273
2#app#app08#app0851/}  -0.530 1.200  -0.530 1.316  -0.457 1.359  -0.401 1.419  -0.285 1.419  -0.169 1.419  -0.053 1.419  0.039 1.362  0.128 1.325  0.192 1.273  0.201 1.166  0.201 1.050  0.201 0.934  0.137 0.845  0.128 0.733  0.076 0.638  0.055 0.531  0.030 0.421  -0.022 0.317  -0.074 0.214  -0.092 0.102  -0.124 -0.000  -0.165 -0.100  -0.165 -0.216  -0.165 -0.332  -0.050 -0.333  0.066 -0.333  0.166 -0.295  0.201 -0.193  0.201 -0.077  0.121 -0.041  0.055 -0.091  -0.018 -0.134  -0.018 -0.250  -0.018 -0.365  -0.017 -0.481  0.055 -0.567  0.055 -0.683  0.110 -0.782  0.175 -0.878  0.201 -0.987  0.201 -1.103  0.201 -1.218  0.201 -1.334  0.133 -1.422  0.093 -1.501  0.051 -1.578  -0.031 -1.659  -0.122 -1.720  -0.165 -1.793
2#app#app08#app0851/;  0.055 1.457  0.055 1.539  0.055 1.620  0.044 1.556  0.032 1.476  0.019 1.395  0.007 1.315  -0.005 1.234  -0.018 1.154  -0.030 1.073  -0.043 0.993  -0.055 0.912  -0.067 0.832  -0.080 0.751  -0.092 0.671  -0.105 0.590  -0.116 0.510  -0.115 0.429  -0.034 0.429  0.025 0.374  0.082 0.316  0.140 0.259  0.177 0.186  0.213 0.113  0.263 0.050  0.312 -0.011  0.312 -0.092  0.312 -0.174  0.312 -0.255  0.312 -0.337  0.312 -0.418  0.312 -0.500  0.282 -0.574  0.245 -0.647  0.199 -0.712  0.141 -0.770  0.084 -0.828  0.037 -0.893  0.000 -0.966  -0.039 -1.036  -0.097 -1.094  -0.155 -1.151  -0.212 -1.209  -0.270 -1.267  -0.344 -1.284  -0.425 -1.284  -0.459 -1.332  -0.490 -1.401  -0.544 -1.460  -0.544 -1.541
2#app#app08#app0851/@  0.780 0.336  0.732 0.515  0.543 0.425  0.436 0.261  0.297 0.085  0.167 -0.098  0.153 -0.319  0.228 -0.470  0.422 -0.437  0.542 -0.260  0.640 -0.074  0.691 0.132  0.691 0.359  0.691 0.586  0.543 0.752  0.419 0.873  0.229 0.784  0.110 0.651  0.063 0.443  0.085 0.225  0.283 0.157  0.484 0.219  0.511 0.435  0.511 0.662  0.424 0.868  0.303 0.993  0.100 1.052  -0.126 1.052  -0.338 0.986  -0.550 0.925  -0.720 0.784  -0.856 0.602  -1.005 0.432  -1.142 0.254  -1.243 0.051  -1.280 -0.167  -1.280 -0.394  -1.280 -0.621  -1.232 -0.836  -1.094 -1.012  -0.888 -1.106  -0.668 -1.161  -0.444 -1.187  -0.217 -1.187  0.010 -1.187  0.237 -1.187  0.459 -1.168  0.669 -1.097  0.862 -1.015  1.049 -0.918
2#app#app08#app0851/e  -0.831 0.027  -0.722 -0.082  -0.579 -0.108  -0.425 -0.108  -0.271 -0.108  -0.117 -0.108  0.037 -0.108  0.191 -0.108  0.346 -0.108  0.465 -0.026  0.518 0.107  0.617 0.161  0.736 0.245  0.787 0.378  0.787 0.532  0.787 0.686  0.787 0.840  0.787 0.994  0.757 1.136  0.646 1.240  0.492 1.240  0.338 1.240  0.184 1.240  0.030 1.240  -0.022 1.138  -0.107 1.020  -0.216 0.911  -0.318 0.796  -0.403 0.668  -0.489 0.540  -0.561 0.408  -0.580 0.258  -0.649 0.120  -0.696 -0.023  -0.696 -0.177  -0.696 -0.331  -0.696 -0.485  -0.607 -0.602  -0.498 -0.711  -0.426 -0.835  -0.426 -0.989  -0.362 -1.117  -0.243 -1.211  -0.105 -1.280  0.036 -1.341  0.182 -1.390  0.328 -1.439  0.479 -1.457  0.633 -1.457  0.787 -1.457
2#app#app08#app0851/a  0.969 0.689  0.969 0.876  0.918 1.013  0.731 1.013  0.544 1.013  0.357 1.013  0.170 1.013  0.034 0.888  -0.098 0.755  -0.248 0.647  -0.415 0.564  -0.563 0.453  -0.695 0.320  -0.822 0.184  -0.905 0.017  -0.974 -0.154  -1.015 -0.324  -1.136 -0.461  -1.136 -0.648  -1.136 -0.835  -1.136 -1.023  -1.136 -1.210  -0.993 -1.254  -0.805 -1.254  -0.618 -1.254  -0.448 -1.213  -0.316 -1.081  -0.183 -0.949  -0.051 -0.816  0.063 -0.669  0.167 -0.514  0.271 -0.358  0.389 -0.214  0.483 -0.066  0.483 0.121  0.557 0.277  0.645 0.428  0.645 0.615  0.645 0.802  0.645 0.989  0.645 0.849  0.626 0.670  0.493 0.537  0.483 0.355  0.483 0.167  0.483 -0.020  0.483 -0.207  0.483 -0.394  0.483 -0.581  0.483 -0.768
2#app#app08#app0851/s  0.399 1.087  0.326 1.160  0.254 1.233  0.181 1.306  0.088 1.331  -0.015 1.331  -0.118 1.331  -0.221 1.331  -0.324 1.331  -0.399 1.264  -0.454 1.184  -0.454 1.081  -0.454 0.978  -0.454 0.875  -0.454 0.772  -0.431 0.675  -0.385 0.583  -0.339 0.491  -0.270 0.415  -0.197 0.342  -0.124 0.269  -0.042 0.210  0.050 0.164  0.143 0.118  0.155 0.023  0.194 -0.068  0.251 -0.154  0.308 -0.240  0.365 -0.326  0.441 -0.376  0.521 -0.399  0.521 -0.502  0.521 -0.605  0.521 -0.708  0.521 -0.811  0.471 -0.864  0.399 -0.895  0.387 -0.986  0.284 -0.986  0.277 -1.082  0.200 -1.108  0.097 -1.108  -0.002 -1.126  -0.094 -1.172  -0.186 -1.218  -0.286 -1.230  -0.389 -1.230  -0.492 -1.230  -0.595 -1.230  -0.698 -1.230
2#app#app08#app0851/e  -0.661 0.405  -0.519 0.405  -0.377 0.405  -0.235 0.405  -0.093 0.405  0.049 0.405  0.191 0.405  0.333 0.405  0.475 0.405  0.617 0.405  0.753 0.419  0.854 0.520  0.991 0.532  0.993 0.671  0.993 0.813  0.952 0.914  0.810 0.914  0.668 0.914  0.526 0.914  0.384 0.914  0.242 0.914  0.100 0.913  -0.027 0.849  -0.154 0.785  -0.254 0.684  -0.355 0.584  -0.464 0.494  -0.582 0.415  -0.700 0.336  -0.788 0.242  -0.788 0.100  -0.788 -0.042  -0.788 -0.184  -0.788 -0.326  -0.788 -0.468  -0.788 -0.610  -0.780 -0.749  -0.680 -0.849  -0.579 -0.950  -0.456 -0.995  -0.324 -1.037  -0.197 -1.100  -0.087 -1.188  0.028 -1.263  0.166 -1.297  0.303 -1.332  0.441 -1.366  0.582 -1.377  0.724 -1.377  0.866 -1.377
2#app#app08#app0851/@  0.960 0.014  0.778 0.195  0.540 0.241  0.294 0.193  0.053 0.127  -0.163 0.028  -0.345 -0.154  -0.405 -0.386  -0.316 -0.555  -0.059 -0.555  0.198 -0.555  0.436 -0.510  0.538 -0.295  0.619 -0.071  0.619 0.186  0.555 0.432  0.505 0.681  0.310 0.810  0.052 0.810  0.050 0.555  0.050 0.298  0.137 0.127  0.347 0.014  0.604 0.014  0.857 0.024  0.960 0.238  0.948 0.493  0.825 0.717  0.643 0.899  0.420 1.023  0.190 1.138  -0.064 1.151  -0.321 1.151  -0.560 1.073  -0.757 0.913  -0.939 0.731  -1.108 0.540  -1.201 0.305  -1.201 0.048  -1.201 -0.209  -1.088 -0.440  -1.075 -0.694  -0.946 -0.910  -0.731 -1.040  -0.600 -1.253  -0.369 -1.366  -0.130 -1.461  0.109 -1.556  0.362 -1.578  0.619 -1.578
2#app#app08#app0851/l  0.223 1.502  0.223 1.574  0.223 1.568  0.223 1.496  0.223 1.424  0.223 1.352  0.223 1.280  0.223 1.208  0.223 1.137  0.223 1.065  0.223 0.993  0.223 0.921  0.223 0.849  0.223 0.777  0.223 0.705  0.223 0.633  0.223 0.562  0.223 0.490  0.207 0.422  0.175 0.357  0.142 0.293  0.118 0.227  0.118 0.155  0.118 0.083  0.111 0.013  0.088 -0.056  0.065 -0.124  0.042 -0.192  0.020 -0.260  -0.023 -0.316  -0.074 -0.367  -0.103 -0.430  -0.121 -0.500  -0.138 -0.569  -0.155 -0.639  -0.173 -0.709  -0.190 -0.779  -0.197 -0.850  -0.202 -0.920  -0.234 -0.985  -0.266 -1.049  -0.298 -1.113  -0.302 -1.184  -0.324 -1.247  -0.375 -1.298  -0.407 -1.356  -0.407 -1.428  -0.407 -1.500  -0.407 -1.572  -0.407 -1.644
2#app#app08#app0851/a  1.053 1.228  0.894 1.228  0.767 1.151  0.654 1.039  0.504 1.019  0.368 0.962  0.255 0.849  0.113 0.809  -0.046 0.809  -0.205 0.808  -0.317 0.696  -0.430 0.583  -0.542 0.471  -0.655 0.358  -0.767 0.246  -0.880 0.133  -0.992 0.021  -1.105 -0.092  -1.217 -0.204  -1.251 -0.349  -1.251 -0.508  -1.251 -0.667  -1.251 -0.826  -1.132 -0.867  -0.973 -0.867  -0.814 -0.867  -0.655 -0.867  -0.533 -0.777  -0.420 -0.664  -0.264 -0.657  -0.134 -0.588  -0.022 -0.475  0.126 -0.448  0.265 -0.398  0.377 -0.286  0.490 -0.173  0.602 -0.061  0.715 0.052  0.827 0.164  0.940 0.277  1.052 0.389  1.053 0.233  0.977 0.105  0.865 -0.008  0.844 -0.158  0.788 -0.294  0.675 -0.406  0.634 -0.548  0.634 -0.708  0.634 -0.867
2#app#app08#app0851/s  0.814 0.770  0.814 0.878  0.814 0.986  0.814 1.094  0.711 1.099  0.603 1.099  0.495 1.099  0.387 1.099  0.279 1.099  0.172 1.099  0.064 1.099  -0.041 1.084  -0.137 1.035  -0.234 0.987  -0.330 0.939  -0.338 0.836  -0.380 0.770  -0.488 0.770  -0.503 0.677  -0.503 0.569  -0.503 0.461  -0.441 0.379  -0.365 0.303  -0.288 0.226  -0.212 0.150  -0.174 0.058  -0.174 -0.050  -0.100 -0.127  -0.023 -0.203  0.053 -0.280  0.129 -0.356  0.187 -0.446  0.235 -0.542  0.284 -0.639  0.320 -0.738  0.320 -0.846  0.320 -0.954  0.320 -1.062  0.320 -1.170  0.247 -1.205  0.139 -1.205  0.031 -1.205  -0.077 -1.205  -0.185 -1.205  -0.293 -1.205  -0.401 -1.205  -0.508 -1.205  -0.616 -1.205  -0.724 -1.205  -0.832 -1.205
2#app#app08#app0851/t  0.476 1.350  0.476 1.488  0.611 1.490  0.616 1.624  0.616 1.762  0.524 1.679  0.445 1.568  0.383 1.445  0.335 1.318  0.314 1.189  0.217 1.091  0.195 0.962  0.148 0.835  0.086 0.711  0.055 0.581  0.025 0.450  -0.036 0.326  -0.085 0.200  -0.085 0.062  -0.085 -0.076  -0.085 -0.214  -0.085 -0.353  -0.085 -0.491  -0.085 -0.629  -0.085 -0.767  -0.085 -0.905  -0.085 -1.043  -0.085 -1.181  -0.080 -1.313  0.053 -1.311  -0.045 -1.213  -0.143 -1.116  -0.240 -1.018  -0.338 -0.920  -0.435 -0.823  -0.533 -0.725  -0.631 -0.628  -0.728 -0.530  -0.786 -0.416  -0.732 -0.332  -0.594 -0.332  -0.455 -0.332  -0.317 -0.332  -0.184 -0.353  -0.061 -0.414  0.064 -0.472  0.202 -0.472  0.340 -0.472  0.478 -0.472  0.616 -0.472
2#app#app08#app0851/.  0.086 0.150  0.238 0.150  0.391 0.150  0.544 0.150  0.697 0.150  0.850 0.150  1.002 0.150  1.155 0.150  1.155 -0.003  1.155 -0.156  1.155 -0.309  1.155 -0.461  1.155 -0.614  1.155 -0.767  1.155 -0.920  1.002 -0.920  0.850 -0.920  0.697 -0.920  0.544 -0.920  0.391 -0.920  0.238 -0.920  0.086 -0.920  0.086 -0.767  0.086 -0.614  0.086 -0.461  0.086 -0.309  0.086 -0.156  0.086 -0.003  0.086 0.150  -0.067 0.150  -0.220 0.150  -0.373 0.150  -0.526 0.150  -0.678 0.150  -0.831 0.150  -0.984 0.150  -0.984 0.303  -0.984 0.455  -0.984 0.608  -0.984 0.761  -0.984 0.914  -0.984 1.067  -0.984 1.219  -0.984 1.067  -0.984 0.914  -0.984 0.761  -0.984 0.608  -0.984 0.455  -0.984 0.303  -0.984 0.150
