2#apa#apa15#app1521/!  0.007 1.708  0.007 1.638  0.007 1.568  0.007 1.498  0.007 1.428  0.007 1.358  0.007 1.288  0.007 1.218  0.007 1.148  0.007 1.078  0.007 1.008  0.007 0.938  0.007 0.868  0.007 0.798  0.007 0.728  0.007 0.658  0.007 0.588  0.007 0.518  0.007 0.448  0.007 0.378  0.007 0.308  0.007 0.238  0.007 0.168  0.007 0.098  0.007 0.028  0.007 -0.042  0.007 -0.112  0.007 -0.182  0.007 -0.252  0.007 -0.322  0.007 -0.392  0.007 -0.462  0.007 -0.532  0.007 -0.602  0.007 -0.672  0.007 -0.742  0.007 -0.812  0.007 -0.882  0.007 -0.952  0.007 -1.022  0.007 -1.092  0.007 -1.162  0.007 -1.232  0.007 -1.302  0.007 -1.372  0.007 -1.442  0.007 -1.512  -0.034 -1.541  -0.104 -1.541  -0.174 -1.541
2#apa#apa15#app1521/~  -1.471 -0.407  -1.411 -0.347  -1.351 -0.287  -1.291 -0.227  -1.231 -0.167  -1.171 -0.107  -1.111 -0.047  -1.051 0.013  -1.012 0.082  -1.012 0.167  -1.012 0.252  -0.973 0.321  -0.913 0.381  -0.853 0.441  -0.793 0.501  -0.712 0.511  -0.627 0.511  -0.542 0.511  -0.457 0.511  -0.372 0.511  -0.287 0.511  -0.202 0.511  -0.117 0.511  -0.050 0.468  0.010 0.408  0.070 0.348  0.130 0.288  0.170 0.213  0.208 0.137  0.246 0.061  0.284 -0.015  0.322 -0.091  0.360 -0.167  0.430 -0.210  0.506 -0.248  0.582 -0.286  0.658 -0.324  0.734 -0.362  0.810 -0.400  0.894 -0.407  0.979 -0.407  1.064 -0.407  1.148 -0.407  1.233 -0.407  1.318 -0.407  1.403 -0.407  1.488 -0.407  1.573 -0.407  1.658 -0.407  1.743 -0.407
2#apa#apa15#app1521/  1.680 0.220  1.610 0.220  1.539 0.220  1.468 0.220  1.398 0.220  1.327 0.220  1.256 0.220  1.185 0.220  1.115 0.220  1.044 0.220  0.973 0.220  0.903 0.220  0.832 0.220  0.761 0.220  0.690 0.220  0.620 0.220  0.549 0.220  0.478 0.220  0.408 0.220  0.337 0.220  0.266 0.220  0.196 0.220  0.125 0.220  0.054 0.220  -0.010 0.192  -0.073 0.161  -0.137 0.129  -0.200 0.098  -0.263 0.066  -0.326 0.034  -0.389 0.003  -0.453 -0.029  -0.516 -0.061  -0.579 -0.092  -0.642 -0.124  -0.706 -0.155  -0.769 -0.187  -0.832 -0.219  -0.895 -0.250  -0.959 -0.282  -1.022 -0.314  -1.085 -0.345  -1.148 -0.377  -1.212 -0.408  -1.275 -0.440  -1.338 -0.472  -1.401 -0.503  -1.465 -0.535  -1.528 -0.566  -1.591 -0.598
2#apa#apa15#app1521/_  1.691 0.140  1.621 0.140  1.552 0.140  1.482 0.140  1.413 0.140  1.343 0.140  1.274 0.137  1.206 0.125  1.137 0.114  1.068 0.102  1.000 0.091  0.931 0.080  0.863 0.068  0.794 0.057  0.726 0.045  0.657 0.034  0.589 0.022  0.520 0.011  0.452 -0.000  0.383 -0.012  0.315 -0.023  0.246 -0.035  0.178 -0.046  0.109 -0.058  0.040 -0.060  -0.030 -0.060  -0.099 -0.060  -0.169 -0.060  -0.238 -0.060  -0.308 -0.060  -0.377 -0.060  -0.447 -0.060  -0.516 -0.060  -0.586 -0.060  -0.655 -0.060  -0.725 -0.060  -0.794 -0.060  -0.864 -0.060  -0.933 -0.060  -1.003 -0.060  -1.072 -0.060  -1.142 -0.060  -1.211 -0.060  -1.280 -0.060  -1.350 -0.060  -1.419 -0.060  -1.489 -0.060  -1.558 -0.060  -1.628 -0.060  -1.697 -0.060
2#apa#apa15#app1521/+  -0.344 2.030  -0.344 1.881  -0.344 1.732  -0.344 1.583  -0.344 1.435  -0.315 1.289  -0.279 1.145  -0.242 1.000  -0.206 0.856  -0.170 0.712  -0.134 0.567  -0.098 0.423  -0.062 0.278  -0.032 0.133  -0.032 -0.016  -0.032 -0.165  -0.032 -0.313  -0.032 -0.462  -0.032 -0.611  -0.032 -0.760  -0.032 -0.909  -0.032 -1.058  -0.032 -1.207  -0.032 -1.355  -0.032 -1.504  -0.032 -1.653  -0.007 -1.622  0.034 -1.479  0.075 -1.335  0.116 -1.192  0.157 -1.049  0.197 -0.906  0.238 -0.763  0.279 -0.620  0.320 -0.477  0.361 -0.334  0.402 -0.190  0.443 -0.047  0.484 0.096  0.525 0.239  0.565 0.382  0.535 0.472  0.386 0.472  0.237 0.472  0.089 0.472  -0.060 0.472  -0.209 0.472  -0.358 0.472  -0.507 0.472  -0.656 0.472
2#apa#apa15#app1521/=  0.466 -0.812  0.348 -0.812  0.229 -0.812  0.113 -0.827  0.001 -0.864  -0.111 -0.901  -0.223 -0.939  -0.335 -0.976  -0.447 -1.014  -0.560 -1.051  -0.672 -1.088  -0.780 -1.108  -0.863 -1.024  -0.947 -0.940  -1.031 -0.857  -1.034 -0.776  -0.944 -0.699  -0.854 -0.622  -0.765 -0.545  -0.675 -0.468  -0.585 -0.391  -0.495 -0.315  -0.405 -0.238  -0.316 -0.161  -0.226 -0.084  -0.136 -0.007  -0.046 0.070  0.043 0.147  0.133 0.224  0.223 0.301  0.313 0.378  0.403 0.455  0.492 0.532  0.582 0.609  0.672 0.686  0.762 0.763  0.851 0.840  0.941 0.917  1.031 0.994  1.032 1.038  0.914 1.038  0.795 1.038  0.677 1.038  0.559 1.038  0.441 1.038  0.322 1.038  0.204 1.038  0.086 1.038  -0.032 1.038  -0.151 1.038
2#apa#apa15#app1521/[  0.736 1.298  0.664 1.226  0.585 1.173  0.484 1.173  0.383 1.173  0.281 1.173  0.180 1.173  0.079 1.173  -0.023 1.173  -0.124 1.173  -0.200 1.113  -0.275 1.048  -0.376 1.048  -0.305 1.048  -0.222 1.004  -0.150 0.932  -0.141 0.835  -0.141 0.733  -0.141 0.632  -0.141 0.531  -0.141 0.429  -0.141 0.328  -0.141 0.227  -0.141 0.125  -0.141 0.024  -0.141 -0.077  -0.141 -0.178  -0.164 -0.276  -0.196 -0.372  -0.228 -0.468  -0.260 -0.564  -0.266 -0.665  -0.266 -0.766  -0.266 -0.867  -0.266 -0.969  -0.266 -1.070  -0.266 -1.171  -0.266 -1.140  -0.224 -1.081  -0.141 -1.099  -0.141 -1.201  -0.045 -1.206  0.049 -1.174  0.140 -1.129  0.230 -1.084  0.331 -1.081  0.432 -1.081  0.533 -1.081  0.635 -1.081  0.736 -1.081
2#apa#apa15#app1521/]  -0.875 1.163  -0.782 1.163  -0.690 1.163  -0.598 1.163  -0.505 1.163  -0.413 1.163  -0.320 1.163  -0.228 1.163  -0.135 1.163  -0.043 1.163  0.050 1.163  0.142 1.163  0.223 1.152  0.223 1.059  0.223 0.967  0.223 0.874  0.223 0.782  0.223 0.689  0.223 0.597  0.223 0.505  0.223 0.412  0.223 0.320  0.223 0.227  0.223 0.135  0.223 0.042  0.223 -0.050  0.223 -0.142  0.223 -0.235  0.223 -0.327  0.223 -0.420  0.223 -0.512  0.223 -0.605  0.223 -0.697  0.223 -0.789  0.223 -0.882  0.223 -0.974  0.223 -1.067  0.223 -1.159  0.223 -1.089  0.223 -1.070  0.223 -1.162  0.139 -1.170  0.047 -1.170  -0.046 -1.170  -0.138 -1.170  -0.231 -1.170  -0.323 -1.170  -0.415 -1.170  -0.508 -1.170  -0.600 -1.170
2#apa#apa15#app1521/{  0.322 1.332  0.322 1.437  0.411 1.453  0.370 1.453  0.265 1.453  0.165 1.435  0.072 1.388  -0.022 1.341  -0.099 1.272  -0.169 1.195  -0.215 1.101  -0.262 1.008  -0.281 0.908  -0.248 0.817  -0.174 0.743  -0.100 0.669  -0.040 0.590  -0.040 0.485  -0.040 0.380  -0.040 0.276  -0.093 0.194  -0.167 0.120  -0.241 0.046  -0.281 -0.042  -0.248 -0.114  -0.144 -0.114  -0.040 -0.115  -0.040 -0.219  0.049 -0.235  0.081 -0.308  0.138 -0.355  0.201 -0.397  0.184 -0.494  0.110 -0.568  0.024 -0.625  -0.070 -0.672  -0.162 -0.720  -0.208 -0.813  -0.255 -0.907  -0.281 -1.005  -0.259 -1.101  -0.185 -1.175  -0.111 -1.249  -0.036 -1.322  0.057 -1.368  0.151 -1.415  0.249 -1.440  0.354 -1.440  0.459 -1.440  0.563 -1.440
2#apa#apa15#app1521/}  -0.470 1.458  -0.369 1.458  -0.267 1.458  -0.166 1.458  -0.064 1.458  0.011 1.394  0.083 1.322  0.183 1.319  0.225 1.259  0.225 1.158  0.225 1.056  0.164 0.980  0.092 0.908  0.086 0.809  0.061 0.713  0.016 0.623  -0.030 0.532  -0.088 0.450  -0.160 0.378  -0.192 0.290  -0.175 0.206  -0.073 0.206  -0.053 0.125  -0.009 0.067  0.086 0.061  0.086 -0.041  0.015 -0.072  -0.077 -0.095  -0.149 -0.167  -0.192 -0.250  -0.192 -0.352  -0.192 -0.454  -0.192 -0.555  -0.163 -0.628  -0.062 -0.628  -0.012 -0.711  0.034 -0.802  0.079 -0.893  0.172 -0.906  0.225 -0.955  0.233 -1.053  0.305 -1.125  0.351 -1.197  0.279 -1.269  0.207 -1.340  0.136 -1.412  0.064 -1.484  -0.008 -1.556  -0.091 -1.601  -0.192 -1.601
2#apa#apa15#app1521/\\  -0.850 1.459  -0.800 1.409  -0.750 1.359  -0.700 1.309  -0.651 1.260  -0.601 1.210  -0.551 1.160  -0.501 1.110  -0.451 1.060  -0.407 1.005  -0.376 0.942  -0.344 0.879  -0.313 0.816  -0.281 0.753  -0.249 0.690  -0.218 0.627  -0.186 0.563  -0.155 0.500  -0.123 0.437  -0.092 0.374  -0.060 0.311  -0.028 0.248  0.003 0.185  0.035 0.122  0.066 0.058  0.098 -0.005  0.129 -0.068  0.161 -0.131  0.193 -0.194  0.224 -0.257  0.230 -0.326  0.230 -0.397  0.230 -0.468  0.230 -0.538  0.230 -0.609  0.230 -0.679  0.252 -0.745  0.283 -0.808  0.315 -0.871  0.347 -0.934  0.378 -0.997  0.410 -1.061  0.441 -1.124  0.473 -1.187  0.504 -1.250  0.536 -1.313  0.567 -1.376  0.599 -1.439  0.631 -1.502  0.662 -1.566
2#apa#apa15#app1521/,  0.000 1.698  0.000 1.628  0.000 1.559  0.000 1.490  0.000 1.421  0.000 1.351  0.000 1.282  0.000 1.213  0.000 1.143  0.000 1.074  0.000 1.005  0.000 0.936  0.000 0.866  0.000 0.797  0.000 0.728  0.000 0.658  0.000 0.589  0.000 0.520  0.000 0.450  0.000 0.381  0.000 0.312  0.000 0.243  0.000 0.173  0.000 0.104  0.000 0.035  0.000 -0.035  0.000 -0.104  0.000 -0.173  0.000 -0.243  0.000 -0.312  0.000 -0.381  0.000 -0.450  0.000 -0.520  0.000 -0.589  0.000 -0.658  0.000 -0.728  0.000 -0.797  0.000 -0.866  0.000 -0.936  0.000 -1.005  0.000 -1.074  0.000 -1.143  0.000 -1.213  0.000 -1.282  0.000 -1.351  0.000 -1.421  0.000 -1.490  0.000 -1.559  0.000 -1.628  0.000 -1.698
2#apa#apa15#app1521/  0.845 1.448  0.845 1.378  0.845 1.307  0.813 1.250  0.763 1.200  0.713 1.150  0.663 1.100  0.613 1.050  0.563 1.000  0.513 0.950  0.463 0.900  0.413 0.850  0.363 0.800  0.325 0.742  0.294 0.679  0.262 0.615  0.230 0.552  0.199 0.489  0.167 0.426  0.136 0.363  0.104 0.300  0.073 0.236  0.041 0.173  0.009 0.110  -0.022 0.047  -0.054 -0.016  -0.085 -0.079  -0.117 -0.143  -0.149 -0.206  -0.186 -0.265  -0.226 -0.324  -0.265 -0.383  -0.304 -0.442  -0.343 -0.500  -0.382 -0.559  -0.422 -0.618  -0.461 -0.677  -0.487 -0.739  -0.487 -0.810  -0.487 -0.881  -0.487 -0.951  -0.487 -1.022  -0.506 -1.088  -0.538 -1.151  -0.570 -1.214  -0.601 -1.277  -0.633 -1.340  -0.653 -1.406  -0.653 -1.477  -0.653 -1.548
2#apa#apa15#app1521/?  -0.482 0.816  -0.482 0.903  -0.482 0.989  -0.482 1.076  -0.433 1.114  -0.346 1.114  -0.259 1.114  -0.172 1.114  -0.086 1.114  0.001 1.114  0.088 1.114  0.157 1.071  0.218 1.010  0.287 0.965  0.373 0.965  0.412 0.917  0.412 0.830  0.412 0.743  0.412 0.656  0.412 0.570  0.396 0.486  0.358 0.409  0.319 0.331  0.280 0.253  0.228 0.185  0.167 0.124  0.106 0.062  0.044 0.001  -0.017 -0.060  -0.035 -0.140  -0.035 -0.227  -0.035 -0.314  -0.035 -0.400  -0.035 -0.487  -0.035 -0.574  -0.035 -0.661  -0.044 -0.747  -0.055 -0.833  -0.066 -0.919  -0.076 -1.005  -0.087 -1.092  -0.098 -1.178  -0.109 -1.264  -0.119 -1.350  -0.130 -1.436  -0.141 -1.522  -0.152 -1.608  -0.162 -1.694  -0.173 -1.781  -0.184 -1.867
2#apa#apa15#app1521/'  0.000 1.698  0.000 1.628  0.000 1.559  0.000 1.490  0.000 1.421  0.000 1.351  0.000 1.282  0.000 1.213  0.000 1.143  0.000 1.074  0.000 1.005  0.000 0.936  0.000 0.866  0.000 0.797  0.000 0.728  0.000 0.658  0.000 0.589  0.000 0.520  0.000 0.450  0.000 0.381  0.000 0.312  0.000 0.243  0.000 0.173  0.000 0.104  0.000 0.035  0.000 -0.035  0.000 -0.104  0.000 -0.173  0.000 -0.243  0.000 -0.312  0.000 -0.381  0.000 -0.450  0.000 -0.520  0.000 -0.589  0.000 -0.658  0.000 -0.728  0.000 -0.797  0.000 -0.866  0.000 -0.936  0.000 -1.005  0.000 -1.074  0.000 -1.143  0.000 -1.213  0.000 -1.282  0.000 -1.351  0.000 -1.421  0.000 -1.490  0.000 -1.559  0.000 -1.628  0.000 -1.698
2#apa#apa15#app1521/\"  -0.698 0.628  -0.698 0.487  -0.698 0.347  -0.698 0.206  -0.698 0.066  -0.698 -0.074  -0.698 -0.215  -0.698 -0.355  -0.698 -0.496  -0.698 -0.636  -0.698 -0.776  -0.698 -0.917  -0.698 -1.057  -0.616 -1.163  -0.516 -1.263  -0.417 -1.362  -0.318 -1.461  -0.251 -1.436  -0.212 -1.301  -0.174 -1.166  -0.135 -1.031  -0.097 -0.896  -0.058 -0.761  -0.019 -0.626  0.019 -0.491  0.058 -0.356  0.096 -0.221  0.135 -0.086  0.173 0.049  0.212 0.184  0.251 0.319  0.289 0.454  0.328 0.589  0.366 0.724  0.405 0.859  0.443 0.994  0.482 1.129  0.521 1.264  0.559 1.399  0.583 1.428  0.583 1.287  0.583 1.147  0.583 1.006  0.583 0.866  0.583 0.726  0.613 0.598  0.712 0.498  0.811 0.399  0.911 0.300  1.010 0.200
2#apa#apa15#app1521/<  0.959 1.208  0.891 1.276  0.823 1.343  0.756 1.411  0.747 1.336  0.747 1.241  0.702 1.163  0.635 1.096  0.567 1.028  0.499 0.961  0.432 0.893  0.364 0.825  0.292 0.764  0.212 0.711  0.133 0.657  0.053 0.604  -0.026 0.551  -0.106 0.498  -0.186 0.445  -0.265 0.392  -0.311 0.321  -0.311 0.225  -0.311 0.130  -0.311 0.034  -0.311 -0.061  -0.397 -0.104  -0.482 -0.147  -0.568 -0.190  -0.653 -0.233  -0.734 -0.278  -0.734 -0.374  -0.734 -0.469  -0.734 -0.565  -0.734 -0.661  -0.674 -0.696  -0.578 -0.696  -0.487 -0.714  -0.401 -0.757  -0.316 -0.799  -0.230 -0.842  -0.145 -0.885  -0.068 -0.939  0.000 -1.007  0.068 -1.075  0.135 -1.142  0.203 -1.210  0.271 -1.278  0.344 -1.331  0.440 -1.331  0.535 -1.331
2#apa#apa15#app1521/|  0.081 1.623  0.031 1.573  -0.019 1.522  -0.070 1.472  -0.120 1.422  -0.141 1.360  -0.141 1.289  -0.141 1.218  -0.141 1.147  -0.141 1.076  -0.141 1.005  -0.141 0.934  -0.141 0.863  -0.141 0.792  -0.141 0.720  -0.141 0.649  -0.141 0.578  -0.140 0.508  -0.108 0.444  -0.076 0.381  -0.045 0.317  -0.013 0.254  0.019 0.190  0.051 0.126  0.081 0.063  0.081 -0.008  0.081 -0.080  0.081 -0.151  0.081 -0.222  0.081 -0.293  0.081 -0.364  0.081 -0.435  0.081 -0.506  0.081 -0.577  0.081 -0.648  0.081 -0.719  0.081 -0.790  0.081 -0.861  0.081 -0.932  0.081 -1.003  0.081 -1.074  0.081 -1.145  0.081 -1.216  0.081 -1.287  0.081 -1.358  0.081 -1.429  0.081 -1.500  0.081 -1.571  0.081 -1.642  0.081 -1.713
2#apa#apa15#app1521/>  -1.509 1.089  -1.399 1.089  -1.289 1.089  -1.191 1.042  -1.092 0.993  -0.994 0.944  -0.896 0.895  -0.805 0.835  -0.727 0.757  -0.650 0.679  -0.562 0.615  -0.464 0.566  -0.365 0.517  -0.267 0.468  -0.169 0.419  -0.065 0.383  0.039 0.348  0.144 0.313  0.248 0.278  0.352 0.244  0.457 0.209  0.563 0.190  0.673 0.190  0.770 0.159  0.848 0.081  0.926 0.003  1.020 -0.035  1.130 -0.035  1.138 -0.035  1.028 -0.035  0.923 -0.056  0.825 -0.105  0.727 -0.154  0.628 -0.203  0.530 -0.252  0.449 -0.326  0.371 -0.403  0.294 -0.481  0.243 -0.578  0.194 -0.677  0.145 -0.775  0.095 -0.873  0.030 -0.958  -0.061 -1.019  -0.153 -1.080  -0.244 -1.141  -0.335 -1.202  -0.427 -1.263  -0.518 -1.323  -0.610 -1.384
