2#app#app34#app3460/k  -0.882 1.911  -0.797 1.792  -0.763 1.623  -0.720 1.426  -0.656 1.233  -0.644 1.031  -0.644 0.828  -0.575 0.653  -0.525 0.470  -0.525 0.266  -0.525 0.062  -0.525 -0.141  -0.444 -0.311  -0.406 -0.499  -0.406 -0.703  -0.406 -0.906  -0.385 -1.023  -0.294 -0.841  -0.203 -0.659  -0.112 -0.477  -0.021 -0.294  0.070 -0.112  0.161 0.070  0.253 0.252  0.344 0.434  0.435 0.616  0.526 0.799  0.617 0.981  0.666 0.984  0.623 0.798  0.547 0.626  0.428 0.541  0.324 0.380  0.265 0.201  0.121 0.057  -0.023 -0.087  -0.098 -0.231  -0.168 -0.365  -0.267 -0.469  -0.103 -0.469  0.092 -0.491  0.190 -0.654  0.331 -0.729  0.475 -0.873  0.547 -1.047  0.666 -1.132  0.773 -1.291  0.853 -1.421  0.904 -1.506  0.904 -1.302
2#app#app34#app3460/e  -0.443 -0.185  -0.278 -0.185  -0.160 -0.074  -0.020 -0.014  0.144 -0.014  0.309 -0.014  0.412 0.047  0.466 0.156  0.631 0.156  0.753 0.198  0.789 0.327  0.924 0.356  0.924 0.520  0.913 0.680  0.797 0.796  0.681 0.913  0.583 1.036  0.563 1.182  0.399 1.182  0.235 1.182  0.070 1.182  -0.094 1.182  -0.212 1.070  -0.329 0.954  -0.445 0.838  -0.561 0.721  -0.677 0.605  -0.784 0.485  -0.784 0.321  -0.784 0.156  -0.901 0.040  -0.955 -0.102  -0.955 -0.266  -0.955 -0.431  -0.955 -0.595  -0.894 -0.698  -0.784 -0.753  -0.736 -0.869  -0.584 -0.898  -0.468 -1.015  -0.314 -1.040  -0.149 -1.040  0.015 -1.040  0.180 -1.040  0.344 -1.040  0.508 -1.040  0.673 -1.040  0.837 -1.040  0.979 -0.985  1.095 -0.869
2#app#app34#app3460/w  -1.589 0.634  -1.459 0.601  -1.412 0.457  -1.328 0.329  -1.328 0.165  -1.328 0.002  -1.189 -0.027  -1.073 -0.142  -1.068 -0.303  -1.010 -0.408  -0.938 -0.499  -0.850 -0.626  -0.735 -0.742  -0.677 -0.718  -0.562 -0.669  -0.535 -0.526  -0.419 -0.411  -0.416 -0.249  -0.373 -0.104  -0.286 0.023  -0.286 0.187  -0.179 0.243  -0.156 0.383  -0.126 0.534  -0.026 0.655  0.029 0.764  0.105 0.677  0.105 0.514  0.235 0.481  0.274 0.334  0.365 0.209  0.413 0.065  0.495 -0.064  0.575 -0.148  0.626 -0.260  0.756 -0.293  0.756 -0.456  0.837 -0.539  0.886 -0.652  1.017 -0.653  1.017 -0.490  1.017 -0.326  1.132 -0.278  1.147 -0.130  1.147 0.033  1.184 0.187  1.257 0.333  1.277 0.492  1.292 0.649  1.407 0.764
2#app#app34#app3460/i  -0.090 0.043  -0.090 -0.063  -0.090 -0.170  -0.090 -0.276  -0.090 -0.383  -0.062 -0.461  0.044 -0.461  0.078 -0.534  0.078 -0.640  0.078 -0.747  0.078 -0.853  0.078 -0.960  0.078 -1.066  0.078 -1.172  0.078 -1.279  0.078 -1.385  0.077 -1.448  0.072 -1.342  0.067 -1.235  0.062 -1.129  0.057 -1.023  0.051 -0.916  0.046 -0.810  0.041 -0.704  0.036 -0.597  0.031 -0.491  0.026 -0.385  0.021 -0.279  0.016 -0.172  0.011 -0.066  0.006 0.040  0.001 0.147  -0.004 0.253  -0.009 0.359  -0.014 0.466  -0.019 0.572  -0.024 0.678  -0.030 0.784  -0.035 0.891  -0.040 0.997  -0.045 1.103  -0.050 1.210  -0.055 1.316  -0.060 1.422  -0.065 1.529  -0.070 1.635  -0.075 1.741  -0.080 1.847  -0.085 1.954  -0.090 2.060
2#app#app34#app3460/t  -0.209 1.561  -0.209 1.389  -0.209 1.217  -0.209 1.046  -0.209 0.874  -0.209 0.702  -0.209 0.531  -0.160 0.379  -0.039 0.258  0.018 0.109  0.018 -0.062  0.018 -0.234  0.018 -0.406  0.018 -0.577  0.018 -0.749  0.018 -0.921  0.018 -1.093  0.018 -1.264  0.018 -1.436  0.018 -1.608  0.185 -1.612  0.190 -1.514  0.107 -1.364  0.023 -1.213  -0.060 -1.063  -0.144 -0.913  -0.227 -0.763  -0.310 -0.613  -0.394 -0.463  -0.477 -0.313  -0.561 -0.163  -0.644 -0.013  -0.727 0.137  -0.811 0.287  -0.877 0.428  -0.706 0.428  -0.571 0.518  -0.450 0.640  -0.284 0.654  -0.113 0.654  0.059 0.654  0.231 0.654  0.402 0.654  0.574 0.654  0.746 0.654  0.917 0.654  1.089 0.654  1.261 0.654  1.433 0.654  1.604 0.654
2#app#app34#app3460/h  -0.677 1.893  -0.677 1.750  -0.677 1.608  -0.677 1.466  -0.677 1.323  -0.677 1.181  -0.677 1.039  -0.661 0.900  -0.597 0.773  -0.557 0.640  -0.557 0.498  -0.557 0.355  -0.557 0.213  -0.557 0.071  -0.557 -0.072  -0.527 -0.207  -0.463 -0.334  -0.437 -0.470  -0.437 -0.612  -0.429 -0.747  -0.317 -0.777  -0.317 -0.919  -0.317 -1.062  -0.317 -1.009  -0.317 -0.867  -0.317 -0.724  -0.286 -0.595  -0.197 -0.489  -0.197 -0.347  -0.135 -0.267  -0.077 -0.182  0.029 -0.147  0.049 -0.020  0.150 0.080  0.286 0.096  0.386 0.197  0.522 0.213  0.664 0.213  0.763 0.169  0.809 0.046  0.921 -0.027  1.002 -0.088  1.002 -0.230  1.108 -0.267  1.122 -0.395  1.122 -0.537  1.122 -0.680  1.122 -0.822  1.122 -0.964  1.122 -0.867
2#app#app34#app3460/f  0.924 1.558  0.805 1.596  0.729 1.677  0.606 1.596  0.465 1.558  0.330 1.536  0.270 1.439  0.142 1.370  0.031 1.259  -0.026 1.126  -0.106 1.003  -0.145 0.862  -0.145 0.705  -0.145 0.548  -0.145 0.392  -0.145 0.235  -0.145 0.078  -0.080 -0.052  -0.026 -0.186  -0.026 -0.343  -0.026 -0.500  0.028 -0.634  0.093 -0.764  0.093 -0.921  0.192 -1.036  0.211 -1.185  0.162 -1.293  0.093 -1.380  0.090 -1.525  0.015 -1.387  -0.059 -1.249  -0.133 -1.111  -0.208 -0.973  -0.282 -0.835  -0.356 -0.697  -0.431 -0.559  -0.505 -0.421  -0.579 -0.283  -0.653 -0.145  -0.728 -0.007  -0.724 -0.105  -0.568 -0.105  -0.411 -0.105  -0.254 -0.105  -0.097 -0.105  0.060 -0.105  0.216 -0.105  0.373 -0.105  0.530 -0.105  0.687 -0.105
2#app#app34#app3460/r  -0.410 0.705  -0.410 0.566  -0.410 0.426  -0.410 0.287  -0.410 0.148  -0.372 0.024  -0.274 -0.074  -0.195 -0.181  -0.195 -0.320  -0.195 -0.459  -0.195 -0.599  -0.195 -0.738  -0.195 -0.877  -0.195 -1.016  -0.195 -1.156  -0.195 -1.295  -0.195 -1.434  -0.195 -1.573  -0.195 -1.593  -0.195 -1.454  -0.195 -1.315  -0.195 -1.176  -0.195 -1.037  -0.195 -0.897  -0.195 -0.758  -0.195 -0.619  -0.195 -0.480  -0.195 -0.340  -0.195 -0.201  -0.195 -0.062  -0.195 0.077  -0.195 0.217  -0.195 0.356  -0.191 0.491  -0.052 0.491  0.019 0.559  0.019 0.699  0.019 0.838  0.077 0.919  0.216 0.919  0.355 0.919  0.448 0.966  0.448 1.105  0.558 1.134  0.687 1.159  0.786 1.257  0.887 1.348  1.027 1.348  1.166 1.348  1.305 1.348
2#app#app34#app3460/a  0.837 1.009  0.663 1.009  0.652 1.172  0.499 1.194  0.325 1.194  0.150 1.194  -0.024 1.194  -0.167 1.118  -0.296 1.009  -0.461 1.000  -0.461 0.825  -0.634 0.823  -0.761 0.709  -0.832 0.565  -0.832 0.390  -0.883 0.267  -1.018 0.227  -1.018 0.052  -1.018 -0.122  -1.018 -0.296  -1.018 -0.471  -1.018 -0.645  -0.905 -0.773  -0.761 -0.846  -0.647 -0.906  -0.598 -1.032  -0.424 -1.032  -0.249 -1.032  -0.090 -1.016  -0.086 -0.846  0.088 -0.846  0.214 -0.727  0.337 -0.604  0.460 -0.481  0.466 -0.309  0.466 -0.134  0.610 -0.104  0.652 0.029  0.652 0.203  0.652 0.378  0.652 0.353  0.652 0.178  0.652 0.004  0.652 -0.171  0.652 -0.345  0.696 -0.475  0.837 -0.508  0.837 -0.683  0.848 -0.846  1.022 -0.846
2#app#app34#app3460/n  -1.079 0.421  -0.937 0.421  -0.933 0.281  -0.933 0.139  -0.933 -0.003  -0.933 -0.146  -0.933 -0.288  -0.811 -0.308  -0.788 -0.428  -0.788 -0.570  -0.788 -0.712  -0.788 -0.855  -0.788 -0.997  -0.685 -1.037  -0.642 -0.937  -0.642 -0.795  -0.576 -0.680  -0.496 -0.570  -0.496 -0.428  -0.496 -0.285  -0.496 -0.143  -0.496 -0.000  -0.487 0.138  -0.386 0.239  -0.350 0.367  -0.288 0.483  -0.205 0.591  -0.183 0.712  -0.059 0.730  -0.044 0.858  0.099 0.858  0.241 0.858  0.383 0.858  0.526 0.857  0.653 0.793  0.781 0.730  0.816 0.609  0.886 0.496  0.961 0.384  0.994 0.275  1.107 0.245  1.107 0.103  1.130 -0.017  1.253 -0.036  1.253 -0.179  1.253 -0.321  1.253 -0.464  1.253 -0.606  1.253 -0.749  1.253 -0.891
2#app#app34#app3460/t  -0.066 1.562  -0.066 1.742  -0.066 1.590  -0.066 1.411  -0.066 1.231  -0.066 1.052  -0.066 0.872  -0.066 0.693  -0.066 0.514  -0.066 0.334  -0.066 0.155  -0.066 -0.024  -0.066 -0.204  -0.066 -0.383  -0.066 -0.562  -0.066 -0.742  -0.066 -0.921  -0.066 -1.100  0.071 -1.142  0.127 -1.266  0.127 -1.445  0.127 -1.624  0.093 -1.646  0.018 -1.483  -0.056 -1.320  -0.130 -1.156  -0.204 -0.993  -0.279 -0.830  -0.353 -0.667  -0.427 -0.503  -0.501 -0.340  -0.575 -0.177  -0.650 -0.013  -0.724 0.150  -0.798 0.313  -0.759 0.403  -0.580 0.403  -0.400 0.403  -0.232 0.431  -0.105 0.558  0.058 0.597  0.237 0.597  0.416 0.597  0.596 0.597  0.706 0.527  0.761 0.403  0.941 0.403  1.120 0.403  1.286 0.390  1.286 0.210
2#app#app34#app3460/i  0.057 0.273  0.057 0.164  0.057 0.054  0.057 -0.055  0.057 -0.164  0.057 -0.274  0.057 -0.383  0.057 -0.492  0.057 -0.601  0.057 -0.711  0.057 -0.820  0.057 -0.929  0.057 -1.038  0.057 -1.148  0.057 -1.257  0.057 -1.366  0.057 -1.476  0.053 -1.437  0.048 -1.328  0.043 -1.218  0.038 -1.109  0.033 -1.000  0.027 -0.891  0.022 -0.782  0.017 -0.673  0.012 -0.563  0.007 -0.454  0.002 -0.345  -0.004 -0.236  -0.009 -0.127  -0.014 -0.018  -0.019 0.091  -0.024 0.201  -0.030 0.310  -0.035 0.419  -0.040 0.528  -0.045 0.637  -0.050 0.746  -0.056 0.856  -0.061 0.965  -0.066 1.074  -0.071 1.183  -0.076 1.292  -0.082 1.401  -0.087 1.510  -0.092 1.620  -0.097 1.729  -0.102 1.838  -0.105 1.947  -0.105 2.056
2#app#app34#app3460/c  0.445 0.824  0.445 0.667  0.445 0.510  0.413 0.366  0.304 0.255  0.304 0.098  0.327 -0.002  0.438 0.109  0.445 0.263  0.445 0.420  0.445 0.577  0.409 0.718  0.304 0.832  0.280 0.965  0.123 0.965  -0.034 0.965  -0.190 0.965  -0.322 0.905  -0.446 0.824  -0.545 0.766  -0.618 0.682  -0.749 0.620  -0.860 0.509  -0.970 0.398  -0.986 0.258  -1.111 0.226  -1.111 0.069  -1.111 -0.088  -1.111 -0.245  -1.111 -0.402  -1.111 -0.559  -0.987 -0.591  -0.830 -0.591  -0.719 -0.701  -0.575 -0.733  -0.419 -0.733  -0.262 -0.733  -0.105 -0.733  0.052 -0.733  0.209 -0.733  0.366 -0.733  0.522 -0.733  0.679 -0.733  0.836 -0.733  0.993 -0.733  1.150 -0.733  1.307 -0.733  1.455 -0.713  1.566 -0.602  1.577 -0.733
