3#app#app35#app3532/p  -0.388 1.343  -0.388 1.119  -0.291 0.935  -0.291 0.710  -0.291 0.486  -0.193 0.302  -0.192 0.078  -0.096 -0.107  -0.096 -0.331  -0.096 -0.556  -0.096 -0.780  -0.002 -0.982  0.001 -1.206  0.001 -1.430  0.001 -1.489  -0.193 -1.459  -0.193 -1.429  -0.096 -1.301  -0.193 -1.174  -0.193 -0.950  -0.242 -0.746  -0.291 -0.541  -0.330 -0.326  -0.411 -0.118  -0.465 0.099  -0.549 0.306  -0.606 0.517  -0.679 0.724  -0.679 0.948  -0.679 1.173  -0.568 1.343  -0.344 1.343  -0.119 1.343  0.105 1.343  0.228 1.229  0.421 1.118  0.545 0.934  0.681 0.759  0.738 0.548  0.805 0.345  0.895 0.158  0.972 -0.035  0.972 -0.259  0.917 -0.461  0.808 -0.600  0.624 -0.697  0.399 -0.697  0.215 -0.600  0.022 -0.524  -0.096 -0.406
3#app#app35#app3532/g  0.322 1.157  0.200 1.225  0.077 1.293  -0.057 1.254  -0.183 1.196  -0.308 1.114  -0.444 1.071  -0.503 0.944  -0.609 0.838  -0.667 0.712  -0.698 0.574  -0.659 0.439  -0.601 0.313  -0.474 0.255  -0.344 0.206  -0.194 0.206  -0.071 0.274  0.051 0.342  0.186 0.357  0.254 0.440  0.285 0.577  0.322 0.712  0.367 0.817  0.330 0.885  0.374 0.765  0.390 0.621  0.390 0.470  0.405 0.326  0.458 0.198  0.474 0.054  0.526 -0.075  0.536 -0.223  0.594 -0.360  0.594 -0.510  0.594 -0.661  0.594 -0.811  0.558 -0.953  0.518 -1.093  0.412 -1.199  0.299 -1.289  0.159 -1.316  0.026 -1.357  -0.125 -1.357  -0.275 -1.357  -0.425 -1.357  -0.552 -1.299  -0.691 -1.259  -0.813 -1.174  -0.833 -1.032  -0.766 -0.950
3#app#app35#app3532/h  -0.662 1.844  -0.662 1.710  -0.662 1.576  -0.662 1.442  -0.662 1.308  -0.662 1.174  -0.662 1.041  -0.662 0.907  -0.645 0.775  -0.612 0.645  -0.580 0.515  -0.561 0.384  -0.561 0.250  -0.561 0.116  -0.535 -0.011  -0.475 -0.131  -0.461 -0.262  -0.461 -0.396  -0.412 -0.509  -0.361 -0.622  -0.361 -0.756  -0.269 -0.851  -0.261 -0.937  -0.261 -0.804  -0.261 -0.670  -0.261 -0.536  -0.261 -0.402  -0.261 -0.268  -0.244 -0.142  -0.149 -0.047  -0.055 0.048  0.039 0.143  0.074 0.242  0.208 0.242  0.342 0.242  0.475 0.242  0.589 0.193  0.684 0.098  0.778 0.003  0.840 -0.105  0.897 -0.215  0.940 -0.331  1.015 -0.434  1.040 -0.557  1.040 -0.691  1.040 -0.825  1.040 -0.959  1.040 -1.092  1.040 -1.226  1.040 -1.360
3#app#app35#app3532/t  0.367 1.725  0.367 1.550  0.367 1.374  0.367 1.198  0.367 1.023  0.367 0.847  0.302 0.687  0.223 0.530  0.216 0.356  0.216 0.180  0.216 0.005  0.216 -0.171  0.216 -0.346  0.216 -0.522  0.216 -0.698  0.216 -0.873  0.216 -1.049  0.216 -1.224  0.139 -1.239  0.003 -1.128  -0.133 -1.016  -0.269 -0.905  -0.404 -0.794  -0.540 -0.683  -0.676 -0.572  -0.812 -0.460  -0.948 -0.349  -1.084 -0.238  -1.220 -0.127  -1.356 -0.016  -1.394 0.061  -1.218 0.061  -1.146 0.164  -1.018 0.212  -0.843 0.212  -0.667 0.212  -0.491 0.212  -0.316 0.212  -0.140 0.212  0.035 0.212  0.211 0.212  0.387 0.212  0.562 0.212  0.718 0.164  0.851 0.061  1.026 0.061  1.202 0.061  1.378 0.061  1.553 0.061  1.729 0.061
3#app#app35#app3532/h  -0.173 1.982  -0.276 1.943  -0.276 1.801  -0.358 1.693  -0.379 1.560  -0.379 1.418  -0.379 1.276  -0.379 1.134  -0.379 0.991  -0.379 0.849  -0.379 0.707  -0.379 0.565  -0.379 0.423  -0.379 0.281  -0.379 0.139  -0.379 -0.003  -0.379 -0.145  -0.379 -0.287  -0.379 -0.430  -0.379 -0.572  -0.379 -0.714  -0.379 -0.856  -0.318 -0.973  -0.276 -1.097  -0.276 -0.997  -0.276 -0.855  -0.276 -0.713  -0.262 -0.574  -0.199 -0.447  -0.173 -0.311  -0.159 -0.175  -0.069 -0.070  -0.031 0.056  0.034 0.171  0.122 0.225  0.265 0.225  0.372 0.169  0.436 0.042  0.529 -0.063  0.559 -0.188  0.654 -0.235  0.654 -0.377  0.742 -0.483  0.758 -0.619  0.797 -0.744  0.861 -0.860  0.861 -1.002  0.861 -1.144  0.861 -1.286  0.861 -1.428
3#app#app35#app3532/e  -0.721 -0.578  -0.721 -0.411  -0.688 -0.257  -0.566 -0.146  -0.433 -0.112  -0.376 -0.002  -0.232 0.055  -0.101 0.141  -0.002 0.209  0.090 0.285  0.223 0.366  0.365 0.429  0.502 0.501  0.620 0.619  0.747 0.717  0.861 0.770  0.861 0.937  0.861 1.104  0.738 1.148  0.571 1.148  0.404 1.148  0.236 1.148  0.069 1.148  -0.070 1.080  -0.206 1.004  -0.289 0.921  -0.365 0.785  -0.483 0.667  -0.577 0.538  -0.618 0.388  -0.721 0.263  -0.721 0.096  -0.721 -0.071  -0.721 -0.238  -0.721 -0.406  -0.721 -0.573  -0.606 -0.692  -0.488 -0.811  -0.433 -0.955  -0.320 -1.009  -0.153 -1.009  -0.032 -1.122  0.122 -1.153  0.289 -1.153  0.457 -1.153  0.624 -1.153  0.791 -1.153  0.958 -1.153  1.125 -1.153  1.293 -1.153
3#app#app35#app3532/m  -1.075 0.335  -1.160 0.259  -1.160 0.098  -1.160 -0.064  -1.160 -0.226  -1.134 -0.377  -1.075 -0.514  -1.075 -0.676  -1.075 -0.722  -1.075 -0.560  -1.048 -0.410  -0.989 -0.272  -0.989 -0.111  -0.924 0.036  -0.903 0.193  -0.856 0.343  -0.784 0.488  -0.700 0.624  -0.586 0.738  -0.435 0.764  -0.282 0.743  -0.167 0.629  -0.053 0.514  0.061 0.400  0.126 0.265  0.212 0.139  0.212 -0.023  0.276 -0.158  0.297 -0.311  0.272 -0.462  0.212 -0.599  0.278 -0.522  0.297 -0.380  0.331 -0.232  0.385 -0.092  0.488 0.030  0.567 0.164  0.703 0.226  0.819 0.335  0.898 0.419  1.057 0.421  1.200 0.376  1.314 0.262  1.385 0.164  1.412 0.029  1.412 -0.133  1.412 -0.294  1.412 -0.456  1.412 -0.618  1.412 -0.780
3#app#app35#app3532/?  -0.386 0.719  -0.482 0.737  -0.482 0.851  -0.445 0.950  -0.364 1.031  -0.281 1.106  -0.167 1.106  -0.053 1.106  0.062 1.106  0.176 1.106  0.290 1.106  0.308 1.009  0.418 0.994  0.520 0.943  0.628 0.913  0.678 0.849  0.678 0.735  0.678 0.621  0.678 0.506  0.641 0.429  0.581 0.374  0.509 0.332  0.421 0.269  0.321 0.236  0.231 0.176  0.132 0.139  0.018 0.139  -0.096 0.139  -0.192 0.121  -0.228 0.042  -0.289 -0.011  -0.289 -0.125  -0.289 -0.240  -0.289 -0.354  -0.289 -0.468  -0.289 -0.582  -0.289 -0.697  -0.289 -0.811  -0.192 -0.828  -0.192 -0.943  -0.192 -1.057  -0.192 -1.171  -0.192 -1.285  -0.192 -1.400  -0.192 -1.514  -0.192 -1.628  -0.192 -1.743  -0.192 -1.734  -0.271 -1.698  -0.289 -1.602
3#app#app35#app3532/S  0.809 1.043  0.765 1.174  0.635 1.218  0.485 1.218  0.336 1.218  0.190 1.211  0.074 1.130  -0.065 1.087  -0.203 1.043  -0.320 0.964  -0.429 0.868  -0.578 0.868  -0.652 0.746  -0.719 0.613  -0.809 0.518  -0.854 0.413  -0.854 0.264  -0.802 0.167  -0.740 0.080  -0.591 0.080  -0.442 0.080  -0.293 0.080  -0.144 0.080  0.006 0.080  0.155 0.080  0.304 0.080  0.453 0.080  0.602 0.080  0.743 0.059  0.834 -0.057  0.897 -0.191  0.897 -0.340  0.897 -0.490  0.897 -0.639  0.840 -0.764  0.796 -0.895  0.691 -1.001  0.566 -1.058  0.416 -1.058  0.267 -1.058  0.118 -1.058  -0.031 -1.058  -0.180 -1.058  -0.320 -1.019  -0.456 -0.957  -0.597 -0.910  -0.742 -0.883  -0.854 -0.795  -0.968 -0.708  -1.029 -0.620
3#app#app35#app3532/o  -0.066 1.181  -0.202 1.181  -0.239 1.082  -0.301 1.007  -0.437 1.007  -0.574 1.007  -0.586 0.884  -0.647 0.773  -0.744 0.676  -0.873 0.660  -0.933 0.584  -0.933 0.448  -0.933 0.311  -0.933 0.175  -0.933 0.039  -0.933 -0.098  -0.933 -0.234  -0.933 -0.370  -0.845 -0.470  -0.743 -0.554  -0.607 -0.554  -0.586 -0.670  -0.508 -0.728  -0.372 -0.728  -0.237 -0.730  -0.140 -0.827  -0.035 -0.901  0.101 -0.901  0.238 -0.901  0.374 -0.901  0.510 -0.901  0.646 -0.901  0.783 -0.901  0.802 -0.784  0.882 -0.728  0.975 -0.685  0.975 -0.549  0.975 -0.412  0.975 -0.276  0.975 -0.140  0.975 -0.004  0.975 0.133  0.884 0.231  0.802 0.333  0.802 0.470  0.717 0.571  0.621 0.667  0.525 0.764  0.417 0.834  0.281 0.834
3#app#app35#app3532/m  -1.239 0.212  -1.338 0.146  -1.338 -0.019  -1.270 -0.156  -1.223 -0.301  -1.139 -0.432  -1.131 -0.593  -1.039 -0.721  -1.037 -0.685  -0.940 -0.617  -0.940 -0.452  -0.896 -0.297  -0.840 -0.145  -0.792 0.009  -0.725 0.159  -0.673 0.316  -0.641 0.476  -0.619 0.632  -0.503 0.749  -0.363 0.809  -0.198 0.809  -0.135 0.702  -0.044 0.575  -0.012 0.415  0.041 0.258  0.138 0.130  0.174 -0.024  0.248 -0.172  0.255 -0.335  0.255 -0.500  0.175 -0.585  0.156 -0.439  0.235 -0.307  0.255 -0.150  0.301 0.004  0.399 0.112  0.532 0.190  0.649 0.307  0.712 0.411  0.878 0.411  1.043 0.411  1.208 0.411  1.337 0.325  1.384 0.179  1.450 0.041  1.450 -0.124  1.450 -0.289  1.450 -0.454  1.450 -0.619  1.450 -0.784
3#app#app35#app3532/e  -0.569 -0.291  -0.719 -0.269  -0.719 -0.095  -0.651 0.010  -0.569 0.101  -0.455 0.161  -0.322 0.257  -0.171 0.312  0.003 0.312  0.034 0.453  0.199 0.462  0.362 0.488  0.484 0.611  0.657 0.613  0.788 0.655  0.853 0.764  0.939 0.851  0.828 0.915  0.788 1.047  0.632 1.065  0.459 1.065  0.285 1.065  0.112 1.065  -0.033 0.998  -0.156 0.875  -0.279 0.752  -0.401 0.630  -0.524 0.507  -0.569 0.352  -0.702 0.312  -0.723 0.157  -0.845 0.035  -0.870 -0.128  -0.870 -0.302  -0.847 -0.466  -0.724 -0.588  -0.703 -0.744  -0.541 -0.771  -0.419 -0.894  -0.296 -1.016  -0.134 -1.045  0.039 -1.045  0.212 -1.045  0.381 -1.067  0.536 -1.145  0.697 -1.196  0.871 -1.196  1.044 -1.196  1.217 -1.196  1.391 -1.196
3#app#app35#app3532/t  -0.280 1.745  -0.106 1.741  -0.106 1.563  -0.106 1.385  -0.106 1.208  -0.106 1.030  -0.106 0.852  -0.106 0.674  -0.106 0.497  -0.106 0.319  -0.106 0.141  -0.106 -0.037  -0.106 -0.214  -0.106 -0.392  -0.106 -0.570  -0.106 -0.748  -0.106 -0.926  -0.106 -1.103  -0.053 -1.259  0.067 -1.387  0.062 -1.543  -0.023 -1.387  -0.108 -1.231  -0.193 -1.074  -0.279 -0.918  -0.364 -0.762  -0.449 -0.606  -0.534 -0.450  -0.619 -0.294  -0.704 -0.138  -0.789 0.018  -0.874 0.174  -0.960 0.330  -0.826 0.356  -0.649 0.356  -0.471 0.356  -0.293 0.356  -0.115 0.356  -0.106 0.188  0.067 0.183  0.244 0.183  0.422 0.183  0.600 0.183  0.778 0.183  0.955 0.183  1.131 0.172  1.290 0.093  1.449 0.013  1.626 0.009  1.803 0.009
3#app#app35#app3532/h  -0.505 1.955  -0.505 1.829  -0.505 1.704  -0.505 1.579  -0.505 1.453  -0.505 1.328  -0.505 1.203  -0.505 1.077  -0.505 0.952  -0.505 0.827  -0.505 0.701  -0.505 0.576  -0.450 0.463  -0.398 0.350  -0.398 0.225  -0.398 0.100  -0.398 -0.026  -0.398 -0.151  -0.398 -0.276  -0.398 -0.402  -0.398 -0.527  -0.398 -0.652  -0.398 -0.778  -0.398 -0.903  -0.393 -1.016  -0.305 -0.928  -0.291 -0.808  -0.203 -0.719  -0.186 -0.601  -0.100 -0.511  -0.079 -0.394  0.002 -0.302  0.067 -0.197  0.123 -0.085  0.206 0.008  0.317 0.041  0.443 0.041  0.565 0.035  0.654 -0.054  0.742 -0.143  0.771 -0.256  0.875 -0.277  0.877 -0.401  0.902 -0.515  0.983 -0.607  0.983 -0.733  0.983 -0.858  0.983 -0.983  0.983 -1.109  0.983 -1.234
3#app#app35#app3532/i  -0.163 0.210  -0.049 0.210  0.008 0.154  0.008 0.040  0.008 -0.073  0.008 -0.187  0.008 -0.300  0.008 -0.414  0.008 -0.528  0.008 -0.641  0.008 -0.755  0.008 -0.868  0.008 -0.982  0.008 -1.096  0.008 -1.209  0.008 -1.323  0.083 -1.405  0.164 -1.486  0.170 -1.411  0.158 -1.298  0.146 -1.185  0.134 -1.072  0.123 -0.959  0.111 -0.846  0.099 -0.733  0.087 -0.620  0.075 -0.507  0.063 -0.394  0.051 -0.281  0.039 -0.168  0.027 -0.055  0.016 0.057  0.004 0.170  -0.008 0.283  -0.020 0.396  -0.032 0.509  -0.044 0.622  -0.056 0.735  -0.068 0.848  -0.080 0.961  -0.092 1.074  -0.103 1.187  -0.115 1.300  -0.127 1.413  -0.139 1.526  -0.151 1.639  -0.163 1.752  -0.163 1.866  -0.105 1.922  0.008 1.922
3#app#app35#app3532/n  -1.049 0.862  -1.049 0.724  -0.925 0.710  -0.897 0.600  -0.897 0.462  -0.897 0.324  -0.897 0.186  -0.897 0.048  -0.897 -0.090  -0.897 -0.228  -0.897 -0.366  -0.897 -0.504  -0.897 -0.642  -0.897 -0.780  -0.897 -0.918  -0.829 -0.890  -0.745 -0.787  -0.739 -0.655  -0.601 -0.655  -0.594 -0.525  -0.477 -0.504  -0.369 -0.431  -0.278 -0.328  -0.217 -0.205  -0.155 -0.082  -0.067 0.023  0.013 0.127  0.021 0.262  0.118 0.360  0.216 0.457  0.313 0.555  0.411 0.652  0.525 0.710  0.650 0.740  0.748 0.838  0.876 0.862  0.987 0.798  1.075 0.696  1.075 0.558  1.075 0.420  1.075 0.283  1.075 0.145  1.075 0.007  1.075 -0.131  1.075 -0.269  1.075 -0.407  1.075 -0.545  1.075 -0.683  1.075 -0.821  1.075 -0.959
3#app#app35#app3532/g  0.235 0.893  0.305 0.982  0.324 1.123  0.290 1.249  0.130 1.249  -0.029 1.249  -0.189 1.249  -0.311 1.160  -0.447 1.101  -0.560 0.988  -0.655 0.868  -0.722 0.737  -0.744 0.586  -0.744 0.426  -0.655 0.356  -0.655 0.196  -0.511 0.181  -0.441 0.092  -0.281 0.092  -0.122 0.092  0.038 0.092  0.182 0.128  0.320 0.181  0.413 0.248  0.510 0.367  0.591 0.493  0.680 0.564  0.591 0.617  0.591 0.457  0.591 0.298  0.591 0.138  0.591 -0.021  0.591 -0.181  0.591 -0.340  0.525 -0.485  0.502 -0.639  0.502 -0.798  0.452 -0.937  0.402 -1.076  0.324 -1.203  0.213 -1.265  0.088 -1.361  -0.057 -1.421  -0.217 -1.421  -0.376 -1.421  -0.499 -1.332  -0.569 -1.243  -0.707 -1.191  -0.833 -1.136  -0.833 -0.976
3#app#app35#app3532/l  -0.219 1.577  -0.149 1.577  -0.114 1.542  -0.114 1.471  -0.064 1.422  -0.014 1.372  -0.008 1.304  -0.008 1.234  -0.008 1.163  -0.008 1.093  -0.008 1.023  -0.008 0.952  -0.008 0.882  -0.008 0.811  -0.008 0.741  -0.008 0.671  -0.008 0.600  -0.008 0.530  -0.008 0.459  -0.008 0.389  -0.008 0.319  -0.008 0.248  -0.008 0.178  -0.008 0.108  -0.008 0.037  -0.008 -0.033  -0.008 -0.104  -0.008 -0.174  -0.008 -0.244  -0.008 -0.315  -0.008 -0.385  -0.008 -0.455  -0.008 -0.526  -0.008 -0.596  -0.008 -0.667  -0.008 -0.737  -0.008 -0.807  -0.008 -0.878  -0.008 -0.948  0.019 -1.012  0.051 -1.075  0.082 -1.138  0.098 -1.205  0.098 -1.275  0.098 -1.345  0.098 -1.416  0.098 -1.486  0.098 -1.557  0.098 -1.627  0.098 -1.697
3#app#app35#app3532/i  -0.286 -0.355  -0.286 -0.453  -0.262 -0.526  -0.164 -0.526  -0.115 -0.575  -0.115 -0.673  -0.115 -0.771  -0.115 -0.869  -0.115 -0.967  -0.091 -1.040  0.007 -1.040  0.056 -1.089  0.056 -1.187  0.056 -1.285  0.056 -1.383  0.056 -1.285  0.056 -1.187  0.056 -1.089  0.056 -0.991  0.056 -0.893  0.056 -0.795  0.056 -0.697  0.056 -0.600  0.056 -0.502  0.056 -0.404  0.056 -0.306  0.056 -0.208  0.056 -0.110  0.056 -0.012  0.056 0.086  0.056 0.184  0.056 0.281  0.056 0.379  0.056 0.477  0.056 0.575  0.056 0.673  0.056 0.771  0.056 0.869  0.056 0.967  0.056 1.065  0.056 1.162  0.056 1.260  0.056 1.358  0.056 1.456  0.056 1.554  0.056 1.652  0.007 1.701  -0.091 1.701  -0.115 1.774  -0.115 1.872
