2#tos#f3#f3017065/!  0.061 1.680  0.061 1.610  0.025 1.575  0.025 1.505  0.025 1.434  0.025 1.363  0.025 1.293  0.025 1.222  0.025 1.151  0.025 1.081  0.025 1.010  0.025 0.939  0.025 0.869  0.004 0.803  -0.011 0.736  -0.011 0.665  -0.011 0.595  -0.011 0.524  -0.011 0.453  -0.011 0.383  -0.011 0.312  -0.011 0.242  -0.011 0.171  -0.011 0.100  -0.011 0.030  -0.011 -0.041  -0.011 -0.112  -0.011 -0.182  -0.011 -0.253  -0.011 -0.324  -0.011 -0.394  -0.011 -0.465  -0.011 -0.536  -0.011 -0.606  -0.011 -0.677  -0.011 -0.748  -0.011 -0.818  -0.011 -0.889  -0.020 -0.958  -0.042 -1.025  -0.048 -1.095  -0.048 -1.166  -0.048 -1.236  -0.048 -1.307  -0.048 -1.378  -0.040 -1.440  -0.011 -1.483  0.029 -1.513  0.098 -1.515  0.098 -1.586
2#tos#f3#f3017065/^  -1.168 -1.049  -1.270 -1.049  -1.295 -0.973  -1.253 -0.894  -1.168 -0.837  -1.153 -0.745  -1.070 -0.690  -1.013 -0.605  -0.946 -0.530  -0.882 -0.451  -0.827 -0.366  -0.795 -0.269  -0.727 -0.199  -0.645 -0.138  -0.596 -0.054  -0.564 0.043  -0.531 0.139  -0.486 0.230  -0.434 0.316  -0.350 0.372  -0.320 0.458  -0.259 0.533  -0.178 0.594  -0.098 0.657  -0.041 0.739  -0.008 0.831  0.082 0.858  0.184 0.858  0.273 0.845  0.302 0.773  0.404 0.773  0.462 0.713  0.511 0.629  0.595 0.572  0.648 0.488  0.654 0.387  0.673 0.297  0.764 0.252  0.835 0.189  0.866 0.092  0.866 -0.010  0.910 -0.098  0.951 -0.187  0.951 -0.289  0.999 -0.367  1.079 -0.431  1.158 -0.495  1.231 -0.566  1.303 -0.638  1.374 -0.710
2#tos#f3#f3017065/|  0.170 1.630  0.133 1.597  0.094 1.540  0.051 1.484  0.021 1.424  0.010 1.358  -0.017 1.299  -0.017 1.228  -0.017 1.158  -0.017 1.088  -0.017 1.018  -0.017 0.948  -0.017 0.877  -0.017 0.807  -0.017 0.737  -0.017 0.667  -0.017 0.596  -0.017 0.526  -0.017 0.456  -0.017 0.386  -0.017 0.315  -0.017 0.245  -0.017 0.175  -0.017 0.105  -0.017 0.034  -0.017 -0.036  -0.017 -0.106  -0.017 -0.176  -0.017 -0.247  -0.017 -0.317  -0.017 -0.387  -0.017 -0.457  -0.017 -0.527  -0.002 -0.596  0.015 -0.664  0.032 -0.732  0.049 -0.800  0.058 -0.869  0.037 -0.936  0.016 -1.003  -0.001 -1.071  -0.017 -1.140  -0.017 -1.210  -0.017 -1.280  -0.017 -1.350  -0.017 -1.421  -0.017 -1.491  -0.033 -1.558  -0.054 -1.625  -0.054 -1.696
2#tos#f3#f3017065/~  -0.992 -0.337  -0.995 -0.225  -1.048 -0.163  -1.048 -0.047  -1.048 0.068  -1.048 0.183  -1.048 0.299  -1.032 0.408  -0.951 0.489  -0.936 0.598  -0.905 0.709  -0.845 0.785  -0.806 0.875  -0.739 0.954  -0.624 0.954  -0.509 0.954  -0.487 0.860  -0.487 0.745  -0.456 0.642  -0.374 0.560  -0.372 0.447  -0.268 0.395  -0.262 0.284  -0.262 0.168  -0.199 0.072  -0.150 -0.028  -0.150 -0.144  -0.110 -0.250  -0.037 -0.338  0.055 -0.393  0.142 -0.461  0.224 -0.543  0.282 -0.641  0.377 -0.674  0.479 -0.697  0.539 -0.786  0.654 -0.786  0.770 -0.786  0.885 -0.786  0.992 -0.766  1.074 -0.685  1.116 -0.587  1.197 -0.506  1.272 -0.449  1.308 -0.340  1.360 -0.236  1.365 -0.122  1.365 -0.007  1.365 0.109  1.365 0.224
2#tos#f3#f3017065/1  0.374 1.595  0.334 1.536  0.295 1.477  0.250 1.424  0.191 1.384  0.133 1.345  0.108 1.288  0.104 1.219  0.055 1.168  0.055 1.097  0.055 1.027  0.055 0.956  0.038 0.887  0.020 0.819  0.003 0.750  0.002 0.679  0.002 0.609  0.002 0.538  0.002 0.467  0.002 0.396  0.002 0.326  -0.019 0.258  -0.041 0.191  -0.051 0.122  -0.051 0.051  -0.051 -0.020  -0.051 -0.090  -0.051 -0.161  -0.051 -0.232  -0.051 -0.303  -0.051 -0.373  -0.051 -0.444  -0.051 -0.515  -0.051 -0.586  -0.051 -0.656  -0.060 -0.726  -0.077 -0.795  -0.095 -0.863  -0.104 -0.933  -0.104 -1.003  -0.104 -1.074  -0.104 -1.145  -0.104 -1.216  -0.104 -1.286  -0.104 -1.357  -0.104 -1.428  -0.104 -1.499  -0.104 -1.569  -0.083 -1.635  -0.051 -1.698
2#tos#f3#f3017065/3  -0.279 1.309  -0.448 1.309  -0.355 1.309  -0.186 1.309  -0.017 1.309  0.146 1.270  0.313 1.257  0.441 1.158  0.551 1.067  0.683 0.967  0.807 0.871  0.859 0.723  0.838 0.563  0.733 0.481  0.704 0.341  0.558 0.277  0.398 0.224  0.235 0.195  0.078 0.135  -0.089 0.119  -0.249 0.082  -0.414 0.067  -0.583 0.067  -0.752 0.067  -0.878 0.067  -0.709 0.067  -0.540 0.067  -0.371 0.067  -0.202 0.067  -0.054 0.016  0.108 -0.027  0.238 -0.073  0.375 -0.145  0.497 -0.225  0.549 -0.342  0.549 -0.511  0.549 -0.680  0.549 -0.849  0.408 -0.928  0.270 -1.007  0.151 -1.114  -0.016 -1.122  -0.143 -1.226  -0.303 -1.263  -0.468 -1.277  -0.637 -1.277  -0.806 -1.277  -0.975 -1.277  -1.055 -1.188  -1.055 -1.019
2#tos#f3#f3017065/4  0.308 1.150  0.119 1.173  -0.030 1.150  -0.177 1.067  -0.352 0.987  -0.494 0.849  -0.649 0.727  -0.741 0.557  -0.871 0.407  -1.011 0.270  -1.123 0.113  -1.202 -0.065  -1.332 -0.202  -1.351 -0.397  -1.306 -0.551  -1.127 -0.601  -0.936 -0.634  -0.738 -0.634  -0.539 -0.634  -0.341 -0.634  -0.147 -0.593  0.051 -0.593  0.245 -0.556  0.441 -0.545  0.617 -0.468  0.787 -0.374  0.977 -0.322  1.174 -0.302  1.130 -0.121  1.042 0.057  0.953 0.234  0.864 0.412  0.775 0.589  0.686 0.767  0.598 0.944  0.449 1.025  0.282 0.974  0.225 0.789  0.225 0.590  0.225 0.392  0.225 0.193  0.225 -0.005  0.225 -0.204  0.225 -0.402  0.225 -0.601  0.225 -0.799  0.225 -0.998  0.225 -1.196  0.225 -1.395  0.267 -1.588
2#tos#f3#f3017065/6  0.473 1.833  0.328 1.833  0.212 1.771  0.127 1.661  0.082 1.527  0.037 1.393  -0.010 1.256  -0.063 1.122  -0.091 0.983  -0.116 0.846  -0.203 0.730  -0.264 0.600  -0.316 0.465  -0.362 0.328  -0.413 0.193  -0.477 0.063  -0.504 -0.079  -0.528 -0.221  -0.556 -0.363  -0.585 -0.505  -0.612 -0.647  -0.612 -0.792  -0.612 -0.937  -0.612 -1.082  -0.562 -1.203  -0.418 -1.203  -0.273 -1.203  -0.128 -1.203  0.015 -1.187  0.153 -1.146  0.275 -1.069  0.391 -0.983  0.511 -0.902  0.589 -0.783  0.691 -0.680  0.778 -0.573  0.820 -0.454  0.820 -0.309  0.820 -0.164  0.728 -0.108  0.643 0.006  0.530 0.096  0.401 0.142  0.256 0.142  0.112 0.145  -0.028 0.180  -0.172 0.185  -0.316 0.181  -0.435 0.102  -0.525 0.012
2#tos#f3#f3017065/8  0.570 0.114  0.700 0.074  0.789 0.164  0.851 0.296  0.851 0.467  0.832 0.633  0.771 0.789  0.702 0.939  0.629 1.085  0.493 1.173  0.362 1.268  0.198 1.312  0.028 1.319  -0.143 1.319  -0.314 1.319  -0.476 1.291  -0.554 1.162  -0.635 1.024  -0.635 0.854  -0.619 0.686  -0.572 0.524  -0.497 0.379  -0.397 0.241  -0.295 0.104  -0.179 -0.020  -0.058 -0.141  0.097 -0.191  0.210 -0.315  0.270 -0.462  0.385 -0.576  0.409 -0.743  0.409 -0.914  0.409 -1.085  0.268 -1.170  0.209 -1.281  0.056 -1.331  -0.098 -1.371  -0.268 -1.371  -0.439 -1.369  -0.561 -1.284  -0.635 -1.144  -0.635 -0.974  -0.635 -0.803  -0.594 -0.639  -0.517 -0.491  -0.412 -0.367  -0.286 -0.260  -0.165 -0.139  -0.009 -0.086  0.128 -0.006
2#tos#f3#f3017065/C  0.824 0.315  0.824 0.414  0.824 0.514  0.824 0.614  0.794 0.701  0.785 0.796  0.785 0.896  0.706 0.947  0.666 1.030  0.603 1.066  0.503 1.066  0.403 1.066  0.320 1.027  0.222 1.021  0.139 0.966  0.047 0.932  -0.048 0.906  -0.103 0.823  -0.179 0.763  -0.265 0.713  -0.351 0.662  -0.412 0.593  -0.436 0.496  -0.484 0.410  -0.536 0.325  -0.580 0.236  -0.600 0.141  -0.600 0.042  -0.600 -0.058  -0.600 -0.158  -0.600 -0.257  -0.600 -0.357  -0.586 -0.455  -0.562 -0.552  -0.556 -0.650  -0.524 -0.745  -0.471 -0.829  -0.442 -0.920  -0.419 -1.007  -0.336 -1.062  -0.243 -1.097  -0.157 -1.145  -0.078 -1.205  0.014 -1.229  0.114 -1.229  0.207 -1.256  0.296 -1.301  0.394 -1.308  0.492 -1.316  0.587 -1.347
2#tos#f3#f3017065/E  -0.906 1.189  -0.722 1.223  -0.507 1.201  -0.319 1.122  -0.118 1.048  0.088 0.988  0.292 0.925  0.509 0.920  0.723 0.888  0.797 0.891  0.579 0.902  0.362 0.912  0.144 0.923  -0.074 0.934  -0.292 0.944  -0.506 0.950  -0.605 0.778  -0.605 0.560  -0.605 0.342  -0.605 0.124  -0.606 -0.094  -0.649 -0.306  -0.705 -0.511  -0.708 -0.729  -0.739 -0.942  -0.739 -1.160  -0.554 -1.223  -0.336 -1.223  -0.118 -1.223  0.096 -1.190  0.303 -1.128  0.520 -1.122  0.738 -1.122  0.943 -1.156  0.883 -1.054  0.716 -0.914  0.549 -0.774  0.383 -0.633  0.216 -0.493  0.049 -0.352  -0.118 -0.212  -0.289 -0.084  -0.434 -0.084  -0.224 -0.050  -0.006 -0.050  0.211 -0.037  0.427 -0.017  0.639 0.018  0.852 0.050  1.070 0.050
2#tos#f3#f3017065/H  -0.228 1.302  -0.347 1.163  -0.510 1.072  -0.631 0.945  -0.710 0.789  -0.800 0.630  -0.872 0.458  -0.919 0.278  -0.923 0.091  -0.923 -0.096  -0.923 -0.284  -0.923 -0.471  -0.891 -0.654  -0.839 -0.834  -0.813 -1.017  -0.676 -1.123  -0.665 -1.013  -0.659 -0.825  -0.653 -0.638  -0.647 -0.451  -0.641 -0.264  -0.647 -0.082  -0.765 -0.055  -0.577 -0.055  -0.391 -0.067  -0.206 -0.087  -0.019 -0.087  0.169 -0.087  0.353 -0.060  0.535 -0.047  0.638 0.109  0.740 0.266  0.843 0.423  0.946 0.579  1.049 0.736  1.151 0.892  1.082 0.942  0.909 0.911  0.909 0.724  0.886 0.543  0.814 0.374  0.814 0.186  0.782 0.007  0.751 -0.173  0.751 -0.361  0.722 -0.545  0.719 -0.732  0.719 -0.920  0.737 -1.105  0.782 -1.286
2#tos#f3#f3017065/J  -1.194 0.623  -1.109 0.584  -0.988 0.592  -0.884 0.661  -0.761 0.663  -0.639 0.687  -0.522 0.725  -0.410 0.779  -0.286 0.779  -0.165 0.802  -0.046 0.837  0.075 0.857  0.198 0.870  0.320 0.895  0.444 0.896  0.568 0.896  0.692 0.896  0.772 0.894  0.648 0.885  0.525 0.875  0.401 0.866  0.287 0.847  0.287 0.723  0.287 0.599  0.287 0.474  0.287 0.350  0.287 0.226  0.338 0.117  0.377 0.003  0.404 -0.116  0.404 -0.241  0.404 -0.365  0.404 -0.489  0.398 -0.612  0.368 -0.733  0.354 -0.855  0.326 -0.974  0.286 -1.074  0.246 -1.173  0.170 -1.266  0.106 -1.327  -0.018 -1.327  -0.142 -1.327  -0.241 -1.266  -0.358 -1.249  -0.465 -1.204  -0.578 -1.155  -0.695 -1.124  -0.765 -1.052  -0.688 -0.976
2#tos#f3#f3017065/K  -0.223 1.557  -0.448 1.550  -0.461 1.333  -0.582 1.185  -0.627 0.965  -0.627 0.734  -0.627 0.503  -0.627 0.272  -0.627 0.042  -0.627 -0.189  -0.627 -0.420  -0.627 -0.651  -0.627 -0.882  -0.627 -1.113  -0.627 -1.344  -0.562 -1.462  -0.433 -1.270  -0.304 -1.079  -0.175 -0.887  -0.046 -0.696  0.083 -0.504  0.211 -0.312  0.340 -0.121  0.469 0.071  0.598 0.262  0.727 0.454  0.856 0.646  0.984 0.837  1.113 1.029  1.037 1.088  0.816 1.045  0.623 0.923  0.431 0.798  0.239 0.669  0.110 0.524  -0.067 0.390  -0.234 0.235  -0.403 0.094  -0.472 -0.116  -0.648 -0.258  -0.655 -0.461  -0.424 -0.461  -0.235 -0.529  -0.017 -0.551  0.206 -0.596  0.430 -0.641  0.661 -0.641  0.890 -0.653  1.115 -0.685  1.346 -0.685
2#tos#f3#f3017065/P  0.263 1.035  0.068 1.077  -0.137 1.077  -0.329 1.059  -0.416 0.875  -0.464 0.682  -0.491 0.480  -0.494 0.276  -0.600 0.100  -0.617 -0.100  -0.617 -0.305  -0.617 -0.510  -0.617 -0.715  -0.617 -0.920  -0.617 -1.125  -0.628 -1.327  -0.700 -1.510  -0.640 -1.535  -0.587 -1.337  -0.535 -1.139  -0.482 -0.941  -0.429 -0.743  -0.376 -0.545  -0.323 -0.347  -0.271 -0.149  -0.218 0.050  -0.165 0.248  -0.112 0.446  -0.059 0.644  -0.006 0.842  0.112 0.993  0.265 1.077  0.471 1.077  0.676 1.077  0.829 0.993  1.017 0.937  1.138 0.787  1.226 0.643  1.226 0.438  1.171 0.242  1.118 0.054  0.956 -0.072  0.811 -0.217  0.681 -0.375  0.510 -0.454  0.321 -0.531  0.119 -0.556  -0.081 -0.598  -0.286 -0.598  -0.449 -0.556
2#tos#f3#f3017065/S  -0.236 0.317  -0.083 0.317  0.071 0.317  0.224 0.317  0.313 0.381  0.461 0.413  0.562 0.491  0.626 0.581  0.658 0.726  0.658 0.880  0.600 1.005  0.468 1.083  0.377 1.192  0.241 1.237  0.090 1.255  -0.062 1.275  -0.215 1.275  -0.352 1.226  -0.431 1.110  -0.495 0.976  -0.523 0.827  -0.523 0.674  -0.500 0.527  -0.487 0.378  -0.389 0.275  -0.290 0.175  -0.189 0.063  -0.049 0.007  0.052 -0.098  0.202 -0.128  0.298 -0.241  0.429 -0.319  0.544 -0.413  0.642 -0.529  0.658 -0.675  0.658 -0.828  0.558 -0.933  0.450 -1.041  0.325 -1.127  0.194 -1.206  0.048 -1.238  -0.098 -1.287  -0.247 -1.311  -0.400 -1.311  -0.553 -1.311  -0.651 -1.237  -0.776 -1.174  -0.888 -1.083  -0.938 -0.948  -1.034 -0.864
2#tos#f3#f3017065/T  -1.710 0.387  -1.613 0.435  -1.485 0.449  -1.354 0.449  -1.222 0.449  -1.090 0.449  -0.959 0.449  -0.827 0.449  -0.696 0.449  -0.564 0.449  -0.432 0.449  -0.301 0.449  -0.169 0.449  -0.038 0.449  0.093 0.439  0.223 0.417  0.350 0.387  0.481 0.387  0.613 0.387  0.744 0.387  0.876 0.387  0.999 0.428  1.126 0.450  1.099 0.516  0.968 0.527  0.837 0.538  0.705 0.549  0.574 0.560  0.443 0.571  0.334 0.518  0.226 0.480  0.160 0.415  0.160 0.283  0.134 0.156  0.128 0.025  0.128 -0.106  0.128 -0.238  0.128 -0.370  0.119 -0.498  0.040 -0.603  0.035 -0.733  0.035 -0.865  0.035 -0.997  0.035 -1.128  0.041 -1.259  0.066 -1.387  0.066 -1.519  0.072 -1.649  0.097 -1.775  0.160 -1.888
2#tos#f3#f3017065/Y  -0.807 1.122  -0.893 1.064  -0.864 0.927  -0.793 0.809  -0.720 0.690  -0.618 0.588  -0.516 0.487  -0.473 0.363  -0.385 0.259  -0.330 0.128  -0.222 0.038  -0.125 -0.058  -0.019 -0.079  0.087 0.019  0.193 0.116  0.299 0.214  0.405 0.312  0.511 0.409  0.617 0.507  0.723 0.604  0.829 0.702  0.935 0.800  1.035 0.900  0.940 0.949  0.796 0.949  0.654 0.938  0.528 0.871  0.458 0.747  0.356 0.645  0.271 0.530  0.191 0.410  0.103 0.296  0.019 0.180  -0.034 0.046  -0.088 -0.087  -0.133 -0.224  -0.171 -0.363  -0.216 -0.500  -0.231 -0.642  -0.280 -0.772  -0.318 -0.906  -0.318 -1.050  -0.318 -1.194  -0.300 -1.336  -0.283 -1.477  -0.180 -1.554  -0.174 -1.692  -0.097 -1.781  -0.045 -1.891  -0.001 -2.014
2#tos#f3#f3017065/Z  -0.852 1.183  -0.719 1.183  -0.538 1.252  -0.338 1.266  -0.140 1.287  0.062 1.287  0.265 1.287  0.468 1.287  0.660 1.243  0.711 1.072  0.711 0.870  0.652 0.681  0.517 0.531  0.389 0.374  0.241 0.237  0.096 0.099  -0.024 -0.060  -0.193 -0.173  -0.346 -0.302  -0.459 -0.469  -0.616 -0.596  -0.750 -0.748  -0.893 -0.884  -0.929 -1.061  -0.736 -1.076  -0.562 -1.145  -0.359 -1.145  -0.157 -1.145  0.046 -1.145  0.249 -1.145  0.447 -1.180  0.650 -1.180  0.851 -1.178  0.939 -1.056  0.815 -0.896  0.691 -0.735  0.566 -0.575  0.442 -0.415  0.318 -0.255  0.194 -0.095  0.070 0.065  -0.055 0.225  -0.179 0.386  -0.303 0.546  -0.437 0.556  -0.615 0.482  -0.503 0.384  -0.313 0.321  -0.117 0.279  0.086 0.279
