2#apb#apb08#app0804/F  -0.380 0.581  -0.358 0.373  -0.336 0.165  -0.356 -0.043  -0.376 -0.251  -0.394 -0.459  -0.412 -0.667  -0.431 -0.876  -0.452 -1.084  -0.487 -1.288  -0.562 -1.483  -0.668 -1.662  -0.728 -1.627  -0.678 -1.426  -0.643 -1.222  -0.643 -1.012  -0.643 -0.803  -0.643 -0.594  -0.643 -0.385  -0.643 -0.176  -0.643 0.033  -0.643 0.242  -0.643 0.451  -0.564 0.581  -0.356 0.569  -0.151 0.544  0.054 0.585  0.259 0.627  0.446 0.720  0.633 0.814  0.822 0.904  1.017 0.979  1.210 1.058  1.402 1.130  1.414 0.963  1.228 0.867  1.042 0.772  0.856 0.676  0.670 0.581  0.484 0.486  0.298 0.390  0.112 0.295  -0.074 0.199  -0.260 0.104  -0.200 -0.071  -0.004 -0.121  0.205 -0.121  0.414 -0.121  0.623 -0.121  0.827 -0.077
2#apb#apb08#app0804/n  -1.356 -0.278  -1.286 -0.347  -1.217 -0.416  -1.148 -0.485  -1.091 -0.564  -1.036 -0.645  -0.980 -0.722  -0.882 -0.722  -0.799 -0.684  -0.758 -0.602  -0.749 -0.505  -0.739 -0.407  -0.729 -0.310  -0.726 -0.212  -0.726 -0.114  -0.726 -0.016  -0.712 0.081  -0.698 0.177  -0.674 0.271  -0.630 0.359  -0.575 0.439  -0.514 0.515  -0.446 0.582  -0.353 0.613  -0.260 0.643  -0.163 0.649  -0.065 0.649  0.033 0.649  0.124 0.616  0.213 0.576  0.302 0.535  0.391 0.495  0.480 0.454  0.569 0.414  0.658 0.373  0.747 0.333  0.836 0.292  0.921 0.244  1.004 0.192  1.087 0.141  1.168 0.086  1.218 0.002  1.268 -0.082  1.292 -0.176  1.311 -0.272  1.300 -0.369  1.288 -0.466  1.276 -0.563  1.275 -0.661  1.275 -0.759
2#apb#apb08#app0804/s  0.113 0.741  0.208 0.782  0.304 0.823  0.383 0.890  0.456 0.963  0.507 1.046  0.449 1.133  0.361 1.188  0.267 1.227  0.163 1.227  0.062 1.210  -0.037 1.177  -0.136 1.144  -0.225 1.093  -0.312 1.035  -0.380 0.958  -0.438 0.872  -0.486 0.780  -0.528 0.685  -0.548 0.587  -0.525 0.485  -0.503 0.384  -0.485 0.281  -0.470 0.178  -0.448 0.076  -0.419 -0.024  -0.370 -0.112  -0.296 -0.185  -0.223 -0.259  -0.138 -0.320  -0.053 -0.380  0.035 -0.434  0.128 -0.481  0.222 -0.527  0.312 -0.578  0.393 -0.643  0.479 -0.702  0.507 -0.788  0.495 -0.889  0.443 -0.980  0.392 -1.070  0.345 -1.163  0.298 -1.256  0.240 -1.338  0.150 -1.392  0.059 -1.441  -0.034 -1.488  -0.134 -1.505  -0.239 -1.505  -0.343 -1.505
2#apb#apb08#app0804/m  -0.719 -0.931  -0.696 -0.862  -0.746 -0.745  -0.791 -0.626  -0.836 -0.506  -0.880 -0.387  -0.926 -0.268  -0.971 -0.149  -1.017 -0.030  -1.037 0.094  -1.046 0.221  -1.055 0.348  -1.056 0.476  -1.056 0.603  -1.028 0.725  -0.959 0.829  -0.862 0.864  -0.754 0.798  -0.650 0.724  -0.550 0.645  -0.456 0.560  -0.361 0.475  -0.278 0.378  -0.202 0.276  -0.126 0.175  -0.065 0.064  -0.015 -0.053  0.035 -0.171  0.097 -0.281  0.171 -0.385  0.221 -0.478  0.261 -0.358  0.304 -0.238  0.361 -0.124  0.418 -0.010  0.469 0.107  0.532 0.215  0.639 0.264  0.763 0.246  0.880 0.199  0.970 0.109  1.061 0.020  1.163 -0.056  1.265 -0.133  1.362 -0.215  1.452 -0.304  1.534 -0.402  1.629 -0.486  1.726 -0.569  1.828 -0.646
2#apb#apb08#app0804/y  -0.940 1.160  -0.853 1.051  -0.770 0.939  -0.701 0.818  -0.631 0.697  -0.550 0.583  -0.469 0.470  -0.381 0.361  -0.290 0.255  -0.197 0.152  -0.091 0.061  0.015 -0.030  0.129 -0.109  0.246 -0.173  0.294 -0.042  0.341 0.089  0.389 0.220  0.436 0.352  0.483 0.483  0.531 0.614  0.578 0.745  0.626 0.877  0.673 1.008  0.720 1.139  0.691 1.141  0.613 1.024  0.536 0.908  0.461 0.791  0.394 0.668  0.328 0.545  0.262 0.422  0.199 0.298  0.153 0.166  0.106 0.035  0.060 -0.097  0.013 -0.228  -0.030 -0.361  -0.064 -0.496  -0.098 -0.632  -0.132 -0.767  -0.166 -0.902  -0.200 -1.038  -0.233 -1.173  -0.265 -1.309  -0.295 -1.445  -0.325 -1.582  -0.354 -1.718  -0.384 -1.854  -0.414 -1.991  -0.443 -2.127
2#apb#apb08#app0804/h  -0.560 -1.387  -0.505 -1.266  -0.514 -1.114  -0.519 -0.961  -0.529 -0.808  -0.537 -0.655  -0.537 -0.502  -0.536 -0.349  -0.527 -0.196  -0.518 -0.043  -0.509 0.110  -0.499 0.263  -0.487 0.416  -0.457 0.566  -0.431 0.717  -0.407 0.869  -0.398 1.021  -0.384 1.173  -0.398 1.323  -0.363 1.360  -0.352 1.210  -0.362 1.058  -0.391 0.907  -0.419 0.757  -0.448 0.606  -0.477 0.456  -0.505 0.305  -0.534 0.155  -0.562 0.004  -0.591 -0.147  -0.553 -0.251  -0.435 -0.299  -0.286 -0.262  -0.139 -0.222  0.009 -0.180  0.156 -0.138  0.306 -0.107  0.457 -0.077  0.609 -0.068  0.762 -0.068  0.915 -0.068  1.069 -0.068  1.219 -0.084  1.362 -0.139  1.455 -0.255  1.470 -0.407  1.476 -0.560  1.473 -0.713  1.456 -0.866  1.476 -1.016
2#apb#apb08#app0804/o  -0.692 1.333  -0.733 1.213  -0.735 1.086  -0.735 0.959  -0.757 0.835  -0.794 0.713  -0.830 0.591  -0.862 0.468  -0.862 0.341  -0.862 0.214  -0.862 0.087  -0.862 -0.041  -0.862 -0.168  -0.862 -0.295  -0.854 -0.420  -0.778 -0.522  -0.702 -0.623  -0.625 -0.725  -0.517 -0.785  -0.399 -0.832  -0.281 -0.880  -0.161 -0.923  -0.037 -0.948  0.088 -0.973  0.213 -0.998  0.334 -0.971  0.453 -0.927  0.573 -0.884  0.693 -0.840  0.787 -0.757  0.877 -0.667  0.942 -0.562  0.983 -0.441  1.023 -0.321  1.046 -0.198  1.033 -0.071  1.021 0.055  1.008 0.182  0.936 0.286  0.862 0.390  0.785 0.491  0.683 0.567  0.582 0.643  0.480 0.720  0.360 0.752  0.234 0.770  0.107 0.781  -0.020 0.781  -0.147 0.779  -0.267 0.738
2#apb#apb08#app0804/u  -1.386 0.952  -1.360 0.848  -1.333 0.743  -1.292 0.645  -1.226 0.560  -1.160 0.475  -1.093 0.390  -1.027 0.304  -0.962 0.218  -0.896 0.133  -0.830 0.047  -0.764 -0.038  -0.695 -0.121  -0.622 -0.201  -0.549 -0.281  -0.477 -0.361  -0.404 -0.441  -0.329 -0.518  -0.252 -0.594  -0.176 -0.670  -0.099 -0.747  -0.018 -0.815  0.079 -0.864  0.176 -0.912  0.275 -0.952  0.379 -0.982  0.478 -0.999  0.538 -0.909  0.598 -0.819  0.660 -0.731  0.723 -0.643  0.782 -0.554  0.790 -0.446  0.797 -0.338  0.805 -0.230  0.813 -0.123  0.804 -0.016  0.784 0.090  0.764 0.196  0.744 0.303  0.724 0.409  0.704 0.515  0.683 0.621  0.661 0.726  0.637 0.831  0.594 0.931  0.552 1.030  0.541 1.136  0.463 1.145  0.403 1.055
2#apb#apb08#app0804/s  0.275 1.281  0.329 1.354  0.372 1.392  0.359 1.311  0.271 1.289  0.190 1.250  0.111 1.203  0.033 1.156  -0.045 1.109  -0.118 1.056  -0.187 0.996  -0.255 0.936  -0.324 0.876  -0.385 0.809  -0.444 0.739  -0.502 0.669  -0.574 0.613  -0.636 0.553  -0.636 0.462  -0.611 0.376  -0.575 0.292  -0.539 0.209  -0.479 0.140  -0.418 0.072  -0.358 0.004  -0.297 -0.064  -0.225 -0.119  -0.149 -0.168  -0.072 -0.217  0.005 -0.266  0.082 -0.315  0.158 -0.365  0.234 -0.416  0.311 -0.465  0.389 -0.511  0.453 -0.571  0.493 -0.653  0.491 -0.741  0.476 -0.831  0.454 -0.919  0.428 -1.006  0.401 -1.094  0.375 -1.181  0.331 -1.260  0.284 -1.338  0.237 -1.416  0.190 -1.495  0.117 -1.542  0.033 -1.578  -0.051 -1.614
2#apb#apb08#app0804/e  -1.235 0.176  -1.068 0.206  -0.900 0.237  -0.731 0.219  -0.563 0.197  -0.394 0.178  -0.224 0.198  -0.055 0.218  0.114 0.237  0.284 0.249  0.454 0.260  0.624 0.270  0.778 0.340  0.919 0.379  0.798 0.486  0.638 0.544  0.479 0.606  0.324 0.677  0.169 0.748  0.006 0.787  -0.164 0.799  -0.334 0.811  -0.503 0.796  -0.671 0.774  -0.805 0.670  -0.940 0.565  -1.013 0.413  -1.079 0.256  -1.110 0.089  -1.140 -0.079  -1.052 -0.225  -0.964 -0.371  -0.838 -0.482  -0.703 -0.586  -0.568 -0.690  -0.406 -0.726  -0.236 -0.742  -0.067 -0.757  0.103 -0.773  0.272 -0.767  0.442 -0.749  0.611 -0.732  0.781 -0.714  0.950 -0.697  1.118 -0.674  1.282 -0.627  1.446 -0.580  1.610 -0.533  1.773 -0.486  1.786 -0.396
2#apb#apb08#app0804/a  0.581 0.362  0.504 0.474  0.401 0.557  0.326 0.670  0.233 0.766  0.120 0.842  -0.002 0.898  -0.133 0.936  -0.267 0.954  -0.403 0.954  -0.532 0.921  -0.658 0.867  -0.764 0.787  -0.854 0.685  -0.945 0.583  -1.027 0.476  -1.088 0.354  -1.149 0.233  -1.204 0.109  -1.242 -0.022  -1.253 -0.151  -1.190 -0.270  -1.070 -0.335  -0.950 -0.401  -0.831 -0.466  -0.706 -0.519  -0.578 -0.566  -0.450 -0.612  -0.321 -0.655  -0.190 -0.694  -0.060 -0.733  0.063 -0.706  0.181 -0.638  0.302 -0.577  0.428 -0.523  0.532 -0.445  0.599 -0.327  0.665 -0.208  0.726 -0.087  0.792 0.032  0.891 0.103  0.982 0.106  1.029 -0.020  1.070 -0.150  1.108 -0.281  1.149 -0.411  1.203 -0.536  1.259 -0.660  1.327 -0.778  1.394 -0.896
2#apb#apb08#app0804/s  0.443 1.090  0.474 1.183  0.400 1.221  0.316 1.271  0.229 1.287  0.136 1.256  0.043 1.225  -0.050 1.194  -0.123 1.129  -0.196 1.064  -0.269 0.999  -0.342 0.934  -0.417 0.870  -0.492 0.808  -0.567 0.745  -0.637 0.676  -0.706 0.607  -0.735 0.515  -0.731 0.423  -0.688 0.336  -0.644 0.248  -0.566 0.188  -0.489 0.128  -0.412 0.068  -0.335 0.008  -0.249 -0.039  -0.163 -0.086  -0.077 -0.132  0.009 -0.179  0.095 -0.225  0.179 -0.276  0.260 -0.331  0.341 -0.385  0.423 -0.439  0.515 -0.456  0.574 -0.534  0.610 -0.616  0.579 -0.709  0.549 -0.801  0.518 -0.894  0.470 -0.979  0.420 -1.063  0.369 -1.147  0.319 -1.231  0.263 -1.311  0.204 -1.390  0.146 -1.468  0.085 -1.544  0.001 -1.594  -0.083 -1.644
2#apb#apb08#app0804/k  -1.013 1.522  -0.915 1.351  -0.829 1.175  -0.761 0.990  -0.694 0.805  -0.650 0.614  -0.606 0.422  -0.574 0.229  -0.574 0.032  -0.574 -0.165  -0.574 -0.361  -0.574 -0.558  -0.574 -0.755  -0.586 -0.950  -0.640 -1.139  -0.608 -1.326  -0.533 -1.350  -0.441 -1.176  -0.349 -1.002  -0.257 -0.828  -0.165 -0.654  -0.073 -0.480  0.019 -0.306  0.111 -0.132  0.203 0.042  0.295 0.216  0.387 0.389  0.479 0.563  0.571 0.737  0.662 0.911  0.754 1.085  0.846 1.259  0.876 1.287  0.810 1.102  0.715 0.929  0.621 0.756  0.516 0.590  0.403 0.429  0.291 0.268  0.182 0.104  0.073 -0.060  -0.007 -0.239  -0.056 -0.426  0.012 -0.607  0.179 -0.700  0.358 -0.780  0.538 -0.860  0.718 -0.940  0.908 -0.987  1.100 -1.030
2#apb#apb08#app0804/L  0.139 1.697  0.168 1.733  0.159 1.645  0.126 1.562  0.090 1.480  0.049 1.400  0.009 1.320  -0.021 1.236  -0.042 1.149  -0.064 1.063  -0.086 0.976  -0.108 0.889  -0.129 0.802  -0.153 0.716  -0.177 0.630  -0.201 0.543  -0.225 0.457  -0.249 0.371  -0.273 0.285  -0.295 0.198  -0.317 0.111  -0.338 0.024  -0.360 -0.063  -0.382 -0.149  -0.400 -0.237  -0.413 -0.326  -0.427 -0.414  -0.440 -0.502  -0.456 -0.591  -0.480 -0.677  -0.505 -0.763  -0.475 -0.840  -0.404 -0.883  -0.316 -0.901  -0.227 -0.903  -0.138 -0.903  -0.048 -0.903  0.041 -0.903  0.131 -0.903  0.221 -0.903  0.310 -0.903  0.399 -0.901  0.488 -0.891  0.577 -0.881  0.666 -0.874  0.756 -0.874  0.834 -0.840  0.906 -0.786  0.995 -0.785  1.084 -0.785
2#apb#apb08#app0804/a  0.470 0.692  0.550 0.792  0.630 0.891  0.667 0.990  0.539 0.990  0.412 0.998  0.286 1.016  0.160 1.027  0.041 0.983  -0.079 0.938  -0.197 0.890  -0.311 0.833  -0.425 0.776  -0.539 0.719  -0.654 0.661  -0.768 0.604  -0.869 0.533  -0.940 0.426  -1.011 0.320  -1.050 0.199  -1.085 0.076  -1.103 -0.049  -1.103 -0.176  -1.091 -0.299  -1.000 -0.389  -0.910 -0.479  -0.820 -0.570  -0.704 -0.618  -0.582 -0.658  -0.461 -0.699  -0.336 -0.711  -0.208 -0.711  -0.080 -0.711  0.046 -0.697  0.173 -0.683  0.300 -0.669  0.380 -0.569  0.460 -0.469  0.562 -0.400  0.619 -0.285  0.640 -0.163  0.755 -0.195  0.861 -0.260  0.918 -0.374  0.988 -0.481  1.065 -0.583  1.105 -0.704  1.146 -0.825  1.230 -0.919  1.321 -1.009
2#apb#apb08#app0804/u  -1.149 1.125  -1.069 1.108  -1.069 1.011  -1.069 0.914  -1.069 0.817  -1.069 0.720  -1.069 0.623  -1.069 0.527  -1.038 0.439  -0.984 0.359  -0.931 0.278  -0.889 0.191  -0.855 0.101  -0.821 0.010  -0.784 -0.079  -0.716 -0.147  -0.647 -0.216  -0.579 -0.284  -0.510 -0.353  -0.442 -0.421  -0.373 -0.490  -0.305 -0.558  -0.236 -0.627  -0.159 -0.676  -0.063 -0.687  0.034 -0.698  0.130 -0.709  0.226 -0.713  0.323 -0.713  0.420 -0.713  0.517 -0.713  0.599 -0.666  0.680 -0.612  0.761 -0.558  0.830 -0.491  0.899 -0.423  0.967 -0.354  1.014 -0.275  1.027 -0.179  1.041 -0.083  1.048 0.013  1.048 0.110  1.048 0.207  1.022 0.298  0.979 0.384  0.936 0.471  0.909 0.563  0.884 0.657  0.854 0.749  0.768 0.765
2#apb#apb08#app0804/r  -0.746 -1.442  -0.650 -1.442  -0.567 -1.429  -0.562 -1.333  -0.535 -1.241  -0.509 -1.149  -0.483 -1.056  -0.467 -0.961  -0.453 -0.866  -0.439 -0.771  -0.438 -0.676  -0.448 -0.580  -0.457 -0.484  -0.467 -0.388  -0.476 -0.293  -0.504 -0.201  -0.534 -0.110  -0.564 -0.018  -0.591 0.074  -0.618 0.166  -0.644 0.259  -0.701 0.326  -0.746 0.394  -0.739 0.486  -0.653 0.529  -0.567 0.572  -0.481 0.615  -0.385 0.617  -0.289 0.617  -0.193 0.617  -0.097 0.617  -0.003 0.600  0.091 0.578  0.185 0.557  0.279 0.535  0.372 0.513  0.466 0.492  0.561 0.477  0.656 0.467  0.752 0.458  0.848 0.448  0.944 0.439  1.040 0.438  1.136 0.438  1.232 0.438  1.327 0.431  1.413 0.388  1.499 0.345  1.583 0.300  1.626 0.214
2#apb#apb08#app0804/e  -1.275 0.367  -1.121 0.367  -1.006 0.274  -0.886 0.184  -0.735 0.153  -0.582 0.147  -0.429 0.134  -0.280 0.096  -0.130 0.059  0.024 0.059  0.178 0.059  0.316 0.127  0.460 0.182  0.544 0.302  0.576 0.449  0.574 0.603  0.552 0.756  0.524 0.905  0.415 1.014  0.317 1.132  0.204 1.187  0.056 1.144  -0.084 1.086  -0.210 0.996  -0.335 0.906  -0.429 0.785  -0.519 0.659  -0.610 0.535  -0.702 0.411  -0.759 0.268  -0.771 0.123  -0.728 -0.025  -0.668 -0.165  -0.579 -0.291  -0.489 -0.416  -0.355 -0.490  -0.217 -0.559  -0.095 -0.653  0.026 -0.748  0.148 -0.843  0.271 -0.936  0.394 -1.028  0.518 -1.121  0.667 -1.149  0.820 -1.168  0.974 -1.176  1.128 -1.176  1.282 -1.176  1.436 -1.176  1.590 -1.176
2#apb#apb08#app0804/l  -0.495 1.178  -0.475 1.248  -0.456 1.318  -0.436 1.388  -0.377 1.425  -0.331 1.375  -0.288 1.317  -0.250 1.255  -0.214 1.192  -0.178 1.129  -0.146 1.064  -0.126 0.995  -0.106 0.925  -0.085 0.856  -0.065 0.786  -0.044 0.717  -0.024 0.647  -0.003 0.577  0.011 0.506  0.021 0.435  0.032 0.363  0.043 0.291  0.054 0.219  0.064 0.148  0.075 0.076  0.086 0.004  0.097 -0.067  0.109 -0.139  0.122 -0.210  0.134 -0.282  0.147 -0.353  0.160 -0.424  0.172 -0.496  0.185 -0.567  0.190 -0.639  0.190 -0.712  0.190 -0.784  0.190 -0.857  0.190 -0.929  0.190 -1.002  0.190 -1.074  0.183 -1.146  0.172 -1.218  0.161 -1.290  0.150 -1.361  0.139 -1.433  0.128 -1.505  0.117 -1.577  0.107 -1.648  0.097 -1.720
