3#apa#apa01#app0182/8  -0.064 0.665  0.188 0.698  0.188 0.982  0.062 1.141  -0.195 1.169  -0.432 1.053  -0.670 0.941  -0.819 0.792  -0.945 0.633  -0.945 0.349  -0.876 0.093  -0.693 -0.116  -0.526 -0.257  -0.276 -0.342  -0.013 -0.291  0.188 -0.163  0.313 -0.005  0.313 0.280  0.420 0.520  0.439 0.797  0.439 1.081  0.313 1.240  0.084 1.294  -0.201 1.294  -0.305 1.126  -0.236 0.850  -0.167 0.574  -0.098 0.298  -0.029 0.022  0.040 -0.254  -0.064 -0.410  -0.261 -0.539  -0.397 -0.719  -0.556 -0.845  -0.568 -1.118  -0.440 -1.349  -0.281 -1.474  -0.049 -1.600  0.235 -1.600  0.520 -1.600  0.734 -1.431  0.859 -1.223  0.943 -1.022  0.943 -0.738  0.844 -0.494  0.817 -0.221  0.565 -0.188  0.379 -0.090  0.220 0.036  0.062 0.162
3#apa#apa01#app0182/;  -0.454 1.358  -0.369 1.358  -0.333 1.407  -0.346 1.480  -0.431 1.480  -0.454 1.417  -0.436 1.340  -0.375 1.279  -0.323 1.213  -0.291 1.134  -0.260 1.055  -0.228 0.975  -0.196 0.896  -0.165 0.817  -0.133 0.737  -0.101 0.658  -0.069 0.579  -0.038 0.499  -0.006 0.420  0.026 0.341  0.058 0.261  0.089 0.182  0.121 0.103  0.153 0.023  0.236 0.021  0.275 -0.026  0.275 -0.111  0.275 -0.197  0.317 -0.265  0.378 -0.325  0.397 -0.402  0.397 -0.488  0.397 -0.573  0.326 -0.587  0.275 -0.623  0.275 -0.708  0.275 -0.793  0.241 -0.865  0.181 -0.925  0.154 -0.999  0.154 -1.085  0.154 -1.170  0.094 -1.195  0.032 -1.220  0.032 -1.305  -0.041 -1.317  -0.089 -1.354  -0.090 -1.439  -0.151 -1.500  -0.211 -1.560
3#apa#apa01#app0182/>  -1.077 1.238  -1.077 1.132  -0.992 1.111  -0.904 1.065  -0.829 0.990  -0.725 0.983  -0.619 0.983  -0.529 0.945  -0.454 0.869  -0.353 0.856  -0.266 0.809  -0.191 0.734  -0.087 0.728  0.020 0.728  0.070 0.672  0.105 0.601  0.211 0.601  0.318 0.601  0.324 0.501  0.403 0.474  0.509 0.474  0.616 0.474  0.707 0.458  0.707 0.352  0.606 0.346  0.579 0.267  0.579 0.160  0.553 0.065  0.478 -0.010  0.452 -0.106  0.403 -0.163  0.324 -0.191  0.324 -0.298  0.324 -0.404  0.259 -0.483  0.197 -0.564  0.197 -0.670  0.124 -0.746  0.070 -0.830  0.064 -0.934  -0.012 -1.009  -0.058 -1.096  -0.058 -1.203  -0.058 -1.309  -0.163 -1.310  -0.185 -1.394  -0.185 -1.501  -0.185 -1.607  -0.206 -1.692  -0.313 -1.692
3#apa#apa01#app0182/S  0.382 1.299  0.258 1.285  0.143 1.228  0.029 1.171  -0.086 1.113  -0.212 1.104  -0.328 1.075  -0.427 1.007  -0.537 0.963  -0.628 0.873  -0.731 0.812  -0.785 0.739  -0.887 0.710  -0.978 0.620  -0.980 0.493  -0.922 0.423  -0.794 0.423  -0.666 0.423  -0.538 0.423  -0.410 0.423  -0.315 0.342  -0.194 0.326  -0.077 0.299  0.021 0.228  0.149 0.228  0.251 0.165  0.342 0.074  0.432 -0.016  0.540 -0.064  0.577 -0.155  0.663 -0.247  0.754 -0.338  0.844 -0.428  0.869 -0.546  0.869 -0.674  0.869 -0.802  0.781 -0.842  0.750 -0.939  0.622 -0.939  0.577 -1.022  0.480 -1.053  0.433 -1.134  0.305 -1.134  0.177 -1.134  0.049 -1.134  -0.079 -1.134  -0.207 -1.134  -0.335 -1.134  -0.463 -1.134  -0.591 -1.134
3#apa#apa01#app0182/i  -0.165 -0.175  -0.094 -0.245  -0.024 -0.316  -0.007 -0.409  -0.007 -0.508  -0.007 -0.608  -0.007 -0.708  -0.006 -0.808  0.064 -0.878  0.135 -0.949  0.152 -1.042  0.152 -1.141  0.152 -1.241  0.152 -1.341  0.151 -1.439  0.142 -1.339  0.132 -1.240  0.123 -1.141  0.114 -1.041  0.104 -0.942  0.095 -0.843  0.085 -0.743  0.076 -0.644  0.066 -0.545  0.057 -0.445  0.047 -0.346  0.038 -0.246  0.028 -0.147  0.019 -0.048  0.009 0.052  0.000 0.151  -0.009 0.250  -0.019 0.350  -0.028 0.449  -0.038 0.548  -0.047 0.648  -0.057 0.747  -0.066 0.846  -0.076 0.946  -0.085 1.045  -0.095 1.145  -0.104 1.244  -0.114 1.343  -0.123 1.443  -0.132 1.542  -0.142 1.641  -0.151 1.741  -0.161 1.840  -0.165 1.823  -0.165 1.723
3#apa#apa01#app0182/m  -1.326 0.108  -1.326 -0.086  -1.326 -0.280  -1.326 -0.474  -1.287 -0.629  -1.178 -0.715  -1.046 -0.777  -1.000 -0.629  -0.883 -0.552  -0.883 -0.358  -0.883 -0.163  -0.834 0.010  -0.736 0.164  -0.736 0.358  -0.669 0.536  -0.588 0.711  -0.529 0.846  -0.441 0.952  -0.289 0.989  -0.152 0.852  -0.015 0.715  0.002 0.528  0.002 0.334  0.002 0.140  0.002 -0.055  0.002 -0.249  0.002 -0.443  0.009 -0.629  0.149 -0.683  0.149 -0.676  0.149 -0.482  0.196 -0.334  0.297 -0.242  0.297 -0.047  0.335 0.108  0.444 0.193  0.444 0.387  0.592 0.434  0.669 0.551  0.863 0.551  1.058 0.551  1.182 0.481  1.298 0.403  1.329 0.240  1.329 0.046  1.329 -0.148  1.329 -0.342  1.329 -0.536  1.329 -0.730  1.329 -0.924
3#apa#apa01#app0182/i  -0.053 -0.056  -0.053 -0.156  -0.053 -0.255  -0.053 -0.354  -0.053 -0.454  -0.053 -0.553  -0.053 -0.653  -0.053 -0.752  -0.053 -0.852  -0.053 -0.951  -0.053 -1.050  -0.053 -1.150  -0.053 -1.249  -0.053 -1.349  0.011 -1.384  0.094 -1.368  0.090 -1.269  0.086 -1.169  0.081 -1.070  0.077 -0.971  0.073 -0.871  0.068 -0.772  0.064 -0.673  0.060 -0.573  0.055 -0.474  0.051 -0.375  0.047 -0.275  0.042 -0.176  0.038 -0.077  0.034 0.023  0.029 0.122  0.025 0.221  0.021 0.321  0.016 0.420  0.012 0.519  0.008 0.618  0.003 0.718  -0.001 0.817  -0.005 0.916  -0.009 1.016  -0.014 1.115  -0.018 1.214  -0.022 1.314  -0.027 1.413  -0.031 1.512  -0.035 1.612  -0.040 1.711  -0.044 1.810  -0.048 1.910  -0.053 2.009
3#apa#apa01#app0182/l  -0.256 1.624  -0.256 1.551  -0.218 1.514  -0.146 1.513  -0.146 1.439  -0.118 1.377  -0.066 1.325  -0.035 1.264  -0.035 1.190  -0.035 1.116  -0.035 1.042  -0.035 0.968  -0.035 0.895  -0.035 0.821  -0.035 0.747  -0.035 0.673  -0.035 0.599  -0.035 0.526  -0.035 0.452  -0.035 0.378  -0.035 0.304  -0.035 0.230  -0.035 0.157  -0.035 0.083  -0.035 0.009  -0.035 -0.065  -0.035 -0.139  -0.035 -0.212  -0.035 -0.286  -0.035 -0.360  -0.035 -0.434  -0.035 -0.508  -0.034 -0.580  0.019 -0.633  0.071 -0.685  0.075 -0.757  0.075 -0.831  0.075 -0.905  0.075 -0.978  0.075 -1.052  0.075 -1.126  0.075 -1.200  0.075 -1.274  0.075 -1.347  0.146 -1.350  0.185 -1.385  0.185 -1.459  0.258 -1.460  0.295 -1.423  0.295 -1.350
3#apa#apa01#app0182/a  0.370 -0.341  0.495 -0.216  0.568 -0.069  0.568 0.108  0.568 0.285  0.559 0.453  0.382 0.453  0.370 0.618  0.226 0.651  0.172 0.773  0.071 0.849  -0.107 0.849  -0.284 0.849  -0.461 0.849  -0.638 0.849  -0.815 0.849  -0.941 0.728  -1.086 0.651  -1.217 0.604  -1.235 0.435  -1.360 0.310  -1.415 0.155  -1.415 -0.022  -1.376 -0.182  -1.250 -0.307  -1.087 -0.341  -0.942 -0.417  -0.815 -0.539  -0.638 -0.539  -0.461 -0.539  -0.284 -0.539  -0.107 -0.539  0.041 -0.471  0.167 -0.346  0.172 -0.171  0.320 -0.142  0.370 -0.015  0.445 0.131  0.570 0.253  0.695 0.127  0.820 0.002  0.946 -0.123  0.965 -0.292  0.965 -0.469  1.072 -0.539  1.163 -0.625  1.163 -0.802  1.163 -0.979  1.185 -1.134  1.362 -1.134
3#apa#apa01#app0182/r  -0.629 0.539  -0.629 0.406  -0.577 0.294  -0.482 0.200  -0.436 0.086  -0.436 -0.048  -0.436 -0.181  -0.436 -0.315  -0.436 -0.448  -0.436 -0.582  -0.368 -0.687  -0.273 -0.781  -0.243 -0.902  -0.243 -1.036  -0.243 -1.169  -0.243 -1.302  -0.289 -1.390  -0.423 -1.390  -0.436 -1.270  -0.436 -1.136  -0.435 -1.004  -0.302 -1.004  -0.243 -0.929  -0.243 -0.796  -0.243 -0.662  -0.243 -0.529  -0.243 -0.395  -0.243 -0.262  -0.170 -0.159  -0.075 -0.064  -0.050 0.059  -0.050 0.192  -0.050 0.326  0.062 0.347  0.143 0.400  0.143 0.533  0.232 0.629  0.327 0.724  0.336 0.853  0.397 0.925  0.529 0.927  0.529 1.061  0.597 1.152  0.716 1.212  0.835 1.272  0.959 1.311  1.093 1.311  1.226 1.311  1.300 1.252  1.300 1.118
3#apa#apa01#app0182/?  0.042 -1.553  0.042 -1.650  0.042 -1.747  0.033 -1.711  0.021 -1.615  0.009 -1.518  -0.003 -1.422  -0.015 -1.326  -0.027 -1.230  -0.039 -1.134  -0.051 -1.038  -0.063 -0.942  -0.075 -0.846  -0.087 -0.750  -0.099 -0.654  -0.107 -0.558  -0.107 -0.461  -0.178 -0.434  -0.182 -0.342  -0.182 -0.245  -0.182 -0.148  -0.182 -0.051  -0.182 0.046  -0.182 0.142  -0.182 0.239  -0.157 0.311  -0.074 0.345  0.005 0.386  0.084 0.429  0.168 0.461  0.191 0.535  0.281 0.551  0.353 0.610  0.415 0.645  0.455 0.725  0.489 0.808  0.489 0.905  0.423 0.974  0.405 1.057  0.308 1.057  0.211 1.057  0.137 1.112  0.048 1.132  -0.049 1.132  -0.145 1.132  -0.242 1.132  -0.339 1.132  -0.436 1.132  -0.533 1.132  -0.555 1.057
