3#apb#apb09#app0910/a  0.439 -0.001  0.495 0.167  0.542 0.336  0.528 0.511  0.464 0.676  0.367 0.821  0.248 0.951  0.100 1.043  -0.061 1.118  -0.234 1.136  -0.411 1.136  -0.576 1.075  -0.739 1.008  -0.855 0.882  -0.955 0.736  -1.053 0.588  -1.120 0.425  -1.187 0.261  -1.229 0.094  -1.206 -0.082  -1.183 -0.257  -1.116 -0.417  -1.018 -0.564  -0.920 -0.711  -0.786 -0.820  -0.631 -0.906  -0.472 -0.977  -0.296 -0.999  -0.128 -0.983  0.026 -0.897  0.175 -0.802  0.300 -0.677  0.425 -0.552  0.493 -0.390  0.554 -0.224  0.602 -0.054  0.636 0.120  0.664 0.294  0.652 0.471  0.647 0.550  0.657 0.373  0.669 0.196  0.690 0.020  0.710 -0.155  0.732 -0.331  0.763 -0.505  0.795 -0.679  0.852 -0.845  0.935 -1.001  1.017 -1.158
3#apb#apb09#app0910/l  -0.102 1.689  -0.121 1.622  -0.125 1.552  -0.129 1.483  -0.132 1.413  -0.136 1.344  -0.140 1.274  -0.140 1.205  -0.140 1.135  -0.140 1.066  -0.140 0.996  -0.140 0.926  -0.140 0.857  -0.140 0.787  -0.138 0.718  -0.131 0.648  -0.125 0.579  -0.119 0.510  -0.112 0.440  -0.106 0.371  -0.100 0.302  -0.093 0.232  -0.087 0.163  -0.080 0.094  -0.069 0.025  -0.058 -0.044  -0.046 -0.113  -0.035 -0.181  -0.024 -0.250  -0.013 -0.319  -0.002 -0.387  0.009 -0.456  0.024 -0.524  0.044 -0.591  0.063 -0.658  0.082 -0.725  0.101 -0.792  0.120 -0.859  0.135 -0.926  0.147 -0.995  0.158 -1.064  0.170 -1.132  0.181 -1.201  0.198 -1.268  0.222 -1.334  0.246 -1.399  0.272 -1.463  0.308 -1.523  0.344 -1.583  0.380 -1.642
3#apb#apb09#app0910/m  -0.767 0.630  -0.802 0.433  -0.849 0.238  -0.878 0.039  -0.906 -0.160  -0.908 -0.360  -0.908 -0.561  -0.871 -0.758  -0.830 -0.955  -0.767 -1.026  -0.767 -0.825  -0.767 -0.624  -0.772 -0.423  -0.785 -0.223  -0.798 -0.023  -0.804 0.178  -0.790 0.378  -0.777 0.579  -0.744 0.775  -0.677 0.964  -0.522 1.059  -0.387 0.918  -0.293 0.742  -0.224 0.554  -0.159 0.364  -0.102 0.171  -0.049 -0.022  -0.006 -0.218  0.048 -0.412  0.112 -0.602  0.180 -0.724  0.275 -0.548  0.351 -0.362  0.404 -0.169  0.457 0.025  0.513 0.218  0.569 0.411  0.639 0.598  0.724 0.780  0.875 0.834  0.967 0.656  1.039 0.469  1.108 0.280  1.161 0.086  1.209 -0.108  1.279 -0.296  1.356 -0.482  1.439 -0.665  1.542 -0.836  1.662 -0.997
3#apb#apb09#app0910/n  -0.908 0.470  -0.874 0.421  -0.838 0.288  -0.817 0.151  -0.803 0.014  -0.789 -0.123  -0.766 -0.259  -0.739 -0.395  -0.712 -0.530  -0.674 -0.663  -0.630 -0.794  -0.633 -0.930  -0.618 -1.060  -0.622 -0.998  -0.622 -0.859  -0.622 -0.721  -0.617 -0.583  -0.605 -0.446  -0.593 -0.308  -0.581 -0.171  -0.548 -0.037  -0.513 0.097  -0.478 0.230  -0.444 0.364  -0.396 0.494  -0.346 0.622  -0.296 0.751  -0.235 0.871  -0.118 0.945  0.002 1.011  0.135 1.047  0.268 1.044  0.402 1.008  0.502 0.917  0.596 0.816  0.689 0.714  0.758 0.595  0.828 0.475  0.897 0.356  0.943 0.227  0.983 0.094  1.023 -0.038  1.055 -0.172  1.084 -0.307  1.112 -0.442  1.155 -0.574  1.201 -0.704  1.244 -0.835  1.282 -0.967  1.282 -1.106
3#apb#apb09#app0910/o  0.083 0.698  0.007 0.804  -0.100 0.878  -0.223 0.888  -0.350 0.859  -0.468 0.803  -0.586 0.746  -0.667 0.643  -0.747 0.539  -0.826 0.435  -0.879 0.315  -0.931 0.195  -0.983 0.075  -0.995 -0.054  -0.995 -0.185  -0.995 -0.316  -0.973 -0.442  -0.914 -0.559  -0.856 -0.677  -0.775 -0.775  -0.669 -0.852  -0.563 -0.929  -0.444 -0.976  -0.315 -0.999  -0.186 -1.023  -0.056 -1.018  0.073 -0.998  0.203 -0.978  0.328 -0.947  0.436 -0.872  0.543 -0.797  0.651 -0.723  0.740 -0.629  0.814 -0.521  0.888 -0.413  0.957 -0.303  0.967 -0.172  0.977 -0.041  0.987 0.089  0.960 0.215  0.915 0.338  0.870 0.461  0.825 0.584  0.759 0.695  0.671 0.792  0.583 0.889  0.495 0.987  0.376 1.039  0.255 1.091  0.135 1.143
3#apb#apb09#app0910/p  -0.501 0.318  -0.594 0.185  -0.619 0.028  -0.611 -0.136  -0.600 -0.300  -0.585 -0.464  -0.568 -0.627  -0.528 -0.786  -0.488 -0.945  -0.449 -1.105  -0.409 -1.264  -0.381 -1.414  -0.448 -1.264  -0.500 -1.108  -0.552 -0.952  -0.591 -0.793  -0.622 -0.632  -0.653 -0.470  -0.668 -0.307  -0.679 -0.143  -0.690 0.021  -0.662 0.179  -0.607 0.333  -0.551 0.488  -0.477 0.634  -0.396 0.777  -0.275 0.883  -0.141 0.979  0.007 1.050  0.157 1.116  0.313 1.168  0.470 1.209  0.633 1.190  0.788 1.150  0.928 1.064  1.025 0.937  1.102 0.792  1.127 0.631  1.143 0.468  1.130 0.305  1.105 0.143  1.051 -0.009  0.973 -0.154  0.853 -0.266  0.733 -0.378  0.580 -0.436  0.425 -0.490  0.263 -0.518  0.101 -0.542  -0.063 -0.542
3#apb#apb09#app0910/q  0.483 1.131  0.429 1.268  0.301 1.330  0.155 1.313  0.035 1.227  -0.084 1.140  -0.199 1.046  -0.310 0.950  -0.376 0.818  -0.442 0.685  -0.498 0.548  -0.551 0.410  -0.583 0.268  -0.583 0.120  -0.535 -0.015  -0.434 -0.114  -0.296 -0.136  -0.153 -0.098  -0.023 -0.029  0.102 0.049  0.199 0.158  0.289 0.276  0.364 0.403  0.427 0.536  0.493 0.669  0.563 0.799  0.600 0.924  0.512 0.807  0.442 0.677  0.375 0.545  0.310 0.412  0.258 0.273  0.206 0.135  0.153 -0.003  0.099 -0.141  0.045 -0.279  -0.012 -0.415  -0.078 -0.548  -0.144 -0.680  -0.191 -0.818  -0.215 -0.964  -0.238 -1.111  -0.253 -1.258  -0.265 -1.405  -0.263 -1.551  -0.227 -1.695  -0.160 -1.823  -0.052 -1.917  0.088 -1.958  0.236 -1.958
3#apb#apb09#app0910/r  -0.253 0.641  -0.332 0.550  -0.389 0.437  -0.402 0.310  -0.414 0.184  -0.427 0.057  -0.430 -0.069  -0.420 -0.196  -0.409 -0.323  -0.399 -0.449  -0.388 -0.576  -0.375 -0.702  -0.361 -0.829  -0.348 -0.955  -0.320 -1.079  -0.285 -1.201  -0.250 -1.323  -0.205 -1.442  -0.190 -1.430  -0.221 -1.307  -0.251 -1.183  -0.279 -1.059  -0.295 -0.933  -0.310 -0.807  -0.326 -0.681  -0.342 -0.555  -0.348 -0.428  -0.353 -0.301  -0.358 -0.174  -0.363 -0.047  -0.346 0.076  -0.298 0.194  -0.249 0.311  -0.196 0.426  -0.114 0.523  -0.031 0.619  0.052 0.716  0.153 0.792  0.257 0.865  0.362 0.937  0.484 0.973  0.605 1.009  0.727 1.045  0.854 1.056  0.981 1.063  1.108 1.069  1.234 1.070  1.361 1.056  1.487 1.042  1.613 1.028
3#apb#apb09#app0910/s  0.434 0.763  0.349 0.848  0.259 0.926  0.145 0.967  0.032 1.008  -0.086 0.985  -0.204 0.963  -0.323 0.940  -0.441 0.918  -0.561 0.904  -0.680 0.890  -0.800 0.876  -0.909 0.827  -1.017 0.773  -1.034 0.681  -0.932 0.616  -0.830 0.552  -0.718 0.510  -0.603 0.474  -0.488 0.437  -0.374 0.401  -0.258 0.367  -0.142 0.335  -0.026 0.304  0.090 0.272  0.205 0.236  0.317 0.191  0.429 0.146  0.532 0.089  0.621 0.007  0.710 -0.074  0.785 -0.166  0.834 -0.276  0.857 -0.391  0.857 -0.512  0.848 -0.629  0.780 -0.728  0.711 -0.827  0.636 -0.920  0.537 -0.989  0.438 -1.057  0.336 -1.120  0.226 -1.168  0.115 -1.217  0.005 -1.265  -0.104 -1.316  -0.213 -1.366  -0.327 -1.396  -0.448 -1.396  -0.568 -1.396
3#apb#apb09#app0910/t  -0.077 1.975  -0.158 1.880  -0.170 1.712  -0.160 1.547  -0.118 1.385  -0.075 1.223  -0.031 1.061  0.012 0.899  0.056 0.736  0.104 0.576  0.154 0.415  0.203 0.255  0.237 0.091  0.257 -0.075  0.278 -0.242  0.304 -0.408  0.333 -0.573  0.362 -0.738  0.384 -0.904  0.404 -1.071  0.383 -1.237  0.348 -1.400  0.297 -1.560  0.217 -1.511  0.120 -1.374  0.023 -1.237  -0.074 -1.100  -0.170 -0.963  -0.267 -0.826  -0.364 -0.689  -0.461 -0.552  -0.558 -0.415  -0.654 -0.278  -0.751 -0.141  -0.848 -0.004  -0.945 0.133  -0.990 0.244  -0.822 0.244  -0.655 0.244  -0.487 0.244  -0.319 0.244  -0.151 0.244  0.017 0.244  0.184 0.244  0.352 0.244  0.520 0.244  0.688 0.244  0.856 0.244  1.023 0.244  1.191 0.244
3#apb#apb09#app0910/u  -0.866 0.833  -0.823 0.975  -0.843 0.933  -0.897 0.795  -0.949 0.656  -0.999 0.516  -1.037 0.373  -1.075 0.229  -1.102 0.084  -1.102 -0.064  -1.102 -0.213  -1.080 -0.359  -1.053 -0.505  -1.002 -0.642  -0.926 -0.769  -0.804 -0.846  -0.669 -0.908  -0.527 -0.907  -0.381 -0.879  -0.242 -0.834  -0.114 -0.758  0.013 -0.682  0.111 -0.572  0.202 -0.455  0.280 -0.332  0.318 -0.188  0.355 -0.044  0.393 0.099  0.413 0.246  0.430 0.394  0.447 0.541  0.465 0.688  0.492 0.834  0.520 0.980  0.550 1.105  0.559 0.958  0.580 0.811  0.601 0.664  0.621 0.517  0.641 0.369  0.666 0.223  0.709 0.081  0.751 -0.061  0.802 -0.199  0.886 -0.321  0.970 -0.444  1.060 -0.561  1.160 -0.672  1.254 -0.786  1.343 -0.905
3#apb#apb09#app0910/v  -0.904 1.007  -0.860 1.114  -0.860 1.231  -0.832 1.158  -0.808 1.043  -0.784 0.928  -0.760 0.814  -0.735 0.699  -0.710 0.584  -0.685 0.469  -0.660 0.354  -0.634 0.240  -0.602 0.127  -0.570 0.014  -0.538 -0.099  -0.505 -0.212  -0.468 -0.323  -0.431 -0.435  -0.394 -0.546  -0.357 -0.657  -0.313 -0.766  -0.267 -0.874  -0.220 -0.982  -0.168 -1.087  -0.116 -1.192  -0.031 -1.271  0.081 -1.263  0.165 -1.185  0.244 -1.098  0.323 -1.012  0.377 -0.908  0.424 -0.801  0.471 -0.693  0.518 -0.585  0.563 -0.477  0.586 -0.362  0.609 -0.247  0.632 -0.132  0.655 -0.017  0.679 0.098  0.700 0.214  0.718 0.330  0.737 0.446  0.755 0.562  0.773 0.678  0.791 0.794  0.810 0.910  0.839 1.024  0.867 1.137  0.896 1.251
3#apb#apb09#app0910/w  -1.293 0.739  -1.256 0.874  -1.216 1.009  -1.192 0.879  -1.164 0.742  -1.125 0.607  -1.085 0.472  -1.043 0.337  -1.001 0.203  -0.958 0.069  -0.903 -0.060  -0.848 -0.189  -0.772 -0.308  -0.703 -0.429  -0.620 -0.518  -0.510 -0.436  -0.430 -0.323  -0.367 -0.197  -0.310 -0.069  -0.260 0.063  -0.211 0.195  -0.169 0.329  -0.127 0.463  -0.091 0.599  -0.060 0.602  -0.071 0.462  -0.066 0.322  -0.051 0.182  -0.033 0.043  0.016 -0.089  0.066 -0.220  0.128 -0.346  0.197 -0.468  0.271 -0.587  0.380 -0.676  0.491 -0.761  0.620 -0.818  0.757 -0.832  0.890 -0.811  0.994 -0.716  1.093 -0.618  1.165 -0.496  1.236 -0.375  1.293 -0.248  1.329 -0.112  1.365 0.024  1.388 0.162  1.404 0.302  1.420 0.442  1.436 0.582
3#apb#apb09#app0910/x  0.734 1.611  0.690 1.433  0.625 1.259  0.604 1.075  0.584 0.890  0.549 0.707  0.512 0.525  0.476 0.343  0.447 0.159  0.419 -0.025  0.391 -0.208  0.318 -0.379  0.242 -0.549  0.171 -0.720  0.109 -0.896  0.036 -1.065  -0.067 -1.220  -0.205 -1.337  -0.355 -1.333  -0.399 -1.152  -0.443 -0.972  -0.488 -0.791  -0.532 -0.611  -0.576 -0.430  -0.621 -0.250  -0.665 -0.069  -0.710 0.111  -0.754 0.292  -0.798 0.472  -0.843 0.653  -0.887 0.833  -0.931 1.014  -0.958 1.172  -0.835 1.037  -0.710 0.900  -0.575 0.772  -0.439 0.645  -0.307 0.514  -0.176 0.383  -0.044 0.251  0.082 0.115  0.204 -0.025  0.325 -0.166  0.446 -0.307  0.565 -0.451  0.683 -0.594  0.811 -0.728  0.948 -0.854  1.095 -0.966  1.252 -1.066
3#apb#apb09#app0910/y  -1.266 0.989  -1.192 0.855  -1.114 0.724  -1.021 0.604  -0.916 0.493  -0.811 0.381  -0.701 0.276  -0.590 0.171  -0.479 0.066  -0.367 -0.039  -0.255 -0.143  -0.140 -0.244  -0.023 -0.342  0.093 -0.441  0.140 -0.338  0.170 -0.188  0.201 -0.038  0.231 0.112  0.262 0.262  0.292 0.412  0.323 0.561  0.353 0.711  0.384 0.861  0.414 1.011  0.445 1.161  0.475 1.310  0.437 1.320  0.351 1.195  0.279 1.060  0.249 0.912  0.227 0.760  0.204 0.609  0.183 0.458  0.162 0.306  0.141 0.155  0.132 0.003  0.132 -0.150  0.132 -0.303  0.132 -0.456  0.141 -0.609  0.151 -0.761  0.161 -0.914  0.178 -1.065  0.202 -1.216  0.227 -1.367  0.239 -1.520  0.245 -1.672  0.253 -1.825  0.265 -1.977  0.268 -2.130
3#apb#apb09#app0910/z  -0.915 0.852  -0.983 0.943  -1.064 0.987  -0.953 0.974  -0.840 0.981  -0.727 0.988  -0.614 0.988  -0.501 0.988  -0.387 0.988  -0.274 0.984  -0.162 0.974  -0.049 0.964  0.063 0.952  0.171 0.919  0.279 0.884  0.362 0.811  0.361 0.698  0.296 0.605  0.229 0.515  0.149 0.435  0.069 0.355  -0.013 0.277  -0.099 0.203  -0.184 0.129  -0.258 0.045  -0.317 -0.052  -0.375 -0.149  -0.421 -0.252  -0.464 -0.356  -0.507 -0.461  -0.507 -0.574  -0.501 -0.685  -0.414 -0.757  -0.326 -0.828  -0.219 -0.861  -0.110 -0.891  -0.000 -0.921  0.111 -0.938  0.224 -0.943  0.337 -0.947  0.450 -0.952  0.562 -0.944  0.675 -0.931  0.787 -0.918  0.900 -0.905  1.011 -0.884  1.121 -0.860  1.232 -0.837  1.342 -0.810  1.452 -0.783
