2#apb#apb17#app1789/k  -0.372 1.368  -0.432 1.149  -0.464 0.924  -0.491 0.697  -0.534 0.472  -0.577 0.248  -0.620 0.023  -0.660 -0.202  -0.694 -0.428  -0.735 -0.652  -0.780 -0.876  -0.847 -1.095  -0.949 -1.298  -1.018 -1.153  -0.927 -0.947  -0.818 -0.747  -0.650 -0.592  -0.483 -0.437  -0.315 -0.282  -0.147 -0.126  0.021 0.029  0.188 0.184  0.356 0.339  0.524 0.494  0.692 0.650  0.860 0.805  1.027 0.960  1.195 1.115  1.363 1.270  1.361 1.101  1.237 0.921  1.076 0.759  0.898 0.616  0.717 0.476  0.536 0.336  0.344 0.213  0.147 0.097  -0.050 -0.019  -0.249 -0.130  -0.452 -0.236  -0.671 -0.240  -0.545 -0.154  -0.317 -0.168  -0.112 -0.268  0.066 -0.402  0.203 -0.585  0.348 -0.761  0.480 -0.946  0.582 -1.151  0.684 -1.355
2#apb#apb17#app1789/e  -0.804 -0.325  -0.645 -0.294  -0.485 -0.274  -0.329 -0.239  -0.174 -0.195  -0.019 -0.149  0.115 -0.059  0.249 0.030  0.383 0.120  0.516 0.211  0.648 0.303  0.781 0.394  0.908 0.493  1.036 0.592  1.100 0.738  1.160 0.888  1.110 1.041  0.972 1.110  0.820 1.134  0.664 1.093  0.508 1.052  0.352 1.011  0.207 0.943  0.064 0.868  -0.078 0.792  -0.221 0.717  -0.349 0.619  -0.476 0.520  -0.603 0.421  -0.731 0.322  -0.823 0.191  -0.910 0.056  -0.998 -0.079  -1.070 -0.221  -1.097 -0.380  -1.114 -0.536  -1.013 -0.662  -0.913 -0.788  -0.769 -0.848  -0.613 -0.889  -0.457 -0.930  -0.300 -0.960  -0.139 -0.960  0.022 -0.960  0.184 -0.960  0.345 -0.962  0.505 -0.976  0.666 -0.990  0.827 -1.004  0.987 -1.018
2#apb#apb17#app1789/w  -1.239 0.760  -1.160 0.837  -1.089 0.769  -1.062 0.646  -1.040 0.522  -1.027 0.397  -1.027 0.271  -1.027 0.145  -1.027 0.019  -1.027 -0.107  -1.038 -0.233  -1.042 -0.358  -1.030 -0.484  -1.004 -0.603  -0.910 -0.567  -0.817 -0.482  -0.724 -0.398  -0.633 -0.309  -0.544 -0.220  -0.455 -0.131  -0.369 -0.039  -0.284 0.054  -0.200 0.148  -0.120 0.245  -0.038 0.340  0.075 0.354  0.139 0.254  0.182 0.136  0.196 0.011  0.213 -0.114  0.246 -0.236  0.286 -0.355  0.332 -0.472  0.419 -0.561  0.521 -0.626  0.647 -0.626  0.761 -0.582  0.869 -0.517  0.956 -0.427  1.042 -0.334  1.123 -0.238  1.184 -0.128  1.246 -0.018  1.296 0.096  1.329 0.218  1.361 0.340  1.380 0.465  1.398 0.589  1.371 0.712  1.360 0.837
2#apb#apb17#app1789/i  -0.224 1.648  -0.192 1.584  -0.146 1.531  -0.100 1.478  -0.076 1.411  -0.052 1.344  -0.028 1.277  -0.003 1.210  0.021 1.143  0.045 1.077  0.064 1.008  0.078 0.939  0.093 0.869  0.108 0.799  0.123 0.730  0.138 0.660  0.153 0.591  0.168 0.521  0.173 0.451  0.173 0.380  0.173 0.308  0.173 0.237  0.173 0.166  0.173 0.095  0.173 0.024  0.173 -0.047  0.164 -0.118  0.154 -0.188  0.144 -0.258  0.134 -0.329  0.124 -0.399  0.114 -0.470  0.104 -0.540  0.094 -0.610  0.062 -0.674  0.031 -0.738  -0.001 -0.801  -0.033 -0.865  -0.065 -0.929  -0.097 -0.992  -0.124 -1.058  -0.151 -1.124  -0.177 -1.190  -0.204 -1.256  -0.230 -1.322  -0.256 -1.388  -0.287 -1.452  -0.319 -1.515  -0.350 -1.579  -0.382 -1.643
2#apb#apb17#app1789/t  0.019 2.112  0.019 1.949  0.040 1.787  0.065 1.625  0.091 1.463  0.120 1.302  0.148 1.141  0.177 0.979  0.214 0.820  0.252 0.661  0.289 0.501  0.314 0.340  0.333 0.177  0.352 0.014  0.364 -0.149  0.364 -0.312  0.364 -0.476  0.355 -0.639  0.330 -0.801  0.305 -0.963  0.264 -1.121  0.192 -1.265  0.088 -1.390  -0.051 -1.318  -0.154 -1.194  -0.250 -1.061  -0.346 -0.928  -0.441 -0.795  -0.537 -0.662  -0.633 -0.530  -0.729 -0.397  -0.824 -0.264  -0.920 -0.131  -1.016 0.002  -1.097 0.063  -0.981 -0.053  -0.836 -0.120  -0.676 -0.150  -0.513 -0.162  -0.349 -0.174  -0.188 -0.152  -0.026 -0.125  0.135 -0.098  0.295 -0.065  0.452 -0.018  0.609 0.028  0.767 0.074  0.925 0.116  1.083 0.159  1.241 0.201
2#apb#apb17#app1789/h  -0.856 1.393  -0.822 1.276  -0.797 1.158  -0.773 1.039  -0.749 0.920  -0.723 0.801  -0.693 0.684  -0.664 0.566  -0.652 0.445  -0.644 0.324  -0.644 0.204  -0.675 0.086  -0.706 -0.031  -0.726 -0.150  -0.741 -0.271  -0.755 -0.392  -0.795 -0.505  -0.834 -0.619  -0.816 -0.739  -0.793 -0.714  -0.760 -0.598  -0.683 -0.505  -0.602 -0.415  -0.524 -0.321  -0.448 -0.226  -0.359 -0.145  -0.262 -0.073  -0.164 -0.001  -0.060 0.062  0.043 0.126  0.147 0.189  0.251 0.251  0.366 0.288  0.484 0.317  0.604 0.331  0.725 0.340  0.827 0.292  0.917 0.211  1.002 0.124  1.083 0.034  1.157 -0.062  1.225 -0.163  1.262 -0.277  1.287 -0.395  1.294 -0.514  1.270 -0.633  1.242 -0.751  1.213 -0.869  1.179 -0.986  1.144 -1.102
2#apb#apb17#app1789/f  0.588 0.044  0.656 0.168  0.737 0.283  0.832 0.389  0.908 0.508  0.966 0.637  1.004 0.773  1.031 0.913  1.001 1.051  0.947 1.182  0.850 1.279  0.721 1.334  0.587 1.338  0.457 1.281  0.347 1.191  0.257 1.087  0.196 0.958  0.135 0.830  0.088 0.696  0.043 0.562  -0.002 0.427  -0.038 0.290  -0.073 0.152  -0.100 0.013  -0.112 -0.128  -0.124 -0.269  -0.156 -0.407  -0.203 -0.540  -0.245 -0.676  -0.280 -0.813  -0.314 -0.951  -0.361 -1.085  -0.412 -1.217  -0.487 -1.337  -0.584 -1.311  -0.655 -1.189  -0.724 -1.065  -0.793 -0.941  -0.861 -0.817  -0.930 -0.692  -0.999 -0.568  -0.995 -0.451  -0.854 -0.438  -0.713 -0.421  -0.572 -0.403  -0.432 -0.382  -0.292 -0.361  -0.152 -0.337  -0.013 -0.309  0.127 -0.281
2#apb#apb17#app1789/r  -0.260 1.129  -0.260 1.002  -0.260 0.874  -0.260 0.747  -0.260 0.620  -0.260 0.492  -0.260 0.365  -0.278 0.239  -0.296 0.113  -0.314 -0.013  -0.332 -0.139  -0.360 -0.264  -0.391 -0.387  -0.422 -0.511  -0.453 -0.634  -0.499 -0.753  -0.545 -0.872  -0.591 -0.991  -0.636 -1.109  -0.692 -1.224  -0.736 -1.295  -0.812 -1.193  -0.800 -1.080  -0.753 -0.962  -0.705 -0.843  -0.648 -0.731  -0.578 -0.624  -0.509 -0.517  -0.440 -0.410  -0.371 -0.303  -0.302 -0.196  -0.216 -0.106  -0.107 -0.040  0.002 0.025  0.111 0.091  0.221 0.156  0.328 0.224  0.429 0.303  0.529 0.381  0.629 0.460  0.729 0.539  0.829 0.617  0.942 0.675  1.057 0.729  1.173 0.782  1.289 0.836  1.406 0.884  1.526 0.927  1.646 0.971  1.765 1.014
2#apb#apb17#app1789/a  0.818 0.662  0.846 0.817  0.874 0.973  0.895 1.129  0.854 1.256  0.716 1.296  0.571 1.233  0.426 1.171  0.288 1.096  0.160 1.003  0.032 0.911  -0.096 0.819  -0.220 0.722  -0.335 0.614  -0.449 0.505  -0.564 0.397  -0.679 0.289  -0.776 0.165  -0.861 0.033  -0.947 -0.100  -1.033 -0.232  -1.095 -0.377  -1.152 -0.524  -1.190 -0.673  -1.155 -0.827  -1.093 -0.968  -0.969 -0.998  -0.820 -0.945  -0.672 -0.892  -0.531 -0.822  -0.392 -0.746  -0.254 -0.670  -0.116 -0.594  0.016 -0.507  0.139 -0.409  0.262 -0.310  0.385 -0.211  0.499 -0.102  0.610 0.010  0.719 0.124  0.818 0.247  0.796 0.091  0.755 -0.061  0.705 -0.210  0.650 -0.358  0.585 -0.502  0.521 -0.646  0.506 -0.803  0.488 -0.960  0.462 -1.116
2#apb#apb17#app1789/n  -0.962 0.201  -0.968 0.098  -0.996 -0.002  -1.031 -0.099  -1.083 -0.190  -1.135 -0.280  -1.190 -0.368  -1.245 -0.456  -1.290 -0.550  -1.305 -0.617  -1.220 -0.557  -1.135 -0.497  -1.049 -0.438  -0.969 -0.371  -0.889 -0.305  -0.809 -0.238  -0.729 -0.172  -0.646 -0.110  -0.561 -0.049  -0.476 0.011  -0.392 0.071  -0.308 0.133  -0.225 0.196  -0.143 0.259  -0.060 0.323  0.022 0.386  0.116 0.430  0.212 0.471  0.307 0.512  0.403 0.553  0.501 0.588  0.600 0.620  0.699 0.653  0.799 0.663  0.902 0.646  0.980 0.582  1.053 0.508  1.096 0.418  1.116 0.316  1.136 0.214  1.132 0.110  1.124 0.006  1.116 -0.097  1.105 -0.201  1.090 -0.304  1.076 -0.407  1.061 -0.510  1.056 -0.613  1.056 -0.717  1.056 -0.821
2#apb#apb17#app1789/t  0.690 1.807  0.645 1.657  0.612 1.505  0.594 1.349  0.576 1.194  0.531 1.045  0.483 0.896  0.436 0.747  0.386 0.598  0.335 0.450  0.284 0.303  0.232 0.155  0.178 0.008  0.123 -0.138  0.068 -0.284  0.011 -0.430  -0.055 -0.572  -0.121 -0.714  -0.170 -0.862  -0.210 -1.013  -0.261 -1.160  -0.320 -1.304  -0.361 -1.455  -0.418 -1.402  -0.482 -1.259  -0.546 -1.117  -0.610 -0.974  -0.674 -0.831  -0.738 -0.688  -0.802 -0.546  -0.866 -0.403  -0.930 -0.260  -0.994 -0.117  -1.058 0.025  -0.944 0.090  -0.793 0.131  -0.640 0.159  -0.486 0.188  -0.331 0.211  -0.177 0.234  -0.022 0.257  0.133 0.280  0.289 0.280  0.446 0.280  0.602 0.280  0.758 0.280  0.915 0.280  1.071 0.280  1.228 0.280  1.384 0.280
2#apb#apb17#app1789/i  -0.645 0.216  -0.618 0.119  -0.594 0.022  -0.576 -0.077  -0.560 -0.176  -0.560 -0.276  -0.560 -0.376  -0.560 -0.476  -0.560 -0.577  -0.589 -0.671  -0.627 -0.765  -0.668 -0.856  -0.713 -0.946  -0.759 -1.035  -0.814 -1.118  -0.800 -1.108  -0.736 -1.031  -0.672 -0.954  -0.607 -0.877  -0.543 -0.799  -0.479 -0.722  -0.415 -0.645  -0.351 -0.568  -0.286 -0.491  -0.222 -0.414  -0.158 -0.337  -0.094 -0.260  -0.029 -0.183  0.035 -0.106  0.099 -0.029  0.163 0.048  0.227 0.125  0.292 0.202  0.356 0.279  0.420 0.356  0.484 0.434  0.548 0.511  0.613 0.588  0.677 0.665  0.741 0.742  0.805 0.819  0.870 0.896  0.934 0.973  0.998 1.050  1.062 1.127  1.126 1.204  1.191 1.281  1.116 1.340  1.034 1.397  1.001 1.477
2#apb#apb17#app1789/c  0.289 0.555  0.330 0.450  0.289 0.364  0.304 0.451  0.372 0.560  0.462 0.650  0.541 0.749  0.593 0.866  0.655 0.975  0.545 1.041  0.429 1.012  0.312 0.960  0.195 0.909  0.076 0.861  -0.046 0.822  -0.168 0.783  -0.290 0.745  -0.411 0.703  -0.523 0.640  -0.635 0.578  -0.747 0.516  -0.859 0.454  -0.934 0.351  -1.006 0.246  -1.079 0.140  -1.101 0.019  -1.101 -0.109  -1.066 -0.225  -0.989 -0.328  -0.912 -0.430  -0.823 -0.519  -0.715 -0.587  -0.606 -0.655  -0.497 -0.723  -0.380 -0.769  -0.255 -0.796  -0.129 -0.822  -0.004 -0.848  0.123 -0.857  0.250 -0.851  0.378 -0.845  0.506 -0.839  0.634 -0.831  0.761 -0.817  0.889 -0.804  1.016 -0.791  1.143 -0.774  1.269 -0.750  1.395 -0.727  1.521 -0.703
2#apb#apb17#app1789/j  0.345 0.483  0.345 0.620  0.390 0.674  0.405 0.538  0.423 0.402  0.442 0.267  0.461 0.132  0.469 -0.005  0.475 -0.141  0.482 -0.278  0.489 -0.415  0.483 -0.550  0.444 -0.680  0.404 -0.811  0.324 -0.922  0.240 -1.029  0.128 -1.107  0.007 -1.168  -0.124 -1.206  -0.255 -1.207  -0.387 -1.169  -0.512 -1.114  -0.631 -1.048  -0.741 -0.967  -0.860 -0.900  -0.968 -0.818  -1.045 -0.716  -0.950 -0.619  -0.868 -0.510  -0.786 -0.400  -0.704 -0.290  -0.623 -0.181  -0.541 -0.071  -0.459 0.038  -0.378 0.148  -0.296 0.258  -0.214 0.367  -0.133 0.477  -0.051 0.587  0.031 0.696  0.113 0.806  0.194 0.916  0.276 1.025  0.358 1.135  0.439 1.244  0.521 1.354  0.603 1.464  0.685 1.573  0.757 1.626  0.791 1.493
2#apb#apb17#app1789/o  -0.008 1.072  -0.135 1.072  -0.214 0.973  -0.293 0.873  -0.372 0.772  -0.450 0.672  -0.527 0.571  -0.605 0.469  -0.682 0.368  -0.757 0.266  -0.812 0.150  -0.867 0.035  -0.921 -0.080  -0.976 -0.195  -1.015 -0.316  -1.053 -0.438  -1.077 -0.557  -1.004 -0.662  -0.931 -0.766  -0.832 -0.842  -0.720 -0.902  -0.607 -0.962  -0.486 -0.967  -0.360 -0.946  -0.235 -0.925  -0.109 -0.904  0.017 -0.883  0.134 -0.836  0.249 -0.781  0.365 -0.726  0.480 -0.672  0.581 -0.598  0.671 -0.508  0.761 -0.417  0.851 -0.327  0.925 -0.225  0.985 -0.113  1.046 -0.000  1.062 0.120  1.047 0.247  1.032 0.373  1.009 0.497  0.936 0.602  0.864 0.706  0.791 0.811  0.677 0.867  0.561 0.920  0.446 0.974  0.335 1.036  0.223 1.098
2#apb#apb17#app1789/u  -0.982 1.107  -1.047 0.987  -1.072 0.838  -1.094 0.688  -1.115 0.539  -1.139 0.389  -1.165 0.240  -1.191 0.091  -1.201 -0.060  -1.201 -0.211  -1.181 -0.359  -1.134 -0.503  -1.058 -0.625  -0.935 -0.713  -0.784 -0.727  -0.633 -0.737  -0.483 -0.717  -0.333 -0.697  -0.202 -0.632  -0.082 -0.540  0.038 -0.447  0.126 -0.324  0.214 -0.201  0.299 -0.077  0.379 0.052  0.458 0.181  0.517 0.320  0.570 0.462  0.622 0.604  0.662 0.749  0.702 0.895  0.742 1.041  0.739 1.022  0.702 0.875  0.664 0.729  0.625 0.583  0.586 0.437  0.545 0.291  0.505 0.145  0.469 -0.002  0.446 -0.151  0.431 -0.301  0.461 -0.449  0.526 -0.580  0.627 -0.691  0.777 -0.711  0.927 -0.731  1.076 -0.721  1.225 -0.694  1.374 -0.666
2#apb#apb17#app1789/r  -0.103 1.195  -0.111 1.067  -0.137 0.941  -0.162 0.814  -0.187 0.687  -0.214 0.561  -0.242 0.435  -0.269 0.309  -0.296 0.183  -0.320 0.056  -0.339 -0.072  -0.359 -0.199  -0.379 -0.327  -0.399 -0.454  -0.428 -0.580  -0.457 -0.706  -0.486 -0.832  -0.515 -0.957  -0.546 -1.083  -0.578 -1.208  -0.606 -1.334  -0.591 -1.448  -0.578 -1.347  -0.597 -1.219  -0.576 -1.098  -0.515 -0.985  -0.454 -0.871  -0.392 -0.757  -0.331 -0.644  -0.264 -0.533  -0.194 -0.425  -0.124 -0.316  -0.055 -0.208  0.015 -0.099  0.087 0.008  0.163 0.113  0.239 0.217  0.315 0.321  0.390 0.426  0.480 0.519  0.571 0.610  0.662 0.701  0.753 0.793  0.855 0.871  0.961 0.945  1.067 1.019  1.172 1.093  1.267 1.181  1.358 1.272  1.450 1.363
2#apb#apb17#app1789/n  -0.476 0.947  -0.517 0.810  -0.558 0.674  -0.583 0.534  -0.607 0.393  -0.633 0.253  -0.663 0.114  -0.693 -0.026  -0.722 -0.165  -0.752 -0.305  -0.782 -0.444  -0.826 -0.579  -0.878 -0.712  -0.929 -0.845  -1.035 -0.937  -1.079 -0.948  -1.079 -0.805  -1.022 -0.678  -0.950 -0.555  -0.878 -0.432  -0.773 -0.336  -0.668 -0.239  -0.563 -0.143  -0.467 -0.038  -0.374 0.070  -0.281 0.179  -0.188 0.287  -0.067 0.362  0.054 0.438  0.175 0.513  0.296 0.587  0.421 0.656  0.547 0.724  0.683 0.755  0.825 0.768  0.967 0.767  1.108 0.749  1.167 0.633  1.208 0.496  1.229 0.356  1.243 0.214  1.218 0.076  1.175 -0.060  1.133 -0.196  1.083 -0.329  1.020 -0.457  0.957 -0.585  0.900 -0.716  0.844 -0.847  0.788 -0.978
2#apb#apb17#app1789/e  -1.199 -0.309  -1.049 -0.316  -0.901 -0.334  -0.752 -0.356  -0.604 -0.381  -0.456 -0.406  -0.313 -0.366  -0.169 -0.323  -0.024 -0.283  0.120 -0.244  0.265 -0.206  0.403 -0.152  0.523 -0.062  0.643 0.028  0.762 0.119  0.868 0.225  0.974 0.331  1.080 0.437  1.168 0.558  1.249 0.682  1.266 0.831  1.265 0.971  1.130 1.038  0.995 1.086  0.850 1.045  0.706 1.004  0.562 0.963  0.431 0.889  0.301 0.816  0.170 0.742  0.039 0.668  -0.079 0.577  -0.198 0.486  -0.317 0.394  -0.424 0.291  -0.517 0.173  -0.610 0.055  -0.702 -0.063  -0.784 -0.188  -0.856 -0.319  -0.892 -0.455  -0.853 -0.599  -0.813 -0.744  -0.767 -0.887  -0.720 -1.029  -0.612 -1.125  -0.487 -1.208  -0.358 -1.284  -0.224 -1.351  -0.090 -1.418
