2#apb#apb42#app4204/A  0.060 0.738  -0.014 0.572  -0.134 0.358  -0.237 0.137  -0.328 -0.090  -0.419 -0.317  -0.499 -0.547  -0.541 -0.788  -0.606 -1.024  -0.640 -1.011  -0.624 -0.769  -0.539 -0.540  -0.433 -0.320  -0.315 -0.106  -0.202 0.111  -0.088 0.328  0.025 0.544  0.139 0.761  0.256 0.976  0.374 1.190  0.492 1.405  0.609 1.619  0.722 1.836  0.670 1.696  0.597 1.462  0.567 1.220  0.547 0.976  0.534 0.732  0.554 0.488  0.586 0.246  0.634 0.006  0.697 -0.230  0.786 -0.456  0.916 -0.663  1.057 -0.863  0.828 -0.851  0.584 -0.832  0.340 -0.812  0.096 -0.792  -0.148 -0.772  -0.391 -0.752  -0.635 -0.732  -0.879 -0.713  -1.123 -0.693  -1.238 -0.601  -0.997 -0.561  -0.764 -0.487  -0.529 -0.418  -0.292 -0.360  -0.054 -0.303
2#apb#apb42#app4204/P  -0.319 0.135  -0.292 -0.001  -0.295 -0.163  -0.275 -0.324  -0.264 -0.486  -0.264 -0.649  -0.264 -0.811  -0.264 -0.974  -0.264 -1.136  -0.256 -1.298  -0.247 -1.461  -0.228 -1.605  -0.240 -1.443  -0.260 -1.282  -0.317 -1.131  -0.384 -0.983  -0.447 -0.833  -0.503 -0.681  -0.558 -0.528  -0.611 -0.374  -0.662 -0.220  -0.702 -0.064  -0.702 0.099  -0.680 0.258  -0.631 0.413  -0.572 0.562  -0.471 0.690  -0.369 0.816  -0.257 0.934  -0.146 1.053  -0.009 1.137  0.136 1.210  0.287 1.269  0.443 1.313  0.601 1.288  0.749 1.229  0.879 1.131  0.984 1.009  1.051 0.867  1.062 0.705  1.030 0.548  0.973 0.397  0.885 0.260  0.786 0.132  0.667 0.022  0.543 -0.081  0.397 -0.153  0.252 -0.226  0.094 -0.265  -0.064 -0.302
2#apb#apb42#app4204/a  1.238 0.339  1.141 0.454  1.066 0.586  0.962 0.685  0.820 0.739  0.678 0.794  0.535 0.835  0.387 0.801  0.239 0.767  0.091 0.733  -0.050 0.676  -0.191 0.620  -0.332 0.563  -0.470 0.502  -0.598 0.420  -0.726 0.338  -0.854 0.256  -0.973 0.164  -1.069 0.046  -1.165 -0.071  -1.261 -0.189  -1.314 -0.331  -1.362 -0.475  -1.352 -0.621  -1.272 -0.747  -1.175 -0.863  -1.031 -0.879  -0.879 -0.879  -0.727 -0.879  -0.584 -0.834  -0.443 -0.778  -0.302 -0.721  -0.161 -0.665  -0.027 -0.592  0.106 -0.520  0.237 -0.445  0.305 -0.309  0.373 -0.173  0.429 -0.032  0.465 0.115  0.486 0.264  0.486 0.333  0.563 0.228  0.692 0.150  0.816 0.062  0.951 -0.002  1.098 -0.038  1.242 -0.086  1.383 -0.142  1.524 -0.199
2#apb#apb42#app4204/r  -0.341 0.535  -0.406 0.418  -0.406 0.273  -0.404 0.129  -0.378 -0.013  -0.352 -0.155  -0.306 -0.291  -0.246 -0.422  -0.185 -0.553  -0.126 -0.685  -0.071 -0.819  -0.015 -0.952  0.044 -1.084  0.108 -1.213  0.166 -1.345  0.212 -1.482  0.154 -1.369  0.075 -1.248  -0.006 -1.128  -0.086 -1.007  -0.165 -0.887  -0.243 -0.765  -0.322 -0.644  -0.400 -0.523  -0.478 -0.401  -0.546 -0.274  -0.615 -0.147  -0.683 -0.019  -0.730 0.117  -0.766 0.256  -0.766 0.400  -0.759 0.542  -0.656 0.644  -0.554 0.746  -0.422 0.799  -0.284 0.841  -0.146 0.884  -0.003 0.894  0.141 0.894  0.286 0.894  0.430 0.894  0.574 0.894  0.719 0.894  0.863 0.894  1.005 0.865  1.146 0.835  1.287 0.804  1.421 0.753  1.553 0.693  1.684 0.633
2#apb#apb42#app4204/i  0.350 0.237  0.396 0.167  0.423 0.066  0.440 -0.037  0.463 -0.139  0.493 -0.240  0.523 -0.340  0.552 -0.441  0.561 -0.546  0.571 -0.650  0.580 -0.754  0.584 -0.859  0.584 -0.964  0.584 -1.069  0.570 -1.172  0.551 -1.275  0.525 -1.295  0.470 -1.206  0.423 -1.113  0.376 -1.019  0.330 -0.925  0.283 -0.831  0.236 -0.737  0.189 -0.644  0.142 -0.550  0.095 -0.456  0.048 -0.362  0.001 -0.268  -0.046 -0.175  -0.092 -0.081  -0.139 0.013  -0.186 0.107  -0.233 0.200  -0.280 0.294  -0.327 0.388  -0.374 0.482  -0.421 0.576  -0.468 0.669  -0.514 0.763  -0.561 0.857  -0.608 0.951  -0.655 1.044  -0.702 1.138  -0.749 1.232  -0.796 1.326  -0.843 1.420  -0.886 1.514  -0.886 1.619  -0.826 1.580  -0.752 1.506
2#apb#apb42#app4204/s  -0.316 0.919  -0.405 1.008  -0.520 0.987  -0.629 0.926  -0.728 0.849  -0.827 0.771  -0.925 0.691  -1.022 0.611  -1.107 0.521  -1.170 0.412  -1.223 0.298  -1.265 0.180  -1.165 0.124  -1.039 0.124  -0.913 0.133  -0.788 0.148  -0.663 0.164  -0.540 0.189  -0.424 0.237  -0.307 0.285  -0.191 0.332  -0.069 0.359  0.056 0.366  0.182 0.374  0.308 0.380  0.434 0.372  0.559 0.364  0.685 0.356  0.802 0.312  0.916 0.259  1.031 0.206  1.115 0.114  1.166 0.008  1.154 -0.117  1.132 -0.240  1.084 -0.357  1.036 -0.473  0.988 -0.590  0.914 -0.687  0.817 -0.768  0.721 -0.849  0.615 -0.913  0.494 -0.946  0.372 -0.979  0.250 -1.012  0.129 -1.045  0.005 -1.070  -0.119 -1.090  -0.243 -1.111  -0.367 -1.132
2#apb#apb42#app4204/F  -0.024 1.364  -0.093 1.114  -0.104 0.850  -0.073 0.587  -0.038 0.325  0.003 0.064  0.039 -0.199  0.062 -0.462  0.085 -0.726  0.079 -0.990  0.064 -1.254  0.083 -1.518  0.090 -1.685  -0.037 -1.454  -0.169 -1.225  -0.301 -0.996  -0.433 -0.766  -0.565 -0.537  -0.697 -0.307  -0.829 -0.078  -0.961 0.151  -1.093 0.381  -0.985 0.598  -0.739 0.682  -0.490 0.771  -0.245 0.869  0.000 0.969  0.245 1.070  0.505 1.118  0.766 1.161  1.030 1.164  1.295 1.164  1.199 1.025  1.003 0.847  0.806 0.670  0.610 0.492  0.414 0.315  0.217 0.137  0.021 -0.040  -0.175 -0.218  -0.372 -0.395  -0.568 -0.573  -0.755 -0.757  -0.599 -0.701  -0.334 -0.701  -0.083 -0.637  0.158 -0.529  0.403 -0.432  0.663 -0.380  0.922 -0.328
2#apb#apb42#app4204/t  -0.141 1.842  -0.141 1.864  -0.093 1.698  -0.044 1.531  0.002 1.363  0.029 1.192  0.042 1.019  0.061 0.846  0.120 0.683  0.178 0.519  0.230 0.353  0.269 0.184  0.308 0.014  0.369 -0.148  0.433 -0.310  0.498 -0.471  0.563 -0.633  0.627 -0.794  0.749 -0.913  0.861 -1.044  0.843 -0.946  0.672 -0.914  0.501 -0.881  0.330 -0.849  0.159 -0.817  -0.012 -0.785  -0.182 -0.753  -0.353 -0.720  -0.524 -0.688  -0.695 -0.656  -0.866 -0.624  -1.037 -0.592  -1.208 -0.559  -1.369 -0.509  -1.263 -0.386  -1.126 -0.281  -0.979 -0.188  -0.830 -0.099  -0.669 -0.033  -0.508 0.033  -0.348 0.099  -0.180 0.141  -0.009 0.173  0.162 0.205  0.333 0.238  0.504 0.272  0.674 0.307  0.846 0.328  1.019 0.345  1.193 0.345
2#apb#apb42#app4204/.  0.153 0.031  0.153 0.132  0.153 0.232  0.153 0.332  0.153 0.433  0.153 0.533  0.153 0.633  0.153 0.734  0.153 0.834  0.153 0.934  0.153 1.035  0.153 1.135  0.153 1.235  0.153 1.336  0.153 1.436  0.153 1.356  0.153 1.256  0.153 1.155  0.153 1.055  0.153 0.955  0.153 0.854  0.153 0.754  0.153 0.654  0.153 0.553  0.153 0.453  0.127 0.357  0.095 0.262  0.064 0.166  0.032 0.071  0.000 -0.024  -0.032 -0.119  -0.063 -0.214  -0.095 -0.310  -0.127 -0.405  -0.159 -0.500  -0.190 -0.595  -0.222 -0.690  -0.251 -0.786  -0.251 -0.886  -0.251 -0.987  -0.251 -1.087  -0.251 -1.188  -0.251 -1.288  -0.251 -1.388  -0.251 -1.489  -0.251 -1.589  -0.251 -1.689  -0.251 -1.790  -0.251 -1.890  -0.251 -1.990
2#apb#apb42#app4204/L  0.204 1.534  0.156 1.603  0.129 1.512  0.095 1.420  0.035 1.341  -0.024 1.261  -0.084 1.182  -0.137 1.098  -0.186 1.012  -0.234 0.925  -0.283 0.838  -0.331 0.751  -0.373 0.661  -0.415 0.571  -0.458 0.482  -0.500 0.392  -0.533 0.298  -0.561 0.203  -0.589 0.108  -0.617 0.012  -0.643 -0.083  -0.666 -0.180  -0.689 -0.277  -0.712 -0.373  -0.731 -0.471  -0.731 -0.570  -0.731 -0.669  -0.650 -0.725  -0.563 -0.767  -0.464 -0.767  -0.365 -0.767  -0.265 -0.765  -0.167 -0.749  -0.069 -0.733  0.029 -0.716  0.127 -0.700  0.223 -0.678  0.320 -0.654  0.416 -0.630  0.513 -0.606  0.609 -0.582  0.707 -0.567  0.806 -0.555  0.904 -0.544  1.003 -0.532  1.102 -0.522  1.200 -0.512  1.299 -0.503  1.399 -0.503  1.498 -0.503
2#apb#apb42#app4204/a  0.557 0.744  0.505 0.900  0.453 1.057  0.301 1.096  0.152 1.059  0.013 0.971  -0.126 0.883  -0.265 0.794  -0.404 0.706  -0.543 0.617  -0.646 0.492  -0.740 0.357  -0.833 0.221  -0.923 0.083  -1.001 -0.062  -1.079 -0.207  -1.156 -0.352  -1.183 -0.514  -1.210 -0.677  -1.228 -0.840  -1.193 -0.981  -1.040 -1.039  -0.881 -0.999  -0.721 -0.959  -0.565 -0.909  -0.418 -0.836  -0.270 -0.762  -0.123 -0.688  0.015 -0.600  0.152 -0.509  0.261 -0.393  0.335 -0.245  0.409 -0.098  0.474 0.053  0.506 0.206  0.454 0.362  0.408 0.520  0.343 0.667  0.375 0.631  0.398 0.469  0.468 0.330  0.592 0.222  0.715 0.113  0.831 -0.004  0.948 -0.120  1.083 -0.213  1.220 -0.305  1.368 -0.371  1.527 -0.414  1.686 -0.458
2#apb#apb42#app4204/u  -1.109 0.639  -1.109 0.674  -1.133 0.563  -1.190 0.461  -1.211 0.344  -1.233 0.227  -1.254 0.110  -1.263 -0.008  -1.263 -0.127  -1.263 -0.245  -1.208 -0.341  -1.124 -0.425  -1.025 -0.490  -0.923 -0.552  -0.806 -0.545  -0.688 -0.533  -0.570 -0.521  -0.456 -0.493  -0.343 -0.455  -0.230 -0.417  -0.131 -0.357  -0.041 -0.279  0.050 -0.202  0.112 -0.105  0.157 0.005  0.201 0.115  0.244 0.226  0.276 0.340  0.309 0.454  0.332 0.570  0.352 0.688  0.318 0.719  0.318 0.601  0.318 0.482  0.318 0.363  0.383 0.274  0.473 0.197  0.564 0.120  0.656 0.046  0.750 -0.027  0.844 -0.100  0.938 -0.171  1.054 -0.198  1.170 -0.225  1.285 -0.252  1.401 -0.278  1.516 -0.264  1.631 -0.233  1.745 -0.202  1.860 -0.171
2#apb#apb42#app4204/d  0.723 -0.078  0.676 0.123  0.532 0.272  0.382 0.422  0.187 0.409  -0.015 0.348  -0.207 0.259  -0.393 0.158  -0.572 0.045  -0.742 -0.081  -0.912 -0.208  -1.028 -0.385  -1.142 -0.563  -1.196 -0.767  -1.232 -0.975  -1.153 -1.151  -0.985 -1.267  -0.773 -1.267  -0.561 -1.267  -0.353 -1.250  -0.163 -1.155  0.022 -1.054  0.193 -0.929  0.316 -0.766  0.393 -0.569  0.466 -0.370  0.504 -0.163  0.531 0.047  0.503 0.255  0.455 0.461  0.386 0.660  0.299 0.854  0.212 1.047  0.169 1.253  0.131 1.461  0.064 1.662  0.010 1.633  0.010 1.421  0.025 1.209  0.054 1.000  0.114 0.798  0.175 0.595  0.217 0.387  0.250 0.178  0.298 -0.027  0.381 -0.222  0.465 -0.416  0.567 -0.596  0.754 -0.692  0.961 -0.738
2#apb#apb42#app4204/e  -0.590 -0.207  -0.455 -0.157  -0.321 -0.106  -0.186 -0.056  -0.047 -0.016  0.091 0.023  0.231 0.054  0.373 0.078  0.511 0.115  0.643 0.172  0.775 0.228  0.840 0.347  0.885 0.483  0.904 0.624  0.893 0.766  0.836 0.898  0.780 1.030  0.674 1.088  0.530 1.088  0.387 1.088  0.243 1.088  0.099 1.088  -0.045 1.088  -0.189 1.088  -0.313 1.053  -0.389 0.931  -0.465 0.809  -0.541 0.687  -0.592 0.552  -0.642 0.417  -0.690 0.282  -0.703 0.139  -0.716 -0.004  -0.729 -0.147  -0.731 -0.290  -0.696 -0.429  -0.661 -0.569  -0.626 -0.708  -0.591 -0.848  -0.501 -0.958  -0.407 -1.068  -0.314 -1.177  -0.186 -1.232  -0.047 -1.270  0.092 -1.307  0.230 -1.345  0.373 -1.352  0.517 -1.352  0.661 -1.352  0.805 -1.352
2#apb#apb42#app4204/r  -0.375 -0.477  -0.302 -0.564  -0.229 -0.652  -0.167 -0.746  -0.110 -0.845  -0.047 -0.938  0.052 -0.994  0.151 -1.051  0.185 -1.146  0.205 -1.169  0.095 -1.142  -0.009 -1.095  -0.111 -1.044  -0.212 -0.993  -0.314 -0.942  -0.381 -0.854  -0.435 -0.754  -0.489 -0.654  -0.543 -0.553  -0.599 -0.454  -0.662 -0.360  -0.722 -0.264  -0.708 -0.151  -0.694 -0.038  -0.709 0.072  -0.745 0.180  -0.734 0.288  -0.698 0.396  -0.662 0.504  -0.593 0.592  -0.512 0.672  -0.432 0.753  -0.328 0.783  -0.214 0.794  -0.101 0.806  0.013 0.810  0.127 0.810  0.241 0.810  0.355 0.810  0.468 0.810  0.582 0.810  0.696 0.810  0.810 0.810  0.924 0.810  1.038 0.810  1.152 0.803  1.265 0.796  1.379 0.789  1.493 0.782  1.606 0.775
2#apb#apb42#app4204/d  0.456 -0.293  0.513 -0.087  0.537 0.124  0.395 0.271  0.198 0.351  -0.015 0.351  -0.207 0.261  -0.399 0.169  -0.593 0.079  -0.751 -0.064  -0.898 -0.215  -0.986 -0.410  -1.061 -0.609  -1.124 -0.812  -1.085 -1.022  -0.999 -1.213  -0.842 -1.329  -0.632 -1.364  -0.420 -1.346  -0.222 -1.280  -0.038 -1.173  0.089 -1.007  0.201 -0.825  0.313 -0.643  0.424 -0.462  0.467 -0.253  0.506 -0.044  0.487 0.168  0.462 0.380  0.415 0.588  0.361 0.794  0.296 0.996  0.207 1.190  0.115 1.382  0.017 1.572  -0.121 1.733  -0.199 1.566  -0.197 1.355  -0.121 1.158  -0.026 0.967  0.058 0.771  0.142 0.575  0.226 0.379  0.306 0.181  0.369 -0.023  0.447 -0.220  0.542 -0.411  0.659 -0.589  0.788 -0.758  0.939 -0.909
2#apb#apb42#app4204/a  0.726 -0.233  0.713 -0.064  0.700 0.106  0.673 0.272  0.604 0.427  0.536 0.583  0.469 0.739  0.356 0.852  0.202 0.914  0.036 0.876  -0.130 0.838  -0.295 0.798  -0.459 0.753  -0.623 0.708  -0.771 0.626  -0.917 0.539  -1.034 0.425  -1.110 0.272  -1.186 0.120  -1.258 -0.033  -1.291 -0.200  -1.325 -0.367  -1.309 -0.536  -1.289 -0.704  -1.168 -0.824  -1.048 -0.944  -0.882 -0.954  -0.712 -0.953  -0.545 -0.920  -0.379 -0.886  -0.212 -0.853  -0.066 -0.770  0.074 -0.674  0.214 -0.577  0.335 -0.462  0.433 -0.323  0.530 -0.183  0.574 -0.021  0.607 0.146  0.601 0.314  0.574 0.481  0.551 0.543  0.622 0.390  0.717 0.248  0.820 0.117  0.975 0.048  1.130 -0.022  1.271 -0.117  1.413 -0.211  1.554 -0.305
2#apb#apb42#app4204/l  0.019 1.625  0.025 1.592  -0.018 1.536  -0.053 1.475  -0.079 1.409  -0.105 1.343  -0.132 1.278  -0.158 1.212  -0.169 1.142  -0.179 1.072  -0.189 1.002  -0.199 0.932  -0.209 0.862  -0.219 0.792  -0.208 0.722  -0.197 0.652  -0.186 0.582  -0.175 0.512  -0.164 0.442  -0.153 0.373  -0.142 0.303  -0.131 0.233  -0.122 0.162  -0.114 0.092  -0.106 0.022  -0.097 -0.048  -0.089 -0.119  -0.081 -0.189  -0.073 -0.259  -0.058 -0.328  -0.041 -0.397  -0.024 -0.466  -0.007 -0.534  0.010 -0.603  0.027 -0.672  0.045 -0.740  0.068 -0.807  0.093 -0.873  0.119 -0.939  0.144 -1.005  0.170 -1.071  0.195 -1.137  0.238 -1.193  0.284 -1.246  0.331 -1.300  0.377 -1.354  0.399 -1.421  0.421 -1.488  0.444 -1.555  0.466 -1.622
2#apb#apb42#app4204/e  -0.740 -0.159  -0.762 -0.072  -0.635 0.029  -0.489 0.088  -0.331 0.124  -0.173 0.161  -0.019 0.211  0.131 0.271  0.282 0.332  0.432 0.392  0.586 0.441  0.741 0.489  0.896 0.536  1.021 0.634  1.129 0.753  1.189 0.903  1.095 1.022  0.938 1.021  0.777 1.009  0.615 0.996  0.461 0.946  0.309 0.892  0.156 0.838  0.003 0.784  -0.131 0.696  -0.260 0.597  -0.388 0.498  -0.516 0.400  -0.631 0.285  -0.746 0.170  -0.860 0.056  -0.975 -0.059  -1.037 -0.205  -1.083 -0.360  -1.093 -0.515  -1.042 -0.668  -0.915 -0.766  -0.783 -0.859  -0.647 -0.944  -0.486 -0.965  -0.326 -0.987  -0.165 -1.009  -0.004 -1.031  0.156 -1.052  0.317 -1.034  0.478 -1.015  0.639 -0.997  0.800 -0.978  0.961 -0.960  1.122 -0.941
