2#apa#apa03#app0366/b  -0.298 1.792  -0.298 1.605  -0.335 1.426  -0.418 1.259  -0.502 1.092  -0.586 0.924  -0.591 0.739  -0.591 0.552  -0.591 0.365  -0.658 0.193  -0.738 0.025  -0.738 -0.162  -0.738 -0.349  -0.738 -0.536  -0.738 -0.723  -0.738 -0.910  -0.738 -0.886  -0.635 -0.742  -0.503 -0.610  -0.445 -0.446  -0.342 -0.302  -0.298 -0.133  -0.284 0.048  -0.152 0.180  -0.020 0.313  0.009 0.488  0.141 0.620  0.308 0.704  0.481 0.766  0.580 0.679  0.708 0.620  0.873 0.598  0.936 0.473  1.020 0.371  1.020 0.184  1.166 0.143  1.166 -0.044  1.048 -0.113  1.011 -0.268  0.879 -0.400  0.841 -0.552  0.675 -0.604  0.533 -0.722  0.366 -0.806  0.217 -0.916  0.070 -1.027  -0.097 -1.111  -0.241 -1.227  -0.404 -1.285  -0.591 -1.285
2#apa#apa03#app0366/l  0.592 1.564  0.592 1.491  0.592 1.418  0.559 1.358  0.507 1.307  0.455 1.255  0.421 1.196  0.421 1.123  0.421 1.050  0.370 0.998  0.318 0.946  0.266 0.894  0.214 0.843  0.163 0.791  0.111 0.739  0.078 0.680  0.078 0.607  0.078 0.533  0.078 0.460  0.078 0.387  0.056 0.319  0.023 0.254  -0.010 0.188  -0.042 0.123  -0.075 0.057  -0.116 -0.002  -0.168 -0.054  -0.219 -0.106  -0.265 -0.160  -0.265 -0.233  -0.265 -0.306  -0.265 -0.379  -0.265 -0.452  -0.265 -0.526  -0.265 -0.599  -0.265 -0.672  -0.265 -0.745  -0.265 -0.818  -0.265 -0.891  -0.265 -0.965  -0.265 -1.038  -0.265 -1.111  -0.265 -1.184  -0.265 -1.257  -0.265 -1.330  -0.265 -1.404  -0.265 -1.477  -0.265 -1.550  -0.265 -1.623  -0.265 -1.696
2#apa#apa03#app0366/s  0.836 1.069  0.984 1.069  0.905 1.069  0.757 1.069  0.609 1.069  0.461 1.069  0.313 1.069  0.165 1.069  0.017 1.069  -0.131 1.069  -0.273 1.055  -0.378 0.950  -0.482 0.846  -0.587 0.741  -0.719 0.704  -0.807 0.643  -0.807 0.495  -0.807 0.347  -0.807 0.199  -0.701 0.156  -0.574 0.106  -0.469 0.002  -0.333 -0.026  -0.185 -0.026  -0.037 -0.026  0.110 -0.030  0.214 -0.135  0.331 -0.209  0.479 -0.209  0.627 -0.209  0.775 -0.209  0.898 -0.271  1.002 -0.375  0.930 -0.480  0.821 -0.574  0.673 -0.574  0.563 -0.665  0.453 -0.757  0.305 -0.757  0.196 -0.850  0.085 -0.939  -0.063 -0.939  -0.211 -0.939  -0.330 -1.010  -0.435 -1.115  -0.580 -1.122  -0.728 -1.122  -0.876 -1.122  -1.024 -1.122  -1.172 -1.122
2#apa#apa03#app0366/w  -0.813 0.739  -0.949 0.739  -0.951 0.605  -1.044 0.507  -1.090 0.390  -1.090 0.254  -1.156 0.183  -1.229 0.120  -1.229 -0.016  -1.229 -0.152  -1.229 -0.288  -1.192 -0.409  -1.096 -0.506  -0.962 -0.511  -0.826 -0.511  -0.689 -0.511  -0.553 -0.511  -0.535 -0.393  -0.420 -0.372  -0.396 -0.260  -0.286 -0.233  -0.257 -0.126  -0.257 0.010  -0.257 0.146  -0.187 0.254  -0.079 0.322  0.021 0.285  0.021 0.149  0.043 0.022  0.139 -0.074  0.159 -0.202  0.264 -0.233  0.298 -0.336  0.398 -0.372  0.534 -0.372  0.670 -0.372  0.807 -0.372  0.917 -0.309  1.022 -0.233  1.131 -0.207  1.155 -0.095  1.270 -0.073  1.289 0.044  1.409 0.060  1.409 0.196  1.409 0.333  1.409 0.469  1.409 0.605  1.409 0.741  1.409 0.878
2#apa#apa03#app0366/a  0.431 0.624  0.431 0.789  0.431 0.954  0.282 0.970  0.116 0.970  -0.010 0.875  -0.142 0.797  -0.294 0.764  -0.411 0.647  -0.567 0.624  -0.695 0.535  -0.812 0.419  -0.929 0.302  -1.046 0.185  -1.163 0.068  -1.280 -0.049  -1.299 -0.206  -1.299 -0.371  -1.299 -0.536  -1.299 -0.702  -1.193 -0.761  -1.028 -0.761  -0.863 -0.761  -0.697 -0.761  -0.532 -0.761  -0.367 -0.761  -0.201 -0.761  -0.051 -0.724  0.065 -0.607  0.085 -0.450  0.177 -0.323  0.258 -0.192  0.277 -0.031  0.351 0.117  0.425 0.265  0.538 0.384  0.604 0.522  0.668 0.624  0.777 0.568  0.777 0.402  0.777 0.237  0.810 0.104  0.950 0.080  0.950 -0.086  0.957 -0.248  1.074 -0.365  1.191 -0.482  1.297 -0.603  1.304 -0.761  1.470 -0.761
2#apa#apa03#app0366/x  -0.655 1.209  -0.655 1.024  -0.627 0.847  -0.545 0.682  -0.502 0.508  -0.502 0.323  -0.502 0.139  -0.481 -0.037  -0.351 -0.167  -0.221 -0.297  -0.196 -0.471  -0.115 -0.636  -0.027 -0.797  0.103 -0.927  0.125 -1.103  0.255 -1.233  0.386 -1.363  0.557 -1.395  0.590 -1.225  0.612 -1.042  0.633 -0.859  0.655 -0.676  0.676 -0.493  0.698 -0.310  0.719 -0.127  0.741 0.056  0.762 0.239  0.784 0.422  0.805 0.605  0.827 0.788  0.848 0.971  0.870 1.154  0.747 1.209  0.716 1.053  0.541 0.995  0.366 0.936  0.210 0.848  0.080 0.718  -0.051 0.588  -0.181 0.457  -0.311 0.327  -0.442 0.197  -0.572 0.067  -0.702 -0.064  -0.832 -0.194  -0.963 -0.324  -1.093 -0.455  -1.115 -0.630  -1.245 -0.760  -1.420 -0.782
2#apa#apa03#app0366/m  -0.574 0.667  -0.651 0.512  -0.728 0.357  -0.784 0.148  -0.882 -0.043  -1.003 -0.225  -1.067 -0.412  -1.190 -0.521  -1.213 -0.744  -1.344 -0.921  -1.344 -0.905  -1.156 -0.841  -1.036 -0.659  -0.937 -0.468  -0.773 -0.304  -0.714 -0.104  -0.574 -0.013  -0.498 0.202  -0.379 0.398  -0.215 0.562  -0.111 0.751  0.004 0.936  0.065 1.129  0.297 1.129  0.506 1.105  0.434 0.903  0.351 0.705  0.334 0.477  0.230 0.270  0.193 0.050  0.043 -0.032  0.039 -0.263  -0.111 -0.433  -0.042 -0.497  0.155 -0.412  0.351 -0.377  0.432 -0.178  0.596 -0.014  0.801 0.050  0.872 0.233  1.080 0.337  1.152 0.512  1.276 0.404  1.276 0.172  1.227 -0.048  1.124 -0.256  1.122 -0.487  1.122 -0.719  1.122 -0.951  1.122 -1.183
2#apa#apa03#app0366/e  0.212 0.372  0.337 0.372  0.432 0.444  0.525 0.520  0.650 0.520  0.775 0.520  0.871 0.589  0.950 0.681  0.950 0.806  0.834 0.815  0.802 0.908  0.732 0.963  0.608 0.963  0.483 0.963  0.358 0.962  0.246 0.906  0.135 0.850  0.018 0.815  -0.107 0.815  -0.231 0.815  -0.320 0.727  -0.408 0.638  -0.496 0.550  -0.585 0.462  -0.673 0.374  -0.674 0.249  -0.745 0.154  -0.833 0.065  -0.922 -0.023  -0.969 -0.128  -0.969 -0.253  -0.964 -0.376  -0.908 -0.488  -0.853 -0.600  -0.782 -0.701  -0.694 -0.789  -0.577 -0.809  -0.474 -0.861  -0.386 -0.950  -0.264 -0.957  -0.149 -0.998  -0.037 -1.054  0.076 -1.104  0.201 -1.104  0.326 -1.104  0.451 -1.104  0.575 -1.104  0.700 -1.104  0.825 -1.104  0.950 -1.104
2#apa#apa03#app0366/r  -0.575 -0.393  -0.575 -0.494  -0.616 -0.579  -0.688 -0.651  -0.719 -0.740  -0.719 -0.841  -0.719 -0.943  -0.645 -0.971  -0.575 -1.002  -0.575 -1.104  -0.575 -1.205  -0.575 -1.212  -0.571 -1.112  -0.500 -1.040  -0.430 -0.967  -0.430 -0.865  -0.430 -0.764  -0.430 -0.662  -0.430 -0.560  -0.375 -0.482  -0.303 -0.410  -0.286 -0.315  -0.286 -0.213  -0.286 -0.112  -0.219 -0.038  -0.148 0.034  -0.141 0.133  -0.141 0.235  -0.136 0.335  -0.064 0.407  0.003 0.480  0.003 0.582  0.049 0.665  0.121 0.736  0.148 0.827  0.169 0.908  0.271 0.908  0.372 0.908  0.474 0.908  0.576 0.908  0.677 0.908  0.779 0.908  0.881 0.908  0.982 0.908  1.084 0.908  1.186 0.908  1.287 0.908  1.304 0.822  1.346 0.763  1.448 0.763
2#apa#apa03#app0366/c  0.991 1.190  0.917 1.116  0.843 1.042  0.752 1.008  0.648 1.008  0.543 1.008  0.438 1.008  0.334 1.008  0.232 0.993  0.139 0.946  0.045 0.899  -0.048 0.853  -0.103 0.782  -0.103 0.677  -0.174 0.643  -0.279 0.643  -0.383 0.643  -0.482 0.629  -0.556 0.555  -0.630 0.481  -0.704 0.407  -0.778 0.333  -0.832 0.250  -0.832 0.146  -0.832 0.041  -0.832 -0.064  -0.832 -0.168  -0.829 -0.272  -0.755 -0.346  -0.681 -0.420  -0.607 -0.494  -0.533 -0.568  -0.455 -0.633  -0.351 -0.633  -0.258 -0.661  -0.184 -0.735  -0.109 -0.809  -0.007 -0.816  0.092 -0.828  0.166 -0.902  0.240 -0.976  0.336 -0.998  0.440 -0.998  0.545 -0.998  0.650 -0.998  0.755 -0.998  0.859 -0.998  0.964 -0.998  1.069 -0.998  1.173 -0.998
2#apa#apa03#app0366/i  0.037 -0.673  0.037 -0.758  0.022 -0.837  -0.038 -0.897  -0.098 -0.957  -0.113 -1.036  -0.113 -1.122  -0.113 -1.207  -0.113 -1.292  -0.113 -1.377  -0.111 -1.381  -0.106 -1.296  -0.102 -1.211  -0.097 -1.126  -0.092 -1.041  -0.087 -0.956  -0.083 -0.871  -0.078 -0.786  -0.073 -0.701  -0.068 -0.616  -0.064 -0.531  -0.059 -0.446  -0.054 -0.361  -0.050 -0.276  -0.045 -0.191  -0.040 -0.106  -0.035 -0.021  -0.031 0.064  -0.026 0.149  -0.021 0.234  -0.017 0.319  -0.012 0.404  -0.007 0.489  -0.002 0.574  0.002 0.659  0.007 0.744  0.012 0.829  0.017 0.914  0.021 0.999  0.026 1.084  0.031 1.169  0.035 1.254  0.083 1.320  0.143 1.380  0.186 1.447  0.186 1.533  0.230 1.574  0.316 1.574  0.336 1.638  0.336 1.723
2#apa#apa03#app0366/f  1.321 1.618  1.173 1.618  1.025 1.618  0.901 1.559  0.797 1.454  0.692 1.350  0.587 1.245  0.482 1.140  0.377 1.035  0.291 0.915  0.209 0.792  0.127 0.669  0.024 0.562  -0.002 0.425  -0.002 0.276  -0.002 0.128  -0.002 -0.020  -0.002 -0.168  -0.002 -0.316  -0.002 -0.465  -0.002 -0.613  -0.002 -0.761  -0.002 -0.909  0.019 -1.049  0.119 -1.156  0.119 -1.304  0.076 -1.341  -0.024 -1.232  -0.123 -1.122  -0.223 -1.012  -0.323 -0.903  -0.422 -0.793  -0.522 -0.683  -0.622 -0.574  -0.721 -0.464  -0.821 -0.355  -0.921 -0.245  -1.020 -0.135  -1.030 -0.065  -0.882 -0.065  -0.734 -0.065  -0.586 -0.065  -0.437 -0.065  -0.289 -0.065  -0.141 -0.065  0.007 -0.065  0.155 -0.065  0.303 -0.065  0.452 -0.065  0.600 -0.065
2#apa#apa03#app0366/u  -0.442 0.827  -0.442 0.717  -0.457 0.622  -0.567 0.622  -0.668 0.600  -0.746 0.523  -0.824 0.445  -0.852 0.346  -0.852 0.236  -0.852 0.126  -0.852 0.016  -0.953 0.006  -1.057 0.001  -1.057 -0.109  -1.057 -0.220  -1.057 -0.330  -1.021 -0.404  -0.911 -0.404  -0.852 -0.455  -0.852 -0.565  -0.786 -0.609  -0.676 -0.609  -0.566 -0.609  -0.456 -0.609  -0.345 -0.609  -0.235 -0.609  -0.125 -0.609  -0.015 -0.609  0.095 -0.609  0.202 -0.595  0.300 -0.545  0.399 -0.496  0.497 -0.447  0.593 -0.394  0.671 -0.316  0.749 -0.238  0.827 -0.160  0.905 -0.083  0.982 -0.005  0.994 0.101  0.994 0.211  1.071 0.289  1.149 0.367  1.199 0.456  1.199 0.566  1.237 0.660  1.315 0.738  1.393 0.816  1.404 0.922  1.404 1.032
2#apa#apa03#app0366/l  0.416 1.651  0.416 1.578  0.416 1.505  0.416 1.432  0.416 1.359  0.416 1.286  0.416 1.213  0.416 1.140  0.416 1.067  0.400 0.997  0.377 0.928  0.354 0.858  0.331 0.789  0.308 0.720  0.285 0.651  0.257 0.584  0.206 0.533  0.154 0.481  0.102 0.430  0.051 0.378  -0.001 0.326  -0.037 0.269  -0.037 0.196  -0.037 0.123  -0.037 0.050  -0.045 -0.020  -0.096 -0.072  -0.148 -0.123  -0.188 -0.179  -0.188 -0.252  -0.188 -0.325  -0.188 -0.398  -0.188 -0.471  -0.188 -0.544  -0.188 -0.617  -0.221 -0.682  -0.254 -0.748  -0.286 -0.813  -0.319 -0.878  -0.340 -0.946  -0.340 -1.019  -0.340 -1.092  -0.340 -1.165  -0.340 -1.238  -0.340 -1.311  -0.340 -1.384  -0.340 -1.457  -0.340 -1.530  -0.340 -1.603  -0.340 -1.675
