3#apa#apa15#app1524/I  0.168 1.637  0.118 1.587  0.069 1.538  0.020 1.489  -0.008 1.431  -0.008 1.361  -0.008 1.292  -0.008 1.222  -0.008 1.152  -0.008 1.083  -0.008 1.013  -0.008 0.943  -0.008 0.874  -0.008 0.804  -0.008 0.735  -0.008 0.665  -0.008 0.595  -0.008 0.526  -0.008 0.456  -0.008 0.386  -0.008 0.317  -0.008 0.247  -0.008 0.177  -0.008 0.108  -0.008 0.038  -0.008 -0.031  -0.008 -0.101  -0.008 -0.171  -0.008 -0.240  -0.008 -0.310  -0.008 -0.380  -0.008 -0.449  -0.008 -0.519  -0.008 -0.589  -0.008 -0.658  -0.008 -0.728  -0.008 -0.797  -0.008 -0.867  -0.008 -0.937  -0.008 -1.006  -0.008 -1.076  -0.008 -1.146  -0.008 -1.215  -0.008 -1.285  -0.008 -1.355  -0.008 -1.424  -0.008 -1.494  -0.008 -1.563  -0.008 -1.633  -0.008 -1.703
3#apa#apa15#app1524/o  0.161 0.069  0.161 0.251  0.161 0.433  0.161 0.615  0.161 0.797  0.161 0.979  0.074 1.075  -0.091 1.058  -0.091 0.876  -0.183 0.732  -0.311 0.603  -0.440 0.474  -0.569 0.346  -0.640 0.181  -0.698 0.009  -0.755 -0.164  -0.813 -0.337  -0.870 -0.509  -0.928 -0.682  -0.986 -0.855  -1.043 -1.028  -1.088 -1.197  -0.959 -1.326  -0.827 -1.429  -0.671 -1.335  -0.515 -1.241  -0.359 -1.148  -0.202 -1.054  -0.046 -0.960  0.110 -0.867  0.266 -0.773  0.419 -0.676  0.520 -0.524  0.620 -0.373  0.721 -0.221  0.822 -0.070  0.922 0.083  1.003 0.246  1.085 0.408  1.166 0.571  1.167 0.753  1.055 0.824  0.873 0.824  0.691 0.824  0.525 0.754  0.362 0.673  0.199 0.591  0.022 0.572  -0.160 0.572  -0.342 0.572
3#apa#apa15#app1524/u  -1.073 0.945  -1.228 0.945  -1.325 0.887  -1.325 0.732  -1.243 0.610  -1.133 0.501  -1.073 0.371  -1.073 0.216  -1.073 0.060  -1.073 -0.095  -1.073 -0.250  -1.010 -0.379  -0.900 -0.489  -0.790 -0.599  -0.681 -0.708  -0.571 -0.818  -0.417 -0.821  -0.278 -0.783  -0.168 -0.673  -0.058 -0.564  0.051 -0.454  0.161 -0.344  0.271 -0.235  0.380 -0.125  0.441 0.005  0.441 0.160  0.441 0.315  0.441 0.471  0.441 0.626  0.529 0.693  0.685 0.693  0.693 0.839  0.644 0.945  0.489 0.945  0.441 0.838  0.441 0.682  0.441 0.527  0.441 0.372  0.441 0.217  0.498 0.075  0.567 -0.064  0.636 -0.202  0.713 -0.336  0.823 -0.446  0.932 -0.555  0.946 -0.705  0.946 -0.860  0.946 -1.015  1.043 -1.073  1.198 -1.073
3#apa#apa15#app1524/r  -0.746 0.761  -0.746 0.645  -0.746 0.528  -0.746 0.412  -0.746 0.295  -0.746 0.178  -0.746 0.062  -0.738 -0.053  -0.686 -0.157  -0.634 -0.261  -0.582 -0.366  -0.530 -0.470  -0.478 -0.574  -0.425 -0.678  -0.373 -0.783  -0.346 -0.893  -0.346 -1.009  -0.346 -1.126  -0.340 -1.236  -0.223 -1.236  -0.106 -1.236  0.010 -1.236  0.053 -1.162  0.053 -1.045  0.053 -0.929  0.053 -0.812  0.053 -0.696  0.053 -0.579  0.053 -0.463  0.053 -0.346  0.053 -0.229  0.053 -0.113  0.071 -0.001  0.124 0.104  0.176 0.208  0.228 0.312  0.280 0.416  0.332 0.521  0.384 0.625  0.436 0.729  0.509 0.818  0.592 0.901  0.674 0.983  0.757 1.066  0.839 1.148  0.922 1.230  1.004 1.313  1.086 1.395  1.169 1.478  1.251 1.560
3#apa#apa15#app1524/F  -0.713 0.292  -0.713 0.043  -0.713 -0.206  -0.713 -0.455  -0.713 -0.705  -0.685 -0.951  -0.636 -1.196  -0.587 -1.440  -0.555 -1.686  -0.388 -1.742  -0.261 -1.527  -0.135 -1.313  -0.008 -1.098  0.118 -0.883  0.244 -0.668  0.371 -0.453  0.497 -0.238  0.624 -0.023  0.750 0.191  0.876 0.406  1.003 0.621  1.129 0.836  1.181 1.071  1.099 1.239  0.859 1.184  0.622 1.106  0.389 1.017  0.158 0.925  -0.074 0.832  -0.310 0.766  -0.542 0.693  -0.765 0.582  -0.988 0.470  -0.982 0.289  -0.733 0.270  -0.485 0.251  -0.236 0.231  0.013 0.212  0.261 0.193  0.510 0.174  0.758 0.155  1.007 0.136  0.790 0.135  0.540 0.135  0.291 0.135  0.043 0.126  -0.199 0.066  -0.441 0.005  -0.687 -0.023  -0.871 -0.181
3#apa#apa15#app1524/r  -0.374 1.022  -0.374 0.880  -0.374 0.737  -0.374 0.595  -0.374 0.453  -0.374 0.311  -0.374 0.169  -0.374 0.027  -0.374 -0.115  -0.374 -0.258  -0.374 -0.400  -0.374 -0.542  -0.374 -0.684  -0.374 -0.826  -0.374 -0.968  -0.374 -1.110  -0.374 -1.252  -0.374 -1.395  -0.374 -1.537  -0.374 -1.523  -0.374 -1.381  -0.374 -1.239  -0.374 -1.097  -0.374 -0.955  -0.374 -0.813  -0.374 -0.671  -0.374 -0.529  -0.374 -0.386  -0.374 -0.244  -0.374 -0.102  -0.372 0.039  -0.272 0.140  -0.171 0.240  -0.071 0.341  0.030 0.441  0.130 0.542  0.231 0.642  0.331 0.743  0.432 0.843  0.532 0.944  0.642 1.022  0.784 1.022  0.927 1.022  1.069 1.022  1.211 1.022  1.266 0.934  1.266 0.792  1.222 0.694  1.080 0.694  0.938 0.694
3#apa#apa15#app1524/i  0.493 0.459  0.399 0.554  0.304 0.649  0.215 0.703  0.156 0.583  0.096 0.463  0.036 0.343  -0.024 0.223  -0.040 0.092  -0.040 -0.042  -0.040 -0.176  -0.040 -0.310  -0.040 -0.444  -0.040 -0.578  -0.040 -0.713  -0.040 -0.847  -0.040 -0.981  -0.040 -1.115  -0.040 -1.249  -0.040 -1.383  -0.040 -1.517  -0.040 -1.652  -0.040 -1.563  -0.040 -1.429  -0.040 -1.295  -0.040 -1.161  -0.040 -1.027  -0.040 -0.892  -0.040 -0.758  -0.040 -0.624  -0.040 -0.490  -0.040 -0.356  -0.040 -0.222  -0.040 -0.088  -0.040 0.047  -0.040 0.181  -0.040 0.315  -0.040 0.449  -0.040 0.583  -0.040 0.717  -0.040 0.852  -0.040 0.986  -0.040 1.120  -0.040 1.254  -0.040 1.388  -0.040 1.522  -0.040 1.656  -0.040 1.791  -0.040 1.925  -0.040 2.059
3#apa#apa15#app1524/e  -0.546 -0.506  -0.546 -0.351  -0.503 -0.239  -0.348 -0.239  -0.219 -0.178  -0.109 -0.068  0.006 0.027  0.161 0.027  0.297 0.072  0.407 0.181  0.516 0.291  0.518 0.445  0.518 0.600  0.518 0.754  0.518 0.909  0.518 1.064  0.390 1.091  0.235 1.091  0.080 1.091  -0.068 1.118  -0.207 1.187  -0.345 1.256  -0.484 1.326  -0.546 1.272  -0.546 1.117  -0.546 0.962  -0.546 0.808  -0.546 0.653  -0.546 0.498  -0.546 0.343  -0.546 0.188  -0.546 0.034  -0.511 -0.117  -0.473 -0.267  -0.435 -0.417  -0.398 -0.567  -0.360 -0.718  -0.323 -0.868  -0.285 -1.018  -0.153 -1.080  -0.006 -1.129  0.141 -1.178  0.288 -1.227  0.435 -1.276  0.582 -1.282  0.729 -1.233  0.875 -1.184  1.022 -1.136  1.169 -1.087  1.316 -1.038
3#apa#apa15#app1524/n  -0.618 0.764  -0.757 0.764  -0.897 0.764  -0.918 0.646  -0.918 0.506  -0.918 0.366  -0.918 0.227  -0.884 0.095  -0.822 -0.030  -0.759 -0.155  -0.697 -0.280  -0.634 -0.405  -0.572 -0.530  -0.509 -0.655  -0.447 -0.780  -0.384 -0.905  -0.322 -1.030  -0.317 -1.169  -0.317 -1.308  -0.317 -1.233  -0.317 -1.093  -0.317 -0.953  -0.317 -0.814  -0.317 -0.674  -0.317 -0.534  -0.297 -0.399  -0.235 -0.274  -0.172 -0.149  -0.110 -0.024  -0.047 0.101  -0.016 0.233  -0.016 0.373  -0.016 0.513  -0.016 0.653  0.012 0.764  0.152 0.764  0.291 0.764  0.431 0.764  0.571 0.764  0.697 0.708  0.822 0.646  0.947 0.583  1.072 0.521  1.195 0.455  1.294 0.356  1.393 0.258  1.492 0.159  1.590 0.060  1.689 -0.039  1.788 -0.138
3#apa#apa15#app1524/d  -0.427 2.109  -0.427 1.947  -0.427 1.786  -0.376 1.646  -0.262 1.531  -0.195 1.390  -0.156 1.233  -0.117 1.077  -0.078 0.920  -0.039 0.763  0.013 0.611  0.085 0.467  0.157 0.322  0.230 0.178  0.302 0.033  0.374 -0.111  0.424 -0.264  0.463 -0.420  0.502 -0.577  0.542 -0.734  0.581 -0.890  0.669 -0.984  0.810 -0.964  0.810 -0.802  0.810 -0.641  0.759 -0.495  0.669 -0.360  0.580 -0.226  0.490 -0.091  0.401 0.043  0.287 0.158  0.165 0.253  0.004 0.253  -0.158 0.253  -0.319 0.253  -0.465 0.215  -0.579 0.101  -0.633 -0.038  -0.633 -0.200  -0.633 -0.361  -0.744 -0.477  -0.827 -0.596  -0.755 -0.740  -0.682 -0.885  -0.585 -1.000  -0.432 -1.051  -0.278 -1.102  -0.125 -1.153  0.030 -1.190  0.192 -1.190
3#apa#apa15#app1524/,  0.067 1.701  0.067 1.631  0.067 1.561  0.067 1.491  0.067 1.421  0.067 1.351  0.067 1.281  0.067 1.212  0.067 1.142  0.067 1.072  0.067 1.002  0.067 0.932  0.067 0.862  0.067 0.792  0.067 0.723  0.067 0.653  0.067 0.583  0.067 0.513  0.067 0.443  0.067 0.373  0.067 0.303  0.067 0.234  0.067 0.164  0.067 0.094  0.067 0.024  0.067 -0.046  0.067 -0.116  0.067 -0.185  0.067 -0.255  0.067 -0.325  0.067 -0.395  0.067 -0.465  0.067 -0.535  0.047 -0.601  0.025 -0.668  0.003 -0.734  -0.019 -0.800  -0.042 -0.866  -0.064 -0.933  -0.086 -0.999  -0.108 -1.065  -0.130 -1.131  -0.152 -1.198  -0.174 -1.264  -0.196 -1.330  -0.218 -1.397  -0.240 -1.463  -0.262 -1.529  -0.285 -1.595  -0.307 -1.662
3#apa#apa15#app1524/\"  -1.247 0.758  -1.130 0.641  -1.013 0.523  -0.896 0.406  -0.779 0.289  -0.702 0.155  -0.702 -0.010  -0.702 -0.176  -0.702 -0.342  -0.702 -0.507  -0.702 -0.673  -0.702 -0.838  -0.702 -1.004  -0.702 -1.170  -0.702 -1.335  -0.667 -1.353  -0.593 -1.205  -0.519 -1.057  -0.445 -0.909  -0.371 -0.761  -0.297 -0.613  -0.223 -0.465  -0.149 -0.316  -0.075 -0.168  -0.001 -0.020  0.073 0.128  0.147 0.276  0.222 0.424  0.296 0.572  0.370 0.721  0.388 0.882  0.388 1.047  0.388 1.213  0.388 1.227  0.388 1.061  0.388 0.896  0.416 0.758  0.581 0.758  0.747 0.758  0.913 0.758  0.933 0.613  0.933 0.447  0.933 0.281  0.933 0.116  0.933 -0.050  0.933 -0.215  0.933 -0.381  0.933 -0.547  0.933 -0.712  0.933 -0.878
