1b#ced#racy0978_s_0l/M  -0.484 0.159  -0.537 0.367  -0.583 0.574  -0.692 0.518  -0.732 0.310  -0.732 0.096  -0.732 -0.119  -0.732 -0.333  -0.732 -0.547  -0.750 -0.760  -0.757 -0.973  -0.823 -1.143  -0.874 -0.964  -0.881 -0.751  -0.881 -0.537  -0.868 -0.323  -0.856 -0.110  -0.820 0.101  -0.785 0.313  -0.750 0.524  -0.711 0.735  -0.638 0.934  -0.484 0.928  -0.389 0.738  -0.307 0.540  -0.247 0.335  -0.190 0.130  -0.110 -0.069  -0.043 -0.272  0.027 -0.471  0.150 -0.612  0.270 -0.443  0.360 -0.249  0.439 -0.050  0.519 0.149  0.589 0.352  0.656 0.555  0.740 0.752  0.841 0.939  0.990 0.920  1.051 0.715  1.091 0.505  1.126 0.293  1.160 0.082  1.203 -0.128  1.267 -0.332  1.304 -0.542  1.375 -0.744  1.439 -0.949  1.525 -1.143
1b#ced#racy0978_s_0l/V  -0.496 0.597  -0.533 0.708  -0.570 0.820  -0.609 0.922  -0.639 1.033  -0.689 1.139  -0.730 1.223  -0.796 1.125  -0.797 1.007  -0.797 0.890  -0.797 0.772  -0.797 0.654  -0.778 0.538  -0.749 0.424  -0.702 0.316  -0.656 0.208  -0.613 0.098  -0.588 -0.017  -0.559 -0.131  -0.515 -0.240  -0.471 -0.350  -0.427 -0.459  -0.361 -0.556  -0.297 -0.654  -0.253 -0.763  -0.205 -0.870  -0.149 -0.973  -0.065 -1.057  0.026 -1.128  0.135 -1.172  0.236 -1.149  0.330 -1.079  0.428 -1.013  0.499 -0.921  0.556 -0.818  0.602 -0.710  0.631 -0.596  0.682 -0.490  0.730 -0.382  0.774 -0.273  0.813 -0.162  0.850 -0.050  0.892 0.060  0.936 0.170  0.970 0.282  1.005 0.395  1.062 0.497  1.123 0.599  1.160 0.711  1.197 0.822
1b#ced#racy0978_s_0l/E  -0.831 -0.234  -0.743 -0.012  -0.662 0.212  -0.612 0.444  -0.515 0.661  -0.458 0.892  -0.400 1.123  -0.354 1.356  -0.316 1.590  -0.366 1.400  -0.441 1.174  -0.454 0.937  -0.511 0.706  -0.528 0.471  -0.528 0.232  -0.528 -0.006  -0.558 -0.242  -0.571 -0.479  -0.571 -0.717  -0.540 -0.952  -0.527 -1.189  -0.391 -1.384  -0.212 -1.525  0.025 -1.535  0.254 -1.477  0.479 -1.401  0.671 -1.284  0.707 -1.048  0.743 -0.813  0.779 -0.577  0.816 -0.342  0.754 -0.190  0.516 -0.190  0.277 -0.190  0.050 -0.171  -0.182 -0.208  -0.302 -0.277  -0.063 -0.277  0.160 -0.209  0.373 -0.107  0.585 -0.017  0.796 0.071  0.974 0.229  1.015 0.433  0.857 0.600  0.648 0.699  0.420 0.757  0.198 0.843  0.029 0.999  0.036 1.220
1b#ced#racy0978_s_0l/D  -0.096 0.685  -0.145 0.862  -0.185 1.041  -0.230 1.220  -0.308 1.278  -0.361 1.114  -0.386 0.935  -0.386 0.751  -0.418 0.570  -0.404 0.388  -0.386 0.206  -0.386 0.022  -0.386 -0.162  -0.386 -0.346  -0.386 -0.530  -0.386 -0.714  -0.434 -0.739  -0.458 -0.562  -0.504 -0.384  -0.515 -0.201  -0.515 -0.017  -0.515 0.166  -0.515 0.350  -0.489 0.531  -0.412 0.697  -0.337 0.865  -0.208 0.986  -0.045 1.067  0.136 1.058  0.303 0.984  0.437 0.859  0.559 0.722  0.670 0.575  0.753 0.413  0.821 0.242  0.858 0.063  0.869 -0.120  0.869 -0.304  0.869 -0.488  0.831 -0.662  0.758 -0.831  0.690 -1.002  0.600 -1.162  0.479 -1.299  0.362 -1.439  0.196 -1.510  0.034 -1.594  -0.145 -1.610  -0.320 -1.552  -0.450 -1.423
1b#ced#racy0978_s_0l/O  -0.634 0.551  -0.572 0.676  -0.521 0.805  -0.459 0.929  -0.387 1.048  -0.323 1.172  -0.270 1.300  -0.249 1.290  -0.292 1.163  -0.364 1.044  -0.428 0.920  -0.490 0.795  -0.551 0.670  -0.584 0.535  -0.611 0.398  -0.634 0.261  -0.634 0.122  -0.634 -0.017  -0.634 -0.157  -0.634 -0.296  -0.612 -0.433  -0.584 -0.569  -0.550 -0.704  -0.499 -0.834  -0.439 -0.959  -0.355 -1.067  -0.238 -1.144  -0.119 -1.216  0.006 -1.266  0.145 -1.263  0.278 -1.220  0.413 -1.186  0.532 -1.116  0.635 -1.023  0.724 -0.917  0.797 -0.799  0.859 -0.674  0.862 -0.535  0.882 -0.398  0.901 -0.262  0.874 -0.125  0.846 0.012  0.818 0.148  0.756 0.272  0.697 0.399  0.637 0.524  0.553 0.635  0.461 0.739  0.362 0.837  0.264 0.936
1b#ced#racy0978_s_0l/Z  -0.311 0.514  -0.353 0.599  -0.384 0.687  -0.431 0.769  -0.458 0.856  -0.458 0.951  -0.454 1.046  -0.431 1.138  -0.390 1.223  -0.330 1.292  -0.238 1.315  -0.145 1.311  -0.053 1.287  0.004 1.211  0.060 1.134  0.095 1.045  0.131 0.957  0.131 0.862  0.141 0.768  0.164 0.675  0.168 0.580  0.161 0.486  0.138 0.393  0.131 0.299  0.131 0.204  0.116 0.110  0.098 0.016  0.080 -0.077  0.063 -0.171  0.045 -0.265  0.027 -0.358  0.008 -0.452  -0.011 -0.545  -0.030 -0.639  -0.048 -0.732  -0.070 -0.825  -0.094 -0.917  -0.124 -1.007  -0.105 -1.100  -0.090 -1.193  -0.078 -1.283  -0.011 -1.351  0.072 -1.382  0.167 -1.382  0.262 -1.382  0.358 -1.382  0.451 -1.366  0.543 -1.342  0.632 -1.307  0.720 -1.271
1b#ced#racy0978_s_0l/E  -0.278 0.164  -0.278 0.364  -0.316 0.558  -0.316 0.758  -0.461 0.815  -0.622 0.697  -0.756 0.554  -0.843 0.375  -0.876 0.180  -0.876 -0.019  -0.876 -0.219  -0.876 -0.419  -0.876 -0.619  -0.842 -0.815  -0.783 -1.004  -0.644 -1.143  -0.468 -1.236  -0.274 -1.285  -0.078 -1.312  0.120 -1.285  0.318 -1.275  0.507 -1.215  0.700 -1.165  0.770 -0.985  0.833 -0.795  0.895 -0.605  0.957 -0.415  1.019 -0.225  0.944 -0.135  0.748 -0.097  0.552 -0.060  0.352 -0.060  0.152 -0.060  -0.048 -0.060  -0.247 -0.060  -0.242 0.050  -0.058 0.125  0.122 0.207  0.302 0.292  0.474 0.392  0.627 0.518  0.675 0.706  0.524 0.826  0.353 0.929  0.172 1.010  -0.007 1.095  -0.138 1.240  -0.144 1.433  -0.027 1.577  0.133 1.697
1b#ced#racy0978_s_0l/N  -0.531 0.081  -0.491 0.221  -0.497 0.362  -0.614 0.362  -0.711 0.262  -0.775 0.134  -0.796 -0.009  -0.811 -0.152  -0.840 -0.295  -0.844 -0.439  -0.868 -0.582  -0.868 -0.727  -0.868 -0.872  -0.866 -1.016  -0.843 -1.154  -0.790 -1.019  -0.755 -0.879  -0.726 -0.737  -0.698 -0.595  -0.674 -0.452  -0.651 -0.309  -0.638 -0.166  -0.593 -0.028  -0.540 0.107  -0.484 0.240  -0.393 0.347  -0.256 0.363  -0.126 0.310  -0.016 0.215  0.086 0.113  0.190 0.012  0.297 -0.086  0.390 -0.197  0.491 -0.300  0.617 -0.372  0.755 -0.407  0.880 -0.338  0.975 -0.230  1.027 -0.095  1.055 0.045  1.074 0.187  1.113 0.326  1.137 0.469  1.158 0.612  1.178 0.756  1.199 0.899  1.223 1.042  1.223 1.187  1.247 1.330  1.247 1.475
1b#ced#racy0978_s_0l/J  -0.956 0.905  -0.897 0.905  -0.790 0.905  -0.683 0.905  -0.576 0.905  -0.477 0.870  -0.377 0.832  -0.274 0.810  -0.167 0.810  -0.060 0.810  0.045 0.828  0.152 0.834  0.259 0.834  0.365 0.841  0.405 0.831  0.318 0.775  0.213 0.762  0.113 0.783  0.031 0.852  -0.019 0.943  0.035 0.876  0.069 0.777  0.100 0.674  0.121 0.569  0.142 0.464  0.163 0.360  0.182 0.254  0.207 0.151  0.243 0.051  0.261 -0.055  0.279 -0.160  0.298 -0.266  0.317 -0.371  0.331 -0.477  0.336 -0.584  0.336 -0.691  0.336 -0.798  0.317 -0.903  0.296 -1.007  0.275 -1.112  0.240 -1.213  0.187 -1.305  0.116 -1.385  0.040 -1.460  -0.046 -1.523  -0.149 -1.547  -0.256 -1.547  -0.359 -1.571  -0.466 -1.571  -0.573 -1.571
1b#ced#racy0978_s_0l/U  -0.341 0.056  -0.307 0.193  -0.274 0.330  -0.274 0.472  -0.274 0.614  -0.280 0.755  -0.308 0.894  -0.319 1.034  -0.364 1.169  -0.379 1.308  -0.455 1.377  -0.516 1.249  -0.557 1.113  -0.591 0.976  -0.611 0.836  -0.611 0.694  -0.611 0.552  -0.611 0.410  -0.599 0.269  -0.577 0.129  -0.577 -0.012  -0.567 -0.154  -0.548 -0.295  -0.510 -0.431  -0.470 -0.567  -0.447 -0.707  -0.400 -0.840  -0.348 -0.972  -0.292 -1.103  -0.220 -1.222  -0.106 -1.308  0.030 -1.342  0.168 -1.318  0.290 -1.246  0.392 -1.147  0.473 -1.031  0.558 -0.917  0.624 -0.792  0.654 -0.654  0.693 -0.519  0.756 -0.392  0.812 -0.261  0.859 -0.127  0.900 0.008  0.926 0.148  0.967 0.282  1.017 0.414  1.044 0.553  1.072 0.692  1.107 0.830
1b#ced#racy0978_s_0l/G  -0.194 -0.111  -0.167 0.092  -0.162 0.298  -0.162 0.505  -0.130 0.708  -0.130 0.914  -0.130 1.121  -0.159 1.323  -0.230 1.515  -0.412 1.525  -0.528 1.355  -0.590 1.160  -0.646 0.961  -0.691 0.760  -0.730 0.557  -0.760 0.353  -0.788 0.148  -0.797 -0.058  -0.814 -0.264  -0.829 -0.469  -0.816 -0.675  -0.785 -0.880  -0.748 -1.083  -0.702 -1.284  -0.553 -1.426  -0.372 -1.490  -0.191 -1.395  -0.038 -1.256  0.072 -1.084  0.183 -0.913  0.288 -0.735  0.375 -0.547  0.452 -0.355  0.538 -0.168  0.614 0.021  0.679 0.216  0.727 0.414  0.626 0.372  0.540 0.187  0.473 0.158  0.370 0.309  0.170 0.286  0.319 0.206  0.526 0.206  0.715 0.128  0.879 0.002  1.032 -0.136  1.150 -0.303  1.241 -0.487  1.282 -0.683
1b#ced#racy0978_s_0l/S  -0.155 0.831  -0.095 0.920  -0.029 1.005  0.039 1.089  0.092 1.182  0.157 1.268  0.217 1.356  0.170 1.370  0.077 1.325  0.001 1.249  -0.075 1.172  -0.156 1.103  -0.238 1.036  -0.303 0.950  -0.376 0.871  -0.433 0.783  -0.482 0.689  -0.547 0.603  -0.573 0.499  -0.605 0.396  -0.613 0.290  -0.613 0.182  -0.565 0.095  -0.489 0.019  -0.427 -0.069  -0.338 -0.125  -0.245 -0.178  -0.153 -0.234  -0.057 -0.282  0.034 -0.339  0.133 -0.379  0.237 -0.405  0.341 -0.432  0.437 -0.480  0.529 -0.536  0.618 -0.596  0.687 -0.673  0.727 -0.771  0.706 -0.876  0.645 -0.955  0.562 -1.023  0.486 -1.099  0.410 -1.175  0.316 -1.226  0.223 -1.280  0.135 -1.342  0.049 -1.406  -0.055 -1.431  -0.157 -1.462  -0.253 -1.510
1b#ced#racy0978_s_0l/B  -0.268 0.307  -0.298 0.524  -0.328 0.739  -0.328 0.959  -0.359 0.885  -0.398 0.670  -0.449 0.457  -0.466 0.240  -0.479 0.022  -0.509 -0.196  -0.509 -0.415  -0.487 -0.633  -0.479 -0.852  -0.470 -1.071  -0.491 -1.027  -0.547 -0.814  -0.590 -0.599  -0.633 -0.383  -0.660 -0.166  -0.660 0.054  -0.660 0.274  -0.660 0.493  -0.645 0.712  -0.577 0.920  -0.506 1.126  -0.362 1.288  -0.166 1.384  0.009 1.276  0.089 1.073  0.114 0.856  0.101 0.640  0.077 0.424  0.003 0.217  -0.057 0.006  0.152 0.011  0.359 0.084  0.571 0.140  0.789 0.156  1.006 0.142  1.186 0.029  1.283 -0.163  1.258 -0.379  1.208 -0.593  1.129 -0.796  1.009 -0.979  0.878 -1.152  0.736 -1.319  0.560 -1.451  0.370 -1.545  0.153 -1.575
1b#ced#racy0978_s_0l/R  -0.145 -0.238  -0.073 -0.019  -0.030 0.204  0.047 0.416  0.056 0.645  0.085 0.871  0.081 0.656  0.047 0.429  0.005 0.206  -0.043 -0.019  -0.091 -0.244  -0.134 -0.470  -0.222 -0.681  -0.261 -0.907  -0.310 -1.125  -0.382 -1.342  -0.509 -1.534  -0.664 -1.490  -0.684 -1.263  -0.646 -1.037  -0.625 -0.810  -0.560 -0.590  -0.517 -0.364  -0.456 -0.142  -0.395 0.079  -0.305 0.290  -0.242 0.508  -0.182 0.728  -0.079 0.933  0.026 1.138  0.144 1.335  0.271 1.526  0.417 1.702  0.567 1.741  0.531 1.523  0.470 1.302  0.400 1.084  0.323 0.868  0.242 0.654  0.189 0.431  0.103 0.219  0.048 -0.005  0.047 -0.235  0.079 -0.461  0.174 -0.666  0.316 -0.847  0.465 -1.021  0.645 -1.163  0.808 -1.326  0.971 -1.488
1b#ced#racy0978_s_0l/O  -0.828 0.375  -0.775 0.508  -0.716 0.638  -0.663 0.771  -0.645 0.910  -0.568 1.027  -0.507 1.155  -0.476 1.066  -0.485 0.928  -0.499 0.787  -0.499 0.644  -0.499 0.501  -0.499 0.358  -0.499 0.215  -0.499 0.072  -0.499 -0.070  -0.489 -0.213  -0.466 -0.354  -0.438 -0.494  -0.413 -0.635  -0.389 -0.775  -0.344 -0.911  -0.292 -1.044  -0.228 -1.172  -0.160 -1.295  -0.038 -1.370  0.094 -1.423  0.229 -1.399  0.347 -1.319  0.439 -1.210  0.528 -1.098  0.581 -0.966  0.622 -0.829  0.663 -0.692  0.708 -0.557  0.708 -0.414  0.719 -0.272  0.743 -0.131  0.745 0.012  0.737 0.155  0.719 0.296  0.696 0.437  0.664 0.576  0.611 0.709  0.543 0.834  0.472 0.958  0.401 1.080  0.280 1.156  0.152 1.219  0.013 1.253
1b#ced#racy0978_s_0l/W  -1.184 -0.414  -1.207 -0.296  -1.229 -0.177  -1.229 -0.055  -1.213 0.064  -1.206 0.184  -1.176 0.302  -1.135 0.415  -1.051 0.497  -0.959 0.425  -0.896 0.322  -0.854 0.209  -0.803 0.099  -0.752 -0.011  -0.725 -0.129  -0.684 -0.243  -0.639 -0.355  -0.594 -0.468  -0.547 -0.580  -0.495 -0.687  -0.422 -0.777  -0.308 -0.798  -0.214 -0.742  -0.141 -0.645  -0.075 -0.544  -0.026 -0.433  0.021 -0.323  0.074 -0.215  0.118 -0.102  0.180 0.001  0.272 0.076  0.389 0.093  0.490 0.044  0.586 -0.029  0.674 -0.112  0.784 -0.158  0.898 -0.194  1.019 -0.199  1.128 -0.149  1.174 -0.044  1.192 0.075  1.220 0.192  1.220 0.313  1.220 0.435  1.208 0.555  1.197 0.675  1.197 0.796  1.178 0.915  1.174 1.036  1.152 1.154
1b#ced#racy0978_s_0l/N  -0.610 -0.499  -0.610 -0.328  -0.610 -0.157  -0.610 0.014  -0.606 0.185  -0.583 0.353  -0.668 0.381  -0.719 0.222  -0.746 0.055  -0.748 -0.116  -0.773 -0.285  -0.773 -0.456  -0.773 -0.627  -0.773 -0.798  -0.773 -0.969  -0.773 -1.141  -0.773 -1.046  -0.762 -0.876  -0.746 -0.706  -0.746 -0.535  -0.719 -0.367  -0.708 -0.196  -0.679 -0.028  -0.648 0.141  -0.609 0.307  -0.538 0.457  -0.417 0.578  -0.255 0.602  -0.122 0.508  0.004 0.395  0.129 0.279  0.250 0.161  0.365 0.034  0.486 -0.087  0.600 -0.215  0.721 -0.336  0.849 -0.449  0.998 -0.525  1.121 -0.422  1.171 -0.262  1.184 -0.092  1.204 0.078  1.211 0.248  1.211 0.419  1.211 0.590  1.211 0.762  1.230 0.931  1.238 1.102  1.238 1.273  1.238 1.444
1b#ced#racy0978_s_0l/O  -0.913 0.318  -0.842 0.436  -0.768 0.553  -0.688 0.666  -0.607 0.777  -0.530 0.892  -0.445 1.000  -0.347 1.098  -0.239 1.168  -0.301 1.044  -0.353 0.916  -0.410 0.790  -0.462 0.663  -0.496 0.529  -0.528 0.395  -0.555 0.259  -0.582 0.124  -0.593 -0.013  -0.593 -0.152  -0.593 -0.290  -0.593 -0.428  -0.583 -0.565  -0.556 -0.701  -0.529 -0.836  -0.467 -0.957  -0.402 -1.079  -0.311 -1.179  -0.203 -1.265  -0.066 -1.260  0.070 -1.233  0.204 -1.200  0.308 -1.113  0.405 -1.015  0.503 -0.918  0.586 -0.808  0.657 -0.690  0.718 -0.566  0.771 -0.438  0.822 -0.310  0.869 -0.181  0.890 -0.044  0.917 0.091  0.938 0.227  0.938 0.365  0.938 0.503  0.911 0.638  0.878 0.772  0.815 0.894  0.763 1.020  0.653 1.101
