3#app#app07#app0749/t  0.861 1.406  0.962 1.482  0.910 1.607  0.736 1.595  0.578 1.516  0.452 1.394  0.373 1.236  0.257 1.104  0.126 0.988  -0.032 0.909  -0.118 0.757  -0.197 0.599  -0.267 0.438  -0.323 0.270  -0.392 0.107  -0.448 -0.056  -0.448 -0.233  -0.448 -0.410  -0.448 -0.587  -0.348 -0.722  -0.285 -0.873  -0.160 -0.998  -0.034 -1.123  0.105 -1.212  0.282 -1.212  0.358 -1.313  0.535 -1.313  0.712 -1.313  0.664 -1.228  0.531 -1.111  0.399 -0.994  0.266 -0.877  0.134 -0.760  0.001 -0.643  -0.132 -0.526  -0.264 -0.409  -0.397 -0.292  -0.529 -0.175  -0.662 -0.058  -0.795 0.059  -0.927 0.176  -0.823 0.262  -0.655 0.298  -0.499 0.348  -0.343 0.399  -0.166 0.399  -0.031 0.298  0.146 0.298  0.323 0.298  0.458 0.197
3#app#app07#app0749/p  -0.103 0.884  -0.103 0.710  -0.103 0.537  -0.160 0.377  -0.200 0.213  -0.244 0.058  -0.342 -0.083  -0.396 -0.244  -0.412 -0.412  -0.509 -0.557  -0.602 -0.703  -0.680 -0.858  -0.689 -1.029  -0.689 -1.202  -0.766 -1.344  -0.787 -1.509  -0.779 -1.636  -0.720 -1.472  -0.662 -1.309  -0.604 -1.146  -0.545 -0.982  -0.487 -0.819  -0.429 -0.656  -0.370 -0.492  -0.312 -0.329  -0.254 -0.166  -0.195 -0.002  -0.137 0.161  -0.079 0.324  -0.020 0.488  0.038 0.651  0.096 0.814  0.155 0.978  0.257 1.079  0.430 1.079  0.604 1.079  0.777 1.079  0.928 1.026  1.080 0.972  1.216 0.884  1.266 0.760  1.166 0.685  1.043 0.563  0.920 0.440  0.798 0.317  0.640 0.251  0.475 0.199  0.326 0.139  0.169 0.101  -0.005 0.101
3#app#app07#app0749/h  0.320 1.925  0.317 1.798  0.246 1.691  0.175 1.585  0.104 1.478  0.077 1.359  0.077 1.231  0.036 1.112  -0.021 0.998  -0.098 0.897  -0.181 0.801  -0.238 0.686  -0.299 0.574  -0.389 0.484  -0.455 0.375  -0.512 0.261  -0.590 0.161  -0.680 0.071  -0.771 -0.020  -0.777 -0.146  -0.777 -0.274  -0.777 -0.402  -0.761 -0.514  -0.633 -0.514  -0.505 -0.514  -0.387 -0.489  -0.296 -0.399  -0.206 -0.308  -0.115 -0.218  -0.045 -0.118  -0.010 -0.026  0.077 0.016  0.124 0.096  0.198 0.042  0.198 -0.086  0.198 -0.214  0.198 -0.342  0.198 -0.470  0.198 -0.598  0.198 -0.726  0.267 -0.826  0.320 -0.931  0.362 -1.042  0.456 -1.123  0.578 -1.137  0.669 -1.228  0.790 -1.245  0.918 -1.245  1.046 -1.245  1.174 -1.245
3#app#app07#app0749/w  -0.554 0.966  -0.580 0.817  -0.677 0.698  -0.718 0.555  -0.800 0.430  -0.857 0.294  -0.969 0.181  -1.082 0.069  -1.170 -0.054  -1.220 -0.193  -1.293 -0.322  -1.293 -0.481  -1.286 -0.634  -1.127 -0.634  -0.991 -0.578  -0.859 -0.511  -0.729 -0.440  -0.600 -0.350  -0.458 -0.278  -0.304 -0.260  -0.191 -0.148  -0.078 -0.035  0.034 0.078  0.061 0.226  0.061 0.069  -0.010 -0.019  -0.062 -0.127  -0.062 -0.286  -0.062 -0.445  0.031 -0.511  0.068 -0.634  0.227 -0.634  0.386 -0.634  0.546 -0.634  0.697 -0.614  0.813 -0.511  0.958 -0.476  1.046 -0.352  1.117 -0.265  1.169 -0.157  1.169 0.003  1.169 0.162  1.169 0.321  1.169 0.481  1.169 0.640  1.112 0.776  1.046 0.908  0.974 1.037  0.922 1.175  0.922 1.335
3#app#app07#app0749/o  0.417 0.837  0.417 0.989  0.281 1.006  0.164 0.922  0.056 0.814  -0.052 0.706  -0.172 0.614  -0.299 0.529  -0.425 0.445  -0.552 0.360  -0.667 0.261  -0.774 0.153  -0.882 0.045  -0.936 -0.085  -0.936 -0.237  -0.936 -0.390  -0.936 -0.542  -0.936 -0.695  -0.936 -0.847  -0.833 -0.957  -0.708 -1.023  -0.568 -1.053  -0.460 -1.160  -0.321 -1.192  -0.168 -1.192  -0.016 -1.192  0.079 -1.134  0.120 -1.023  0.272 -1.023  0.417 -1.015  0.417 -0.863  0.518 -0.752  0.586 -0.628  0.614 -0.487  0.722 -0.379  0.755 -0.241  0.755 -0.088  0.755 0.064  0.755 0.216  0.727 0.357  0.620 0.465  0.586 0.603  0.524 0.730  0.417 0.838  0.417 0.991  0.417 1.143  0.332 1.260  0.214 1.344  0.079 1.328  0.079 1.175
3#app#app07#app0749/r  -0.937 -0.791  -0.863 -0.865  -0.789 -0.940  -0.718 -1.016  -0.718 -1.121  -0.718 -1.226  -0.718 -1.129  -0.718 -1.024  -0.718 -0.918  -0.718 -0.813  -0.718 -0.708  -0.718 -0.603  -0.718 -0.498  -0.718 -0.392  -0.672 -0.306  -0.598 -0.232  -0.523 -0.157  -0.498 -0.062  -0.498 0.043  -0.498 0.148  -0.498 0.253  -0.498 0.359  -0.498 0.464  -0.498 0.569  -0.498 0.674  -0.465 0.747  -0.360 0.747  -0.254 0.747  -0.149 0.747  -0.048 0.736  0.026 0.662  0.101 0.587  0.181 0.527  0.286 0.527  0.390 0.522  0.484 0.475  0.578 0.428  0.673 0.381  0.767 0.334  0.866 0.307  0.971 0.307  1.076 0.307  1.181 0.307  1.259 0.280  1.259 0.175  1.277 0.088  1.383 0.088  1.488 0.088  1.593 0.088  1.698 0.088
3#app#app07#app0749/k  0.425 2.148  0.397 1.985  0.321 1.834  0.245 1.683  0.170 1.532  0.099 1.379  0.045 1.219  -0.013 1.060  -0.089 0.909  -0.165 0.758  -0.240 0.607  -0.316 0.456  -0.391 0.304  -0.467 0.153  -0.543 0.002  -0.618 -0.149  -0.628 -0.316  -0.703 -0.454  -0.789 -0.597  -0.838 -0.755  -0.838 -0.924  -0.755 -1.010  -0.704 -0.876  -0.628 -0.738  -0.539 -0.606  -0.494 -0.456  -0.417 -0.318  -0.299 -0.260  -0.179 -0.141  -0.042 -0.063  0.091 0.024  0.210 0.144  0.378 0.148  0.547 0.148  0.716 0.148  0.846 0.109  0.949 0.043  0.900 -0.095  0.756 -0.185  0.613 -0.274  0.470 -0.364  0.326 -0.453  0.183 -0.543  0.109 -0.671  0.109 -0.840  0.214 -0.905  0.259 -1.055  0.320 -1.198  0.467 -1.221  0.530 -1.326
3#app#app07#app0749/e  -0.072 0.108  0.063 0.108  0.093 0.212  0.167 0.273  0.259 0.316  0.272 0.438  0.406 0.438  0.424 0.555  0.511 0.604  0.589 0.660  0.589 0.794  0.589 0.929  0.589 1.064  0.519 1.170  0.424 1.265  0.289 1.265  0.165 1.218  0.045 1.158  -0.075 1.096  -0.170 1.001  -0.266 0.906  -0.361 0.810  -0.456 0.715  -0.552 0.620  -0.647 0.524  -0.733 0.425  -0.733 0.290  -0.733 0.156  -0.733 0.021  -0.733 -0.114  -0.733 -0.249  -0.733 -0.384  -0.733 -0.518  -0.663 -0.624  -0.567 -0.719  -0.447 -0.779  -0.326 -0.840  -0.237 -0.919  -0.232 -1.049  -0.097 -1.049  0.037 -1.049  0.093 -1.128  0.142 -1.215  0.276 -1.215  0.411 -1.215  0.546 -1.215  0.681 -1.215  0.816 -1.215  0.950 -1.215  1.085 -1.215
3#app#app07#app0749/d  -0.293 0.040  -0.467 0.040  -0.538 -0.062  -0.709 -0.068  -0.837 -0.186  -0.981 -0.282  -1.124 -0.381  -1.247 -0.504  -1.318 -0.648  -1.318 -0.822  -1.238 -0.963  -1.074 -0.985  -0.900 -0.985  -0.726 -0.985  -0.568 -0.918  -0.431 -0.816  -0.271 -0.780  -0.125 -0.715  -0.002 -0.592  0.121 -0.469  0.244 -0.346  0.367 -0.223  0.490 -0.100  0.582 0.045  0.659 0.201  0.733 0.357  0.790 0.508  0.836 0.663  0.836 0.836  0.836 1.010  0.836 1.184  0.774 1.333  0.720 1.476  0.546 1.476  0.421 1.364  0.343 1.209  0.311 1.043  0.233 0.887  0.156 0.732  0.118 0.567  0.118 0.393  0.118 0.219  0.118 0.045  0.139 -0.125  0.194 -0.290  0.284 -0.433  0.407 -0.556  0.528 -0.680  0.580 -0.832  0.733 -0.883
3#app#app07#app0749/.  0.538 -1.918  0.538 -1.809  0.538 -1.699  0.538 -1.589  0.538 -1.479  0.538 -1.370  0.538 -1.260  0.538 -1.150  0.538 -1.040  0.538 -0.931  0.538 -0.821  0.538 -0.711  0.538 -0.601  0.538 -0.492  0.538 -0.382  0.538 -0.272  0.538 -0.162  0.538 -0.053  0.538 0.057  0.538 0.167  0.494 0.233  0.384 0.233  0.274 0.233  0.165 0.233  0.055 0.233  -0.055 0.233  -0.165 0.233  -0.274 0.233  -0.384 0.233  -0.494 0.233  -0.538 0.299  -0.538 0.408  -0.538 0.518  -0.538 0.628  -0.538 0.738  -0.538 0.847  -0.538 0.957  -0.538 1.067  -0.538 1.177  -0.538 1.286  -0.538 1.220  -0.538 1.111  -0.538 1.001  -0.538 0.891  -0.538 0.781  -0.538 0.672  -0.538 0.562  -0.538 0.452  -0.538 0.342  -0.538 0.233
3#app#app07#app0749/E  1.743 1.128  1.632 1.201  1.447 1.201  1.263 1.201  1.088 1.165  0.917 1.096  0.743 1.037  0.568 0.979  0.393 0.921  0.236 0.827  0.073 0.747  -0.106 0.703  -0.248 0.593  -0.393 0.481  -0.541 0.372  -0.671 0.242  -0.775 0.093  -0.876 -0.055  -0.876 -0.239  -0.808 -0.395  -0.720 -0.555  -0.634 -0.690  -0.485 -0.781  -0.332 -0.883  -0.156 -0.909  -0.002 -0.981  0.171 -1.010  0.337 -1.054  0.521 -1.054  0.466 -0.998  0.302 -0.915  0.137 -0.833  -0.028 -0.751  -0.193 -0.668  -0.357 -0.586  -0.522 -0.503  -0.687 -0.421  -0.852 -0.339  -1.016 -0.256  -0.927 -0.134  -0.762 -0.051  -0.590 -0.002  -0.415 0.037  -0.261 0.110  -0.076 0.110  0.096 0.160  0.275 0.183  0.459 0.183  0.643 0.183  0.797 0.110
3#app#app07#app0749/v  -0.754 0.320  -0.646 0.320  -0.596 0.263  -0.596 0.156  -0.596 0.048  -0.596 -0.060  -0.596 -0.167  -0.596 -0.275  -0.596 -0.382  -0.611 -0.484  -0.687 -0.560  -0.754 -0.640  -0.754 -0.747  -0.754 -0.855  -0.754 -0.962  -0.754 -1.070  -0.677 -1.101  -0.596 -1.075  -0.596 -0.967  -0.513 -0.943  -0.438 -0.910  -0.438 -0.802  -0.374 -0.721  -0.298 -0.645  -0.222 -0.569  -0.146 -0.493  -0.070 -0.417  0.006 -0.341  0.082 -0.265  0.158 -0.189  0.219 -0.102  0.268 -0.006  0.316 0.091  0.371 0.182  0.447 0.258  0.523 0.334  0.599 0.410  0.675 0.486  0.751 0.562  0.825 0.639  0.825 0.747  0.825 0.854  0.832 0.959  0.908 1.035  0.983 1.111  0.983 1.219  1.025 1.309  1.101 1.386  1.141 1.476  1.141 1.584
3#app#app07#app0749/e  0.375 0.029  0.487 0.085  0.600 0.142  0.710 0.203  0.799 0.292  0.888 0.381  0.977 0.470  1.021 0.578  1.021 0.704  1.021 0.830  0.938 0.921  0.844 0.999  0.718 0.999  0.592 0.999  0.466 0.999  0.340 0.999  0.214 0.999  0.124 0.910  0.035 0.821  -0.054 0.732  -0.151 0.655  -0.264 0.599  -0.377 0.542  -0.496 0.514  -0.614 0.495  -0.703 0.406  -0.757 0.302  -0.767 0.180  -0.856 0.091  -0.918 -0.009  -0.918 -0.135  -0.918 -0.261  -0.918 -0.387  -0.878 -0.496  -0.789 -0.585  -0.757 -0.698  -0.712 -0.779  -0.595 -0.789  -0.595 -0.915  -0.495 -0.941  -0.388 -0.986  -0.299 -1.075  -0.184 -1.102  -0.058 -1.102  0.068 -1.102  0.194 -1.102  0.320 -1.102  0.446 -1.102  0.572 -1.102  0.698 -1.102
3#app#app07#app0749/n  -1.165 -0.013  -1.165 -0.142  -1.165 -0.270  -1.165 -0.399  -1.205 -0.487  -1.323 -0.499  -1.323 -0.627  -1.323 -0.535  -1.242 -0.487  -1.128 -0.451  -1.037 -0.360  -0.921 -0.329  -0.848 -0.273  -0.821 -0.171  -0.693 -0.171  -0.601 -0.082  -0.510 0.009  -0.419 0.101  -0.328 0.192  -0.237 0.283  -0.216 0.403  -0.146 0.462  -0.029 0.490  0.062 0.581  0.101 0.694  0.146 0.778  0.259 0.794  0.259 0.923  0.374 0.936  0.417 0.850  0.417 0.721  0.417 0.593  0.417 0.464  0.543 0.462  0.575 0.364  0.575 0.236  0.575 0.107  0.584 -0.013  0.713 -0.013  0.733 -0.121  0.789 -0.227  0.880 -0.318  0.891 -0.442  0.975 -0.487  1.104 -0.487  1.225 -0.505  1.316 -0.596  1.425 -0.646  1.553 -0.646  1.682 -0.646
3#app#app07#app0749/a  0.205 0.675  0.044 0.675  -0.118 0.675  -0.272 0.643  -0.416 0.571  -0.569 0.538  -0.719 0.488  -0.864 0.416  -0.984 0.311  -1.116 0.221  -1.260 0.149  -1.416 0.125  -1.446 -0.007  -1.446 -0.168  -1.446 -0.329  -1.381 -0.425  -1.219 -0.425  -1.058 -0.425  -0.896 -0.425  -0.752 -0.354  -0.606 -0.288  -0.447 -0.276  -0.293 -0.225  -0.140 -0.174  0.008 -0.111  0.153 -0.039  0.278 0.060  0.392 0.174  0.517 0.263  0.660 0.305  0.775 0.419  0.889 0.533  0.893 0.693  0.852 0.813  0.756 0.748  0.756 0.586  0.676 0.458  0.618 0.320  0.618 0.159  0.618 -0.002  0.618 -0.164  0.618 -0.325  0.618 -0.487  0.678 -0.623  0.792 -0.737  0.906 -0.851  1.021 -0.966  1.175 -0.982  1.289 -1.097  1.444 -1.113
