3#apb#apb06#app0608/B  -0.151 0.488  -0.134 0.743  -0.158 0.872  -0.246 0.629  -0.328 0.383  -0.413 0.138  -0.504 -0.104  -0.599 -0.345  -0.741 -0.562  -0.890 -0.773  -1.056 -0.972  -1.243 -1.062  -1.210 -0.807  -1.125 -0.563  -1.018 -0.328  -0.899 -0.098  -0.762 0.122  -0.618 0.337  -0.464 0.545  -0.287 0.733  -0.109 0.922  0.089 1.088  0.294 1.245  0.521 1.366  0.762 1.449  0.984 1.348  1.055 1.107  1.023 0.850  0.899 0.625  0.750 0.415  0.577 0.222  0.367 0.070  0.142 -0.056  -0.030 -0.008  0.187 0.128  0.436 0.194  0.679 0.142  0.845 -0.049  0.885 -0.302  0.809 -0.547  0.684 -0.772  0.522 -0.971  0.316 -1.122  0.068 -1.189  -0.169 -1.117  -0.254 -0.880  -0.180 -0.658  0.022 -0.808  0.220 -0.975  0.449 -1.094
3#apb#apb06#app0608/C  0.736 0.853  0.678 0.720  0.613 0.590  0.548 0.460  0.469 0.339  0.392 0.217  0.348 0.080  0.407 0.177  0.486 0.299  0.564 0.421  0.647 0.541  0.729 0.660  0.791 0.791  0.834 0.928  0.835 1.071  0.747 1.140  0.603 1.121  0.467 1.077  0.338 1.010  0.209 0.943  0.087 0.868  -0.014 0.763  -0.115 0.658  -0.215 0.553  -0.316 0.449  -0.411 0.339  -0.505 0.229  -0.599 0.118  -0.694 0.008  -0.781 -0.108  -0.854 -0.233  -0.926 -0.359  -0.999 -0.485  -1.052 -0.619  -1.085 -0.760  -1.091 -0.898  -1.026 -1.028  -0.917 -1.097  -0.773 -1.119  -0.630 -1.136  -0.487 -1.111  -0.343 -1.086  -0.200 -1.062  -0.059 -1.031  0.080 -0.989  0.220 -0.948  0.359 -0.907  0.497 -0.862  0.635 -0.816  0.773 -0.770
3#apb#apb06#app0608/e  -0.151 0.452  -0.197 0.461  -0.136 0.336  -0.026 0.251  0.105 0.199  0.248 0.199  0.391 0.201  0.532 0.227  0.672 0.254  0.808 0.296  0.938 0.356  1.066 0.420  1.182 0.503  1.226 0.632  1.173 0.760  1.077 0.861  0.958 0.940  0.820 0.958  0.677 0.958  0.536 0.947  0.404 0.891  0.273 0.834  0.141 0.778  0.017 0.707  -0.099 0.625  -0.216 0.542  -0.333 0.459  -0.450 0.376  -0.550 0.275  -0.645 0.168  -0.741 0.061  -0.836 -0.046  -0.910 -0.167  -0.974 -0.295  -1.038 -0.423  -1.093 -0.553  -1.073 -0.695  -1.053 -0.836  -0.958 -0.936  -0.848 -1.028  -0.728 -1.096  -0.585 -1.112  -0.443 -1.129  -0.301 -1.145  -0.159 -1.156  -0.019 -1.125  0.120 -1.093  0.260 -1.062  0.400 -1.030  0.539 -0.999
3#apb#apb06#app0608/d  0.431 -0.001  0.457 0.197  0.470 0.395  0.376 0.550  0.184 0.570  -0.002 0.528  -0.165 0.414  -0.328 0.300  -0.491 0.185  -0.653 0.070  -0.814 -0.047  -0.939 -0.202  -1.064 -0.356  -1.179 -0.518  -1.275 -0.692  -1.359 -0.872  -1.418 -1.062  -1.269 -1.177  -1.071 -1.154  -0.884 -1.097  -0.709 -1.002  -0.534 -0.907  -0.368 -0.797  -0.206 -0.682  -0.044 -0.567  0.097 -0.427  0.234 -0.282  0.368 -0.135  0.481 0.028  0.594 0.192  0.707 0.356  0.809 0.527  0.910 0.698  1.012 0.869  1.102 1.047  1.191 1.225  1.142 1.306  1.003 1.167  0.871 1.018  0.743 0.866  0.619 0.710  0.496 0.553  0.382 0.391  0.280 0.220  0.177 0.049  0.083 -0.126  -0.006 -0.304  -0.095 -0.482  -0.148 -0.674  -0.199 -0.866
3#apb#apb06#app0608/a  0.640 0.693  0.786 0.839  0.885 1.005  0.692 1.020  0.495 0.971  0.303 0.893  0.112 0.815  -0.067 0.713  -0.232 0.588  -0.396 0.462  -0.561 0.337  -0.711 0.195  -0.862 0.052  -1.013 -0.090  -1.146 -0.247  -1.274 -0.410  -1.384 -0.584  -1.447 -0.772  -1.339 -0.944  -1.134 -0.973  -0.930 -0.986  -0.731 -0.929  -0.532 -0.872  -0.341 -0.799  -0.165 -0.688  0.010 -0.577  0.179 -0.459  0.339 -0.328  0.499 -0.196  0.636 -0.045  0.747 0.131  0.857 0.306  0.952 0.489  1.031 0.680  1.106 0.873  1.078 1.046  0.931 0.902  0.788 0.753  0.646 0.602  0.504 0.451  0.376 0.289  0.258 0.119  0.139 -0.050  0.031 -0.226  -0.062 -0.411  -0.153 -0.597  -0.214 -0.795  -0.251 -0.994  -0.139 -1.115  0.067 -1.133
3#apb#apb06#app0608/r  -0.108 1.099  -0.053 0.985  -0.053 0.855  -0.055 0.724  -0.070 0.594  -0.086 0.465  -0.101 0.335  -0.124 0.206  -0.152 0.079  -0.181 -0.048  -0.210 -0.176  -0.239 -0.303  -0.287 -0.424  -0.341 -0.543  -0.395 -0.663  -0.448 -0.782  -0.503 -0.900  -0.565 -1.015  -0.627 -1.130  -0.689 -1.245  -0.757 -1.357  -0.818 -1.340  -0.788 -1.216  -0.747 -1.092  -0.701 -0.970  -0.636 -0.857  -0.571 -0.743  -0.507 -0.630  -0.434 -0.521  -0.359 -0.414  -0.284 -0.307  -0.209 -0.200  -0.134 -0.093  -0.051 0.007  0.036 0.104  0.124 0.201  0.211 0.299  0.299 0.396  0.386 0.493  0.484 0.580  0.581 0.666  0.679 0.753  0.777 0.840  0.874 0.927  0.994 0.976  1.117 1.022  1.239 1.068  1.364 1.099  1.495 1.099  1.625 1.099
3#apb#apb06#app0608/F  -0.102 0.447  0.027 0.640  0.156 0.833  0.255 0.877  0.159 0.666  0.061 0.455  -0.064 0.259  -0.188 0.063  -0.312 -0.133  -0.434 -0.331  -0.554 -0.530  -0.675 -0.729  -0.791 -0.930  -0.906 -1.131  -1.012 -1.338  -1.114 -1.545  -1.055 -1.396  -0.940 -1.194  -0.825 -0.992  -0.710 -0.790  -0.595 -0.588  -0.480 -0.386  -0.289 -0.359  -0.060 -0.387  0.172 -0.387  0.404 -0.379  0.636 -0.359  0.866 -0.333  1.093 -0.284  1.298 -0.235  1.072 -0.180  0.846 -0.126  0.620 -0.072  0.394 -0.018  0.168 0.036  -0.058 0.090  -0.284 0.144  -0.510 0.198  -0.736 0.253  -0.611 0.435  -0.458 0.604  -0.256 0.720  -0.054 0.834  0.163 0.917  0.380 1.001  0.602 1.065  0.830 1.107  1.059 1.150  1.291 1.163  1.523 1.174
3#apb#apb06#app0608/a  0.993 1.065  0.813 1.088  0.642 1.040  0.474 0.971  0.307 0.902  0.157 0.800  0.008 0.697  -0.141 0.593  -0.290 0.490  -0.437 0.383  -0.582 0.276  -0.728 0.168  -0.874 0.060  -1.012 -0.057  -1.126 -0.197  -1.240 -0.338  -1.353 -0.480  -1.454 -0.631  -1.479 -0.790  -1.343 -0.875  -1.165 -0.905  -0.992 -0.850  -0.819 -0.796  -0.646 -0.741  -0.486 -0.656  -0.326 -0.571  -0.167 -0.485  -0.027 -0.369  0.113 -0.254  0.253 -0.139  0.379 -0.009  0.499 0.127  0.618 0.264  0.734 0.403  0.846 0.545  0.958 0.688  1.063 0.836  1.045 0.809  0.944 0.659  0.858 0.499  0.773 0.339  0.688 0.178  0.618 0.011  0.547 -0.156  0.477 -0.323  0.430 -0.498  0.389 -0.674  0.353 -0.852  0.353 -1.033  0.353 -1.214
3#apb#apb06#app0608/l  0.697 1.549  0.672 1.484  0.646 1.420  0.620 1.355  0.594 1.291  0.570 1.226  0.545 1.161  0.520 1.096  0.495 1.031  0.471 0.966  0.446 0.901  0.421 0.836  0.396 0.772  0.365 0.710  0.334 0.647  0.303 0.585  0.272 0.523  0.241 0.461  0.210 0.399  0.178 0.337  0.147 0.275  0.116 0.213  0.085 0.151  0.053 0.089  0.021 0.027  -0.011 -0.034  -0.043 -0.096  -0.075 -0.157  -0.107 -0.219  -0.139 -0.281  -0.171 -0.342  -0.204 -0.404  -0.236 -0.465  -0.270 -0.526  -0.303 -0.587  -0.337 -0.648  -0.370 -0.708  -0.404 -0.769  -0.437 -0.830  -0.471 -0.891  -0.500 -0.954  -0.519 -1.020  -0.537 -1.087  -0.556 -1.154  -0.575 -1.221  -0.593 -1.288  -0.612 -1.355  -0.631 -1.422  -0.650 -1.489  -0.668 -1.555
3#apb#apb06#app0608/l  0.802 1.495  0.770 1.434  0.737 1.373  0.704 1.312  0.671 1.250  0.643 1.187  0.616 1.123  0.589 1.059  0.562 0.995  0.535 0.931  0.508 0.868  0.481 0.804  0.454 0.740  0.420 0.679  0.385 0.619  0.350 0.559  0.315 0.499  0.280 0.439  0.246 0.379  0.211 0.319  0.176 0.259  0.141 0.199  0.106 0.139  0.070 0.081  0.032 0.022  -0.005 -0.037  -0.042 -0.095  -0.079 -0.154  -0.117 -0.212  -0.154 -0.271  -0.191 -0.329  -0.228 -0.388  -0.266 -0.446  -0.303 -0.505  -0.337 -0.565  -0.371 -0.626  -0.404 -0.686  -0.438 -0.747  -0.471 -0.808  -0.505 -0.869  -0.538 -0.929  -0.572 -0.990  -0.605 -1.051  -0.639 -1.112  -0.672 -1.173  -0.706 -1.233  -0.739 -1.294  -0.773 -1.355  -0.806 -1.416  -0.840 -1.476
3#apb#apb06#app0608/s  1.234 0.715  1.234 0.817  1.194 0.903  1.121 0.976  1.026 1.015  0.932 1.055  0.832 1.062  0.730 1.053  0.628 1.043  0.526 1.033  0.426 1.010  0.327 0.984  0.228 0.958  0.131 0.925  0.043 0.872  -0.045 0.819  -0.130 0.764  -0.185 0.677  -0.240 0.591  -0.256 0.493  -0.256 0.390  -0.246 0.289  -0.217 0.191  -0.188 0.092  -0.157 -0.006  -0.114 -0.099  -0.071 -0.192  -0.028 -0.285  0.013 -0.379  0.053 -0.473  0.090 -0.569  0.120 -0.667  0.150 -0.765  0.116 -0.859  0.070 -0.949  -0.017 -1.004  -0.104 -1.059  -0.202 -1.073  -0.305 -1.073  -0.406 -1.066  -0.502 -1.029  -0.597 -0.992  -0.691 -0.950  -0.782 -0.904  -0.856 -0.835  -0.919 -0.754  -0.972 -0.667  -0.971 -0.608  -0.912 -0.692  -0.852 -0.775
3#apb#apb06#app0608/C  0.547 0.874  0.587 0.982  0.613 0.977  0.604 0.861  0.581 0.748  0.556 0.634  0.535 0.520  0.544 0.406  0.611 0.414  0.684 0.504  0.744 0.603  0.799 0.705  0.841 0.812  0.840 0.922  0.788 1.026  0.678 0.999  0.575 0.949  0.478 0.885  0.382 0.820  0.291 0.749  0.205 0.670  0.120 0.591  0.035 0.513  -0.047 0.430  -0.120 0.341  -0.194 0.251  -0.268 0.161  -0.342 0.072  -0.416 -0.018  -0.489 -0.108  -0.561 -0.199  -0.634 -0.289  -0.707 -0.380  -0.775 -0.473  -0.817 -0.581  -0.859 -0.689  -0.900 -0.798  -0.896 -0.911  -0.877 -1.025  -0.858 -1.140  -0.776 -1.213  -0.679 -1.276  -0.569 -1.272  -0.455 -1.248  -0.342 -1.223  -0.229 -1.195  -0.120 -1.155  -0.011 -1.115  0.098 -1.076  0.207 -1.036
3#apb#apb06#app0608/o  0.717 0.908  0.685 1.035  0.626 1.143  0.514 1.131  0.398 1.069  0.283 1.007  0.172 0.938  0.063 0.865  -0.045 0.793  -0.153 0.719  -0.234 0.617  -0.316 0.514  -0.398 0.412  -0.479 0.310  -0.561 0.208  -0.644 0.107  -0.727 0.006  -0.810 -0.095  -0.894 -0.196  -0.959 -0.307  -1.007 -0.429  -1.056 -0.550  -1.087 -0.674  -1.074 -0.804  -1.037 -0.921  -0.934 -1.001  -0.830 -1.082  -0.707 -1.042  -0.583 -1.001  -0.459 -0.959  -0.336 -0.914  -0.221 -0.852  -0.106 -0.790  0.009 -0.727  0.124 -0.665  0.239 -0.603  0.338 -0.519  0.430 -0.426  0.523 -0.334  0.615 -0.241  0.708 -0.149  0.797 -0.053  0.885 0.043  0.974 0.139  1.045 0.246  1.083 0.371  1.122 0.496  1.123 0.623  1.103 0.753  1.083 0.882
3#apb#apb06#app0608/r  0.327 1.252  0.253 1.140  0.215 1.011  0.178 0.881  0.141 0.752  0.104 0.622  0.052 0.498  -0.002 0.375  -0.056 0.251  -0.110 0.128  -0.164 0.004  -0.221 -0.118  -0.278 -0.240  -0.335 -0.362  -0.391 -0.484  -0.452 -0.604  -0.525 -0.718  -0.597 -0.831  -0.669 -0.945  -0.719 -1.068  -0.752 -1.199  -0.785 -1.330  -0.813 -1.445  -0.771 -1.317  -0.732 -1.188  -0.694 -1.059  -0.648 -0.934  -0.575 -0.820  -0.502 -0.707  -0.429 -0.594  -0.356 -0.480  -0.280 -0.370  -0.199 -0.262  -0.118 -0.154  -0.037 -0.046  0.044 0.061  0.125 0.169  0.220 0.263  0.319 0.355  0.417 0.447  0.516 0.539  0.614 0.631  0.713 0.723  0.813 0.814  0.912 0.904  1.012 0.995  1.112 1.085  1.240 1.111  1.374 1.124  1.508 1.138
3#apb#apb06#app0608/a  0.991 0.570  1.076 0.707  1.160 0.845  1.223 0.988  1.181 1.132  1.063 1.233  0.904 1.204  0.745 1.176  0.586 1.148  0.447 1.067  0.308 0.985  0.169 0.903  0.039 0.809  -0.081 0.702  -0.201 0.594  -0.322 0.487  -0.442 0.379  -0.547 0.257  -0.650 0.133  -0.753 0.009  -0.857 -0.114  -0.956 -0.241  -1.055 -0.369  -1.153 -0.497  -1.207 -0.646  -1.222 -0.801  -1.157 -0.934  -0.995 -0.934  -0.834 -0.934  -0.682 -0.882  -0.530 -0.828  -0.378 -0.774  -0.239 -0.694  -0.105 -0.604  0.029 -0.515  0.147 -0.407  0.249 -0.283  0.351 -0.158  0.458 -0.037  0.565 0.084  0.600 0.167  0.520 0.027  0.446 -0.116  0.374 -0.260  0.302 -0.405  0.225 -0.546  0.143 -0.685  0.064 -0.825  0.021 -0.981  -0.021 -1.137
3#apb#apb06#app0608/l  0.773 1.509  0.744 1.446  0.715 1.382  0.686 1.319  0.656 1.256  0.629 1.193  0.604 1.128  0.580 1.063  0.555 0.998  0.530 0.933  0.506 0.868  0.481 0.803  0.457 0.738  0.432 0.673  0.407 0.608  0.379 0.545  0.342 0.486  0.305 0.427  0.268 0.369  0.231 0.310  0.194 0.251  0.157 0.192  0.120 0.133  0.082 0.075  0.045 0.016  0.008 -0.043  -0.029 -0.102  -0.066 -0.160  -0.103 -0.219  -0.140 -0.278  -0.177 -0.337  -0.214 -0.396  -0.251 -0.454  -0.288 -0.513  -0.325 -0.572  -0.362 -0.631  -0.399 -0.689  -0.436 -0.748  -0.473 -0.807  -0.511 -0.865  -0.548 -0.924  -0.585 -0.983  -0.623 -1.041  -0.660 -1.100  -0.697 -1.159  -0.731 -1.219  -0.766 -1.279  -0.800 -1.340  -0.835 -1.400  -0.869 -1.460
3#apb#apb06#app0608/G  0.677 0.621  0.808 0.732  0.940 0.843  1.049 0.975  1.142 1.119  1.175 1.280  1.014 1.312  0.852 1.280  0.697 1.205  0.542 1.130  0.403 1.028  0.264 0.927  0.125 0.826  -0.008 0.716  -0.135 0.600  -0.262 0.484  -0.389 0.368  -0.514 0.250  -0.638 0.130  -0.762 0.010  -0.886 -0.109  -0.992 -0.244  -1.099 -0.379  -1.190 -0.524  -1.242 -0.682  -1.144 -0.803  -0.974 -0.830  -0.807 -0.807  -0.642 -0.758  -0.479 -0.704  -0.321 -0.636  -0.162 -0.569  -0.013 -0.483  0.131 -0.389  0.253 -0.271  0.352 -0.132  0.397 0.032  0.350 0.198  0.239 0.187  0.353 0.067  0.397 -0.098  0.362 -0.266  0.308 -0.429  0.237 -0.585  0.160 -0.739  0.074 -0.888  -0.017 -1.034  -0.110 -1.179  -0.200 -1.326  -0.316 -1.452
3#apb#apb06#app0608/a  0.914 0.401  0.954 0.574  0.994 0.746  0.997 0.923  0.954 1.085  0.839 1.219  0.666 1.228  0.489 1.224  0.324 1.160  0.159 1.096  -0.005 1.028  -0.143 0.918  -0.282 0.807  -0.420 0.696  -0.556 0.583  -0.663 0.441  -0.769 0.299  -0.875 0.157  -0.982 0.016  -1.090 -0.125  -1.198 -0.265  -1.270 -0.424  -1.319 -0.594  -1.204 -0.728  -1.057 -0.816  -0.888 -0.868  -0.721 -0.865  -0.557 -0.797  -0.393 -0.730  -0.229 -0.662  -0.065 -0.595  0.099 -0.527  0.248 -0.434  0.392 -0.330  0.534 -0.224  0.626 -0.073  0.719 0.078  0.803 0.234  0.843 0.289  0.701 0.184  0.588 0.048  0.474 -0.088  0.368 -0.231  0.265 -0.375  0.166 -0.521  0.117 -0.691  0.068 -0.862  0.074 -1.037  0.117 -1.206  0.197 -1.365
3#apb#apb06#app0608/b  0.689 1.924  0.587 1.776  0.484 1.627  0.396 1.470  0.310 1.311  0.223 1.153  0.143 0.991  0.068 0.827  -0.007 0.663  -0.084 0.500  -0.178 0.346  -0.272 0.192  -0.366 0.037  -0.456 -0.119  -0.543 -0.277  -0.630 -0.435  -0.708 -0.597  -0.780 -0.763  -0.855 -0.927  -0.893 -0.983  -0.829 -0.815  -0.761 -0.648  -0.649 -0.507  -0.536 -0.366  -0.427 -0.222  -0.322 -0.075  -0.217 0.072  -0.110 0.216  0.026 0.335  0.162 0.454  0.306 0.559  0.472 0.630  0.642 0.677  0.814 0.647  0.883 0.480  0.917 0.310  0.886 0.132  0.851 -0.044  0.758 -0.199  0.665 -0.354  0.572 -0.508  0.441 -0.633  0.310 -0.757  0.179 -0.880  0.032 -0.985  -0.117 -1.087  -0.271 -1.179  -0.437 -1.250  -0.602 -1.322  -0.767 -1.396
