2#tos#t2#t2014063/#  -0.629 0.690  -0.936 0.452  -0.545 0.434  -0.119 0.434  0.307 0.434  0.733 0.434  0.676 0.336  0.283 0.170  -0.109 0.004  -0.501 -0.162  -0.834 -0.367  -1.205 -0.549  -0.820 -0.590  -0.394 -0.590  0.032 -0.590  0.458 -0.590  0.884 -0.590  1.280 -0.575  1.023 -0.236  0.766 0.104  0.509 0.443  0.251 0.783  -0.006 1.123  -0.263 1.462  -0.501 1.311  -0.465 0.887  -0.421 0.467  -0.373 0.052  -0.373 -0.374  -0.309 -0.792  -0.309 -1.218  -0.309 -1.644  -0.285 -1.800  -0.212 -1.381  -0.138 -0.961  -0.065 -0.542  0.009 -0.122  0.083 0.297  0.156 0.717  0.230 1.137  0.304 1.556  0.093 1.650  0.115 1.251  0.139 0.831  0.219 0.422  0.267 0.000  0.267 -0.426  0.310 -0.845  0.331 -1.267  0.395 -1.678
2#tos#t2#t2014063/{  0.416 1.605  0.395 1.520  0.319 1.477  0.225 1.477  0.139 1.456  0.073 1.390  -0.004 1.349  -0.032 1.283  -0.032 1.189  -0.032 1.095  -0.032 1.001  -0.032 0.907  -0.032 0.813  -0.032 0.719  -0.096 0.689  -0.096 0.595  -0.032 0.565  -0.032 0.471  -0.032 0.377  -0.032 0.283  -0.032 0.189  -0.049 0.100  -0.091 0.015  -0.179 0.006  -0.224 -0.043  -0.303 -0.058  -0.307 -0.058  -0.213 -0.058  -0.160 -0.099  -0.096 -0.129  -0.096 -0.223  -0.032 -0.253  -0.032 -0.347  -0.032 -0.441  -0.032 -0.535  -0.032 -0.629  -0.032 -0.723  -0.032 -0.817  -0.032 -0.911  -0.032 -1.005  -0.032 -1.099  -0.032 -1.193  -0.032 -1.287  0.010 -1.338  0.064 -1.403  0.096 -1.489  0.149 -1.530  0.177 -1.603  0.261 -1.645  0.352 -1.658
2#tos#t2#t2014063/}  -0.211 1.568  -0.182 1.512  -0.098 1.512  -0.023 1.491  0.047 1.456  0.067 1.392  0.067 1.308  0.067 1.224  0.067 1.140  0.067 1.056  0.067 0.972  0.055 0.900  0.012 0.859  0.012 0.775  0.012 0.691  0.012 0.607  0.012 0.523  0.079 0.499  0.139 0.440  0.151 0.400  0.067 0.399  0.067 0.315  0.012 0.287  0.012 0.202  0.012 0.118  -0.011 0.044  -0.044 -0.027  -0.044 -0.111  -0.044 -0.195  -0.044 -0.279  -0.044 -0.363  -0.044 -0.448  -0.044 -0.532  -0.029 -0.601  0.012 -0.644  0.012 -0.728  0.032 -0.808  0.067 -0.884  0.067 -0.968  0.067 -1.052  0.067 -1.136  0.067 -1.220  0.067 -1.304  0.003 -1.324  -0.044 -1.361  -0.054 -1.435  -0.100 -1.474  -0.110 -1.551  -0.185 -1.589  -0.211 -1.657
2#tos#t2#t2014063/1  -0.334 1.130  -0.296 1.242  -0.276 1.357  -0.161 1.360  -0.104 1.421  -0.104 1.539  -0.093 1.647  -0.047 1.576  -0.047 1.457  -0.047 1.339  -0.023 1.245  0.011 1.161  0.011 1.042  0.068 0.982  0.068 0.864  0.068 0.746  0.068 0.627  0.101 0.523  0.126 0.415  0.126 0.297  0.126 0.179  0.126 0.061  0.126 -0.057  0.126 -0.175  0.126 -0.294  0.126 -0.412  0.126 -0.530  0.126 -0.648  0.126 -0.766  0.126 -0.884  0.117 -0.991  0.003 -0.963  -0.112 -0.934  -0.227 -0.905  -0.341 -0.879  -0.459 -0.879  -0.506 -0.950  -0.506 -1.033  -0.427 -0.993  -0.309 -0.993  -0.248 -0.936  -0.130 -0.936  -0.047 -0.902  0.048 -0.879  0.167 -0.879  0.285 -0.879  0.403 -0.879  0.521 -0.879  0.639 -0.879  0.757 -0.879
2#tos#t2#t2014063/3  -0.736 1.373  -0.714 1.257  -0.576 1.257  -0.438 1.257  -0.299 1.257  -0.161 1.257  -0.025 1.249  0.102 1.198  0.240 1.198  0.367 1.187  0.367 1.049  0.367 0.911  0.367 0.773  0.297 0.664  0.181 0.595  0.077 0.532  0.000 0.425  -0.063 0.328  -0.188 0.295  -0.292 0.211  -0.388 0.169  -0.474 0.067  -0.600 0.037  -0.618 0.037  -0.479 0.037  -0.341 0.037  -0.203 0.037  -0.065 0.037  0.073 0.037  0.201 0.020  0.278 -0.079  0.411 -0.113  0.541 -0.141  0.541 -0.279  0.541 -0.417  0.541 -0.555  0.541 -0.694  0.541 -0.832  0.429 -0.892  0.425 -1.026  0.367 -1.106  0.311 -1.210  0.239 -1.304  0.113 -1.356  -0.025 -1.356  -0.086 -1.460  -0.219 -1.472  -0.357 -1.472  -0.490 -1.494  -0.620 -1.530
2#tos#t2#t2014063/4  0.375 1.214  0.262 1.109  0.148 1.004  0.024 0.900  -0.092 0.758  -0.215 0.603  -0.387 0.503  -0.536 0.407  -0.673 0.257  -0.798 0.097  -0.953 -0.058  -1.133 -0.153  -1.219 -0.285  -1.039 -0.324  -0.820 -0.324  -0.606 -0.302  -0.395 -0.267  -0.176 -0.267  0.043 -0.267  0.245 -0.226  0.457 -0.210  0.676 -0.210  0.895 -0.210  1.114 -0.210  1.075 -0.083  0.940 0.089  0.806 0.262  0.671 0.435  0.537 0.608  0.403 0.781  0.268 0.953  0.134 1.126  -0.001 1.299  -0.080 1.203  -0.080 0.984  -0.080 0.765  -0.080 0.546  -0.080 0.327  -0.080 0.108  -0.023 -0.097  -0.023 -0.316  -0.023 -0.535  -0.023 -0.754  0.034 -0.960  0.060 -1.172  0.091 -1.384  0.091 -1.603  0.091 -1.822  0.091 -2.041  0.091 -2.260
2#tos#t2#t2014063/6  0.176 1.854  0.089 1.724  -0.025 1.672  -0.076 1.536  -0.091 1.386  -0.212 1.300  -0.328 1.259  -0.354 1.110  -0.429 0.976  -0.429 0.819  -0.523 0.702  -0.529 0.548  -0.531 0.391  -0.580 0.255  -0.580 0.098  -0.580 -0.058  -0.580 -0.215  -0.580 -0.372  -0.573 -0.527  -0.524 -0.671  -0.413 -0.782  -0.292 -0.867  -0.227 -0.959  -0.121 -1.071  0.024 -1.119  0.180 -1.121  0.326 -1.170  0.483 -1.170  0.639 -1.170  0.717 -1.059  0.743 -0.918  0.880 -0.869  0.928 -0.724  0.979 -0.576  0.963 -0.424  0.932 -0.275  0.889 -0.162  0.776 -0.056  0.648 0.031  0.529 0.114  0.399 0.141  0.242 0.141  0.085 0.141  -0.072 0.141  -0.228 0.141  -0.378 0.134  -0.491 0.090  -0.580 0.022  -0.619 -0.128  -0.681 -0.262
2#tos#t2#t2014063/7  -0.508 1.063  -0.595 0.983  -0.711 0.939  -0.660 0.847  -0.660 0.704  -0.660 0.561  -0.609 0.440  -0.577 0.303  -0.559 0.163  -0.508 0.071  -0.508 -0.072  -0.454 -0.052  -0.446 0.091  -0.438 0.233  -0.430 0.376  -0.422 0.518  -0.414 0.660  -0.406 0.803  -0.536 0.765  -0.440 0.758  -0.297 0.758  -0.154 0.758  -0.012 0.758  0.131 0.758  0.274 0.758  0.416 0.758  0.559 0.758  0.663 0.719  0.634 0.605  0.612 0.484  0.612 0.342  0.561 0.250  0.561 0.107  0.510 0.016  0.510 -0.127  0.431 -0.237  0.408 -0.370  0.408 -0.513  0.408 -0.656  0.408 -0.798  0.398 -0.938  0.319 -1.056  0.307 -1.195  0.307 -1.338  0.307 -1.481  0.307 -1.623  0.307 -1.766  0.287 -1.889  0.205 -1.950  0.154 -2.041
2#tos#t2#t2014063/A  0.136 1.594  0.052 1.360  -0.034 1.089  -0.152 0.864  -0.315 0.652  -0.361 0.359  -0.499 0.097  -0.615 -0.163  -0.664 -0.455  -0.765 -0.729  -0.841 -1.010  -0.907 -1.292  -0.915 -1.588  -0.844 -1.444  -0.749 -1.162  -0.655 -0.879  -0.561 -0.596  -0.466 -0.313  -0.372 -0.030  -0.278 0.253  -0.184 0.536  -0.089 0.819  0.005 1.102  0.099 1.384  0.036 1.382  0.136 1.184  0.286 0.948  0.373 0.670  0.484 0.427  0.675 0.225  0.772 -0.011  0.937 -0.259  0.977 -0.535  1.087 -0.775  1.187 -1.049  1.126 -1.076  0.888 -0.897  0.649 -0.718  0.411 -0.539  0.172 -0.361  -0.066 -0.182  -0.305 -0.003  -0.543 0.176  -0.752 0.092  -0.504 0.142  -0.206 0.142  0.092 0.142  0.390 0.142  0.688 0.142  0.987 0.142
2#tos#t2#t2014063/D  -0.435 1.141  -0.423 1.198  -0.389 0.986  -0.389 0.767  -0.389 0.549  -0.389 0.331  -0.389 0.113  -0.389 -0.105  -0.389 -0.323  -0.389 -0.541  -0.389 -0.759  -0.389 -0.977  -0.389 -1.195  -0.389 -1.413  -0.387 -1.380  -0.383 -1.162  -0.379 -0.944  -0.375 -0.726  -0.371 -0.508  -0.367 -0.290  -0.363 -0.072  -0.359 0.146  -0.355 0.364  -0.352 0.582  -0.348 0.801  -0.344 1.019  -0.526 1.044  -0.371 1.040  -0.232 1.141  -0.014 1.141  0.204 1.141  0.422 1.141  0.594 1.095  0.737 0.958  0.844 0.819  0.940 0.633  1.026 0.450  1.071 0.251  1.060 0.040  0.980 -0.129  0.894 -0.289  0.797 -0.481  0.706 -0.608  0.539 -0.722  0.432 -0.840  0.341 -1.001  0.171 -1.050  -0.047 -1.050  -0.227 -1.141  -0.435 -1.186
2#tos#t2#t2014063/G  0.687 1.193  0.588 1.122  0.382 1.149  0.193 1.243  -0.015 1.293  -0.244 1.293  -0.473 1.293  -0.631 1.173  -0.798 1.093  -0.876 0.943  -0.995 0.801  -1.066 0.616  -1.111 0.415  -1.111 0.186  -1.161 -0.022  -1.161 -0.250  -1.091 -0.429  -0.961 -0.550  -0.874 -0.742  -0.660 -0.789  -0.512 -0.953  -0.337 -1.027  -0.164 -1.105  0.015 -1.055  0.232 -1.008  0.418 -0.875  0.483 -0.665  0.505 -0.455  0.634 -0.317  0.687 -0.138  0.595 0.021  0.375 0.083  0.155 0.146  -0.066 0.191  -0.208 0.044  0.021 0.044  0.249 0.044  0.478 0.044  0.707 0.044  0.935 0.044  0.917 0.084  0.700 0.157  0.496 0.133  0.438 -0.065  0.538 -0.193  0.588 -0.401  0.588 -0.630  0.638 -0.847  0.638 -1.076  0.638 -1.304
2#tos#t2#t2014063/H  -0.562 1.245  -0.708 1.176  -0.708 0.961  -0.708 0.747  -0.708 0.532  -0.708 0.317  -0.708 0.103  -0.708 -0.112  -0.708 -0.327  -0.708 -0.541  -0.708 -0.756  -0.708 -0.970  -0.673 -1.181  -0.645 -1.379  -0.591 -1.199  -0.567 -0.986  -0.544 -0.772  -0.520 -0.559  -0.496 -0.346  -0.472 -0.132  -0.449 0.081  -0.425 0.294  -0.555 0.370  -0.667 0.322  -0.452 0.322  -0.238 0.322  -0.023 0.322  0.192 0.322  0.361 0.276  0.572 0.273  0.787 0.273  0.847 0.428  0.847 0.643  0.847 0.857  0.847 1.072  0.805 1.245  0.701 1.134  0.701 0.919  0.698 0.705  0.652 0.502  0.652 0.287  0.652 0.072  0.652 -0.142  0.701 -0.345  0.701 -0.560  0.701 -0.775  0.701 -0.989  0.652 -1.155  0.652 -1.370  0.749 -1.525
2#tos#t2#t2014063/I  -0.216 1.270  -0.335 1.243  -0.339 1.172  -0.221 1.150  -0.098 1.150  0.025 1.150  0.149 1.150  0.272 1.150  0.355 1.110  0.450 1.117  0.340 1.172  0.229 1.227  0.116 1.270  0.024 1.239  -0.016 1.155  -0.016 1.032  -0.016 0.909  -0.016 0.786  -0.016 0.662  -0.016 0.539  -0.016 0.416  -0.016 0.293  -0.016 0.169  -0.016 0.046  -0.016 -0.077  -0.016 -0.200  -0.016 -0.324  -0.016 -0.447  -0.016 -0.570  -0.016 -0.693  -0.016 -0.817  -0.016 -0.940  -0.016 -1.063  -0.108 -1.058  -0.216 -0.998  -0.324 -0.938  -0.433 -0.893  -0.535 -0.942  -0.556 -1.007  -0.440 -1.022  -0.326 -1.047  -0.203 -1.047  -0.080 -1.047  0.043 -1.047  0.167 -1.047  0.290 -1.047  0.413 -1.047  0.496 -1.087  0.620 -1.087  0.743 -1.087
2#tos#t2#t2014063/M  -0.630 1.074  -0.675 1.003  -0.675 0.796  -0.675 0.589  -0.675 0.382  -0.675 0.175  -0.675 -0.032  -0.675 -0.239  -0.675 -0.446  -0.675 -0.654  -0.675 -0.861  -0.675 -1.068  -0.675 -1.275  -0.670 -1.373  -0.648 -1.167  -0.627 -0.961  -0.605 -0.755  -0.584 -0.549  -0.562 -0.343  -0.541 -0.137  -0.519 0.069  -0.498 0.275  -0.477 0.481  -0.455 0.687  -0.586 0.756  -0.604 0.611  -0.430 0.510  -0.318 0.366  -0.176 0.279  -0.084 0.145  0.007 0.029  0.141 0.159  0.338 0.194  0.510 0.307  0.628 0.451  0.778 0.574  0.946 0.660  1.083 0.815  1.152 0.913  1.011 0.801  1.008 0.597  1.008 0.390  1.008 0.183  1.008 -0.024  1.008 -0.231  1.094 -0.418  1.098 -0.624  1.098 -0.831  1.098 -1.038  1.098 -1.246
2#tos#t2#t2014063/N  -0.687 1.283  -0.887 1.120  -0.887 0.816  -0.887 0.513  -0.887 0.209  -0.887 -0.095  -0.887 -0.399  -0.887 -0.703  -0.887 -1.007  -0.887 -1.311  -0.684 -1.218  -0.510 -0.969  -0.336 -0.720  -0.161 -0.471  0.013 -0.222  0.187 0.027  0.361 0.276  0.536 0.525  0.710 0.774  0.884 1.023  0.842 1.083  0.762 0.860  0.781 0.564  0.812 0.273  0.812 -0.031  0.862 -0.327  0.862 -0.631  0.911 -0.927  0.903 -1.202  0.737 -0.947  0.571 -0.693  0.404 -0.438  0.238 -0.184  0.072 0.071  -0.094 0.325  -0.260 0.579  -0.426 0.834  -0.593 1.088  -0.744 1.126  -0.785 0.981  -0.587 0.818  -0.438 0.617  -0.287 0.371  -0.125 0.193  -0.075 -0.074  0.139 -0.281  0.320 -0.524  0.520 -0.752  0.676 -1.008  0.862 -1.215
2#tos#t2#t2014063/P  -0.360 1.234  -0.433 1.229  -0.410 1.021  -0.410 0.808  -0.410 0.594  -0.410 0.381  -0.410 0.167  -0.410 -0.046  -0.360 -0.251  -0.360 -0.465  -0.330 -0.673  -0.263 -0.876  -0.259 -1.089  -0.259 -1.302  -0.217 -1.510  -0.158 -1.672  -0.159 -1.807  -0.167 -1.594  -0.175 -1.381  -0.183 -1.167  -0.190 -0.954  -0.198 -0.741  -0.206 -0.527  -0.214 -0.314  -0.221 -0.101  -0.229 0.112  -0.237 0.326  -0.245 0.539  -0.252 0.752  -0.293 0.931  -0.507 0.931  -0.323 0.982  -0.152 1.083  0.062 1.083  0.275 1.083  0.489 1.083  0.702 1.083  0.907 1.070  1.000 0.884  1.054 0.693  1.054 0.479  0.970 0.292  0.904 0.100  0.780 -0.071  0.646 -0.234  0.513 -0.375  0.314 -0.441  0.106 -0.483  -0.108 -0.483  -0.259 -0.382
2#tos#t2#t2014063/R  -0.361 1.341  -0.558 1.200  -0.509 0.986  -0.509 0.722  -0.509 0.459  -0.459 0.204  -0.456 -0.059  -0.410 -0.318  -0.410 -0.581  -0.410 -0.845  -0.410 -1.108  -0.410 -1.371  -0.361 -1.553  -0.361 -1.289  -0.361 -1.026  -0.361 -0.763  -0.361 -0.499  -0.361 -0.236  -0.361 0.027  -0.361 0.291  -0.361 0.554  -0.361 0.817  -0.446 0.996  -0.544 1.074  -0.410 1.230  -0.159 1.242  0.092 1.292  0.356 1.292  0.619 1.292  0.746 1.073  0.872 0.882  0.872 0.618  0.850 0.360  0.711 0.157  0.523 0.041  0.399 -0.139  0.136 -0.139  -0.099 -0.237  -0.361 -0.236  -0.147 -0.159  0.114 -0.125  0.375 -0.090  0.186 -0.210  0.223 -0.419  0.357 -0.615  0.458 -0.832  0.593 -1.038  0.758 -1.220  0.924 -1.424  1.020 -1.618
2#tos#t2#t2014063/S  0.734 1.027  0.731 0.901  0.645 0.983  0.518 1.026  0.428 1.106  0.337 1.185  0.233 1.245  0.096 1.245  -0.040 1.245  -0.177 1.245  -0.314 1.245  -0.399 1.162  -0.494 1.065  -0.575 0.962  -0.575 0.825  -0.575 0.688  -0.575 0.552  -0.532 0.433  -0.532 0.297  -0.406 0.285  -0.357 0.164  -0.241 0.111  -0.158 0.024  -0.030 0.002  0.079 -0.038  0.190 -0.064  0.318 -0.084  0.445 -0.107  0.566 -0.129  0.603 -0.260  0.673 -0.326  0.690 -0.446  0.690 -0.582  0.689 -0.719  0.596 -0.818  0.515 -0.902  0.501 -1.028  0.371 -1.067  0.252 -1.127  0.124 -1.155  -0.003 -1.196  -0.139 -1.198  -0.276 -1.198  -0.409 -1.181  -0.526 -1.117  -0.619 -1.036  -0.691 -0.944  -0.794 -0.904  -0.794 -0.768  -0.794 -0.631
2#tos#t2#t2014063/T  -1.131 0.609  -1.231 0.568  -1.264 0.460  -1.156 0.460  -1.015 0.460  -0.875 0.460  -0.734 0.460  -0.593 0.460  -0.452 0.460  -0.311 0.460  -0.170 0.460  -0.029 0.460  0.112 0.460  0.252 0.460  0.393 0.460  0.534 0.460  0.675 0.460  0.716 0.559  0.857 0.559  0.998 0.559  1.139 0.559  1.135 0.559  0.994 0.559  0.853 0.559  0.712 0.559  0.571 0.559  0.430 0.559  0.289 0.559  0.149 0.559  0.008 0.559  -0.119 0.526  -0.186 0.413  -0.186 0.272  -0.186 0.131  -0.186 -0.010  -0.136 -0.139  -0.136 -0.280  -0.136 -0.421  -0.136 -0.562  -0.115 -0.699  -0.086 -0.835  -0.058 -0.973  -0.037 -1.112  -0.037 -1.253  -0.037 -1.394  -0.037 -1.535  -0.037 -1.676  -0.037 -1.816  -0.037 -1.957  0.063 -2.028
