3#app#app31#app3140/!  -0.062 1.505  -0.066 1.581  -0.122 1.637  -0.134 1.589  -0.134 1.510  -0.134 1.431  -0.134 1.353  -0.134 1.274  -0.134 1.195  -0.134 1.117  -0.134 1.038  -0.134 0.959  -0.134 0.881  -0.134 0.802  -0.134 0.724  -0.134 0.645  -0.134 0.566  -0.134 0.488  -0.134 0.409  -0.134 0.330  -0.113 0.273  -0.057 0.246  -0.044 0.168  -0.030 0.091  -0.017 0.014  -0.003 -0.064  0.010 -0.141  0.024 -0.219  0.037 -0.296  0.051 -0.374  0.064 -0.451  0.078 -0.529  0.091 -0.606  0.105 -0.684  0.118 -0.761  0.132 -0.839  0.145 -0.916  0.159 -0.994  0.172 -1.071  0.185 -1.149  0.199 -1.226  0.212 -1.304  0.226 -1.381  0.228 -1.329  0.157 -1.322  0.150 -1.249  0.083 -1.238  0.071 -1.189  0.015 -1.245  0.083 -1.249
3#app#app31#app3140/~  -1.409 -0.225  -1.536 -0.225  -1.567 -0.129  -1.504 -0.066  -1.377 -0.066  -1.250 -0.066  -1.123 -0.066  -0.996 -0.066  -0.887 -0.021  -0.798 0.069  -0.708 0.159  -0.618 0.248  -0.492 0.252  -0.392 0.316  -0.302 0.405  -0.177 0.410  -0.139 0.499  -0.139 0.512  -0.156 0.393  -0.246 0.303  -0.336 0.213  -0.426 0.123  -0.456 0.009  -0.456 -0.118  -0.456 -0.245  -0.456 -0.372  -0.456 -0.499  -0.372 -0.542  -0.245 -0.542  -0.118 -0.542  0.009 -0.542  0.136 -0.542  0.254 -0.505  0.367 -0.448  0.481 -0.391  0.574 -0.306  0.668 -0.225  0.795 -0.225  0.910 -0.177  1.024 -0.120  1.136 -0.061  1.226 0.029  1.290 0.129  1.293 0.255  1.383 0.344  1.473 0.434  1.563 0.524  1.671 0.569  1.734 0.569  1.607 0.569
3#app#app31#app3140/  -0.585 -1.004  -0.585 -0.910  -0.585 -0.815  -0.625 -0.762  -0.720 -0.762  -0.814 -0.762  -0.827 -0.681  -0.827 -0.586  -0.855 -0.519  -0.949 -0.519  -1.043 -0.519  -1.070 -0.451  -1.070 -0.357  -1.070 -0.263  -1.070 -0.168  -1.070 -0.074  -1.015 -0.034  -0.921 -0.034  -0.827 -0.034  -0.742 0.008  -0.658 0.051  -0.573 0.093  -0.489 0.135  -0.405 0.177  -0.318 0.208  -0.223 0.208  -0.129 0.208  -0.035 0.208  0.060 0.208  0.154 0.208  0.248 0.208  0.343 0.208  0.422 0.245  0.489 0.312  0.555 0.379  0.622 0.445  0.714 0.451  0.808 0.451  0.903 0.451  0.997 0.451  1.091 0.451  1.186 0.451  1.280 0.451  1.374 0.451  1.469 0.451  1.563 0.451  1.555 0.408  1.489 0.342  1.422 0.275  1.355 0.208
3#app#app31#app3140/_  -1.410 -0.405  -1.462 -0.352  -1.514 -0.300  -1.486 -0.281  -1.412 -0.281  -1.359 -0.230  -1.307 -0.178  -1.241 -0.157  -1.167 -0.157  -1.093 -0.157  -1.019 -0.157  -0.945 -0.157  -0.871 -0.157  -0.797 -0.157  -0.723 -0.157  -0.654 -0.144  -0.602 -0.092  -0.549 -0.040  -0.478 -0.033  -0.404 -0.033  -0.330 -0.033  -0.256 -0.033  -0.182 -0.033  -0.108 -0.033  -0.034 -0.033  0.040 -0.033  0.114 -0.033  0.188 -0.033  0.244 0.011  0.297 0.063  0.359 0.091  0.433 0.091  0.508 0.091  0.582 0.091  0.656 0.091  0.730 0.091  0.804 0.091  0.861 0.132  0.913 0.185  0.975 0.215  1.049 0.215  1.123 0.215  1.197 0.215  1.271 0.215  1.342 0.228  1.408 0.261  1.474 0.294  1.541 0.328  1.612 0.338  1.686 0.338
3#app#app31#app3140/+  0.430 1.511  0.430 1.707  0.320 1.635  0.195 1.491  0.195 1.296  0.195 1.100  0.134 0.919  0.047 0.744  -0.040 0.569  -0.040 0.373  -0.040 0.177  -0.040 -0.018  -0.040 -0.214  -0.040 -0.410  -0.040 -0.605  -0.040 -0.801  -0.040 -0.997  0.078 -1.074  0.195 -1.153  0.223 -1.337  0.362 -1.475  0.529 -1.544  0.665 -1.485  0.652 -1.295  0.513 -1.157  0.375 -1.019  0.237 -0.880  0.098 -0.742  -0.040 -0.604  -0.178 -0.465  -0.317 -0.327  -0.455 -0.189  -0.593 -0.050  -0.732 0.088  -0.870 0.226  -1.008 0.365  -1.147 0.503  -1.115 0.571  -0.919 0.571  -0.730 0.556  -0.591 0.418  -0.430 0.336  -0.234 0.336  -0.038 0.336  0.157 0.336  0.353 0.336  0.549 0.336  0.744 0.336  0.940 0.336  1.135 0.336
3#app#app31#app3140/=  -0.269 0.943  -0.269 1.116  -0.427 1.132  -0.458 1.274  -0.333 1.321  -0.171 1.272  -0.016 1.195  0.133 1.108  0.256 0.986  0.411 0.943  0.556 0.874  0.680 0.754  0.853 0.754  0.979 0.640  1.102 0.518  1.225 0.395  1.117 0.306  0.964 0.224  0.812 0.142  0.659 0.060  0.506 -0.022  0.354 -0.105  0.201 -0.187  0.048 -0.269  -0.104 -0.351  -0.257 -0.433  -0.409 -0.516  -0.562 -0.598  -0.715 -0.680  -0.867 -0.762  -1.020 -0.844  -1.173 -0.926  -1.215 -0.824  -1.215 -0.651  -1.122 -0.571  -1.026 -0.494  -0.964 -0.382  -0.791 -0.382  -0.618 -0.382  -0.444 -0.382  -0.271 -0.382  -0.098 -0.382  0.076 -0.382  0.234 -0.444  0.389 -0.522  0.488 -0.634  0.535 -0.760  0.677 -0.792  0.693 -0.949  0.866 -0.949
3#app#app31#app3140/[  0.746 0.928  0.838 0.957  0.780 1.020  0.746 1.107  0.664 1.195  0.547 1.204  0.426 1.204  0.305 1.204  0.184 1.204  0.062 1.204  -0.059 1.204  -0.088 1.112  -0.174 1.078  -0.111 1.020  -0.082 0.928  0.010 0.898  0.010 0.777  0.010 0.656  0.010 0.535  -0.028 0.430  -0.082 0.331  -0.082 0.210  -0.115 0.094  -0.153 -0.021  -0.213 -0.123  -0.298 -0.208  -0.358 -0.305  -0.404 -0.407  -0.490 -0.492  -0.576 -0.578  -0.661 -0.664  -0.727 -0.758  -0.727 -0.879  -0.814 -0.913  -0.794 -1.005  -0.673 -1.005  -0.552 -1.005  -0.431 -1.005  -0.310 -1.005  -0.189 -1.005  -0.160 -0.913  -0.039 -0.913  0.082 -0.913  0.204 -0.913  0.325 -0.913  0.446 -0.913  0.567 -0.913  0.688 -0.913  0.809 -0.913  0.930 -0.913
3#app#app31#app3140/]  -0.631 0.907  -0.560 0.924  -0.631 1.007  -0.593 1.083  -0.499 1.039  -0.405 0.995  -0.293 0.995  -0.181 0.995  -0.068 0.995  0.044 0.995  0.156 0.995  0.269 0.995  0.381 0.995  0.493 0.995  0.593 0.995  0.511 0.964  0.511 0.852  0.431 0.819  0.423 0.715  0.423 0.602  0.423 0.490  0.336 0.466  0.336 0.353  0.336 0.241  0.336 0.129  0.336 0.016  0.336 -0.096  0.336 -0.208  0.336 -0.320  0.351 -0.426  0.423 -0.509  0.423 -0.621  0.423 -0.733  0.423 -0.846  0.336 -0.870  0.336 -0.982  0.266 -1.025  0.154 -1.025  0.041 -1.025  -0.071 -1.025  -0.183 -1.025  -0.295 -1.025  -0.408 -1.025  -0.520 -1.025  -0.606 -1.089  -0.708 -1.113  -0.821 -1.113  -0.933 -1.113  -1.045 -1.113  -1.070 -1.201
3#app#app31#app3140/{  0.504 1.591  0.390 1.573  0.302 1.494  0.190 1.470  0.099 1.397  0.020 1.355  -0.047 1.300  -0.141 1.236  -0.174 1.128  -0.174 1.006  -0.174 0.885  -0.174 0.764  -0.174 0.642  -0.174 0.521  -0.174 0.400  -0.174 0.384  -0.251 0.428  -0.373 0.428  -0.435 0.428  -0.314 0.428  -0.192 0.428  -0.073 0.424  0.013 0.338  0.127 0.321  0.213 0.235  0.214 0.114  0.214 -0.008  0.162 -0.108  0.076 -0.193  -0.009 -0.279  -0.103 -0.347  -0.174 -0.397  -0.241 -0.477  -0.349 -0.531  -0.368 -0.641  -0.368 -0.763  -0.368 -0.884  -0.368 -1.005  -0.271 -1.030  -0.241 -1.122  -0.136 -1.160  -0.050 -1.246  0.042 -1.316  0.164 -1.316  0.285 -1.316  0.406 -1.316  0.528 -1.316  0.649 -1.316  0.770 -1.316  0.892 -1.316
3#app#app31#app3140/}  -0.377 1.582  -0.373 1.464  -0.289 1.380  -0.264 1.271  -0.173 1.241  -0.054 1.241  0.065 1.241  0.185 1.241  0.271 1.161  0.377 1.128  0.418 1.049  0.418 0.930  0.418 0.810  0.350 0.719  0.265 0.635  0.177 0.560  0.063 0.546  -0.022 0.461  -0.037 0.348  -0.141 0.333  -0.249 0.284  -0.355 0.230  -0.444 0.152  -0.545 0.106  -0.604 0.046  -0.539 -0.008  -0.440 -0.059  -0.347 -0.121  -0.227 -0.121  -0.150 -0.164  -0.150 -0.283  -0.096 -0.349  -0.037 -0.409  0.030 -0.462  0.149 -0.462  0.191 -0.540  0.274 -0.576  0.304 -0.665  0.304 -0.785  0.304 -0.904  0.304 -1.024  0.304 -1.143  0.299 -1.257  0.191 -1.269  0.178 -1.383  0.094 -1.468  0.077 -1.580  -0.025 -1.598  -0.037 -1.705  -0.037 -1.825
3#app#app31#app3140/\\  -0.810 1.083  -0.810 1.160  -0.853 1.195  -0.922 1.187  -0.922 1.110  -0.872 1.083  -0.810 1.068  -0.810 0.991  -0.770 0.931  -0.715 0.877  -0.699 0.807  -0.685 0.735  -0.631 0.681  -0.577 0.627  -0.522 0.572  -0.476 0.514  -0.476 0.437  -0.438 0.376  -0.383 0.322  -0.329 0.268  -0.275 0.213  -0.220 0.159  -0.166 0.104  -0.112 0.050  -0.057 -0.004  -0.030 -0.070  -0.027 -0.146  0.027 -0.200  0.082 -0.255  0.136 -0.309  0.190 -0.363  0.245 -0.418  0.299 -0.472  0.374 -0.478  0.440 -0.502  0.495 -0.556  0.549 -0.611  0.604 -0.665  0.658 -0.719  0.712 -0.774  0.767 -0.828  0.821 -0.883  0.881 -0.923  0.958 -0.923  0.973 -0.985  1.000 -1.035  1.077 -1.035  1.085 -1.104  1.050 -1.146  0.973 -1.146
3#app#app31#app3140/,  0.762 1.460  0.762 1.381  0.762 1.302  0.757 1.228  0.679 1.228  0.600 1.228  0.531 1.219  0.531 1.141  0.531 1.062  0.531 0.983  0.531 0.905  0.531 0.826  0.518 0.753  0.462 0.697  0.407 0.641  0.351 0.586  0.295 0.530  0.240 0.475  0.184 0.419  0.128 0.363  0.073 0.308  0.068 0.231  0.068 0.153  0.068 0.074  0.014 0.018  -0.042 -0.038  -0.097 -0.094  -0.153 -0.149  -0.163 -0.224  -0.163 -0.302  -0.163 -0.381  -0.212 -0.439  -0.267 -0.495  -0.323 -0.551  -0.379 -0.606  -0.395 -0.678  -0.395 -0.757  -0.395 -0.836  -0.455 -0.854  -0.534 -0.854  -0.612 -0.854  -0.626 -0.919  -0.626 -0.997  -0.626 -1.076  -0.626 -1.155  -0.626 -1.233  -0.626 -1.312  -0.626 -1.391  -0.626 -1.469  -0.626 -1.548
3#app#app31#app3140/  0.958 0.716  1.041 0.716  1.082 0.759  1.080 0.840  0.996 0.840  0.958 0.885  0.953 0.964  0.870 0.964  0.786 0.964  0.704 0.959  0.645 0.900  0.586 0.841  0.585 0.758  0.544 0.716  0.461 0.715  0.461 0.632  0.430 0.561  0.371 0.502  0.312 0.443  0.253 0.384  0.212 0.317  0.212 0.233  0.143 0.219  0.068 0.199  0.009 0.140  -0.050 0.080  -0.109 0.021  -0.160 -0.041  -0.160 -0.125  -0.209 -0.178  -0.284 -0.215  -0.359 -0.253  -0.409 -0.305  -0.409 -0.389  -0.459 -0.452  -0.518 -0.511  -0.577 -0.570  -0.636 -0.629  -0.695 -0.688  -0.754 -0.747  -0.813 -0.806  -0.872 -0.866  -0.906 -0.935  -0.906 -1.019  -0.906 -1.102  -0.906 -1.186  -0.906 -1.269  -0.906 -1.353  -0.906 -1.355  -0.906 -1.272
3#app#app31#app3140/?  -0.547 0.963  -0.537 1.067  -0.443 1.088  -0.411 1.171  -0.297 1.171  -0.182 1.171  -0.067 1.171  0.048 1.171  0.163 1.171  0.277 1.171  0.389 1.168  0.403 1.067  0.510 1.050  0.592 0.969  0.596 0.857  0.514 0.776  0.433 0.695  0.352 0.614  0.265 0.547  0.159 0.525  0.078 0.444  -0.003 0.363  -0.108 0.339  -0.196 0.274  -0.235 0.176  -0.305 0.130  -0.339 0.050  -0.339 -0.065  -0.339 -0.179  -0.260 -0.261  -0.179 -0.342  -0.098 -0.424  -0.016 -0.505  0.065 -0.586  0.174 -0.598  0.184 -0.705  0.265 -0.786  0.242 -0.881  0.185 -0.981  0.128 -1.080  0.071 -1.180  0.015 -1.280  -0.042 -1.379  -0.099 -1.479  -0.182 -1.535  -0.235 -1.473  -0.235 -1.359  -0.153 -1.327  -0.131 -1.420  -0.131 -1.535
3#app#app31#app3140/'  0.272 0.295  0.409 0.295  0.545 0.295  0.681 0.295  0.817 0.295  0.704 0.295  0.567 0.295  0.431 0.295  0.295 0.295  0.272 0.409  0.272 0.545  0.272 0.681  0.272 0.817  0.170 0.851  0.034 0.851  -0.102 0.851  -0.238 0.851  -0.284 0.942  -0.284 1.078  -0.284 1.214  -0.284 1.351  -0.284 1.328  -0.284 1.192  -0.284 1.055  -0.284 0.919  -0.284 0.783  -0.284 0.647  -0.284 0.511  -0.284 0.375  -0.284 0.238  -0.284 0.102  -0.284 -0.034  -0.284 -0.170  -0.284 -0.306  -0.284 -0.443  -0.284 -0.579  -0.284 -0.715  -0.284 -0.851  -0.284 -0.987  -0.284 -1.124  -0.284 -1.260  -0.261 -1.373  -0.125 -1.373  0.011 -1.373  0.148 -1.373  0.272 -1.385  0.272 -1.521  0.272 -1.657  0.272 -1.793  0.272 -1.929
3#app#app31#app3140/\"  -0.759 1.628  -0.759 1.461  -0.759 1.294  -0.759 1.127  -0.759 0.961  -0.759 0.794  -0.759 0.627  -0.759 0.460  -0.759 0.294  -0.759 0.127  -0.759 -0.040  -0.759 -0.207  -0.759 -0.373  -0.759 -0.540  -0.731 -0.695  -0.613 -0.813  -0.495 -0.931  -0.377 -1.049  -0.278 -1.074  -0.217 -0.919  -0.155 -0.764  -0.093 -0.609  -0.031 -0.454  0.031 -0.299  0.093 -0.145  0.155 0.010  0.217 0.165  0.279 0.320  0.341 0.475  0.403 0.629  0.465 0.784  0.527 0.939  0.588 1.094  0.618 1.082  0.618 0.916  0.618 0.749  0.618 0.582  0.618 0.415  0.618 0.249  0.618 0.082  0.618 -0.085  0.618 -0.252  0.618 -0.418  0.618 -0.585  0.618 -0.752  0.618 -0.919  0.618 -1.085  0.618 -1.252  0.618 -1.419  0.618 -1.586
3#app#app31#app3140/<  0.627 1.203  0.754 1.203  0.880 1.203  0.901 1.203  0.779 1.192  0.689 1.102  0.589 1.040  0.464 1.038  0.464 0.912  0.372 0.877  0.262 0.838  0.172 0.748  0.082 0.659  -0.007 0.569  -0.126 0.550  -0.218 0.494  -0.275 0.381  -0.331 0.268  -0.430 0.223  -0.545 0.195  -0.635 0.105  -0.742 0.059  -0.861 0.042  -0.951 -0.048  -1.007 -0.151  -1.017 -0.267  -1.144 -0.267  -1.071 -0.267  -1.007 -0.331  -0.981 -0.431  -0.854 -0.431  -0.728 -0.431  -0.601 -0.431  -0.474 -0.431  -0.350 -0.435  -0.260 -0.524  -0.162 -0.594  -0.036 -0.594  0.091 -0.594  0.194 -0.651  0.283 -0.741  0.403 -0.758  0.530 -0.758  0.648 -0.778  0.737 -0.868  0.842 -0.921  0.954 -0.936  0.954 -1.062  1.028 -1.158  1.117 -1.248
3#app#app31#app3140/|  0.084 1.278  0.084 1.351  0.084 1.425  0.084 1.498  0.018 1.506  0.008 1.442  0.008 1.369  0.008 1.295  0.008 1.222  0.008 1.148  0.008 1.075  0.008 1.001  0.008 0.928  0.008 0.854  0.008 0.781  0.008 0.707  0.008 0.634  0.008 0.561  0.008 0.487  0.008 0.414  0.008 0.340  0.008 0.267  0.008 0.193  0.008 0.120  0.008 0.046  0.008 -0.027  0.008 -0.100  0.008 -0.174  0.008 -0.247  0.008 -0.321  0.008 -0.394  0.008 -0.468  0.008 -0.541  0.008 -0.615  0.008 -0.688  0.008 -0.762  0.008 -0.835  0.008 -0.908  0.008 -0.982  0.008 -1.055  -0.030 -1.113  -0.068 -1.171  -0.068 -1.244  -0.068 -1.318  -0.068 -1.391  -0.068 -1.465  -0.068 -1.538  -0.068 -1.602  -0.068 -1.528  -0.068 -1.455
3#app#app31#app3140/>  -0.953 0.870  -0.837 0.870  -0.722 0.870  -0.606 0.870  -0.491 0.870  -0.375 0.870  -0.260 0.870  -0.162 0.826  -0.080 0.744  0.010 0.683  0.125 0.683  0.241 0.683  0.356 0.683  0.472 0.683  0.587 0.683  0.703 0.683  0.818 0.683  0.928 0.669  1.010 0.588  1.092 0.506  1.101 0.394  1.080 0.288  0.998 0.206  0.917 0.124  0.835 0.043  0.753 -0.039  0.648 -0.064  0.541 -0.073  0.541 -0.188  0.488 -0.251  0.373 -0.251  0.286 -0.320  0.204 -0.401  0.103 -0.438  -0.012 -0.438  -0.096 -0.514  -0.177 -0.596  -0.281 -0.624  -0.396 -0.627  -0.477 -0.709  -0.559 -0.791  -0.641 -0.873  -0.722 -0.954  -0.820 -0.998  -0.935 -0.998  -1.051 -0.998  -1.139 -1.025  -1.139 -1.140  -1.139 -1.256  -1.139 -1.371
