3#app#app18#app1820/f  -0.186 -1.651  -0.204 -1.849  -0.384 -1.813  -0.384 -1.597  -0.384 -1.381  -0.384 -1.165  -0.492 -1.057  -0.582 -0.931  -0.582 -0.715  -0.582 -0.499  -0.582 -0.283  -0.581 -0.067  -0.384 -0.049  -0.384 0.167  -0.329 0.329  -0.186 0.401  -0.095 0.527  0.012 0.635  0.102 0.814  0.273 0.922  0.465 0.980  0.623 1.120  0.804 1.155  0.857 1.318  1.002 1.248  1.091 1.120  1.117 1.054  0.948 0.919  0.779 0.784  0.611 0.649  0.442 0.514  0.273 0.379  0.105 0.244  -0.064 0.109  -0.233 -0.026  -0.401 -0.161  -0.570 -0.296  -0.739 -0.431  -0.943 -0.463  -0.977 -0.282  -0.778 -0.265  -0.568 -0.251  -0.415 -0.099  -0.212 -0.067  0.004 -0.067  0.220 -0.067  0.436 -0.067  0.639 -0.035  0.792 0.118  1.002 0.131
3#app#app18#app1820/e  -0.443 0.057  -0.640 0.057  -0.637 0.057  -0.440 0.057  -0.244 0.057  -0.047 0.057  0.150 0.057  0.346 0.057  0.437 0.162  0.446 0.350  0.643 0.350  0.731 0.459  0.731 0.655  0.731 0.852  0.620 0.937  0.437 0.952  0.437 1.149  0.323 1.231  0.126 1.231  -0.070 1.231  -0.150 1.114  -0.170 0.937  -0.367 0.937  -0.443 0.817  -0.467 0.644  -0.663 0.644  -0.737 0.521  -0.737 0.324  -0.737 0.127  -0.826 -0.032  -0.965 -0.171  -1.031 -0.341  -1.023 -0.530  -0.827 -0.530  -0.737 -0.638  -0.727 -0.824  -0.530 -0.824  -0.366 -0.902  -0.227 -1.041  -0.062 -1.118  0.135 -1.118  0.332 -1.118  0.528 -1.118  0.725 -1.118  0.731 -0.927  0.825 -0.824  1.022 -0.824  1.218 -0.824  1.318 -0.727  1.318 -0.530
3#app#app18#app1820/r  -0.239 0.372  -0.239 0.537  -0.239 0.702  -0.239 0.867  -0.273 0.998  -0.438 0.998  -0.552 0.947  -0.552 0.782  -0.552 0.617  -0.552 0.452  -0.552 0.287  -0.552 0.121  -0.552 -0.044  -0.552 -0.209  -0.552 -0.374  -0.552 -0.539  -0.552 -0.704  -0.552 -0.870  -0.552 -1.035  -0.552 -1.200  -0.552 -1.365  -0.552 -1.487  -0.552 -1.322  -0.552 -1.157  -0.552 -0.991  -0.496 -0.882  -0.331 -0.882  -0.239 -0.809  -0.239 -0.644  -0.239 -0.479  -0.239 -0.314  -0.163 -0.180  -0.047 -0.063  0.070 0.054  0.075 0.217  0.085 0.372  0.251 0.372  0.388 0.399  0.388 0.565  0.433 0.685  0.598 0.685  0.763 0.685  0.928 0.685  1.093 0.685  1.259 0.685  1.396 0.617  1.512 0.500  1.629 0.384  1.641 0.223  1.641 0.058
3#app#app18#app1820/w  -0.743 0.691  -0.905 0.691  -0.935 0.825  -0.935 0.780  -0.988 0.639  -1.103 0.523  -1.127 0.371  -1.127 0.208  -1.196 0.114  -1.320 0.074  -1.313 -0.086  -1.198 -0.201  -1.127 -0.335  -1.093 -0.463  -0.930 -0.463  -0.767 -0.463  -0.604 -0.463  -0.442 -0.463  -0.302 -0.407  -0.187 -0.292  -0.165 -0.138  -0.062 -0.079  0.027 -0.005  0.027 0.158  0.027 0.321  0.027 0.484  0.027 0.351  0.027 0.188  0.027 0.025  0.027 -0.138  0.057 -0.271  0.220 -0.272  0.220 -0.434  0.354 -0.463  0.412 -0.568  0.487 -0.656  0.650 -0.656  0.808 -0.645  0.923 -0.529  1.039 -0.414  1.154 -0.299  1.305 -0.271  1.374 -0.177  1.374 -0.014  1.374 0.149  1.374 0.312  1.374 0.475  1.374 0.637  1.297 0.768  1.182 0.884
3#app#app18#app1820/h  -0.261 1.089  -0.261 1.250  -0.261 1.410  -0.261 1.571  -0.350 1.643  -0.445 1.578  -0.445 1.417  -0.445 1.257  -0.445 1.096  -0.445 0.935  -0.445 0.775  -0.445 0.614  -0.445 0.454  -0.445 0.293  -0.445 0.133  -0.445 -0.028  -0.445 -0.188  -0.445 -0.349  -0.445 -0.510  -0.445 -0.670  -0.445 -0.831  -0.445 -0.991  -0.473 -1.124  -0.627 -1.121  -0.513 -1.007  -0.445 -0.875  -0.445 -0.714  -0.433 -0.559  -0.320 -0.445  -0.261 -0.309  -0.223 -0.164  -0.110 -0.050  -0.076 0.096  0.013 0.167  0.174 0.167  0.334 0.167  0.495 0.167  0.655 0.167  0.661 0.013  0.792 -0.017  0.846 -0.124  0.929 -0.202  1.030 -0.261  1.030 -0.421  1.030 -0.582  1.030 -0.742  1.030 -0.903  0.942 -1.027  0.870 -1.124  1.030 -1.124
3#app#app18#app1820/i  -0.241 -0.433  -0.241 -0.277  -0.241 -0.120  -0.197 -0.006  -0.040 -0.006  0.117 -0.006  0.187 0.081  0.187 0.238  0.187 0.395  0.187 0.552  0.187 0.709  0.169 0.848  0.012 0.848  -0.145 0.848  -0.241 0.909  -0.241 1.066  -0.241 1.223  -0.345 1.275  -0.502 1.275  -0.659 1.275  -0.520 1.275  -0.363 1.275  -0.241 1.240  -0.241 1.083  -0.241 0.926  -0.241 0.770  -0.241 0.613  -0.241 0.456  -0.241 0.299  -0.241 0.142  -0.232 -0.006  -0.075 -0.006  0.082 -0.006  0.187 -0.059  0.187 -0.215  0.187 -0.372  0.187 -0.529  0.187 -0.686  0.187 -0.843  0.187 -1.000  0.187 -1.157  0.187 -1.314  0.187 -1.471  0.187 -1.628  0.256 -1.715  0.413 -1.715  0.570 -1.715  0.614 -1.602  0.614 -1.445  0.614 -1.288
3#app#app18#app1820/l  0.111 0.924  0.111 1.005  0.111 1.086  0.111 1.167  0.111 1.249  0.111 1.330  0.047 1.347  -0.035 1.347  -0.100 1.331  -0.100 1.250  -0.100 1.168  -0.100 1.087  -0.100 1.006  -0.100 0.925  -0.043 0.867  0.014 0.809  0.072 0.752  0.111 0.687  0.111 0.606  0.111 0.525  0.111 0.444  0.111 0.362  0.111 0.281  0.111 0.200  0.111 0.118  0.111 0.037  0.111 -0.044  0.111 -0.125  0.111 -0.207  0.111 -0.288  0.094 -0.362  0.037 -0.419  -0.021 -0.477  -0.078 -0.534  -0.100 -0.606  -0.100 -0.688  -0.100 -0.769  -0.100 -0.850  -0.100 -0.931  -0.100 -1.013  -0.100 -1.094  -0.100 -1.175  -0.100 -1.256  -0.100 -1.338  -0.100 -1.419  -0.100 -1.500  -0.100 -1.581  -0.100 -1.663  -0.100 -1.744  -0.100 -1.825
3#app#app18#app1820/e  -0.630 -0.092  -0.630 0.113  -0.489 0.176  -0.363 0.098  -0.348 -0.092  -0.144 -0.092  0.060 -0.092  0.264 -0.092  0.469 -0.092  0.673 -0.092  0.707 0.078  0.814 0.176  0.974 0.219  0.974 0.423  0.974 0.628  0.853 0.711  0.707 0.769  0.707 0.973  0.508 0.978  0.344 1.074  0.199 1.218  0.006 1.245  -0.198 1.245  -0.363 1.206  -0.363 1.002  -0.543 0.978  -0.630 0.861  -0.630 0.657  -0.630 0.453  -0.825 0.443  -0.897 0.312  -0.897 0.107  -0.897 -0.097  -0.897 -0.301  -0.897 -0.505  -0.814 -0.626  -0.630 -0.646  -0.630 -0.850  -0.469 -0.894  -0.265 -0.894  -0.095 -0.928  -0.095 -1.132  0.080 -1.161  0.284 -1.161  0.488 -1.161  0.693 -1.161  0.707 -0.972  0.834 -0.894  0.974 -0.957  0.974 -1.161
3#app#app18#app1820/d  0.113 -0.609  0.291 -0.609  0.113 -0.523  0.243 -0.389  0.212 -0.267  0.113 -0.043  -0.054 0.053  -0.318 0.053  -0.582 0.053  -0.770 -0.022  -0.889 -0.168  -0.991 -0.330  -0.991 -0.594  -0.964 -0.830  -0.770 -0.901  -0.657 -1.051  -0.393 -1.051  -0.129 -1.051  0.136 -1.051  0.400 -1.051  0.555 -1.160  0.532 -1.122  0.492 -0.861  0.452 -0.600  0.412 -0.339  0.372 -0.078  0.331 0.182  0.291 0.443  0.251 0.704  0.211 0.965  0.171 1.226  0.131 1.487  0.264 1.600  0.141 1.600  0.113 1.836  0.113 1.983  0.113 1.718  0.113 1.454  0.113 1.190  0.113 0.926  0.113 0.662  0.113 0.398  0.113 0.134  -0.070 0.053  -0.108 -0.173  -0.108 -0.437  -0.108 -0.701  0.027 -0.830  0.291 -0.830  0.334 -1.051
3#app#app18#app1820/r  -0.383 0.645  -0.217 0.645  -0.052 0.645  -0.051 0.810  -0.051 0.975  -0.214 0.978  -0.380 0.978  -0.383 0.816  -0.383 0.650  -0.383 0.484  -0.383 0.319  -0.383 0.153  -0.383 -0.013  -0.383 -0.178  -0.383 -0.344  -0.383 -0.509  -0.383 -0.675  -0.383 -0.841  -0.383 -1.006  -0.383 -1.172  -0.383 -1.338  -0.383 -1.503  -0.383 -1.669  -0.383 -1.529  -0.383 -1.363  -0.383 -1.198  -0.383 -1.032  -0.383 -0.866  -0.383 -0.701  -0.383 -0.535  -0.383 -0.369  -0.383 -0.204  -0.383 -0.038  -0.279 0.084  -0.162 0.202  -0.051 0.321  -0.051 0.487  -0.044 0.645  0.122 0.645  0.288 0.645  0.453 0.645  0.619 0.645  0.784 0.645  0.950 0.645  1.116 0.645  1.281 0.645  1.447 0.645  1.611 0.644  1.611 0.479  1.611 0.313
3#app#app18#app1820/i  0.227 1.125  0.227 1.222  0.227 1.319  0.227 1.416  0.227 1.513  0.227 1.432  0.227 1.335  0.227 1.238  0.227 1.141  0.146 1.125  0.049 1.125  -0.049 1.125  -0.146 1.125  -0.170 1.052  -0.170 0.955  -0.170 0.858  -0.170 0.761  -0.170 0.664  -0.170 0.566  -0.170 0.469  -0.170 0.372  -0.170 0.275  -0.170 0.178  -0.170 0.081  -0.170 -0.016  -0.170 -0.113  -0.170 -0.210  -0.170 -0.307  -0.170 -0.405  -0.170 -0.502  -0.170 -0.599  -0.170 -0.696  -0.170 -0.793  -0.170 -0.890  -0.170 -0.987  -0.170 -1.084  -0.170 -1.181  -0.146 -1.254  -0.049 -1.254  0.049 -1.254  0.146 -1.254  0.227 -1.238  0.227 -1.141  0.227 -1.044  0.227 -0.947  0.227 -0.866  0.227 -0.963  0.227 -1.060  0.227 -1.157  0.227 -1.254
3#app#app18#app1820/n  -1.138 0.555  -0.990 0.555  -0.842 0.555  -0.821 0.429  -0.821 0.281  -0.821 0.132  -0.821 -0.016  -0.821 -0.164  -0.821 -0.312  -0.821 -0.460  -0.821 -0.608  -0.821 -0.756  -0.821 -0.904  -0.821 -1.016  -0.821 -0.868  -0.821 -0.720  -0.821 -0.572  -0.821 -0.424  -0.698 -0.399  -0.550 -0.399  -0.503 -0.298  -0.503 -0.149  -0.423 -0.081  -0.275 -0.081  -0.185 -0.023  -0.185 0.125  -0.159 0.263  -0.055 0.367  0.050 0.472  0.155 0.577  0.259 0.681  0.364 0.786  0.476 0.873  0.624 0.873  0.772 0.873  0.921 0.873  1.069 0.873  1.087 0.743  1.087 0.595  1.087 0.447  1.087 0.299  1.087 0.150  1.087 0.002  1.087 -0.146  1.087 -0.294  1.087 -0.442  1.087 -0.590  1.087 -0.738  1.087 -0.886  1.087 -1.034
3#app#app18#app1820/k  -0.275 1.316  -0.300 1.530  -0.489 1.580  -0.489 1.669  -0.489 1.430  -0.489 1.191  -0.489 0.952  -0.489 0.713  -0.489 0.474  -0.500 0.246  -0.703 0.210  -0.703 -0.029  -0.703 -0.268  -0.703 -0.507  -0.703 -0.746  -0.703 -0.985  -0.658 -0.858  -0.600 -0.626  -0.542 -0.394  -0.489 -0.202  -0.444 -0.396  -0.275 -0.466  -0.180 -0.610  -0.061 -0.730  0.041 -0.926  0.234 -1.038  0.367 -1.144  0.498 -1.252  0.581 -1.408  0.613 -1.288  0.656 -1.053  0.699 -0.817  0.741 -0.582  0.784 -0.347  0.827 -0.112  0.870 0.123  0.912 0.358  0.955 0.593  0.998 0.828  1.009 0.710  0.806 0.674  0.581 0.660  0.542 0.460  0.303 0.460  0.153 0.371  0.039 0.246  -0.061 0.107  -0.225 0.032  -0.464 0.032  -0.489 -0.182
3#app#app18#app1820/i  0.717 0.922  0.632 0.922  0.546 0.922  0.461 0.922  0.375 0.922  0.330 0.963  0.330 1.048  0.330 1.133  0.330 1.219  0.330 1.304  0.330 1.228  0.330 1.142  0.330 1.057  0.330 0.971  0.305 0.896  0.244 0.836  0.184 0.775  0.123 0.715  0.063 0.655  0.003 0.594  -0.056 0.533  -0.056 0.448  -0.056 0.362  -0.056 0.277  -0.056 0.191  -0.056 0.106  -0.056 0.020  -0.056 -0.065  -0.056 -0.151  -0.056 -0.236  -0.056 -0.322  -0.056 -0.407  -0.056 -0.493  -0.056 -0.578  -0.084 -0.652  -0.144 -0.713  -0.204 -0.773  -0.265 -0.834  -0.325 -0.894  -0.386 -0.955  -0.443 -1.016  -0.443 -1.102  -0.443 -1.187  -0.443 -1.273  -0.443 -1.358  -0.443 -1.444  -0.443 -1.529  -0.443 -1.615  -0.443 -1.700  -0.443 -1.785
3#app#app18#app1820/n  -0.342 0.419  -0.342 0.602  -0.342 0.786  -0.342 0.970  -0.342 1.026  -0.342 0.842  -0.438 0.754  -0.621 0.754  -0.678 0.627  -0.678 0.443  -0.678 0.259  -0.678 0.076  -0.678 -0.108  -0.678 -0.292  -0.678 -0.476  -0.749 -0.588  -0.933 -0.588  -1.013 -0.691  -1.013 -0.875  -0.878 -0.923  -0.694 -0.923  -0.678 -0.756  -0.667 -0.577  -0.537 -0.447  -0.407 -0.317  -0.342 -0.160  -0.342 0.023  -0.254 0.171  -0.125 0.301  -0.006 0.435  -0.006 0.619  0.042 0.754  0.226 0.754  0.409 0.754  0.593 0.754  0.777 0.754  0.961 0.754  1.000 0.610  1.000 0.426  1.000 0.243  1.000 0.059  1.000 -0.125  1.000 -0.308  1.000 -0.492  1.000 -0.676  1.000 -0.860  1.000 -1.043  1.000 -1.227  1.152 -1.259  1.336 -1.259
3#app#app18#app1820/g  -0.050 0.952  0.142 0.952  0.226 1.061  0.202 1.229  0.009 1.229  -0.183 1.229  -0.238 1.090  -0.430 1.090  -0.485 0.952  -0.603 0.878  -0.603 0.686  -0.421 0.676  -0.327 0.577  -0.174 0.537  -0.002 0.586  0.154 0.676  0.226 0.796  0.364 0.850  0.364 1.043  0.364 1.222  0.364 1.030  0.364 0.837  0.364 0.644  0.364 0.452  0.363 0.260  0.227 0.124  0.226 -0.068  0.226 -0.261  0.226 -0.453  0.226 -0.646  0.226 -0.838  0.226 -1.031  0.226 -1.223  0.208 -1.398  0.088 -1.470  0.088 -1.663  -0.050 -1.632  -0.147 -1.536  -0.327 -1.523  -0.374 -1.350  -0.465 -1.195  -0.465 -1.003  -0.465 -0.810  -0.465 -0.618  -0.322 -0.568  -0.189 -0.509  -0.075 -0.430  0.118 -0.430  0.310 -0.430  0.364 -0.568
