2#tos#t3#t3010064/!  0.062 1.635  -0.016 1.635  -0.026 1.655  -0.026 1.576  -0.026 1.498  -0.026 1.420  -0.026 1.341  -0.026 1.263  -0.026 1.185  -0.026 1.107  -0.026 1.028  -0.026 0.950  -0.026 0.872  -0.026 0.793  -0.026 0.715  -0.026 0.637  -0.026 0.559  -0.026 0.480  -0.026 0.402  -0.026 0.324  -0.026 0.245  -0.026 0.167  -0.026 0.089  -0.026 0.011  -0.026 -0.068  -0.026 -0.146  -0.026 -0.224  -0.026 -0.303  -0.026 -0.381  -0.026 -0.459  -0.026 -0.417  -0.025 -0.352  -0.016 -0.429  -0.007 -0.507  0.002 -0.585  0.011 -0.663  0.020 -0.740  0.029 -0.818  0.038 -0.896  0.047 -0.974  0.056 -1.051  0.065 -1.129  0.074 -1.207  0.083 -1.285  0.092 -1.363  0.101 -1.440  0.077 -1.489  0.018 -1.509  0.009 -1.577  0.018 -1.577
2#tos#t3#t3010064/=  -0.665 1.131  -0.815 1.116  -0.815 0.951  -0.740 0.861  -0.605 0.832  -0.441 0.831  -0.351 0.757  -0.186 0.757  -0.022 0.757  0.143 0.757  0.307 0.757  0.467 0.728  0.624 0.682  0.789 0.682  0.953 0.682  0.857 0.617  0.712 0.539  0.567 0.461  0.422 0.383  0.278 0.305  0.133 0.227  -0.012 0.149  -0.157 0.071  -0.302 -0.007  -0.447 -0.085  -0.591 -0.163  -0.736 -0.241  -0.881 -0.319  -0.964 -0.434  -1.066 -0.520  -1.127 -0.663  -1.235 -0.663  -1.070 -0.663  -0.906 -0.663  -0.741 -0.663  -0.577 -0.663  -0.412 -0.663  -0.248 -0.663  -0.083 -0.663  0.081 -0.663  0.246 -0.663  0.410 -0.663  0.575 -0.663  0.739 -0.663  0.904 -0.663  1.068 -0.663  1.233 -0.663  1.397 -0.663  1.562 -0.663  1.726 -0.663
2#tos#t3#t3010064/{  0.529 1.295  0.529 1.230  0.529 1.335  0.425 1.337  0.319 1.337  0.214 1.337  0.109 1.337  0.018 1.322  -0.051 1.260  -0.109 1.206  -0.152 1.143  -0.152 1.038  -0.152 0.933  -0.152 0.827  -0.089 0.784  -0.067 0.701  -0.024 0.614  -0.024 0.508  0.018 0.445  0.018 0.340  0.018 0.234  0.018 0.129  0.018 0.024  0.018 -0.082  0.018 -0.187  -0.081 -0.194  -0.109 -0.117  -0.152 -0.054  -0.094 0.019  -0.067 -0.059  -0.024 -0.122  -0.024 -0.227  -0.036 -0.321  -0.067 -0.396  -0.067 -0.501  -0.067 -0.606  -0.109 -0.669  -0.109 -0.775  -0.109 -0.880  -0.109 -0.986  -0.109 -1.091  -0.109 -1.196  -0.152 -1.259  -0.152 -1.365  -0.151 -1.469  -0.109 -1.533  -0.068 -1.597  0.018 -1.641  0.083 -1.682  0.146 -1.724
2#tos#t3#t3010064/}  -0.074 1.320  -0.156 1.279  -0.238 1.238  -0.198 1.258  -0.110 1.274  -0.064 1.320  0.018 1.329  0.073 1.366  0.157 1.359  0.157 1.267  0.157 1.176  0.157 1.084  0.157 0.992  0.157 0.901  0.155 0.810  0.090 0.746  0.064 0.665  0.064 0.573  0.026 0.497  0.018 0.409  0.018 0.318  0.018 0.226  0.018 0.135  0.018 0.043  0.018 -0.048  0.018 -0.140  0.064 -0.185  0.092 -0.249  0.184 -0.249  0.131 -0.249  0.064 -0.274  0.040 -0.341  -0.028 -0.365  -0.028 -0.457  -0.028 -0.548  -0.028 -0.640  -0.028 -0.731  -0.028 -0.823  -0.028 -0.914  -0.028 -1.006  -0.028 -1.097  -0.028 -1.189  -0.028 -1.280  -0.028 -1.372  -0.028 -1.463  -0.082 -1.521  -0.120 -1.589  -0.168 -1.633  -0.259 -1.633  -0.305 -1.587
2#tos#t3#t3010064/~  -1.162 0.252  -1.243 0.217  -1.313 0.171  -1.325 0.276  -1.325 0.392  -1.232 0.415  -1.162 0.462  -1.080 0.497  -1.056 0.603  -0.967 0.676  -0.862 0.728  -0.751 0.745  -0.667 0.822  -0.550 0.822  -0.511 0.746  -0.399 0.741  -0.319 0.683  -0.267 0.579  -0.266 0.462  -0.266 0.346  -0.244 0.252  -0.144 0.212  -0.104 0.112  -0.095 -0.001  -0.022 -0.087  -0.022 -0.203  -0.022 -0.320  -0.022 -0.436  -0.022 -0.552  0.003 -0.643  0.059 -0.704  0.155 -0.725  0.257 -0.759  0.354 -0.806  0.470 -0.806  0.586 -0.806  0.703 -0.806  0.787 -0.729  0.869 -0.647  0.903 -0.562  1.019 -0.562  1.125 -0.517  1.199 -0.447  1.247 -0.351  1.280 -0.248  1.280 -0.132  1.280 -0.015  1.280 0.101  1.280 0.217  1.280 0.334
2#tos#t3#t3010064/0  0.674 0.913  0.752 0.834  0.754 0.989  0.674 1.114  0.587 1.229  0.430 1.229  0.352 1.308  0.195 1.308  0.062 1.250  -0.086 1.229  -0.117 1.103  -0.205 0.983  -0.275 0.855  -0.371 0.738  -0.433 0.606  -0.481 0.469  -0.591 0.358  -0.591 0.201  -0.626 0.052  -0.670 -0.094  -0.670 -0.251  -0.670 -0.408  -0.670 -0.565  -0.749 -0.643  -0.749 -0.799  -0.635 -0.863  -0.591 -1.001  -0.591 -1.158  -0.499 -1.223  -0.354 -1.235  -0.264 -1.302  -0.107 -1.302  -0.029 -1.223  0.128 -1.223  0.200 -1.138  0.283 -1.065  0.416 -1.007  0.437 -0.858  0.437 -0.701  0.437 -0.544  0.437 -0.388  0.516 -0.310  0.516 -0.153  0.516 0.004  0.516 0.161  0.437 0.285  0.437 0.442  0.435 0.597  0.278 0.597  0.121 0.597
2#tos#t3#t3010064/4  0.434 1.321  0.326 1.292  0.257 1.252  0.131 1.072  0.025 0.906  -0.085 0.709  -0.266 0.567  -0.433 0.422  -0.530 0.259  -0.595 0.073  -0.701 -0.104  -0.874 -0.259  -0.974 -0.464  -1.137 -0.580  -1.062 -0.630  -0.828 -0.630  -0.595 -0.630  -0.429 -0.738  -0.196 -0.745  0.029 -0.792  0.260 -0.806  0.487 -0.846  0.720 -0.846  0.906 -0.769  0.925 -0.604  0.842 -0.386  0.758 -0.168  0.675 0.050  0.592 0.268  0.509 0.486  0.426 0.704  0.343 0.922  0.260 1.140  0.177 1.358  0.099 1.497  0.055 1.269  -0.054 1.103  -0.054 0.869  -0.054 0.636  -0.054 0.403  -0.054 0.170  -0.054 -0.064  -0.054 -0.297  -0.054 -0.530  -0.054 -0.763  -0.054 -0.997  0.001 -1.176  0.001 -1.409  0.001 -1.642  0.001 -1.876
2#tos#t3#t3010064/6  0.612 1.666  0.556 1.660  0.454 1.722  0.298 1.674  0.177 1.568  0.061 1.453  -0.048 1.360  -0.114 1.221  -0.185 1.085  -0.232 0.933  -0.281 0.805  -0.401 0.728  -0.401 0.565  -0.401 0.401  -0.457 0.251  -0.457 0.088  -0.505 -0.046  -0.570 -0.170  -0.570 -0.333  -0.570 -0.497  -0.626 -0.637  -0.580 -0.754  -0.570 -0.907  -0.479 -0.979  -0.401 -1.065  -0.321 -1.148  -0.157 -1.148  -0.007 -1.162  0.113 -1.205  0.277 -1.205  0.387 -1.151  0.524 -1.067  0.612 -0.940  0.702 -0.867  0.724 -0.726  0.724 -0.562  0.724 -0.399  0.724 -0.236  0.718 -0.079  0.612 -0.021  0.503 0.034  0.363 0.090  0.256 0.146  0.093 0.146  -0.063 0.139  -0.178 0.090  -0.232 -0.019  -0.378 -0.056  -0.457 -0.197  -0.570 -0.248
2#tos#t3#t3010064/7  -0.503 0.948  -0.638 0.948  -0.639 0.815  -0.639 0.681  -0.639 0.547  -0.639 0.413  -0.639 0.279  -0.639 0.145  -0.684 0.056  -0.654 0.164  -0.622 0.294  -0.589 0.424  -0.557 0.554  -0.524 0.684  -0.552 0.767  -0.592 0.767  -0.458 0.767  -0.324 0.767  -0.189 0.767  -0.055 0.767  0.079 0.767  0.213 0.767  0.347 0.767  0.481 0.767  0.579 0.679  0.671 0.636  0.790 0.604  0.717 0.541  0.717 0.407  0.626 0.363  0.558 0.270  0.506 0.166  0.459 0.040  0.446 -0.092  0.446 -0.226  0.400 -0.341  0.400 -0.476  0.310 -0.554  0.310 -0.688  0.279 -0.817  0.225 -0.940  0.220 -1.073  0.185 -1.199  0.174 -1.330  0.129 -1.454  0.129 -1.588  0.129 -1.722  0.126 -1.854  0.084 -1.945  0.039 -2.034
2#tos#t3#t3010064/B  -0.335 1.316  -0.442 1.109  -0.442 0.826  -0.442 0.543  -0.442 0.259  -0.389 -0.001  -0.389 -0.285  -0.394 -0.565  -0.496 -0.806  -0.492 -0.994  -0.473 -0.712  -0.453 -0.429  -0.433 -0.147  -0.414 0.135  -0.394 0.418  -0.374 0.700  -0.355 0.983  -0.338 1.263  -0.437 1.155  -0.162 1.188  0.063 1.263  0.346 1.263  0.614 1.225  0.786 1.005  0.844 0.776  0.717 0.546  0.492 0.405  0.369 0.244  0.086 0.244  -0.121 0.137  -0.332 0.005  -0.544 -0.077  -0.283 -0.024  -0.057 0.040  0.207 0.084  0.437 0.137  0.683 0.100  0.842 -0.024  0.945 -0.232  0.951 -0.512  0.942 -0.793  0.898 -1.066  0.702 -1.167  0.502 -1.331  0.255 -1.386  0.003 -1.417  -0.227 -1.471  -0.510 -1.471  -0.749 -1.363  -0.764 -1.095
2#tos#t3#t3010064/F  -0.415 1.051  -0.532 0.921  -0.333 0.921  -0.153 0.964  0.042 0.986  0.232 1.026  0.389 1.139  0.585 1.152  0.778 1.182  0.977 1.182  0.916 1.051  0.718 1.043  0.519 1.035  0.321 1.028  0.123 1.020  -0.075 1.013  -0.266 0.973  -0.327 0.830  -0.327 0.631  -0.283 0.440  -0.240 0.249  -0.240 0.050  -0.240 -0.148  -0.240 -0.347  -0.240 -0.545  -0.240 -0.743  -0.240 -0.942  -0.231 -1.137  -0.153 -1.303  -0.153 -1.501  -0.153 -1.699  -0.182 -1.869  -0.197 -1.685  -0.197 -1.487  -0.197 -1.288  -0.197 -1.090  -0.197 -0.892  -0.197 -0.693  -0.197 -0.495  -0.197 -0.296  -0.197 -0.098  -0.335 -0.125  -0.295 -0.213  -0.097 -0.213  0.102 -0.213  0.300 -0.213  0.463 -0.234  0.471 -0.111  0.370 -0.096  0.457 -0.213
2#tos#t3#t3010064/G  0.596 0.846  0.497 0.671  0.497 0.797  0.497 1.072  0.397 1.277  0.290 1.445  0.015 1.445  -0.230 1.355  -0.400 1.147  -0.580 0.966  -0.713 0.734  -0.800 0.495  -0.950 0.328  -1.010 0.076  -1.099 -0.169  -1.149 -0.423  -1.099 -0.686  -0.994 -0.877  -0.819 -1.079  -0.553 -1.099  -0.278 -1.099  -0.028 -1.016  0.197 -0.925  0.344 -0.758  0.547 -0.654  0.359 -0.482  0.127 -0.336  -0.106 -0.189  -0.339 -0.043  -0.571 0.104  -0.803 0.244  -0.940 0.098  -0.715 0.048  -0.440 0.048  -0.165 0.048  0.098 0.098  0.373 0.098  0.636 0.148  0.911 0.148  1.186 0.148  1.461 0.148  1.304 0.080  1.034 0.026  0.765 -0.028  0.494 -0.055  0.447 -0.310  0.447 -0.585  0.420 -0.854  0.397 -1.123  0.447 -1.348
2#tos#t3#t3010064/H  -0.533 0.936  -0.728 0.939  -0.728 0.834  -0.728 0.637  -0.728 0.439  -0.728 0.242  -0.733 0.046  -0.776 -0.144  -0.786 -0.337  -0.845 -0.513  -0.922 -0.692  -0.922 -0.889  -1.020 -1.026  -1.002 -1.087  -0.950 -0.897  -0.899 -0.707  -0.848 -0.516  -0.797 -0.326  -0.745 -0.136  -0.694 0.055  -0.734 0.110  -0.585 0.158  -0.400 0.207  -0.202 0.207  -0.005 0.207  0.143 0.256  0.340 0.256  0.527 0.300  0.723 0.304  0.876 0.348  0.925 0.307  0.828 0.402  0.828 0.599  0.828 0.796  0.828 0.993  0.817 1.082  0.682 1.020  0.682 0.823  0.682 0.626  0.682 0.428  0.682 0.231  0.682 0.034  0.682 -0.163  0.734 -0.339  0.779 -0.529  0.779 -0.726  0.828 -0.903  0.828 -1.100  0.828 -1.297  0.828 -1.494
2#tos#t3#t3010064/I  -0.292 1.168  -0.384 1.121  -0.480 1.106  -0.480 0.995  -0.384 0.980  -0.273 0.980  -0.162 0.980  -0.050 0.980  0.061 0.980  0.131 1.021  0.189 1.074  0.301 1.074  0.412 1.074  0.413 1.059  0.366 0.994  0.269 0.980  0.158 0.980  0.131 0.896  0.037 0.879  0.037 0.768  -0.010 0.676  -0.010 0.565  -0.010 0.453  -0.010 0.342  -0.010 0.231  -0.010 0.120  -0.010 0.008  -0.010 -0.103  -0.010 -0.214  -0.010 -0.325  -0.013 -0.436  -0.057 -0.536  -0.057 -0.648  -0.104 -0.739  -0.104 -0.851  -0.104 -0.962  -0.104 -1.073  -0.104 -1.184  -0.123 -1.277  -0.214 -1.324  -0.326 -1.324  -0.288 -1.277  -0.177 -1.277  -0.066 -1.277  0.045 -1.277  0.156 -1.277  0.268 -1.277  0.379 -1.277  0.490 -1.277  0.601 -1.277
2#tos#t3#t3010064/L  -0.250 1.710  -0.334 1.669  -0.370 1.626  -0.335 1.568  -0.335 1.475  -0.292 1.399  -0.292 1.306  -0.292 1.213  -0.292 1.120  -0.292 1.026  -0.292 0.933  -0.292 0.840  -0.292 0.747  -0.292 0.654  -0.292 0.561  -0.292 0.468  -0.292 0.374  -0.292 0.281  -0.292 0.188  -0.292 0.095  -0.292 0.002  -0.292 -0.091  -0.292 -0.184  -0.292 -0.278  -0.335 -0.353  -0.335 -0.446  -0.343 -0.532  -0.393 -0.574  -0.419 -0.641  -0.419 -0.734  -0.335 -0.743  -0.257 -0.707  -0.166 -0.701  -0.073 -0.701  0.020 -0.701  0.113 -0.701  0.206 -0.701  0.257 -0.743  0.308 -0.785  0.401 -0.785  0.494 -0.785  0.587 -0.785  0.663 -0.828  0.756 -0.828  0.849 -0.828  0.942 -0.828  1.036 -0.828  1.129 -0.828  1.222 -0.828  1.273 -0.785
2#tos#t3#t3010064/M  -0.490 1.260  -0.605 1.141  -0.601 0.909  -0.567 0.683  -0.567 0.450  -0.567 0.216  -0.605 -0.008  -0.605 -0.241  -0.605 -0.475  -0.605 -0.708  -0.605 -0.942  -0.617 -1.172  -0.681 -1.164  -0.690 -0.931  -0.699 -0.698  -0.708 -0.464  -0.717 -0.231  -0.726 0.002  -0.735 0.236  -0.744 0.469  -0.753 0.702  -0.770 0.788  -0.681 0.634  -0.571 0.462  -0.430 0.298  -0.299 0.132  -0.190 -0.034  -0.070 -0.173  0.000 -0.377  0.078 -0.307  0.159 -0.155  0.331 -0.021  0.474 0.160  0.604 0.353  0.680 0.557  0.772 0.744  0.848 0.917  0.962 1.035  0.962 0.945  0.962 0.712  0.962 0.478  0.962 0.245  0.962 0.011  0.962 -0.222  0.962 -0.455  0.962 -0.689  0.962 -0.922  0.962 -1.156  0.970 -1.386  1.000 -1.607
2#tos#t3#t3010064/P  -0.072 1.086  -0.159 1.115  -0.159 0.882  -0.140 0.654  -0.116 0.427  -0.116 0.195  -0.116 -0.038  -0.116 -0.270  -0.116 -0.503  -0.116 -0.736  -0.116 -0.968  -0.116 -1.201  -0.116 -1.434  -0.159 -1.613  -0.217 -1.389  -0.286 -1.167  -0.354 -0.945  -0.423 -0.723  -0.492 -0.500  -0.561 -0.278  -0.630 -0.056  -0.699 0.166  -0.768 0.388  -0.837 0.610  -0.906 0.833  -1.048 0.955  -0.912 0.911  -0.680 0.911  -0.447 0.911  -0.233 0.955  -0.000 0.955  0.233 0.955  0.465 0.955  0.692 0.919  0.880 0.868  1.018 0.774  1.105 0.595  1.165 0.388  1.193 0.184  1.192 -0.048  1.090 -0.179  0.931 -0.311  0.757 -0.403  0.649 -0.528  0.470 -0.615  0.262 -0.674  0.041 -0.702  -0.159 -0.735  -0.337 -0.789  -0.421 -0.789
2#tos#t3#t3010064/Q  -0.112 -0.486  -0.164 -0.654  -0.342 -0.612  -0.507 -0.508  -0.701 -0.438  -0.783 -0.277  -0.869 -0.109  -0.911 0.093  -0.953 0.272  -0.948 0.491  -0.906 0.701  -0.785 0.877  -0.693 1.035  -0.615 1.210  -0.452 1.321  -0.322 1.437  -0.154 1.521  0.055 1.531  0.248 1.466  0.376 1.363  0.448 1.182  0.518 0.991  0.560 0.788  0.644 0.595  0.644 0.375  0.644 0.155  0.644 -0.065  0.638 -0.282  0.560 -0.470  0.476 -0.631  0.363 -0.738  0.185 -0.780  0.091 -0.906  -0.129 -0.906  -0.339 -0.948  -0.532 -0.889  -0.575 -0.686  -0.575 -0.466  -0.436 -0.360  -0.276 -0.276  -0.098 -0.234  0.056 -0.300  0.241 -0.360  0.402 -0.444  0.518 -0.548  0.674 -0.612  0.774 -0.784  0.961 -0.864  1.139 -0.906  1.317 -0.864
