2#app#app18#app1851/!  -0.066 2.070  -0.191 2.070  -0.243 1.997  -0.243 1.873  -0.243 1.748  -0.243 1.623  -0.243 1.499  -0.243 1.374  -0.243 1.249  -0.243 1.124  -0.243 1.000  -0.243 0.875  -0.243 0.750  -0.243 0.626  -0.243 0.501  -0.243 0.376  -0.210 0.265  -0.122 0.177  -0.059 0.076  -0.038 -0.047  -0.018 -0.170  0.003 -0.293  0.023 -0.416  0.044 -0.539  0.064 -0.662  0.085 -0.785  0.105 -0.908  0.111 -0.851  0.149 -0.764  0.274 -0.764  0.288 -0.875  0.230 -0.941  0.105 -0.941  -0.019 -0.941  -0.066 -0.863  -0.041 -0.764  0.084 -0.764  0.111 -0.667  0.156 -0.587  0.281 -0.587  0.288 -0.705  0.288 -0.829  0.275 -0.941  0.151 -0.941  0.111 -0.856  0.111 -0.732  0.111 -0.607  0.216 -0.587  0.288 -0.535  0.288 -0.410
2#app#app18#app1851/~  -1.392 -0.438  -1.392 -0.346  -1.392 -0.255  -1.392 -0.164  -1.392 -0.073  -1.374 -0.000  -1.283 -0.000  -1.192 -0.000  -1.174 0.072  -1.174 0.163  -1.137 0.218  -1.046 0.218  -0.955 0.218  -0.864 0.218  -0.773 0.218  -0.682 0.218  -0.591 0.218  -0.500 0.218  -0.409 0.218  -0.318 0.218  -0.227 0.218  -0.136 0.218  -0.081 0.182  -0.081 0.091  -0.081 -0.000  0.010 -0.000  0.101 -0.000  0.138 -0.055  0.138 -0.146  0.156 -0.219  0.247 -0.219  0.338 -0.219  0.429 -0.219  0.520 -0.219  0.611 -0.219  0.702 -0.219  0.793 -0.219  0.884 -0.219  0.975 -0.219  1.051 -0.181  1.115 -0.116  1.179 -0.052  1.249 -0.000  1.340 -0.000  1.431 -0.000  1.449 0.073  1.449 0.164  1.486 0.218  1.577 0.218  1.668 0.218
2#app#app18#app1851/  -1.700 0.187  -1.627 0.187  -1.555 0.187  -1.482 0.187  -1.410 0.187  -1.337 0.187  -1.264 0.187  -1.192 0.187  -1.119 0.187  -1.047 0.187  -0.974 0.187  -0.902 0.187  -0.829 0.187  -0.757 0.187  -0.684 0.187  -0.612 0.187  -0.539 0.187  -0.467 0.187  -0.394 0.187  -0.325 0.177  -0.274 0.126  -0.223 0.075  -0.172 0.024  -0.120 -0.028  -0.069 -0.079  -0.018 -0.130  0.045 -0.155  0.117 -0.155  0.190 -0.155  0.262 -0.155  0.335 -0.155  0.407 -0.155  0.480 -0.155  0.552 -0.155  0.625 -0.155  0.698 -0.155  0.770 -0.155  0.843 -0.155  0.915 -0.155  0.988 -0.155  1.060 -0.155  1.133 -0.155  1.205 -0.155  1.278 -0.155  1.350 -0.155  1.423 -0.155  1.495 -0.155  1.568 -0.155  1.640 -0.155  1.713 -0.155
2#app#app18#app1851/_  -1.461 -0.170  -1.461 -0.095  -1.461 -0.021  -1.461 0.053  -1.461 0.127  -1.409 0.149  -1.335 0.149  -1.260 0.149  -1.186 0.149  -1.112 0.149  -1.038 0.149  -0.964 0.149  -0.890 0.149  -0.815 0.149  -0.741 0.149  -0.667 0.149  -0.593 0.149  -0.519 0.149  -0.445 0.149  -0.370 0.149  -0.296 0.149  -0.222 0.149  -0.148 0.149  -0.074 0.149  0.001 0.149  0.075 0.149  0.144 0.136  0.196 0.084  0.249 0.031  0.301 -0.021  0.353 -0.074  0.406 -0.126  0.462 -0.170  0.536 -0.170  0.610 -0.170  0.685 -0.170  0.759 -0.170  0.833 -0.170  0.907 -0.170  0.981 -0.170  1.055 -0.170  1.130 -0.170  1.204 -0.170  1.278 -0.170  1.352 -0.170  1.426 -0.170  1.501 -0.170  1.575 -0.170  1.649 -0.170  1.723 -0.170
2#app#app18#app1851/+  0.372 0.851  0.372 1.052  0.260 1.142  0.081 1.120  0.081 0.919  0.081 0.718  0.081 0.517  0.081 0.316  0.081 0.115  0.081 -0.087  0.081 -0.288  0.081 -0.489  0.081 -0.690  0.081 -0.891  0.081 -1.092  0.159 -1.261  0.301 -1.403  0.301 -1.403  0.158 -1.261  0.016 -1.118  -0.126 -0.976  -0.268 -0.834  -0.410 -0.692  -0.553 -0.550  -0.695 -0.407  -0.837 -0.265  -0.979 -0.123  -1.121 0.019  -1.263 0.161  -1.325 0.270  -1.123 0.270  -1.081 0.429  -1.012 0.561  -0.811 0.561  -0.791 0.380  -0.699 0.270  -0.498 0.270  -0.297 0.270  -0.096 0.270  0.105 0.270  0.306 0.270  0.507 0.270  0.708 0.270  0.909 0.270  1.110 0.270  1.311 0.270  1.513 0.270  1.534 0.449  1.534 0.471  1.534 0.270
2#app#app18#app1851/=  -1.287 1.212  -1.287 1.054  -1.287 0.896  -1.157 0.869  -0.999 0.869  -0.842 0.869  -0.684 0.869  -0.548 0.815  -0.437 0.704  -0.325 0.592  -0.195 0.526  -0.037 0.526  0.120 0.526  0.278 0.526  0.436 0.526  0.594 0.526  0.751 0.526  0.909 0.526  1.067 0.526  1.014 0.476  0.873 0.405  0.732 0.335  0.590 0.264  0.449 0.194  0.308 0.123  0.167 0.053  0.026 -0.018  -0.115 -0.088  -0.256 -0.159  -0.397 -0.229  -0.538 -0.300  -0.679 -0.370  -0.820 -0.441  -0.931 -0.516  -0.819 -0.628  -0.708 -0.739  -0.594 -0.846  -0.436 -0.846  -0.279 -0.846  -0.121 -0.846  0.037 -0.846  0.194 -0.846  0.352 -0.846  0.510 -0.846  0.668 -0.846  0.825 -0.846  0.983 -0.846  1.141 -0.846  1.298 -0.846  1.456 -0.846
2#app#app18#app1851/[  1.015 0.600  1.134 0.600  1.154 0.600  1.034 0.600  1.015 0.701  0.984 0.789  0.864 0.789  0.744 0.789  0.625 0.789  0.505 0.789  0.386 0.789  0.266 0.789  0.258 0.901  0.216 0.979  0.096 0.979  -0.024 0.979  -0.120 0.955  -0.120 0.836  -0.193 0.789  -0.313 0.789  -0.433 0.789  -0.498 0.735  -0.498 0.616  -0.498 0.496  -0.498 0.377  -0.498 0.257  -0.498 0.137  -0.498 0.018  -0.498 -0.102  -0.498 -0.222  -0.498 -0.341  -0.498 -0.461  -0.498 -0.581  -0.498 -0.700  -0.498 -0.820  -0.525 -0.913  -0.645 -0.913  -0.687 -0.990  -0.680 -1.102  -0.560 -1.102  -0.440 -1.102  -0.321 -1.102  -0.201 -1.102  -0.081 -1.102  0.038 -1.102  0.158 -1.102  0.277 -1.102  0.397 -1.102  0.517 -1.102  0.636 -1.102
2#app#app18#app1851/]  -0.930 0.962  -0.930 0.827  -0.930 0.824  -0.930 0.958  -1.061 0.962  -1.070 0.962  -0.936 0.962  -0.801 0.962  -0.684 0.920  -0.589 0.825  -0.482 0.758  -0.348 0.758  -0.213 0.758  -0.079 0.758  0.056 0.758  0.190 0.758  0.325 0.758  0.459 0.758  0.594 0.758  0.697 0.727  0.697 0.592  0.600 0.555  0.494 0.527  0.494 0.392  0.494 0.258  0.494 0.123  0.494 -0.011  0.494 -0.146  0.494 -0.280  0.494 -0.415  0.581 -0.462  0.697 -0.481  0.697 -0.615  0.697 -0.750  0.681 -0.868  0.547 -0.868  0.494 -0.950  0.481 -1.072  0.347 -1.072  0.212 -1.072  0.078 -1.072  -0.057 -1.072  -0.191 -1.072  -0.320 -1.065  -0.320 -0.931  -0.392 -0.868  -0.523 -0.871  -0.523 -1.006  -0.454 -1.072  -0.320 -1.072
2#app#app18#app1851/{  0.650 0.993  0.650 1.166  0.543 1.232  0.410 1.273  0.410 1.446  0.263 1.472  0.090 1.472  -0.070 1.458  -0.070 1.285  -0.191 1.232  -0.309 1.178  -0.309 1.005  -0.309 0.831  -0.309 0.658  -0.281 0.513  -0.108 0.513  -0.070 0.378  -0.070 0.204  -0.070 0.031  -0.070 -0.143  -0.179 -0.207  -0.352 -0.207  -0.525 -0.207  -0.699 -0.207  -0.872 -0.207  -1.013 -0.207  -0.839 -0.207  -0.666 -0.207  -0.493 -0.207  -0.319 -0.207  -0.146 -0.207  0.028 -0.207  0.170 -0.176  0.170 -0.003  0.170 -0.104  0.170 -0.278  0.170 -0.451  0.170 -0.624  0.059 -0.687  -0.070 -0.731  -0.070 -0.905  -0.070 -1.078  0.016 -1.166  0.183 -1.179  0.306 -1.302  0.436 -1.406  0.610 -1.406  0.783 -1.406  0.956 -1.406  1.130 -1.406
2#app#app18#app1851/}  -0.860 1.164  -0.860 1.345  -0.738 1.404  -0.557 1.404  -0.377 1.404  -0.196 1.404  -0.016 1.404  0.097 1.335  0.097 1.155  0.097 0.974  0.097 0.794  0.024 0.686  -0.142 0.671  -0.142 0.491  -0.279 0.447  -0.382 0.369  -0.362 0.208  -0.181 0.208  -0.142 0.066  -0.059 -0.031  0.121 -0.031  0.302 -0.031  0.336 0.115  0.424 0.208  0.604 0.208  0.785 0.208  0.663 0.208  0.482 0.208  0.302 0.208  0.121 0.208  -0.059 0.208  -0.142 0.110  -0.142 -0.070  -0.142 -0.251  -0.142 -0.432  -0.040 -0.510  0.097 -0.554  0.097 -0.734  0.263 -0.749  0.336 -0.856  0.336 -1.037  0.336 -1.218  0.336 -1.398  0.224 -1.467  0.097 -1.520  0.097 -1.701  -0.079 -1.706  -0.142 -1.589  -0.201 -1.467  -0.382 -1.467
2#app#app18#app1851/\\  -1.051 0.895  -1.051 0.974  -1.051 1.054  -1.051 1.133  -1.017 1.129  -0.961 1.073  -0.905 1.016  -0.848 0.960  -0.792 0.904  -0.736 0.848  -0.680 0.792  -0.624 0.736  -0.568 0.680  -0.512 0.623  -0.455 0.567  -0.399 0.511  -0.343 0.455  -0.287 0.399  -0.246 0.337  -0.246 0.257  -0.246 0.178  -0.246 0.098  -0.176 0.089  -0.096 0.089  -0.017 0.089  0.051 0.061  0.107 0.005  0.163 -0.051  0.219 -0.107  0.275 -0.163  0.291 -0.236  0.291 -0.316  0.291 -0.395  0.310 -0.467  0.366 -0.523  0.422 -0.579  0.478 -0.635  0.534 -0.691  0.591 -0.747  0.647 -0.803  0.703 -0.859  0.759 -0.916  0.815 -0.972  0.889 -0.985  0.968 -0.985  1.048 -0.985  1.097 -1.015  1.097 -1.095  1.097 -1.174  1.097 -1.253
2#app#app18#app1851/,  0.158 0.498  0.158 0.247  0.158 -0.005  0.025 -0.123  -0.226 -0.123  -0.463 -0.108  -0.463 0.143  -0.463 0.394  -0.316 0.498  -0.065 0.498  0.186 0.498  0.438 0.498  0.689 0.498  0.664 0.383  0.486 0.206  0.309 0.028  0.120 -0.123  -0.131 -0.123  -0.382 -0.123  -0.584 -0.003  -0.761 0.175  -0.939 0.353  -1.084 0.544  -1.084 0.795  -1.084 1.046  -0.905 1.118  -0.654 1.118  -0.403 1.118  -0.152 1.118  0.100 1.118  0.158 0.925  0.158 0.674  0.232 0.498  0.484 0.498  0.735 0.498  0.778 0.290  0.778 0.039  0.778 -0.212  0.778 -0.464  0.778 -0.715  0.556 -0.744  0.305 -0.744  0.158 -0.848  0.158 -1.099  0.158 -1.350  0.158 -1.601  0.158 -1.852  0.039 -1.985  -0.212 -1.985  -0.463 -1.985
2#app#app18#app1851/  0.896 0.775  0.990 0.775  1.084 0.775  1.136 0.775  1.042 0.775  0.947 0.775  0.896 0.817  0.896 0.912  0.896 1.006  0.851 0.992  0.784 0.925  0.717 0.858  0.650 0.792  0.563 0.775  0.469 0.775  0.374 0.775  0.372 0.683  0.372 0.589  0.359 0.500  0.292 0.433  0.225 0.366  0.159 0.300  0.092 0.233  0.025 0.166  -0.041 0.100  -0.108 0.033  -0.175 -0.034  -0.241 -0.100  -0.308 -0.167  -0.375 -0.234  -0.413 -0.312  -0.413 -0.407  -0.413 -0.501  -0.475 -0.534  -0.569 -0.534  -0.663 -0.534  -0.675 -0.616  -0.675 -0.711  -0.684 -0.796  -0.779 -0.796  -0.873 -0.796  -0.937 -0.826  -0.937 -0.921  -0.937 -1.015  -0.885 -1.057  -0.790 -1.057  -0.696 -1.057  -0.675 -1.130  -0.675 -1.225  -0.675 -1.319
2#app#app18#app1851/?  -0.599 0.867  -0.599 1.024  -0.599 1.180  -0.521 1.258  -0.365 1.258  -0.209 1.258  -0.052 1.258  0.104 1.258  0.260 1.258  0.417 1.258  0.573 1.258  0.575 1.104  0.459 1.063  0.379 0.987  0.342 0.867  0.186 0.867  0.183 0.713  0.069 0.672  -0.012 0.596  -0.049 0.476  -0.205 0.476  -0.208 0.323  -0.322 0.281  -0.403 0.206  -0.403 0.049  -0.403 -0.107  -0.251 -0.111  -0.208 -0.224  -0.134 -0.306  -0.001 -0.339  0.048 -0.488  0.098 -0.636  0.147 -0.784  0.183 -0.935  0.181 -1.089  0.025 -1.089  -0.012 -0.969  0.068 -0.893  0.224 -0.893  0.379 -0.895  0.379 -1.051  0.379 -1.207  0.300 -1.284  0.143 -1.284  -0.013 -1.284  -0.169 -1.284  -0.208 -1.166  -0.129 -1.089  -0.012 -1.128  -0.012 -1.284
2#app#app18#app1851/'  1.055 1.382  0.949 1.382  0.843 1.382  0.737 1.382  0.631 1.382  0.623 1.285  0.623 1.179  0.623 1.073  0.623 0.967  0.534 0.949  0.428 0.949  0.322 0.949  0.216 0.949  0.190 0.870  0.190 0.764  0.190 0.658  0.190 0.552  0.190 0.446  0.190 0.340  0.190 0.234  0.190 0.128  0.128 0.084  0.022 0.084  -0.084 0.084  -0.190 0.084  -0.243 0.031  -0.243 -0.075  -0.243 -0.181  -0.243 -0.287  -0.243 -0.393  -0.243 -0.499  -0.243 -0.605  -0.243 -0.711  -0.278 -0.781  -0.384 -0.781  -0.490 -0.781  -0.596 -0.781  -0.676 -0.808  -0.676 -0.914  -0.676 -1.020  -0.676 -1.126  -0.658 -1.214  -0.552 -1.214  -0.446 -1.214  -0.340 -1.214  -0.243 -1.205  -0.243 -1.099  -0.243 -0.993  -0.243 -0.887  -0.243 -0.781
2#app#app18#app1851/\"  -0.180 0.413  -0.352 0.413  -0.523 0.413  -0.672 0.436  -0.672 0.607  -0.672 0.778  -0.672 0.861  -0.672 0.690  -0.672 0.518  -0.672 0.347  -0.672 0.175  -0.672 0.004  -0.735 -0.141  -0.856 -0.262  -0.977 -0.384  -1.099 -0.505  -1.164 -0.649  -1.164 -0.820  -1.164 -0.992  -1.063 -1.062  -0.892 -1.062  -0.720 -1.062  -0.585 -0.975  -0.464 -0.854  -0.343 -0.733  -0.222 -0.612  -0.101 -0.490  0.021 -0.369  0.142 -0.248  0.263 -0.127  0.384 -0.006  0.505 0.115  0.627 0.237  0.748 0.358  0.869 0.479  0.990 0.600  1.111 0.721  1.232 0.843  1.295 0.823  1.295 0.651  1.295 0.480  1.191 0.413  1.019 0.413  0.848 0.413  0.803 0.287  0.803 0.115  0.803 -0.056  0.803 -0.228  0.803 -0.399  0.803 -0.570
2#app#app18#app1851/<  0.801 1.254  0.940 1.254  1.079 1.254  1.049 1.184  0.951 1.086  0.852 0.988  0.735 0.936  0.596 0.936  0.457 0.936  0.318 0.936  0.179 0.936  0.165 0.812  0.165 0.673  0.080 0.619  -0.059 0.619  -0.153 0.574  -0.153 0.435  -0.158 0.301  -0.296 0.301  -0.435 0.301  -0.471 0.197  -0.471 0.058  -0.534 -0.017  -0.673 -0.017  -0.788 -0.041  -0.788 -0.180  -0.788 -0.319  -0.911 -0.335  -1.050 -0.335  -1.106 -0.418  -1.106 -0.556  -1.064 -0.653  -0.925 -0.653  -0.786 -0.653  -0.647 -0.653  -0.508 -0.653  -0.369 -0.653  -0.230 -0.653  -0.091 -0.653  0.047 -0.653  0.186 -0.653  0.325 -0.653  0.464 -0.653  0.483 -0.773  0.483 -0.912  0.563 -0.971  0.702 -0.971  0.841 -0.971  0.980 -0.971  1.119 -0.971
2#app#app18#app1851/|  0.030 1.033  0.116 1.033  0.202 1.033  0.287 1.033  0.310 1.096  0.310 1.182  0.310 1.268  0.270 1.313  0.185 1.313  0.099 1.313  0.030 1.296  0.030 1.210  0.030 1.125  0.030 1.039  0.030 0.954  0.030 0.868  0.030 0.782  0.030 0.697  0.030 0.611  0.030 0.525  0.030 0.440  0.030 0.354  0.030 0.268  0.030 0.183  0.030 0.097  0.030 0.012  0.030 -0.074  0.030 -0.160  0.030 -0.245  0.030 -0.331  0.030 -0.417  0.030 -0.502  0.030 -0.588  0.030 -0.674  0.030 -0.759  0.030 -0.845  0.025 -0.925  -0.061 -0.925  -0.147 -0.925  -0.232 -0.925  -0.249 -0.993  -0.249 -1.079  -0.249 -1.165  -0.249 -1.250  -0.249 -1.336  -0.249 -1.421  -0.249 -1.507  -0.249 -1.593  -0.249 -1.678  -0.249 -1.764
2#app#app18#app1851/>  -0.306 1.631  -0.306 1.507  -0.306 1.384  -0.306 1.261  -0.306 1.138  -0.306 1.014  -0.284 0.913  -0.161 0.913  -0.038 0.913  0.053 0.880  0.053 0.757  0.053 0.634  0.084 0.523  0.171 0.436  0.258 0.349  0.345 0.262  0.433 0.174  0.520 0.087  0.607 0.000  0.694 -0.087  0.785 -0.164  0.909 -0.164  1.032 -0.164  1.130 -0.189  1.130 -0.313  1.130 -0.436  1.094 -0.523  0.970 -0.523  0.847 -0.523  0.724 -0.523  0.601 -0.523  0.477 -0.523  0.354 -0.523  0.231 -0.523  0.107 -0.523  -0.016 -0.523  -0.139 -0.523  -0.262 -0.523  -0.386 -0.523  -0.509 -0.523  -0.632 -0.523  -0.755 -0.523  -0.879 -0.523  -1.002 -0.523  -1.125 -0.523  -1.249 -0.523  -1.372 -0.523  -1.383 -0.635  -1.383 -0.759  -1.383 -0.882
