3#apa#apa01#app0142/F  -0.574 0.822  -0.504 0.972  -0.425 1.113  -0.425 0.910  -0.425 0.690  -0.425 0.469  -0.425 0.249  -0.425 0.029  -0.425 -0.191  -0.425 -0.411  -0.425 -0.632  -0.345 -0.833  -0.275 -1.037  -0.275 -1.257  -0.275 -1.477  -0.275 -1.697  -0.275 -1.826  -0.275 -1.605  -0.275 -1.385  -0.275 -1.165  -0.275 -0.945  -0.275 -0.724  -0.275 -0.504  -0.275 -0.284  -0.275 -0.064  -0.275 0.156  -0.275 0.377  -0.275 0.597  -0.275 0.817  -0.209 0.972  0.011 0.972  0.214 1.012  0.389 1.122  0.609 1.122  0.769 1.268  0.988 1.271  0.999 1.157  0.881 0.971  0.763 0.785  0.644 0.599  0.526 0.413  0.408 0.228  0.290 0.042  0.171 -0.144  0.053 -0.330  0.042 -0.525  0.262 -0.525  0.482 -0.525  0.702 -0.525  0.922 -0.525
3#apa#apa01#app0142/P  -0.834 0.194  -0.660 0.170  -0.660 -0.028  -0.609 -0.206  -0.485 -0.352  -0.485 -0.551  -0.485 -0.749  -0.392 -0.854  -0.310 -0.971  -0.310 -1.170  -0.194 -1.320  -0.135 -1.494  -0.174 -1.420  -0.228 -1.229  -0.283 -1.038  -0.337 -0.847  -0.392 -0.657  -0.446 -0.466  -0.501 -0.275  -0.555 -0.084  -0.609 0.106  -0.664 0.297  -0.718 0.488  -0.773 0.678  -0.827 0.869  -0.660 0.893  -0.462 0.893  -0.310 0.939  -0.240 1.068  -0.042 1.068  0.157 1.068  0.355 1.068  0.553 1.068  0.697 0.934  0.878 0.893  1.076 0.893  1.100 0.718  1.262 0.682  1.262 0.484  1.262 0.286  1.156 0.194  1.088 0.064  0.979 -0.090  0.839 -0.230  0.682 -0.330  0.483 -0.330  0.285 -0.330  0.087 -0.330  -0.112 -0.330  -0.310 -0.330
3#apa#apa01#app0142/E  -0.681 1.057  -0.635 0.902  -0.433 0.902  -0.231 0.902  -0.030 0.902  0.149 0.958  0.310 1.057  0.511 1.057  0.713 1.057  0.670 1.199  0.476 1.141  0.283 1.083  0.090 1.025  -0.103 0.967  -0.296 0.909  -0.489 0.851  -0.683 0.794  -0.807 0.718  -0.665 0.576  -0.526 0.431  -0.526 0.230  -0.526 0.028  -0.526 -0.174  -0.526 -0.375  -0.526 -0.577  -0.619 -0.740  -0.681 -0.916  -0.676 -1.113  -0.474 -1.113  -0.273 -1.113  -0.071 -1.113  0.131 -1.113  0.333 -1.113  0.534 -1.113  0.736 -1.113  0.938 -1.113  1.024 -0.997  1.172 -0.954  0.999 -0.850  0.826 -0.746  0.653 -0.642  0.481 -0.539  0.308 -0.435  0.135 -0.331  -0.038 -0.227  -0.211 -0.124  -0.356 -0.028  -0.155 -0.028  0.047 -0.028  0.249 -0.028
3#apa#apa01#app0142/C  0.635 1.438  0.635 1.330  0.614 1.242  0.506 1.242  0.397 1.242  0.289 1.242  0.243 1.181  0.243 1.073  0.160 1.047  0.052 1.047  -0.026 0.974  -0.102 0.897  -0.179 0.821  -0.255 0.744  -0.332 0.668  -0.345 0.565  -0.345 0.457  -0.345 0.348  -0.368 0.263  -0.476 0.263  -0.541 0.220  -0.541 0.111  -0.605 0.067  -0.713 0.067  -0.737 -0.017  -0.737 -0.126  -0.737 -0.234  -0.737 -0.342  -0.737 -0.450  -0.710 -0.547  -0.633 -0.624  -0.557 -0.700  -0.455 -0.717  -0.347 -0.717  -0.270 -0.792  -0.193 -0.868  -0.104 -0.912  0.005 -0.912  0.113 -0.912  0.221 -0.912  0.329 -0.912  0.438 -0.912  0.546 -0.912  0.654 -0.912  0.762 -0.912  0.870 -0.912  0.979 -0.912  1.069 -0.870  1.146 -0.793  1.222 -0.717
3#apa#apa01#app0142/T  0.052 0.768  0.052 0.603  0.052 0.438  0.052 0.274  0.132 0.142  0.234 0.020  0.234 -0.145  0.234 -0.310  0.234 -0.474  0.234 -0.639  0.349 -0.689  0.416 -0.786  0.416 -0.951  0.416 -1.116  0.416 -1.280  0.416 -1.445  0.427 -1.599  0.591 -1.599  0.517 -1.464  0.432 -1.323  0.347 -1.181  0.263 -1.040  0.178 -0.899  0.093 -0.758  0.009 -0.617  -0.076 -0.475  -0.161 -0.334  -0.246 -0.193  -0.330 -0.052  -0.415 0.089  -0.500 0.231  -0.584 0.372  -0.669 0.513  -0.754 0.654  -0.839 0.795  -0.923 0.937  -1.008 1.078  -0.968 1.060  -0.849 0.950  -0.684 0.950  -0.520 0.950  -0.355 0.950  -0.190 0.950  -0.026 0.950  0.139 0.950  0.304 0.950  0.468 0.950  0.633 0.950  0.798 0.950  0.962 0.950
3#apa#apa01#app0142/E  -0.556 1.109  -0.366 1.109  -0.176 1.109  0.013 1.109  0.203 1.109  0.393 1.109  0.583 1.109  0.773 1.109  0.962 1.109  0.789 1.060  0.606 1.010  0.423 0.960  0.240 0.910  0.057 0.860  -0.126 0.810  -0.309 0.761  -0.492 0.711  -0.676 0.661  -0.598 0.542  -0.556 0.369  -0.556 0.179  -0.556 -0.010  -0.556 -0.200  -0.556 -0.390  -0.673 -0.531  -0.708 -0.706  -0.708 -0.896  -0.708 -1.086  -0.609 -1.176  -0.419 -1.176  -0.229 -1.176  -0.039 -1.176  0.150 -1.176  0.340 -1.176  0.530 -1.176  0.720 -1.176  0.882 -1.110  0.913 -0.982  0.763 -0.865  0.614 -0.749  0.464 -0.632  0.314 -0.516  0.164 -0.399  0.014 -0.283  -0.136 -0.166  -0.285 -0.050  -0.364 0.042  -0.174 0.042  0.016 0.042  0.206 0.042
3#apa#apa01#app0142/D  -0.456 0.862  -0.456 0.643  -0.456 0.423  -0.456 0.204  -0.456 -0.015  -0.456 -0.234  -0.408 -0.405  -0.298 -0.514  -0.298 -0.733  -0.298 -0.952  -0.298 -1.172  -0.351 -1.011  -0.411 -0.801  -0.471 -0.590  -0.531 -0.379  -0.592 -0.168  -0.652 0.042  -0.712 0.253  -0.772 0.464  -0.832 0.674  -0.893 0.885  -0.852 1.020  -0.633 1.020  -0.414 1.020  -0.225 1.093  -0.041 1.178  0.178 1.178  0.239 1.020  0.458 1.020  0.677 1.020  0.811 0.935  0.957 0.862  0.969 0.655  1.047 0.468  1.128 0.282  1.128 0.063  1.060 -0.089  0.969 -0.217  0.969 -0.436  0.905 -0.628  0.811 -0.809  0.664 -0.881  0.603 -1.039  0.384 -1.039  0.165 -1.039  0.019 -0.965  -0.115 -0.881  -0.298 -0.844  -0.395 -0.722  -0.614 -0.722
3#apa#apa01#app0142/A  -1.176 -1.529  -1.088 -1.406  -1.016 -1.246  -0.867 -1.097  -0.804 -0.912  -0.681 -0.753  -0.681 -0.542  -0.681 -0.331  -0.681 -0.120  -0.557 -0.033  -0.557 0.178  -0.557 0.389  -0.539 0.592  -0.433 0.759  -0.433 0.970  -0.322 1.069  -0.309 1.268  -0.186 1.355  -0.097 1.529  0.062 1.527  0.062 1.317  0.186 1.229  0.237 1.069  0.309 0.931  0.309 0.720  0.433 0.561  0.433 0.350  0.557 0.190  0.557 -0.020  0.602 -0.213  0.751 -0.362  0.804 -0.550  0.903 -0.663  0.928 -0.848  1.033 -1.016  1.052 -0.850  1.030 -0.655  0.833 -0.579  0.636 -0.503  0.439 -0.427  0.242 -0.352  0.046 -0.276  -0.151 -0.200  -0.348 -0.125  -0.545 -0.049  -0.359 -0.044  -0.148 -0.044  0.063 -0.044  0.274 -0.044  0.433 -0.168
3#apa#apa01#app0142/J  -0.051 0.520  0.003 0.631  0.060 0.523  0.170 0.404  0.170 0.239  0.251 0.108  0.281 -0.044  0.327 -0.190  0.392 -0.328  0.392 -0.493  0.441 -0.637  0.502 -0.776  0.502 -0.941  0.502 -1.105  0.502 -1.270  0.429 -1.361  0.265 -1.361  0.100 -1.361  -0.028 -1.273  -0.145 -1.157  -0.261 -1.041  -0.410 -1.002  -0.507 -0.875  -0.557 -0.717  -0.606 -0.560  -0.655 -0.403  -0.704 -0.246  -0.753 -0.089  -0.802 0.068  -0.851 0.226  -0.900 0.383  -0.949 0.540  -0.999 0.697  -1.044 0.852  -0.896 0.812  -0.761 0.741  -0.596 0.741  -0.432 0.741  -0.267 0.741  -0.102 0.741  0.062 0.741  0.227 0.741  0.392 0.741  0.556 0.741  0.721 0.741  0.886 0.741  1.050 0.741  1.215 0.741  1.380 0.741  1.498 0.852
3#apa#apa01#app0142/E  -0.570 1.018  -0.394 0.969  -0.230 0.892  -0.033 0.892  0.163 0.892  0.360 0.892  0.557 0.892  0.753 0.892  0.812 1.019  0.616 1.037  0.420 1.055  0.224 1.072  0.029 1.090  -0.167 1.108  -0.363 1.126  -0.559 1.144  -0.570 0.960  -0.444 0.890  -0.444 0.693  -0.444 0.497  -0.444 0.300  -0.556 0.150  -0.570 -0.041  -0.570 -0.237  -0.697 -0.382  -0.697 -0.578  -0.697 -0.775  -0.697 -0.971  -0.655 -1.126  -0.459 -1.126  -0.262 -1.126  -0.066 -1.126  0.131 -1.126  0.327 -1.126  0.524 -1.126  0.720 -1.126  0.917 -1.126  1.070 -1.083  0.974 -0.939  0.808 -0.833  0.642 -0.728  0.476 -0.622  0.310 -0.517  0.145 -0.411  -0.021 -0.306  -0.187 -0.200  -0.277 -0.117  -0.080 -0.117  -0.010 -0.243  0.187 -0.243
3#apa#apa01#app0142/J  0.144 0.816  0.144 0.664  0.187 0.529  0.266 0.410  0.316 0.279  0.388 0.156  0.388 0.004  0.499 -0.036  0.509 -0.178  0.545 -0.315  0.631 -0.431  0.674 -0.566  0.753 -0.685  0.753 -0.837  0.753 -0.989  0.746 -1.138  0.639 -1.246  0.490 -1.253  0.338 -1.253  0.186 -1.253  0.034 -1.253  -0.077 -1.154  -0.220 -1.132  -0.250 -1.010  -0.343 -0.951  -0.432 -0.888  -0.464 -0.768  -0.494 -0.619  -0.524 -0.470  -0.553 -0.321  -0.583 -0.172  -0.613 -0.023  -0.643 0.126  -0.673 0.275  -0.702 0.424  -0.732 0.573  -0.762 0.722  -0.792 0.871  -0.822 1.020  -0.717 1.059  -0.565 1.059  -0.413 1.059  -0.261 1.059  -0.109 1.059  0.043 1.059  0.195 1.059  0.323 1.116  0.449 1.181  0.601 1.181  0.753 1.181
3#apa#apa01#app0142/U  -0.652 1.273  -0.652 1.150  -0.652 1.028  -0.652 0.906  -0.652 0.784  -0.718 0.689  -0.781 0.593  -0.781 0.471  -0.781 0.349  -0.781 0.226  -0.784 0.106  -0.871 0.019  -0.910 -0.087  -0.910 -0.209  -0.873 -0.316  -0.787 -0.402  -0.781 -0.522  -0.706 -0.613  -0.652 -0.713  -0.613 -0.796  -0.491 -0.796  -0.393 -0.821  -0.375 -0.925  -0.253 -0.925  -0.131 -0.925  -0.009 -0.925  0.113 -0.925  0.235 -0.925  0.327 -0.851  0.426 -0.796  0.512 -0.759  0.533 -0.645  0.619 -0.559  0.641 -0.446  0.700 -0.348  0.770 -0.255  0.782 -0.138  0.868 -0.051  0.900 0.058  0.900 0.180  0.900 0.302  0.900 0.424  0.900 0.547  0.900 0.669  0.900 0.791  0.871 0.885  0.770 0.906  0.770 1.028  0.763 1.143  0.641 1.143
3#apa#apa01#app0142/N  -0.833 0.827  -0.710 0.681  -0.710 0.484  -0.710 0.287  -0.710 0.090  -0.710 -0.107  -0.710 -0.304  -0.710 -0.501  -0.710 -0.698  -0.710 -0.895  -0.635 -1.017  -0.597 -0.868  -0.610 -0.672  -0.623 -0.475  -0.636 -0.279  -0.649 -0.082  -0.662 0.115  -0.675 0.311  -0.689 0.508  -0.702 0.705  -0.710 0.754  -0.587 0.679  -0.587 0.482  -0.464 0.408  -0.376 0.248  -0.324 0.072  -0.218 -0.081  -0.218 -0.278  -0.095 -0.424  0.001 -0.525  0.075 -0.648  0.151 -0.769  0.346 -0.771  0.420 -0.894  0.617 -0.894  0.764 -0.773  0.837 -0.648  0.912 -0.525  1.012 -0.428  1.060 -0.279  1.135 -0.157  1.135 0.040  1.135 0.237  1.135 0.434  1.135 0.631  1.135 0.828  1.135 1.025  1.117 1.215  1.012 1.368  1.012 1.565
3#apa#apa01#app0142/E  -0.465 1.132  -0.302 1.050  -0.128 1.011  0.055 1.011  0.238 1.011  0.421 1.011  0.604 1.011  0.787 1.011  0.768 1.011  0.585 1.011  0.402 1.011  0.219 1.011  0.036 1.011  -0.147 1.011  -0.330 1.011  -0.513 1.011  -0.586 0.901  -0.586 0.719  -0.586 0.536  -0.586 0.353  -0.586 0.170  -0.611 -0.008  -0.692 -0.171  -0.708 -0.351  -0.708 -0.534  -0.829 -0.595  -0.829 -0.778  -0.797 -0.929  -0.614 -0.929  -0.431 -0.929  -0.344 -1.025  -0.187 -1.051  -0.004 -1.051  0.179 -1.051  0.362 -1.051  0.545 -1.051  0.728 -1.051  0.911 -1.051  1.064 -0.977  1.014 -0.867  0.860 -0.769  0.705 -0.671  0.551 -0.573  0.397 -0.475  0.242 -0.376  0.088 -0.278  -0.067 -0.180  -0.221 -0.082  -0.042 -0.081  0.141 -0.081
