3#apb#apb38#app3809/P  0.160 0.934  0.037 1.060  -0.111 1.018  -0.175 0.842  -0.192 0.656  -0.190 0.468  -0.175 0.281  -0.160 0.093  -0.142 -0.094  -0.123 -0.281  -0.110 -0.469  -0.098 -0.657  -0.084 -0.844  -0.062 -1.031  -0.040 -1.218  -0.014 -1.405  0.009 -1.591  0.030 -1.778  0.036 -1.830  -0.020 -1.650  -0.067 -1.468  -0.115 -1.286  -0.169 -1.106  -0.221 -0.925  -0.272 -0.744  -0.317 -0.561  -0.358 -0.378  -0.391 -0.193  -0.414 -0.006  -0.426 0.181  -0.426 0.370  -0.397 0.555  -0.365 0.741  -0.323 0.923  -0.244 1.093  -0.145 1.253  -0.022 1.396  0.147 1.462  0.322 1.402  0.455 1.271  0.548 1.108  0.629 0.939  0.684 0.759  0.715 0.575  0.693 0.389  0.609 0.221  0.521 0.055  0.410 -0.097  0.273 -0.223  0.087 -0.209
3#apb#apb38#app3809/r  -0.220 -0.594  -0.192 -0.685  -0.164 -0.776  -0.136 -0.867  -0.091 -0.950  -0.039 -1.029  -0.010 -1.120  0.018 -1.211  0.046 -1.302  0.076 -1.392  0.127 -1.401  0.111 -1.307  0.095 -1.214  0.078 -1.120  0.040 -1.033  0.003 -0.945  -0.035 -0.858  -0.072 -0.770  -0.109 -0.683  -0.146 -0.595  -0.183 -0.507  -0.220 -0.419  -0.249 -0.329  -0.263 -0.235  -0.277 -0.141  -0.291 -0.047  -0.305 0.047  -0.316 0.142  -0.322 0.237  -0.328 0.332  -0.334 0.427  -0.326 0.521  -0.306 0.614  -0.286 0.707  -0.265 0.799  -0.205 0.873  -0.145 0.947  -0.084 1.020  -0.018 1.088  0.053 1.152  0.123 1.216  0.200 1.266  0.294 1.283  0.388 1.300  0.482 1.303  0.577 1.295  0.672 1.287  0.763 1.262  0.851 1.227  0.939 1.192
3#apb#apb38#app3809/l  -0.089 1.684  -0.114 1.623  -0.122 1.554  -0.130 1.485  -0.131 1.416  -0.131 1.346  -0.131 1.277  -0.131 1.207  -0.123 1.138  -0.114 1.069  -0.106 1.000  -0.098 0.931  -0.090 0.862  -0.084 0.793  -0.077 0.724  -0.071 0.655  -0.065 0.586  -0.058 0.516  -0.052 0.447  -0.044 0.378  -0.032 0.310  -0.020 0.241  -0.008 0.173  0.003 0.104  0.015 0.036  0.027 -0.032  0.038 -0.101  0.046 -0.170  0.054 -0.239  0.062 -0.308  0.070 -0.377  0.078 -0.446  0.086 -0.515  0.094 -0.584  0.097 -0.654  0.097 -0.723  0.097 -0.793  0.097 -0.862  0.097 -0.931  0.097 -1.001  0.097 -1.070  0.097 -1.140  0.097 -1.209  0.097 -1.279  0.097 -1.348  0.097 -1.418  0.087 -1.487  0.077 -1.555  0.066 -1.624  0.056 -1.693
3#apb#apb38#app3809/e  -0.552 0.181  -0.461 0.064  -0.331 0.013  -0.184 -0.006  -0.042 0.033  0.093 0.093  0.221 0.166  0.330 0.267  0.439 0.368  0.548 0.469  0.657 0.570  0.766 0.670  0.872 0.773  0.932 0.909  0.887 1.042  0.752 1.104  0.611 1.130  0.464 1.111  0.318 1.085  0.173 1.055  0.035 1.006  -0.089 0.925  -0.214 0.844  -0.332 0.755  -0.448 0.662  -0.557 0.563  -0.650 0.447  -0.742 0.331  -0.798 0.193  -0.855 0.056  -0.905 -0.084  -0.954 -0.224  -0.962 -0.371  -0.962 -0.519  -0.884 -0.641  -0.791 -0.756  -0.673 -0.846  -0.549 -0.922  -0.404 -0.956  -0.259 -0.989  -0.114 -1.016  0.033 -1.038  0.181 -1.053  0.329 -1.067  0.477 -1.074  0.625 -1.082  0.773 -1.084  0.922 -1.084  1.066 -1.057  1.209 -1.016
3#apb#apb38#app3809/y  -0.598 0.768  -0.572 0.684  -0.505 0.602  -0.437 0.519  -0.348 0.458  -0.252 0.408  -0.151 0.372  -0.071 0.445  0.008 0.518  0.088 0.591  0.168 0.664  0.247 0.737  0.327 0.810  0.407 0.883  0.486 0.957  0.566 1.030  0.646 1.103  0.716 1.181  0.704 1.104  0.675 1.000  0.646 0.896  0.606 0.795  0.567 0.694  0.521 0.597  0.474 0.499  0.427 0.402  0.377 0.306  0.324 0.212  0.270 0.118  0.216 0.024  0.163 -0.070  0.107 -0.162  0.051 -0.255  -0.005 -0.347  -0.062 -0.439  -0.118 -0.532  -0.172 -0.625  -0.226 -0.719  -0.279 -0.813  -0.333 -0.907  -0.387 -1.001  -0.435 -1.097  -0.477 -1.197  -0.518 -1.297  -0.560 -1.396  -0.601 -1.496  -0.634 -1.599  -0.667 -1.702  -0.690 -1.807  -0.690 -1.915
3#apb#apb38#app3809/Y  -0.027 -2.090  -0.027 -1.938  -0.011 -1.787  0.003 -1.636  0.003 -1.484  -0.007 -1.333  -0.023 -1.182  -0.027 -1.030  -0.027 -0.878  -0.027 -0.726  -0.027 -0.574  -0.027 -0.422  -0.027 -0.270  0.003 -0.181  -0.026 -0.279  -0.104 -0.150  -0.177 -0.018  -0.262 0.108  -0.356 0.228  -0.447 0.350  -0.529 0.478  -0.615 0.602  -0.703 0.726  -0.779 0.857  -0.770 0.816  -0.688 0.688  -0.604 0.562  -0.540 0.424  -0.479 0.285  -0.414 0.147  -0.336 0.018  -0.249 -0.106  -0.152 -0.224  -0.057 -0.342  0.040 -0.370  0.143 -0.259  0.203 -0.119  0.269 0.017  0.341 0.151  0.402 0.291  0.460 0.431  0.513 0.573  0.565 0.716  0.619 0.858  0.680 0.997  0.748 1.133  0.805 1.273  0.853 1.417  0.916 1.556  0.976 1.695
3#apb#apb38#app3809/i  0.034 -0.174  -0.035 -0.243  -0.060 -0.331  -0.064 -0.429  -0.071 -0.527  -0.079 -0.625  -0.085 -0.723  -0.091 -0.821  -0.082 -0.919  -0.072 -1.016  -0.056 -1.113  -0.024 -1.202  0.046 -1.271  0.119 -1.337  0.192 -1.370  0.253 -1.297  0.238 -1.200  0.223 -1.103  0.208 -1.006  0.193 -0.909  0.177 -0.812  0.162 -0.715  0.147 -0.618  0.132 -0.521  0.117 -0.424  0.102 -0.327  0.086 -0.230  0.071 -0.133  0.056 -0.036  0.041 0.061  0.026 0.158  0.011 0.255  -0.005 0.352  -0.020 0.449  -0.035 0.546  -0.050 0.643  -0.065 0.740  -0.080 0.837  -0.095 0.934  -0.111 1.031  -0.126 1.128  -0.143 1.225  -0.170 1.319  -0.197 1.414  -0.208 1.511  -0.215 1.609  -0.198 1.704  -0.147 1.785  -0.069 1.844  0.019 1.888
3#apb#apb38#app3809/Z  -0.877 0.818  -0.938 0.855  -0.822 0.884  -0.704 0.916  -0.587 0.946  -0.469 0.976  -0.352 1.007  -0.232 1.028  -0.112 1.046  0.008 1.061  0.130 1.061  0.251 1.061  0.373 1.061  0.494 1.061  0.612 1.036  0.719 0.986  0.784 0.889  0.798 0.770  0.762 0.653  0.702 0.549  0.633 0.449  0.556 0.355  0.477 0.263  0.398 0.171  0.320 0.078  0.242 -0.015  0.164 -0.108  0.080 -0.196  -0.006 -0.282  -0.092 -0.367  -0.178 -0.453  -0.264 -0.539  -0.350 -0.625  -0.431 -0.715  -0.512 -0.806  -0.586 -0.902  -0.655 -1.002  -0.706 -1.111  -0.626 -1.176  -0.505 -1.173  -0.383 -1.165  -0.266 -1.137  -0.147 -1.110  -0.028 -1.090  0.092 -1.068  0.211 -1.046  0.330 -1.022  0.448 -0.994  0.564 -0.956  0.680 -0.921
3#apb#apb38#app3809/a  0.031 1.068  -0.074 0.978  -0.186 0.899  -0.310 0.837  -0.408 0.741  -0.501 0.638  -0.589 0.532  -0.672 0.421  -0.755 0.310  -0.851 0.210  -0.949 0.112  -1.042 0.011  -1.104 -0.112  -1.166 -0.236  -1.209 -0.367  -1.221 -0.503  -1.205 -0.640  -1.121 -0.748  -1.019 -0.836  -0.889 -0.883  -0.757 -0.916  -0.619 -0.905  -0.481 -0.894  -0.357 -0.834  -0.233 -0.772  -0.113 -0.704  -0.005 -0.618  0.104 -0.531  0.212 -0.445  0.291 -0.332  0.366 -0.215  0.441 -0.099  0.497 0.028  0.552 0.154  0.608 0.281  0.627 0.418  0.643 0.555  0.658 0.692  0.660 0.823  0.679 0.693  0.726 0.565  0.818 0.461  0.909 0.357  0.983 0.240  1.058 0.123  1.170 0.047  1.291 -0.020  1.401 -0.102  1.504 -0.195  1.606 -0.288
3#apb#apb38#app3809/c  0.884 1.413  0.799 1.385  0.714 1.357  0.629 1.329  0.553 1.287  0.489 1.223  0.426 1.160  0.363 1.097  0.299 1.033  0.236 0.970  0.170 0.910  0.104 0.849  0.037 0.789  -0.029 0.729  -0.095 0.669  -0.161 0.607  -0.224 0.544  -0.287 0.481  -0.351 0.417  -0.414 0.354  -0.477 0.291  -0.532 0.220  -0.585 0.148  -0.639 0.076  -0.690 0.003  -0.723 -0.080  -0.751 -0.163  -0.716 -0.246  -0.681 -0.328  -0.642 -0.408  -0.587 -0.479  -0.532 -0.550  -0.477 -0.620  -0.422 -0.691  -0.349 -0.741  -0.272 -0.787  -0.195 -0.833  -0.119 -0.880  -0.038 -0.918  0.047 -0.944  0.133 -0.971  0.219 -0.997  0.304 -1.023  0.390 -1.048  0.478 -1.064  0.566 -1.081  0.654 -1.097  0.742 -1.114  0.831 -1.130  0.919 -1.147
3#apb#apb38#app3809/h  -0.638 1.694  -0.716 1.632  -0.729 1.525  -0.724 1.417  -0.716 1.309  -0.700 1.202  -0.679 1.095  -0.664 0.988  -0.651 0.880  -0.637 0.773  -0.623 0.665  -0.608 0.558  -0.594 0.451  -0.578 0.343  -0.563 0.236  -0.548 0.129  -0.524 0.023  -0.497 -0.082  -0.471 -0.187  -0.445 -0.292  -0.418 -0.397  -0.391 -0.502  -0.357 -0.605  -0.332 -0.710  -0.294 -0.801  -0.225 -0.730  -0.155 -0.647  -0.097 -0.557  -0.055 -0.457  -0.011 -0.358  0.043 -0.264  0.115 -0.184  0.195 -0.111  0.280 -0.045  0.374 0.004  0.481 0.024  0.585 0.015  0.668 -0.049  0.736 -0.133  0.799 -0.222  0.858 -0.312  0.889 -0.416  0.927 -0.517  0.983 -0.609  1.032 -0.705  1.063 -0.809  1.097 -0.912  1.134 -1.014  1.172 -1.116  1.210 -1.217
3#apb#apb38#app3809/a  -0.197 1.134  -0.325 1.049  -0.429 0.939  -0.512 0.810  -0.585 0.675  -0.658 0.539  -0.734 0.406  -0.822 0.280  -0.911 0.154  -0.991 0.023  -1.070 -0.108  -1.133 -0.248  -1.179 -0.394  -1.216 -0.544  -1.202 -0.692  -1.142 -0.827  -1.017 -0.917  -0.877 -0.955  -0.724 -0.944  -0.571 -0.933  -0.425 -0.889  -0.281 -0.834  -0.138 -0.778  -0.022 -0.677  0.092 -0.575  0.192 -0.459  0.283 -0.334  0.373 -0.210  0.412 -0.062  0.446 0.088  0.471 0.239  0.471 0.392  0.471 0.546  0.482 0.699  0.496 0.851  0.436 0.987  0.357 0.908  0.392 0.763  0.437 0.616  0.492 0.476  0.600 0.367  0.709 0.258  0.813 0.145  0.916 0.030  1.018 -0.084  1.121 -0.199  1.224 -0.313  1.349 -0.398  1.486 -0.466  1.624 -0.535
3#apb#apb38#app3809/r  -0.364 0.083  -0.470 0.041  -0.507 -0.047  -0.507 -0.161  -0.475 -0.269  -0.439 -0.377  -0.403 -0.484  -0.370 -0.593  -0.337 -0.702  -0.301 -0.809  -0.232 -0.898  -0.162 -0.988  -0.099 -1.081  -0.059 -1.188  -0.019 -1.294  0.017 -1.402  0.036 -1.404  0.026 -1.291  0.017 -1.178  0.007 -1.065  -0.019 -0.954  -0.047 -0.844  -0.074 -0.734  -0.102 -0.624  -0.128 -0.513  -0.153 -0.403  -0.179 -0.292  -0.197 -0.180  -0.206 -0.067  -0.216 0.046  -0.217 0.159  -0.208 0.272  -0.199 0.385  -0.182 0.497  -0.155 0.607  -0.127 0.718  -0.087 0.822  -0.017 0.910  0.054 0.999  0.127 1.085  0.234 1.124  0.341 1.162  0.446 1.204  0.543 1.263  0.640 1.323  0.736 1.382  0.838 1.427  0.951 1.436  1.064 1.445  1.177 1.454
3#apb#apb38#app3809/y  -0.672 0.696  -0.724 0.634  -0.681 0.514  -0.620 0.402  -0.542 0.302  -0.456 0.208  -0.365 0.117  -0.254 0.055  -0.135 0.010  -0.047 0.064  0.019 0.173  0.086 0.281  0.153 0.390  0.220 0.499  0.287 0.608  0.354 0.717  0.421 0.826  0.487 0.935  0.554 1.044  0.621 1.153  0.688 1.261  0.648 1.294  0.622 1.169  0.591 1.045  0.558 0.921  0.521 0.799  0.484 0.677  0.437 0.558  0.390 0.439  0.344 0.320  0.297 0.201  0.249 0.083  0.202 -0.036  0.154 -0.155  0.107 -0.273  0.054 -0.390  0.002 -0.506  -0.051 -0.622  -0.104 -0.739  -0.159 -0.854  -0.218 -0.967  -0.278 -1.080  -0.337 -1.193  -0.397 -1.307  -0.450 -1.423  -0.503 -1.539  -0.556 -1.655  -0.610 -1.771  -0.667 -1.885  -0.724 -2.000
