3#apb#apb16#app1611/B  -0.274 0.587  -0.325 0.388  -0.402 0.181  -0.479 -0.026  -0.560 -0.231  -0.645 -0.434  -0.751 -0.627  -0.861 -0.819  -0.988 -0.997  -1.028 -0.913  -0.965 -0.702  -0.880 -0.499  -0.793 -0.296  -0.697 -0.098  -0.600 0.100  -0.502 0.298  -0.402 0.494  -0.301 0.690  -0.195 0.884  -0.078 1.070  0.039 1.257  0.191 1.414  0.359 1.499  0.499 1.330  0.568 1.124  0.559 0.905  0.516 0.688  0.397 0.504  0.261 0.331  0.101 0.182  0.042 0.311  0.161 0.490  0.341 0.616  0.541 0.664  0.719 0.544  0.841 0.364  0.931 0.164  0.989 -0.049  1.028 -0.266  1.018 -0.481  0.941 -0.685  0.819 -0.869  0.655 -1.015  0.478 -1.144  0.283 -1.247  0.065 -1.281  -0.153 -1.278  -0.356 -1.205  -0.511 -1.062  -0.597 -0.858
3#apb#apb16#app1611/C  0.827 0.338  0.864 0.431  0.895 0.525  0.919 0.622  0.938 0.720  0.949 0.818  0.939 0.918  0.891 1.003  0.799 1.027  0.703 1.053  0.609 1.085  0.516 1.050  0.423 1.014  0.333 0.972  0.252 0.914  0.170 0.857  0.089 0.799  0.010 0.738  -0.059 0.666  -0.128 0.594  -0.198 0.523  -0.267 0.451  -0.336 0.378  -0.403 0.305  -0.471 0.232  -0.539 0.159  -0.606 0.085  -0.666 0.007  -0.707 -0.085  -0.747 -0.176  -0.788 -0.267  -0.818 -0.360  -0.808 -0.459  -0.797 -0.558  -0.765 -0.650  -0.713 -0.735  -0.662 -0.821  -0.601 -0.897  -0.517 -0.951  -0.434 -1.006  -0.350 -1.060  -0.253 -1.084  -0.156 -1.107  -0.059 -1.130  0.038 -1.154  0.137 -1.157  0.237 -1.157  0.337 -1.157  0.437 -1.157  0.536 -1.157
3#apb#apb16#app1611/e  -0.590 0.177  -0.590 0.021  -0.574 -0.132  -0.516 -0.275  -0.429 -0.404  -0.329 -0.524  -0.200 -0.604  -0.058 -0.668  0.093 -0.680  0.248 -0.666  0.376 -0.585  0.499 -0.490  0.592 -0.365  0.681 -0.238  0.771 -0.110  0.860 0.017  0.915 0.161  0.961 0.310  0.973 0.461  0.947 0.614  0.902 0.762  0.833 0.901  0.763 1.040  0.667 1.161  0.563 1.277  0.428 1.347  0.281 1.370  0.132 1.325  0.008 1.240  -0.096 1.125  -0.191 1.003  -0.264 0.865  -0.338 0.728  -0.402 0.587  -0.453 0.440  -0.505 0.293  -0.543 0.143  -0.560 -0.011  -0.576 -0.166  -0.592 -0.321  -0.607 -0.476  -0.621 -0.631  -0.636 -0.786  -0.626 -0.940  -0.601 -1.093  -0.539 -1.231  -0.447 -1.357  -0.343 -1.468  -0.204 -1.538  -0.065 -1.608
3#apb#apb16#app1611/d  0.014 -0.450  -0.039 -0.281  -0.199 -0.216  -0.363 -0.254  -0.498 -0.368  -0.621 -0.496  -0.742 -0.627  -0.840 -0.776  -0.923 -0.932  -0.972 -1.102  -0.909 -1.247  -0.739 -1.233  -0.589 -1.145  -0.456 -1.027  -0.334 -0.897  -0.231 -0.753  -0.134 -0.603  -0.039 -0.453  0.054 -0.301  0.147 -0.149  0.239 0.004  0.331 0.156  0.411 0.315  0.482 0.478  0.552 0.642  0.594 0.815  0.636 0.988  0.657 1.164  0.669 1.342  0.676 1.520  0.676 1.698  0.573 1.733  0.489 1.576  0.416 1.413  0.345 1.250  0.297 1.079  0.255 0.906  0.211 0.734  0.159 0.563  0.107 0.393  0.054 0.223  0.019 0.049  -0.017 -0.126  -0.053 -0.300  -0.090 -0.475  -0.127 -0.649  -0.143 -0.823  -0.115 -0.999  -0.026 -1.150  0.138 -1.209
3#apb#apb16#app1611/a  0.661 0.873  0.658 1.061  0.599 1.227  0.432 1.191  0.275 1.086  0.113 0.989  -0.053 0.897  -0.202 0.783  -0.344 0.659  -0.461 0.510  -0.578 0.361  -0.694 0.213  -0.789 0.050  -0.878 -0.117  -0.967 -0.284  -1.045 -0.456  -1.117 -0.630  -1.166 -0.810  -1.166 -0.999  -1.093 -1.170  -0.945 -1.260  -0.759 -1.238  -0.614 -1.126  -0.484 -0.989  -0.368 -0.840  -0.254 -0.689  -0.152 -0.530  -0.050 -0.371  0.053 -0.213  0.162 -0.058  0.271 0.096  0.380 0.250  0.483 0.409  0.573 0.575  0.662 0.741  0.713 0.921  0.759 1.102  0.749 0.939  0.726 0.752  0.680 0.568  0.634 0.385  0.589 0.202  0.546 0.017  0.504 -0.167  0.480 -0.354  0.467 -0.542  0.454 -0.731  0.454 -0.920  0.508 -1.096  0.592 -1.265
3#apb#apb16#app1611/r  -0.233 1.483  -0.313 1.363  -0.318 1.221  -0.318 1.077  -0.318 0.933  -0.319 0.789  -0.330 0.645  -0.340 0.502  -0.350 0.358  -0.360 0.215  -0.347 0.071  -0.333 -0.072  -0.319 -0.215  -0.295 -0.357  -0.271 -0.499  -0.248 -0.641  -0.212 -0.780  -0.159 -0.914  -0.106 -1.047  -0.051 -1.181  0.005 -1.313  0.062 -1.445  0.075 -1.578  0.044 -1.589  -0.007 -1.463  -0.042 -1.323  -0.078 -1.184  -0.116 -1.045  -0.154 -0.906  -0.191 -0.767  -0.202 -0.624  -0.213 -0.480  -0.224 -0.337  -0.224 -0.195  -0.173 -0.060  -0.121 0.074  -0.069 0.209  -0.018 0.343  0.023 0.481  0.064 0.619  0.106 0.757  0.235 0.817  0.367 0.876  0.498 0.934  0.633 0.984  0.768 1.035  0.908 1.058  1.052 1.058  1.196 1.058  1.340 1.058
3#apb#apb16#app1611/F  0.058 0.795  -0.065 0.772  -0.170 0.554  -0.253 0.328  -0.268 0.086  -0.268 -0.156  -0.268 -0.399  -0.268 -0.641  -0.278 -0.883  -0.302 -1.125  -0.329 -1.366  -0.360 -1.606  -0.402 -1.845  -0.448 -1.982  -0.430 -1.741  -0.416 -1.499  -0.416 -1.256  -0.396 -1.015  -0.368 -0.774  -0.338 -0.533  -0.308 -0.292  -0.278 -0.052  -0.278 0.190  -0.292 0.432  -0.315 0.673  -0.350 0.913  -0.408 1.148  -0.517 1.347  -0.409 1.214  -0.202 1.097  0.029 1.024  0.265 0.969  0.504 0.930  0.744 0.893  0.978 0.832  1.162 0.683  1.083 0.560  0.850 0.492  0.617 0.424  0.384 0.357  0.151 0.289  -0.082 0.222  -0.315 0.154  -0.289 0.072  -0.052 0.054  0.187 0.027  0.425 -0.017  0.663 -0.064  0.900 -0.117  1.137 -0.169
3#apb#apb16#app1611/a  0.170 0.698  0.218 0.886  0.258 1.076  0.206 1.210  0.020 1.204  -0.162 1.139  -0.299 1.002  -0.436 0.865  -0.545 0.707  -0.640 0.537  -0.734 0.368  -0.817 0.193  -0.889 0.013  -0.961 -0.167  -1.004 -0.356  -1.048 -0.545  -0.985 -0.728  -0.909 -0.904  -0.785 -1.053  -0.595 -1.030  -0.422 -0.944  -0.271 -0.829  -0.160 -0.670  -0.057 -0.506  0.035 -0.336  0.128 -0.166  0.228 0.001  0.310 0.175  0.363 0.361  0.414 0.548  0.452 0.739  0.490 0.929  0.528 1.119  0.557 1.217  0.557 1.023  0.557 0.829  0.557 0.635  0.557 0.441  0.551 0.247  0.532 0.054  0.512 -0.139  0.487 -0.331  0.444 -0.520  0.401 -0.709  0.358 -0.898  0.349 -1.091  0.349 -1.285  0.350 -1.479  0.369 -1.672  0.409 -1.860
3#apb#apb16#app1611/l  0.144 1.680  0.152 1.611  0.168 1.543  0.184 1.476  0.200 1.408  0.208 1.340  0.200 1.271  0.192 1.202  0.184 1.133  0.176 1.064  0.168 0.994  0.160 0.925  0.148 0.857  0.136 0.788  0.124 0.720  0.112 0.651  0.100 0.583  0.089 0.514  0.077 0.446  0.069 0.377  0.060 0.308  0.052 0.238  0.044 0.169  0.035 0.100  0.027 0.031  0.018 -0.038  0.010 -0.107  -0.004 -0.175  -0.018 -0.243  -0.031 -0.311  -0.045 -0.379  -0.059 -0.448  -0.072 -0.516  -0.086 -0.584  -0.099 -0.652  -0.112 -0.721  -0.125 -0.789  -0.139 -0.857  -0.152 -0.925  -0.165 -0.994  -0.177 -1.062  -0.187 -1.131  -0.197 -1.200  -0.208 -1.269  -0.218 -1.337  -0.230 -1.406  -0.244 -1.474  -0.251 -1.542  -0.229 -1.608  -0.189 -1.662
3#apb#apb16#app1611/l  0.320 1.665  0.298 1.599  0.276 1.533  0.262 1.466  0.257 1.397  0.252 1.328  0.247 1.258  0.241 1.189  0.236 1.120  0.220 1.053  0.204 0.985  0.188 0.917  0.172 0.850  0.156 0.782  0.140 0.715  0.124 0.647  0.108 0.580  0.095 0.512  0.081 0.444  0.068 0.376  0.054 0.308  0.040 0.239  0.027 0.171  0.013 0.103  -0.000 0.035  -0.014 -0.033  -0.028 -0.101  -0.042 -0.169  -0.056 -0.237  -0.070 -0.305  -0.084 -0.373  -0.098 -0.441  -0.112 -0.509  -0.125 -0.577  -0.138 -0.645  -0.150 -0.713  -0.162 -0.782  -0.174 -0.850  -0.186 -0.918  -0.198 -0.987  -0.210 -1.055  -0.220 -1.124  -0.231 -1.192  -0.241 -1.261  -0.252 -1.329  -0.262 -1.398  -0.263 -1.467  -0.263 -1.537  -0.263 -1.606  -0.236 -1.669
3#apb#apb16#app1611/s  1.324 0.675  1.231 0.728  1.137 0.782  1.046 0.839  0.955 0.896  0.848 0.907  0.741 0.916  0.633 0.923  0.526 0.915  0.418 0.907  0.311 0.900  0.204 0.885  0.097 0.870  -0.009 0.855  -0.116 0.843  -0.224 0.833  -0.330 0.819  -0.419 0.759  -0.509 0.700  -0.585 0.625  -0.651 0.540  -0.717 0.455  -0.780 0.367  -0.843 0.280  -0.846 0.173  -0.832 0.068  -0.792 -0.032  -0.752 -0.132  -0.682 -0.212  -0.606 -0.289  -0.522 -0.356  -0.433 -0.416  -0.343 -0.475  -0.248 -0.527  -0.154 -0.578  -0.058 -0.626  0.046 -0.655  0.150 -0.683  0.244 -0.731  0.328 -0.799  0.404 -0.875  0.402 -0.970  0.359 -1.067  0.290 -1.150  0.209 -1.217  0.113 -1.266  0.014 -1.307  -0.090 -1.336  -0.193 -1.366  -0.297 -1.396
3#apb#apb16#app1611/G  0.898 1.260  0.850 1.356  0.725 1.429  0.573 1.450  0.424 1.460  0.280 1.411  0.155 1.323  0.031 1.234  -0.090 1.140  -0.210 1.045  -0.327 0.947  -0.438 0.842  -0.548 0.737  -0.642 0.618  -0.723 0.488  -0.803 0.358  -0.855 0.215  -0.906 0.070  -0.935 -0.079  -0.954 -0.231  -0.936 -0.382  -0.906 -0.531  -0.845 -0.671  -0.760 -0.794  -0.642 -0.890  -0.498 -0.938  -0.349 -0.966  -0.196 -0.966  -0.049 -0.927  0.093 -0.869  0.214 -0.782  0.303 -0.660  0.372 -0.523  0.407 -0.374  0.426 -0.224  0.426 -0.071  0.307 0.012  0.164 0.036  0.146 -0.108  0.286 -0.148  0.434 -0.188  0.583 -0.218  0.710 -0.271  0.745 -0.413  0.705 -0.556  0.622 -0.685  0.546 -0.817  0.461 -0.944  0.363 -1.061  0.361 -1.144
3#apb#apb16#app1611/a  0.523 1.004  0.527 1.138  0.365 1.156  0.192 1.142  0.038 1.057  -0.117 0.973  -0.264 0.877  -0.403 0.769  -0.542 0.661  -0.666 0.536  -0.791 0.412  -0.915 0.287  -1.014 0.143  -1.099 -0.011  -1.166 -0.172  -1.208 -0.343  -1.222 -0.517  -1.197 -0.690  -1.097 -0.828  -0.942 -0.799  -0.781 -0.730  -0.620 -0.658  -0.460 -0.585  -0.330 -0.467  -0.199 -0.348  -0.069 -0.230  0.062 -0.113  0.194 0.004  0.321 0.126  0.432 0.262  0.544 0.398  0.656 0.534  0.771 0.668  0.864 0.809  0.863 0.850  0.829 0.677  0.780 0.508  0.729 0.339  0.659 0.178  0.581 0.021  0.516 -0.141  0.489 -0.315  0.462 -0.489  0.447 -0.664  0.447 -0.840  0.447 -1.016  0.447 -1.192  0.507 -1.354  0.622 -1.485  0.788 -1.537
3#apb#apb16#app1611/b  -0.028 2.200  -0.051 2.066  -0.045 1.932  -0.029 1.797  -0.038 1.661  -0.049 1.526  -0.060 1.390  -0.074 1.255  -0.087 1.120  -0.101 0.984  -0.116 0.849  -0.132 0.714  -0.147 0.579  -0.169 0.445  -0.199 0.313  -0.229 0.180  -0.259 0.048  -0.291 -0.084  -0.334 -0.213  -0.377 -0.342  -0.420 -0.471  -0.456 -0.602  -0.486 -0.734  -0.517 -0.867  -0.542 -1.000  -0.514 -1.108  -0.424 -1.007  -0.357 -0.889  -0.285 -0.774  -0.201 -0.667  -0.117 -0.561  -0.034 -0.453  0.048 -0.345  0.131 -0.237  0.230 -0.144  0.329 -0.051  0.442 0.022  0.545 0.004  0.582 -0.126  0.610 -0.259  0.626 -0.394  0.635 -0.530  0.635 -0.666  0.617 -0.799  0.575 -0.926  0.477 -1.018  0.350 -1.046  0.227 -0.997  0.111 -0.926  -0.000 -0.848
3#apb#apb16#app1611/l  -0.005 1.643  0.028 1.580  0.061 1.517  0.095 1.454  0.128 1.391  0.160 1.327  0.192 1.263  0.223 1.199  0.243 1.131  0.256 1.061  0.268 0.991  0.280 0.920  0.288 0.850  0.284 0.779  0.279 0.707  0.275 0.636  0.270 0.565  0.265 0.494  0.256 0.423  0.238 0.354  0.221 0.285  0.204 0.216  0.186 0.146  0.169 0.077  0.152 0.008  0.130 -0.060  0.103 -0.126  0.075 -0.192  0.048 -0.257  0.020 -0.323  -0.007 -0.389  -0.035 -0.455  -0.062 -0.521  -0.092 -0.586  -0.122 -0.651  -0.151 -0.716  -0.181 -0.780  -0.211 -0.845  -0.240 -0.910  -0.270 -0.975  -0.298 -1.041  -0.326 -1.106  -0.354 -1.172  -0.383 -1.238  -0.413 -1.302  -0.445 -1.366  -0.469 -1.433  -0.484 -1.502  -0.455 -1.555  -0.394 -1.518
3#apb#apb16#app1611/e  -1.042 0.269  -0.944 0.207  -0.863 0.069  -0.800 -0.078  -0.731 -0.223  -0.626 -0.343  -0.510 -0.454  -0.371 -0.534  -0.223 -0.591  -0.065 -0.615  0.095 -0.633  0.254 -0.652  0.413 -0.675  0.554 -0.604  0.690 -0.520  0.819 -0.423  0.939 -0.319  1.036 -0.191  1.115 -0.056  1.129 0.104  1.144 0.264  1.121 0.423  1.096 0.582  1.058 0.736  0.986 0.879  0.914 1.023  0.809 1.144  0.698 1.241  0.545 1.190  0.404 1.114  0.265 1.034  0.127 0.952  -0.010 0.869  -0.116 0.750  -0.216 0.624  -0.318 0.501  -0.426 0.381  -0.533 0.262  -0.622 0.130  -0.694 -0.014  -0.766 -0.157  -0.824 -0.305  -0.856 -0.463  -0.879 -0.621  -0.879 -0.782  -0.837 -0.935  -0.734 -1.043  -0.590 -1.113  -0.441 -1.172  -0.292 -1.232
3#apb#apb16#app1611/s  0.564 1.237  0.460 1.244  0.357 1.258  0.259 1.245  0.168 1.195  0.077 1.144  -0.019 1.105  -0.120 1.078  -0.220 1.050  -0.320 1.019  -0.415 0.978  -0.509 0.933  -0.582 0.859  -0.589 0.779  -0.516 0.708  -0.427 0.655  -0.337 0.601  -0.248 0.547  -0.162 0.489  -0.074 0.433  0.019 0.386  0.113 0.341  0.210 0.302  0.307 0.264  0.397 0.216  0.455 0.130  0.510 0.042  0.549 -0.055  0.588 -0.152  0.622 -0.249  0.599 -0.351  0.576 -0.453  0.539 -0.548  0.484 -0.637  0.428 -0.725  0.365 -0.808  0.300 -0.890  0.235 -0.971  0.165 -1.045  0.065 -1.076  -0.034 -1.107  -0.134 -1.138  -0.234 -1.169  -0.334 -1.197  -0.436 -1.220  -0.537 -1.243  -0.639 -1.266  -0.741 -1.289  -0.842 -1.313  -0.944 -1.336
3#apb#apb16#app1611/C  0.927 0.486  0.946 0.546  0.927 0.612  0.927 0.708  0.904 0.801  0.856 0.883  0.787 0.947  0.703 0.994  0.623 1.047  0.530 1.067  0.434 1.075  0.338 1.075  0.241 1.075  0.163 1.021  0.087 0.962  0.013 0.900  -0.057 0.834  -0.127 0.768  -0.197 0.701  -0.256 0.626  -0.309 0.545  -0.362 0.464  -0.414 0.384  -0.461 0.300  -0.501 0.212  -0.540 0.124  -0.580 0.036  -0.619 -0.052  -0.646 -0.144  -0.663 -0.239  -0.681 -0.334  -0.698 -0.429  -0.700 -0.523  -0.675 -0.616  -0.651 -0.710  -0.610 -0.793  -0.541 -0.862  -0.473 -0.930  -0.393 -0.979  -0.303 -1.014  -0.213 -1.049  -0.122 -1.081  -0.031 -1.112  0.061 -1.142  0.153 -1.169  0.249 -1.184  0.344 -1.199  0.439 -1.210  0.536 -1.210  0.632 -1.210
3#apb#apb16#app1611/r  -0.386 1.480  -0.445 1.419  -0.507 1.279  -0.541 1.129  -0.559 0.977  -0.559 0.823  -0.552 0.669  -0.534 0.516  -0.516 0.363  -0.497 0.211  -0.470 0.059  -0.444 -0.093  -0.417 -0.244  -0.391 -0.396  -0.368 -0.548  -0.345 -0.701  -0.322 -0.853  -0.299 -1.005  -0.280 -1.158  -0.261 -1.311  -0.242 -1.464  -0.144 -1.582  -0.050 -1.631  0.019 -1.493  0.076 -1.352  0.076 -1.198  0.076 -1.044  0.076 -0.890  0.076 -0.736  0.076 -0.582  0.076 -0.428  0.076 -0.274  0.076 -0.120  0.076 0.034  0.087 0.187  0.100 0.340  0.113 0.494  0.127 0.647  0.156 0.797  0.205 0.943  0.238 1.084  0.371 1.048  0.479 0.942  0.571 0.819  0.682 0.713  0.799 0.612  0.922 0.520  1.045 0.427  1.167 0.333  1.288 0.238
